1/100 冰核
1/1 魔法力药水
1/1 精神力药水
1/1 疾风药水
1/1 HP强化药水
1/1 MP强化药水
)

#CHILD 1/2 RANDOM
(
1/1 鹿皮靴
1/1 紫绸靴
1/1 避魂靴
1/1 铁腰带
1/1 青铜腰带
1/1 钢铁腰带
1/1 道士头盔
1/1 骷髅头盔
1/1 黑铁头盔
1/1 白金项链
1/1 黑色水晶项链
1/1 白色虎齿项链
1/1 琥珀项链
1/1 魔鬼项链
1/1 凤凰明珠
1/1 灯笼项链
1/1 蓝翡翠项链
1/1 竹笛
1/1 放大镜
1/1 幽灵项链
1/1 生命项链
1/1 天珠项链
1/1 绿色项链
1/1 恶魔铃铛
1/1 灵魂项链
1/1 狂风项链
1/1 探测项链
1/1 祈福项链
1/1 躲避手链
1/1 夏普儿手镯
1/1 坚固手套
1/1 魔法手镯
1/1 辟邪手镯
1/1 黑檀手镯
1/1 道士手镯
1/1 死神手套
1/1 金手镯
1/1 铂金手镯
1/1 幽灵手套
1/1 思贝儿手镯
1/1 心灵手镯
1/1 阎罗手套
1/1 黑铁手套
1/1 骑士手镯
1/1 龙之手镯
1/1 三眼手镯
1/1 蓝色水晶戒指
1/1 黑色水晶戒指
1/1 蛇眼戒指
1/1 珍珠戒指
1/1 金戒指
1/1 骷髅戒指
1/1 魅力戒指
1/1 道德戒指
1/1 降妖除魔戒指
1/1 珊瑚戒指
1/1 龙之戒指
1/1 红宝石戒指
1/1 铂金戒指
1/1 力量戒指
1/1 紫碧螺
1/1 泰坦戒指
1/1 狂风戒指
1/1 中型盔甲(男)
1/1 中型盔甲(女)
1/1 重盔甲(男)
1/1 重盔甲(女)
1/1 魔法长袍(男)
1/1 魔法长袍(女)
1/1 灵魂战衣(男)
1/1 灵魂战衣(女)
1/1 战神盔甲(男)
1/1 战神盔甲(女)
1/1 恶魔长袍(男)
1/1 恶魔长袍(女)
1/1 幽灵战衣(男)
1/1 幽灵战衣(女)
1/1 钢盔甲(男)
1/1 钢盔甲(女)
1/1 圣龙魔袍(男)
1/1 圣龙魔袍(女)
1/1 泰坦战衣(男)
1/1 泰坦战衣(女)
1/1 青铜斧
1/1 罗刹
1/1 八荒
1/1 海魂
1/1 半月
1/1 凌风
1/1 偃月
1/1 破魂
1/1 降魔
1/1 斩马刀
1/1 修罗
1/1 凝霜
1/1 炼狱
1/1 魔杖
1/1 银蛇
1/1 井中月
1/1 无极棍
1/1 神秘戒指
1/1 神秘腰带
1/1 神秘头盔
1/1 魔血戒指
1/1 魔血手镯
1/1 魔血项链
1/1 虹魔戒指
1/1 虹魔手镯
1/1 虹魔项链
1/1 命运戒指
1/1 命运手镯
1/1 命运项链
1/1 魔力戒指
1/1 魔力手镯
1/1 魔力项链
1/1 记忆头盔
1/1 记忆项链
1/1 记忆手镯
1/1 记忆戒指
1/1 祈祷头盔
1/1 祈祷之刃
1/1 祈祷手镯
1/1 祈祷项链
1/1 祈祷戒指
1/1 兽皮腰带
1/1 双倍卷轴
)
