;地图号 座标X 座标Y 范围 触发标识 触发条件 触发机率 事件类型
D71603 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D71604 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D71605 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D71606 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D71607 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D71608 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D71609 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D71610 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D71611 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D71612 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D71613 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D71614 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D71615 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D71616 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D71617 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D71618 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D71619 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D71620 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D71621 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D71622 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D71623 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D71624 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D71625 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D71650 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D71651 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D71652 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D71653 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
R001 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D601 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D602 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D603 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D604 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D605 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D606 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D607 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D608 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D609 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D610 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D611 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D612 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D613 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D614 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D615 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D616 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D617 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D618 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
E001 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
E002 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
E401 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
E402 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
E403 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
E404 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
E601 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
E602 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
E603 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
E604 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
E605 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
M001 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
Q001A -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
Q004A -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
Q001 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
Q002 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
Q003 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
Q004 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
Q011 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
Q012 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
Q013 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
Q014 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
Q015 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
Q016 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B010 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B011 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B012 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B013 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B101 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B102 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B103 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B104 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B105 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B106 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B107 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B108 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B109 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B110 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B111 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B112 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B113 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B114 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B115 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B116 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B117 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B118 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B119 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B120 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B121 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B122 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B123 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B124 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B125 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B126 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B127 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B128 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B129 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B130 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B131 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B132 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B133 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B134 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B135 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B136 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B137 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B138 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B139 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B140 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
T103 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
T105 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
T1061A -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
T1062 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
T1063 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
T109 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
T115 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
T118A -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
T119 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
T125 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
T1281 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
T1282 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
T1283 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
T131 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
T132 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
T134 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
T1361 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
T1362 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
T1363 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
T138 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
T139 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
T140 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
11 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
12 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
0123A -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
1001 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
1002 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
1003 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
1004 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
1005 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
1006 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
1007 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D10011 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D10012 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D10013 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D1002 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D10031 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D10032 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D1004 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D10051 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D10052 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D10061 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D10062 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D10071 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
T1341 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
T1342 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
T1343 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
4 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B341 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B342 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B343 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B344 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B345 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B346 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B347 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D10053 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D10054 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D2003 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D2000 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D2001 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D2002 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D2004 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D2005 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D2006 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D2007 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D2008 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D2009 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D2010 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D2011 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D2012 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D2013 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
M101 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
M100 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
5 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B351 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B352 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B353 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B354 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B355 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B356 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D2051 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D2053 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D2052 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D2061 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D2062 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D2063 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D2064 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D2067 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D2070 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D2071 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D2072 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D2073 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D2075 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D2076 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D2078 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D2079 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
H001 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
H002 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
H003 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
H004 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
H005 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
H006 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
H007 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
T1061 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
T2061 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
T2062 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
T2063 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
T3061 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
T3062 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
T3063 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
H008 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
H009 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
H010 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
H102 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
