1	0	0	19	11	221	244	有什么好的	FZ-0_F3-0	0	1	我太无敌	2024-06-10 19:30:02
1	0	0	111	YXSD	28	71	三好	元宝	5	-	Map	2024-06-10 19:33:17
1	0	0	13	YXSD	28	82	三好	金币	2000	1	购买商铺物品	2024-06-10 19:33:26
1	0	0	13	YXSD	28	82	三好	金币	2000	1	购买商铺物品	2024-06-10 19:33:26
1	0	0	111	YXSD	28	85	三好	元宝	5	-	Map	2024-06-10 19:33:26
1	0	0	13	YXSD	28	85	三好	金币	2000	1	购买商铺物品	2024-06-10 19:33:26
1	0	0	13	YXSD	37	94	三好	金币	2000	1	购买商铺物品	2024-06-10 19:33:32
1	0	0	111	YXSD	42	83	三好	元宝	5	-	Map	2024-06-10 19:33:38
1	0	0	13	hero1	173	215	小猪佩奇	金币	2000	1	购买商铺物品	2024-06-10 19:33:38
1	0	0	13	YXSD	34	71	三好	金币	100	1	购买商铺物品	2024-06-10 19:33:44
1	0	0	111	YXSD	31	59	三好	元宝	5	-	Map	2024-06-10 19:33:47
1	0	0	13	YXSD	31	59	三好	金币	100	1	购买商铺物品	2024-06-10 19:33:50
1	0	0	13	YXSD	25	71	三好	金币	2000	1	购买商铺物品	2024-06-10 19:33:53
1	0	0	13	hero1	180	200	小猪佩奇	金币	2000	1	购买商铺物品	2024-06-10 19:33:56
1	0	0	13	YXSD	45	38	三好	金币	100	1	购买商铺物品	2024-06-10 19:33:56
1	0	0	13	YXSD	45	38	三好	金币	2000	1	购买商铺物品	2024-06-10 19:33:56
1	0	0	13	YXSD	43	40	三好	金币	2000	1	购买商铺物品	2024-06-10 19:33:56
1	0	0	111	YXSD	43	40	三好	元宝	5	-	Map	2024-06-10 19:33:56
1	0	0	13	YXSD	41	42	三好	金币	100	1	购买商铺物品	2024-06-10 19:33:59
1	0	0	13	YXSD	25	51	三好	金币	100	1	购买商铺物品	2024-06-10 19:34:02
1	0	0	13	H006	56	56	HEiyAa	金币	1000	1	购买商铺物品	2024-06-10 19:34:05
1	0	0	111	YXSD	41	71	三好	元宝	5	-	Map	2024-06-10 19:34:08
1	0	0	13	YXSD	45	80	三好	金币	100	1	购买商铺物品	2024-06-10 19:34:14
1	0	0	13	YXSD	57	41	三好	金币	100	1	购买商铺物品	2024-06-10 19:34:14
1	0	0	111	YXSD	57	41	三好	元宝	5	-	Map	2024-06-10 19:34:17
1	0	0	13	YXSD	36	37	三好	金币	100	1	购买商铺物品	2024-06-10 19:34:20
1	0	0	13	hero1	54	208	小猪佩奇	金币	2000	1	购买商铺物品	2024-06-10 19:34:23
1	0	0	111	YXSD	37	66	三好	元宝	5	-	Map	2024-06-10 19:34:26
1	0	0	13	hero1	54	212	小猪佩奇	金币	2000	1	购买商铺物品	2024-06-10 19:34:32
1	0	0	111	YXSD	25	80	三好	元宝	5	-	Map	2024-06-10 19:34:38
1	0	0	13	YXSD	27	82	三好	金币	2000	1	购买商铺物品	2024-06-10 19:34:38
1	0	0	13	YXSD	31	85	三好	金币	2000	1	购买商铺物品	2024-06-10 19:34:38
1	0	0	13	YXSD	31	85	三好	金币	2000	1	购买商铺物品	2024-06-10 19:34:41
1	0	0	13	YXSD	65	78	三好	金币	100	1	购买商铺物品	2024-06-10 19:34:44
1	0	0	13	YXSD	61	22	三好	金币	100	1	购买商铺物品	2024-06-10 19:34:50
1	0	0	111	YXSD	76	70	三好	元宝	5	-	Map	2024-06-10 19:34:50
1	0	0	13	YXSD	56	50	三好	金币	100	1	购买商铺物品	2024-06-10 19:34:50
1	0	0	13	YXSD	47	35	三好	金币	100	1	购买商铺物品	2024-06-10 19:34:50
1	0	0	13	YXSD	33	68	三好	金币	100	1	购买商铺物品	2024-06-10 19:34:50
1	0	0	13	YXSD	33	68	三好	金币	100	1	购买商铺物品	2024-06-10 19:34:50
1	0	0	13	hero1	73	64	小猪佩奇	金币	2000	1	购买商铺物品	2024-06-10 19:34:53
1	0	0	13	YXSD	45	31	三好	金币	100	1	购买商铺物品	2024-06-10 19:34:56
1	0	0	111	YXSD	49	39	三好	元宝	5	-	Map	2024-06-10 19:34:59
1	0	0	13	YXSD	49	39	三好	金币	100	1	购买商铺物品	2024-06-10 19:34:59
1	0	0	13	YXSD	52	103	三好	金币	100	1	购买商铺物品	2024-06-10 19:34:59
1	0	0	13	H006	47	26	HEiyAa	金币	2000	1	购买商铺物品	2024-06-10 19:35:02
1	0	0	13	hero1	67	58	小猪佩奇	金币	2000	1	购买商铺物品	2024-06-10 19:35:05
1	0	0	111	YXSD	44	89	三好	元宝	5	-	Map	2024-06-10 19:35:08
1	0	0	111	YXSD	47	86	三好	元宝	5	-	Map	2024-06-10 19:35:20
1	0	0	13	hero1	58	40	小猪佩奇	金币	2000	1	购买商铺物品	2024-06-10 19:35:20
1	0	0	111	YXSD	34	92	三好	元宝	5	-	Map	2024-06-10 19:35:29
1	0	0	13	hero1	74	35	小猪佩奇	金币	2000	1	购买商铺物品	2024-06-10 19:35:32
1	0	0	13	YXSD	40	69	三好	金币	100	1	购买商铺物品	2024-06-10 19:35:35
1	0	0	111	YXSD	36	65	三好	元宝	5	-	Map	2024-06-10 19:35:38
1	0	0	13	YXSD	35	90	三好	金币	100	1	购买商铺物品	2024-06-10 19:35:41
1	0	0	13	YXSD	35	90	三好	金币	2000	1	购买商铺物品	2024-06-10 19:35:41
1	0	0	13	YXSD	53	59	三好	金币	100	1	购买商铺物品	2024-06-10 19:35:44
1	0	0	13	YXSD	20	72	三好	金币	100	1	购买商铺物品	2024-06-10 19:35:44
1	0	0	13	YXSD	20	72	三好	金币	100	1	购买商铺物品	2024-06-10 19:35:44
1	0	0	13	hero1	73	37	小猪佩奇	金币	2000	1	购买商铺物品	2024-06-10 19:35:50
1	0	0	111	YXSD	34	76	三好	元宝	5	-	Map	2024-06-10 19:35:50
1	0	0	13	YXSD	32	84	三好	金币	2000	1	购买商铺物品	2024-06-10 19:35:50
1	0	0	13	YXSD	34	88	三好	金币	2000	1	购买商铺物品	2024-06-10 19:35:53
1	0	0	111	YXSD	46	74	三好	元宝	5	-	Map	2024-06-10 19:35:59
1	0	0	13	hero1	86	47	小猪佩奇	金币	2000	1	购买商铺物品	2024-06-10 19:36:02
1	0	0	111	YXSD	44	87	三好	元宝	5	-	Map	2024-06-10 19:36:08
1	0	0	13	YXSD	13	66	三好	金币	100	1	购买商铺物品	2024-06-10 19:36:14
1	0	0	13	H006	74	31	HEiyAa	金币	2000	1	购买商铺物品	2024-06-10 19:36:17
1	0	0	111	YXSD	33	76	三好	元宝	5	-	Map	2024-06-10 19:36:20
1	0	0	13	YXSD	47	103	三好	金币	100	1	购买商铺物品	2024-06-10 19:36:26
1	0	0	13	YXSD	47	103	三好	金币	2000	1	购买商铺物品	2024-06-10 19:36:26
1	0	0	13	YXSD	47	101	三好	金币	2000	1	购买商铺物品	2024-06-10 19:36:26
1	0	0	13	hero1	143	77	小猪佩奇	金币	2000	1	购买商铺物品	2024-06-10 19:36:29
1	0	0	111	YXSD	41	93	三好	元宝	5	-	Map	2024-06-10 19:36:29
1	0	0	13	YXSD	57	90	三好	金币	100	1	购买商铺物品	2024-06-10 19:36:32
1	0	0	111	YXSD	52	95	三好	元宝	5	-	Map	2024-06-10 19:36:38
1	0	0	13	hero1	147	65	小猪佩奇	金币	2000	1	购买商铺物品	2024-06-10 19:36:44
1	0	0	13	YXSD	42	81	三好	金币	2000	1	购买商铺物品	2024-06-10 19:36:50
1	0	0	111	YXSD	86	50	三好	元宝	5	-	Map	2024-06-10 19:36:50
1	0	0	13	YXSD	86	50	三好	金币	100	1	购买商铺物品	2024-06-10 19:36:50
1	0	0	13	YXSD	86	50	三好	金币	2000	1	购买商铺物品	2024-06-10 19:36:50
1	0	0	13	YXSD	60	83	三好	金币	100	1	购买商铺物品	2024-06-10 19:36:50
1	0	0	13	hero1	166	56	小猪佩奇	金币	2000	1	购买商铺物品	2024-06-10 19:36:56
1	0	0	111	YXSD	36	73	三好	元宝	5	-	Map	2024-06-10 19:36:59
1	0	0	13	YXSD	34	73	三好	金币	2000	1	购买商铺物品	2024-06-10 19:37:02
1	0	0	13	YXSD	30	85	三好	金币	2000	1	购买商铺物品	2024-06-10 19:37:08
1	0	0	13	YXSD	29	86	三好	金币	2000	1	购买商铺物品	2024-06-10 19:37:08
1	0	0	13	hero1	170	49	小猪佩奇	金币	2000	1	购买商铺物品	2024-06-10 19:37:08
1	0	0	111	YXSD	33	90	三好	元宝	5	-	Map	2024-06-10 19:37:08
1	0	0	111	YXSD	39	76	三好	元宝	5	-	Map	2024-06-10 19:37:20
1	0	0	13	hero1	182	30	小猪佩奇	金币	2000	1	购买商铺物品	2024-06-10 19:37:20
1	0	0	13	YXSD	30	81	三好	金币	2000	1	购买商铺物品	2024-06-10 19:37:26
1	0	0	111	YXSD	32	89	三好	元宝	5	-	Map	2024-06-10 19:37:32
1	0	0	13	hero1	185	28	小猪佩奇	金币	2000	1	购买商铺物品	2024-06-10 19:37:35
1	0	0	13	YXSD	45	90	三好	金币	2000	1	购买商铺物品	2024-06-10 19:37:35
1	0	0	111	YXSD	50	93	三好	元宝	5	-	Map	2024-06-10 19:37:41
1	0	0	111	YXSD	49	101	三好	元宝	5	-	Map	2024-06-10 19:37:50
1	0	0	13	hero1	194	27	小猪佩奇	金币	2000	1	购买商铺物品	2024-06-10 19:37:50
1	0	0	13	YXSD	73	81	三好	金币	2000	1	购买商铺物品	2024-06-10 19:37:53
1	0	0	13	YXSD	73	81	三好	金币	100	1	购买商铺物品	2024-06-10 19:37:53
1	0	0	13	YXSD	56	40	三好	金币	100	1	购买商铺物品	2024-06-10 19:37:56
1	0	0	13	YXSD	41	64	三好	金币	100	1	购买商铺物品	2024-06-10 19:37:56
1	0	0	111	YXSD	36	76	三好	元宝	5	-	Map	2024-06-10 19:38:02
1	0	0	13	hero1	201	35	小猪佩奇	金币	2000	1	购买商铺物品	2024-06-10 19:38:05
1	0	0	13	YXSD	40	80	三好	金币	2000	1	购买商铺物品	2024-06-10 19:38:08
1	0	0	13	YXSD	41	81	三好	金币	2000	1	购买商铺物品	2024-06-10 19:38:11
1	0	0	111	YXSD	41	81	三好	元宝	5	-	Map	2024-06-10 19:38:11
1	0	0	111	YXSD	44	82	三好	元宝	5	-	Map	2024-06-10 19:38:20
1	0	0	13	H006	81	33	HEiyAa	金币	1000	1	购买商铺物品	2024-06-10 19:38:23
1	0	0	13	hero1	205	39	小猪佩奇	金币	2000	1	购买商铺物品	2024-06-10 19:38:26
1	0	0	111	YXSD	43	82	三好	元宝	5	-	Map	2024-06-10 19:38:32
1	0	0	13	YXSD	35	84	三好	金币	2000	1	购买商铺物品	2024-06-10 19:38:38
1	0	0	111	YXSD	33	76	三好	元宝	5	-	Map	2024-06-10 19:38:41
1	0	0	13	hero1	200	60	小猪佩奇	金币	2000	1	购买商铺物品	2024-06-10 19:38:41
1	0	0	13	YXSD	36	93	三好	金币	100	1	购买商铺物品	2024-06-10 19:38:44
1	0	0	111	YXSD	40	80	三好	元宝	5	-	Map	2024-06-10 19:38:50
1	0	0	13	YXSD	40	80	三好	金币	2000	1	购买商铺物品	2024-06-10 19:38:50
1	0	0	13	YXSD	50	53	三好	金币	100	1	购买商铺物品	2024-06-10 19:38:53
1	0	0	13	hero1	211	66	小猪佩奇	金币	2000	1	购买商铺物品	2024-06-10 19:38:53
1	0	0	13	H006	56	36	HEiyAa	金币	2000	1	购买商铺物品	2024-06-10 19:38:56
1	0	0	13	YXSD	48	30	三好	金币	100	1	购买商铺物品	2024-06-10 19:38:56
1	0	0	13	YXSD	79	58	三好	金币	100	1	购买商铺物品	2024-06-10 19:38:56
1	0	0	13	YXSD	46	31	三好	金币	100	1	购买商铺物品	2024-06-10 19:38:59
1	0	0	13	YXSD	40	77	三好	金币	100	1	购买商铺物品	2024-06-10 19:38:59
1	0	0	111	YXSD	40	77	三好	元宝	5	-	Map	2024-06-10 19:39:02
1	0	0	13	YXSD	44	74	三好	金币	2000	1	购买商铺物品	2024-06-10 19:39:11
1	0	0	111	YXSD	43	75	三好	元宝	5	-	Map	2024-06-10 19:39:11
1	0	0	13	hero1	153	112	小猪佩奇	金币	2000	1	购买商铺物品	2024-06-10 19:39:17
1	0	0	13	YXSD	44	71	三好	金币	2000	1	购买商铺物品	2024-06-10 19:39:20
1	0	0	13	YXSD	80	40	三好	金币	100	1	购买商铺物品	2024-06-10 19:39:20
1	0	0	13	YXSD	44	76	三好	金币	100	1	购买商铺物品	2024-06-10 19:39:20
1	0	0	13	YXSD	44	76	三好	金币	2000	1	购买商铺物品	2024-06-10 19:39:20
1	0	0	111	YXSD	44	76	三好	元宝	5	-	Map	2024-06-10 19:39:20
1	0	0	13	hero1	164	118	小猪佩奇	金币	2000	1	购买商铺物品	2024-06-10 19:39:29
1	0	0	111	YXSD	38	76	三好	元宝	5	-	Map	2024-06-10 19:39:32
1	0	0	111	YXSD	30	81	三好	元宝	5	-	Map	2024-06-10 19:39:41
1	0	0	13	YXSD	30	81	三好	金币	2000	1	购买商铺物品	2024-06-10 19:39:44
1	0	0	13	YXSD	29	84	三好	金币	2000	1	购买商铺物品	2024-06-10 19:39:47
1	0	0	13	hero1	161	99	小猪佩奇	金币	2000	1	购买商铺物品	2024-06-10 19:39:47
1	0	0	111	YXSD	34	81	三好	元宝	5	-	Map	2024-06-10 19:39:50
1	0	0	13	hero1	163	85	小猪佩奇	金币	2000	1	购买商铺物品	2024-06-10 19:39:56
