[2024/8/20 16:0:18] 物品:强效金创药	怪物:246345E0祖玛雕像8	地图:H204	X:79	Y:24 
[2024/8/20 16:1:5] 物品:火龙凭证	怪物:0DABEB90魔龙树妖	地图:H008	X:26	Y:42 
[2024/8/20 16:1:5] 物品:珊瑚戒指	怪物:0DABEB90魔龙树妖	地图:H008	X:26	Y:42 
[2024/8/20 16:1:5] 物品:降妖除魔戒指	怪物:0DABEB90魔龙树妖	地图:H008	X:26	Y:42 
[2024/8/20 16:1:5] 物品:裁决之杖	怪物:0DABEB90魔龙树妖	地图:H008	X:26	Y:42 
[2024/8/20 16:1:5] 物品:紫碧螺	怪物:0DABEB90魔龙树妖	地图:H008	X:26	Y:42 
[2024/8/20 16:1:5] 物品:泰坦戒指	怪物:0DABEB90魔龙树妖	地图:H008	X:26	Y:42 
[2024/8/20 16:1:5] 物品:骑士手镯	怪物:0DABEB90魔龙树妖	地图:H008	X:26	Y:42 
[2024/8/20 16:1:5] 物品:阎罗手套	怪物:0DABEB90魔龙树妖	地图:H008	X:26	Y:42 
[2024/8/20 16:1:5] 物品:绿色项链	怪物:0DABEB90魔龙树妖	地图:H008	X:26	Y:42 
[2024/8/20 16:1:5] 物品:灵魂项链	怪物:0DABEB90魔龙树妖	地图:H008	X:26	Y:42 
[2024/8/20 16:1:5] 物品:钢铁腰带	怪物:0DABEB90魔龙树妖	地图:H008	X:26	Y:42 
[2024/8/20 16:1:5] 物品:圣战戒指	怪物:0DABEB90魔龙树妖	地图:H008	X:26	Y:42 
[2024/8/20 16:1:5] 物品:圣战头盔	怪物:0DABEB90魔龙树妖	地图:H008	X:26	Y:42 
[2024/8/20 16:1:5] 物品:法神手镯	怪物:0DABEB90魔龙树妖	地图:H008	X:26	Y:42 
[2024/8/20 16:1:17] 物品:生命项链	怪物:228FBA50祖玛弓箭手83	地图:H008	X:24	Y:43 
[2024/8/20 16:1:20] 物品:强效太阳水	怪物:2C724E70沃玛教主	地图:T119	X:25	Y:29 
[2024/8/20 16:1:20] 物品:强效太阳水	怪物:2C724E70沃玛教主	地图:T119	X:25	Y:29 
[2024/8/20 16:1:20] 物品:强效太阳水	怪物:2C724E70沃玛教主	地图:T119	X:25	Y:29 
[2024/8/20 16:1:20] 物品:强效太阳水	怪物:2C724E70沃玛教主	地图:T119	X:25	Y:29 
[2024/8/20 16:1:20] 物品:强效太阳水	怪物:2C724E70沃玛教主	地图:T119	X:25	Y:29 
[2024/8/20 16:1:20] 物品:强效太阳水	怪物:2C724E70沃玛教主	地图:T119	X:25	Y:29 
[2024/8/20 16:1:20] 物品:强效太阳水	怪物:2C724E70沃玛教主	地图:T119	X:25	Y:29 
[2024/8/20 16:1:20] 物品:强效太阳水	怪物:2C724E70沃玛教主	地图:T119	X:25	Y:29 
[2024/8/20 16:1:20] 物品:强效太阳水	怪物:2C724E70沃玛教主	地图:T119	X:25	Y:29 
[2024/8/20 16:1:20] 物品:强效太阳水	怪物:2C724E70沃玛教主	地图:T119	X:25	Y:29 
[2024/8/20 16:1:20] 物品:太阳水	怪物:2C724E70沃玛教主	地图:T119	X:25	Y:29 
[2024/8/20 16:1:20] 物品:太阳水	怪物:2C724E70沃玛教主	地图:T119	X:25	Y:29 
[2024/8/20 16:1:20] 物品:太阳水	怪物:2C724E70沃玛教主	地图:T119	X:25	Y:29 
[2024/8/20 16:1:20] 物品:太阳水	怪物:2C724E70沃玛教主	地图:T119	X:25	Y:29 
[2024/8/20 16:1:20] 物品:太阳水	怪物:2C724E70沃玛教主	地图:T119	X:25	Y:29 
[2024/8/20 16:1:20] 物品:太阳水	怪物:2C724E70沃玛教主	地图:T119	X:25	Y:29 
[2024/8/20 16:1:20] 物品:太阳水	怪物:2C724E70沃玛教主	地图:T119	X:25	Y:29 
[2024/8/20 16:1:20] 物品:太阳水	怪物:2C724E70沃玛教主	地图:T119	X:25	Y:29 
[2024/8/20 16:1:20] 物品:太阳水	怪物:2C724E70沃玛教主	地图:T119	X:25	Y:29 
[2024/8/20 16:1:20] 物品:太阳水	怪物:2C724E70沃玛教主	地图:T119	X:25	Y:29 
[2024/8/20 16:1:20] 物品:强效金创药	怪物:2C724E70沃玛教主	地图:T119	X:25	Y:29 
[2024/8/20 16:1:20] 物品:强效金创药	怪物:2C724E70沃玛教主	地图:T119	X:25	Y:29 
[2024/8/20 16:1:20] 物品:强效金创药	怪物:2C724E70沃玛教主	地图:T119	X:25	Y:29 
[2024/8/20 16:1:20] 物品:强效金创药	怪物:2C724E70沃玛教主	地图:T119	X:25	Y:29 
[2024/8/20 16:1:20] 物品:强效金创药	怪物:2C724E70沃玛教主	地图:T119	X:25	Y:29 
[2024/8/20 16:1:20] 物品:强效金创药	怪物:2C724E70沃玛教主	地图:T119	X:25	Y:29 
[2024/8/20 16:1:20] 物品:强效金创药	怪物:2C724E70沃玛教主	地图:T119	X:25	Y:29 
[2024/8/20 16:1:20] 物品:强效金创药	怪物:2C724E70沃玛教主	地图:T119	X:25	Y:29 
[2024/8/20 16:1:20] 物品:强效金创药	怪物:2C724E70沃玛教主	地图:T119	X:25	Y:29 
[2024/8/20 16:1:20] 物品:强效金创药	怪物:2C724E70沃玛教主	地图:T119	X:25	Y:29 
[2024/8/20 16:1:20] 物品:强效魔法药	怪物:2C724E70沃玛教主	地图:T119	X:25	Y:29 
[2024/8/20 16:1:20] 物品:强效魔法药	怪物:2C724E70沃玛教主	地图:T119	X:25	Y:29 
[2024/8/20 16:1:20] 物品:强效魔法药	怪物:2C724E70沃玛教主	地图:T119	X:25	Y:29 
[2024/8/20 16:1:20] 物品:强效魔法药	怪物:2C724E70沃玛教主	地图:T119	X:25	Y:29 
[2024/8/20 16:1:20] 物品:强效魔法药	怪物:2C724E70沃玛教主	地图:T119	X:25	Y:29 
[2024/8/20 16:1:20] 物品:强效魔法药	怪物:2C724E70沃玛教主	地图:T119	X:25	Y:29 
[2024/8/20 16:1:20] 物品:强效魔法药	怪物:2C724E70沃玛教主	地图:T119	X:25	Y:29 
[2024/8/20 16:1:20] 物品:强效魔法药	怪物:2C724E70沃玛教主	地图:T119	X:25	Y:29 
[2024/8/20 16:1:20] 物品:强效魔法药	怪物:2C724E70沃玛教主	地图:T119	X:25	Y:29 
[2024/8/20 16:1:20] 物品:强效魔法药	怪物:2C724E70沃玛教主	地图:T119	X:25	Y:29 
[2024/8/20 16:1:20] 物品:沃玛号角	怪物:2C724E70沃玛教主	地图:T119	X:25	Y:29 
[2024/8/20 16:1:20] 物品:狂风戒指	怪物:2C724E70沃玛教主	地图:T119	X:25	Y:29 
[2024/8/20 16:1:20] 物品:记忆头盔	怪物:2C724E70沃玛教主	地图:T119	X:25	Y:29 
[2024/8/20 16:1:20] 物品:偃月	怪物:2C724E70沃玛教主	地图:T119	X:25	Y:29 
[2024/8/20 16:1:20] 物品:破魂	怪物:2C724E70沃玛教主	地图:T119	X:25	Y:29 
[2024/8/20 16:1:20] 物品:降魔	怪物:2C724E70沃玛教主	地图:T119	X:25	Y:29 
[2024/8/20 16:1:20] 物品:斩马刀	怪物:2C724E70沃玛教主	地图:T119	X:25	Y:29 
[2024/8/20 16:1:20] 物品:修罗	怪物:2C724E70沃玛教主	地图:T119	X:25	Y:29 
[2024/8/20 16:1:20] 物品:凝霜	怪物:2C724E70沃玛教主	地图:T119	X:25	Y:29 
[2024/8/20 16:1:20] 物品:骷髅头盔	怪物:2C724E70沃玛教主	地图:T119	X:25	Y:29 
[2024/8/20 16:1:20] 物品:道士头盔	怪物:2C724E70沃玛教主	地图:T119	X:25	Y:29 
[2024/8/20 16:1:20] 物品:蓝翡翠项链	怪物:2C724E70沃玛教主	地图:T119	X:25	Y:29 
[2024/8/20 16:1:20] 物品:放大镜	怪物:2C724E70沃玛教主	地图:T119	X:25	Y:29 
[2024/8/20 16:1:20] 物品:竹笛	怪物:2C724E70沃玛教主	地图:T119	X:25	Y:29 
[2024/8/20 16:1:20] 物品:小手镯	怪物:2C724E70沃玛教主	地图:T119	X:25	Y:29 
[2024/8/20 16:1:20] 物品:魔法手镯	怪物:2C724E70沃玛教主	地图:T119	X:25	Y:29 
[2024/8/20 16:1:20] 物品:黑檀手镯	怪物:2C724E70沃玛教主	地图:T119	X:25	Y:29 
[2024/8/20 16:1:20] 物品:道士手镯	怪物:2C724E70沃玛教主	地图:T119	X:25	Y:29 
[2024/8/20 16:1:20] 物品:死神手套	怪物:2C724E70沃玛教主	地图:T119	X:25	Y:29 
[2024/8/20 16:1:20] 物品:金手镯	怪物:2C724E70沃玛教主	地图:T119	X:25	Y:29 
[2024/8/20 16:1:20] 物品:黑色水晶戒指	怪物:2C724E70沃玛教主	地图:T119	X:25	Y:29 
[2024/8/20 16:1:20] 物品:蛇眼戒指	怪物:2C724E70沃玛教主	地图:T119	X:25	Y:29 
[2024/8/20 16:1:20] 物品:珍珠戒指	怪物:2C724E70沃玛教主	地图:T119	X:25	Y:29 
[2024/8/20 16:1:20] 物品:金戒指	怪物:2C724E70沃玛教主	地图:T119	X:25	Y:29 
[2024/8/20 16:1:20] 物品:骷髅戒指	怪物:2C724E70沃玛教主	地图:T119	X:25	Y:29 
[2024/8/20 16:1:20] 物品:魅力戒指	怪物:2C724E70沃玛教主	地图:T119	X:25	Y:29 
[2024/8/20 16:1:20] 物品:道德戒指	怪物:2C724E70沃玛教主	地图:T119	X:25	Y:29 
[2024/8/20 16:1:20] 物品:降妖除魔戒指	怪物:2C724E70沃玛教主	地图:T119	X:25	Y:29 
[2024/8/20 16:1:20] 物品:珊瑚戒指	怪物:2C724E70沃玛教主	地图:T119	X:25	Y:29 
[2024/8/20 16:1:20] 物品:地狱雷光	怪物:2C724E70沃玛教主	地图:T119	X:25	Y:29 
[2024/8/20 16:1:53] 物品:强效太阳水	怪物:2C4B5520沃玛教主	地图:T119	X:30	Y:32 
[2024/8/20 16:1:53] 物品:强效太阳水	怪物:2C4B5520沃玛教主	地图:T119	X:30	Y:32 
[2024/8/20 16:1:53] 物品:强效太阳水	怪物:2C4B5520沃玛教主	地图:T119	X:30	Y:32 
[2024/8/20 16:1:53] 物品:强效太阳水	怪物:2C4B5520沃玛教主	地图:T119	X:30	Y:32 
[2024/8/20 16:1:53] 物品:强效太阳水	怪物:2C4B5520沃玛教主	地图:T119	X:30	Y:32 
[2024/8/20 16:1:53] 物品:强效太阳水	怪物:2C4B5520沃玛教主	地图:T119	X:30	Y:32 
[2024/8/20 16:1:53] 物品:强效太阳水	怪物:2C4B5520沃玛教主	地图:T119	X:30	Y:32 
[2024/8/20 16:1:53] 物品:强效太阳水	怪物:2C4B5520沃玛教主	地图:T119	X:30	Y:32 
[2024/8/20 16:1:53] 物品:强效太阳水	怪物:2C4B5520沃玛教主	地图:T119	X:30	Y:32 
[2024/8/20 16:1:53] 物品:强效太阳水	怪物:2C4B5520沃玛教主	地图:T119	X:30	Y:32 
[2024/8/20 16:1:53] 物品:太阳水	怪物:2C4B5520沃玛教主	地图:T119	X:30	Y:32 
[2024/8/20 16:1:53] 物品:太阳水	怪物:2C4B5520沃玛教主	地图:T119	X:30	Y:32 
[2024/8/20 16:1:53] 物品:太阳水	怪物:2C4B5520沃玛教主	地图:T119	X:30	Y:32 
[2024/8/20 16:1:53] 物品:太阳水	怪物:2C4B5520沃玛教主	地图:T119	X:30	Y:32 
[2024/8/20 16:1:53] 物品:太阳水	怪物:2C4B5520沃玛教主	地图:T119	X:30	Y:32 
[2024/8/20 16:1:53] 物品:太阳水	怪物:2C4B5520沃玛教主	地图:T119	X:30	Y:32 
[2024/8/20 16:1:53] 物品:太阳水	怪物:2C4B5520沃玛教主	地图:T119	X:30	Y:32 
[2024/8/20 16:1:53] 物品:太阳水	怪物:2C4B5520沃玛教主	地图:T119	X:30	Y:32 
[2024/8/20 16:1:53] 物品:太阳水	怪物:2C4B5520沃玛教主	地图:T119	X:30	Y:32 
[2024/8/20 16:1:53] 物品:太阳水	怪物:2C4B5520沃玛教主	地图:T119	X:30	Y:32 
[2024/8/20 16:1:53] 物品:强效金创药	怪物:2C4B5520沃玛教主	地图:T119	X:30	Y:32 
[2024/8/20 16:1:53] 物品:强效金创药	怪物:2C4B5520沃玛教主	地图:T119	X:30	Y:32 
[2024/8/20 16:1:53] 物品:强效金创药	怪物:2C4B5520沃玛教主	地图:T119	X:30	Y:32 
[2024/8/20 16:1:53] 物品:强效金创药	怪物:2C4B5520沃玛教主	地图:T119	X:30	Y:32 
[2024/8/20 16:1:53] 物品:强效金创药	怪物:2C4B5520沃玛教主	地图:T119	X:30	Y:32 
[2024/8/20 16:1:53] 物品:强效金创药	怪物:2C4B5520沃玛教主	地图:T119	X:30	Y:32 
[2024/8/20 16:1:53] 物品:强效金创药	怪物:2C4B5520沃玛教主	地图:T119	X:30	Y:32 
[2024/8/20 16:1:53] 物品:强效金创药	怪物:2C4B5520沃玛教主	地图:T119	X:30	Y:32 
[2024/8/20 16:1:53] 物品:强效金创药	怪物:2C4B5520沃玛教主	地图:T119	X:30	Y:32 
[2024/8/20 16:1:53] 物品:强效金创药	怪物:2C4B5520沃玛教主	地图:T119	X:30	Y:32 
[2024/8/20 16:1:53] 物品:强效魔法药	怪物:2C4B5520沃玛教主	地图:T119	X:30	Y:32 
[2024/8/20 16:1:53] 物品:强效魔法药	怪物:2C4B5520沃玛教主	地图:T119	X:30	Y:32 
[2024/8/20 16:1:53] 物品:强效魔法药	怪物:2C4B5520沃玛教主	地图:T119	X:30	Y:32 
[2024/8/20 16:1:53] 物品:强效魔法药	怪物:2C4B5520沃玛教主	地图:T119	X:30	Y:32 
[2024/8/20 16:1:53] 物品:强效魔法药	怪物:2C4B5520沃玛教主	地图:T119	X:30	Y:32 
[2024/8/20 16:1:53] 物品:强效魔法药	怪物:2C4B5520沃玛教主	地图:T119	X:30	Y:32 
[2024/8/20 16:1:53] 物品:强效魔法药	怪物:2C4B5520沃玛教主	地图:T119	X:30	Y:32 
[2024/8/20 16:1:53] 物品:强效魔法药	怪物:2C4B5520沃玛教主	地图:T119	X:30	Y:32 
[2024/8/20 16:1:53] 物品:强效魔法药	怪物:2C4B5520沃玛教主	地图:T119	X:30	Y:32 
[2024/8/20 16:1:53] 物品:强效魔法药	怪物:2C4B5520沃玛教主	地图:T119	X:30	Y:32 
[2024/8/20 16:1:53] 物品:攻击力药水	怪物:2C4B5520沃玛教主	地图:T119	X:30	Y:32 
[2024/8/20 16:1:53] 物品:偃月	怪物:2C4B5520沃玛教主	地图:T119	X:30	Y:32 
[2024/8/20 16:1:53] 物品:破魂	怪物:2C4B5520沃玛教主	地图:T119	X:30	Y:32 
[2024/8/20 16:1:53] 物品:降魔	怪物:2C4B5520沃玛教主	地图:T119	X:30	Y:32 
[2024/8/20 16:1:53] 物品:斩马刀	怪物:2C4B5520沃玛教主	地图:T119	X:30	Y:32 
[2024/8/20 16:1:53] 物品:修罗	怪物:2C4B5520沃玛教主	地图:T119	X:30	Y:32 
[2024/8/20 16:1:53] 物品:凝霜	怪物:2C4B5520沃玛教主	地图:T119	X:30	Y:32 
[2024/8/20 16:1:53] 物品:骷髅头盔	怪物:2C4B5520沃玛教主	地图:T119	X:30	Y:32 
[2024/8/20 16:1:53] 物品:道士头盔	怪物:2C4B5520沃玛教主	地图:T119	X:30	Y:32 
[2024/8/20 16:1:53] 物品:蓝翡翠项链	怪物:2C4B5520沃玛教主	地图:T119	X:30	Y:32 
[2024/8/20 16:1:53] 物品:放大镜	怪物:2C4B5520沃玛教主	地图:T119	X:30	Y:32 
[2024/8/20 16:1:53] 物品:竹笛	怪物:2C4B5520沃玛教主	地图:T119	X:30	Y:32 
[2024/8/20 16:1:53] 物品:小手镯	怪物:2C4B5520沃玛教主	地图:T119	X:30	Y:32 
[2024/8/20 16:1:53] 物品:魔法手镯	怪物:2C4B5520沃玛教主	地图:T119	X:30	Y:32 
[2024/8/20 16:1:53] 物品:黑檀手镯	怪物:2C4B5520沃玛教主	地图:T119	X:30	Y:32 
[2024/8/20 16:1:53] 物品:道士手镯	怪物:2C4B5520沃玛教主	地图:T119	X:30	Y:32 
[2024/8/20 16:1:53] 物品:死神手套	怪物:2C4B5520沃玛教主	地图:T119	X:30	Y:32 
[2024/8/20 16:1:53] 物品:金手镯	怪物:2C4B5520沃玛教主	地图:T119	X:30	Y:32 
[2024/8/20 16:1:53] 物品:黑色水晶戒指	怪物:2C4B5520沃玛教主	地图:T119	X:30	Y:32 
[2024/8/20 16:1:53] 物品:蛇眼戒指	怪物:2C4B5520沃玛教主	地图:T119	X:30	Y:32 
[2024/8/20 16:1:53] 物品:珍珠戒指	怪物:2C4B5520沃玛教主	地图:T119	X:30	Y:32 
[2024/8/20 16:1:53] 物品:金戒指	怪物:2C4B5520沃玛教主	地图:T119	X:30	Y:32 
[2024/8/20 16:1:53] 物品:骷髅戒指	怪物:2C4B5520沃玛教主	地图:T119	X:30	Y:32 
[2024/8/20 16:1:53] 物品:魅力戒指	怪物:2C4B5520沃玛教主	地图:T119	X:30	Y:32 
[2024/8/20 16:1:53] 物品:道德戒指	怪物:2C4B5520沃玛教主	地图:T119	X:30	Y:32 
[2024/8/20 16:1:53] 物品:降妖除魔戒指	怪物:2C4B5520沃玛教主	地图:T119	X:30	Y:32 
[2024/8/20 16:1:57] 物品:重盔甲(男)	怪物:21F22BD0祖玛雕像8	地图:H204	X:10	Y:52 
[2024/8/20 16:2:22] 物品:强效太阳水	怪物:2C4D51F0沃玛教主	地图:T119	X:29	Y:34 
[2024/8/20 16:2:22] 物品:强效太阳水	怪物:2C4D51F0沃玛教主	地图:T119	X:29	Y:34 
[2024/8/20 16:2:22] 物品:强效太阳水	怪物:2C4D51F0沃玛教主	地图:T119	X:29	Y:34 
[2024/8/20 16:2:22] 物品:强效太阳水	怪物:2C4D51F0沃玛教主	地图:T119	X:29	Y:34 
[2024/8/20 16:2:22] 物品:强效太阳水	怪物:2C4D51F0沃玛教主	地图:T119	X:29	Y:34 
[2024/8/20 16:2:22] 物品:强效太阳水	怪物:2C4D51F0沃玛教主	地图:T119	X:29	Y:34 
