[2024/8/17 0:0:50] 物品:六角戒指	怪物:18FDF670骷髅战士	地图:E401	X:13	Y:12 
[2024/8/17 0:15:35] 物品:牛角戒指	怪物:1922DF80掷斧骷髅	地图:E401	X:74	Y:75 
[2024/8/17 0:15:46] 物品:黑色水晶项链	怪物:1943EDC0骷髅战将	地图:E401	X:63	Y:84 
[2024/8/17 0:15:46] 物品:魔法药(小量)	怪物:17CFB2A0僵尸3	地图:D401	X:71	Y:36 
[2024/8/17 0:15:46] 物品:隐身术	怪物:17CFB2A0僵尸3	地图:D401	X:71	Y:36 
[2024/8/17 0:16:8] 物品:魔法药(小量)	怪物:191A0720骷髅战士	地图:E402	X:12	Y:74 
[2024/8/17 0:16:18] 物品:魔法药(小量)	怪物:194A5A60僵尸3	地图:D401	X:105	Y:104 
[2024/8/17 0:16:19] 物品:金创药(小量)	怪物:191106A0僵尸3	地图:E402	X:13	Y:74 
[2024/8/17 0:16:28] 物品:魔法药(小量)	怪物:1C214450僵尸3	地图:D402	X:141	Y:105 
[2024/8/17 0:17:4] 物品:牛角戒指	怪物:0D53ACF0骷髅战士	地图:D001	X:292	Y:72 
[2024/8/17 0:17:20] 物品:太阳水	怪物:30515790黑野猪8	地图:H102	X:200	Y:166 
[2024/8/17 0:17:33] 物品:回城卷	怪物:1839D870山洞蝙蝠	地图:D001	X:274	Y:80 
[2024/8/17 0:17:34] 物品:金创药(小量)	怪物:27BD9D90僵尸3	地图:D401	X:101	Y:113 
[2024/8/17 0:17:47] 物品:金创药(小量)	怪物:05A01540山洞蝙蝠	地图:D001	X:275	Y:62 
[2024/8/17 0:18:3] 物品:魔法药(小量)	怪物:192BB010稻草人	地图:0	X:669	Y:585 
[2024/8/17 0:18:11] 物品:金创药(小量)	怪物:17F7C490僵尸4	地图:D406	X:56	Y:28 
[2024/8/17 0:18:32] 物品:钢手镯	怪物:1922F5B0掷斧骷髅	地图:E401	X:51	Y:22 
[2024/8/17 0:18:51] 物品:魔法药(小量)	怪物:30FACF10僵尸4	地图:D406	X:61	Y:51 
[2024/8/17 0:19:7] 物品:魔法药(小量)	怪物:28053860僵尸5	地图:D406	X:88	Y:61 
[2024/8/17 0:19:23] 物品:魔鬼项链	怪物:0D99A750骷髅	地图:D001	X:108	Y:331 
[2024/8/17 0:19:23] 物品:HP强化药水	怪物:0D99A750骷髅	地图:D001	X:108	Y:331 
[2024/8/17 0:19:27] 物品:魔法药(小量)	怪物:0D6F0DB0骷髅战士	地图:E401	X:9	Y:9 
[2024/8/17 0:20:0] 物品:太阳水	怪物:18D53300黑色恶蛆8	地图:H102	X:317	Y:93 
[2024/8/17 0:20:9] 物品:金创药(小量)	怪物:28BEF0B0僵尸3	地图:D401	X:90	Y:92 
[2024/8/17 0:21:12] 物品:六角戒指	怪物:191B2790骷髅战士0	地图:E401	X:90	Y:38 
[2024/8/17 0:21:12] 物品:金创药(中量)	怪物:191B2790骷髅战士0	地图:E401	X:90	Y:38 
[2024/8/17 0:21:12] 物品:金创药(中量)	怪物:191B2790骷髅战士0	地图:E401	X:90	Y:38 
[2024/8/17 0:21:12] 物品:金创药(中量)	怪物:191B2790骷髅战士0	地图:E401	X:90	Y:38 
[2024/8/17 0:21:12] 物品:金创药(中量)	怪物:191B2790骷髅战士0	地图:E401	X:90	Y:38 
[2024/8/17 0:21:12] 物品:魔法药(中量)	怪物:191B2790骷髅战士0	地图:E401	X:90	Y:38 
[2024/8/17 0:21:12] 物品:魔法药(中量)	怪物:191B2790骷髅战士0	地图:E401	X:90	Y:38 
[2024/8/17 0:21:12] 物品:魔法药(中量)	怪物:191B2790骷髅战士0	地图:E401	X:90	Y:38 
[2024/8/17 0:21:12] 物品:魔法药(中量)	怪物:191B2790骷髅战士0	地图:E401	X:90	Y:38 
[2024/8/17 0:21:14] 物品:金创药(小量)	怪物:18FD2EC0僵尸3	地图:D401	X:137	Y:115 
[2024/8/17 0:21:29] 物品:魔法药(小量)	怪物:05A2B320僵尸3	地图:D401	X:137	Y:113 
[2024/8/17 0:21:48] 物品:轻型盔甲(男)	怪物:19232210掷斧骷髅	地图:E401	X:71	Y:21 
[2024/8/17 0:21:53] 物品:金创药(小量)	怪物:18FD2EC0僵尸3	地图:D401	X:137	Y:115 
[2024/8/17 0:21:53] 物品:魔法药(小量)	怪物:18FD2EC0僵尸3	地图:D401	X:137	Y:115 
[2024/8/17 0:21:59] 物品:魔法药(小量)	怪物:191B53F0山洞蝙蝠	地图:E401	X:71	Y:22 
[2024/8/17 0:22:7] 物品:太阳水	怪物:15D17470黑野猪8	地图:H102	X:158	Y:58 
[2024/8/17 0:22:14] 物品:魔法药(中量)	怪物:192089F0骷髅战将	地图:E401	X:66	Y:15 
[2024/8/17 0:22:15] 物品:金创药(小量)	怪物:037FBA10僵尸3	地图:D401	X:128	Y:120 
[2024/8/17 0:22:25] 物品:攻击力药水	怪物:191E7570骷髅	地图:E401	X:65	Y:17 
[2024/8/17 0:22:59] 物品:金创药(中量)	怪物:30A3EA90僵尸2	地图:D401	X:128	Y:134 
[2024/8/17 0:23:4] 物品:大手镯	怪物:29BB0DB0骷髅战将	地图:D002	X:311	Y:14 
[2024/8/17 0:23:48] 物品:魅力戒指	怪物:0D9DFF70红野猪8	地图:H102	X:152	Y:156 
[2024/8/17 0:23:51] 物品:重盔甲(女)	怪物:18761B00黑野猪8	地图:H102	X:312	Y:57 
[2024/8/17 0:24:8] 物品:金创药(小量)	怪物:2816B0B0僵尸3	地图:D401	X:145	Y:119 
[2024/8/17 0:24:8] 物品:攻杀剑术	怪物:2816B0B0僵尸3	地图:D401	X:145	Y:119 
[2024/8/17 0:24:32] 物品:金创药(小量)	怪物:18E91890僵尸3	地图:D401	X:157	Y:129 
[2024/8/17 0:24:35] 物品:HP强化药水	怪物:15AB9FB0骷髅	地图:D002	X:294	Y:66 
[2024/8/17 0:24:36] 物品:强效太阳水	怪物:30D8DE00尸王8	地图:H001	X:48	Y:91 
[2024/8/17 0:24:36] 物品:强效太阳水	怪物:30D8DE00尸王8	地图:H001	X:48	Y:91 
[2024/8/17 0:24:36] 物品:强效太阳水	怪物:30D8DE00尸王8	地图:H001	X:48	Y:91 
[2024/8/17 0:24:36] 物品:强效太阳水	怪物:30D8DE00尸王8	地图:H001	X:48	Y:91 
[2024/8/17 0:24:36] 物品:强效太阳水	怪物:30D8DE00尸王8	地图:H001	X:48	Y:91 
[2024/8/17 0:24:36] 物品:强效金创药	怪物:30D8DE00尸王8	地图:H001	X:48	Y:91 
[2024/8/17 0:24:36] 物品:强效金创药	怪物:30D8DE00尸王8	地图:H001	X:48	Y:91 
[2024/8/17 0:24:36] 物品:强效魔法药	怪物:30D8DE00尸王8	地图:H001	X:48	Y:91 
[2024/8/17 0:24:36] 物品:强效魔法药	怪物:30D8DE00尸王8	地图:H001	X:48	Y:91 
[2024/8/17 0:24:36] 物品:骷髅戒指	怪物:30D8DE00尸王8	地图:H001	X:48	Y:91 
[2024/8/17 0:24:36] 物品:蛇眼戒指	怪物:30D8DE00尸王8	地图:H001	X:48	Y:91 
[2024/8/17 0:24:36] 物品:珍珠戒指	怪物:30D8DE00尸王8	地图:H001	X:48	Y:91 
[2024/8/17 0:24:36] 物品:魔力手镯	怪物:30D8DE00尸王8	地图:H001	X:48	Y:91 
[2024/8/17 0:24:41] 物品:魔法药(小量)	怪物:18E60320僵尸3	地图:D401	X:154	Y:115 
[2024/8/17 0:24:52] 物品:半月	怪物:188832E0骷髅战士	地图:D002	X:315	Y:75 
[2024/8/17 0:25:12] 物品:黑色水晶项链	怪物:30472260骷髅战将	地图:D002	X:321	Y:77 
[2024/8/17 0:25:22] 物品:金创药(小量)	怪物:181C64C0骷髅0	地图:D002	X:316	Y:83 
[2024/8/17 0:25:22] 物品:金创药(小量)	怪物:181C64C0骷髅0	地图:D002	X:316	Y:83 
[2024/8/17 0:25:22] 物品:金创药(小量)	怪物:181C64C0骷髅0	地图:D002	X:316	Y:83 
[2024/8/17 0:25:22] 物品:金创药(小量)	怪物:181C64C0骷髅0	地图:D002	X:316	Y:83 
[2024/8/17 0:25:22] 物品:魔法药(小量)	怪物:181C64C0骷髅0	地图:D002	X:316	Y:83 
[2024/8/17 0:25:22] 物品:魔法药(小量)	怪物:181C64C0骷髅0	地图:D002	X:316	Y:83 
[2024/8/17 0:25:22] 物品:魔法药(小量)	怪物:181C64C0骷髅0	地图:D002	X:316	Y:83 
[2024/8/17 0:25:22] 物品:魔法药(小量)	怪物:181C64C0骷髅0	地图:D002	X:316	Y:83 
[2024/8/17 0:25:23] 物品:金创药(小量)	怪物:1E098160僵尸3	地图:D401	X:129	Y:149 
[2024/8/17 0:25:23] 物品:魔法药(小量)	怪物:1E098160僵尸3	地图:D401	X:129	Y:149 
