[2024/8/17 11:0:10] 物品:金创药(中量)	怪物:309A1A60僵尸2	地图:D401	X:126	Y:145 
[2024/8/17 11:2:29] 物品:金创药(小量)	怪物:0D71A5D0僵尸3	地图:D401	X:141	Y:74 
[2024/8/17 11:2:33] 物品:琥珀项链	怪物:285C9350骷髅	地图:D003	X:108	Y:274 
[2024/8/17 11:2:35] 物品:魔法手镯	怪物:037FFCA0祖玛雕像8	地图:H204	X:50	Y:50 
[2024/8/17 11:2:35] 物品:珍珠戒指	怪物:037FFCA0祖玛雕像8	地图:H204	X:50	Y:50 
[2024/8/17 11:2:36] 物品:铁剑	怪物:1850B320骷髅战将	地图:D003	X:107	Y:273 
[2024/8/17 11:2:38] 物品:金创药(小量)	怪物:19E472E0骷髅战士	地图:D002	X:296	Y:203 
[2024/8/17 11:2:40] 物品:强效太阳水	怪物:299A9AC0沃玛教主	地图:H204	X:91	Y:53 
[2024/8/17 11:2:40] 物品:强效太阳水	怪物:299A9AC0沃玛教主	地图:H204	X:91	Y:53 
[2024/8/17 11:2:40] 物品:强效太阳水	怪物:299A9AC0沃玛教主	地图:H204	X:91	Y:53 
[2024/8/17 11:2:40] 物品:强效太阳水	怪物:299A9AC0沃玛教主	地图:H204	X:91	Y:53 
[2024/8/17 11:2:40] 物品:强效太阳水	怪物:299A9AC0沃玛教主	地图:H204	X:91	Y:53 
[2024/8/17 11:2:40] 物品:强效太阳水	怪物:299A9AC0沃玛教主	地图:H204	X:91	Y:53 
[2024/8/17 11:2:40] 物品:强效太阳水	怪物:299A9AC0沃玛教主	地图:H204	X:91	Y:53 
[2024/8/17 11:2:40] 物品:强效太阳水	怪物:299A9AC0沃玛教主	地图:H204	X:91	Y:53 
[2024/8/17 11:2:40] 物品:强效太阳水	怪物:299A9AC0沃玛教主	地图:H204	X:91	Y:53 
[2024/8/17 11:2:40] 物品:强效太阳水	怪物:299A9AC0沃玛教主	地图:H204	X:91	Y:53 
[2024/8/17 11:2:40] 物品:太阳水	怪物:299A9AC0沃玛教主	地图:H204	X:91	Y:53 
[2024/8/17 11:2:40] 物品:太阳水	怪物:299A9AC0沃玛教主	地图:H204	X:91	Y:53 
[2024/8/17 11:2:40] 物品:太阳水	怪物:299A9AC0沃玛教主	地图:H204	X:91	Y:53 
[2024/8/17 11:2:40] 物品:太阳水	怪物:299A9AC0沃玛教主	地图:H204	X:91	Y:53 
[2024/8/17 11:2:40] 物品:太阳水	怪物:299A9AC0沃玛教主	地图:H204	X:91	Y:53 
[2024/8/17 11:2:40] 物品:太阳水	怪物:299A9AC0沃玛教主	地图:H204	X:91	Y:53 
[2024/8/17 11:2:40] 物品:太阳水	怪物:299A9AC0沃玛教主	地图:H204	X:91	Y:53 
[2024/8/17 11:2:40] 物品:太阳水	怪物:299A9AC0沃玛教主	地图:H204	X:91	Y:53 
[2024/8/17 11:2:40] 物品:太阳水	怪物:299A9AC0沃玛教主	地图:H204	X:91	Y:53 
[2024/8/17 11:2:40] 物品:太阳水	怪物:299A9AC0沃玛教主	地图:H204	X:91	Y:53 
[2024/8/17 11:2:40] 物品:强效金创药	怪物:299A9AC0沃玛教主	地图:H204	X:91	Y:53 
[2024/8/17 11:2:40] 物品:强效金创药	怪物:299A9AC0沃玛教主	地图:H204	X:91	Y:53 
[2024/8/17 11:2:40] 物品:强效金创药	怪物:299A9AC0沃玛教主	地图:H204	X:91	Y:53 
[2024/8/17 11:2:40] 物品:强效金创药	怪物:299A9AC0沃玛教主	地图:H204	X:91	Y:53 
[2024/8/17 11:2:40] 物品:强效金创药	怪物:299A9AC0沃玛教主	地图:H204	X:91	Y:53 
[2024/8/17 11:2:40] 物品:强效金创药	怪物:299A9AC0沃玛教主	地图:H204	X:91	Y:53 
[2024/8/17 11:2:40] 物品:强效金创药	怪物:299A9AC0沃玛教主	地图:H204	X:91	Y:53 
[2024/8/17 11:2:40] 物品:强效金创药	怪物:299A9AC0沃玛教主	地图:H204	X:91	Y:53 
[2024/8/17 11:2:40] 物品:强效金创药	怪物:299A9AC0沃玛教主	地图:H204	X:91	Y:53 
[2024/8/17 11:2:40] 物品:强效金创药	怪物:299A9AC0沃玛教主	地图:H204	X:91	Y:53 
[2024/8/17 11:2:40] 物品:强效魔法药	怪物:299A9AC0沃玛教主	地图:H204	X:91	Y:53 
[2024/8/17 11:2:40] 物品:强效魔法药	怪物:299A9AC0沃玛教主	地图:H204	X:91	Y:53 
[2024/8/17 11:2:40] 物品:强效魔法药	怪物:299A9AC0沃玛教主	地图:H204	X:91	Y:53 
[2024/8/17 11:2:40] 物品:强效魔法药	怪物:299A9AC0沃玛教主	地图:H204	X:91	Y:53 
[2024/8/17 11:2:40] 物品:强效魔法药	怪物:299A9AC0沃玛教主	地图:H204	X:91	Y:53 
[2024/8/17 11:2:40] 物品:强效魔法药	怪物:299A9AC0沃玛教主	地图:H204	X:91	Y:53 
[2024/8/17 11:2:40] 物品:强效魔法药	怪物:299A9AC0沃玛教主	地图:H204	X:91	Y:53 
[2024/8/17 11:2:40] 物品:强效魔法药	怪物:299A9AC0沃玛教主	地图:H204	X:91	Y:53 
[2024/8/17 11:2:40] 物品:强效魔法药	怪物:299A9AC0沃玛教主	地图:H204	X:91	Y:53 
[2024/8/17 11:2:40] 物品:强效魔法药	怪物:299A9AC0沃玛教主	地图:H204	X:91	Y:53 
[2024/8/17 11:2:40] 物品:HP强化药水	怪物:299A9AC0沃玛教主	地图:H204	X:91	Y:53 
[2024/8/17 11:2:40] 物品:攻击神水	怪物:299A9AC0沃玛教主	地图:H204	X:91	Y:53 
[2024/8/17 11:2:40] 物品:攻击神水	怪物:299A9AC0沃玛教主	地图:H204	X:91	Y:53 
[2024/8/17 11:2:40] 物品:重盔甲(男)	怪物:299A9AC0沃玛教主	地图:H204	X:91	Y:53 
[2024/8/17 11:2:40] 物品:魔法长袍(女)	怪物:299A9AC0沃玛教主	地图:H204	X:91	Y:53 
[2024/8/17 11:2:40] 物品:灵魂战衣(女)	怪物:299A9AC0沃玛教主	地图:H204	X:91	Y:53 
[2024/8/17 11:2:40] 物品:偃月	怪物:299A9AC0沃玛教主	地图:H204	X:91	Y:53 
[2024/8/17 11:2:40] 物品:破魂	怪物:299A9AC0沃玛教主	地图:H204	X:91	Y:53 
[2024/8/17 11:2:40] 物品:降魔	怪物:299A9AC0沃玛教主	地图:H204	X:91	Y:53 
[2024/8/17 11:2:40] 物品:斩马刀	怪物:299A9AC0沃玛教主	地图:H204	X:91	Y:53 
[2024/8/17 11:2:40] 物品:修罗	怪物:299A9AC0沃玛教主	地图:H204	X:91	Y:53 
[2024/8/17 11:2:40] 物品:凝霜	怪物:299A9AC0沃玛教主	地图:H204	X:91	Y:53 
[2024/8/17 11:2:40] 物品:骷髅头盔	怪物:299A9AC0沃玛教主	地图:H204	X:91	Y:53 
[2024/8/17 11:2:40] 物品:道士头盔	怪物:299A9AC0沃玛教主	地图:H204	X:91	Y:53 
[2024/8/17 11:2:40] 物品:蓝翡翠项链	怪物:299A9AC0沃玛教主	地图:H204	X:91	Y:53 
[2024/8/17 11:2:40] 物品:放大镜	怪物:299A9AC0沃玛教主	地图:H204	X:91	Y:53 
[2024/8/17 11:2:40] 物品:竹笛	怪物:299A9AC0沃玛教主	地图:H204	X:91	Y:53 
[2024/8/17 11:2:40] 物品:小手镯	怪物:299A9AC0沃玛教主	地图:H204	X:91	Y:53 
[2024/8/17 11:2:40] 物品:魔法手镯	怪物:299A9AC0沃玛教主	地图:H204	X:91	Y:53 
[2024/8/17 11:2:40] 物品:黑檀手镯	怪物:299A9AC0沃玛教主	地图:H204	X:91	Y:53 
[2024/8/17 11:2:40] 物品:道士手镯	怪物:299A9AC0沃玛教主	地图:H204	X:91	Y:53 
[2024/8/17 11:2:40] 物品:死神手套	怪物:299A9AC0沃玛教主	地图:H204	X:91	Y:53 
[2024/8/17 11:2:40] 物品:金手镯	怪物:299A9AC0沃玛教主	地图:H204	X:91	Y:53 
[2024/8/17 11:2:40] 物品:黑色水晶戒指	怪物:299A9AC0沃玛教主	地图:H204	X:91	Y:53 
[2024/8/17 11:2:40] 物品:蛇眼戒指	怪物:299A9AC0沃玛教主	地图:H204	X:91	Y:53 
[2024/8/17 11:2:40] 物品:珍珠戒指	怪物:299A9AC0沃玛教主	地图:H204	X:91	Y:53 
[2024/8/17 11:2:40] 物品:金戒指	怪物:299A9AC0沃玛教主	地图:H204	X:91	Y:53 
[2024/8/17 11:2:40] 物品:骷髅戒指	怪物:299A9AC0沃玛教主	地图:H204	X:91	Y:53 
[2024/8/17 11:2:40] 物品:魅力戒指	怪物:299A9AC0沃玛教主	地图:H204	X:91	Y:53 
[2024/8/17 11:2:40] 物品:道德戒指	怪物:299A9AC0沃玛教主	地图:H204	X:91	Y:53 
[2024/8/17 11:2:40] 物品:降妖除魔戒指	怪物:299A9AC0沃玛教主	地图:H204	X:91	Y:53 
[2024/8/17 11:2:40] 物品:珊瑚戒指	怪物:299A9AC0沃玛教主	地图:H204	X:91	Y:53 
[2024/8/17 11:2:40] 物品:半月弯刀	怪物:299A9AC0沃玛教主	地图:H204	X:91	Y:53 
[2024/8/17 11:2:40] 物品:群体治疗术	怪物:299A9AC0沃玛教主	地图:H204	X:91	Y:53 
[2024/8/17 11:2:44] 物品:魔法手镯	怪物:18C63860祖玛卫士8	地图:H204	X:51	Y:51 
[2024/8/17 11:2:46] 物品:金创药(中量)	怪物:1CB6CE30骷髅战将0	地图:D002	X:296	Y:203 
[2024/8/17 11:2:46] 物品:金创药(中量)	怪物:1CB6CE30骷髅战将0	地图:D002	X:296	Y:203 
[2024/8/17 11:2:46] 物品:金创药(中量)	怪物:1CB6CE30骷髅战将0	地图:D002	X:296	Y:203 
[2024/8/17 11:2:46] 物品:金创药(中量)	怪物:1CB6CE30骷髅战将0	地图:D002	X:296	Y:203 
[2024/8/17 11:2:46] 物品:魔法药(中量)	怪物:1CB6CE30骷髅战将0	地图:D002	X:296	Y:203 
[2024/8/17 11:2:46] 物品:魔法药(中量)	怪物:1CB6CE30骷髅战将0	地图:D002	X:296	Y:203 
[2024/8/17 11:2:46] 物品:魔法药(中量)	怪物:1CB6CE30骷髅战将0	地图:D002	X:296	Y:203 
[2024/8/17 11:2:46] 物品:魔法药(中量)	怪物:1CB6CE30骷髅战将0	地图:D002	X:296	Y:203 
[2024/8/17 11:2:50] 物品:金创药(小量)	怪物:1CB96650僵尸3	地图:E601	X:13	Y:117 
[2024/8/17 11:2:57] 物品:道士头盔	怪物:19490D90祖玛弓箭手8	地图:H204	X:44	Y:57 
[2024/8/17 11:2:57] 物品:白色虎齿项链	怪物:19490D90祖玛弓箭手8	地图:H204	X:44	Y:57 
[2024/8/17 11:2:58] 物品:大手镯	怪物:053BA7D0掷斧骷髅0	地图:D002	X:296	Y:206 
[2024/8/17 11:2:58] 物品:金创药(中量)	怪物:053BA7D0掷斧骷髅0	地图:D002	X:296	Y:206 
[2024/8/17 11:2:58] 物品:金创药(中量)	怪物:053BA7D0掷斧骷髅0	地图:D002	X:296	Y:206 
[2024/8/17 11:2:58] 物品:金创药(中量)	怪物:053BA7D0掷斧骷髅0	地图:D002	X:296	Y:206 
[2024/8/17 11:2:58] 物品:金创药(中量)	怪物:053BA7D0掷斧骷髅0	地图:D002	X:296	Y:206 
[2024/8/17 11:2:58] 物品:魔法药(中量)	怪物:053BA7D0掷斧骷髅0	地图:D002	X:296	Y:206 
[2024/8/17 11:2:58] 物品:魔法药(中量)	怪物:053BA7D0掷斧骷髅0	地图:D002	X:296	Y:206 
[2024/8/17 11:2:58] 物品:魔法药(中量)	怪物:053BA7D0掷斧骷髅0	地图:D002	X:296	Y:206 
[2024/8/17 11:2:58] 物品:魔法药(中量)	怪物:053BA7D0掷斧骷髅0	地图:D002	X:296	Y:206 
[2024/8/17 11:3:3] 物品:皮制手套	怪物:0D8893F0骷髅	地图:D003	X:91	Y:53 
[2024/8/17 11:3:5] 物品:金创药(小量)	怪物:2A807410骷髅0	地图:D002	X:296	Y:207 
[2024/8/17 11:3:5] 物品:金创药(小量)	怪物:2A807410骷髅0	地图:D002	X:296	Y:207 
[2024/8/17 11:3:5] 物品:金创药(小量)	怪物:2A807410骷髅0	地图:D002	X:296	Y:207 
[2024/8/17 11:3:5] 物品:金创药(小量)	怪物:2A807410骷髅0	地图:D002	X:296	Y:207 
[2024/8/17 11:3:5] 物品:魔法药(小量)	怪物:2A807410骷髅0	地图:D002	X:296	Y:207 
[2024/8/17 11:3:5] 物品:魔法药(小量)	怪物:2A807410骷髅0	地图:D002	X:296	Y:207 
[2024/8/17 11:3:5] 物品:魔法药(小量)	怪物:2A807410骷髅0	地图:D002	X:296	Y:207 
[2024/8/17 11:3:5] 物品:魔法药(小量)	怪物:2A807410骷髅0	地图:D002	X:296	Y:207 
[2024/8/17 11:3:14] 物品:金创药(小量)	怪物:309D79C0稻草人	地图:0	X:656	Y:642 
[2024/8/17 11:3:15] 物品:金创药(小量)	怪物:1CB4B9B0僵尸4	地图:E601	X:20	Y:59 
[2024/8/17 11:3:22] 物品:魔法药(小量)	怪物:17EACC80骷髅战士	地图:D003	X:110	Y:246 
[2024/8/17 11:3:23] 物品:魔法长袍(男)	怪物:30F6A4A0红野猪8	地图:H002	X:243	Y:41 
[2024/8/17 11:3:31] 物品:铁剑	怪物:0D620FE0巨型蠕虫	地图:D601	X:56	Y:106 
[2024/8/17 11:3:32] 物品:金创药(小量)	怪物:30C90010骷髅0	地图:D003	X:103	Y:37 
[2024/8/17 11:3:32] 物品:金创药(小量)	怪物:30C90010骷髅0	地图:D003	X:103	Y:37 
[2024/8/17 11:3:32] 物品:金创药(小量)	怪物:30C90010骷髅0	地图:D003	X:103	Y:37 
[2024/8/17 11:3:32] 物品:金创药(小量)	怪物:30C90010骷髅0	地图:D003	X:103	Y:37 
[2024/8/17 11:3:32] 物品:魔法药(小量)	怪物:30C90010骷髅0	地图:D003	X:103	Y:37 
[2024/8/17 11:3:32] 物品:魔法药(小量)	怪物:30C90010骷髅0	地图:D003	X:103	Y:37 
[2024/8/17 11:3:32] 物品:魔法药(小量)	怪物:30C90010骷髅0	地图:D003	X:103	Y:37 
[2024/8/17 11:3:32] 物品:魔法药(小量)	怪物:30C90010骷髅0	地图:D003	X:103	Y:37 
[2024/8/17 11:3:35] 物品:强效太阳水	怪物:290989F0沃玛卫士8	地图:H204	X:88	Y:48 
[2024/8/17 11:3:35] 物品:强效太阳水	怪物:290989F0沃玛卫士8	地图:H204	X:88	Y:48 
[2024/8/17 11:3:35] 物品:强效太阳水	怪物:290989F0沃玛卫士8	地图:H204	X:88	Y:48 
[2024/8/17 11:3:35] 物品:强效太阳水	怪物:290989F0沃玛卫士8	地图:H204	X:88	Y:48 
[2024/8/17 11:3:35] 物品:强效太阳水	怪物:290989F0沃玛卫士8	地图:H204	X:88	Y:48 
[2024/8/17 11:3:35] 物品:太阳水	怪物:290989F0沃玛卫士8	地图:H204	X:88	Y:48 
[2024/8/17 11:3:35] 物品:太阳水	怪物:290989F0沃玛卫士8	地图:H204	X:88	Y:48 
[2024/8/17 11:3:35] 物品:太阳水	怪物:290989F0沃玛卫士8	地图:H204	X:88	Y:48 
[2024/8/17 11:3:35] 物品:太阳水	怪物:290989F0沃玛卫士8	地图:H204	X:88	Y:48 
[2024/8/17 11:3:35] 物品:太阳水	怪物:290989F0沃玛卫士8	地图:H204	X:88	Y:48 
[2024/8/17 11:3:35] 物品:太阳水	怪物:290989F0沃玛卫士8	地图:H204	X:88	Y:48 
[2024/8/17 11:3:35] 物品:太阳水	怪物:290989F0沃玛卫士8	地图:H204	X:88	Y:48 
[2024/8/17 11:3:35] 物品:太阳水	怪物:290989F0沃玛卫士8	地图:H204	X:88	Y:48 
[2024/8/17 11:3:35] 物品:太阳水	怪物:290989F0沃玛卫士8	地图:H204	X:88	Y:48 
[2024/8/17 11:3:35] 物品:太阳水	怪物:290989F0沃玛卫士8	地图:H204	X:88	Y:48 
[2024/8/17 11:3:35] 物品:金创药(中量)	怪物:290989F0沃玛卫士8	地图:H204	X:88	Y:48 
[2024/8/17 11:3:35] 物品:金创药(中量)	怪物:290989F0沃玛卫士8	地图:H204	X:88	Y:48 
[2024/8/17 11:3:35] 物品:强效金创药	怪物:290989F0沃玛卫士8	地图:H204	X:88	Y:48 
[2024/8/17 11:3:35] 物品:强效金创药	怪物:290989F0沃玛卫士8	地图:H204	X:88	Y:48 
