[2024/8/21 22:0:1] 物品:黑铁头盔	怪物:266B0B60祖玛雕像83	地图:H008	X:57	Y:19 
[2024/8/21 22:0:22] 物品:黑铁头盔(封印)	怪物:25516080牛魔王8	地图:H010	X:33	Y:71 
[2024/8/21 22:0:22] 物品:铂金戒指	怪物:25516080牛魔王8	地图:H010	X:33	Y:71 
[2024/8/21 22:0:22] 物品:重盔甲(女)	怪物:25516080牛魔王8	地图:H010	X:33	Y:71 
[2024/8/21 22:0:22] 物品:偃月	怪物:25516080牛魔王8	地图:H010	X:33	Y:71 
[2024/8/21 22:0:22] 物品:破魂	怪物:25516080牛魔王8	地图:H010	X:33	Y:71 
[2024/8/21 22:0:22] 物品:降魔	怪物:25516080牛魔王8	地图:H010	X:33	Y:71 
[2024/8/21 22:0:22] 物品:斩马刀	怪物:25516080牛魔王8	地图:H010	X:33	Y:71 
[2024/8/21 22:0:22] 物品:修罗	怪物:25516080牛魔王8	地图:H010	X:33	Y:71 
[2024/8/21 22:0:22] 物品:骷髅头盔	怪物:25516080牛魔王8	地图:H010	X:33	Y:71 
[2024/8/21 22:0:22] 物品:道士头盔	怪物:25516080牛魔王8	地图:H010	X:33	Y:71 
[2024/8/21 22:0:22] 物品:蓝翡翠项链	怪物:25516080牛魔王8	地图:H010	X:33	Y:71 
[2024/8/21 22:0:22] 物品:放大镜	怪物:25516080牛魔王8	地图:H010	X:33	Y:71 
[2024/8/21 22:0:22] 物品:竹笛	怪物:25516080牛魔王8	地图:H010	X:33	Y:71 
[2024/8/21 22:0:22] 物品:小手镯	怪物:25516080牛魔王8	地图:H010	X:33	Y:71 
[2024/8/21 22:0:22] 物品:魔法手镯	怪物:25516080牛魔王8	地图:H010	X:33	Y:71 
[2024/8/21 22:0:22] 物品:黑檀手镯	怪物:25516080牛魔王8	地图:H010	X:33	Y:71 
[2024/8/21 22:0:22] 物品:道士手镯	怪物:25516080牛魔王8	地图:H010	X:33	Y:71 
[2024/8/21 22:0:22] 物品:死神手套	怪物:25516080牛魔王8	地图:H010	X:33	Y:71 
[2024/8/21 22:0:22] 物品:金手镯	怪物:25516080牛魔王8	地图:H010	X:33	Y:71 
[2024/8/21 22:0:22] 物品:黑色水晶戒指	怪物:25516080牛魔王8	地图:H010	X:33	Y:71 
[2024/8/21 22:0:22] 物品:蛇眼戒指	怪物:25516080牛魔王8	地图:H010	X:33	Y:71 
[2024/8/21 22:0:22] 物品:珍珠戒指	怪物:25516080牛魔王8	地图:H010	X:33	Y:71 
[2024/8/21 22:0:22] 物品:金戒指	怪物:25516080牛魔王8	地图:H010	X:33	Y:71 
[2024/8/21 22:0:22] 物品:骷髅戒指	怪物:25516080牛魔王8	地图:H010	X:33	Y:71 
[2024/8/21 22:0:22] 物品:魅力戒指	怪物:25516080牛魔王8	地图:H010	X:33	Y:71 
[2024/8/21 22:0:22] 物品:道德戒指	怪物:25516080牛魔王8	地图:H010	X:33	Y:71 
[2024/8/21 22:0:22] 物品:降妖除魔戒指	怪物:25516080牛魔王8	地图:H010	X:33	Y:71 
[2024/8/21 22:0:22] 物品:珊瑚戒指	怪物:25516080牛魔王8	地图:H010	X:33	Y:71 
[2024/8/21 22:0:22] 物品:野蛮冲撞	怪物:25516080牛魔王8	地图:H010	X:33	Y:71 
[2024/8/21 22:0:22] 物品:困魔咒	怪物:25516080牛魔王8	地图:H010	X:33	Y:71 
[2024/8/21 22:0:23] 物品:太阳水	怪物:28947020黑色恶蛆8	地图:H004	X:53	Y:141 
[2024/8/21 22:0:23] 物品:金创药(小量)	怪物:23174E00僵尸4	地图:H201	X:103	Y:103 
[2024/8/21 22:0:30] 物品:重盔甲(男)	怪物:28CAF120牛魔法师8	地图:H010	X:195	Y:363 
[2024/8/21 22:0:30] 物品:白色虎齿项链	怪物:28CAF120牛魔法师8	地图:H010	X:195	Y:363 
[2024/8/21 22:0:39] 物品:道士手镯	怪物:2BEEC2B0祖玛雕像83	地图:H008	X:59	Y:19 
[2024/8/21 22:0:45] 物品:金手镯	怪物:1BE03FB0牛魔法师8	地图:H010	X:204	Y:359 
[2024/8/21 22:0:45] 物品:降魔	怪物:1BE03FB0牛魔法师8	地图:H010	X:204	Y:359 
[2024/8/21 22:0:46] 物品:疾光电影	怪物:23CBB1D0恶灵尸王	地图:H201	X:83	Y:106 
[2024/8/21 22:0:46] 物品:召唤骷髅	怪物:23CBB1D0恶灵尸王	地图:H201	X:83	Y:106 
[2024/8/21 22:0:46] 物品:瞬息移动	怪物:23CBB1D0恶灵尸王	地图:H201	X:83	Y:106 
[2024/8/21 22:0:49] 物品:治愈术	怪物:23425580僵尸1	地图:H201	X:80	Y:103 
[2024/8/21 22:1:0] 物品:强效太阳水	怪物:23D0DD10尸王8	地图:H201	X:79	Y:97 
[2024/8/21 22:1:0] 物品:强效太阳水	怪物:23D0DD10尸王8	地图:H201	X:79	Y:97 
[2024/8/21 22:1:0] 物品:强效太阳水	怪物:23D0DD10尸王8	地图:H201	X:79	Y:97 
[2024/8/21 22:1:0] 物品:强效太阳水	怪物:23D0DD10尸王8	地图:H201	X:79	Y:97 
[2024/8/21 22:1:0] 物品:强效太阳水	怪物:23D0DD10尸王8	地图:H201	X:79	Y:97 
[2024/8/21 22:1:0] 物品:强效金创药	怪物:23D0DD10尸王8	地图:H201	X:79	Y:97 
[2024/8/21 22:1:0] 物品:强效金创药	怪物:23D0DD10尸王8	地图:H201	X:79	Y:97 
[2024/8/21 22:1:0] 物品:强效魔法药	怪物:23D0DD10尸王8	地图:H201	X:79	Y:97 
[2024/8/21 22:1:0] 物品:强效魔法药	怪物:23D0DD10尸王8	地图:H201	X:79	Y:97 
[2024/8/21 22:1:0] 物品:骷髅戒指	怪物:23D0DD10尸王8	地图:H201	X:79	Y:97 
[2024/8/21 22:1:0] 物品:蓝翡翠项链	怪物:23D0DD10尸王8	地图:H201	X:79	Y:97 
[2024/8/21 22:1:0] 物品:魔力手镯	怪物:23D0DD10尸王8	地图:H201	X:79	Y:97 
[2024/8/21 22:1:0] 物品:地狱雷光	怪物:23D0DD10尸王8	地图:H201	X:79	Y:97 
[2024/8/21 22:1:3] 物品:大火球	怪物:23B87180僵尸40	地图:H201	X:77	Y:98 
[2024/8/21 22:1:3] 物品:瞬息移动	怪物:23B87180僵尸40	地图:H201	X:77	Y:98 
[2024/8/21 22:1:3] 物品:地狱火	怪物:23B87180僵尸40	地图:H201	X:77	Y:98 
[2024/8/21 22:1:3] 物品:抗拒火环	怪物:23B87180僵尸40	地图:H201	X:77	Y:98 
[2024/8/21 22:1:3] 物品:精神力战法	怪物:23B87180僵尸40	地图:H201	X:77	Y:98 
[2024/8/21 22:1:3] 物品:火球术	怪物:23B87180僵尸40	地图:H201	X:77	Y:98 
[2024/8/21 22:1:3] 物品:治愈术	怪物:23B87180僵尸40	地图:H201	X:77	Y:98 
[2024/8/21 22:1:3] 物品:基本剑术	怪物:23B87180僵尸40	地图:H201	X:77	Y:98 
[2024/8/21 22:1:3] 物品:轻型盔甲(男)	怪物:23B87180僵尸40	地图:H201	X:77	Y:98 
[2024/8/21 22:1:3] 物品:轻型盔甲(女)	怪物:23B87180僵尸40	地图:H201	X:77	Y:98 
[2024/8/21 22:1:3] 物品:黑色水晶项链	怪物:23B87180僵尸40	地图:H201	X:77	Y:98 
[2024/8/21 22:1:3] 物品:金创药(小量)	怪物:23B87180僵尸40	地图:H201	X:77	Y:98 
[2024/8/21 22:1:3] 物品:魔法药(小量)	怪物:23B87180僵尸40	地图:H201	X:77	Y:98 
[2024/8/21 22:1:8] 物品:白色虎齿项链	怪物:2CADC2B0牛魔侍卫8	地图:H010	X:204	Y:359 
[2024/8/21 22:1:13] 物品:强效太阳水	怪物:2C256C70牛魔将军8	地图:H010	X:203	Y:359 
[2024/8/21 22:1:13] 物品:修罗	怪物:2C256C70牛魔将军8	地图:H010	X:203	Y:359 
[2024/8/21 22:1:15] 物品:金创药(小量)	怪物:157F3A90僵尸5	地图:H201	X:87	Y:111 
[2024/8/21 22:1:19] 物品:强效太阳水	怪物:1AAF9200牛魔祭司0	地图:H010	X:35	Y:371 
[2024/8/21 22:1:19] 物品:强效太阳水	怪物:1AAF9200牛魔祭司0	地图:H010	X:35	Y:371 
[2024/8/21 22:1:19] 物品:太阳水	怪物:1AAF9200牛魔祭司0	地图:H010	X:35	Y:371 
[2024/8/21 22:1:19] 物品:太阳水	怪物:1AAF9200牛魔祭司0	地图:H010	X:35	Y:371 
[2024/8/21 22:1:21] 物品:蓝翡翠项链	怪物:2699D2D0牛魔侍卫8	地图:H010	X:35	Y:372 
[2024/8/21 22:1:28] 物品:强效太阳水	怪物:2AE2A710牛魔祭司0	地图:H010	X:36	Y:372 
[2024/8/21 22:1:28] 物品:强效太阳水	怪物:2AE2A710牛魔祭司0	地图:H010	X:36	Y:372 
[2024/8/21 22:1:28] 物品:太阳水	怪物:2AE2A710牛魔祭司0	地图:H010	X:36	Y:372 
[2024/8/21 22:1:28] 物品:修罗	怪物:2AE2A710牛魔祭司0	地图:H010	X:36	Y:372 
[2024/8/21 22:1:31] 物品:强效太阳水	怪物:1789AE30牛魔祭司0	地图:H010	X:35	Y:371 
[2024/8/21 22:1:31] 物品:强效太阳水	怪物:1789AE30牛魔祭司0	地图:H010	X:35	Y:371 
[2024/8/21 22:1:31] 物品:太阳水	怪物:1789AE30牛魔祭司0	地图:H010	X:35	Y:371 
[2024/8/21 22:1:31] 物品:太阳水	怪物:1789AE30牛魔祭司0	地图:H010	X:35	Y:371 
[2024/8/21 22:1:31] 物品:太阳水	怪物:1789AE30牛魔祭司0	地图:H010	X:35	Y:371 
[2024/8/21 22:1:31] 物品:魔法长袍(女)	怪物:1789AE30牛魔祭司0	地图:H010	X:35	Y:371 
[2024/8/21 22:1:32] 物品:骷髅头盔	怪物:28B655F0牛魔将军8	地图:H010	X:197	Y:355 
[2024/8/21 22:1:33] 物品:金创药(小量)	怪物:2339ADA0僵尸4	地图:H201	X:98	Y:113 
[2024/8/21 22:1:34] 物品:强效魔法药	怪物:25BE9330牛魔将军8	地图:H010	X:35	Y:370 
[2024/8/21 22:1:34] 物品:辟邪手镯	怪物:25BE9330牛魔将军8	地图:H010	X:35	Y:370 
[2024/8/21 22:1:34] 物品:修罗	怪物:25BE9330牛魔将军8	地图:H010	X:35	Y:370 
[2024/8/21 22:1:41] 物品:魔法药(小量)	怪物:2AE803B0僵尸4	地图:H201	X:105	Y:115 
[2024/8/21 22:1:43] 物品:青铜剑	怪物:06300170盔甲虫	地图:3	X:241	Y:314 
[2024/8/21 22:1:43] 物品:强效金创药	怪物:28AAC500暗之魔龙教主	地图:H008	X:57	Y:18 
[2024/8/21 22:1:43] 物品:强效魔法药	怪物:28AAC500暗之魔龙教主	地图:H008	X:57	Y:18 
[2024/8/21 22:1:43] 物品:强效金创药	怪物:28AAC500暗之魔龙教主	地图:H008	X:57	Y:18 
[2024/8/21 22:1:43] 物品:强效魔法药	怪物:28AAC500暗之魔龙教主	地图:H008	X:57	Y:18 
[2024/8/21 22:1:43] 物品:强效金创药	怪物:28AAC500暗之魔龙教主	地图:H008	X:57	Y:18 
[2024/8/21 22:1:43] 物品:强效魔法药	怪物:28AAC500暗之魔龙教主	地图:H008	X:57	Y:18 
[2024/8/21 22:1:43] 物品:强效金创药	怪物:28AAC500暗之魔龙教主	地图:H008	X:57	Y:18 
[2024/8/21 22:1:43] 物品:强效魔法药	怪物:28AAC500暗之魔龙教主	地图:H008	X:57	Y:18 
[2024/8/21 22:1:43] 物品:强效金创药	怪物:28AAC500暗之魔龙教主	地图:H008	X:57	Y:18 
[2024/8/21 22:1:43] 物品:强效魔法药	怪物:28AAC500暗之魔龙教主	地图:H008	X:57	Y:18 
[2024/8/21 22:1:43] 物品:祝福油	怪物:28AAC500暗之魔龙教主	地图:H008	X:57	Y:18 
[2024/8/21 22:1:43] 物品:逐日剑法	怪物:28AAC500暗之魔龙教主	地图:H008	X:57	Y:18 
[2024/8/21 22:1:43] 物品:雷霆护腕	怪物:28AAC500暗之魔龙教主	地图:H008	X:57	Y:18 
[2024/8/21 22:1:44] 物品:魔法药(小量)	怪物:28CCD940僵尸5	地图:H201	X:104	Y:115 
[2024/8/21 22:1:46] 物品:强效金创药	怪物:29207A10暗之牛魔王8	地图:H010	X:45	Y:376 
[2024/8/21 22:1:46] 物品:强效金创药	怪物:29207A10暗之牛魔王8	地图:H010	X:45	Y:376 
[2024/8/21 22:1:46] 物品:强效金创药	怪物:29207A10暗之牛魔王8	地图:H010	X:45	Y:376 
[2024/8/21 22:1:46] 物品:强效魔法药	怪物:29207A10暗之牛魔王8	地图:H010	X:45	Y:376 
[2024/8/21 22:1:46] 物品:强效魔法药	怪物:29207A10暗之牛魔王8	地图:H010	X:45	Y:376 
[2024/8/21 22:1:46] 物品:强效金创药	怪物:29207A10暗之牛魔王8	地图:H010	X:45	Y:376 
[2024/8/21 22:1:46] 物品:强效金创药	怪物:29207A10暗之牛魔王8	地图:H010	X:45	Y:376 
[2024/8/21 22:1:46] 物品:强效金创药	怪物:29207A10暗之牛魔王8	地图:H010	X:45	Y:376 
[2024/8/21 22:1:46] 物品:强效金创药	怪物:29207A10暗之牛魔王8	地图:H010	X:45	Y:376 
[2024/8/21 22:1:46] 物品:强效金创药	怪物:29207A10暗之牛魔王8	地图:H010	X:45	Y:376 
[2024/8/21 22:1:46] 物品:强效魔法药	怪物:29207A10暗之牛魔王8	地图:H010	X:45	Y:376 
[2024/8/21 22:1:46] 物品:强效魔法药	怪物:29207A10暗之牛魔王8	地图:H010	X:45	Y:376 
[2024/8/21 22:1:46] 物品:强效金创药	怪物:29207A10暗之牛魔王8	地图:H010	X:45	Y:376 
[2024/8/21 22:1:46] 物品:强效金创药	怪物:29207A10暗之牛魔王8	地图:H010	X:45	Y:376 
[2024/8/21 22:1:46] 物品:强效魔法药	怪物:29207A10暗之牛魔王8	地图:H010	X:45	Y:376 
[2024/8/21 22:1:46] 物品:强效魔法药	怪物:29207A10暗之牛魔王8	地图:H010	X:45	Y:376 
[2024/8/21 22:1:47] 物品:金戒指	怪物:28FFC8C0牛魔法师8	地图:H010	X:210	Y:353 
[2024/8/21 22:1:52] 物品:太阳水	怪物:2AEA0200牛魔将军8	地图:H010	X:43	Y:375 
[2024/8/21 22:1:56] 物品:记忆头盔	怪物:2BD9ED50祖玛弓箭手83	地图:H008	X:49	Y:20 
[2024/8/21 22:1:56] 物品:黑色水晶戒指	怪物:2BD9ED50祖玛弓箭手83	地图:H008	X:49	Y:20 
[2024/8/21 22:2:4] 物品:躲避手链	怪物:2570F5B0祖玛卫士83	地图:H008	X:48	Y:20 
[2024/8/21 22:2:4] 物品:恶魔长袍(女)	怪物:2570F5B0祖玛卫士83	地图:H008	X:48	Y:20 
[2024/8/21 22:2:4] 物品:强效太阳水	怪物:2528BA00牛魔祭司0	地图:H010	X:200	Y:352 
[2024/8/21 22:2:4] 物品:太阳水	怪物:2528BA00牛魔祭司0	地图:H010	X:200	Y:352 
[2024/8/21 22:2:4] 物品:太阳水	怪物:2528BA00牛魔祭司0	地图:H010	X:200	Y:352 
[2024/8/21 22:2:8] 物品:力量戒指	怪物:14BB7C80祖玛雕像83	地图:H008	X:48	Y:21 
[2024/8/21 22:2:8] 物品:辟邪手镯	怪物:14BB7C80祖玛雕像83	地图:H008	X:48	Y:21 
[2024/8/21 22:2:8] 物品:道士手镯	怪物:14BB7C80祖玛雕像83	地图:H008	X:48	Y:21 
[2024/8/21 22:2:10] 物品:魔法长袍(女)	怪物:2BADC4C0牛魔法师8	地图:H010	X:327	Y:327 
[2024/8/21 22:2:10] 物品:黑檀手镯	怪物:2BADC4C0牛魔法师8	地图:H010	X:327	Y:327 
[2024/8/21 22:2:10] 物品:生铁戒指	怪物:2BADC4C0牛魔法师8	地图:H010	X:327	Y:327 
[2024/8/21 22:2:15] 物品:金手镯	怪物:2CED7F60牛魔法师8	地图:H010	X:333	Y:333 
[2024/8/21 22:2:15] 物品:魅力戒指	怪物:2CED7F60牛魔法师8	地图:H010	X:333	Y:333 
[2024/8/21 22:2:18] 物品:强效太阳水	怪物:25B1C270虹魔蝎卫80	地图:H008	X:41	Y:21 
[2024/8/21 22:2:18] 物品:强效太阳水	怪物:25B1C270虹魔蝎卫80	地图:H008	X:41	Y:21 
[2024/8/21 22:2:18] 物品:强效太阳水	怪物:25B1C270虹魔蝎卫80	地图:H008	X:41	Y:21 
[2024/8/21 22:2:18] 物品:重盔甲(男)	怪物:25B1C270虹魔蝎卫80	地图:H008	X:41	Y:21 
[2024/8/21 22:2:19] 物品:强效太阳水	怪物:186622A0牛魔将军0	地图:H010	X:202	Y:351 
[2024/8/21 22:2:19] 物品:太阳水	怪物:186622A0牛魔将军0	地图:H010	X:202	Y:351 
[2024/8/21 22:2:19] 物品:躲避手链	怪物:186622A0牛魔将军0	地图:H010	X:202	Y:351 
[2024/8/21 22:2:22] 物品:强效太阳水	怪物:25C17AD0牛魔将军0	地图:H010	X:201	Y:351 
[2024/8/21 22:2:22] 物品:强效太阳水	怪物:25C17AD0牛魔将军0	地图:H010	X:201	Y:351 
[2024/8/21 22:2:22] 物品:太阳水	怪物:25C17AD0牛魔将军0	地图:H010	X:201	Y:351 
[2024/8/21 22:2:25] 物品:金创药(中量)	怪物:28E4B290祖玛弓箭手83	地图:H008	X:41	Y:24 
[2024/8/21 22:2:25] 物品:太阳水	怪物:28E4B290祖玛弓箭手83	地图:H008	X:41	Y:24 
[2024/8/21 22:2:25] 物品:道士头盔	怪物:28E4B290祖玛弓箭手83	地图:H008	X:41	Y:24 
[2024/8/21 22:2:25] 物品:强效太阳水	怪物:2C9155E0牛魔将军0	地图:H010	X:49	Y:347 
[2024/8/21 22:2:25] 物品:强效太阳水	怪物:2C9155E0牛魔将军0	地图:H010	X:49	Y:347 
[2024/8/21 22:2:25] 物品:强效太阳水	怪物:2C9155E0牛魔将军0	地图:H010	X:49	Y:347 
[2024/8/21 22:2:25] 物品:强效太阳水	怪物:2C9155E0牛魔将军0	地图:H010	X:49	Y:347 
[2024/8/21 22:2:25] 物品:太阳水	怪物:2C9155E0牛魔将军0	地图:H010	X:49	Y:347 
[2024/8/21 22:2:25] 物品:太阳水	怪物:2C9155E0牛魔将军0	地图:H010	X:49	Y:347 
[2024/8/21 22:2:25] 物品:太阳水	怪物:2C9155E0牛魔将军0	地图:H010	X:49	Y:347 
[2024/8/21 22:2:29] 物品:强效太阳水	怪物:2B3FD010尸王8	地图:H201	X:107	Y:125 
[2024/8/21 22:2:29] 物品:强效太阳水	怪物:2B3FD010尸王8	地图:H201	X:107	Y:125 
[2024/8/21 22:2:29] 物品:强效太阳水	怪物:2B3FD010尸王8	地图:H201	X:107	Y:125 
[2024/8/21 22:2:29] 物品:强效太阳水	怪物:2B3FD010尸王8	地图:H201	X:107	Y:125 
[2024/8/21 22:2:29] 物品:强效太阳水	怪物:2B3FD010尸王8	地图:H201	X:107	Y:125 
[2024/8/21 22:2:29] 物品:强效金创药	怪物:2B3FD010尸王8	地图:H201	X:107	Y:125 
[2024/8/21 22:2:29] 物品:强效金创药	怪物:2B3FD010尸王8	地图:H201	X:107	Y:125 
[2024/8/21 22:2:29] 物品:强效魔法药	怪物:2B3FD010尸王8	地图:H201	X:107	Y:125 
[2024/8/21 22:2:29] 物品:强效魔法药	怪物:2B3FD010尸王8	地图:H201	X:107	Y:125 
[2024/8/21 22:2:29] 物品:骷髅戒指	怪物:2B3FD010尸王8	地图:H201	X:107	Y:125 
[2024/8/21 22:2:29] 物品:黑色水晶戒指	怪物:2B3FD010尸王8	地图:H201	X:107	Y:125 
[2024/8/21 22:2:29] 物品:凝霜	怪物:2B3FD010尸王8	地图:H201	X:107	Y:125 
[2024/8/21 22:2:29] 物品:道德戒指	怪物:2B3FD010尸王8	地图:H201	X:107	Y:125 
[2024/8/21 22:2:29] 物品:蓝翡翠项链	怪物:2B3FD010尸王8	地图:H201	X:107	Y:125 
[2024/8/21 22:2:29] 物品:魔力手镯	怪物:2B3FD010尸王8	地图:H201	X:107	Y:125 
[2024/8/21 22:2:29] 物品:魔法长袍(女)	怪物:25B3C0C0牛魔法师8	地图:H010	X:49	Y:346 
[2024/8/21 22:2:33] 物品:精神力战法	怪物:23048B90僵尸1	地图:H201	X:108	Y:127 
[2024/8/21 22:2:33] 物品:强效金创药	怪物:253257F0祖玛卫士83	地图:H008	X:34	Y:26 
[2024/8/21 22:2:33] 物品:魔法长袍(女)	怪物:253257F0祖玛卫士83	地图:H008	X:34	Y:26 
[2024/8/21 22:2:36] 物品:强效太阳水	怪物:25E8B320尸王8	地图:H201	X:108	Y:125 
[2024/8/21 22:2:36] 物品:强效太阳水	怪物:25E8B320尸王8	地图:H201	X:108	Y:125 
[2024/8/21 22:2:36] 物品:强效太阳水	怪物:25E8B320尸王8	地图:H201	X:108	Y:125 
[2024/8/21 22:2:36] 物品:强效太阳水	怪物:25E8B320尸王8	地图:H201	X:108	Y:125 
[2024/8/21 22:2:36] 物品:强效太阳水	怪物:25E8B320尸王8	地图:H201	X:108	Y:125 
[2024/8/21 22:2:36] 物品:强效金创药	怪物:25E8B320尸王8	地图:H201	X:108	Y:125 
[2024/8/21 22:2:36] 物品:强效金创药	怪物:25E8B320尸王8	地图:H201	X:108	Y:125 
[2024/8/21 22:2:36] 物品:强效魔法药	怪物:25E8B320尸王8	地图:H201	X:108	Y:125 
[2024/8/21 22:2:36] 物品:强效魔法药	怪物:25E8B320尸王8	地图:H201	X:108	Y:125 
[2024/8/21 22:2:36] 物品:骷髅戒指	怪物:25E8B320尸王8	地图:H201	X:108	Y:125 
[2024/8/21 22:2:36] 物品:珍珠戒指	怪物:25E8B320尸王8	地图:H201	X:108	Y:125 
[2024/8/21 22:2:36] 物品:生铁戒指	怪物:25E8B320尸王8	地图:H201	X:108	Y:125 
[2024/8/21 22:2:36] 物品:凝霜	怪物:25E8B320尸王8	地图:H201	X:108	Y:125 
[2024/8/21 22:2:36] 物品:道德戒指	怪物:25E8B320尸王8	地图:H201	X:108	Y:125 
[2024/8/21 22:2:36] 物品:魔力手镯	怪物:25E8B320尸王8	地图:H201	X:108	Y:125 
[2024/8/21 22:2:41] 物品:强效太阳水	怪物:2307ACF0牛魔祭司0	地图:H010	X:50	Y:354 
[2024/8/21 22:2:41] 物品:太阳水	怪物:2307ACF0牛魔祭司0	地图:H010	X:50	Y:354 
[2024/8/21 22:2:41] 物品:井中月	怪物:2307ACF0牛魔祭司0	地图:H010	X:50	Y:354 
[2024/8/21 22:2:41] 物品:思贝儿手镯	怪物:2307ACF0牛魔祭司0	地图:H010	X:50	Y:354 
[2024/8/21 22:2:41] 物品:心灵手镯	怪物:2307ACF0牛魔祭司0	地图:H010	X:50	Y:354 
[2024/8/21 22:2:41] 物品:恶魔长袍(男)	怪物:2307ACF0牛魔祭司0	地图:H010	X:50	Y:354 
[2024/8/21 22:2:44] 物品:重盔甲(女)	怪物:2C826F00牛魔侍卫8	地图:H010	X:210	Y:351 
[2024/8/21 22:2:44] 物品:蓝翡翠项链	怪物:2C826F00牛魔侍卫8	地图:H010	X:210	Y:351 
[2024/8/21 22:2:48] 物品:黑色水晶戒指	怪物:233536B0祖玛弓箭手83	地图:H008	X:41	Y:32 
[2024/8/21 22:2:54] 物品:魔法药(中量)	怪物:2AAF42A0祖玛雕像83	地图:H008	X:39	Y:34 
[2024/8/21 22:3:2] 物品:强效金创药	怪物:2CBC15C0暗之牛魔王8	地图:H010	X:48	Y:357 
[2024/8/21 22:3:2] 物品:强效金创药	怪物:2CBC15C0暗之牛魔王8	地图:H010	X:48	Y:357 
[2024/8/21 22:3:2] 物品:强效金创药	怪物:2CBC15C0暗之牛魔王8	地图:H010	X:48	Y:357 
[2024/8/21 22:3:2] 物品:强效魔法药	怪物:2CBC15C0暗之牛魔王8	地图:H010	X:48	Y:357 
[2024/8/21 22:3:2] 物品:强效魔法药	怪物:2CBC15C0暗之牛魔王8	地图:H010	X:48	Y:357 
[2024/8/21 22:3:2] 物品:强效金创药	怪物:2CBC15C0暗之牛魔王8	地图:H010	X:48	Y:357 
[2024/8/21 22:3:2] 物品:强效金创药	怪物:2CBC15C0暗之牛魔王8	地图:H010	X:48	Y:357 
[2024/8/21 22:3:2] 物品:强效金创药	怪物:2CBC15C0暗之牛魔王8	地图:H010	X:48	Y:357 
[2024/8/21 22:3:2] 物品:强效金创药	怪物:2CBC15C0暗之牛魔王8	地图:H010	X:48	Y:357 
[2024/8/21 22:3:2] 物品:强效金创药	怪物:2CBC15C0暗之牛魔王8	地图:H010	X:48	Y:357 
[2024/8/21 22:3:2] 物品:强效魔法药	怪物:2CBC15C0暗之牛魔王8	地图:H010	X:48	Y:357 
