[2024/8/17 10:0:7] 物品:金创药(小量)	怪物:18664BA0僵尸5	地图:D422	X:244	Y:216 
[2024/8/17 10:1:7] 物品:强效金创药	怪物:27FB4760虹魔蝎卫8	地图:H204	X:53	Y:94 
[2024/8/17 10:1:7] 物品:强效金创药	怪物:27FB4760虹魔蝎卫8	地图:H204	X:53	Y:94 
[2024/8/17 10:1:7] 物品:强效金创药	怪物:27FB4760虹魔蝎卫8	地图:H204	X:53	Y:94 
[2024/8/17 10:1:7] 物品:强效金创药	怪物:27FB4760虹魔蝎卫8	地图:H204	X:53	Y:94 
[2024/8/17 10:1:7] 物品:强效金创药	怪物:27FB4760虹魔蝎卫8	地图:H204	X:53	Y:94 
[2024/8/17 10:1:7] 物品:强效金创药	怪物:27FB4760虹魔蝎卫8	地图:H204	X:53	Y:94 
[2024/8/17 10:1:7] 物品:强效金创药	怪物:27FB4760虹魔蝎卫8	地图:H204	X:53	Y:94 
[2024/8/17 10:1:7] 物品:强效魔法药	怪物:27FB4760虹魔蝎卫8	地图:H204	X:53	Y:94 
[2024/8/17 10:1:7] 物品:强效魔法药	怪物:27FB4760虹魔蝎卫8	地图:H204	X:53	Y:94 
[2024/8/17 10:1:7] 物品:强效魔法药	怪物:27FB4760虹魔蝎卫8	地图:H204	X:53	Y:94 
[2024/8/17 10:1:7] 物品:强效魔法药	怪物:27FB4760虹魔蝎卫8	地图:H204	X:53	Y:94 
[2024/8/17 10:1:7] 物品:强效魔法药	怪物:27FB4760虹魔蝎卫8	地图:H204	X:53	Y:94 
[2024/8/17 10:1:7] 物品:强效魔法药	怪物:27FB4760虹魔蝎卫8	地图:H204	X:53	Y:94 
[2024/8/17 10:1:7] 物品:强效魔法药	怪物:27FB4760虹魔蝎卫8	地图:H204	X:53	Y:94 
[2024/8/17 10:1:7] 物品:强效魔法药	怪物:27FB4760虹魔蝎卫8	地图:H204	X:53	Y:94 
[2024/8/17 10:1:7] 物品:强效魔法药	怪物:27FB4760虹魔蝎卫8	地图:H204	X:53	Y:94 
[2024/8/17 10:1:7] 物品:强效魔法药	怪物:27FB4760虹魔蝎卫8	地图:H204	X:53	Y:94 
[2024/8/17 10:1:10] 物品:金创药(小量)	怪物:191E65C0僵尸5	地图:D422	X:232	Y:224 
[2024/8/17 10:1:12] 物品:金创药(小量)	怪物:263810C0骷髅战士	地图:D003	X:193	Y:230 
[2024/8/17 10:1:12] 物品:铁剑	怪物:263810C0骷髅战士	地图:D003	X:193	Y:230 
[2024/8/17 10:1:14] 物品:攻击力药水	怪物:1CA00830僵尸5	地图:D422	X:228	Y:226 
[2024/8/17 10:1:15] 物品:金创药(小量)	怪物:1C7AA1D0僵尸4	地图:D406	X:154	Y:139 
[2024/8/17 10:1:16] 物品:金创药(小量)	怪物:18DB9B60骷髅战士	地图:D002	X:262	Y:266 
[2024/8/17 10:1:17] 物品:魔法药(小量)	怪物:1C58A9A0骷髅战士	地图:D003	X:192	Y:231 
[2024/8/17 10:1:21] 物品:金创药(小量)	怪物:2A9E4ED0僵尸3	地图:D401	X:84	Y:179 
[2024/8/17 10:1:23] 物品:金创药(小量)	怪物:2849E460骷髅战士	地图:D002	X:271	Y:269 
[2024/8/17 10:1:23] 物品:魔法药(小量)	怪物:2849E460骷髅战士	地图:D002	X:271	Y:269 
[2024/8/17 10:1:24] 物品:金创药(小量)	怪物:1CA3AC10僵尸5	地图:D422	X:245	Y:224 
[2024/8/17 10:1:26] 物品:金创药(小量)	怪物:18C517F0山洞蝙蝠	地图:D002	X:270	Y:255 
[2024/8/17 10:1:31] 物品:金创药(小量)	怪物:191E65C0僵尸5	地图:D422	X:236	Y:222 
[2024/8/17 10:1:32] 物品:金创药(小量)	怪物:1F274E70山洞蝙蝠	地图:D002	X:353	Y:48 
[2024/8/17 10:1:32] 物品:回城卷	怪物:1F274E70山洞蝙蝠	地图:D002	X:353	Y:48 
[2024/8/17 10:1:37] 物品:金创药(小量)	怪物:1C1A7090僵尸5	地图:D405	X:38	Y:121 
[2024/8/17 10:1:37] 物品:魔法药(小量)	怪物:1C1A7090僵尸5	地图:D405	X:38	Y:121 
[2024/8/17 10:1:38] 物品:魔法药(小量)	怪物:18D245B0稻草人	地图:0	X:499	Y:515 
[2024/8/17 10:1:38] 物品:金创药(小量)	怪物:1CA3AC10僵尸5	地图:D422	X:245	Y:224 
[2024/8/17 10:1:45] 物品:疾光电影	怪物:1C1A9CF0僵尸5	地图:D405	X:44	Y:122 
[2024/8/17 10:1:47] 物品:黑檀项链	怪物:29B304D0骷髅战士	地图:D002	X:363	Y:44 
[2024/8/17 10:1:50] 物品:强效太阳水	怪物:19473D20虹魔蝎卫8	地图:H204	X:52	Y:91 
[2024/8/17 10:1:50] 物品:强效太阳水	怪物:19473D20虹魔蝎卫8	地图:H204	X:52	Y:91 
[2024/8/17 10:1:50] 物品:强效太阳水	怪物:19473D20虹魔蝎卫8	地图:H204	X:52	Y:91 
[2024/8/17 10:1:50] 物品:强效太阳水	怪物:19473D20虹魔蝎卫8	地图:H204	X:52	Y:91 
[2024/8/17 10:1:50] 物品:强效太阳水	怪物:19473D20虹魔蝎卫8	地图:H204	X:52	Y:91 
[2024/8/17 10:1:50] 物品:强效太阳水	怪物:19473D20虹魔蝎卫8	地图:H204	X:52	Y:91 
[2024/8/17 10:1:50] 物品:强效太阳水	怪物:19473D20虹魔蝎卫8	地图:H204	X:52	Y:91 
[2024/8/17 10:1:50] 物品:强效太阳水	怪物:19473D20虹魔蝎卫8	地图:H204	X:52	Y:91 
[2024/8/17 10:1:50] 物品:强效太阳水	怪物:19473D20虹魔蝎卫8	地图:H204	X:52	Y:91 
[2024/8/17 10:1:50] 物品:强效太阳水	怪物:19473D20虹魔蝎卫8	地图:H204	X:52	Y:91 
[2024/8/17 10:1:50] 物品:太阳水	怪物:19473D20虹魔蝎卫8	地图:H204	X:52	Y:91 
[2024/8/17 10:1:50] 物品:太阳水	怪物:19473D20虹魔蝎卫8	地图:H204	X:52	Y:91 
[2024/8/17 10:1:50] 物品:太阳水	怪物:19473D20虹魔蝎卫8	地图:H204	X:52	Y:91 
[2024/8/17 10:1:50] 物品:太阳水	怪物:19473D20虹魔蝎卫8	地图:H204	X:52	Y:91 
[2024/8/17 10:1:50] 物品:太阳水	怪物:19473D20虹魔蝎卫8	地图:H204	X:52	Y:91 
[2024/8/17 10:1:50] 物品:太阳水	怪物:19473D20虹魔蝎卫8	地图:H204	X:52	Y:91 
[2024/8/17 10:1:50] 物品:太阳水	怪物:19473D20虹魔蝎卫8	地图:H204	X:52	Y:91 
[2024/8/17 10:1:50] 物品:太阳水	怪物:19473D20虹魔蝎卫8	地图:H204	X:52	Y:91 
[2024/8/17 10:1:50] 物品:太阳水	怪物:19473D20虹魔蝎卫8	地图:H204	X:52	Y:91 
[2024/8/17 10:1:50] 物品:太阳水	怪物:19473D20虹魔蝎卫8	地图:H204	X:52	Y:91 
[2024/8/17 10:1:50] 物品:强效金创药	怪物:19473D20虹魔蝎卫8	地图:H204	X:52	Y:91 
[2024/8/17 10:1:50] 物品:强效金创药	怪物:19473D20虹魔蝎卫8	地图:H204	X:52	Y:91 
[2024/8/17 10:1:50] 物品:强效金创药	怪物:19473D20虹魔蝎卫8	地图:H204	X:52	Y:91 
[2024/8/17 10:1:50] 物品:强效金创药	怪物:19473D20虹魔蝎卫8	地图:H204	X:52	Y:91 
[2024/8/17 10:1:50] 物品:强效金创药	怪物:19473D20虹魔蝎卫8	地图:H204	X:52	Y:91 
[2024/8/17 10:1:50] 物品:强效金创药	怪物:19473D20虹魔蝎卫8	地图:H204	X:52	Y:91 
[2024/8/17 10:1:50] 物品:强效金创药	怪物:19473D20虹魔蝎卫8	地图:H204	X:52	Y:91 
[2024/8/17 10:1:50] 物品:强效金创药	怪物:19473D20虹魔蝎卫8	地图:H204	X:52	Y:91 
[2024/8/17 10:1:50] 物品:强效金创药	怪物:19473D20虹魔蝎卫8	地图:H204	X:52	Y:91 
[2024/8/17 10:1:50] 物品:强效金创药	怪物:19473D20虹魔蝎卫8	地图:H204	X:52	Y:91 
[2024/8/17 10:1:50] 物品:强效魔法药	怪物:19473D20虹魔蝎卫8	地图:H204	X:52	Y:91 
[2024/8/17 10:1:50] 物品:强效魔法药	怪物:19473D20虹魔蝎卫8	地图:H204	X:52	Y:91 
[2024/8/17 10:1:50] 物品:强效魔法药	怪物:19473D20虹魔蝎卫8	地图:H204	X:52	Y:91 
[2024/8/17 10:1:50] 物品:强效魔法药	怪物:19473D20虹魔蝎卫8	地图:H204	X:52	Y:91 
[2024/8/17 10:1:50] 物品:强效魔法药	怪物:19473D20虹魔蝎卫8	地图:H204	X:52	Y:91 
[2024/8/17 10:1:50] 物品:强效魔法药	怪物:19473D20虹魔蝎卫8	地图:H204	X:52	Y:91 
[2024/8/17 10:1:50] 物品:强效魔法药	怪物:19473D20虹魔蝎卫8	地图:H204	X:52	Y:91 
[2024/8/17 10:1:50] 物品:强效魔法药	怪物:19473D20虹魔蝎卫8	地图:H204	X:52	Y:91 
[2024/8/17 10:1:50] 物品:强效魔法药	怪物:19473D20虹魔蝎卫8	地图:H204	X:52	Y:91 
[2024/8/17 10:1:50] 物品:强效魔法药	怪物:19473D20虹魔蝎卫8	地图:H204	X:52	Y:91 
[2024/8/17 10:1:50] 物品:魔法长袍(女)	怪物:19473D20虹魔蝎卫8	地图:H204	X:52	Y:91 
[2024/8/17 10:1:50] 物品:魅力戒指	怪物:19473D20虹魔蝎卫8	地图:H204	X:52	Y:91 
[2024/8/17 10:1:51] 物品:金创药(小量)	怪物:1F174A40骷髅0	地图:D002	X:364	Y:44 
[2024/8/17 10:1:51] 物品:金创药(小量)	怪物:1F174A40骷髅0	地图:D002	X:364	Y:44 
[2024/8/17 10:1:51] 物品:金创药(小量)	怪物:1F174A40骷髅0	地图:D002	X:364	Y:44 
[2024/8/17 10:1:51] 物品:金创药(小量)	怪物:1F174A40骷髅0	地图:D002	X:364	Y:44 
[2024/8/17 10:1:51] 物品:魔法药(小量)	怪物:1F174A40骷髅0	地图:D002	X:364	Y:44 
[2024/8/17 10:1:51] 物品:魔法药(小量)	怪物:1F174A40骷髅0	地图:D002	X:364	Y:44 
[2024/8/17 10:1:51] 物品:魔法药(小量)	怪物:1F174A40骷髅0	地图:D002	X:364	Y:44 
[2024/8/17 10:1:51] 物品:魔法药(小量)	怪物:1F174A40骷髅0	地图:D002	X:364	Y:44 
[2024/8/17 10:1:55] 物品:道士手镯	怪物:1DAA86C0巨型蠕虫0	地图:D613	X:9	Y:58 
[2024/8/17 10:1:55] 物品:黑檀手镯	怪物:1DAA86C0巨型蠕虫0	地图:D613	X:9	Y:58 
[2024/8/17 10:1:55] 物品:破魂	怪物:1DAA86C0巨型蠕虫0	地图:D613	X:9	Y:58 
[2024/8/17 10:1:55] 物品:斩马刀	怪物:1DAA86C0巨型蠕虫0	地图:D613	X:9	Y:58 
[2024/8/17 10:1:55] 物品:偃月	怪物:1DAA86C0巨型蠕虫0	地图:D613	X:9	Y:58 
[2024/8/17 10:1:55] 物品:生铁戒指	怪物:1DAA86C0巨型蠕虫0	地图:D613	X:9	Y:58 
[2024/8/17 10:1:55] 物品:骷髅戒指	怪物:1DAA86C0巨型蠕虫0	地图:D613	X:9	Y:58 
[2024/8/17 10:1:55] 物品:海魂	怪物:1DAA86C0巨型蠕虫0	地图:D613	X:9	Y:58 
[2024/8/17 10:1:55] 物品:魔鬼项链	怪物:1DAA86C0巨型蠕虫0	地图:D613	X:9	Y:58 
[2024/8/17 10:1:55] 物品:凤凰明珠	怪物:1DAA86C0巨型蠕虫0	地图:D613	X:9	Y:58 
[2024/8/17 10:1:55] 物品:魔力手镯	怪物:1DAA86C0巨型蠕虫0	地图:D613	X:9	Y:58 
[2024/8/17 10:1:55] 物品:灯笼项链	怪物:1DAA86C0巨型蠕虫0	地图:D613	X:9	Y:58 
[2024/8/17 10:1:55] 物品:太阳水	怪物:1DAA86C0巨型蠕虫0	地图:D613	X:9	Y:58 
[2024/8/17 10:1:55] 物品:太阳水	怪物:1DAA86C0巨型蠕虫0	地图:D613	X:9	Y:58 
[2024/8/17 10:1:55] 物品:太阳水	怪物:1DAA86C0巨型蠕虫0	地图:D613	X:9	Y:58 
[2024/8/17 10:1:55] 物品:太阳水	怪物:1DAA86C0巨型蠕虫0	地图:D613	X:9	Y:58 
[2024/8/17 10:1:55] 物品:金创药(中量)	怪物:1DAA86C0巨型蠕虫0	地图:D613	X:9	Y:58 
[2024/8/17 10:1:55] 物品:金创药(中量)	怪物:1DAA86C0巨型蠕虫0	地图:D613	X:9	Y:58 
[2024/8/17 10:1:55] 物品:金创药(中量)	怪物:1DAA86C0巨型蠕虫0	地图:D613	X:9	Y:58 
[2024/8/17 10:1:55] 物品:金创药(中量)	怪物:1DAA86C0巨型蠕虫0	地图:D613	X:9	Y:58 
[2024/8/17 10:1:55] 物品:魔法药(中量)	怪物:1DAA86C0巨型蠕虫0	地图:D613	X:9	Y:58 
[2024/8/17 10:1:55] 物品:魔法药(中量)	怪物:1DAA86C0巨型蠕虫0	地图:D613	X:9	Y:58 
[2024/8/17 10:1:55] 物品:魔法药(中量)	怪物:1DAA86C0巨型蠕虫0	地图:D613	X:9	Y:58 
[2024/8/17 10:1:55] 物品:魔法药(中量)	怪物:1DAA86C0巨型蠕虫0	地图:D613	X:9	Y:58 
[2024/8/17 10:1:55] 物品:魅力戒指	怪物:1DAA86C0巨型蠕虫0	地图:D613	X:9	Y:58 
[2024/8/17 10:1:56] 物品:金创药(小量)	怪物:1CA3AC10僵尸5	地图:D422	X:245	Y:224 
[2024/8/17 10:1:59] 物品:攻击力药水	怪物:1BF92E20僵尸4	地图:D405	X:54	Y:114 
[2024/8/17 10:2:2] 物品:金创药(小量)	怪物:28141890骷髅战士	地图:D002	X:367	Y:50 
[2024/8/17 10:2:3] 物品:铁剑	怪物:052550C0骷髅战将0	地图:D002	X:285	Y:279 
[2024/8/17 10:2:3] 物品:金创药(中量)	怪物:052550C0骷髅战将0	地图:D002	X:285	Y:279 
[2024/8/17 10:2:3] 物品:金创药(中量)	怪物:052550C0骷髅战将0	地图:D002	X:285	Y:279 
[2024/8/17 10:2:3] 物品:金创药(中量)	怪物:052550C0骷髅战将0	地图:D002	X:285	Y:279 
[2024/8/17 10:2:3] 物品:金创药(中量)	怪物:052550C0骷髅战将0	地图:D002	X:285	Y:279 
[2024/8/17 10:2:3] 物品:魔法药(中量)	怪物:052550C0骷髅战将0	地图:D002	X:285	Y:279 
[2024/8/17 10:2:3] 物品:魔法药(中量)	怪物:052550C0骷髅战将0	地图:D002	X:285	Y:279 
[2024/8/17 10:2:3] 物品:魔法药(中量)	怪物:052550C0骷髅战将0	地图:D002	X:285	Y:279 
[2024/8/17 10:2:3] 物品:魔法药(中量)	怪物:052550C0骷髅战将0	地图:D002	X:285	Y:279 
[2024/8/17 10:2:5] 物品:黑檀手镯	怪物:2855B7C0跳跳蜂0	地图:D613	X:14	Y:64 
[2024/8/17 10:2:5] 物品:白色虎齿项链	怪物:2855B7C0跳跳蜂0	地图:D613	X:14	Y:64 
[2024/8/17 10:2:5] 物品:小手镯	怪物:2855B7C0跳跳蜂0	地图:D613	X:14	Y:64 
[2024/8/17 10:2:5] 物品:琥珀项链	怪物:2855B7C0跳跳蜂0	地图:D613	X:14	Y:64 
[2024/8/17 10:2:5] 物品:太阳水	怪物:2855B7C0跳跳蜂0	地图:D613	X:14	Y:64 
[2024/8/17 10:2:5] 物品:太阳水	怪物:2855B7C0跳跳蜂0	地图:D613	X:14	Y:64 
[2024/8/17 10:2:5] 物品:太阳水	怪物:2855B7C0跳跳蜂0	地图:D613	X:14	Y:64 
[2024/8/17 10:2:5] 物品:太阳水	怪物:2855B7C0跳跳蜂0	地图:D613	X:14	Y:64 
[2024/8/17 10:2:5] 物品:金创药(中量)	怪物:2855B7C0跳跳蜂0	地图:D613	X:14	Y:64 
[2024/8/17 10:2:5] 物品:金创药(中量)	怪物:2855B7C0跳跳蜂0	地图:D613	X:14	Y:64 
[2024/8/17 10:2:5] 物品:金创药(中量)	怪物:2855B7C0跳跳蜂0	地图:D613	X:14	Y:64 
[2024/8/17 10:2:5] 物品:金创药(中量)	怪物:2855B7C0跳跳蜂0	地图:D613	X:14	Y:64 
[2024/8/17 10:2:5] 物品:魔法药(中量)	怪物:2855B7C0跳跳蜂0	地图:D613	X:14	Y:64 
[2024/8/17 10:2:5] 物品:魔法药(中量)	怪物:2855B7C0跳跳蜂0	地图:D613	X:14	Y:64 
[2024/8/17 10:2:5] 物品:魔法药(中量)	怪物:2855B7C0跳跳蜂0	地图:D613	X:14	Y:64 
[2024/8/17 10:2:5] 物品:魔法药(中量)	怪物:2855B7C0跳跳蜂0	地图:D613	X:14	Y:64 
[2024/8/17 10:2:8] 物品:六角戒指	怪物:0D3357B0骷髅	地图:D003	X:184	Y:217 
[2024/8/17 10:2:10] 物品:雷电术	怪物:1F227570僵尸4	地图:D406	X:157	Y:124 
[2024/8/17 10:2:11] 物品:金创药(小量)	怪物:183BAA60山洞蝙蝠	地图:D002	X:368	Y:62 
[2024/8/17 10:2:11] 物品:魔法药(小量)	怪物:183BAA60山洞蝙蝠	地图:D002	X:368	Y:62 
[2024/8/17 10:2:20] 物品:金创药(小量)	怪物:2F313820骷髅0	地图:D002	X:368	Y:62 
[2024/8/17 10:2:20] 物品:金创药(小量)	怪物:2F313820骷髅0	地图:D002	X:368	Y:62 
[2024/8/17 10:2:20] 物品:金创药(小量)	怪物:2F313820骷髅0	地图:D002	X:368	Y:62 
[2024/8/17 10:2:20] 物品:金创药(小量)	怪物:2F313820骷髅0	地图:D002	X:368	Y:62 
