[2024/8/18 15:0:2] 物品:金创药(中量)	怪物:208E38E0红野猪	地图:D714	X:377	Y:187 
[2024/8/18 15:0:14] 物品:魔法药(中量)	怪物:275B59F0虹魔猪卫8	地图:H204	X:29	Y:70 
[2024/8/18 15:0:14] 物品:魔法药(中量)	怪物:275B59F0虹魔猪卫8	地图:H204	X:29	Y:70 
[2024/8/18 15:0:14] 物品:魔法药(中量)	怪物:275B59F0虹魔猪卫8	地图:H204	X:29	Y:70 
[2024/8/18 15:0:14] 物品:强效魔法药	怪物:275B59F0虹魔猪卫8	地图:H204	X:29	Y:70 
[2024/8/18 15:0:14] 物品:强效魔法药	怪物:275B59F0虹魔猪卫8	地图:H204	X:29	Y:70 
[2024/8/18 15:0:14] 物品:强效魔法药	怪物:275B59F0虹魔猪卫8	地图:H204	X:29	Y:70 
[2024/8/18 15:0:14] 物品:强效金创药	怪物:275B59F0虹魔猪卫8	地图:H204	X:29	Y:70 
[2024/8/18 15:0:14] 物品:强效金创药	怪物:275B59F0虹魔猪卫8	地图:H204	X:29	Y:70 
[2024/8/18 15:0:14] 物品:强效金创药	怪物:275B59F0虹魔猪卫8	地图:H204	X:29	Y:70 
[2024/8/18 15:0:14] 物品:强效金创药	怪物:275B59F0虹魔猪卫8	地图:H204	X:29	Y:70 
[2024/8/18 15:0:14] 物品:强效金创药	怪物:275B59F0虹魔猪卫8	地图:H204	X:29	Y:70 
[2024/8/18 15:0:14] 物品:强效金创药	怪物:275B59F0虹魔猪卫8	地图:H204	X:29	Y:70 
[2024/8/18 15:0:14] 物品:强效魔法药	怪物:275B59F0虹魔猪卫8	地图:H204	X:29	Y:70 
[2024/8/18 15:0:14] 物品:强效魔法药	怪物:275B59F0虹魔猪卫8	地图:H204	X:29	Y:70 
[2024/8/18 15:0:14] 物品:强效魔法药	怪物:275B59F0虹魔猪卫8	地图:H204	X:29	Y:70 
[2024/8/18 15:0:14] 物品:强效魔法药	怪物:275B59F0虹魔猪卫8	地图:H204	X:29	Y:70 
[2024/8/18 15:0:14] 物品:强效魔法药	怪物:275B59F0虹魔猪卫8	地图:H204	X:29	Y:70 
[2024/8/18 15:0:14] 物品:强效魔法药	怪物:275B59F0虹魔猪卫8	地图:H204	X:29	Y:70 
[2024/8/18 15:0:14] 物品:魔法长袍(女)	怪物:275B59F0虹魔猪卫8	地图:H204	X:29	Y:70 
[2024/8/18 15:0:14] 物品:金手镯	怪物:275B59F0虹魔猪卫8	地图:H204	X:29	Y:70 
[2024/8/18 15:0:15] 物品:金创药(小量)	怪物:2464D540僵尸4	地图:H201	X:168	Y:69 
[2024/8/18 15:0:18] 物品:灵魂火符	怪物:29E20370僵尸50	地图:H201	X:169	Y:69 
[2024/8/18 15:0:18] 物品:抗拒火环	怪物:29E20370僵尸50	地图:H201	X:169	Y:69 
[2024/8/18 15:0:18] 物品:精神力战法	怪物:29E20370僵尸50	地图:H201	X:169	Y:69 
[2024/8/18 15:0:18] 物品:火球术	怪物:29E20370僵尸50	地图:H201	X:169	Y:69 
[2024/8/18 15:0:18] 物品:治愈术	怪物:29E20370僵尸50	地图:H201	X:169	Y:69 
[2024/8/18 15:0:18] 物品:基本剑术	怪物:29E20370僵尸50	地图:H201	X:169	Y:69 
[2024/8/18 15:0:18] 物品:八荒	怪物:29E20370僵尸50	地图:H201	X:169	Y:69 
[2024/8/18 15:0:18] 物品:凌风	怪物:29E20370僵尸50	地图:H201	X:169	Y:69 
[2024/8/18 15:0:18] 物品:蓝色水晶戒指	怪物:29E20370僵尸50	地图:H201	X:169	Y:69 
[2024/8/18 15:0:18] 物品:魔鬼项链	怪物:29E20370僵尸50	地图:H201	X:169	Y:69 
[2024/8/18 15:0:18] 物品:坚固手套	怪物:29E20370僵尸50	地图:H201	X:169	Y:69 
[2024/8/18 15:0:18] 物品:魔力手镯	怪物:29E20370僵尸50	地图:H201	X:169	Y:69 
[2024/8/18 15:0:18] 物品:灯笼项链	怪物:29E20370僵尸50	地图:H201	X:169	Y:69 
[2024/8/18 15:0:18] 物品:铁剑	怪物:29E20370僵尸50	地图:H201	X:169	Y:69 
[2024/8/18 15:0:18] 物品:短剑	怪物:29E20370僵尸50	地图:H201	X:169	Y:69 
[2024/8/18 15:0:18] 物品:轻型盔甲(男)	怪物:29E20370僵尸50	地图:H201	X:169	Y:69 
[2024/8/18 15:0:18] 物品:轻型盔甲(女)	怪物:29E20370僵尸50	地图:H201	X:169	Y:69 
[2024/8/18 15:0:18] 物品:青铜斧	怪物:29E20370僵尸50	地图:H201	X:169	Y:69 
[2024/8/18 15:0:18] 物品:黑檀项链	怪物:29E20370僵尸50	地图:H201	X:169	Y:69 
[2024/8/18 15:0:18] 物品:黄色水晶项链	怪物:29E20370僵尸50	地图:H201	X:169	Y:69 
[2024/8/18 15:0:18] 物品:黑色水晶项链	怪物:29E20370僵尸50	地图:H201	X:169	Y:69 
[2024/8/18 15:0:18] 物品:青铜头盔	怪物:29E20370僵尸50	地图:H201	X:169	Y:69 
[2024/8/18 15:0:18] 物品:金创药(小量)	怪物:29E20370僵尸50	地图:H201	X:169	Y:69 
[2024/8/18 15:0:18] 物品:金创药(小量)	怪物:29E20370僵尸50	地图:H201	X:169	Y:69 
[2024/8/18 15:0:18] 物品:金创药(小量)	怪物:29E20370僵尸50	地图:H201	X:169	Y:69 
[2024/8/18 15:0:18] 物品:金创药(小量)	怪物:29E20370僵尸50	地图:H201	X:169	Y:69 
[2024/8/18 15:0:18] 物品:魔法药(小量)	怪物:29E20370僵尸50	地图:H201	X:169	Y:69 
[2024/8/18 15:0:18] 物品:魔法药(小量)	怪物:29E20370僵尸50	地图:H201	X:169	Y:69 
[2024/8/18 15:0:18] 物品:魔法药(小量)	怪物:29E20370僵尸50	地图:H201	X:169	Y:69 
[2024/8/18 15:0:18] 物品:魔法药(小量)	怪物:29E20370僵尸50	地图:H201	X:169	Y:69 
[2024/8/18 15:0:22] 物品:强效太阳水	怪物:1C65DA20虹魔蝎卫8	地图:H204	X:28	Y:70 
[2024/8/18 15:0:22] 物品:强效太阳水	怪物:1C65DA20虹魔蝎卫8	地图:H204	X:28	Y:70 
[2024/8/18 15:0:22] 物品:强效太阳水	怪物:1C65DA20虹魔蝎卫8	地图:H204	X:28	Y:70 
[2024/8/18 15:0:22] 物品:强效太阳水	怪物:1C65DA20虹魔蝎卫8	地图:H204	X:28	Y:70 
[2024/8/18 15:0:22] 物品:强效太阳水	怪物:1C65DA20虹魔蝎卫8	地图:H204	X:28	Y:70 
[2024/8/18 15:0:22] 物品:强效太阳水	怪物:1C65DA20虹魔蝎卫8	地图:H204	X:28	Y:70 
[2024/8/18 15:0:22] 物品:强效太阳水	怪物:1C65DA20虹魔蝎卫8	地图:H204	X:28	Y:70 
[2024/8/18 15:0:22] 物品:强效太阳水	怪物:1C65DA20虹魔蝎卫8	地图:H204	X:28	Y:70 
[2024/8/18 15:0:22] 物品:强效太阳水	怪物:1C65DA20虹魔蝎卫8	地图:H204	X:28	Y:70 
[2024/8/18 15:0:22] 物品:强效太阳水	怪物:1C65DA20虹魔蝎卫8	地图:H204	X:28	Y:70 
[2024/8/18 15:0:22] 物品:太阳水	怪物:1C65DA20虹魔蝎卫8	地图:H204	X:28	Y:70 
[2024/8/18 15:0:22] 物品:太阳水	怪物:1C65DA20虹魔蝎卫8	地图:H204	X:28	Y:70 
[2024/8/18 15:0:22] 物品:太阳水	怪物:1C65DA20虹魔蝎卫8	地图:H204	X:28	Y:70 
[2024/8/18 15:0:22] 物品:太阳水	怪物:1C65DA20虹魔蝎卫8	地图:H204	X:28	Y:70 
[2024/8/18 15:0:22] 物品:太阳水	怪物:1C65DA20虹魔蝎卫8	地图:H204	X:28	Y:70 
[2024/8/18 15:0:22] 物品:太阳水	怪物:1C65DA20虹魔蝎卫8	地图:H204	X:28	Y:70 
[2024/8/18 15:0:22] 物品:太阳水	怪物:1C65DA20虹魔蝎卫8	地图:H204	X:28	Y:70 
[2024/8/18 15:0:22] 物品:太阳水	怪物:1C65DA20虹魔蝎卫8	地图:H204	X:28	Y:70 
[2024/8/18 15:0:22] 物品:太阳水	怪物:1C65DA20虹魔蝎卫8	地图:H204	X:28	Y:70 
[2024/8/18 15:0:22] 物品:太阳水	怪物:1C65DA20虹魔蝎卫8	地图:H204	X:28	Y:70 
[2024/8/18 15:0:22] 物品:强效金创药	怪物:1C65DA20虹魔蝎卫8	地图:H204	X:28	Y:70 
[2024/8/18 15:0:22] 物品:强效金创药	怪物:1C65DA20虹魔蝎卫8	地图:H204	X:28	Y:70 
[2024/8/18 15:0:22] 物品:强效金创药	怪物:1C65DA20虹魔蝎卫8	地图:H204	X:28	Y:70 
[2024/8/18 15:0:22] 物品:强效金创药	怪物:1C65DA20虹魔蝎卫8	地图:H204	X:28	Y:70 
[2024/8/18 15:0:22] 物品:强效金创药	怪物:1C65DA20虹魔蝎卫8	地图:H204	X:28	Y:70 
[2024/8/18 15:0:22] 物品:强效金创药	怪物:1C65DA20虹魔蝎卫8	地图:H204	X:28	Y:70 
[2024/8/18 15:0:22] 物品:强效金创药	怪物:1C65DA20虹魔蝎卫8	地图:H204	X:28	Y:70 
[2024/8/18 15:0:22] 物品:强效金创药	怪物:1C65DA20虹魔蝎卫8	地图:H204	X:28	Y:70 
[2024/8/18 15:0:22] 物品:强效金创药	怪物:1C65DA20虹魔蝎卫8	地图:H204	X:28	Y:70 
[2024/8/18 15:0:22] 物品:强效金创药	怪物:1C65DA20虹魔蝎卫8	地图:H204	X:28	Y:70 
[2024/8/18 15:0:22] 物品:强效魔法药	怪物:1C65DA20虹魔蝎卫8	地图:H204	X:28	Y:70 
[2024/8/18 15:0:22] 物品:强效魔法药	怪物:1C65DA20虹魔蝎卫8	地图:H204	X:28	Y:70 
[2024/8/18 15:0:22] 物品:强效魔法药	怪物:1C65DA20虹魔蝎卫8	地图:H204	X:28	Y:70 
[2024/8/18 15:0:22] 物品:强效魔法药	怪物:1C65DA20虹魔蝎卫8	地图:H204	X:28	Y:70 
[2024/8/18 15:0:22] 物品:强效魔法药	怪物:1C65DA20虹魔蝎卫8	地图:H204	X:28	Y:70 
[2024/8/18 15:0:22] 物品:强效魔法药	怪物:1C65DA20虹魔蝎卫8	地图:H204	X:28	Y:70 
[2024/8/18 15:0:22] 物品:强效魔法药	怪物:1C65DA20虹魔蝎卫8	地图:H204	X:28	Y:70 
[2024/8/18 15:0:22] 物品:强效魔法药	怪物:1C65DA20虹魔蝎卫8	地图:H204	X:28	Y:70 
[2024/8/18 15:0:22] 物品:强效魔法药	怪物:1C65DA20虹魔蝎卫8	地图:H204	X:28	Y:70 
[2024/8/18 15:0:22] 物品:强效魔法药	怪物:1C65DA20虹魔蝎卫8	地图:H204	X:28	Y:70 
[2024/8/18 15:0:22] 物品:重盔甲(女)	怪物:1C65DA20虹魔蝎卫8	地图:H204	X:28	Y:70 
[2024/8/18 15:0:22] 物品:道士手镯	怪物:1C65DA20虹魔蝎卫8	地图:H204	X:28	Y:70 
[2024/8/18 15:0:23] 物品:火球术	怪物:2F1ED530僵尸10	地图:H201	X:169	Y:68 
[2024/8/18 15:0:23] 物品:金创药(中量)	怪物:2F1ED530僵尸10	地图:H201	X:169	Y:68 
[2024/8/18 15:0:25] 物品:魔法药(小量)	怪物:17C71710僵尸5	地图:H201	X:168	Y:67 
[2024/8/18 15:0:25] 物品:抗拒火环	怪物:17C71710僵尸5	地图:H201	X:168	Y:67 
[2024/8/18 15:0:25] 物品:金创药(中量)	怪物:28C0EF00祖玛弓箭手8	地图:H204	X:32	Y:65 
[2024/8/18 15:0:25] 物品:灵魂战衣(男)	怪物:28C0EF00祖玛弓箭手8	地图:H204	X:32	Y:65 
[2024/8/18 15:0:25] 物品:黑檀手镯	怪物:28C0EF00祖玛弓箭手8	地图:H204	X:32	Y:65 
[2024/8/18 15:0:25] 物品:骷髅戒指	怪物:28C0EF00祖玛弓箭手8	地图:H204	X:32	Y:65 
[2024/8/18 15:0:26] 物品:魔法药(中量)	怪物:2A27B570僵尸2	地图:D401	X:153	Y:135 
[2024/8/18 15:0:28] 物品:灵魂火符	怪物:05A24430僵尸4	地图:H201	X:167	Y:69 
[2024/8/18 15:0:30] 物品:魔法长袍(女)	怪物:1C2AE460祖玛卫士8	地图:H204	X:34	Y:65 
[2024/8/18 15:0:31] 物品:魔法药(小量)	怪物:1DD59E50僵尸5	地图:H201	X:169	Y:68 
[2024/8/18 15:0:32] 物品:金创药(小量)	怪物:17C71710僵尸5	地图:H201	X:168	Y:67 
[2024/8/18 15:0:33] 物品:半月	怪物:245FF800黑色恶蛆	地图:M100	X:222	Y:219 
[2024/8/18 15:0:33] 物品:青铜斧	怪物:245FF800黑色恶蛆	地图:M100	X:222	Y:219 
[2024/8/18 15:0:33] 物品:重盔甲(男)	怪物:2B2B0B20祖玛卫士8	地图:H204	X:33	Y:65 
[2024/8/18 15:0:37] 物品:召唤骷髅	怪物:1CA539F0僵尸40	地图:H201	X:168	Y:68 
[2024/8/18 15:0:37] 物品:灵魂火符	怪物:1CA539F0僵尸40	地图:H201	X:168	Y:68 
[2024/8/18 15:0:37] 物品:地狱火	怪物:1CA539F0僵尸40	地图:H201	X:168	Y:68 
[2024/8/18 15:0:37] 物品:抗拒火环	怪物:1CA539F0僵尸40	地图:H201	X:168	Y:68 
[2024/8/18 15:0:37] 物品:精神力战法	怪物:1CA539F0僵尸40	地图:H201	X:168	Y:68 
[2024/8/18 15:0:37] 物品:火球术	怪物:1CA539F0僵尸40	地图:H201	X:168	Y:68 
[2024/8/18 15:0:37] 物品:治愈术	怪物:1CA539F0僵尸40	地图:H201	X:168	Y:68 
[2024/8/18 15:0:37] 物品:基本剑术	怪物:1CA539F0僵尸40	地图:H201	X:168	Y:68 
[2024/8/18 15:0:43] 物品:强效金创药	怪物:051DF5D0暗之牛魔王8	地图:H204	X:34	Y:65 
[2024/8/18 15:0:43] 物品:强效金创药	怪物:051DF5D0暗之牛魔王8	地图:H204	X:34	Y:65 
[2024/8/18 15:0:43] 物品:强效金创药	怪物:051DF5D0暗之牛魔王8	地图:H204	X:34	Y:65 
[2024/8/18 15:0:43] 物品:强效魔法药	怪物:051DF5D0暗之牛魔王8	地图:H204	X:34	Y:65 
[2024/8/18 15:0:43] 物品:强效魔法药	怪物:051DF5D0暗之牛魔王8	地图:H204	X:34	Y:65 
[2024/8/18 15:0:43] 物品:强效金创药	怪物:051DF5D0暗之牛魔王8	地图:H204	X:34	Y:65 
[2024/8/18 15:0:43] 物品:强效金创药	怪物:051DF5D0暗之牛魔王8	地图:H204	X:34	Y:65 
[2024/8/18 15:0:43] 物品:强效金创药	怪物:051DF5D0暗之牛魔王8	地图:H204	X:34	Y:65 
[2024/8/18 15:0:43] 物品:强效金创药	怪物:051DF5D0暗之牛魔王8	地图:H204	X:34	Y:65 
[2024/8/18 15:0:43] 物品:强效金创药	怪物:051DF5D0暗之牛魔王8	地图:H204	X:34	Y:65 
[2024/8/18 15:0:43] 物品:强效魔法药	怪物:051DF5D0暗之牛魔王8	地图:H204	X:34	Y:65 
[2024/8/18 15:0:43] 物品:强效魔法药	怪物:051DF5D0暗之牛魔王8	地图:H204	X:34	Y:65 
[2024/8/18 15:0:43] 物品:强效金创药	怪物:051DF5D0暗之牛魔王8	地图:H204	X:34	Y:65 
[2024/8/18 15:0:43] 物品:强效金创药	怪物:051DF5D0暗之牛魔王8	地图:H204	X:34	Y:65 
[2024/8/18 15:0:43] 物品:强效魔法药	怪物:051DF5D0暗之牛魔王8	地图:H204	X:34	Y:65 
[2024/8/18 15:0:43] 物品:强效魔法药	怪物:051DF5D0暗之牛魔王8	地图:H204	X:34	Y:65 
[2024/8/18 15:0:45] 物品:地狱火	怪物:2A7DC950僵尸50	地图:H201	X:171	Y:72 
[2024/8/18 15:0:45] 物品:抗拒火环	怪物:2A7DC950僵尸50	地图:H201	X:171	Y:72 
[2024/8/18 15:0:45] 物品:精神力战法	怪物:2A7DC950僵尸50	地图:H201	X:171	Y:72 
[2024/8/18 15:0:45] 物品:火球术	怪物:2A7DC950僵尸50	地图:H201	X:171	Y:72 
[2024/8/18 15:0:45] 物品:治愈术	怪物:2A7DC950僵尸50	地图:H201	X:171	Y:72 
[2024/8/18 15:0:45] 物品:基本剑术	怪物:2A7DC950僵尸50	地图:H201	X:171	Y:72 
[2024/8/18 15:0:45] 物品:半月	怪物:2A7DC950僵尸50	地图:H201	X:171	Y:72 
[2024/8/18 15:0:45] 物品:魔力手镯	怪物:2A7DC950僵尸50	地图:H201	X:171	Y:72 
[2024/8/18 15:0:45] 物品:铁剑	怪物:2A7DC950僵尸50	地图:H201	X:171	Y:72 
[2024/8/18 15:0:45] 物品:短剑	怪物:2A7DC950僵尸50	地图:H201	X:171	Y:72 
[2024/8/18 15:0:45] 物品:轻型盔甲(男)	怪物:2A7DC950僵尸50	地图:H201	X:171	Y:72 
[2024/8/18 15:0:45] 物品:轻型盔甲(女)	怪物:2A7DC950僵尸50	地图:H201	X:171	Y:72 
[2024/8/18 15:0:45] 物品:青铜斧	怪物:2A7DC950僵尸50	地图:H201	X:171	Y:72 
[2024/8/18 15:0:45] 物品:黑檀项链	怪物:2A7DC950僵尸50	地图:H201	X:171	Y:72 
[2024/8/18 15:0:45] 物品:黄色水晶项链	怪物:2A7DC950僵尸50	地图:H201	X:171	Y:72 
[2024/8/18 15:0:45] 物品:黑色水晶项链	怪物:2A7DC950僵尸50	地图:H201	X:171	Y:72 
[2024/8/18 15:0:45] 物品:青铜头盔	怪物:2A7DC950僵尸50	地图:H201	X:171	Y:72 
[2024/8/18 15:0:45] 物品:金创药(小量)	怪物:2A7DC950僵尸50	地图:H201	X:171	Y:72 
[2024/8/18 15:0:45] 物品:金创药(小量)	怪物:2A7DC950僵尸50	地图:H201	X:171	Y:72 
[2024/8/18 15:0:45] 物品:金创药(小量)	怪物:2A7DC950僵尸50	地图:H201	X:171	Y:72 
[2024/8/18 15:0:45] 物品:金创药(小量)	怪物:2A7DC950僵尸50	地图:H201	X:171	Y:72 
[2024/8/18 15:0:45] 物品:魔法药(小量)	怪物:2A7DC950僵尸50	地图:H201	X:171	Y:72 
[2024/8/18 15:0:45] 物品:魔法药(小量)	怪物:2A7DC950僵尸50	地图:H201	X:171	Y:72 
[2024/8/18 15:0:45] 物品:魔法药(小量)	怪物:2A7DC950僵尸50	地图:H201	X:171	Y:72 
[2024/8/18 15:0:45] 物品:魔法药(小量)	怪物:2A7DC950僵尸50	地图:H201	X:171	Y:72 
[2024/8/18 15:0:47] 物品:金创药(小量)	怪物:2464D540僵尸4	地图:H201	X:168	Y:71 
[2024/8/18 15:0:49] 物品:抗拒火环	怪物:1CA539F0僵尸40	地图:H201	X:169	Y:69 
[2024/8/18 15:0:49] 物品:精神力战法	怪物:1CA539F0僵尸40	地图:H201	X:169	Y:69 
[2024/8/18 15:0:49] 物品:火球术	怪物:1CA539F0僵尸40	地图:H201	X:169	Y:69 
[2024/8/18 15:0:49] 物品:治愈术	怪物:1CA539F0僵尸40	地图:H201	X:169	Y:69 
[2024/8/18 15:0:49] 物品:基本剑术	怪物:1CA539F0僵尸40	地图:H201	X:169	Y:69 
[2024/8/18 15:0:54] 物品:灵魂战衣(女)	怪物:20862490红野猪	地图:D714	X:58	Y:188 
[2024/8/18 15:0:57] 物品:强效太阳水	怪物:1EEEAAB0尸王8	地图:H201	X:170	Y:71 
[2024/8/18 15:0:57] 物品:强效太阳水	怪物:1EEEAAB0尸王8	地图:H201	X:170	Y:71 
[2024/8/18 15:0:57] 物品:强效太阳水	怪物:1EEEAAB0尸王8	地图:H201	X:170	Y:71 
[2024/8/18 15:0:57] 物品:强效太阳水	怪物:1EEEAAB0尸王8	地图:H201	X:170	Y:71 
[2024/8/18 15:0:57] 物品:强效太阳水	怪物:1EEEAAB0尸王8	地图:H201	X:170	Y:71 
[2024/8/18 15:0:57] 物品:强效金创药	怪物:1EEEAAB0尸王8	地图:H201	X:170	Y:71 
[2024/8/18 15:0:57] 物品:强效金创药	怪物:1EEEAAB0尸王8	地图:H201	X:170	Y:71 
[2024/8/18 15:0:57] 物品:强效魔法药	怪物:1EEEAAB0尸王8	地图:H201	X:170	Y:71 
[2024/8/18 15:0:57] 物品:强效魔法药	怪物:1EEEAAB0尸王8	地图:H201	X:170	Y:71 
[2024/8/18 15:0:57] 物品:黑色水晶戒指	怪物:1EEEAAB0尸王8	地图:H201	X:170	Y:71 
[2024/8/18 15:0:57] 物品:珍珠戒指	怪物:1EEEAAB0尸王8	地图:H201	X:170	Y:71 
[2024/8/18 15:0:57] 物品:生铁戒指	怪物:1EEEAAB0尸王8	地图:H201	X:170	Y:71 
[2024/8/18 15:0:57] 物品:黑檀手镯	怪物:1EEEAAB0尸王8	地图:H201	X:170	Y:71 
[2024/8/18 15:0:57] 物品:魔力手镯	怪物:1EEEAAB0尸王8	地图:H201	X:170	Y:71 
[2024/8/18 15:1:0] 物品:瞬息移动	怪物:227FE1D0僵尸40	地图:H201	X:171	Y:70 
[2024/8/18 15:1:0] 物品:抗拒火环	怪物:227FE1D0僵尸40	地图:H201	X:171	Y:70 
[2024/8/18 15:1:0] 物品:精神力战法	怪物:227FE1D0僵尸40	地图:H201	X:171	Y:70 
[2024/8/18 15:1:0] 物品:火球术	怪物:227FE1D0僵尸40	地图:H201	X:171	Y:70 
[2024/8/18 15:1:0] 物品:治愈术	怪物:227FE1D0僵尸40	地图:H201	X:171	Y:70 
[2024/8/18 15:1:0] 物品:基本剑术	怪物:227FE1D0僵尸40	地图:H201	X:171	Y:70 
[2024/8/18 15:1:0] 物品:半月	怪物:227FE1D0僵尸40	地图:H201	X:171	Y:70 
[2024/8/18 15:1:0] 物品:轻型盔甲(女)	怪物:227FE1D0僵尸40	地图:H201	X:171	Y:70 
[2024/8/18 15:1:0] 物品:金创药(小量)	怪物:227FE1D0僵尸40	地图:H201	X:171	Y:70 
[2024/8/18 15:1:7] 物品:强效太阳水	怪物:24617570白野猪8	地图:H204	X:40	Y:58 
[2024/8/18 15:1:7] 物品:强效太阳水	怪物:24617570白野猪8	地图:H204	X:40	Y:58 
[2024/8/18 15:1:7] 物品:强效太阳水	怪物:24617570白野猪8	地图:H204	X:40	Y:58 
[2024/8/18 15:1:7] 物品:强效太阳水	怪物:24617570白野猪8	地图:H204	X:40	Y:58 
[2024/8/18 15:1:7] 物品:强效太阳水	怪物:24617570白野猪8	地图:H204	X:40	Y:58 
[2024/8/18 15:1:7] 物品:强效太阳水	怪物:24617570白野猪8	地图:H204	X:40	Y:58 
[2024/8/18 15:1:7] 物品:强效太阳水	怪物:24617570白野猪8	地图:H204	X:40	Y:58 
[2024/8/18 15:1:7] 物品:强效太阳水	怪物:24617570白野猪8	地图:H204	X:40	Y:58 
[2024/8/18 15:1:7] 物品:强效太阳水	怪物:24617570白野猪8	地图:H204	X:40	Y:58 
[2024/8/18 15:1:7] 物品:强效太阳水	怪物:24617570白野猪8	地图:H204	X:40	Y:58 
[2024/8/18 15:1:7] 物品:太阳水	怪物:24617570白野猪8	地图:H204	X:40	Y:58 
[2024/8/18 15:1:7] 物品:太阳水	怪物:24617570白野猪8	地图:H204	X:40	Y:58 
[2024/8/18 15:1:7] 物品:太阳水	怪物:24617570白野猪8	地图:H204	X:40	Y:58 
[2024/8/18 15:1:7] 物品:太阳水	怪物:24617570白野猪8	地图:H204	X:40	Y:58 
