[2024/8/22 1:0:1] 物品:金创药(小量)	怪物:23698DD0僵尸4	地图:H201	X:176	Y:89 
[2024/8/22 1:0:28] 物品:青铜头盔	怪物:289C6950僵尸50	地图:H201	X:174	Y:76 
[2024/8/22 1:0:28] 物品:金创药(小量)	怪物:289C6950僵尸50	地图:H201	X:174	Y:76 
[2024/8/22 1:0:28] 物品:金创药(小量)	怪物:289C6950僵尸50	地图:H201	X:174	Y:76 
[2024/8/22 1:0:28] 物品:金创药(小量)	怪物:289C6950僵尸50	地图:H201	X:174	Y:76 
[2024/8/22 1:0:28] 物品:金创药(小量)	怪物:289C6950僵尸50	地图:H201	X:174	Y:76 
[2024/8/22 1:0:28] 物品:魔法药(小量)	怪物:289C6950僵尸50	地图:H201	X:174	Y:76 
[2024/8/22 1:0:28] 物品:魔法药(小量)	怪物:289C6950僵尸50	地图:H201	X:174	Y:76 
[2024/8/22 1:0:28] 物品:魔法药(小量)	怪物:289C6950僵尸50	地图:H201	X:174	Y:76 
[2024/8/22 1:0:28] 物品:魔法药(小量)	怪物:289C6950僵尸50	地图:H201	X:174	Y:76 
[2024/8/22 1:0:30] 物品:地狱火	怪物:2CC17790恶灵尸王	地图:H201	X:174	Y:77 
[2024/8/22 1:0:38] 物品:瞬息移动	怪物:24F339B0僵尸40	地图:H201	X:173	Y:75 
[2024/8/22 1:0:38] 物品:灵魂火符	怪物:24F339B0僵尸40	地图:H201	X:173	Y:75 
[2024/8/22 1:0:38] 物品:抗拒火环	怪物:24F339B0僵尸40	地图:H201	X:173	Y:75 
[2024/8/22 1:0:38] 物品:精神力战法	怪物:24F339B0僵尸40	地图:H201	X:173	Y:75 
[2024/8/22 1:0:38] 物品:火球术	怪物:24F339B0僵尸40	地图:H201	X:173	Y:75 
[2024/8/22 1:0:38] 物品:治愈术	怪物:24F339B0僵尸40	地图:H201	X:173	Y:75 
[2024/8/22 1:0:38] 物品:基本剑术	怪物:24F339B0僵尸40	地图:H201	X:173	Y:75 
[2024/8/22 1:0:38] 物品:中型盔甲(女)	怪物:24F339B0僵尸40	地图:H201	X:173	Y:75 
[2024/8/22 1:0:38] 物品:金创药(小量)	怪物:24F339B0僵尸40	地图:H201	X:173	Y:75 
[2024/8/22 1:0:42] 物品:强效金创药	怪物:257494B0魔龙射手2	地图:66	X:165	Y:122 
[2024/8/22 1:0:44] 物品:金创药(小量)	怪物:1B0F49D0僵尸3	地图:D401	X:89	Y:167 
[2024/8/22 1:0:45] 物品:雷电术	怪物:2BBB0A50恶灵尸王	地图:H201	X:171	Y:76 
[2024/8/22 1:0:45] 物品:瞬息移动	怪物:2BBB0A50恶灵尸王	地图:H201	X:171	Y:76 
[2024/8/22 1:0:55] 物品:施毒术	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:0:55] 物品:抗拒火环	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:0:55] 物品:精神力战法	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:0:55] 物品:火球术	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:0:55] 物品:治愈术	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:0:55] 物品:基本剑术	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:0:55] 物品:凌风	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:0:55] 物品:魔鬼项链	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:0:55] 物品:琥珀项链	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:0:55] 物品:凤凰明珠	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:0:55] 物品:坚固手套	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:0:55] 物品:灯笼项链	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:0:55] 物品:铁剑	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:0:55] 物品:短剑	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:0:55] 物品:轻型盔甲(男)	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:0:55] 物品:轻型盔甲(女)	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:0:55] 物品:中型盔甲(男)	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:0:55] 物品:青铜斧	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:0:55] 物品:黑檀项链	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:0:55] 物品:黄色水晶项链	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:0:55] 物品:黑色水晶项链	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:0:55] 物品:青铜头盔	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:0:55] 物品:金创药(小量)	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:0:55] 物品:金创药(小量)	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:0:55] 物品:金创药(小量)	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:0:55] 物品:金创药(小量)	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:0:55] 物品:魔法药(小量)	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:0:55] 物品:魔法药(小量)	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:0:55] 物品:魔法药(小量)	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:0:55] 物品:魔法药(小量)	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:0:58] 物品:强效太阳水	怪物:2D2614D0尸王8	地图:H201	X:171	Y:75 
[2024/8/22 1:0:58] 物品:强效太阳水	怪物:2D2614D0尸王8	地图:H201	X:171	Y:75 
[2024/8/22 1:0:58] 物品:强效太阳水	怪物:2D2614D0尸王8	地图:H201	X:171	Y:75 
[2024/8/22 1:0:58] 物品:强效太阳水	怪物:2D2614D0尸王8	地图:H201	X:171	Y:75 
[2024/8/22 1:0:58] 物品:强效太阳水	怪物:2D2614D0尸王8	地图:H201	X:171	Y:75 
[2024/8/22 1:0:58] 物品:强效金创药	怪物:2D2614D0尸王8	地图:H201	X:171	Y:75 
[2024/8/22 1:0:58] 物品:强效金创药	怪物:2D2614D0尸王8	地图:H201	X:171	Y:75 
[2024/8/22 1:0:58] 物品:强效魔法药	怪物:2D2614D0尸王8	地图:H201	X:171	Y:75 
[2024/8/22 1:0:58] 物品:强效魔法药	怪物:2D2614D0尸王8	地图:H201	X:171	Y:75 
[2024/8/22 1:0:58] 物品:黑色水晶戒指	怪物:2D2614D0尸王8	地图:H201	X:171	Y:75 
[2024/8/22 1:0:58] 物品:道德戒指	怪物:2D2614D0尸王8	地图:H201	X:171	Y:75 
[2024/8/22 1:0:58] 物品:黑檀手镯	怪物:2D2614D0尸王8	地图:H201	X:171	Y:75 
[2024/8/22 1:0:58] 物品:魔力手镯	怪物:2D2614D0尸王8	地图:H201	X:171	Y:75 
[2024/8/22 1:0:58] 物品:群体治疗术	怪物:2D2614D0尸王8	地图:H201	X:171	Y:75 
[2024/8/22 1:0:59] 物品:金创药(小量)	怪物:13D8D310僵尸4	地图:H201	X:170	Y:74 
[2024/8/22 1:1:0] 物品:强效太阳水	怪物:28C58920尸王8	地图:H201	X:168	Y:76 
[2024/8/22 1:1:0] 物品:强效太阳水	怪物:28C58920尸王8	地图:H201	X:168	Y:76 
[2024/8/22 1:1:0] 物品:强效太阳水	怪物:28C58920尸王8	地图:H201	X:168	Y:76 
[2024/8/22 1:1:0] 物品:强效太阳水	怪物:28C58920尸王8	地图:H201	X:168	Y:76 
[2024/8/22 1:1:0] 物品:强效太阳水	怪物:28C58920尸王8	地图:H201	X:168	Y:76 
[2024/8/22 1:1:0] 物品:强效金创药	怪物:28C58920尸王8	地图:H201	X:168	Y:76 
[2024/8/22 1:1:0] 物品:强效金创药	怪物:28C58920尸王8	地图:H201	X:168	Y:76 
[2024/8/22 1:1:0] 物品:强效魔法药	怪物:28C58920尸王8	地图:H201	X:168	Y:76 
[2024/8/22 1:1:0] 物品:强效魔法药	怪物:28C58920尸王8	地图:H201	X:168	Y:76 
[2024/8/22 1:1:0] 物品:黑色水晶戒指	怪物:28C58920尸王8	地图:H201	X:168	Y:76 
[2024/8/22 1:1:0] 物品:凝霜	怪物:28C58920尸王8	地图:H201	X:168	Y:76 
[2024/8/22 1:1:0] 物品:蓝翡翠项链	怪物:28C58920尸王8	地图:H201	X:168	Y:76 
[2024/8/22 1:1:0] 物品:黑檀手镯	怪物:28C58920尸王8	地图:H201	X:168	Y:76 
[2024/8/22 1:1:0] 物品:魔力手镯	怪物:28C58920尸王8	地图:H201	X:168	Y:76 
[2024/8/22 1:1:1] 物品:攻杀剑术	怪物:060D2AC0僵尸50	地图:H201	X:172	Y:74 
[2024/8/22 1:1:1] 物品:雷电术	怪物:060D2AC0僵尸50	地图:H201	X:172	Y:74 
[2024/8/22 1:1:1] 物品:抗拒火环	怪物:060D2AC0僵尸50	地图:H201	X:172	Y:74 
[2024/8/22 1:1:1] 物品:精神力战法	怪物:060D2AC0僵尸50	地图:H201	X:172	Y:74 
[2024/8/22 1:1:1] 物品:火球术	怪物:060D2AC0僵尸50	地图:H201	X:172	Y:74 
[2024/8/22 1:1:1] 物品:治愈术	怪物:060D2AC0僵尸50	地图:H201	X:172	Y:74 
[2024/8/22 1:1:1] 物品:基本剑术	怪物:060D2AC0僵尸50	地图:H201	X:172	Y:74 
[2024/8/22 1:1:1] 物品:八荒	怪物:060D2AC0僵尸50	地图:H201	X:172	Y:74 
[2024/8/22 1:1:1] 物品:海魂	怪物:060D2AC0僵尸50	地图:H201	X:172	Y:74 
[2024/8/22 1:1:1] 物品:凌风	怪物:060D2AC0僵尸50	地图:H201	X:172	Y:74 
[2024/8/22 1:1:1] 物品:铁剑	怪物:060D2AC0僵尸50	地图:H201	X:172	Y:74 
[2024/8/22 1:1:1] 物品:短剑	怪物:060D2AC0僵尸50	地图:H201	X:172	Y:74 
[2024/8/22 1:1:1] 物品:轻型盔甲(男)	怪物:060D2AC0僵尸50	地图:H201	X:172	Y:74 
[2024/8/22 1:1:1] 物品:轻型盔甲(女)	怪物:060D2AC0僵尸50	地图:H201	X:172	Y:74 
[2024/8/22 1:1:1] 物品:青铜斧	怪物:060D2AC0僵尸50	地图:H201	X:172	Y:74 
[2024/8/22 1:1:1] 物品:黑檀项链	怪物:060D2AC0僵尸50	地图:H201	X:172	Y:74 
[2024/8/22 1:1:1] 物品:黄色水晶项链	怪物:060D2AC0僵尸50	地图:H201	X:172	Y:74 
[2024/8/22 1:1:1] 物品:黑色水晶项链	怪物:060D2AC0僵尸50	地图:H201	X:172	Y:74 
[2024/8/22 1:1:1] 物品:青铜头盔	怪物:060D2AC0僵尸50	地图:H201	X:172	Y:74 
[2024/8/22 1:1:1] 物品:金创药(小量)	怪物:060D2AC0僵尸50	地图:H201	X:172	Y:74 
[2024/8/22 1:1:1] 物品:金创药(小量)	怪物:060D2AC0僵尸50	地图:H201	X:172	Y:74 
[2024/8/22 1:1:1] 物品:金创药(小量)	怪物:060D2AC0僵尸50	地图:H201	X:172	Y:74 
[2024/8/22 1:1:1] 物品:金创药(小量)	怪物:060D2AC0僵尸50	地图:H201	X:172	Y:74 
[2024/8/22 1:1:1] 物品:魔法药(小量)	怪物:060D2AC0僵尸50	地图:H201	X:172	Y:74 
[2024/8/22 1:1:1] 物品:魔法药(小量)	怪物:060D2AC0僵尸50	地图:H201	X:172	Y:74 
[2024/8/22 1:1:1] 物品:魔法药(小量)	怪物:060D2AC0僵尸50	地图:H201	X:172	Y:74 
[2024/8/22 1:1:1] 物品:魔法药(小量)	怪物:060D2AC0僵尸50	地图:H201	X:172	Y:74 
[2024/8/22 1:1:2] 物品:召唤骷髅	怪物:2B47FDA0僵尸40	地图:H201	X:168	Y:78 
[2024/8/22 1:1:2] 物品:瞬息移动	怪物:2B47FDA0僵尸40	地图:H201	X:168	Y:78 
[2024/8/22 1:1:2] 物品:地狱火	怪物:2B47FDA0僵尸40	地图:H201	X:168	Y:78 
[2024/8/22 1:1:2] 物品:抗拒火环	怪物:2B47FDA0僵尸40	地图:H201	X:168	Y:78 
[2024/8/22 1:1:2] 物品:精神力战法	怪物:2B47FDA0僵尸40	地图:H201	X:168	Y:78 
[2024/8/22 1:1:2] 物品:火球术	怪物:2B47FDA0僵尸40	地图:H201	X:168	Y:78 
[2024/8/22 1:1:2] 物品:治愈术	怪物:2B47FDA0僵尸40	地图:H201	X:168	Y:78 
[2024/8/22 1:1:2] 物品:基本剑术	怪物:2B47FDA0僵尸40	地图:H201	X:168	Y:78 
[2024/8/22 1:1:2] 物品:青铜头盔	怪物:2B47FDA0僵尸40	地图:H201	X:168	Y:78 
[2024/8/22 1:1:2] 物品:金创药(小量)	怪物:2B47FDA0僵尸40	地图:H201	X:168	Y:78 
[2024/8/22 1:1:3] 物品:瞬息移动	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:1:3] 物品:抗拒火环	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:1:3] 物品:精神力战法	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:1:3] 物品:火球术	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:1:3] 物品:治愈术	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:1:3] 物品:基本剑术	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:1:3] 物品:半月	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:1:3] 物品:魔鬼项链	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:1:3] 物品:琥珀项链	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:1:3] 物品:凤凰明珠	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:1:3] 物品:魔力手镯	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:1:3] 物品:灯笼项链	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:1:3] 物品:铁剑	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:1:3] 物品:短剑	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:1:3] 物品:轻型盔甲(男)	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:1:3] 物品:轻型盔甲(女)	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:1:3] 物品:中型盔甲(女)	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:1:3] 物品:青铜斧	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:1:3] 物品:黑檀项链	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:1:3] 物品:黄色水晶项链	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:1:3] 物品:黑色水晶项链	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:1:3] 物品:青铜头盔	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:1:3] 物品:金创药(小量)	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:1:3] 物品:金创药(小量)	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:1:3] 物品:金创药(小量)	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:1:3] 物品:金创药(小量)	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:1:3] 物品:魔法药(小量)	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:1:3] 物品:魔法药(小量)	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:1:3] 物品:魔法药(小量)	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:1:3] 物品:魔法药(小量)	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:1:5] 物品:金创药(小量)	怪物:293AD2A0僵尸5	地图:H201	X:170	Y:71 
[2024/8/22 1:1:5] 物品:攻击力药水	怪物:2488D8F0僵尸5	地图:H201	X:170	Y:73 
[2024/8/22 1:1:10] 物品:强效太阳水	怪物:1B308C50尸王8	地图:H201	X:171	Y:73 
[2024/8/22 1:1:10] 物品:强效太阳水	怪物:1B308C50尸王8	地图:H201	X:171	Y:73 
[2024/8/22 1:1:10] 物品:强效太阳水	怪物:1B308C50尸王8	地图:H201	X:171	Y:73 
[2024/8/22 1:1:10] 物品:强效太阳水	怪物:1B308C50尸王8	地图:H201	X:171	Y:73 
[2024/8/22 1:1:10] 物品:强效太阳水	怪物:1B308C50尸王8	地图:H201	X:171	Y:73 
[2024/8/22 1:1:10] 物品:强效金创药	怪物:1B308C50尸王8	地图:H201	X:171	Y:73 
[2024/8/22 1:1:10] 物品:强效金创药	怪物:1B308C50尸王8	地图:H201	X:171	Y:73 
[2024/8/22 1:1:10] 物品:强效魔法药	怪物:1B308C50尸王8	地图:H201	X:171	Y:73 
[2024/8/22 1:1:10] 物品:强效魔法药	怪物:1B308C50尸王8	地图:H201	X:171	Y:73 
[2024/8/22 1:1:10] 物品:凝霜	怪物:1B308C50尸王8	地图:H201	X:171	Y:73 
[2024/8/22 1:1:10] 物品:黑檀手镯	怪物:1B308C50尸王8	地图:H201	X:171	Y:73 
[2024/8/22 1:1:10] 物品:魔力手镯	怪物:1B308C50尸王8	地图:H201	X:171	Y:73 
[2024/8/22 1:1:11] 物品:隐身术	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:1:11] 物品:抗拒火环	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:1:11] 物品:精神力战法	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:1:11] 物品:火球术	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:1:11] 物品:治愈术	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:1:11] 物品:基本剑术	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:1:11] 物品:八荒	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:1:11] 物品:半月	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:1:11] 物品:海魂	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:1:11] 物品:凌风	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:1:11] 物品:魔鬼项链	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:1:11] 物品:凤凰明珠	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:1:11] 物品:魔力手镯	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:1:11] 物品:铁剑	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:1:11] 物品:短剑	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:1:11] 物品:轻型盔甲(男)	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:1:11] 物品:轻型盔甲(女)	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:1:11] 物品:中型盔甲(女)	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:1:11] 物品:青铜斧	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:1:11] 物品:黑檀项链	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:1:11] 物品:黄色水晶项链	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:1:11] 物品:黑色水晶项链	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:1:11] 物品:青铜头盔	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:1:11] 物品:金创药(小量)	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:1:11] 物品:金创药(小量)	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:1:11] 物品:金创药(小量)	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:1:11] 物品:金创药(小量)	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:1:11] 物品:魔法药(小量)	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:1:11] 物品:魔法药(小量)	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:1:11] 物品:魔法药(小量)	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:1:11] 物品:魔法药(小量)	怪物:289C6950僵尸50	地图:H201	X:173	Y:75 
[2024/8/22 1:1:12] 物品:金创药(小量)	怪物:22FE1380僵尸4	地图:H201	X:168	Y:79 
[2024/8/22 1:1:14] 物品:强效魔法药	怪物:1436BF30魔龙射手1	地图:66	X:171	Y:127 
[2024/8/22 1:1:14] 物品:黑檀手镯	怪物:1436BF30魔龙射手1	地图:66	X:171	Y:127 
[2024/8/22 1:1:15] 物品:战神油	怪物:178373B0蜈蚣8	地图:H004	X:57	Y:164 
[2024/8/22 1:1:15] 物品:召唤骷髅	怪物:060D2AC0僵尸50	地图:H201	X:172	Y:74 
