[2024/8/19 6:0:1] 物品:魔法药(小量)	怪物:190D3B70僵尸4	地图:H201	X:180	Y:58 
[2024/8/19 6:0:16] 物品:强效太阳水	怪物:0D57D8C0尸王8	地图:H201	X:176	Y:54 
[2024/8/19 6:0:16] 物品:强效太阳水	怪物:0D57D8C0尸王8	地图:H201	X:176	Y:54 
[2024/8/19 6:0:16] 物品:强效太阳水	怪物:0D57D8C0尸王8	地图:H201	X:176	Y:54 
[2024/8/19 6:0:16] 物品:强效太阳水	怪物:0D57D8C0尸王8	地图:H201	X:176	Y:54 
[2024/8/19 6:0:16] 物品:强效太阳水	怪物:0D57D8C0尸王8	地图:H201	X:176	Y:54 
[2024/8/19 6:0:16] 物品:强效金创药	怪物:0D57D8C0尸王8	地图:H201	X:176	Y:54 
[2024/8/19 6:0:16] 物品:强效金创药	怪物:0D57D8C0尸王8	地图:H201	X:176	Y:54 
[2024/8/19 6:0:16] 物品:强效魔法药	怪物:0D57D8C0尸王8	地图:H201	X:176	Y:54 
[2024/8/19 6:0:16] 物品:强效魔法药	怪物:0D57D8C0尸王8	地图:H201	X:176	Y:54 
[2024/8/19 6:0:19] 物品:雷电术	怪物:2F189090僵尸50	地图:H201	X:176	Y:53 
[2024/8/19 6:0:19] 物品:诱惑之光	怪物:2F189090僵尸50	地图:H201	X:176	Y:53 
[2024/8/19 6:0:19] 物品:抗拒火环	怪物:2F189090僵尸50	地图:H201	X:176	Y:53 
[2024/8/19 6:0:19] 物品:精神力战法	怪物:2F189090僵尸50	地图:H201	X:176	Y:53 
[2024/8/19 6:0:19] 物品:火球术	怪物:2F189090僵尸50	地图:H201	X:176	Y:53 
[2024/8/19 6:0:19] 物品:治愈术	怪物:2F189090僵尸50	地图:H201	X:176	Y:53 
[2024/8/19 6:0:19] 物品:基本剑术	怪物:2F189090僵尸50	地图:H201	X:176	Y:53 
[2024/8/19 6:0:19] 物品:八荒	怪物:2F189090僵尸50	地图:H201	X:176	Y:53 
[2024/8/19 6:0:19] 物品:海魂	怪物:2F189090僵尸50	地图:H201	X:176	Y:53 
[2024/8/19 6:0:19] 物品:凌风	怪物:2F189090僵尸50	地图:H201	X:176	Y:53 
[2024/8/19 6:0:19] 物品:凤凰明珠	怪物:2F189090僵尸50	地图:H201	X:176	Y:53 
[2024/8/19 6:0:19] 物品:灯笼项链	怪物:2F189090僵尸50	地图:H201	X:176	Y:53 
[2024/8/19 6:0:19] 物品:铁剑	怪物:2F189090僵尸50	地图:H201	X:176	Y:53 
[2024/8/19 6:0:19] 物品:短剑	怪物:2F189090僵尸50	地图:H201	X:176	Y:53 
[2024/8/19 6:0:19] 物品:轻型盔甲(男)	怪物:2F189090僵尸50	地图:H201	X:176	Y:53 
[2024/8/19 6:0:19] 物品:轻型盔甲(女)	怪物:2F189090僵尸50	地图:H201	X:176	Y:53 
[2024/8/19 6:0:19] 物品:青铜斧	怪物:2F189090僵尸50	地图:H201	X:176	Y:53 
[2024/8/19 6:0:19] 物品:黑檀项链	怪物:2F189090僵尸50	地图:H201	X:176	Y:53 
[2024/8/19 6:0:19] 物品:黄色水晶项链	怪物:2F189090僵尸50	地图:H201	X:176	Y:53 
[2024/8/19 6:0:19] 物品:黑色水晶项链	怪物:2F189090僵尸50	地图:H201	X:176	Y:53 
[2024/8/19 6:0:19] 物品:青铜头盔	怪物:2F189090僵尸50	地图:H201	X:176	Y:53 
[2024/8/19 6:0:19] 物品:金创药(小量)	怪物:2F189090僵尸50	地图:H201	X:176	Y:53 
[2024/8/19 6:0:19] 物品:金创药(小量)	怪物:2F189090僵尸50	地图:H201	X:176	Y:53 
[2024/8/19 6:0:19] 物品:金创药(小量)	怪物:2F189090僵尸50	地图:H201	X:176	Y:53 
[2024/8/19 6:0:19] 物品:金创药(小量)	怪物:2F189090僵尸50	地图:H201	X:176	Y:53 
[2024/8/19 6:0:19] 物品:魔法药(小量)	怪物:2F189090僵尸50	地图:H201	X:176	Y:53 
[2024/8/19 6:0:19] 物品:魔法药(小量)	怪物:2F189090僵尸50	地图:H201	X:176	Y:53 
[2024/8/19 6:0:19] 物品:魔法药(小量)	怪物:2F189090僵尸50	地图:H201	X:176	Y:53 
[2024/8/19 6:0:19] 物品:魔法药(小量)	怪物:2F189090僵尸50	地图:H201	X:176	Y:53 
[2024/8/19 6:0:23] 物品:强效太阳水	怪物:235C2FD0沃玛教主	地图:H204	X:59	Y:51 
[2024/8/19 6:0:23] 物品:强效太阳水	怪物:235C2FD0沃玛教主	地图:H204	X:59	Y:51 
[2024/8/19 6:0:23] 物品:强效太阳水	怪物:235C2FD0沃玛教主	地图:H204	X:59	Y:51 
[2024/8/19 6:0:23] 物品:强效太阳水	怪物:235C2FD0沃玛教主	地图:H204	X:59	Y:51 
[2024/8/19 6:0:23] 物品:强效太阳水	怪物:235C2FD0沃玛教主	地图:H204	X:59	Y:51 
[2024/8/19 6:0:23] 物品:强效太阳水	怪物:235C2FD0沃玛教主	地图:H204	X:59	Y:51 
[2024/8/19 6:0:23] 物品:强效太阳水	怪物:235C2FD0沃玛教主	地图:H204	X:59	Y:51 
[2024/8/19 6:0:23] 物品:强效太阳水	怪物:235C2FD0沃玛教主	地图:H204	X:59	Y:51 
[2024/8/19 6:0:23] 物品:强效太阳水	怪物:235C2FD0沃玛教主	地图:H204	X:59	Y:51 
[2024/8/19 6:0:23] 物品:强效太阳水	怪物:235C2FD0沃玛教主	地图:H204	X:59	Y:51 
[2024/8/19 6:0:23] 物品:太阳水	怪物:235C2FD0沃玛教主	地图:H204	X:59	Y:51 
[2024/8/19 6:0:23] 物品:太阳水	怪物:235C2FD0沃玛教主	地图:H204	X:59	Y:51 
[2024/8/19 6:0:23] 物品:太阳水	怪物:235C2FD0沃玛教主	地图:H204	X:59	Y:51 
[2024/8/19 6:0:23] 物品:太阳水	怪物:235C2FD0沃玛教主	地图:H204	X:59	Y:51 
[2024/8/19 6:0:23] 物品:太阳水	怪物:235C2FD0沃玛教主	地图:H204	X:59	Y:51 
[2024/8/19 6:0:23] 物品:太阳水	怪物:235C2FD0沃玛教主	地图:H204	X:59	Y:51 
[2024/8/19 6:0:23] 物品:太阳水	怪物:235C2FD0沃玛教主	地图:H204	X:59	Y:51 
[2024/8/19 6:0:23] 物品:太阳水	怪物:235C2FD0沃玛教主	地图:H204	X:59	Y:51 
[2024/8/19 6:0:23] 物品:太阳水	怪物:235C2FD0沃玛教主	地图:H204	X:59	Y:51 
[2024/8/19 6:0:23] 物品:太阳水	怪物:235C2FD0沃玛教主	地图:H204	X:59	Y:51 
[2024/8/19 6:0:23] 物品:强效金创药	怪物:235C2FD0沃玛教主	地图:H204	X:59	Y:51 
[2024/8/19 6:0:23] 物品:强效金创药	怪物:235C2FD0沃玛教主	地图:H204	X:59	Y:51 
[2024/8/19 6:0:23] 物品:强效金创药	怪物:235C2FD0沃玛教主	地图:H204	X:59	Y:51 
[2024/8/19 6:0:23] 物品:强效金创药	怪物:235C2FD0沃玛教主	地图:H204	X:59	Y:51 
[2024/8/19 6:0:23] 物品:强效金创药	怪物:235C2FD0沃玛教主	地图:H204	X:59	Y:51 
[2024/8/19 6:0:23] 物品:强效金创药	怪物:235C2FD0沃玛教主	地图:H204	X:59	Y:51 
[2024/8/19 6:0:23] 物品:强效金创药	怪物:235C2FD0沃玛教主	地图:H204	X:59	Y:51 
[2024/8/19 6:0:23] 物品:强效金创药	怪物:235C2FD0沃玛教主	地图:H204	X:59	Y:51 
[2024/8/19 6:0:23] 物品:强效金创药	怪物:235C2FD0沃玛教主	地图:H204	X:59	Y:51 
[2024/8/19 6:0:23] 物品:强效金创药	怪物:235C2FD0沃玛教主	地图:H204	X:59	Y:51 
[2024/8/19 6:0:23] 物品:强效魔法药	怪物:235C2FD0沃玛教主	地图:H204	X:59	Y:51 
[2024/8/19 6:0:23] 物品:强效魔法药	怪物:235C2FD0沃玛教主	地图:H204	X:59	Y:51 
[2024/8/19 6:0:23] 物品:强效魔法药	怪物:235C2FD0沃玛教主	地图:H204	X:59	Y:51 
[2024/8/19 6:0:23] 物品:强效魔法药	怪物:235C2FD0沃玛教主	地图:H204	X:59	Y:51 
[2024/8/19 6:0:23] 物品:强效魔法药	怪物:235C2FD0沃玛教主	地图:H204	X:59	Y:51 
[2024/8/19 6:0:23] 物品:强效魔法药	怪物:235C2FD0沃玛教主	地图:H204	X:59	Y:51 
[2024/8/19 6:0:23] 物品:强效魔法药	怪物:235C2FD0沃玛教主	地图:H204	X:59	Y:51 
[2024/8/19 6:0:23] 物品:强效魔法药	怪物:235C2FD0沃玛教主	地图:H204	X:59	Y:51 
[2024/8/19 6:0:23] 物品:强效魔法药	怪物:235C2FD0沃玛教主	地图:H204	X:59	Y:51 
[2024/8/19 6:0:23] 物品:强效魔法药	怪物:235C2FD0沃玛教主	地图:H204	X:59	Y:51 
[2024/8/19 6:0:23] 物品:攻击神水	怪物:235C2FD0沃玛教主	地图:H204	X:59	Y:51 
[2024/8/19 6:0:23] 物品:魔杖	怪物:235C2FD0沃玛教主	地图:H204	X:59	Y:51 
[2024/8/19 6:0:23] 物品:魔法长袍(男)	怪物:235C2FD0沃玛教主	地图:H204	X:59	Y:51 
[2024/8/19 6:0:23] 物品:灵魂战衣(女)	怪物:235C2FD0沃玛教主	地图:H204	X:59	Y:51 
[2024/8/19 6:0:23] 物品:偃月	怪物:235C2FD0沃玛教主	地图:H204	X:59	Y:51 
[2024/8/19 6:0:23] 物品:破魂	怪物:235C2FD0沃玛教主	地图:H204	X:59	Y:51 
[2024/8/19 6:0:23] 物品:降魔	怪物:235C2FD0沃玛教主	地图:H204	X:59	Y:51 
[2024/8/19 6:0:23] 物品:斩马刀	怪物:235C2FD0沃玛教主	地图:H204	X:59	Y:51 
[2024/8/19 6:0:23] 物品:修罗	怪物:235C2FD0沃玛教主	地图:H204	X:59	Y:51 
[2024/8/19 6:0:23] 物品:凝霜	怪物:235C2FD0沃玛教主	地图:H204	X:59	Y:51 
[2024/8/19 6:0:23] 物品:骷髅头盔	怪物:235C2FD0沃玛教主	地图:H204	X:59	Y:51 
[2024/8/19 6:0:23] 物品:道士头盔	怪物:235C2FD0沃玛教主	地图:H204	X:59	Y:51 
[2024/8/19 6:0:23] 物品:蓝翡翠项链	怪物:235C2FD0沃玛教主	地图:H204	X:59	Y:51 
[2024/8/19 6:0:23] 物品:放大镜	怪物:235C2FD0沃玛教主	地图:H204	X:59	Y:51 
[2024/8/19 6:0:23] 物品:竹笛	怪物:235C2FD0沃玛教主	地图:H204	X:59	Y:51 
[2024/8/19 6:0:23] 物品:小手镯	怪物:235C2FD0沃玛教主	地图:H204	X:59	Y:51 
[2024/8/19 6:0:23] 物品:魔法手镯	怪物:235C2FD0沃玛教主	地图:H204	X:59	Y:51 
[2024/8/19 6:0:23] 物品:黑檀手镯	怪物:235C2FD0沃玛教主	地图:H204	X:59	Y:51 
[2024/8/19 6:0:23] 物品:道士手镯	怪物:235C2FD0沃玛教主	地图:H204	X:59	Y:51 
[2024/8/19 6:0:23] 物品:死神手套	怪物:235C2FD0沃玛教主	地图:H204	X:59	Y:51 
[2024/8/19 6:0:23] 物品:金手镯	怪物:235C2FD0沃玛教主	地图:H204	X:59	Y:51 
[2024/8/19 6:0:23] 物品:黑色水晶戒指	怪物:235C2FD0沃玛教主	地图:H204	X:59	Y:51 
[2024/8/19 6:0:23] 物品:蛇眼戒指	怪物:235C2FD0沃玛教主	地图:H204	X:59	Y:51 
[2024/8/19 6:0:23] 物品:珍珠戒指	怪物:235C2FD0沃玛教主	地图:H204	X:59	Y:51 
[2024/8/19 6:0:23] 物品:金戒指	怪物:235C2FD0沃玛教主	地图:H204	X:59	Y:51 
[2024/8/19 6:0:23] 物品:骷髅戒指	怪物:235C2FD0沃玛教主	地图:H204	X:59	Y:51 
[2024/8/19 6:0:23] 物品:魅力戒指	怪物:235C2FD0沃玛教主	地图:H204	X:59	Y:51 
[2024/8/19 6:0:23] 物品:道德戒指	怪物:235C2FD0沃玛教主	地图:H204	X:59	Y:51 
[2024/8/19 6:0:24] 物品:金创药(小量)	怪物:20636560僵尸4	地图:H201	X:179	Y:54 
[2024/8/19 6:0:34] 物品:强效太阳水	怪物:2D532820沃玛卫士8	地图:H204	X:55	Y:49 
[2024/8/19 6:0:34] 物品:强效太阳水	怪物:2D532820沃玛卫士8	地图:H204	X:55	Y:49 
[2024/8/19 6:0:34] 物品:强效太阳水	怪物:2D532820沃玛卫士8	地图:H204	X:55	Y:49 
[2024/8/19 6:0:34] 物品:强效太阳水	怪物:2D532820沃玛卫士8	地图:H204	X:55	Y:49 
[2024/8/19 6:0:34] 物品:强效太阳水	怪物:2D532820沃玛卫士8	地图:H204	X:55	Y:49 
[2024/8/19 6:0:34] 物品:太阳水	怪物:2D532820沃玛卫士8	地图:H204	X:55	Y:49 
[2024/8/19 6:0:34] 物品:太阳水	怪物:2D532820沃玛卫士8	地图:H204	X:55	Y:49 
[2024/8/19 6:0:34] 物品:太阳水	怪物:2D532820沃玛卫士8	地图:H204	X:55	Y:49 
[2024/8/19 6:0:34] 物品:太阳水	怪物:2D532820沃玛卫士8	地图:H204	X:55	Y:49 
[2024/8/19 6:0:34] 物品:太阳水	怪物:2D532820沃玛卫士8	地图:H204	X:55	Y:49 
[2024/8/19 6:0:34] 物品:太阳水	怪物:2D532820沃玛卫士8	地图:H204	X:55	Y:49 
[2024/8/19 6:0:34] 物品:太阳水	怪物:2D532820沃玛卫士8	地图:H204	X:55	Y:49 
[2024/8/19 6:0:34] 物品:太阳水	怪物:2D532820沃玛卫士8	地图:H204	X:55	Y:49 
[2024/8/19 6:0:34] 物品:太阳水	怪物:2D532820沃玛卫士8	地图:H204	X:55	Y:49 
[2024/8/19 6:0:34] 物品:太阳水	怪物:2D532820沃玛卫士8	地图:H204	X:55	Y:49 
[2024/8/19 6:0:34] 物品:金创药(中量)	怪物:2D532820沃玛卫士8	地图:H204	X:55	Y:49 
[2024/8/19 6:0:34] 物品:金创药(中量)	怪物:2D532820沃玛卫士8	地图:H204	X:55	Y:49 
[2024/8/19 6:0:34] 物品:强效金创药	怪物:2D532820沃玛卫士8	地图:H204	X:55	Y:49 
[2024/8/19 6:0:34] 物品:强效金创药	怪物:2D532820沃玛卫士8	地图:H204	X:55	Y:49 
[2024/8/19 6:0:34] 物品:强效金创药	怪物:2D532820沃玛卫士8	地图:H204	X:55	Y:49 
[2024/8/19 6:0:34] 物品:魔法药(中量)	怪物:2D532820沃玛卫士8	地图:H204	X:55	Y:49 
[2024/8/19 6:0:34] 物品:魔法药(中量)	怪物:2D532820沃玛卫士8	地图:H204	X:55	Y:49 
[2024/8/19 6:0:34] 物品:强效魔法药	怪物:2D532820沃玛卫士8	地图:H204	X:55	Y:49 
[2024/8/19 6:0:34] 物品:强效魔法药	怪物:2D532820沃玛卫士8	地图:H204	X:55	Y:49 
[2024/8/19 6:0:34] 物品:强效魔法药	怪物:2D532820沃玛卫士8	地图:H204	X:55	Y:49 
[2024/8/19 6:0:34] 物品:魔法力药水	怪物:2D532820沃玛卫士8	地图:H204	X:55	Y:49 
[2024/8/19 6:0:35] 物品:蛇眼戒指	怪物:289686A0黑色恶蛆0	地图:D601	X:99	Y:128 
[2024/8/19 6:0:35] 物品:斩马刀	怪物:289686A0黑色恶蛆0	地图:D601	X:99	Y:128 
[2024/8/19 6:0:35] 物品:凌风	怪物:289686A0黑色恶蛆0	地图:D601	X:99	Y:128 
[2024/8/19 6:0:35] 物品:蓝色水晶戒指	怪物:289686A0黑色恶蛆0	地图:D601	X:99	Y:128 
[2024/8/19 6:0:35] 物品:凤凰明珠	怪物:289686A0黑色恶蛆0	地图:D601	X:99	Y:128 
[2024/8/19 6:0:35] 物品:魔力手镯	怪物:289686A0黑色恶蛆0	地图:D601	X:99	Y:128 
[2024/8/19 6:0:35] 物品:太阳水	怪物:289686A0黑色恶蛆0	地图:D601	X:99	Y:128 
[2024/8/19 6:0:35] 物品:太阳水	怪物:289686A0黑色恶蛆0	地图:D601	X:99	Y:128 
[2024/8/19 6:0:35] 物品:太阳水	怪物:289686A0黑色恶蛆0	地图:D601	X:99	Y:128 
[2024/8/19 6:0:35] 物品:太阳水	怪物:289686A0黑色恶蛆0	地图:D601	X:99	Y:128 
[2024/8/19 6:0:35] 物品:金创药(中量)	怪物:289686A0黑色恶蛆0	地图:D601	X:99	Y:128 
[2024/8/19 6:0:35] 物品:金创药(中量)	怪物:289686A0黑色恶蛆0	地图:D601	X:99	Y:128 
[2024/8/19 6:0:35] 物品:金创药(中量)	怪物:289686A0黑色恶蛆0	地图:D601	X:99	Y:128 
[2024/8/19 6:0:35] 物品:金创药(中量)	怪物:289686A0黑色恶蛆0	地图:D601	X:99	Y:128 
[2024/8/19 6:0:35] 物品:魔法药(中量)	怪物:289686A0黑色恶蛆0	地图:D601	X:99	Y:128 
[2024/8/19 6:0:35] 物品:魔法药(中量)	怪物:289686A0黑色恶蛆0	地图:D601	X:99	Y:128 
[2024/8/19 6:0:35] 物品:魔法药(中量)	怪物:289686A0黑色恶蛆0	地图:D601	X:99	Y:128 
[2024/8/19 6:0:35] 物品:魔法药(中量)	怪物:289686A0黑色恶蛆0	地图:D601	X:99	Y:128 
[2024/8/19 6:0:37] 物品:强效太阳水	怪物:1C896BD0尸王8	地图:H201	X:73	Y:173 
[2024/8/19 6:0:37] 物品:强效太阳水	怪物:1C896BD0尸王8	地图:H201	X:73	Y:173 
[2024/8/19 6:0:37] 物品:强效太阳水	怪物:1C896BD0尸王8	地图:H201	X:73	Y:173 
[2024/8/19 6:0:37] 物品:强效太阳水	怪物:1C896BD0尸王8	地图:H201	X:73	Y:173 
[2024/8/19 6:0:37] 物品:强效太阳水	怪物:1C896BD0尸王8	地图:H201	X:73	Y:173 
[2024/8/19 6:0:37] 物品:强效金创药	怪物:1C896BD0尸王8	地图:H201	X:73	Y:173 
[2024/8/19 6:0:37] 物品:强效金创药	怪物:1C896BD0尸王8	地图:H201	X:73	Y:173 
[2024/8/19 6:0:37] 物品:强效魔法药	怪物:1C896BD0尸王8	地图:H201	X:73	Y:173 
