[2024/8/18 4:0:0] 物品:破魂	怪物:297F8BA0牛魔将军8	地图:H010	X:213	Y:133 
[2024/8/18 4:1:8] 物品:抗拒火环	怪物:15AF8670僵尸50	地图:H201	X:62	Y:32 
[2024/8/18 4:1:8] 物品:精神力战法	怪物:15AF8670僵尸50	地图:H201	X:62	Y:32 
[2024/8/18 4:1:8] 物品:火球术	怪物:15AF8670僵尸50	地图:H201	X:62	Y:32 
[2024/8/18 4:1:8] 物品:治愈术	怪物:15AF8670僵尸50	地图:H201	X:62	Y:32 
[2024/8/18 4:1:8] 物品:基本剑术	怪物:15AF8670僵尸50	地图:H201	X:62	Y:32 
[2024/8/18 4:1:8] 物品:半月	怪物:15AF8670僵尸50	地图:H201	X:62	Y:32 
[2024/8/18 4:1:8] 物品:蓝色水晶戒指	怪物:15AF8670僵尸50	地图:H201	X:62	Y:32 
[2024/8/18 4:1:8] 物品:琥珀项链	怪物:15AF8670僵尸50	地图:H201	X:62	Y:32 
[2024/8/18 4:1:8] 物品:凤凰明珠	怪物:15AF8670僵尸50	地图:H201	X:62	Y:32 
[2024/8/18 4:1:8] 物品:坚固手套	怪物:15AF8670僵尸50	地图:H201	X:62	Y:32 
[2024/8/18 4:1:8] 物品:魔力手镯	怪物:15AF8670僵尸50	地图:H201	X:62	Y:32 
[2024/8/18 4:1:8] 物品:铁剑	怪物:15AF8670僵尸50	地图:H201	X:62	Y:32 
[2024/8/18 4:1:8] 物品:短剑	怪物:15AF8670僵尸50	地图:H201	X:62	Y:32 
[2024/8/18 4:1:8] 物品:轻型盔甲(男)	怪物:15AF8670僵尸50	地图:H201	X:62	Y:32 
[2024/8/18 4:1:8] 物品:轻型盔甲(女)	怪物:15AF8670僵尸50	地图:H201	X:62	Y:32 
[2024/8/18 4:1:8] 物品:青铜斧	怪物:15AF8670僵尸50	地图:H201	X:62	Y:32 
[2024/8/18 4:1:8] 物品:黑檀项链	怪物:15AF8670僵尸50	地图:H201	X:62	Y:32 
[2024/8/18 4:1:8] 物品:黄色水晶项链	怪物:15AF8670僵尸50	地图:H201	X:62	Y:32 
[2024/8/18 4:1:8] 物品:黑色水晶项链	怪物:15AF8670僵尸50	地图:H201	X:62	Y:32 
[2024/8/18 4:1:8] 物品:青铜头盔	怪物:15AF8670僵尸50	地图:H201	X:62	Y:32 
[2024/8/18 4:1:8] 物品:金创药(小量)	怪物:15AF8670僵尸50	地图:H201	X:62	Y:32 
[2024/8/18 4:1:8] 物品:金创药(小量)	怪物:15AF8670僵尸50	地图:H201	X:62	Y:32 
[2024/8/18 4:1:8] 物品:金创药(小量)	怪物:15AF8670僵尸50	地图:H201	X:62	Y:32 
[2024/8/18 4:1:8] 物品:金创药(小量)	怪物:15AF8670僵尸50	地图:H201	X:62	Y:32 
[2024/8/18 4:1:8] 物品:魔法药(小量)	怪物:15AF8670僵尸50	地图:H201	X:62	Y:32 
[2024/8/18 4:1:8] 物品:魔法药(小量)	怪物:15AF8670僵尸50	地图:H201	X:62	Y:32 
[2024/8/18 4:1:8] 物品:魔法药(小量)	怪物:15AF8670僵尸50	地图:H201	X:62	Y:32 
[2024/8/18 4:1:8] 物品:魔法药(小量)	怪物:15AF8670僵尸50	地图:H201	X:62	Y:32 
[2024/8/18 4:1:11] 物品:治愈术	怪物:19301A20僵尸10	地图:H201	X:62	Y:32 
[2024/8/18 4:1:11] 物品:黄色水晶项链	怪物:19301A20僵尸10	地图:H201	X:62	Y:32 
[2024/8/18 4:1:21] 物品:魔法长袍(女)	怪物:2A470970牛魔侍卫8	地图:H010	X:186	Y:157 
[2024/8/18 4:1:21] 物品:白色虎齿项链	怪物:2A470970牛魔侍卫8	地图:H010	X:186	Y:157 
[2024/8/18 4:1:28] 物品:强效太阳水	怪物:30137F00牛魔祭司8	地图:H010	X:185	Y:158 
[2024/8/18 4:1:28] 物品:强效太阳水	怪物:30137F00牛魔祭司8	地图:H010	X:185	Y:158 
[2024/8/18 4:1:28] 物品:金创药(小量)	怪物:0D968450僵尸4	地图:H201	X:118	Y:190 
[2024/8/18 4:1:30] 物品:白色虎齿项链	怪物:2A699CF0牛魔法师8	地图:H010	X:186	Y:156 
[2024/8/18 4:1:30] 物品:强效太阳水	怪物:2D592190尸王	地图:H201	X:78	Y:27 
[2024/8/18 4:1:30] 物品:强效太阳水	怪物:2D592190尸王	地图:H201	X:78	Y:27 
[2024/8/18 4:1:30] 物品:强效太阳水	怪物:2D592190尸王	地图:H201	X:78	Y:27 
[2024/8/18 4:1:30] 物品:强效太阳水	怪物:2D592190尸王	地图:H201	X:78	Y:27 
[2024/8/18 4:1:30] 物品:强效太阳水	怪物:2D592190尸王	地图:H201	X:78	Y:27 
[2024/8/18 4:1:30] 物品:太阳水	怪物:2D592190尸王	地图:H201	X:78	Y:27 
[2024/8/18 4:1:30] 物品:太阳水	怪物:2D592190尸王	地图:H201	X:78	Y:27 
[2024/8/18 4:1:30] 物品:太阳水	怪物:2D592190尸王	地图:H201	X:78	Y:27 
[2024/8/18 4:1:30] 物品:太阳水	怪物:2D592190尸王	地图:H201	X:78	Y:27 
[2024/8/18 4:1:30] 物品:太阳水	怪物:2D592190尸王	地图:H201	X:78	Y:27 
[2024/8/18 4:1:30] 物品:太阳水	怪物:2D592190尸王	地图:H201	X:78	Y:27 
[2024/8/18 4:1:30] 物品:太阳水	怪物:2D592190尸王	地图:H201	X:78	Y:27 
[2024/8/18 4:1:30] 物品:太阳水	怪物:2D592190尸王	地图:H201	X:78	Y:27 
[2024/8/18 4:1:30] 物品:太阳水	怪物:2D592190尸王	地图:H201	X:78	Y:27 
[2024/8/18 4:1:30] 物品:太阳水	怪物:2D592190尸王	地图:H201	X:78	Y:27 
[2024/8/18 4:1:30] 物品:金创药(中量)	怪物:2D592190尸王	地图:H201	X:78	Y:27 
[2024/8/18 4:1:30] 物品:金创药(中量)	怪物:2D592190尸王	地图:H201	X:78	Y:27 
[2024/8/18 4:1:30] 物品:金创药(中量)	怪物:2D592190尸王	地图:H201	X:78	Y:27 
[2024/8/18 4:1:30] 物品:强效金创药	怪物:2D592190尸王	地图:H201	X:78	Y:27 
[2024/8/18 4:1:30] 物品:强效金创药	怪物:2D592190尸王	地图:H201	X:78	Y:27 
[2024/8/18 4:1:30] 物品:魔法药(中量)	怪物:2D592190尸王	地图:H201	X:78	Y:27 
[2024/8/18 4:1:30] 物品:魔法药(中量)	怪物:2D592190尸王	地图:H201	X:78	Y:27 
[2024/8/18 4:1:30] 物品:魔法药(中量)	怪物:2D592190尸王	地图:H201	X:78	Y:27 
[2024/8/18 4:1:30] 物品:强效魔法药	怪物:2D592190尸王	地图:H201	X:78	Y:27 
[2024/8/18 4:1:30] 物品:强效魔法药	怪物:2D592190尸王	地图:H201	X:78	Y:27 
[2024/8/18 4:1:30] 物品:珊瑚戒指	怪物:2D592190尸王	地图:H201	X:78	Y:27 
[2024/8/18 4:1:30] 物品:蓝翡翠项链	怪物:2D592190尸王	地图:H201	X:78	Y:27 
[2024/8/18 4:1:30] 物品:蓝色水晶戒指	怪物:2D592190尸王	地图:H201	X:78	Y:27 
[2024/8/18 4:1:30] 物品:道士手镯	怪物:2D592190尸王	地图:H201	X:78	Y:27 
[2024/8/18 4:1:30] 物品:小手镯	怪物:2D592190尸王	地图:H201	X:78	Y:27 
[2024/8/18 4:1:30] 物品:刺杀剑术	怪物:2D592190尸王	地图:H201	X:78	Y:27 
[2024/8/18 4:1:30] 物品:大火球	怪物:2D592190尸王	地图:H201	X:78	Y:27 
[2024/8/18 4:1:30] 物品:瞬息移动	怪物:2D592190尸王	地图:H201	X:78	Y:27 
[2024/8/18 4:1:30] 物品:抗拒火环	怪物:2D592190尸王	地图:H201	X:78	Y:27 
[2024/8/18 4:1:30] 物品:精神力战法	怪物:2D592190尸王	地图:H201	X:78	Y:27 
[2024/8/18 4:1:30] 物品:治愈术	怪物:2D592190尸王	地图:H201	X:78	Y:27 
[2024/8/18 4:1:30] 物品:基本剑术	怪物:2D592190尸王	地图:H201	X:78	Y:27 
[2024/8/18 4:1:30] 物品:火球术	怪物:2D592190尸王	地图:H201	X:78	Y:27 
[2024/8/18 4:1:31] 物品:强效太阳水	怪物:29AF4680牛魔祭司8	地图:H010	X:186	Y:157 
[2024/8/18 4:1:31] 物品:强效魔法药	怪物:29AF4680牛魔祭司8	地图:H010	X:186	Y:157 
[2024/8/18 4:1:31] 物品:小手镯	怪物:29AF4680牛魔祭司8	地图:H010	X:186	Y:157 
[2024/8/18 4:1:31] 物品:黑色水晶戒指	怪物:29AF4680牛魔祭司8	地图:H010	X:186	Y:157 
[2024/8/18 4:1:31] 物品:蛇眼戒指	怪物:29AF4680牛魔祭司8	地图:H010	X:186	Y:157 
[2024/8/18 4:1:32] 物品:强效太阳水	怪物:190D3B70牛魔祭司0	地图:H010	X:187	Y:158 
[2024/8/18 4:1:32] 物品:强效太阳水	怪物:190D3B70牛魔祭司0	地图:H010	X:187	Y:158 
[2024/8/18 4:1:32] 物品:太阳水	怪物:190D3B70牛魔祭司0	地图:H010	X:187	Y:158 
[2024/8/18 4:1:32] 物品:太阳水	怪物:190D3B70牛魔祭司0	地图:H010	X:187	Y:158 
[2024/8/18 4:1:32] 物品:太阳水	怪物:190D3B70牛魔祭司0	地图:H010	X:187	Y:158 
[2024/8/18 4:1:32] 物品:生铁戒指	怪物:190D3B70牛魔祭司0	地图:H010	X:187	Y:158 
[2024/8/18 4:1:40] 物品:魔法长袍(男)	怪物:2B5249D0牛魔法师8	地图:H010	X:184	Y:162 
[2024/8/18 4:1:41] 物品:重盔甲(男)	怪物:0DBE3410牛魔侍卫8	地图:H010	X:182	Y:158 
[2024/8/18 4:1:42] 物品:金创药(小量)	怪物:28F0EDC0僵尸4	地图:H201	X:79	Y:24 
[2024/8/18 4:1:47] 物品:魅力戒指	怪物:0DA79370牛魔法师8	地图:H010	X:184	Y:162 
[2024/8/18 4:1:50] 物品:重盔甲(女)	怪物:28D50DB0牛魔侍卫8	地图:H010	X:183	Y:162 
[2024/8/18 4:2:3] 物品:强效太阳水	怪物:308469D0牛魔祭司8	地图:H010	X:178	Y:165 
[2024/8/18 4:2:3] 物品:皮制手套	怪物:1F0F26F0骷髅0	地图:D002	X:304	Y:169 
[2024/8/18 4:2:3] 物品:金创药(小量)	怪物:1F0F26F0骷髅0	地图:D002	X:304	Y:169 
[2024/8/18 4:2:3] 物品:金创药(小量)	怪物:1F0F26F0骷髅0	地图:D002	X:304	Y:169 
[2024/8/18 4:2:3] 物品:金创药(小量)	怪物:1F0F26F0骷髅0	地图:D002	X:304	Y:169 
[2024/8/18 4:2:3] 物品:金创药(小量)	怪物:1F0F26F0骷髅0	地图:D002	X:304	Y:169 
[2024/8/18 4:2:3] 物品:魔法药(小量)	怪物:1F0F26F0骷髅0	地图:D002	X:304	Y:169 
[2024/8/18 4:2:3] 物品:魔法药(小量)	怪物:1F0F26F0骷髅0	地图:D002	X:304	Y:169 
[2024/8/18 4:2:3] 物品:魔法药(小量)	怪物:1F0F26F0骷髅0	地图:D002	X:304	Y:169 
[2024/8/18 4:2:3] 物品:魔法药(小量)	怪物:1F0F26F0骷髅0	地图:D002	X:304	Y:169 
[2024/8/18 4:2:5] 物品:大火球	怪物:1C2C1B00僵尸1	地图:H201	X:100	Y:14 
[2024/8/18 4:2:6] 物品:魔法长袍(男)	怪物:2B3349B0牛魔法师8	地图:H010	X:178	Y:167 
[2024/8/18 4:2:6] 物品:道德戒指	怪物:2B3349B0牛魔法师8	地图:H010	X:178	Y:167 
[2024/8/18 4:2:6] 物品:黑檀手镯	怪物:2B3349B0牛魔法师8	地图:H010	X:178	Y:167 
[2024/8/18 4:2:7] 物品:金戒指	怪物:0D73A420牛魔法师8	地图:H010	X:177	Y:167 
[2024/8/18 4:2:10] 物品:金创药(小量)	怪物:27C99560僵尸4	地图:H201	X:102	Y:16 
[2024/8/18 4:2:10] 物品:强效太阳水	怪物:31A6CA10牛魔祭司0	地图:H010	X:179	Y:167 
[2024/8/18 4:2:10] 物品:强效太阳水	怪物:31A6CA10牛魔祭司0	地图:H010	X:179	Y:167 
[2024/8/18 4:2:10] 物品:太阳水	怪物:31A6CA10牛魔祭司0	地图:H010	X:179	Y:167 
[2024/8/18 4:2:10] 物品:太阳水	怪物:31A6CA10牛魔祭司0	地图:H010	X:179	Y:167 
[2024/8/18 4:2:10] 物品:太阳水	怪物:31A6CA10牛魔祭司0	地图:H010	X:179	Y:167 
[2024/8/18 4:2:10] 物品:恶魔长袍(男)	怪物:31A6CA10牛魔祭司0	地图:H010	X:179	Y:167 
[2024/8/18 4:2:11] 物品:灵魂战衣(男)	怪物:29673380牛魔法师8	地图:H010	X:177	Y:168 
[2024/8/18 4:2:11] 物品:降魔	怪物:29673380牛魔法师8	地图:H010	X:177	Y:168 
[2024/8/18 4:2:15] 物品:强效太阳水	怪物:2A3CBFB0牛魔祭司0	地图:H010	X:180	Y:167 
[2024/8/18 4:2:15] 物品:太阳水	怪物:2A3CBFB0牛魔祭司0	地图:H010	X:180	Y:167 
[2024/8/18 4:2:15] 物品:龙纹剑	怪物:2A3CBFB0牛魔祭司0	地图:H010	X:180	Y:167 
[2024/8/18 4:2:15] 物品:记忆头盔	怪物:2A3CBFB0牛魔祭司0	地图:H010	X:180	Y:167 
[2024/8/18 4:2:16] 物品:海魂	怪物:0D5D4D10掷斧骷髅	地图:D002	X:296	Y:171 
[2024/8/18 4:2:16] 物品:皮制手套	怪物:0D5D4D10掷斧骷髅	地图:D002	X:296	Y:171 
[2024/8/18 4:2:18] 物品:强效太阳水	怪物:03AE1A80尸王8	地图:H201	X:101	Y:13 
[2024/8/18 4:2:18] 物品:强效太阳水	怪物:03AE1A80尸王8	地图:H201	X:101	Y:13 
[2024/8/18 4:2:18] 物品:强效太阳水	怪物:03AE1A80尸王8	地图:H201	X:101	Y:13 
[2024/8/18 4:2:18] 物品:强效太阳水	怪物:03AE1A80尸王8	地图:H201	X:101	Y:13 
[2024/8/18 4:2:18] 物品:强效太阳水	怪物:03AE1A80尸王8	地图:H201	X:101	Y:13 
[2024/8/18 4:2:18] 物品:强效金创药	怪物:03AE1A80尸王8	地图:H201	X:101	Y:13 
[2024/8/18 4:2:18] 物品:强效金创药	怪物:03AE1A80尸王8	地图:H201	X:101	Y:13 
[2024/8/18 4:2:18] 物品:强效魔法药	怪物:03AE1A80尸王8	地图:H201	X:101	Y:13 
[2024/8/18 4:2:18] 物品:强效魔法药	怪物:03AE1A80尸王8	地图:H201	X:101	Y:13 
[2024/8/18 4:2:18] 物品:蓝翡翠项链	怪物:03AE1A80尸王8	地图:H201	X:101	Y:13 
[2024/8/18 4:2:18] 物品:黑檀手镯	怪物:03AE1A80尸王8	地图:H201	X:101	Y:13 
[2024/8/18 4:2:18] 物品:魔力手镯	怪物:03AE1A80尸王8	地图:H201	X:101	Y:13 
[2024/8/18 4:2:21] 物品:强效太阳水	怪物:2A07EC30牛魔祭司0	地图:H010	X:178	Y:166 
[2024/8/18 4:2:21] 物品:太阳水	怪物:2A07EC30牛魔祭司0	地图:H010	X:178	Y:166 
[2024/8/18 4:2:21] 物品:太阳水	怪物:2A07EC30牛魔祭司0	地图:H010	X:178	Y:166 
[2024/8/18 4:2:21] 物品:躲避手链	怪物:2A07EC30牛魔祭司0	地图:H010	X:178	Y:166 
[2024/8/18 4:2:21] 物品:记忆头盔	怪物:2A07EC30牛魔祭司0	地图:H010	X:178	Y:166 
[2024/8/18 4:2:21] 物品:道士头盔	怪物:2A07EC30牛魔祭司0	地图:H010	X:178	Y:166 
[2024/8/18 4:2:23] 物品:金创药(小量)	怪物:1DEC6230僵尸5	地图:H201	X:89	Y:169 
[2024/8/18 4:2:24] 物品:金创药(小量)	怪物:18C2D890僵尸4	地图:H201	X:103	Y:14 
[2024/8/18 4:2:28] 物品:黑檀手镯	怪物:223FB370牛魔侍卫8	地图:H010	X:174	Y:160 
[2024/8/18 4:2:31] 物品:魔法药(小量)	怪物:234F3380僵尸5	地图:H201	X:84	Y:169 
[2024/8/18 4:2:32] 物品:太阳水	怪物:1F0DF050黑野猪8	地图:H002	X:299	Y:37 
[2024/8/18 4:2:33] 物品:强效太阳水	怪物:31B357E0牛魔将军8	地图:H010	X:174	Y:159 
[2024/8/18 4:2:33] 物品:强效太阳水	怪物:31B357E0牛魔将军8	地图:H010	X:174	Y:159 
[2024/8/18 4:2:33] 物品:太阳水	怪物:31B357E0牛魔将军8	地图:H010	X:174	Y:159 
[2024/8/18 4:2:33] 物品:精神力药水	怪物:31B357E0牛魔将军8	地图:H010	X:174	Y:159 
[2024/8/18 4:2:33] 物品:放大镜	怪物:31B357E0牛魔将军8	地图:H010	X:174	Y:159 
[2024/8/18 4:2:34] 物品:金创药(小量)	怪物:1C10E750僵尸5	地图:H201	X:110	Y:12 
[2024/8/18 4:2:36] 物品:金创药(小量)	怪物:19D6C950僵尸5	地图:H201	X:111	Y:11 
[2024/8/18 4:2:36] 物品:魔法药(小量)	怪物:19D6C950僵尸5	地图:H201	X:111	Y:11 
[2024/8/18 4:2:36] 物品:强效太阳水	怪物:20C001C0牛魔将军0	地图:H010	X:173	Y:159 
[2024/8/18 4:2:36] 物品:强效太阳水	怪物:20C001C0牛魔将军0	地图:H010	X:173	Y:159 
[2024/8/18 4:2:36] 物品:强效太阳水	怪物:20C001C0牛魔将军0	地图:H010	X:173	Y:159 
[2024/8/18 4:2:36] 物品:太阳水	怪物:20C001C0牛魔将军0	地图:H010	X:173	Y:159 
[2024/8/18 4:2:36] 物品:太阳水	怪物:20C001C0牛魔将军0	地图:H010	X:173	Y:159 
[2024/8/18 4:2:36] 物品:太阳水	怪物:20C001C0牛魔将军0	地图:H010	X:173	Y:159 
[2024/8/18 4:2:38] 物品:魔法药(小量)	怪物:2DF2ADC0山洞蝙蝠	地图:D002	X:293	Y:160 
[2024/8/18 4:2:39] 物品:灵魂战衣(女)	怪物:2B3B17D0牛魔侍卫8	地图:H010	X:172	Y:159 
[2024/8/18 4:2:42] 物品:强效太阳水	怪物:2932EB70尸王8	地图:H201	X:111	Y:12 
[2024/8/18 4:2:42] 物品:强效太阳水	怪物:2932EB70尸王8	地图:H201	X:111	Y:12 
[2024/8/18 4:2:42] 物品:强效太阳水	怪物:2932EB70尸王8	地图:H201	X:111	Y:12 
[2024/8/18 4:2:42] 物品:强效太阳水	怪物:2932EB70尸王8	地图:H201	X:111	Y:12 
[2024/8/18 4:2:42] 物品:强效太阳水	怪物:2932EB70尸王8	地图:H201	X:111	Y:12 
[2024/8/18 4:2:42] 物品:强效金创药	怪物:2932EB70尸王8	地图:H201	X:111	Y:12 
[2024/8/18 4:2:42] 物品:强效金创药	怪物:2932EB70尸王8	地图:H201	X:111	Y:12 
[2024/8/18 4:2:42] 物品:强效魔法药	怪物:2932EB70尸王8	地图:H201	X:111	Y:12 
[2024/8/18 4:2:42] 物品:强效魔法药	怪物:2932EB70尸王8	地图:H201	X:111	Y:12 
[2024/8/18 4:2:42] 物品:黑色水晶戒指	怪物:2932EB70尸王8	地图:H201	X:111	Y:12 
[2024/8/18 4:2:42] 物品:道德戒指	怪物:2932EB70尸王8	地图:H201	X:111	Y:12 
[2024/8/18 4:2:42] 物品:蓝翡翠项链	怪物:2932EB70尸王8	地图:H201	X:111	Y:12 
[2024/8/18 4:2:42] 物品:黑檀手镯	怪物:2932EB70尸王8	地图:H201	X:111	Y:12 
[2024/8/18 4:2:42] 物品:魔力手镯	怪物:2932EB70尸王8	地图:H201	X:111	Y:12 
[2024/8/18 4:2:43] 物品:强效太阳水	怪物:186032E0牛魔将军0	地图:H010	X:173	Y:159 
[2024/8/18 4:2:43] 物品:太阳水	怪物:186032E0牛魔将军0	地图:H010	X:173	Y:159 
[2024/8/18 4:2:43] 物品:太阳水	怪物:186032E0牛魔将军0	地图:H010	X:173	Y:159 
[2024/8/18 4:2:43] 物品:心灵手镯	怪物:186032E0牛魔将军0	地图:H010	X:173	Y:159 
[2024/8/18 4:2:47] 物品:金创药(小量)	怪物:2DFA6FD0僵尸4	地图:H201	X:111	Y:11 
[2024/8/18 4:2:47] 物品:魔法药(小量)	怪物:2DFA6FD0僵尸4	地图:H201	X:111	Y:11 
[2024/8/18 4:2:49] 物品:金创药(小量)	怪物:0D6544D0僵尸5	地图:H201	X:76	Y:165 
[2024/8/18 4:2:49] 物品:强效太阳水	怪物:19155A80尸王8	地图:H201	X:111	Y:10 
[2024/8/18 4:2:49] 物品:强效太阳水	怪物:19155A80尸王8	地图:H201	X:111	Y:10 
[2024/8/18 4:2:49] 物品:强效太阳水	怪物:19155A80尸王8	地图:H201	X:111	Y:10 
[2024/8/18 4:2:49] 物品:强效太阳水	怪物:19155A80尸王8	地图:H201	X:111	Y:10 
[2024/8/18 4:2:49] 物品:强效太阳水	怪物:19155A80尸王8	地图:H201	X:111	Y:10 
[2024/8/18 4:2:49] 物品:强效金创药	怪物:19155A80尸王8	地图:H201	X:111	Y:10 
[2024/8/18 4:2:49] 物品:强效金创药	怪物:19155A80尸王8	地图:H201	X:111	Y:10 
[2024/8/18 4:2:49] 物品:强效魔法药	怪物:19155A80尸王8	地图:H201	X:111	Y:10 
[2024/8/18 4:2:49] 物品:强效魔法药	怪物:19155A80尸王8	地图:H201	X:111	Y:10 
