[2024/8/19 20:0:0] 物品:金创药(小量)	怪物:28BC2210僵尸5	地图:H201	X:109	Y:137 
[2024/8/19 20:0:21] 物品:强效金创药	怪物:1C986670祖玛卫士8	地图:H204	X:50	Y:89 
[2024/8/19 20:0:21] 物品:死神手套	怪物:1C986670祖玛卫士8	地图:H204	X:50	Y:89 
[2024/8/19 20:0:23] 物品:金创药(小量)	怪物:1DFD6C30僵尸5	地图:H201	X:46	Y:146 
[2024/8/19 20:0:23] 物品:太阳水	怪物:1F13D390沃玛战将	地图:D024	X:18	Y:20 
[2024/8/19 20:0:26] 物品:基本剑术	怪物:2A391D50僵尸1	地图:H201	X:116	Y:155 
[2024/8/19 20:0:28] 物品:火球术	怪物:309523A0僵尸1	地图:H201	X:115	Y:157 
[2024/8/19 20:0:32] 物品:金创药(中量)	怪物:1A15E300祖玛雕像8	地图:H204	X:42	Y:88 
[2024/8/19 20:0:37] 物品:金创药(小量)	怪物:2819FA50僵尸4	地图:H201	X:124	Y:162 
[2024/8/19 20:0:38] 物品:强效太阳水	怪物:18657AD0尸王8	地图:H201	X:54	Y:145 
[2024/8/19 20:0:38] 物品:强效太阳水	怪物:18657AD0尸王8	地图:H201	X:54	Y:145 
[2024/8/19 20:0:38] 物品:强效太阳水	怪物:18657AD0尸王8	地图:H201	X:54	Y:145 
[2024/8/19 20:0:38] 物品:强效太阳水	怪物:18657AD0尸王8	地图:H201	X:54	Y:145 
[2024/8/19 20:0:38] 物品:强效太阳水	怪物:18657AD0尸王8	地图:H201	X:54	Y:145 
[2024/8/19 20:0:38] 物品:强效金创药	怪物:18657AD0尸王8	地图:H201	X:54	Y:145 
[2024/8/19 20:0:38] 物品:强效金创药	怪物:18657AD0尸王8	地图:H201	X:54	Y:145 
[2024/8/19 20:0:38] 物品:强效魔法药	怪物:18657AD0尸王8	地图:H201	X:54	Y:145 
[2024/8/19 20:0:38] 物品:强效魔法药	怪物:18657AD0尸王8	地图:H201	X:54	Y:145 
[2024/8/19 20:0:38] 物品:骷髅戒指	怪物:18657AD0尸王8	地图:H201	X:54	Y:145 
[2024/8/19 20:0:38] 物品:黑色水晶戒指	怪物:18657AD0尸王8	地图:H201	X:54	Y:145 
[2024/8/19 20:0:38] 物品:生铁戒指	怪物:18657AD0尸王8	地图:H201	X:54	Y:145 
[2024/8/19 20:0:38] 物品:死神手套	怪物:18657AD0尸王8	地图:H201	X:54	Y:145 
[2024/8/19 20:0:38] 物品:凝霜	怪物:18657AD0尸王8	地图:H201	X:54	Y:145 
[2024/8/19 20:0:38] 物品:黑檀手镯	怪物:18657AD0尸王8	地图:H201	X:54	Y:145 
[2024/8/19 20:0:42] 物品:重盔甲(女)	怪物:286BE6B0祖玛弓箭手8	地图:H204	X:39	Y:38 
[2024/8/19 20:0:45] 物品:金创药(小量)	怪物:2DF1CFE0僵尸4	地图:H201	X:115	Y:163 
[2024/8/19 20:0:49] 物品:强效太阳水	怪物:24590A80尸王8	地图:H201	X:55	Y:144 
[2024/8/19 20:0:49] 物品:强效太阳水	怪物:24590A80尸王8	地图:H201	X:55	Y:144 
[2024/8/19 20:0:49] 物品:强效太阳水	怪物:24590A80尸王8	地图:H201	X:55	Y:144 
[2024/8/19 20:0:49] 物品:强效太阳水	怪物:24590A80尸王8	地图:H201	X:55	Y:144 
[2024/8/19 20:0:49] 物品:强效太阳水	怪物:24590A80尸王8	地图:H201	X:55	Y:144 
[2024/8/19 20:0:49] 物品:强效金创药	怪物:24590A80尸王8	地图:H201	X:55	Y:144 
[2024/8/19 20:0:49] 物品:强效金创药	怪物:24590A80尸王8	地图:H201	X:55	Y:144 
[2024/8/19 20:0:49] 物品:强效魔法药	怪物:24590A80尸王8	地图:H201	X:55	Y:144 
[2024/8/19 20:0:49] 物品:强效魔法药	怪物:24590A80尸王8	地图:H201	X:55	Y:144 
[2024/8/19 20:0:49] 物品:黑色水晶戒指	怪物:24590A80尸王8	地图:H201	X:55	Y:144 
[2024/8/19 20:0:49] 物品:蛇眼戒指	怪物:24590A80尸王8	地图:H201	X:55	Y:144 
[2024/8/19 20:0:49] 物品:生铁戒指	怪物:24590A80尸王8	地图:H201	X:55	Y:144 
[2024/8/19 20:0:49] 物品:凝霜	怪物:24590A80尸王8	地图:H201	X:55	Y:144 
[2024/8/19 20:0:49] 物品:黑檀手镯	怪物:24590A80尸王8	地图:H201	X:55	Y:144 
[2024/8/19 20:0:51] 物品:金创药(小量)	怪物:29F6DD10僵尸4	地图:H201	X:53	Y:143 
[2024/8/19 20:0:52] 物品:金创药(小量)	怪物:20C8A980僵尸5	地图:H201	X:110	Y:159 
[2024/8/19 20:0:52] 物品:太阳水	怪物:20C8A980僵尸5	地图:H201	X:110	Y:159 
[2024/8/19 20:0:57] 物品:金创药(中量)	怪物:2DDDE610僵尸1	地图:H201	X:55	Y:144 
[2024/8/19 20:0:58] 物品:太阳水	怪物:285855A0黑野猪8	地图:H002	X:267	Y:137 
[2024/8/19 20:0:59] 物品:太阳水	怪物:1B7F1120暗黑战士0	地图:D024	X:28	Y:32 
[2024/8/19 20:0:59] 物品:太阳水	怪物:1B7F1120暗黑战士0	地图:D024	X:28	Y:32 
[2024/8/19 20:0:59] 物品:太阳水	怪物:1B7F1120暗黑战士0	地图:D024	X:28	Y:32 
[2024/8/19 20:0:59] 物品:太阳水	怪物:1B7F1120暗黑战士0	地图:D024	X:28	Y:32 
[2024/8/19 20:0:59] 物品:金创药(中量)	怪物:1B7F1120暗黑战士0	地图:D024	X:28	Y:32 
[2024/8/19 20:0:59] 物品:金创药(中量)	怪物:1B7F1120暗黑战士0	地图:D024	X:28	Y:32 
[2024/8/19 20:0:59] 物品:金创药(中量)	怪物:1B7F1120暗黑战士0	地图:D024	X:28	Y:32 
[2024/8/19 20:0:59] 物品:金创药(中量)	怪物:1B7F1120暗黑战士0	地图:D024	X:28	Y:32 
[2024/8/19 20:0:59] 物品:魔法药(中量)	怪物:1B7F1120暗黑战士0	地图:D024	X:28	Y:32 
[2024/8/19 20:0:59] 物品:魔法药(中量)	怪物:1B7F1120暗黑战士0	地图:D024	X:28	Y:32 
[2024/8/19 20:0:59] 物品:魔法药(中量)	怪物:1B7F1120暗黑战士0	地图:D024	X:28	Y:32 
[2024/8/19 20:0:59] 物品:魔法药(中量)	怪物:1B7F1120暗黑战士0	地图:D024	X:28	Y:32 
[2024/8/19 20:0:59] 物品:八荒	怪物:1B7F1120暗黑战士0	地图:D024	X:28	Y:32 
[2024/8/19 20:0:59] 物品:半月	怪物:1B7F1120暗黑战士0	地图:D024	X:28	Y:32 
[2024/8/19 20:0:59] 物品:海魂	怪物:1B7F1120暗黑战士0	地图:D024	X:28	Y:32 
[2024/8/19 20:0:59] 物品:凌风	怪物:1B7F1120暗黑战士0	地图:D024	X:28	Y:32 
[2024/8/19 20:0:59] 物品:蓝色水晶戒指	怪物:1B7F1120暗黑战士0	地图:D024	X:28	Y:32 
[2024/8/19 20:0:59] 物品:魔鬼项链	怪物:1B7F1120暗黑战士0	地图:D024	X:28	Y:32 
[2024/8/19 20:0:59] 物品:魔力手镯	怪物:1B7F1120暗黑战士0	地图:D024	X:28	Y:32 
[2024/8/19 20:0:59] 物品:灯笼项链	怪物:1B7F1120暗黑战士0	地图:D024	X:28	Y:32 
[2024/8/19 20:0:59] 物品:铁剑	怪物:1B7F1120暗黑战士0	地图:D024	X:28	Y:32 
[2024/8/19 20:0:59] 物品:轻型盔甲(女)	怪物:1B7F1120暗黑战士0	地图:D024	X:28	Y:32 
[2024/8/19 20:0:59] 物品:黄色水晶项链	怪物:1B7F1120暗黑战士0	地图:D024	X:28	Y:32 
[2024/8/19 20:0:59] 物品:黑色水晶项链	怪物:1B7F1120暗黑战士0	地图:D024	X:28	Y:32 
[2024/8/19 20:0:59] 物品:强效太阳水	怪物:0DE1B320尸王8	地图:H201	X:55	Y:143 
[2024/8/19 20:0:59] 物品:强效太阳水	怪物:0DE1B320尸王8	地图:H201	X:55	Y:143 
[2024/8/19 20:0:59] 物品:强效太阳水	怪物:0DE1B320尸王8	地图:H201	X:55	Y:143 
[2024/8/19 20:0:59] 物品:强效太阳水	怪物:0DE1B320尸王8	地图:H201	X:55	Y:143 
[2024/8/19 20:0:59] 物品:强效太阳水	怪物:0DE1B320尸王8	地图:H201	X:55	Y:143 
[2024/8/19 20:0:59] 物品:强效金创药	怪物:0DE1B320尸王8	地图:H201	X:55	Y:143 
[2024/8/19 20:0:59] 物品:强效金创药	怪物:0DE1B320尸王8	地图:H201	X:55	Y:143 
[2024/8/19 20:0:59] 物品:强效魔法药	怪物:0DE1B320尸王8	地图:H201	X:55	Y:143 
[2024/8/19 20:0:59] 物品:强效魔法药	怪物:0DE1B320尸王8	地图:H201	X:55	Y:143 
[2024/8/19 20:0:59] 物品:生铁戒指	怪物:0DE1B320尸王8	地图:H201	X:55	Y:143 
[2024/8/19 20:0:59] 物品:魅力戒指	怪物:0DE1B320尸王8	地图:H201	X:55	Y:143 
[2024/8/19 20:0:59] 物品:蓝翡翠项链	怪物:0DE1B320尸王8	地图:H201	X:55	Y:143 
[2024/8/19 20:0:59] 物品:召唤神兽	怪物:0DE1B320尸王8	地图:H201	X:55	Y:143 
[2024/8/19 20:1:6] 物品:魔法药(中量)	怪物:1843F5D0沃玛战将	地图:D024	X:31	Y:30 
[2024/8/19 20:1:7] 物品:黑色水晶戒指	怪物:05911710祖玛弓箭手8	地图:H204	X:26	Y:22 
[2024/8/19 20:1:7] 物品:珍珠戒指	怪物:05911710祖玛弓箭手8	地图:H204	X:26	Y:22 
[2024/8/19 20:1:13] 物品:魔法药(小量)	怪物:2A32F780暗黑战士	地图:D024	X:31	Y:36 
[2024/8/19 20:1:15] 物品:神圣战甲术	怪物:1F18AD40僵尸1	地图:H201	X:101	Y:171 
[2024/8/19 20:1:19] 物品:金创药(小量)	怪物:18DB9B60稻草人	地图:0	X:233	Y:655 
[2024/8/19 20:1:24] 物品:召唤骷髅	怪物:27E42A20僵尸1	地图:H201	X:106	Y:175 
[2024/8/19 20:1:26] 物品:强效太阳水	怪物:05DACE30尸王8	地图:H201	X:60	Y:150 
[2024/8/19 20:1:26] 物品:强效太阳水	怪物:05DACE30尸王8	地图:H201	X:60	Y:150 
[2024/8/19 20:1:26] 物品:强效太阳水	怪物:05DACE30尸王8	地图:H201	X:60	Y:150 
[2024/8/19 20:1:26] 物品:强效太阳水	怪物:05DACE30尸王8	地图:H201	X:60	Y:150 
[2024/8/19 20:1:26] 物品:强效太阳水	怪物:05DACE30尸王8	地图:H201	X:60	Y:150 
[2024/8/19 20:1:26] 物品:强效金创药	怪物:05DACE30尸王8	地图:H201	X:60	Y:150 
[2024/8/19 20:1:26] 物品:强效金创药	怪物:05DACE30尸王8	地图:H201	X:60	Y:150 
[2024/8/19 20:1:26] 物品:强效魔法药	怪物:05DACE30尸王8	地图:H201	X:60	Y:150 
[2024/8/19 20:1:26] 物品:强效魔法药	怪物:05DACE30尸王8	地图:H201	X:60	Y:150 
[2024/8/19 20:1:26] 物品:珍珠戒指	怪物:05DACE30尸王8	地图:H201	X:60	Y:150 
[2024/8/19 20:1:26] 物品:魅力戒指	怪物:05DACE30尸王8	地图:H201	X:60	Y:150 
[2024/8/19 20:1:26] 物品:黑檀手镯	怪物:05DACE30尸王8	地图:H201	X:60	Y:150 
[2024/8/19 20:1:30] 物品:金创药(中量)	怪物:195186E0恶灵尸王	地图:H201	X:60	Y:152 
[2024/8/19 20:1:30] 物品:幽灵盾	怪物:195186E0恶灵尸王	地图:H201	X:60	Y:152 
[2024/8/19 20:1:30] 物品:雷电术	怪物:195186E0恶灵尸王	地图:H201	X:60	Y:152 
[2024/8/19 20:1:30] 物品:大火球	怪物:195186E0恶灵尸王	地图:H201	X:60	Y:152 
[2024/8/19 20:1:31] 物品:召唤骷髅	怪物:0398C970僵尸4	地图:H201	X:110	Y:179 
[2024/8/19 20:1:35] 物品:爆裂火焰	怪物:237DCB00恶灵尸王	地图:H201	X:61	Y:152 
[2024/8/19 20:1:35] 物品:雷电术	怪物:237DCB00恶灵尸王	地图:H201	X:61	Y:152 
[2024/8/19 20:1:35] 物品:诱惑之光	怪物:237DCB00恶灵尸王	地图:H201	X:61	Y:152 
[2024/8/19 20:1:35] 物品:地狱火	怪物:237DCB00恶灵尸王	地图:H201	X:61	Y:152 
[2024/8/19 20:1:37] 物品:魔法药(中量)	怪物:290D1290沃玛勇士	地图:D024	X:40	Y:39 
[2024/8/19 20:1:40] 物品:魔法药(小量)	怪物:191B9680僵尸4	地图:H201	X:115	Y:185 
[2024/8/19 20:1:42] 物品:金创药(小量)	怪物:1EDAD2D0僵尸5	地图:H201	X:117	Y:185 
[2024/8/19 20:1:47] 物品:魔法药(小量)	怪物:29571910僵尸4	地图:H201	X:62	Y:160 
[2024/8/19 20:1:49] 物品:金创药(小量)	怪物:190F3840僵尸4	地图:H201	X:118	Y:190 
[2024/8/19 20:1:53] 物品:金戒指	怪物:0DDB0830黑野猪8	地图:H002	X:251	Y:124 
[2024/8/19 20:2:0] 物品:魔法药(小量)	怪物:226A3C40僵尸5	地图:H201	X:109	Y:184 
[2024/8/19 20:2:0] 物品:召唤骷髅	怪物:1AFEFA90恶灵尸王	地图:H201	X:56	Y:161 
[2024/8/19 20:2:5] 物品:太阳水	怪物:31A56710黑野猪8	地图:H002	X:340	Y:142 
[2024/8/19 20:2:7] 物品:施毒术	怪物:1EF22230僵尸5	地图:H201	X:58	Y:161 
[2024/8/19 20:2:8] 物品:半月	怪物:2F060740沃玛勇士0	地图:D024	X:58	Y:41 
[2024/8/19 20:2:8] 物品:蓝色水晶戒指	怪物:2F060740沃玛勇士0	地图:D024	X:58	Y:41 
[2024/8/19 20:2:8] 物品:坚固手套	怪物:2F060740沃玛勇士0	地图:D024	X:58	Y:41 
[2024/8/19 20:2:8] 物品:轻型盔甲(男)	怪物:2F060740沃玛勇士0	地图:D024	X:58	Y:41 
[2024/8/19 20:2:8] 物品:黑檀项链	怪物:2F060740沃玛勇士0	地图:D024	X:58	Y:41 
[2024/8/19 20:2:8] 物品:黑色水晶项链	怪物:2F060740沃玛勇士0	地图:D024	X:58	Y:41 
[2024/8/19 20:2:8] 物品:青铜头盔	怪物:2F060740沃玛勇士0	地图:D024	X:58	Y:41 
[2024/8/19 20:2:8] 物品:太阳水	怪物:2F060740沃玛勇士0	地图:D024	X:58	Y:41 
[2024/8/19 20:2:8] 物品:太阳水	怪物:2F060740沃玛勇士0	地图:D024	X:58	Y:41 
[2024/8/19 20:2:8] 物品:太阳水	怪物:2F060740沃玛勇士0	地图:D024	X:58	Y:41 
[2024/8/19 20:2:8] 物品:太阳水	怪物:2F060740沃玛勇士0	地图:D024	X:58	Y:41 
[2024/8/19 20:2:8] 物品:金创药(中量)	怪物:2F060740沃玛勇士0	地图:D024	X:58	Y:41 
[2024/8/19 20:2:8] 物品:金创药(中量)	怪物:2F060740沃玛勇士0	地图:D024	X:58	Y:41 
[2024/8/19 20:2:8] 物品:金创药(中量)	怪物:2F060740沃玛勇士0	地图:D024	X:58	Y:41 
[2024/8/19 20:2:8] 物品:金创药(中量)	怪物:2F060740沃玛勇士0	地图:D024	X:58	Y:41 
[2024/8/19 20:2:8] 物品:魔法药(中量)	怪物:2F060740沃玛勇士0	地图:D024	X:58	Y:41 
[2024/8/19 20:2:8] 物品:魔法药(中量)	怪物:2F060740沃玛勇士0	地图:D024	X:58	Y:41 
[2024/8/19 20:2:8] 物品:魔法药(中量)	怪物:2F060740沃玛勇士0	地图:D024	X:58	Y:41 
[2024/8/19 20:2:8] 物品:魔法药(中量)	怪物:2F060740沃玛勇士0	地图:D024	X:58	Y:41 
[2024/8/19 20:2:8] 物品:魔法药(小量)	怪物:31E7DDF0僵尸4	地图:H201	X:57	Y:162 
[2024/8/19 20:2:10] 物品:魔法药(中量)	怪物:27A04450沃玛战将	地图:D024	X:61	Y:42 
[2024/8/19 20:2:14] 物品:金创药(小量)	怪物:2B5BFBD0僵尸4	地图:H201	X:111	Y:186 
[2024/8/19 20:2:15] 物品:重盔甲(男)	怪物:294D3670沃玛战将0	地图:D024	X:59	Y:41 
[2024/8/19 20:2:19] 物品:太阳水	怪物:206D3610黑色恶蛆8	地图:H004	X:179	Y:120 
[2024/8/19 20:2:28] 物品:太阳水	怪物:0DC90680沃玛勇士	地图:D024	X:58	Y:42 
[2024/8/19 20:2:33] 物品:魔法药(小量)	怪物:282F8DF0僵尸5	地图:H201	X:74	Y:175 
[2024/8/19 20:2:38] 物品:小手镯	怪物:28007150沃玛战将	地图:D024	X:58	Y:41 
[2024/8/19 20:2:51] 物品:金创药(小量)	怪物:282F8DF0僵尸5	地图:H201	X:73	Y:175 
[2024/8/19 20:2:51] 物品:爆裂火焰	怪物:282F8DF0僵尸5	地图:H201	X:73	Y:175 
[2024/8/19 20:2:58] 物品:强效太阳水	怪物:2373BC00沃玛卫士	地图:D024	X:58	Y:40 
[2024/8/19 20:2:58] 物品:强效太阳水	怪物:2373BC00沃玛卫士	地图:D024	X:58	Y:40 
[2024/8/19 20:2:58] 物品:强效太阳水	怪物:2373BC00沃玛卫士	地图:D024	X:58	Y:40 
[2024/8/19 20:2:58] 物品:强效太阳水	怪物:2373BC00沃玛卫士	地图:D024	X:58	Y:40 
[2024/8/19 20:2:58] 物品:强效太阳水	怪物:2373BC00沃玛卫士	地图:D024	X:58	Y:40 
[2024/8/19 20:2:58] 物品:太阳水	怪物:2373BC00沃玛卫士	地图:D024	X:58	Y:40 
[2024/8/19 20:2:58] 物品:太阳水	怪物:2373BC00沃玛卫士	地图:D024	X:58	Y:40 
[2024/8/19 20:2:58] 物品:太阳水	怪物:2373BC00沃玛卫士	地图:D024	X:58	Y:40 
[2024/8/19 20:2:58] 物品:太阳水	怪物:2373BC00沃玛卫士	地图:D024	X:58	Y:40 
[2024/8/19 20:2:58] 物品:太阳水	怪物:2373BC00沃玛卫士	地图:D024	X:58	Y:40 
[2024/8/19 20:2:58] 物品:太阳水	怪物:2373BC00沃玛卫士	地图:D024	X:58	Y:40 
[2024/8/19 20:2:58] 物品:太阳水	怪物:2373BC00沃玛卫士	地图:D024	X:58	Y:40 
[2024/8/19 20:2:58] 物品:太阳水	怪物:2373BC00沃玛卫士	地图:D024	X:58	Y:40 
[2024/8/19 20:2:58] 物品:太阳水	怪物:2373BC00沃玛卫士	地图:D024	X:58	Y:40 
[2024/8/19 20:2:58] 物品:太阳水	怪物:2373BC00沃玛卫士	地图:D024	X:58	Y:40 
[2024/8/19 20:2:58] 物品:金创药(中量)	怪物:2373BC00沃玛卫士	地图:D024	X:58	Y:40 
[2024/8/19 20:2:58] 物品:金创药(中量)	怪物:2373BC00沃玛卫士	地图:D024	X:58	Y:40 
[2024/8/19 20:2:58] 物品:强效金创药	怪物:2373BC00沃玛卫士	地图:D024	X:58	Y:40 
[2024/8/19 20:2:58] 物品:强效金创药	怪物:2373BC00沃玛卫士	地图:D024	X:58	Y:40 
[2024/8/19 20:2:58] 物品:强效金创药	怪物:2373BC00沃玛卫士	地图:D024	X:58	Y:40 
[2024/8/19 20:2:58] 物品:魔法药(中量)	怪物:2373BC00沃玛卫士	地图:D024	X:58	Y:40 
[2024/8/19 20:2:58] 物品:魔法药(中量)	怪物:2373BC00沃玛卫士	地图:D024	X:58	Y:40 
[2024/8/19 20:2:58] 物品:强效魔法药	怪物:2373BC00沃玛卫士	地图:D024	X:58	Y:40 
[2024/8/19 20:2:58] 物品:强效魔法药	怪物:2373BC00沃玛卫士	地图:D024	X:58	Y:40 
[2024/8/19 20:2:58] 物品:强效魔法药	怪物:2373BC00沃玛卫士	地图:D024	X:58	Y:40 
[2024/8/19 20:2:58] 物品:幽灵盾	怪物:2373BC00沃玛卫士	地图:D024	X:58	Y:40 
[2024/8/19 20:2:58] 物品:神圣战甲术	怪物:2373BC00沃玛卫士	地图:D024	X:58	Y:40 
[2024/8/19 20:3:4] 物品:金创药(小量)	怪物:28EBFE90僵尸4	地图:H201	X:46	Y:166 
[2024/8/19 20:3:5] 物品:金创药(小量)	怪物:1EDD8120稻草人	地图:0	X:192	Y:625 
[2024/8/19 20:3:10] 物品:金创药(小量)	怪物:2DB34DF0僵尸5	地图:H201	X:48	Y:158 
[2024/8/19 20:3:21] 物品:太阳水	怪物:2EFB18B0火焰沃玛0	地图:D024	X:72	Y:44 
[2024/8/19 20:3:21] 物品:魔法药(中量)	怪物:2EFB18B0火焰沃玛0	地图:D024	X:72	Y:44 
[2024/8/19 20:3:21] 物品:魔法长袍(女)	怪物:2EFB18B0火焰沃玛0	地图:D024	X:72	Y:44 
[2024/8/19 20:3:23] 物品:魔法力药水	怪物:194992B0僵尸4	地图:H201	X:37	Y:170 
[2024/8/19 20:3:30] 物品:强效太阳水	怪物:2A6253F0尸王8	地图:H201	X:42	Y:164 
[2024/8/19 20:3:30] 物品:强效太阳水	怪物:2A6253F0尸王8	地图:H201	X:42	Y:164 
[2024/8/19 20:3:30] 物品:强效太阳水	怪物:2A6253F0尸王8	地图:H201	X:42	Y:164 
[2024/8/19 20:3:30] 物品:强效太阳水	怪物:2A6253F0尸王8	地图:H201	X:42	Y:164 
[2024/8/19 20:3:30] 物品:强效太阳水	怪物:2A6253F0尸王8	地图:H201	X:42	Y:164 
[2024/8/19 20:3:30] 物品:强效金创药	怪物:2A6253F0尸王8	地图:H201	X:42	Y:164 
[2024/8/19 20:3:30] 物品:强效金创药	怪物:2A6253F0尸王8	地图:H201	X:42	Y:164 
[2024/8/19 20:3:30] 物品:强效魔法药	怪物:2A6253F0尸王8	地图:H201	X:42	Y:164 
[2024/8/19 20:3:30] 物品:强效魔法药	怪物:2A6253F0尸王8	地图:H201	X:42	Y:164 
[2024/8/19 20:3:31] 物品:魔法药(中量)	怪物:23638C40火焰沃玛	地图:D024	X:72	Y:45 
[2024/8/19 20:3:32] 物品:强效太阳水	怪物:2F480060尸王8	地图:H201	X:39	Y:166 
[2024/8/19 20:3:32] 物品:强效太阳水	怪物:2F480060尸王8	地图:H201	X:39	Y:166 
[2024/8/19 20:3:33] 物品:强效太阳水	怪物:2F480060尸王8	地图:H201	X:39	Y:166 
[2024/8/19 20:3:33] 物品:强效太阳水	怪物:2F480060尸王8	地图:H201	X:39	Y:166 
[2024/8/19 20:3:33] 物品:强效太阳水	怪物:2F480060尸王8	地图:H201	X:39	Y:166 
[2024/8/19 20:3:33] 物品:强效金创药	怪物:2F480060尸王8	地图:H201	X:39	Y:166 
[2024/8/19 20:3:33] 物品:强效金创药	怪物:2F480060尸王8	地图:H201	X:39	Y:166 
[2024/8/19 20:3:33] 物品:强效魔法药	怪物:2F480060尸王8	地图:H201	X:39	Y:166 
[2024/8/19 20:3:33] 物品:强效魔法药	怪物:2F480060尸王8	地图:H201	X:39	Y:166 
[2024/8/19 20:3:33] 物品:蛇眼戒指	怪物:2F480060尸王8	地图:H201	X:39	Y:166 
[2024/8/19 20:3:33] 物品:珍珠戒指	怪物:2F480060尸王8	地图:H201	X:39	Y:166 
[2024/8/19 20:3:33] 物品:死神手套	怪物:2F480060尸王8	地图:H201	X:39	Y:166 
[2024/8/19 20:3:33] 物品:凝霜	怪物:2F480060尸王8	地图:H201	X:39	Y:166 
[2024/8/19 20:3:33] 物品:野蛮冲撞	怪物:2F480060尸王8	地图:H201	X:39	Y:166 
[2024/8/19 20:3:40] 物品:金创药(小量)	怪物:282F8DF0僵尸5	地图:H201	X:73	Y:175 
[2024/8/19 20:3:43] 物品:金创药(中量)	怪物:2F1EEB60沃玛勇士	地图:D024	X:70	Y:48 
[2024/8/19 20:3:44] 物品:魔法药(小量)	怪物:061FC6E0僵尸5	地图:H201	X:71	Y:176 
[2024/8/19 20:3:44] 物品:太阳水	怪物:1A517590黑野猪8	地图:H002	X:295	Y:48 
[2024/8/19 20:3:48] 物品:金创药(小量)	怪物:1F20A380稻草人	地图:0	X:236	Y:618 
[2024/8/19 20:3:50] 物品:古铜戒指	怪物:17F5C7C0稻草人	地图:0	X:236	Y:621 
[2024/8/19 20:3:55] 物品:金创药(小量)	怪物:2DE32E00暗黑战士	地图:D024	X:70	Y:51 
[2024/8/19 20:3:57] 物品:太阳水	怪物:2D6EFB70黑野猪8	地图:H002	X:297	Y:45 
[2024/8/19 20:3:58] 物品:强效太阳水	怪物:03B89430尸王8	地图:H201	X:38	Y:130 
[2024/8/19 20:3:58] 物品:强效太阳水	怪物:03B89430尸王8	地图:H201	X:38	Y:130 
[2024/8/19 20:3:58] 物品:强效太阳水	怪物:03B89430尸王8	地图:H201	X:38	Y:130 
[2024/8/19 20:3:58] 物品:强效太阳水	怪物:03B89430尸王8	地图:H201	X:38	Y:130 
[2024/8/19 20:3:58] 物品:强效太阳水	怪物:03B89430尸王8	地图:H201	X:38	Y:130 
[2024/8/19 20:3:58] 物品:强效金创药	怪物:03B89430尸王8	地图:H201	X:38	Y:130 
[2024/8/19 20:3:58] 物品:强效金创药	怪物:03B89430尸王8	地图:H201	X:38	Y:130 
[2024/8/19 20:3:58] 物品:强效魔法药	怪物:03B89430尸王8	地图:H201	X:38	Y:130 
