[2024/8/22 18:0:5] 物品:太阳水	怪物:23A047C0黑色恶蛆8	地图:H004	X:80	Y:68 
[2024/8/22 18:3:41] 物品:强效太阳水	怪物:27688750虹魔蝎卫80	地图:H008	X:55	Y:66 
[2024/8/22 18:3:41] 物品:强效太阳水	怪物:27688750虹魔蝎卫80	地图:H008	X:55	Y:66 
[2024/8/22 18:3:41] 物品:强效太阳水	怪物:27688750虹魔蝎卫80	地图:H008	X:55	Y:66 
[2024/8/22 18:3:41] 物品:强效太阳水	怪物:27688750虹魔蝎卫80	地图:H008	X:55	Y:66 
[2024/8/22 18:3:41] 物品:炼狱	怪物:27688750虹魔蝎卫80	地图:H008	X:55	Y:66 
[2024/8/22 18:3:41] 物品:道士手镯	怪物:27688750虹魔蝎卫80	地图:H008	X:55	Y:66 
[2024/8/22 18:3:56] 物品:强效太阳水	怪物:154BB180触龙神8	地图:H004	X:66	Y:154 
[2024/8/22 18:3:56] 物品:强效太阳水	怪物:154BB180触龙神8	地图:H004	X:66	Y:154 
[2024/8/22 18:3:56] 物品:强效太阳水	怪物:154BB180触龙神8	地图:H004	X:66	Y:154 
[2024/8/22 18:3:56] 物品:强效太阳水	怪物:154BB180触龙神8	地图:H004	X:66	Y:154 
[2024/8/22 18:3:56] 物品:强效太阳水	怪物:154BB180触龙神8	地图:H004	X:66	Y:154 
[2024/8/22 18:3:56] 物品:强效太阳水	怪物:154BB180触龙神8	地图:H004	X:66	Y:154 
[2024/8/22 18:3:56] 物品:强效太阳水	怪物:154BB180触龙神8	地图:H004	X:66	Y:154 
[2024/8/22 18:3:56] 物品:强效太阳水	怪物:154BB180触龙神8	地图:H004	X:66	Y:154 
[2024/8/22 18:3:56] 物品:强效太阳水	怪物:154BB180触龙神8	地图:H004	X:66	Y:154 
[2024/8/22 18:3:56] 物品:强效太阳水	怪物:154BB180触龙神8	地图:H004	X:66	Y:154 
[2024/8/22 18:3:56] 物品:太阳水	怪物:154BB180触龙神8	地图:H004	X:66	Y:154 
[2024/8/22 18:3:56] 物品:太阳水	怪物:154BB180触龙神8	地图:H004	X:66	Y:154 
[2024/8/22 18:3:56] 物品:太阳水	怪物:154BB180触龙神8	地图:H004	X:66	Y:154 
[2024/8/22 18:3:56] 物品:太阳水	怪物:154BB180触龙神8	地图:H004	X:66	Y:154 
[2024/8/22 18:3:56] 物品:太阳水	怪物:154BB180触龙神8	地图:H004	X:66	Y:154 
[2024/8/22 18:3:56] 物品:太阳水	怪物:154BB180触龙神8	地图:H004	X:66	Y:154 
[2024/8/22 18:3:56] 物品:太阳水	怪物:154BB180触龙神8	地图:H004	X:66	Y:154 
[2024/8/22 18:3:56] 物品:太阳水	怪物:154BB180触龙神8	地图:H004	X:66	Y:154 
[2024/8/22 18:3:56] 物品:太阳水	怪物:154BB180触龙神8	地图:H004	X:66	Y:154 
[2024/8/22 18:3:56] 物品:太阳水	怪物:154BB180触龙神8	地图:H004	X:66	Y:154 
[2024/8/22 18:3:56] 物品:强效金创药	怪物:154BB180触龙神8	地图:H004	X:66	Y:154 
[2024/8/22 18:3:56] 物品:强效金创药	怪物:154BB180触龙神8	地图:H004	X:66	Y:154 
[2024/8/22 18:3:56] 物品:强效金创药	怪物:154BB180触龙神8	地图:H004	X:66	Y:154 
[2024/8/22 18:3:56] 物品:强效金创药	怪物:154BB180触龙神8	地图:H004	X:66	Y:154 
[2024/8/22 18:3:56] 物品:强效金创药	怪物:154BB180触龙神8	地图:H004	X:66	Y:154 
[2024/8/22 18:3:56] 物品:强效金创药	怪物:154BB180触龙神8	地图:H004	X:66	Y:154 
[2024/8/22 18:3:56] 物品:强效金创药	怪物:154BB180触龙神8	地图:H004	X:66	Y:154 
[2024/8/22 18:3:56] 物品:强效金创药	怪物:154BB180触龙神8	地图:H004	X:66	Y:154 
[2024/8/22 18:3:56] 物品:强效金创药	怪物:154BB180触龙神8	地图:H004	X:66	Y:154 
[2024/8/22 18:3:56] 物品:强效金创药	怪物:154BB180触龙神8	地图:H004	X:66	Y:154 
[2024/8/22 18:3:56] 物品:强效魔法药	怪物:154BB180触龙神8	地图:H004	X:66	Y:154 
[2024/8/22 18:3:56] 物品:强效魔法药	怪物:154BB180触龙神8	地图:H004	X:66	Y:154 
[2024/8/22 18:3:56] 物品:强效魔法药	怪物:154BB180触龙神8	地图:H004	X:66	Y:154 
[2024/8/22 18:3:56] 物品:强效魔法药	怪物:154BB180触龙神8	地图:H004	X:66	Y:154 
[2024/8/22 18:3:56] 物品:强效魔法药	怪物:154BB180触龙神8	地图:H004	X:66	Y:154 
[2024/8/22 18:3:56] 物品:强效魔法药	怪物:154BB180触龙神8	地图:H004	X:66	Y:154 
[2024/8/22 18:3:56] 物品:强效魔法药	怪物:154BB180触龙神8	地图:H004	X:66	Y:154 
[2024/8/22 18:3:56] 物品:强效魔法药	怪物:154BB180触龙神8	地图:H004	X:66	Y:154 
[2024/8/22 18:3:56] 物品:强效魔法药	怪物:154BB180触龙神8	地图:H004	X:66	Y:154 
[2024/8/22 18:3:56] 物品:强效魔法药	怪物:154BB180触龙神8	地图:H004	X:66	Y:154 
[2024/8/22 18:3:56] 物品:HP强化药水	怪物:154BB180触龙神8	地图:H004	X:66	Y:154 
[2024/8/22 18:3:56] 物品:蛇眼戒指	怪物:154BB180触龙神8	地图:H004	X:66	Y:154 
[2024/8/22 18:4:18] 物品:强效魔法药	怪物:2A96B800魔龙巨蛾	地图:66	X:216	Y:204 
[2024/8/22 18:4:18] 物品:无极真气	怪物:2A96B800魔龙巨蛾	地图:66	X:216	Y:204 
[2024/8/22 18:4:24] 物品:辟邪手镯	怪物:1DCD0320祖玛雕像83	地图:H008	X:23	Y:67 
[2024/8/22 18:4:24] 物品:战神盔甲(女)	怪物:1DCD0320祖玛雕像83	地图:H008	X:23	Y:67 
[2024/8/22 18:4:24] 物品:竹笛	怪物:1DCD0320祖玛雕像83	地图:H008	X:23	Y:67 
[2024/8/22 18:4:31] 物品:魔法长袍(男)	怪物:1789AE30祖玛雕像83	地图:H008	X:22	Y:67 
[2024/8/22 18:4:59] 物品:魔法药(中量)	怪物:13FB8350恶灵僵尸8	地图:H001	X:10	Y:15 
[2024/8/22 18:5:16] 物品:太阳水	怪物:29A4EA50祖玛卫士83	地图:H008	X:22	Y:37 
[2024/8/22 18:5:16] 物品:强效魔法药	怪物:1E13A860魔龙刀兵2	地图:66	X:196	Y:179 
[2024/8/22 18:5:27] 物品:凝霜	怪物:249184F0祖玛弓箭手83	地图:H008	X:19	Y:35 
[2024/8/22 18:5:38] 物品:强效魔法药	怪物:2CA70CF0魔龙刀兵1	地图:66	X:197	Y:179 
[2024/8/22 18:5:40] 物品:强效金创药	怪物:174CE4A0魔龙刀兵	地图:66	X:197	Y:180 
[2024/8/22 18:5:58] 物品:强效魔法药	怪物:2A0098C0魔龙巨蛾	地图:66	X:195	Y:180 
[2024/8/22 18:5:58] 物品:强效金创药	怪物:2A0098C0魔龙巨蛾	地图:66	X:195	Y:180 
[2024/8/22 18:6:0] 物品:强效金创药	怪物:12117DF0魔龙破甲兵1	地图:66	X:195	Y:182 
[2024/8/22 18:6:0] 物品:龙之戒指	怪物:29066760祖玛弓箭手83	地图:H008	X:44	Y:36 
[2024/8/22 18:6:7] 物品:强效魔法药	怪物:121B60F0魔龙刀兵1	地图:66	X:195	Y:181 
[2024/8/22 18:6:14] 物品:强效金创药	怪物:2C4705F0魔龙射手	地图:66	X:198	Y:176 
[2024/8/22 18:6:14] 物品:珊瑚戒指	怪物:2C4705F0魔龙射手	地图:66	X:198	Y:176 
[2024/8/22 18:6:15] 物品:金戒指	怪物:2CEFFAD0祖玛弓箭手83	地图:H008	X:38	Y:20 
[2024/8/22 18:6:57] 物品:灵魂战衣(女)	怪物:2C538210祖玛雕像83	地图:H008	X:44	Y:62 
[2024/8/22 18:7:8] 物品:强效金创药	怪物:1C681F00魔龙邪眼	地图:66	X:191	Y:122 
[2024/8/22 18:7:19] 物品:强效金创药	怪物:127E6AB0魔龙刀兵	地图:66	X:192	Y:120 
[2024/8/22 18:7:23] 物品:强效魔法药	怪物:1532C5E0祖玛弓箭手83	地图:H008	X:73	Y:45 
[2024/8/22 18:7:23] 物品:修罗	怪物:1532C5E0祖玛弓箭手83	地图:H008	X:73	Y:45 
[2024/8/22 18:7:27] 物品:强效魔法药	怪物:1E0FA7A0祖玛弓箭手83	地图:H008	X:74	Y:44 
[2024/8/22 18:7:34] 物品:强效金创药	怪物:142A8ED0魔龙战将	地图:66	X:191	Y:121 
[2024/8/22 18:7:44] 物品:力量戒指	怪物:2AAC5610祖玛卫士83	地图:H008	X:52	Y:51 
[2024/8/22 18:7:44] 物品:夏普儿手镯	怪物:2AAC5610祖玛卫士83	地图:H008	X:52	Y:51 
[2024/8/22 18:7:53] 物品:太阳水	怪物:282EE300祖玛雕像83	地图:H008	X:52	Y:52 
[2024/8/22 18:7:56] 物品:太阳水	怪物:248CC710黑色恶蛆8	地图:H004	X:33	Y:30 
[2024/8/22 18:7:57] 物品:小手镯	怪物:254A58D0祖玛雕像83	地图:H008	X:53	Y:52 
[2024/8/22 18:8:1] 物品:苹果	怪物:18647D10魔龙破甲兵	地图:66	X:185	Y:122 
[2024/8/22 18:8:4] 物品:黑檀手镯	怪物:23E44910魔龙射手	地图:66	X:190	Y:120 
[2024/8/22 18:8:7] 物品:强效太阳水	怪物:1011CB50虹魔蝎卫80	地图:H008	X:54	Y:51 
[2024/8/22 18:8:7] 物品:强效太阳水	怪物:1011CB50虹魔蝎卫80	地图:H008	X:54	Y:51 
[2024/8/22 18:8:7] 物品:强效太阳水	怪物:1011CB50虹魔蝎卫80	地图:H008	X:54	Y:51 
[2024/8/22 18:8:7] 物品:强效太阳水	怪物:1011CB50虹魔蝎卫80	地图:H008	X:54	Y:51 
[2024/8/22 18:8:7] 物品:灵魂战衣(男)	怪物:1011CB50虹魔蝎卫80	地图:H008	X:54	Y:51 
[2024/8/22 18:8:7] 物品:降魔	怪物:1011CB50虹魔蝎卫80	地图:H008	X:54	Y:51 
[2024/8/22 18:8:9] 物品:强效金创药	怪物:1DB34520魔龙射手	地图:66	X:183	Y:125 
[2024/8/22 18:8:9] 物品:强效金创药	怪物:1DB34520魔龙射手	地图:66	X:183	Y:125 
[2024/8/22 18:8:9] 物品:布鞋	怪物:1DB34520魔龙射手	地图:66	X:183	Y:125 
[2024/8/22 18:8:9] 物品:降妖除魔戒指	怪物:1DB34520魔龙射手	地图:66	X:183	Y:125 
[2024/8/22 18:8:18] 物品:强效金创药	怪物:1E64F0F0魔龙射手	地图:66	X:186	Y:120 
[2024/8/22 18:8:18] 物品:蓝翡翠项链	怪物:1E64F0F0魔龙射手	地图:66	X:186	Y:120 
[2024/8/22 18:8:23] 物品:魔法长袍(男)	怪物:1760E9B0钳虫8	地图:H004	X:151	Y:123 
[2024/8/22 18:8:44] 物品:强效魔法药	怪物:2B278530魔龙破甲兵	地图:66	X:188	Y:119 
[2024/8/22 18:8:44] 物品:放大镜	怪物:2B278530魔龙破甲兵	地图:66	X:188	Y:119 
[2024/8/22 18:8:49] 物品:夏普儿手镯	怪物:2B39E3A0祖玛雕像83	地图:H008	X:58	Y:34 
[2024/8/22 18:8:56] 物品:强效金创药	怪物:2812B980祖玛雕像83	地图:H008	X:55	Y:36 
[2024/8/22 18:9:19] 物品:道德戒指	怪物:1634FA90钳虫8	地图:H004	X:14	Y:42 
[2024/8/22 18:9:35] 物品:强效金创药	怪物:23C63860魔龙刺蛙1	地图:66	X:188	Y:121 
[2024/8/22 18:9:35] 物品:竹笛	怪物:2338FC20魔龙破甲兵	地图:66	X:188	Y:118 
[2024/8/22 18:9:37] 物品:强效魔法药	怪物:1CFFC350魔龙教主	地图:66	X:188	Y:119 
[2024/8/22 18:9:37] 物品:强效魔法药	怪物:1CFFC350魔龙教主	地图:66	X:188	Y:119 
[2024/8/22 18:9:37] 物品:强效金创药	怪物:1CFFC350魔龙教主	地图:66	X:188	Y:119 
[2024/8/22 18:9:37] 物品:强效魔法药	怪物:1CFFC350魔龙教主	地图:66	X:188	Y:119 
[2024/8/22 18:9:37] 物品:强效魔法药	怪物:1CFFC350魔龙教主	地图:66	X:188	Y:119 
[2024/8/22 18:9:37] 物品:强效金创药	怪物:1CFFC350魔龙教主	地图:66	X:188	Y:119 
[2024/8/22 18:9:37] 物品:强效魔法药	怪物:1CFFC350魔龙教主	地图:66	X:188	Y:119 
[2024/8/22 18:9:37] 物品:祝福油	怪物:1CFFC350魔龙教主	地图:66	X:188	Y:119 
[2024/8/22 18:9:39] 物品:狂风戒指	怪物:291CE9C0祖玛卫士83	地图:H008	X:41	Y:27 
[2024/8/22 18:9:43] 物品:强效太阳水	怪物:266FC1E0沃玛卫士8	地图:H003	X:62	Y:65 
[2024/8/22 18:9:43] 物品:强效太阳水	怪物:266FC1E0沃玛卫士8	地图:H003	X:62	Y:65 
[2024/8/22 18:9:43] 物品:强效太阳水	怪物:266FC1E0沃玛卫士8	地图:H003	X:62	Y:65 
[2024/8/22 18:9:43] 物品:强效太阳水	怪物:266FC1E0沃玛卫士8	地图:H003	X:62	Y:65 
[2024/8/22 18:9:43] 物品:强效太阳水	怪物:266FC1E0沃玛卫士8	地图:H003	X:62	Y:65 
[2024/8/22 18:9:43] 物品:太阳水	怪物:266FC1E0沃玛卫士8	地图:H003	X:62	Y:65 
[2024/8/22 18:9:43] 物品:太阳水	怪物:266FC1E0沃玛卫士8	地图:H003	X:62	Y:65 
[2024/8/22 18:9:43] 物品:太阳水	怪物:266FC1E0沃玛卫士8	地图:H003	X:62	Y:65 
[2024/8/22 18:9:43] 物品:太阳水	怪物:266FC1E0沃玛卫士8	地图:H003	X:62	Y:65 
[2024/8/22 18:9:43] 物品:太阳水	怪物:266FC1E0沃玛卫士8	地图:H003	X:62	Y:65 
[2024/8/22 18:9:43] 物品:太阳水	怪物:266FC1E0沃玛卫士8	地图:H003	X:62	Y:65 
[2024/8/22 18:9:43] 物品:太阳水	怪物:266FC1E0沃玛卫士8	地图:H003	X:62	Y:65 
[2024/8/22 18:9:43] 物品:太阳水	怪物:266FC1E0沃玛卫士8	地图:H003	X:62	Y:65 
[2024/8/22 18:9:43] 物品:太阳水	怪物:266FC1E0沃玛卫士8	地图:H003	X:62	Y:65 
[2024/8/22 18:9:43] 物品:太阳水	怪物:266FC1E0沃玛卫士8	地图:H003	X:62	Y:65 
[2024/8/22 18:9:43] 物品:金创药(中量)	怪物:266FC1E0沃玛卫士8	地图:H003	X:62	Y:65 
[2024/8/22 18:9:43] 物品:金创药(中量)	怪物:266FC1E0沃玛卫士8	地图:H003	X:62	Y:65 
[2024/8/22 18:9:43] 物品:强效金创药	怪物:266FC1E0沃玛卫士8	地图:H003	X:62	Y:65 
[2024/8/22 18:9:43] 物品:强效金创药	怪物:266FC1E0沃玛卫士8	地图:H003	X:62	Y:65 
[2024/8/22 18:9:43] 物品:强效金创药	怪物:266FC1E0沃玛卫士8	地图:H003	X:62	Y:65 
[2024/8/22 18:9:43] 物品:魔法药(中量)	怪物:266FC1E0沃玛卫士8	地图:H003	X:62	Y:65 
[2024/8/22 18:9:43] 物品:魔法药(中量)	怪物:266FC1E0沃玛卫士8	地图:H003	X:62	Y:65 
[2024/8/22 18:9:43] 物品:强效魔法药	怪物:266FC1E0沃玛卫士8	地图:H003	X:62	Y:65 
[2024/8/22 18:9:43] 物品:强效魔法药	怪物:266FC1E0沃玛卫士8	地图:H003	X:62	Y:65 
[2024/8/22 18:9:43] 物品:强效魔法药	怪物:266FC1E0沃玛卫士8	地图:H003	X:62	Y:65 
[2024/8/22 18:9:43] 物品:黑色水晶戒指	怪物:266FC1E0沃玛卫士8	地图:H003	X:62	Y:65 
[2024/8/22 18:9:43] 物品:半月弯刀	怪物:266FC1E0沃玛卫士8	地图:H003	X:62	Y:65 
[2024/8/22 18:9:43] 物品:野蛮冲撞	怪物:266FC1E0沃玛卫士8	地图:H003	X:62	Y:65 
[2024/8/22 18:9:43] 物品:灵魂火符	怪物:266FC1E0沃玛卫士8	地图:H003	X:62	Y:65 
[2024/8/22 18:9:56] 物品:鹿皮靴	怪物:2B405530魔龙射手2	地图:66	X:196	Y:113 
[2024/8/22 18:9:57] 物品:强效金创药	怪物:230180F0祖玛弓箭手83	地图:H008	X:39	Y:31 
[2024/8/22 18:9:57] 物品:幽灵战衣(女)	怪物:230180F0祖玛弓箭手83	地图:H008	X:39	Y:31 
[2024/8/22 18:10:19] 物品:强效太阳水	怪物:2B7BFE10虹魔教主8	地图:H008	X:40	Y:30 
[2024/8/22 18:10:19] 物品:强效太阳水	怪物:2B7BFE10虹魔教主8	地图:H008	X:40	Y:30 
[2024/8/22 18:10:19] 物品:强效太阳水	怪物:2B7BFE10虹魔教主8	地图:H008	X:40	Y:30 
[2024/8/22 18:10:19] 物品:强效太阳水	怪物:2B7BFE10虹魔教主8	地图:H008	X:40	Y:30 
[2024/8/22 18:10:19] 物品:强效太阳水	怪物:2B7BFE10虹魔教主8	地图:H008	X:40	Y:30 
[2024/8/22 18:10:19] 物品:强效太阳水	怪物:2B7BFE10虹魔教主8	地图:H008	X:40	Y:30 
[2024/8/22 18:10:19] 物品:强效太阳水	怪物:2B7BFE10虹魔教主8	地图:H008	X:40	Y:30 
[2024/8/22 18:10:19] 物品:强效太阳水	怪物:2B7BFE10虹魔教主8	地图:H008	X:40	Y:30 
[2024/8/22 18:10:19] 物品:强效太阳水	怪物:2B7BFE10虹魔教主8	地图:H008	X:40	Y:30 
[2024/8/22 18:10:19] 物品:强效太阳水	怪物:2B7BFE10虹魔教主8	地图:H008	X:40	Y:30 
[2024/8/22 18:10:19] 物品:疗伤药	怪物:2B7BFE10虹魔教主8	地图:H008	X:40	Y:30 
[2024/8/22 18:10:19] 物品:疗伤药	怪物:2B7BFE10虹魔教主8	地图:H008	X:40	Y:30 
[2024/8/22 18:10:19] 物品:疗伤药	怪物:2B7BFE10虹魔教主8	地图:H008	X:40	Y:30 
[2024/8/22 18:10:19] 物品:疗伤药	怪物:2B7BFE10虹魔教主8	地图:H008	X:40	Y:30 
[2024/8/22 18:10:19] 物品:疗伤药	怪物:2B7BFE10虹魔教主8	地图:H008	X:40	Y:30 
[2024/8/22 18:10:19] 物品:疗伤药	怪物:2B7BFE10虹魔教主8	地图:H008	X:40	Y:30 
[2024/8/22 18:10:19] 物品:疗伤药	怪物:2B7BFE10虹魔教主8	地图:H008	X:40	Y:30 
[2024/8/22 18:10:19] 物品:太阳水	怪物:2B7BFE10虹魔教主8	地图:H008	X:40	Y:30 
[2024/8/22 18:10:19] 物品:太阳水	怪物:2B7BFE10虹魔教主8	地图:H008	X:40	Y:30 
[2024/8/22 18:10:19] 物品:太阳水	怪物:2B7BFE10虹魔教主8	地图:H008	X:40	Y:30 
[2024/8/22 18:10:19] 物品:太阳水	怪物:2B7BFE10虹魔教主8	地图:H008	X:40	Y:30 
[2024/8/22 18:10:19] 物品:太阳水	怪物:2B7BFE10虹魔教主8	地图:H008	X:40	Y:30 
[2024/8/22 18:10:19] 物品:太阳水	怪物:2B7BFE10虹魔教主8	地图:H008	X:40	Y:30 
[2024/8/22 18:10:19] 物品:太阳水	怪物:2B7BFE10虹魔教主8	地图:H008	X:40	Y:30 
[2024/8/22 18:10:19] 物品:太阳水	怪物:2B7BFE10虹魔教主8	地图:H008	X:40	Y:30 
[2024/8/22 18:10:19] 物品:太阳水	怪物:2B7BFE10虹魔教主8	地图:H008	X:40	Y:30 
[2024/8/22 18:10:19] 物品:太阳水	怪物:2B7BFE10虹魔教主8	地图:H008	X:40	Y:30 
[2024/8/22 18:10:19] 物品:太阳水	怪物:2B7BFE10虹魔教主8	地图:H008	X:40	Y:30 
[2024/8/22 18:10:19] 物品:太阳水	怪物:2B7BFE10虹魔教主8	地图:H008	X:40	Y:30 
[2024/8/22 18:10:19] 物品:太阳水	怪物:2B7BFE10虹魔教主8	地图:H008	X:40	Y:30 
[2024/8/22 18:10:19] 物品:太阳水	怪物:2B7BFE10虹魔教主8	地图:H008	X:40	Y:30 
[2024/8/22 18:10:19] 物品:金创药(中量)	怪物:2B7BFE10虹魔教主8	地图:H008	X:40	Y:30 
[2024/8/22 18:10:19] 物品:金创药(中量)	怪物:2B7BFE10虹魔教主8	地图:H008	X:40	Y:30 
[2024/8/22 18:10:19] 物品:强效金创药	怪物:2B7BFE10虹魔教主8	地图:H008	X:40	Y:30 
[2024/8/22 18:10:19] 物品:强效金创药	怪物:2B7BFE10虹魔教主8	地图:H008	X:40	Y:30 
[2024/8/22 18:10:19] 物品:强效金创药	怪物:2B7BFE10虹魔教主8	地图:H008	X:40	Y:30 
[2024/8/22 18:10:19] 物品:魔法药(中量)	怪物:2B7BFE10虹魔教主8	地图:H008	X:40	Y:30 
[2024/8/22 18:10:19] 物品:魔法药(中量)	怪物:2B7BFE10虹魔教主8	地图:H008	X:40	Y:30 
[2024/8/22 18:10:19] 物品:强效魔法药	怪物:2B7BFE10虹魔教主8	地图:H008	X:40	Y:30 
[2024/8/22 18:10:19] 物品:强效魔法药	怪物:2B7BFE10虹魔教主8	地图:H008	X:40	Y:30 
[2024/8/22 18:10:19] 物品:强效魔法药	怪物:2B7BFE10虹魔教主8	地图:H008	X:40	Y:30 
[2024/8/22 18:10:19] 物品:强效金创药	怪物:2B7BFE10虹魔教主8	地图:H008	X:40	Y:30 
[2024/8/22 18:10:19] 物品:强效金创药	怪物:2B7BFE10虹魔教主8	地图:H008	X:40	Y:30 
[2024/8/22 18:10:19] 物品:强效金创药	怪物:2B7BFE10虹魔教主8	地图:H008	X:40	Y:30 
[2024/8/22 18:10:19] 物品:强效金创药	怪物:2B7BFE10虹魔教主8	地图:H008	X:40	Y:30 
[2024/8/22 18:10:19] 物品:强效金创药	怪物:2B7BFE10虹魔教主8	地图:H008	X:40	Y:30 
[2024/8/22 18:10:19] 物品:强效魔法药	怪物:2B7BFE10虹魔教主8	地图:H008	X:40	Y:30 
[2024/8/22 18:10:19] 物品:强效魔法药	怪物:2B7BFE10虹魔教主8	地图:H008	X:40	Y:30 
[2024/8/22 18:10:19] 物品:强效魔法药	怪物:2B7BFE10虹魔教主8	地图:H008	X:40	Y:30 
[2024/8/22 18:10:19] 物品:强效魔法药	怪物:2B7BFE10虹魔教主8	地图:H008	X:40	Y:30 
[2024/8/22 18:10:19] 物品:强效魔法药	怪物:2B7BFE10虹魔教主8	地图:H008	X:40	Y:30 
[2024/8/22 18:10:19] 物品:战神盔甲(女)	怪物:2B7BFE10虹魔教主8	地图:H008	X:40	Y:30 
[2024/8/22 18:10:19] 物品:灵魂战衣(男)	怪物:2B7BFE10虹魔教主8	地图:H008	X:40	Y:30 
[2024/8/22 18:10:19] 物品:偃月	怪物:2B7BFE10虹魔教主8	地图:H008	X:40	Y:30 
[2024/8/22 18:10:19] 物品:破魂	怪物:2B7BFE10虹魔教主8	地图:H008	X:40	Y:30 
[2024/8/22 18:10:19] 物品:降魔	怪物:2B7BFE10虹魔教主8	地图:H008	X:40	Y:30 
[2024/8/22 18:10:19] 物品:斩马刀	怪物:2B7BFE10虹魔教主8	地图:H008	X:40	Y:30 
[2024/8/22 18:10:19] 物品:修罗	怪物:2B7BFE10虹魔教主8	地图:H008	X:40	Y:30 
[2024/8/22 18:10:19] 物品:骷髅头盔	怪物:2B7BFE10虹魔教主8	地图:H008	X:40	Y:30 
[2024/8/22 18:10:19] 物品:道士头盔	怪物:2B7BFE10虹魔教主8	地图:H008	X:40	Y:30 
[2024/8/22 18:10:19] 物品:蓝翡翠项链	怪物:2B7BFE10虹魔教主8	地图:H008	X:40	Y:30 
[2024/8/22 18:10:19] 物品:放大镜	怪物:2B7BFE10虹魔教主8	地图:H008	X:40	Y:30 
[2024/8/22 18:10:19] 物品:竹笛	怪物:2B7BFE10虹魔教主8	地图:H008	X:40	Y:30 
[2024/8/22 18:10:19] 物品:小手镯	怪物:2B7BFE10虹魔教主8	地图:H008	X:40	Y:30 
[2024/8/22 18:10:19] 物品:魔法手镯	怪物:2B7BFE10虹魔教主8	地图:H008	X:40	Y:30 
[2024/8/22 18:10:19] 物品:黑檀手镯	怪物:2B7BFE10虹魔教主8	地图:H008	X:40	Y:30 
[2024/8/22 18:10:19] 物品:道士手镯	怪物:2B7BFE10虹魔教主8	地图:H008	X:40	Y:30 
[2024/8/22 18:10:19] 物品:死神手套	怪物:2B7BFE10虹魔教主8	地图:H008	X:40	Y:30 
