[2024/8/22 12:0:2] 物品:竹笛	怪物:17311640魔龙破甲兵	地图:66	X:230	Y:194 
[2024/8/22 12:0:11] 物品:强效太阳水	怪物:1BE1DB30尸王8	地图:H201	X:48	Y:40 
[2024/8/22 12:0:11] 物品:强效太阳水	怪物:1BE1DB30尸王8	地图:H201	X:48	Y:40 
[2024/8/22 12:0:11] 物品:强效金创药	怪物:1BE1DB30尸王8	地图:H201	X:48	Y:40 
[2024/8/22 12:0:11] 物品:强效金创药	怪物:1BE1DB30尸王8	地图:H201	X:48	Y:40 
[2024/8/22 12:0:11] 物品:强效魔法药	怪物:1BE1DB30尸王8	地图:H201	X:48	Y:40 
[2024/8/22 12:0:11] 物品:强效魔法药	怪物:1BE1DB30尸王8	地图:H201	X:48	Y:40 
[2024/8/22 12:0:11] 物品:珍珠戒指	怪物:1BE1DB30尸王8	地图:H201	X:48	Y:40 
[2024/8/22 12:0:11] 物品:蓝翡翠项链	怪物:1BE1DB30尸王8	地图:H201	X:48	Y:40 
[2024/8/22 12:0:12] 物品:太阳水	怪物:1ECA8230钢牙蜘蛛	地图:D10051	X:116	Y:152 
[2024/8/22 12:0:12] 物品:强效金创药	怪物:1ECA8230钢牙蜘蛛	地图:D10051	X:116	Y:152 
[2024/8/22 12:0:12] 物品:强效魔法药	怪物:1ECA8230钢牙蜘蛛	地图:D10051	X:116	Y:152 
[2024/8/22 12:0:15] 物品:死神手套	怪物:18628040祖玛卫士8	地图:H204	X:21	Y:84 
[2024/8/22 12:0:21] 物品:强效魔法药	怪物:2A1BB140暴牙蜘蛛	地图:D10051	X:116	Y:155 
[2024/8/22 12:0:23] 物品:强效魔法药	怪物:248A2B60魔龙射手	地图:66	X:232	Y:201 
[2024/8/22 12:0:31] 物品:太阳水	怪物:28F6CA80黑锷蜘蛛	地图:D10051	X:113	Y:160 
[2024/8/22 12:0:31] 物品:强效金创药	怪物:28F6CA80黑锷蜘蛛	地图:D10051	X:113	Y:160 
[2024/8/22 12:0:31] 物品:强效魔法药	怪物:28F6CA80黑锷蜘蛛	地图:D10051	X:113	Y:160 
[2024/8/22 12:0:31] 物品:重盔甲(女)	怪物:28F6CA80黑锷蜘蛛	地图:D10051	X:113	Y:160 
[2024/8/22 12:0:40] 物品:太阳水	怪物:1EC79150钢牙蜘蛛	地图:D10051	X:114	Y:161 
[2024/8/22 12:0:40] 物品:强效金创药	怪物:1EC79150钢牙蜘蛛	地图:D10051	X:114	Y:161 
[2024/8/22 12:0:40] 物品:强效魔法药	怪物:1EC79150钢牙蜘蛛	地图:D10051	X:114	Y:161 
[2024/8/22 12:0:40] 物品:蓝色水晶戒指	怪物:1EC79150钢牙蜘蛛	地图:D10051	X:114	Y:161 
[2024/8/22 12:0:42] 物品:强效金创药	怪物:2CDA31D0魔龙射手2	地图:66	X:238	Y:206 
[2024/8/22 12:0:42] 物品:强效魔法药	怪物:2CDA31D0魔龙射手2	地图:66	X:238	Y:206 
[2024/8/22 12:0:44] 物品:疾光电影	怪物:249033E0恶灵尸王	地图:H201	X:56	Y:30 
[2024/8/22 12:0:44] 物品:爆裂火焰	怪物:249033E0恶灵尸王	地图:H201	X:56	Y:30 
[2024/8/22 12:0:45] 物品:金创药(中量)	怪物:2CBB6440祖玛弓箭手8	地图:H204	X:38	Y:35 
[2024/8/22 12:0:45] 物品:灯笼项链	怪物:2CBB6440祖玛弓箭手8	地图:H204	X:38	Y:35 
[2024/8/22 12:0:47] 物品:强效金创药	怪物:256EAF30魔龙破甲兵	地图:66	X:236	Y:206 
[2024/8/22 12:0:47] 物品:金手镯	怪物:256EAF30魔龙破甲兵	地图:66	X:236	Y:206 
[2024/8/22 12:0:52] 物品:金手镯	怪物:24C45390魔龙破甲兵	地图:66	X:237	Y:207 
[2024/8/22 12:0:58] 物品:骷髅戒指	怪物:1ED79CE0天狼蜘蛛0	地图:D10051	X:112	Y:161 
[2024/8/22 12:0:58] 物品:太阳水	怪物:1ED79CE0天狼蜘蛛0	地图:D10051	X:112	Y:161 
[2024/8/22 12:0:58] 物品:太阳水	怪物:1ED79CE0天狼蜘蛛0	地图:D10051	X:112	Y:161 
[2024/8/22 12:0:58] 物品:太阳水	怪物:1ED79CE0天狼蜘蛛0	地图:D10051	X:112	Y:161 
[2024/8/22 12:0:58] 物品:太阳水	怪物:1ED79CE0天狼蜘蛛0	地图:D10051	X:112	Y:161 
[2024/8/22 12:0:58] 物品:金创药(中量)	怪物:1ED79CE0天狼蜘蛛0	地图:D10051	X:112	Y:161 
[2024/8/22 12:0:58] 物品:金创药(中量)	怪物:1ED79CE0天狼蜘蛛0	地图:D10051	X:112	Y:161 
[2024/8/22 12:0:58] 物品:金创药(中量)	怪物:1ED79CE0天狼蜘蛛0	地图:D10051	X:112	Y:161 
[2024/8/22 12:0:58] 物品:金创药(中量)	怪物:1ED79CE0天狼蜘蛛0	地图:D10051	X:112	Y:161 
[2024/8/22 12:0:58] 物品:魔法药(中量)	怪物:1ED79CE0天狼蜘蛛0	地图:D10051	X:112	Y:161 
[2024/8/22 12:0:58] 物品:魔法药(中量)	怪物:1ED79CE0天狼蜘蛛0	地图:D10051	X:112	Y:161 
[2024/8/22 12:0:58] 物品:魔法药(中量)	怪物:1ED79CE0天狼蜘蛛0	地图:D10051	X:112	Y:161 
[2024/8/22 12:0:58] 物品:魔法药(中量)	怪物:1ED79CE0天狼蜘蛛0	地图:D10051	X:112	Y:161 
[2024/8/22 12:0:58] 物品:强效金创药	怪物:1ED79CE0天狼蜘蛛0	地图:D10051	X:112	Y:161 
[2024/8/22 12:0:58] 物品:强效金创药	怪物:1ED79CE0天狼蜘蛛0	地图:D10051	X:112	Y:161 
[2024/8/22 12:0:58] 物品:强效金创药	怪物:1ED79CE0天狼蜘蛛0	地图:D10051	X:112	Y:161 
[2024/8/22 12:0:58] 物品:强效金创药	怪物:1ED79CE0天狼蜘蛛0	地图:D10051	X:112	Y:161 
[2024/8/22 12:0:58] 物品:强效魔法药	怪物:1ED79CE0天狼蜘蛛0	地图:D10051	X:112	Y:161 
[2024/8/22 12:0:58] 物品:强效魔法药	怪物:1ED79CE0天狼蜘蛛0	地图:D10051	X:112	Y:161 
[2024/8/22 12:0:58] 物品:强效魔法药	怪物:1ED79CE0天狼蜘蛛0	地图:D10051	X:112	Y:161 
[2024/8/22 12:0:58] 物品:强效魔法药	怪物:1ED79CE0天狼蜘蛛0	地图:D10051	X:112	Y:161 
[2024/8/22 12:0:58] 物品:放大镜	怪物:1ED79CE0天狼蜘蛛0	地图:D10051	X:112	Y:161 
[2024/8/22 12:1:1] 物品:金创药(中量)	怪物:129DA7D0天狼蜘蛛	地图:D10051	X:113	Y:160 
[2024/8/22 12:1:1] 物品:魔法药(中量)	怪物:129DA7D0天狼蜘蛛	地图:D10051	X:113	Y:160 
[2024/8/22 12:1:1] 物品:黑色水晶戒指	怪物:129DA7D0天狼蜘蛛	地图:D10051	X:113	Y:160 
[2024/8/22 12:1:1] 物品:灯笼项链	怪物:129DA7D0天狼蜘蛛	地图:D10051	X:113	Y:160 
[2024/8/22 12:1:6] 物品:金创药(小量)	怪物:1E149A40僵尸5	地图:H201	X:53	Y:20 
[2024/8/22 12:1:6] 物品:魔法药(小量)	怪物:1E149A40僵尸5	地图:H201	X:53	Y:20 
[2024/8/22 12:1:6] 物品:太阳水	怪物:29BCFB50祖玛卫士8	地图:H204	X:39	Y:22 
[2024/8/22 12:1:9] 物品:强效太阳水	怪物:2B788200魔龙射手	地图:66	X:245	Y:207 
[2024/8/22 12:1:9] 物品:布鞋	怪物:2B788200魔龙射手	地图:66	X:245	Y:207 
[2024/8/22 12:1:9] 物品:治愈术	怪物:1EDCEA70僵尸1	地图:H201	X:53	Y:17 
[2024/8/22 12:1:13] 物品:强效金创药	怪物:2AE4FCA0魔龙刀兵1	地图:66	X:245	Y:208 
[2024/8/22 12:1:14] 物品:骷髅戒指	怪物:1E0EB510祖玛弓箭手8	地图:H204	X:42	Y:16 
[2024/8/22 12:1:16] 物品:强效太阳水	怪物:1EDE67E0血僵尸	地图:D10051	X:113	Y:152 
[2024/8/22 12:1:16] 物品:强效太阳水	怪物:1EDE67E0血僵尸	地图:D10051	X:113	Y:152 
[2024/8/22 12:1:16] 物品:疗伤药	怪物:1EDE67E0血僵尸	地图:D10051	X:113	Y:152 
[2024/8/22 12:1:16] 物品:疗伤药	怪物:1EDE67E0血僵尸	地图:D10051	X:113	Y:152 
[2024/8/22 12:1:16] 物品:强效金创药	怪物:1EDE67E0血僵尸	地图:D10051	X:113	Y:152 
[2024/8/22 12:1:16] 物品:强效金创药	怪物:1EDE67E0血僵尸	地图:D10051	X:113	Y:152 
[2024/8/22 12:1:16] 物品:强效魔法药	怪物:1EDE67E0血僵尸	地图:D10051	X:113	Y:152 
[2024/8/22 12:1:16] 物品:强效金创药	怪物:1EDE67E0血僵尸	地图:D10051	X:113	Y:152 
[2024/8/22 12:1:16] 物品:强效魔法药	怪物:1EDE67E0血僵尸	地图:D10051	X:113	Y:152 
[2024/8/22 12:1:16] 物品:强效金创药	怪物:1EDE67E0血僵尸	地图:D10051	X:113	Y:152 
[2024/8/22 12:1:16] 物品:强效魔法药	怪物:1EDE67E0血僵尸	地图:D10051	X:113	Y:152 
[2024/8/22 12:1:16] 物品:强效魔法药	怪物:1EDE67E0血僵尸	地图:D10051	X:113	Y:152 
[2024/8/22 12:1:16] 物品:道士头盔	怪物:1EDE67E0血僵尸	地图:D10051	X:113	Y:152 
[2024/8/22 12:1:21] 物品:金手镯	怪物:23FC3830魔龙射手	地图:66	X:241	Y:207 
[2024/8/22 12:1:23] 物品:金创药(小量)	怪物:25522830僵尸4	地图:H201	X:45	Y:22 
[2024/8/22 12:1:25] 物品:强效金创药	怪物:29FF1F90暴牙蜘蛛	地图:D10051	X:107	Y:159 
[2024/8/22 12:1:25] 物品:强效魔法药	怪物:29FF1F90暴牙蜘蛛	地图:D10051	X:107	Y:159 
[2024/8/22 12:1:25] 物品:道士头盔	怪物:29FF1F90暴牙蜘蛛	地图:D10051	X:107	Y:159 
[2024/8/22 12:1:25] 物品:半月	怪物:29FF1F90暴牙蜘蛛	地图:D10051	X:107	Y:159 
[2024/8/22 12:1:27] 物品:强效金创药	怪物:25687070魔龙射手	地图:66	X:236	Y:200 
[2024/8/22 12:1:31] 物品:强效魔法药	怪物:28C5F810魔龙射手	地图:66	X:246	Y:194 
[2024/8/22 12:1:31] 物品:强效金创药	怪物:28C5F810魔龙射手	地图:66	X:246	Y:194 
[2024/8/22 12:1:35] 物品:太阳水	怪物:283C4010钢牙蜘蛛	地图:D10051	X:101	Y:159 
[2024/8/22 12:1:35] 物品:强效金创药	怪物:283C4010钢牙蜘蛛	地图:D10051	X:101	Y:159 
[2024/8/22 12:1:35] 物品:强效魔法药	怪物:283C4010钢牙蜘蛛	地图:D10051	X:101	Y:159 
[2024/8/22 12:1:35] 物品:疗伤药	怪物:283C4010钢牙蜘蛛	地图:D10051	X:101	Y:159 
[2024/8/22 12:1:36] 物品:强效金创药	怪物:2904C1D0魔龙刀兵	地图:66	X:245	Y:194 
[2024/8/22 12:1:37] 物品:太阳水	怪物:1EE460B0花吻蜘蛛	地图:D10051	X:100	Y:158 
[2024/8/22 12:1:37] 物品:强效金创药	怪物:1EE460B0花吻蜘蛛	地图:D10051	X:100	Y:158 
[2024/8/22 12:1:37] 物品:强效魔法药	怪物:1EE460B0花吻蜘蛛	地图:D10051	X:100	Y:158 
[2024/8/22 12:1:39] 物品:小手镯	怪物:14415350祖玛弓箭手8	地图:H204	X:55	Y:13 
[2024/8/22 12:1:40] 物品:金创药(小量)	怪物:1DC6F380僵尸4	地图:H201	X:39	Y:27 
[2024/8/22 12:1:41] 物品:强效金创药	怪物:1EC31AE0暴牙蜘蛛	地图:D10051	X:97	Y:160 
[2024/8/22 12:1:41] 物品:半月	怪物:1EC31AE0暴牙蜘蛛	地图:D10051	X:97	Y:160 
[2024/8/22 12:1:41] 物品:凤凰明珠	怪物:1EC31AE0暴牙蜘蛛	地图:D10051	X:97	Y:160 
[2024/8/22 12:1:42] 物品:强效太阳水	怪物:25AACF80尸王8	地图:H201	X:39	Y:28 
[2024/8/22 12:1:42] 物品:强效太阳水	怪物:25AACF80尸王8	地图:H201	X:39	Y:28 
[2024/8/22 12:1:42] 物品:强效太阳水	怪物:25AACF80尸王8	地图:H201	X:39	Y:28 
[2024/8/22 12:1:42] 物品:强效太阳水	怪物:25AACF80尸王8	地图:H201	X:39	Y:28 
[2024/8/22 12:1:42] 物品:强效太阳水	怪物:25AACF80尸王8	地图:H201	X:39	Y:28 
[2024/8/22 12:1:42] 物品:强效金创药	怪物:25AACF80尸王8	地图:H201	X:39	Y:28 
[2024/8/22 12:1:42] 物品:强效金创药	怪物:25AACF80尸王8	地图:H201	X:39	Y:28 
[2024/8/22 12:1:42] 物品:强效魔法药	怪物:25AACF80尸王8	地图:H201	X:39	Y:28 
[2024/8/22 12:1:42] 物品:强效魔法药	怪物:25AACF80尸王8	地图:H201	X:39	Y:28 
[2024/8/22 12:1:42] 物品:黑色水晶戒指	怪物:25AACF80尸王8	地图:H201	X:39	Y:28 
[2024/8/22 12:1:42] 物品:生铁戒指	怪物:25AACF80尸王8	地图:H201	X:39	Y:28 
[2024/8/22 12:1:42] 物品:凝霜	怪物:25AACF80尸王8	地图:H201	X:39	Y:28 
[2024/8/22 12:1:42] 物品:魔力手镯	怪物:25AACF80尸王8	地图:H201	X:39	Y:28 
[2024/8/22 12:1:44] 物品:太阳水	怪物:2CEBC3A0魔龙破甲兵	地图:66	X:247	Y:195 
[2024/8/22 12:1:46] 物品:强效魔法药	怪物:22D994C0魔龙邪眼	地图:66	X:245	Y:195 
[2024/8/22 12:1:51] 物品:强效金创药	怪物:28461FA0魔龙射手	地图:66	X:249	Y:198 
[2024/8/22 12:1:54] 物品:白金项链	怪物:1DC25D10祖玛雕像8	地图:H204	X:60	Y:18 
[2024/8/22 12:1:57] 物品:金创药(中量)	怪物:1ED217B0天狼蜘蛛	地图:D10051	X:104	Y:168 
[2024/8/22 12:1:57] 物品:魔法药(中量)	怪物:1ED217B0天狼蜘蛛	地图:D10051	X:104	Y:168 
[2024/8/22 12:1:57] 物品:白色虎齿项链	怪物:1ED217B0天狼蜘蛛	地图:D10051	X:104	Y:168 
[2024/8/22 12:1:59] 物品:太阳水	怪物:1EC7A780钢牙蜘蛛	地图:D10051	X:105	Y:167 
[2024/8/22 12:1:59] 物品:强效金创药	怪物:1EC7A780钢牙蜘蛛	地图:D10051	X:105	Y:167 
[2024/8/22 12:1:59] 物品:强效魔法药	怪物:1EC7A780钢牙蜘蛛	地图:D10051	X:105	Y:167 
[2024/8/22 12:1:59] 物品:魔力手镯	怪物:1EC7A780钢牙蜘蛛	地图:D10051	X:105	Y:167 
[2024/8/22 12:2:14] 物品:强效太阳水	怪物:28A0E990尸王8	地图:H201	X:64	Y:32 
[2024/8/22 12:2:14] 物品:强效太阳水	怪物:28A0E990尸王8	地图:H201	X:64	Y:32 
[2024/8/22 12:2:14] 物品:强效太阳水	怪物:28A0E990尸王8	地图:H201	X:64	Y:32 
[2024/8/22 12:2:14] 物品:强效太阳水	怪物:28A0E990尸王8	地图:H201	X:64	Y:32 
[2024/8/22 12:2:14] 物品:强效太阳水	怪物:28A0E990尸王8	地图:H201	X:64	Y:32 
[2024/8/22 12:2:14] 物品:强效金创药	怪物:28A0E990尸王8	地图:H201	X:64	Y:32 
[2024/8/22 12:2:14] 物品:强效金创药	怪物:28A0E990尸王8	地图:H201	X:64	Y:32 
[2024/8/22 12:2:14] 物品:强效魔法药	怪物:28A0E990尸王8	地图:H201	X:64	Y:32 
[2024/8/22 12:2:14] 物品:强效魔法药	怪物:28A0E990尸王8	地图:H201	X:64	Y:32 
[2024/8/22 12:2:14] 物品:魅力戒指	怪物:28A0E990尸王8	地图:H201	X:64	Y:32 
[2024/8/22 12:2:14] 物品:魔力手镯	怪物:28A0E990尸王8	地图:H201	X:64	Y:32 
[2024/8/22 12:2:16] 物品:太阳水	怪物:289F2F50花吻蜘蛛	地图:D10051	X:105	Y:173 
[2024/8/22 12:2:16] 物品:强效金创药	怪物:289F2F50花吻蜘蛛	地图:D10051	X:105	Y:173 
[2024/8/22 12:2:16] 物品:强效魔法药	怪物:289F2F50花吻蜘蛛	地图:D10051	X:105	Y:173 
[2024/8/22 12:2:17] 物品:金创药(中量)	怪物:2B65DEF0天狼蜘蛛	地图:D10051	X:105	Y:175 
[2024/8/22 12:2:17] 物品:魔法药(中量)	怪物:2B65DEF0天狼蜘蛛	地图:D10051	X:105	Y:175 
[2024/8/22 12:2:17] 物品:太阳水	怪物:2B65DEF0天狼蜘蛛	地图:D10051	X:105	Y:175 
[2024/8/22 12:2:25] 物品:小手镯	怪物:1DBF6AB0祖玛雕像8	地图:H204	X:66	Y:32 
[2024/8/22 12:2:26] 物品:太阳水	怪物:293E84B0血巨人	地图:D10051	X:107	Y:173 
[2024/8/22 12:2:26] 物品:强效太阳水	怪物:293E84B0血巨人	地图:D10051	X:107	Y:173 
[2024/8/22 12:2:26] 物品:强效金创药	怪物:293E84B0血巨人	地图:D10051	X:107	Y:173 
[2024/8/22 12:2:26] 物品:强效魔法药	怪物:293E84B0血巨人	地图:D10051	X:107	Y:173 
[2024/8/22 12:2:26] 物品:蛇眼戒指	怪物:293E84B0血巨人	地图:D10051	X:107	Y:173 
[2024/8/22 12:2:26] 物品:强效太阳水	怪物:2CBA8BA0尸王8	地图:H201	X:66	Y:25 
[2024/8/22 12:2:26] 物品:强效太阳水	怪物:2CBA8BA0尸王8	地图:H201	X:66	Y:25 
[2024/8/22 12:2:26] 物品:强效太阳水	怪物:2CBA8BA0尸王8	地图:H201	X:66	Y:25 
[2024/8/22 12:2:26] 物品:强效太阳水	怪物:2CBA8BA0尸王8	地图:H201	X:66	Y:25 
[2024/8/22 12:2:26] 物品:强效太阳水	怪物:2CBA8BA0尸王8	地图:H201	X:66	Y:25 
[2024/8/22 12:2:26] 物品:强效金创药	怪物:2CBA8BA0尸王8	地图:H201	X:66	Y:25 
[2024/8/22 12:2:26] 物品:强效金创药	怪物:2CBA8BA0尸王8	地图:H201	X:66	Y:25 
[2024/8/22 12:2:26] 物品:强效魔法药	怪物:2CBA8BA0尸王8	地图:H201	X:66	Y:25 
[2024/8/22 12:2:26] 物品:强效魔法药	怪物:2CBA8BA0尸王8	地图:H201	X:66	Y:25 
[2024/8/22 12:2:26] 物品:骷髅戒指	怪物:2CBA8BA0尸王8	地图:H201	X:66	Y:25 
[2024/8/22 12:2:26] 物品:黑檀手镯	怪物:2CBA8BA0尸王8	地图:H201	X:66	Y:25 
[2024/8/22 12:2:29] 物品:太阳水	怪物:2B140A50花吻蜘蛛	地图:D10051	X:104	Y:175 
[2024/8/22 12:2:29] 物品:强效金创药	怪物:2B140A50花吻蜘蛛	地图:D10051	X:104	Y:175 
[2024/8/22 12:2:29] 物品:强效魔法药	怪物:2B140A50花吻蜘蛛	地图:D10051	X:104	Y:175 
[2024/8/22 12:2:31] 物品:强效太阳水	怪物:28E28960尸王8	地图:H201	X:67	Y:23 
[2024/8/22 12:2:31] 物品:强效太阳水	怪物:28E28960尸王8	地图:H201	X:67	Y:23 
[2024/8/22 12:2:31] 物品:强效太阳水	怪物:28E28960尸王8	地图:H201	X:67	Y:23 
[2024/8/22 12:2:31] 物品:强效太阳水	怪物:28E28960尸王8	地图:H201	X:67	Y:23 
[2024/8/22 12:2:31] 物品:强效太阳水	怪物:28E28960尸王8	地图:H201	X:67	Y:23 
[2024/8/22 12:2:31] 物品:强效金创药	怪物:28E28960尸王8	地图:H201	X:67	Y:23 
[2024/8/22 12:2:31] 物品:强效金创药	怪物:28E28960尸王8	地图:H201	X:67	Y:23 
[2024/8/22 12:2:31] 物品:强效魔法药	怪物:28E28960尸王8	地图:H201	X:67	Y:23 
[2024/8/22 12:2:31] 物品:强效魔法药	怪物:28E28960尸王8	地图:H201	X:67	Y:23 
[2024/8/22 12:2:31] 物品:魅力戒指	怪物:28E28960尸王8	地图:H201	X:67	Y:23 
[2024/8/22 12:2:31] 物品:魔力手镯	怪物:28E28960尸王8	地图:H201	X:67	Y:23 
[2024/8/22 12:2:31] 物品:困魔咒	怪物:28E28960尸王8	地图:H201	X:67	Y:23 
[2024/8/22 12:2:38] 物品:太阳水	怪物:24B47860天狼蜘蛛0	地图:11	X:203	Y:363 
[2024/8/22 12:2:38] 物品:太阳水	怪物:24B47860天狼蜘蛛0	地图:11	X:203	Y:363 
[2024/8/22 12:2:38] 物品:太阳水	怪物:24B47860天狼蜘蛛0	地图:11	X:203	Y:363 
[2024/8/22 12:2:38] 物品:太阳水	怪物:24B47860天狼蜘蛛0	地图:11	X:203	Y:363 
[2024/8/22 12:2:38] 物品:金创药(中量)	怪物:24B47860天狼蜘蛛0	地图:11	X:203	Y:363 
[2024/8/22 12:2:38] 物品:金创药(中量)	怪物:24B47860天狼蜘蛛0	地图:11	X:203	Y:363 
[2024/8/22 12:2:38] 物品:金创药(中量)	怪物:24B47860天狼蜘蛛0	地图:11	X:203	Y:363 
[2024/8/22 12:2:38] 物品:金创药(中量)	怪物:24B47860天狼蜘蛛0	地图:11	X:203	Y:363 
[2024/8/22 12:2:38] 物品:魔法药(中量)	怪物:24B47860天狼蜘蛛0	地图:11	X:203	Y:363 
[2024/8/22 12:2:38] 物品:魔法药(中量)	怪物:24B47860天狼蜘蛛0	地图:11	X:203	Y:363 
[2024/8/22 12:2:38] 物品:魔法药(中量)	怪物:24B47860天狼蜘蛛0	地图:11	X:203	Y:363 
[2024/8/22 12:2:38] 物品:魔法药(中量)	怪物:24B47860天狼蜘蛛0	地图:11	X:203	Y:363 
[2024/8/22 12:2:38] 物品:强效金创药	怪物:24B47860天狼蜘蛛0	地图:11	X:203	Y:363 
[2024/8/22 12:2:38] 物品:强效金创药	怪物:24B47860天狼蜘蛛0	地图:11	X:203	Y:363 
[2024/8/22 12:2:38] 物品:强效金创药	怪物:24B47860天狼蜘蛛0	地图:11	X:203	Y:363 
[2024/8/22 12:2:38] 物品:强效金创药	怪物:24B47860天狼蜘蛛0	地图:11	X:203	Y:363 
[2024/8/22 12:2:38] 物品:强效魔法药	怪物:24B47860天狼蜘蛛0	地图:11	X:203	Y:363 
[2024/8/22 12:2:38] 物品:强效魔法药	怪物:24B47860天狼蜘蛛0	地图:11	X:203	Y:363 
[2024/8/22 12:2:38] 物品:强效魔法药	怪物:24B47860天狼蜘蛛0	地图:11	X:203	Y:363 
[2024/8/22 12:2:38] 物品:强效魔法药	怪物:24B47860天狼蜘蛛0	地图:11	X:203	Y:363 
[2024/8/22 12:2:38] 物品:魔法长袍(男)	怪物:24B47860天狼蜘蛛0	地图:11	X:203	Y:363 
[2024/8/22 12:2:38] 物品:灵魂战衣(女)	怪物:24B47860天狼蜘蛛0	地图:11	X:203	Y:363 
[2024/8/22 12:2:42] 物品:金手镯	怪物:2D36D190祖玛雕像8	地图:H204	X:77	Y:34 
[2024/8/22 12:2:44] 物品:太阳水	怪物:2B325110黑锷蜘蛛	地图:D10051	X:100	Y:180 
[2024/8/22 12:2:44] 物品:强效金创药	怪物:2B325110黑锷蜘蛛	地图:D10051	X:100	Y:180 
[2024/8/22 12:2:44] 物品:强效魔法药	怪物:2B325110黑锷蜘蛛	地图:D10051	X:100	Y:180 
[2024/8/22 12:2:50] 物品:强效太阳水	怪物:1ACB4DB0尸王8	地图:H201	X:78	Y:19 
[2024/8/22 12:2:50] 物品:强效太阳水	怪物:1ACB4DB0尸王8	地图:H201	X:78	Y:19 
[2024/8/22 12:2:50] 物品:强效太阳水	怪物:1ACB4DB0尸王8	地图:H201	X:78	Y:19 
[2024/8/22 12:2:50] 物品:强效太阳水	怪物:1ACB4DB0尸王8	地图:H201	X:78	Y:19 
[2024/8/22 12:2:50] 物品:强效太阳水	怪物:1ACB4DB0尸王8	地图:H201	X:78	Y:19 
[2024/8/22 12:2:50] 物品:强效金创药	怪物:1ACB4DB0尸王8	地图:H201	X:78	Y:19 
[2024/8/22 12:2:50] 物品:强效金创药	怪物:1ACB4DB0尸王8	地图:H201	X:78	Y:19 
[2024/8/22 12:2:50] 物品:强效魔法药	怪物:1ACB4DB0尸王8	地图:H201	X:78	Y:19 
[2024/8/22 12:2:50] 物品:强效魔法药	怪物:1ACB4DB0尸王8	地图:H201	X:78	Y:19 
[2024/8/22 12:2:50] 物品:生铁戒指	怪物:1ACB4DB0尸王8	地图:H201	X:78	Y:19 
[2024/8/22 12:2:50] 物品:死神手套	怪物:1ACB4DB0尸王8	地图:H201	X:78	Y:19 
[2024/8/22 12:2:50] 物品:野蛮冲撞	怪物:1ACB4DB0尸王8	地图:H201	X:78	Y:19 
[2024/8/22 12:2:54] 物品:金创药(小量)	怪物:246742A0僵尸4	地图:H201	X:78	Y:23 
[2024/8/22 12:2:57] 物品:金创药(小量)	怪物:29FBFB30僵尸5	地图:H201	X:81	Y:23 
[2024/8/22 12:3:7] 物品:太阳水	怪物:25F1DA10祖玛卫士8	地图:H204	X:81	Y:20 
[2024/8/22 12:3:7] 物品:强效金创药	怪物:28AC2000魔龙教主	地图:66	X:256	Y:212 
[2024/8/22 12:3:7] 物品:强效魔法药	怪物:28AC2000魔龙教主	地图:66	X:256	Y:212 
[2024/8/22 12:3:7] 物品:强效魔法药	怪物:28AC2000魔龙教主	地图:66	X:256	Y:212 
[2024/8/22 12:3:7] 物品:强效金创药	怪物:28AC2000魔龙教主	地图:66	X:256	Y:212 
