[2024/8/19 13:0:2] 物品:魔法药(小量)	怪物:03B19080僵尸4	地图:H201	X:149	Y:37 
[2024/8/19 13:0:13] 物品:金创药(小量)	怪物:31A4E1F0骷髅战士	地图:D002	X:192	Y:202 
[2024/8/19 13:0:13] 物品:魔法药(小量)	怪物:31A4E1F0骷髅战士	地图:D002	X:192	Y:202 
[2024/8/19 13:0:15] 物品:集体隐身术	怪物:30997F10僵尸2	地图:D401	X:145	Y:63 
[2024/8/19 13:0:18] 物品:绿色项链	怪物:0513D430魔龙刀兵1	地图:66	X:175	Y:139 
[2024/8/19 13:0:20] 物品:斩马刀	怪物:1C1528A0祖玛弓箭手8	地图:H204	X:60	Y:56 
[2024/8/19 13:0:20] 物品:骷髅头盔	怪物:1C1528A0祖玛弓箭手8	地图:H204	X:60	Y:56 
[2024/8/19 13:0:25] 物品:金创药(小量)	怪物:31AD8080僵尸5	地图:H201	X:102	Y:102 
[2024/8/19 13:0:32] 物品:金创药(小量)	怪物:1E4791A0僵尸5	地图:H201	X:162	Y:60 
[2024/8/19 13:0:40] 物品:太阳水	怪物:19DC35D0黑色恶蛆8	地图:H004	X:173	Y:110 
[2024/8/19 13:0:42] 物品:强效太阳水	怪物:1B705DF0半兽统领	地图:11	X:153	Y:288 
[2024/8/19 13:0:42] 物品:强效太阳水	怪物:1B705DF0半兽统领	地图:11	X:153	Y:288 
[2024/8/19 13:0:42] 物品:强效太阳水	怪物:1B705DF0半兽统领	地图:11	X:153	Y:288 
[2024/8/19 13:0:42] 物品:强效太阳水	怪物:1B705DF0半兽统领	地图:11	X:153	Y:288 
[2024/8/19 13:0:42] 物品:太阳水	怪物:1B705DF0半兽统领	地图:11	X:153	Y:288 
[2024/8/19 13:0:42] 物品:太阳水	怪物:1B705DF0半兽统领	地图:11	X:153	Y:288 
[2024/8/19 13:0:42] 物品:疗伤药	怪物:1B705DF0半兽统领	地图:11	X:153	Y:288 
[2024/8/19 13:0:42] 物品:疗伤药	怪物:1B705DF0半兽统领	地图:11	X:153	Y:288 
[2024/8/19 13:0:42] 物品:强效太阳水	怪物:1B705DF0半兽统领	地图:11	X:153	Y:288 
[2024/8/19 13:0:42] 物品:强效太阳水	怪物:1B705DF0半兽统领	地图:11	X:153	Y:288 
[2024/8/19 13:0:42] 物品:强效金创药	怪物:1B705DF0半兽统领	地图:11	X:153	Y:288 
[2024/8/19 13:0:42] 物品:强效金创药	怪物:1B705DF0半兽统领	地图:11	X:153	Y:288 
[2024/8/19 13:0:42] 物品:强效金创药	怪物:1B705DF0半兽统领	地图:11	X:153	Y:288 
[2024/8/19 13:0:42] 物品:强效金创药	怪物:1B705DF0半兽统领	地图:11	X:153	Y:288 
[2024/8/19 13:0:42] 物品:强效魔法药	怪物:1B705DF0半兽统领	地图:11	X:153	Y:288 
[2024/8/19 13:0:42] 物品:强效魔法药	怪物:1B705DF0半兽统领	地图:11	X:153	Y:288 
[2024/8/19 13:0:42] 物品:强效魔法药	怪物:1B705DF0半兽统领	地图:11	X:153	Y:288 
[2024/8/19 13:0:42] 物品:强效魔法药	怪物:1B705DF0半兽统领	地图:11	X:153	Y:288 
[2024/8/19 13:0:42] 物品:灵魂战衣(男)	怪物:1B705DF0半兽统领	地图:11	X:153	Y:288 
[2024/8/19 13:0:42] 物品:魔法长袍(男)	怪物:1B705DF0半兽统领	地图:11	X:153	Y:288 
[2024/8/19 13:0:42] 物品:金戒指	怪物:1B705DF0半兽统领	地图:11	X:153	Y:288 
[2024/8/19 13:0:42] 物品:金手镯	怪物:1B705DF0半兽统领	地图:11	X:153	Y:288 
[2024/8/19 13:0:42] 物品:魅力戒指	怪物:1B705DF0半兽统领	地图:11	X:153	Y:288 
[2024/8/19 13:0:42] 物品:黑檀手镯	怪物:1B705DF0半兽统领	地图:11	X:153	Y:288 
[2024/8/19 13:0:42] 物品:白色虎齿项链	怪物:1B705DF0半兽统领	地图:11	X:153	Y:288 
[2024/8/19 13:0:42] 物品:骷髅戒指	怪物:1B705DF0半兽统领	地图:11	X:153	Y:288 
[2024/8/19 13:0:43] 物品:生铁戒指	怪物:2A7B3130祖玛雕像8	地图:H204	X:20	Y:38 
[2024/8/19 13:0:43] 物品:强效金创药	怪物:2357DF80魔龙射手2	地图:66	X:170	Y:129 
[2024/8/19 13:0:45] 物品:八荒	怪物:28B53490祖玛卫士8	地图:H204	X:20	Y:39 
[2024/8/19 13:0:45] 物品:凝霜	怪物:28B53490祖玛卫士8	地图:H204	X:20	Y:39 
[2024/8/19 13:0:45] 物品:道德戒指	怪物:28B53490祖玛卫士8	地图:H204	X:20	Y:39 
[2024/8/19 13:0:46] 物品:金手镯	怪物:295EB820奴隶	地图:F004	X:61	Y:54 
[2024/8/19 13:0:46] 物品:强效太阳水	怪物:295EB820奴隶	地图:F004	X:61	Y:54 
[2024/8/19 13:0:46] 物品:强效太阳水	怪物:295EB820奴隶	地图:F004	X:61	Y:54 
[2024/8/19 13:0:46] 物品:太阳水	怪物:295EB820奴隶	地图:F004	X:61	Y:54 
[2024/8/19 13:0:46] 物品:强效魔法药	怪物:295EB820奴隶	地图:F004	X:61	Y:54 
[2024/8/19 13:0:48] 物品:治愈术	怪物:2BCB3BC0僵尸1	地图:H201	X:101	Y:95 
[2024/8/19 13:0:50] 物品:放大镜	怪物:1EF8B570祖玛卫士8	地图:H204	X:12	Y:46 
[2024/8/19 13:0:54] 物品:隐身术	怪物:31E1DC40恶灵尸王	地图:H201	X:148	Y:30 
[2024/8/19 13:0:54] 物品:灵魂火符	怪物:31E1DC40恶灵尸王	地图:H201	X:148	Y:30 
[2024/8/19 13:0:54] 物品:召唤骷髅	怪物:31E1DC40恶灵尸王	地图:H201	X:148	Y:30 
[2024/8/19 13:0:54] 物品:魔法手镯	怪物:1A5C8A90祖玛卫士8	地图:H204	X:13	Y:49 
[2024/8/19 13:0:54] 物品:道士手镯	怪物:1A5C8A90祖玛卫士8	地图:H204	X:13	Y:49 
[2024/8/19 13:0:58] 物品:强效太阳水	怪物:2FB351C0魔龙破甲兵	地图:66	X:201	Y:199 
[2024/8/19 13:0:58] 物品:重盔甲(女)	怪物:2FB351C0魔龙破甲兵	地图:66	X:201	Y:199 
[2024/8/19 13:1:0] 物品:隐身术	怪物:1A139100恶灵尸王	地图:H201	X:150	Y:31 
[2024/8/19 13:1:0] 物品:施毒术	怪物:1A139100恶灵尸王	地图:H201	X:150	Y:31 
[2024/8/19 13:1:0] 物品:金创药(小量)	怪物:2A824600僵尸4	地图:H201	X:150	Y:32 
[2024/8/19 13:1:1] 物品:魔法药(小量)	怪物:2DE51290僵尸4	地图:H201	X:92	Y:99 
[2024/8/19 13:1:5] 物品:强效太阳水	怪物:1EF649B0奴隶	地图:F004	X:61	Y:53 
[2024/8/19 13:1:5] 物品:强效金创药	怪物:1EF649B0奴隶	地图:F004	X:61	Y:53 
[2024/8/19 13:1:5] 物品:狂风戒指	怪物:1EF649B0奴隶	地图:F004	X:61	Y:53 
[2024/8/19 13:1:6] 物品:魔法药(小量)	怪物:2AA0A5E0僵尸3	地图:D401	X:39	Y:180 
[2024/8/19 13:1:7] 物品:魔法药(小量)	怪物:2B375B00僵尸5	地图:H201	X:137	Y:29 
[2024/8/19 13:1:10] 物品:金创药(小量)	怪物:31D46900僵尸5	地图:H201	X:95	Y:99 
[2024/8/19 13:1:10] 物品:魔法力药水	怪物:31D46900僵尸5	地图:H201	X:95	Y:99 
[2024/8/19 13:1:15] 物品:强效金创药	怪物:186FBCB0魔龙刀兵1	地图:66	X:228	Y:207 
[2024/8/19 13:1:15] 物品:强效魔法药	怪物:186FBCB0魔龙刀兵1	地图:66	X:228	Y:207 
[2024/8/19 13:1:17] 物品:金创药(小量)	怪物:2DEE8640僵尸5	地图:H201	X:92	Y:92 
[2024/8/19 13:1:19] 物品:斩马刀	怪物:06425A60奴隶	地图:F004	X:61	Y:54 
[2024/8/19 13:1:19] 物品:强效金创药	怪物:06425A60奴隶	地图:F004	X:61	Y:54 
[2024/8/19 13:1:19] 物品:强效金创药	怪物:06425A60奴隶	地图:F004	X:61	Y:54 
[2024/8/19 13:1:19] 物品:强效魔法药	怪物:06425A60奴隶	地图:F004	X:61	Y:54 
[2024/8/19 13:1:21] 物品:诱惑之光	怪物:0D828450僵尸5	地图:H201	X:122	Y:24 
[2024/8/19 13:1:22] 物品:精神力药水	怪物:07CBED70僵尸4	地图:H201	X:92	Y:86 
[2024/8/19 13:1:24] 物品:金创药(小量)	怪物:17DD8A10僵尸4	地图:H201	X:120	Y:20 
[2024/8/19 13:1:27] 物品:强效太阳水	怪物:06326820白野猪8	地图:H204	X:54	Y:91 
[2024/8/19 13:1:27] 物品:强效太阳水	怪物:06326820白野猪8	地图:H204	X:54	Y:91 
[2024/8/19 13:1:27] 物品:强效太阳水	怪物:06326820白野猪8	地图:H204	X:54	Y:91 
[2024/8/19 13:1:27] 物品:强效太阳水	怪物:06326820白野猪8	地图:H204	X:54	Y:91 
[2024/8/19 13:1:27] 物品:强效太阳水	怪物:06326820白野猪8	地图:H204	X:54	Y:91 
[2024/8/19 13:1:27] 物品:强效太阳水	怪物:06326820白野猪8	地图:H204	X:54	Y:91 
[2024/8/19 13:1:27] 物品:强效太阳水	怪物:06326820白野猪8	地图:H204	X:54	Y:91 
[2024/8/19 13:1:27] 物品:强效太阳水	怪物:06326820白野猪8	地图:H204	X:54	Y:91 
[2024/8/19 13:1:27] 物品:强效太阳水	怪物:06326820白野猪8	地图:H204	X:54	Y:91 
[2024/8/19 13:1:27] 物品:强效太阳水	怪物:06326820白野猪8	地图:H204	X:54	Y:91 
[2024/8/19 13:1:27] 物品:太阳水	怪物:06326820白野猪8	地图:H204	X:54	Y:91 
[2024/8/19 13:1:27] 物品:太阳水	怪物:06326820白野猪8	地图:H204	X:54	Y:91 
[2024/8/19 13:1:27] 物品:太阳水	怪物:06326820白野猪8	地图:H204	X:54	Y:91 
[2024/8/19 13:1:27] 物品:太阳水	怪物:06326820白野猪8	地图:H204	X:54	Y:91 
[2024/8/19 13:1:27] 物品:太阳水	怪物:06326820白野猪8	地图:H204	X:54	Y:91 
[2024/8/19 13:1:27] 物品:太阳水	怪物:06326820白野猪8	地图:H204	X:54	Y:91 
[2024/8/19 13:1:27] 物品:太阳水	怪物:06326820白野猪8	地图:H204	X:54	Y:91 
[2024/8/19 13:1:27] 物品:太阳水	怪物:06326820白野猪8	地图:H204	X:54	Y:91 
[2024/8/19 13:1:27] 物品:太阳水	怪物:06326820白野猪8	地图:H204	X:54	Y:91 
[2024/8/19 13:1:27] 物品:太阳水	怪物:06326820白野猪8	地图:H204	X:54	Y:91 
[2024/8/19 13:1:27] 物品:金创药(中量)	怪物:06326820白野猪8	地图:H204	X:54	Y:91 
[2024/8/19 13:1:27] 物品:金创药(中量)	怪物:06326820白野猪8	地图:H204	X:54	Y:91 
[2024/8/19 13:1:27] 物品:金创药(中量)	怪物:06326820白野猪8	地图:H204	X:54	Y:91 
[2024/8/19 13:1:27] 物品:强效金创药	怪物:06326820白野猪8	地图:H204	X:54	Y:91 
[2024/8/19 13:1:27] 物品:强效金创药	怪物:06326820白野猪8	地图:H204	X:54	Y:91 
[2024/8/19 13:1:27] 物品:强效金创药	怪物:06326820白野猪8	地图:H204	X:54	Y:91 
[2024/8/19 13:1:27] 物品:魔法药(中量)	怪物:06326820白野猪8	地图:H204	X:54	Y:91 
[2024/8/19 13:1:27] 物品:魔法药(中量)	怪物:06326820白野猪8	地图:H204	X:54	Y:91 
[2024/8/19 13:1:27] 物品:魔法药(中量)	怪物:06326820白野猪8	地图:H204	X:54	Y:91 
[2024/8/19 13:1:27] 物品:强效魔法药	怪物:06326820白野猪8	地图:H204	X:54	Y:91 
[2024/8/19 13:1:27] 物品:强效魔法药	怪物:06326820白野猪8	地图:H204	X:54	Y:91 
[2024/8/19 13:1:27] 物品:强效魔法药	怪物:06326820白野猪8	地图:H204	X:54	Y:91 
[2024/8/19 13:1:27] 物品:强效金创药	怪物:06326820白野猪8	地图:H204	X:54	Y:91 
[2024/8/19 13:1:27] 物品:强效金创药	怪物:06326820白野猪8	地图:H204	X:54	Y:91 
[2024/8/19 13:1:27] 物品:强效金创药	怪物:06326820白野猪8	地图:H204	X:54	Y:91 
[2024/8/19 13:1:27] 物品:强效金创药	怪物:06326820白野猪8	地图:H204	X:54	Y:91 
[2024/8/19 13:1:27] 物品:强效金创药	怪物:06326820白野猪8	地图:H204	X:54	Y:91 
[2024/8/19 13:1:27] 物品:强效金创药	怪物:06326820白野猪8	地图:H204	X:54	Y:91 
[2024/8/19 13:1:27] 物品:强效魔法药	怪物:06326820白野猪8	地图:H204	X:54	Y:91 
[2024/8/19 13:1:27] 物品:强效魔法药	怪物:06326820白野猪8	地图:H204	X:54	Y:91 
[2024/8/19 13:1:27] 物品:强效魔法药	怪物:06326820白野猪8	地图:H204	X:54	Y:91 
[2024/8/19 13:1:27] 物品:强效魔法药	怪物:06326820白野猪8	地图:H204	X:54	Y:91 
[2024/8/19 13:1:27] 物品:强效魔法药	怪物:06326820白野猪8	地图:H204	X:54	Y:91 
[2024/8/19 13:1:27] 物品:强效魔法药	怪物:06326820白野猪8	地图:H204	X:54	Y:91 
[2024/8/19 13:1:31] 物品:太阳水	怪物:226F9EA0祖玛雕像8	地图:H204	X:53	Y:93 
[2024/8/19 13:1:33] 物品:金创药(小量)	怪物:1A295DE0骷髅战士	地图:D002	X:228	Y:241 
[2024/8/19 13:1:34] 物品:强效魔法药	怪物:23C853F0魔龙射手	地图:66	X:201	Y:204 
[2024/8/19 13:1:34] 物品:道士手镯	怪物:23C853F0魔龙射手	地图:66	X:201	Y:204 
[2024/8/19 13:1:36] 物品:魔法长袍(男)	怪物:2925FD80跳跳蜂8	地图:H001	X:75	Y:22 
[2024/8/19 13:1:37] 物品:魔法药(小量)	怪物:236BDF80僵尸3	地图:D401	X:154	Y:39 
[2024/8/19 13:1:41] 物品:魔法药(小量)	怪物:2064F340僵尸5	地图:H201	X:94	Y:95 
[2024/8/19 13:1:42] 物品:降魔	怪物:2321FD80奴隶	地图:F004	X:61	Y:53 
[2024/8/19 13:1:42] 物品:强效太阳水	怪物:2321FD80奴隶	地图:F004	X:61	Y:53 
[2024/8/19 13:1:42] 物品:强效太阳水	怪物:2321FD80奴隶	地图:F004	X:61	Y:53 
[2024/8/19 13:1:42] 物品:强效魔法药	怪物:2321FD80奴隶	地图:F004	X:61	Y:53 
[2024/8/19 13:1:46] 物品:太阳水	怪物:1EC61DB0僵尸5	地图:H201	X:104	Y:10 
[2024/8/19 13:1:54] 物品:金创药(小量)	怪物:1C98BF30僵尸5	地图:H201	X:92	Y:21 
[2024/8/19 13:1:56] 物品:强效太阳水	怪物:1CB88870奴隶	地图:F004	X:60	Y:53 
[2024/8/19 13:2:0] 物品:魔法药(小量)	怪物:2DEE8640僵尸5	地图:H201	X:91	Y:93 
[2024/8/19 13:2:4] 物品:刺杀剑术	怪物:19465F40恶灵尸王	地图:H201	X:92	Y:20 
[2024/8/19 13:2:4] 物品:攻杀剑术	怪物:19465F40恶灵尸王	地图:H201	X:92	Y:20 
[2024/8/19 13:2:4] 物品:地狱火	怪物:19465F40恶灵尸王	地图:H201	X:92	Y:20 
[2024/8/19 13:2:6] 物品:强效魔法药	怪物:0DA35D90魔龙破甲兵2	地图:66	X:163	Y:179 
[2024/8/19 13:2:6] 物品:金创药(小量)	怪物:2AA0A5E0僵尸3	地图:D401	X:42	Y:178 
[2024/8/19 13:2:6] 物品:魔法药(小量)	怪物:309EDFC0僵尸5	地图:H201	X:94	Y:21 
[2024/8/19 13:2:11] 物品:精神力战法	怪物:2BF03840僵尸1	地图:H201	X:92	Y:21 
[2024/8/19 13:2:14] 物品:金戒指	怪物:28561080奴隶	地图:F004	X:59	Y:53 
[2024/8/19 13:2:14] 物品:强效太阳水	怪物:28561080奴隶	地图:F004	X:59	Y:53 
[2024/8/19 13:2:14] 物品:强效魔法药	怪物:28561080奴隶	地图:F004	X:59	Y:53 
[2024/8/19 13:2:18] 物品:金创药(小量)	怪物:191DC3F0僵尸5	地图:H201	X:87	Y:112 
[2024/8/19 13:2:23] 物品:金创药(小量)	怪物:27A14D10僵尸4	地图:H201	X:87	Y:112 
[2024/8/19 13:2:26] 物品:魔法药(小量)	怪物:1B66DF80僵尸4	地图:H201	X:97	Y:34 
[2024/8/19 13:2:27] 物品:魔法药(小量)	怪物:31D46900僵尸5	地图:H201	X:87	Y:110 
[2024/8/19 13:2:27] 物品:魔法力药水	怪物:31D46900僵尸5	地图:H201	X:87	Y:110 
[2024/8/19 13:2:33] 物品:火球术	怪物:2064F340僵尸5	地图:H201	X:87	Y:110 
[2024/8/19 13:2:40] 物品:隐身术	怪物:22776670恶灵尸王	地图:H201	X:87	Y:112 
[2024/8/19 13:2:40] 物品:诱惑之光	怪物:22776670恶灵尸王	地图:H201	X:87	Y:112 
[2024/8/19 13:2:41] 物品:神圣战甲术	怪物:2F37FCE0僵尸1	地图:H201	X:99	Y:46 
[2024/8/19 13:2:41] 物品:太阳水	怪物:1B5E1D50奴隶	地图:F004	X:51	Y:56 
[2024/8/19 13:2:45] 物品:强效太阳水	怪物:2A2017F0尸王8	地图:H201	X:86	Y:111 
[2024/8/19 13:2:45] 物品:强效太阳水	怪物:2A2017F0尸王8	地图:H201	X:86	Y:111 
[2024/8/19 13:2:45] 物品:强效太阳水	怪物:2A2017F0尸王8	地图:H201	X:86	Y:111 
[2024/8/19 13:2:45] 物品:强效太阳水	怪物:2A2017F0尸王8	地图:H201	X:86	Y:111 
[2024/8/19 13:2:45] 物品:强效太阳水	怪物:2A2017F0尸王8	地图:H201	X:86	Y:111 
[2024/8/19 13:2:45] 物品:强效金创药	怪物:2A2017F0尸王8	地图:H201	X:86	Y:111 
[2024/8/19 13:2:45] 物品:强效金创药	怪物:2A2017F0尸王8	地图:H201	X:86	Y:111 
[2024/8/19 13:2:45] 物品:强效魔法药	怪物:2A2017F0尸王8	地图:H201	X:86	Y:111 
[2024/8/19 13:2:45] 物品:强效魔法药	怪物:2A2017F0尸王8	地图:H201	X:86	Y:111 
[2024/8/19 13:2:45] 物品:黑色水晶戒指	怪物:2A2017F0尸王8	地图:H201	X:86	Y:111 
[2024/8/19 13:2:45] 物品:蛇眼戒指	怪物:2A2017F0尸王8	地图:H201	X:86	Y:111 
[2024/8/19 13:2:45] 物品:死神手套	怪物:2A2017F0尸王8	地图:H201	X:86	Y:111 
[2024/8/19 13:2:45] 物品:魅力戒指	怪物:2A2017F0尸王8	地图:H201	X:86	Y:111 
[2024/8/19 13:2:45] 物品:金创药(小量)	怪物:1C4B6AC0骷髅战士	地图:D002	X:243	Y:265 
[2024/8/19 13:2:45] 物品:金创药(小量)	怪物:28BC9100僵尸4	地图:H201	X:97	Y:34 
[2024/8/19 13:2:53] 物品:强效太阳水	怪物:054B6CE0尸王8	地图:H201	X:88	Y:112 
[2024/8/19 13:2:53] 物品:强效太阳水	怪物:054B6CE0尸王8	地图:H201	X:88	Y:112 
[2024/8/19 13:2:53] 物品:强效太阳水	怪物:054B6CE0尸王8	地图:H201	X:88	Y:112 
[2024/8/19 13:2:53] 物品:强效太阳水	怪物:054B6CE0尸王8	地图:H201	X:88	Y:112 
[2024/8/19 13:2:53] 物品:强效太阳水	怪物:054B6CE0尸王8	地图:H201	X:88	Y:112 
[2024/8/19 13:2:53] 物品:强效金创药	怪物:054B6CE0尸王8	地图:H201	X:88	Y:112 
[2024/8/19 13:2:53] 物品:强效金创药	怪物:054B6CE0尸王8	地图:H201	X:88	Y:112 
[2024/8/19 13:2:53] 物品:强效魔法药	怪物:054B6CE0尸王8	地图:H201	X:88	Y:112 
[2024/8/19 13:2:53] 物品:强效魔法药	怪物:054B6CE0尸王8	地图:H201	X:88	Y:112 
[2024/8/19 13:2:53] 物品:珍珠戒指	怪物:054B6CE0尸王8	地图:H201	X:88	Y:112 
[2024/8/19 13:2:53] 物品:黑檀手镯	怪物:054B6CE0尸王8	地图:H201	X:88	Y:112 
[2024/8/19 13:2:53] 物品:魔力手镯	怪物:054B6CE0尸王8	地图:H201	X:88	Y:112 
[2024/8/19 13:2:53] 物品:困魔咒	怪物:054B6CE0尸王8	地图:H201	X:88	Y:112 
[2024/8/19 13:2:53] 物品:野蛮冲撞	怪物:054B6CE0尸王8	地图:H201	X:88	Y:112 
[2024/8/19 13:2:54] 物品:金创药(小量)	怪物:278AF780僵尸4	地图:H201	X:109	Y:18 
[2024/8/19 13:2:58] 物品:金创药(小量)	怪物:184953F0僵尸5	地图:H201	X:97	Y:109 
[2024/8/19 13:3:4] 物品:魔法药(小量)	怪物:28028450山洞蝙蝠	地图:D002	X:263	Y:261 
[2024/8/19 13:3:5] 物品:强效魔法药	怪物:27409830魔龙破甲兵	地图:66	X:67	Y:82 
[2024/8/19 13:3:10] 物品:强效魔法药	怪物:18C664C0魔龙刀兵1	地图:66	X:66	Y:82 
[2024/8/19 13:3:11] 物品:爆裂火焰	怪物:27EF23E0僵尸1	地图:H201	X:105	Y:119 
[2024/8/19 13:3:13] 物品:苹果	怪物:2AA4D540魔龙破甲兵	地图:66	X:65	Y:81 
[2024/8/19 13:3:17] 物品:金创药(小量)	怪物:2964B010僵尸4	地图:H201	X:100	Y:118 
[2024/8/19 13:3:22] 物品:金创药(中量)	怪物:188BD540骷髅战将	地图:D002	X:270	Y:268 
[2024/8/19 13:3:26] 物品:强效太阳水	怪物:1A6F15A0尸王8	地图:H201	X:102	Y:117 
[2024/8/19 13:3:26] 物品:强效太阳水	怪物:1A6F15A0尸王8	地图:H201	X:102	Y:117 
[2024/8/19 13:3:26] 物品:强效太阳水	怪物:1A6F15A0尸王8	地图:H201	X:102	Y:117 
[2024/8/19 13:3:26] 物品:强效太阳水	怪物:1A6F15A0尸王8	地图:H201	X:102	Y:117 
[2024/8/19 13:3:26] 物品:强效太阳水	怪物:1A6F15A0尸王8	地图:H201	X:102	Y:117 
[2024/8/19 13:3:26] 物品:强效金创药	怪物:1A6F15A0尸王8	地图:H201	X:102	Y:117 
[2024/8/19 13:3:26] 物品:强效金创药	怪物:1A6F15A0尸王8	地图:H201	X:102	Y:117 
[2024/8/19 13:3:26] 物品:强效魔法药	怪物:1A6F15A0尸王8	地图:H201	X:102	Y:117 
[2024/8/19 13:3:26] 物品:强效魔法药	怪物:1A6F15A0尸王8	地图:H201	X:102	Y:117 
[2024/8/19 13:3:26] 物品:生铁戒指	怪物:1A6F15A0尸王8	地图:H201	X:102	Y:117 
[2024/8/19 13:3:26] 物品:黑檀手镯	怪物:1A6F15A0尸王8	地图:H201	X:102	Y:117 
[2024/8/19 13:3:28] 物品:金创药(中量)	怪物:23C46AC0恶灵尸王	地图:H201	X:60	Y:24 
[2024/8/19 13:3:28] 物品:隐身术	怪物:23C46AC0恶灵尸王	地图:H201	X:60	Y:24 
[2024/8/19 13:3:28] 物品:大火球	怪物:23C46AC0恶灵尸王	地图:H201	X:60	Y:24 
[2024/8/19 13:3:31] 物品:强效魔法药	怪物:2B42F010魔龙破甲兵2	地图:66	X:67	Y:82 
[2024/8/19 13:3:31] 物品:魔法药(中量)	怪物:1885C160僵尸1	地图:H201	X:60	Y:26 
[2024/8/19 13:3:32] 物品:金创药(小量)	怪物:1AAE4910山洞蝙蝠	地图:D002	X:275	Y:283 
[2024/8/19 13:3:38] 物品:强效金创药	怪物:24AD0B60魔龙邪眼1	地图:66	X:69	Y:81 
[2024/8/19 13:3:42] 物品:强效魔法药	怪物:18A17AD0魔龙刀兵2	地图:66	X:67	Y:84 
[2024/8/19 13:3:43] 物品:骷髅头盔	怪物:1F0EE460魔龙破甲兵	地图:66	X:68	Y:83 
[2024/8/19 13:3:44] 物品:青铜头盔	怪物:061EFF30骷髅战士0	地图:D002	X:284	Y:286 
[2024/8/19 13:3:44] 物品:金创药(中量)	怪物:061EFF30骷髅战士0	地图:D002	X:284	Y:286 
[2024/8/19 13:3:44] 物品:金创药(中量)	怪物:061EFF30骷髅战士0	地图:D002	X:284	Y:286 
[2024/8/19 13:3:44] 物品:金创药(中量)	怪物:061EFF30骷髅战士0	地图:D002	X:284	Y:286 
[2024/8/19 13:3:44] 物品:金创药(中量)	怪物:061EFF30骷髅战士0	地图:D002	X:284	Y:286 
[2024/8/19 13:3:44] 物品:魔法药(中量)	怪物:061EFF30骷髅战士0	地图:D002	X:284	Y:286 
[2024/8/19 13:3:44] 物品:魔法药(中量)	怪物:061EFF30骷髅战士0	地图:D002	X:284	Y:286 
[2024/8/19 13:3:44] 物品:魔法药(中量)	怪物:061EFF30骷髅战士0	地图:D002	X:284	Y:286 
[2024/8/19 13:3:44] 物品:魔法药(中量)	怪物:061EFF30骷髅战士0	地图:D002	X:284	Y:286 
[2024/8/19 13:3:46] 物品:太阳水	怪物:2C92DBD0僵尸5	地图:H201	X:57	Y:32 
[2024/8/19 13:3:47] 物品:强效金创药	怪物:24573A10魔龙刀兵	地图:66	X:69	Y:82 
[2024/8/19 13:3:50] 物品:蓝翡翠项链	怪物:27D389F0奴隶	地图:F004	X:76	Y:79 
[2024/8/19 13:3:50] 物品:破魂	怪物:27D389F0奴隶	地图:F004	X:76	Y:79 
[2024/8/19 13:3:50] 物品:强效太阳水	怪物:27D389F0奴隶	地图:F004	X:76	Y:79 
[2024/8/19 13:3:50] 物品:强效金创药	怪物:27D389F0奴隶	地图:F004	X:76	Y:79 
[2024/8/19 13:3:50] 物品:强效魔法药	怪物:27D389F0奴隶	地图:F004	X:76	Y:79 
