[2024/8/21 8:0:0] 物品:生铁戒指	怪物:2BC92A30牛魔战士	地图:D2078	X:220	Y:159 
[2024/8/21 8:0:2] 物品:强效金创药	怪物:24433F80沃玛卫士8	地图:H204	X:75	Y:70 
[2024/8/21 8:0:2] 物品:强效金创药	怪物:24433F80沃玛卫士8	地图:H204	X:75	Y:70 
[2024/8/21 8:0:2] 物品:魔法药(中量)	怪物:24433F80沃玛卫士8	地图:H204	X:75	Y:70 
[2024/8/21 8:0:2] 物品:魔法药(中量)	怪物:24433F80沃玛卫士8	地图:H204	X:75	Y:70 
[2024/8/21 8:0:2] 物品:强效魔法药	怪物:24433F80沃玛卫士8	地图:H204	X:75	Y:70 
[2024/8/21 8:0:2] 物品:强效魔法药	怪物:24433F80沃玛卫士8	地图:H204	X:75	Y:70 
[2024/8/21 8:0:2] 物品:强效魔法药	怪物:24433F80沃玛卫士8	地图:H204	X:75	Y:70 
[2024/8/21 8:0:2] 物品:野蛮冲撞	怪物:24433F80沃玛卫士8	地图:H204	X:75	Y:70 
[2024/8/21 8:0:2] 物品:地狱雷光	怪物:24433F80沃玛卫士8	地图:H204	X:75	Y:70 
[2024/8/21 8:0:2] 物品:集体隐身术	怪物:24433F80沃玛卫士8	地图:H204	X:75	Y:70 
[2024/8/21 8:0:2] 物品:瞬息移动	怪物:24433F80沃玛卫士8	地图:H204	X:75	Y:70 
[2024/8/21 8:0:6] 物品:强效金创药	怪物:22FA0120祖玛卫士8	地图:H204	X:70	Y:71 
[2024/8/21 8:0:8] 物品:死神手套	怪物:2C4A1090祖玛弓箭手8	地图:H204	X:69	Y:70 
[2024/8/21 8:0:9] 物品:海魂	怪物:29014630祖玛弓箭手8	地图:H204	X:33	Y:64 
[2024/8/21 8:0:11] 物品:魅力戒指	怪物:2AC210D0牛魔侍卫	地图:D2078	X:217	Y:149 
[2024/8/21 8:0:14] 物品:强效太阳水	怪物:13EECFE0沃玛卫士8	地图:H204	X:71	Y:68 
[2024/8/21 8:0:14] 物品:强效太阳水	怪物:13EECFE0沃玛卫士8	地图:H204	X:71	Y:68 
[2024/8/21 8:0:14] 物品:强效太阳水	怪物:13EECFE0沃玛卫士8	地图:H204	X:71	Y:68 
[2024/8/21 8:0:14] 物品:强效太阳水	怪物:13EECFE0沃玛卫士8	地图:H204	X:71	Y:68 
[2024/8/21 8:0:14] 物品:强效太阳水	怪物:13EECFE0沃玛卫士8	地图:H204	X:71	Y:68 
[2024/8/21 8:0:14] 物品:太阳水	怪物:13EECFE0沃玛卫士8	地图:H204	X:71	Y:68 
[2024/8/21 8:0:14] 物品:太阳水	怪物:13EECFE0沃玛卫士8	地图:H204	X:71	Y:68 
[2024/8/21 8:0:14] 物品:太阳水	怪物:13EECFE0沃玛卫士8	地图:H204	X:71	Y:68 
[2024/8/21 8:0:14] 物品:太阳水	怪物:13EECFE0沃玛卫士8	地图:H204	X:71	Y:68 
[2024/8/21 8:0:14] 物品:太阳水	怪物:13EECFE0沃玛卫士8	地图:H204	X:71	Y:68 
[2024/8/21 8:0:14] 物品:太阳水	怪物:13EECFE0沃玛卫士8	地图:H204	X:71	Y:68 
[2024/8/21 8:0:14] 物品:太阳水	怪物:13EECFE0沃玛卫士8	地图:H204	X:71	Y:68 
[2024/8/21 8:0:14] 物品:太阳水	怪物:13EECFE0沃玛卫士8	地图:H204	X:71	Y:68 
[2024/8/21 8:0:14] 物品:太阳水	怪物:13EECFE0沃玛卫士8	地图:H204	X:71	Y:68 
[2024/8/21 8:0:14] 物品:太阳水	怪物:13EECFE0沃玛卫士8	地图:H204	X:71	Y:68 
[2024/8/21 8:0:14] 物品:金创药(中量)	怪物:13EECFE0沃玛卫士8	地图:H204	X:71	Y:68 
[2024/8/21 8:0:14] 物品:金创药(中量)	怪物:13EECFE0沃玛卫士8	地图:H204	X:71	Y:68 
[2024/8/21 8:0:14] 物品:强效金创药	怪物:13EECFE0沃玛卫士8	地图:H204	X:71	Y:68 
[2024/8/21 8:0:14] 物品:强效金创药	怪物:13EECFE0沃玛卫士8	地图:H204	X:71	Y:68 
[2024/8/21 8:0:14] 物品:强效金创药	怪物:13EECFE0沃玛卫士8	地图:H204	X:71	Y:68 
[2024/8/21 8:0:14] 物品:魔法药(中量)	怪物:13EECFE0沃玛卫士8	地图:H204	X:71	Y:68 
[2024/8/21 8:0:14] 物品:魔法药(中量)	怪物:13EECFE0沃玛卫士8	地图:H204	X:71	Y:68 
[2024/8/21 8:0:14] 物品:强效魔法药	怪物:13EECFE0沃玛卫士8	地图:H204	X:71	Y:68 
[2024/8/21 8:0:14] 物品:强效魔法药	怪物:13EECFE0沃玛卫士8	地图:H204	X:71	Y:68 
[2024/8/21 8:0:14] 物品:强效魔法药	怪物:13EECFE0沃玛卫士8	地图:H204	X:71	Y:68 
[2024/8/21 8:0:14] 物品:铂金戒指	怪物:13EECFE0沃玛卫士8	地图:H204	X:71	Y:68 
[2024/8/21 8:0:14] 物品:蛇眼戒指	怪物:13EECFE0沃玛卫士8	地图:H204	X:71	Y:68 
[2024/8/21 8:0:18] 物品:强效太阳水	怪物:2AE6F970牛魔祭司	地图:D2078	X:217	Y:143 
[2024/8/21 8:0:19] 物品:强效太阳水	怪物:234B5580虹魔蝎卫8	地图:H204	X:37	Y:64 
[2024/8/21 8:0:19] 物品:强效太阳水	怪物:234B5580虹魔蝎卫8	地图:H204	X:37	Y:64 
[2024/8/21 8:0:19] 物品:强效太阳水	怪物:234B5580虹魔蝎卫8	地图:H204	X:37	Y:64 
[2024/8/21 8:0:19] 物品:强效太阳水	怪物:234B5580虹魔蝎卫8	地图:H204	X:37	Y:64 
[2024/8/21 8:0:19] 物品:强效太阳水	怪物:234B5580虹魔蝎卫8	地图:H204	X:37	Y:64 
[2024/8/21 8:0:19] 物品:强效太阳水	怪物:234B5580虹魔蝎卫8	地图:H204	X:37	Y:64 
[2024/8/21 8:0:19] 物品:强效太阳水	怪物:234B5580虹魔蝎卫8	地图:H204	X:37	Y:64 
[2024/8/21 8:0:19] 物品:强效太阳水	怪物:234B5580虹魔蝎卫8	地图:H204	X:37	Y:64 
[2024/8/21 8:0:19] 物品:强效太阳水	怪物:234B5580虹魔蝎卫8	地图:H204	X:37	Y:64 
[2024/8/21 8:0:19] 物品:强效太阳水	怪物:234B5580虹魔蝎卫8	地图:H204	X:37	Y:64 
[2024/8/21 8:0:19] 物品:太阳水	怪物:234B5580虹魔蝎卫8	地图:H204	X:37	Y:64 
[2024/8/21 8:0:19] 物品:太阳水	怪物:234B5580虹魔蝎卫8	地图:H204	X:37	Y:64 
[2024/8/21 8:0:19] 物品:太阳水	怪物:234B5580虹魔蝎卫8	地图:H204	X:37	Y:64 
[2024/8/21 8:0:19] 物品:太阳水	怪物:234B5580虹魔蝎卫8	地图:H204	X:37	Y:64 
[2024/8/21 8:0:19] 物品:太阳水	怪物:234B5580虹魔蝎卫8	地图:H204	X:37	Y:64 
[2024/8/21 8:0:19] 物品:太阳水	怪物:234B5580虹魔蝎卫8	地图:H204	X:37	Y:64 
[2024/8/21 8:0:19] 物品:太阳水	怪物:234B5580虹魔蝎卫8	地图:H204	X:37	Y:64 
[2024/8/21 8:0:19] 物品:太阳水	怪物:234B5580虹魔蝎卫8	地图:H204	X:37	Y:64 
[2024/8/21 8:0:19] 物品:太阳水	怪物:234B5580虹魔蝎卫8	地图:H204	X:37	Y:64 
[2024/8/21 8:0:19] 物品:太阳水	怪物:234B5580虹魔蝎卫8	地图:H204	X:37	Y:64 
[2024/8/21 8:0:19] 物品:强效金创药	怪物:234B5580虹魔蝎卫8	地图:H204	X:37	Y:64 
[2024/8/21 8:0:19] 物品:强效金创药	怪物:234B5580虹魔蝎卫8	地图:H204	X:37	Y:64 
[2024/8/21 8:0:19] 物品:强效金创药	怪物:234B5580虹魔蝎卫8	地图:H204	X:37	Y:64 
[2024/8/21 8:0:19] 物品:强效金创药	怪物:234B5580虹魔蝎卫8	地图:H204	X:37	Y:64 
[2024/8/21 8:0:19] 物品:强效金创药	怪物:234B5580虹魔蝎卫8	地图:H204	X:37	Y:64 
[2024/8/21 8:0:19] 物品:强效金创药	怪物:234B5580虹魔蝎卫8	地图:H204	X:37	Y:64 
[2024/8/21 8:0:19] 物品:强效金创药	怪物:234B5580虹魔蝎卫8	地图:H204	X:37	Y:64 
[2024/8/21 8:0:19] 物品:强效金创药	怪物:234B5580虹魔蝎卫8	地图:H204	X:37	Y:64 
[2024/8/21 8:0:19] 物品:强效金创药	怪物:234B5580虹魔蝎卫8	地图:H204	X:37	Y:64 
[2024/8/21 8:0:19] 物品:强效金创药	怪物:234B5580虹魔蝎卫8	地图:H204	X:37	Y:64 
[2024/8/21 8:0:19] 物品:强效魔法药	怪物:234B5580虹魔蝎卫8	地图:H204	X:37	Y:64 
[2024/8/21 8:0:19] 物品:强效魔法药	怪物:234B5580虹魔蝎卫8	地图:H204	X:37	Y:64 
[2024/8/21 8:0:19] 物品:强效魔法药	怪物:234B5580虹魔蝎卫8	地图:H204	X:37	Y:64 
[2024/8/21 8:0:19] 物品:强效魔法药	怪物:234B5580虹魔蝎卫8	地图:H204	X:37	Y:64 
[2024/8/21 8:0:19] 物品:强效魔法药	怪物:234B5580虹魔蝎卫8	地图:H204	X:37	Y:64 
[2024/8/21 8:0:19] 物品:强效魔法药	怪物:234B5580虹魔蝎卫8	地图:H204	X:37	Y:64 
[2024/8/21 8:0:19] 物品:强效魔法药	怪物:234B5580虹魔蝎卫8	地图:H204	X:37	Y:64 
[2024/8/21 8:0:19] 物品:强效魔法药	怪物:234B5580虹魔蝎卫8	地图:H204	X:37	Y:64 
[2024/8/21 8:0:19] 物品:强效魔法药	怪物:234B5580虹魔蝎卫8	地图:H204	X:37	Y:64 
[2024/8/21 8:0:19] 物品:强效魔法药	怪物:234B5580虹魔蝎卫8	地图:H204	X:37	Y:64 
[2024/8/21 8:0:19] 物品:心灵手镯	怪物:234B5580虹魔蝎卫8	地图:H204	X:37	Y:64 
[2024/8/21 8:0:19] 物品:小手镯	怪物:234B5580虹魔蝎卫8	地图:H204	X:37	Y:64 
[2024/8/21 8:0:21] 物品:太阳水	怪物:2B451DE0魔龙破甲兵	地图:66	X:77	Y:152 
[2024/8/21 8:0:28] 物品:强效太阳水	怪物:23140460虹魔蝎卫8	地图:H204	X:62	Y:63 
[2024/8/21 8:0:28] 物品:强效太阳水	怪物:23140460虹魔蝎卫8	地图:H204	X:62	Y:63 
[2024/8/21 8:0:28] 物品:强效太阳水	怪物:23140460虹魔蝎卫8	地图:H204	X:62	Y:63 
[2024/8/21 8:0:28] 物品:强效太阳水	怪物:23140460虹魔蝎卫8	地图:H204	X:62	Y:63 
[2024/8/21 8:0:28] 物品:强效太阳水	怪物:23140460虹魔蝎卫8	地图:H204	X:62	Y:63 
[2024/8/21 8:0:28] 物品:强效太阳水	怪物:23140460虹魔蝎卫8	地图:H204	X:62	Y:63 
[2024/8/21 8:0:28] 物品:强效太阳水	怪物:23140460虹魔蝎卫8	地图:H204	X:62	Y:63 
[2024/8/21 8:0:28] 物品:强效太阳水	怪物:23140460虹魔蝎卫8	地图:H204	X:62	Y:63 
[2024/8/21 8:0:28] 物品:强效太阳水	怪物:23140460虹魔蝎卫8	地图:H204	X:62	Y:63 
[2024/8/21 8:0:28] 物品:强效太阳水	怪物:23140460虹魔蝎卫8	地图:H204	X:62	Y:63 
[2024/8/21 8:0:28] 物品:太阳水	怪物:23140460虹魔蝎卫8	地图:H204	X:62	Y:63 
[2024/8/21 8:0:28] 物品:太阳水	怪物:23140460虹魔蝎卫8	地图:H204	X:62	Y:63 
[2024/8/21 8:0:28] 物品:太阳水	怪物:23140460虹魔蝎卫8	地图:H204	X:62	Y:63 
[2024/8/21 8:0:28] 物品:太阳水	怪物:23140460虹魔蝎卫8	地图:H204	X:62	Y:63 
[2024/8/21 8:0:28] 物品:太阳水	怪物:23140460虹魔蝎卫8	地图:H204	X:62	Y:63 
[2024/8/21 8:0:28] 物品:太阳水	怪物:23140460虹魔蝎卫8	地图:H204	X:62	Y:63 
[2024/8/21 8:0:28] 物品:太阳水	怪物:23140460虹魔蝎卫8	地图:H204	X:62	Y:63 
[2024/8/21 8:0:28] 物品:太阳水	怪物:23140460虹魔蝎卫8	地图:H204	X:62	Y:63 
[2024/8/21 8:0:28] 物品:太阳水	怪物:23140460虹魔蝎卫8	地图:H204	X:62	Y:63 
[2024/8/21 8:0:28] 物品:太阳水	怪物:23140460虹魔蝎卫8	地图:H204	X:62	Y:63 
[2024/8/21 8:0:28] 物品:强效金创药	怪物:23140460虹魔蝎卫8	地图:H204	X:62	Y:63 
[2024/8/21 8:0:28] 物品:强效金创药	怪物:23140460虹魔蝎卫8	地图:H204	X:62	Y:63 
[2024/8/21 8:0:28] 物品:强效金创药	怪物:23140460虹魔蝎卫8	地图:H204	X:62	Y:63 
[2024/8/21 8:0:28] 物品:强效金创药	怪物:23140460虹魔蝎卫8	地图:H204	X:62	Y:63 
[2024/8/21 8:0:28] 物品:强效金创药	怪物:23140460虹魔蝎卫8	地图:H204	X:62	Y:63 
[2024/8/21 8:0:28] 物品:强效金创药	怪物:23140460虹魔蝎卫8	地图:H204	X:62	Y:63 
[2024/8/21 8:0:28] 物品:强效金创药	怪物:23140460虹魔蝎卫8	地图:H204	X:62	Y:63 
[2024/8/21 8:0:28] 物品:强效金创药	怪物:23140460虹魔蝎卫8	地图:H204	X:62	Y:63 
[2024/8/21 8:0:28] 物品:强效金创药	怪物:23140460虹魔蝎卫8	地图:H204	X:62	Y:63 
[2024/8/21 8:0:28] 物品:强效金创药	怪物:23140460虹魔蝎卫8	地图:H204	X:62	Y:63 
[2024/8/21 8:0:28] 物品:强效魔法药	怪物:23140460虹魔蝎卫8	地图:H204	X:62	Y:63 
[2024/8/21 8:0:28] 物品:强效魔法药	怪物:23140460虹魔蝎卫8	地图:H204	X:62	Y:63 
[2024/8/21 8:0:28] 物品:强效魔法药	怪物:23140460虹魔蝎卫8	地图:H204	X:62	Y:63 
[2024/8/21 8:0:28] 物品:强效魔法药	怪物:23140460虹魔蝎卫8	地图:H204	X:62	Y:63 
[2024/8/21 8:0:28] 物品:强效魔法药	怪物:23140460虹魔蝎卫8	地图:H204	X:62	Y:63 
[2024/8/21 8:0:28] 物品:强效魔法药	怪物:23140460虹魔蝎卫8	地图:H204	X:62	Y:63 
[2024/8/21 8:0:28] 物品:强效魔法药	怪物:23140460虹魔蝎卫8	地图:H204	X:62	Y:63 
[2024/8/21 8:0:28] 物品:强效魔法药	怪物:23140460虹魔蝎卫8	地图:H204	X:62	Y:63 
[2024/8/21 8:0:28] 物品:强效魔法药	怪物:23140460虹魔蝎卫8	地图:H204	X:62	Y:63 
[2024/8/21 8:0:28] 物品:强效魔法药	怪物:23140460虹魔蝎卫8	地图:H204	X:62	Y:63 
[2024/8/21 8:0:28] 物品:生铁戒指	怪物:23140460虹魔蝎卫8	地图:H204	X:62	Y:63 
[2024/8/21 8:0:28] 物品:道德戒指	怪物:23140460虹魔蝎卫8	地图:H204	X:62	Y:63 
[2024/8/21 8:0:28] 物品:黑色水晶戒指	怪物:28ED0AE0牛魔法师	地图:D2078	X:209	Y:142 
[2024/8/21 8:0:28] 物品:强效金创药	怪物:2CBBBD00祖玛卫士8	地图:H204	X:62	Y:62 
[2024/8/21 8:0:33] 物品:强效魔法药	怪物:22FFF190魔龙射手2	地图:66	X:70	Y:154 
[2024/8/21 8:0:34] 物品:强效太阳水	怪物:25932C10牛魔祭司	地图:D2078	X:209	Y:141 
[2024/8/21 8:0:34] 物品:魔法手镯	怪物:25932C10牛魔祭司	地图:D2078	X:209	Y:141 
[2024/8/21 8:0:34] 物品:强效太阳水	怪物:2C07AC10沃玛卫士8	地图:H204	X:44	Y:56 
[2024/8/21 8:0:34] 物品:强效太阳水	怪物:2C07AC10沃玛卫士8	地图:H204	X:44	Y:56 
[2024/8/21 8:0:34] 物品:强效太阳水	怪物:2C07AC10沃玛卫士8	地图:H204	X:44	Y:56 
[2024/8/21 8:0:34] 物品:强效太阳水	怪物:2C07AC10沃玛卫士8	地图:H204	X:44	Y:56 
[2024/8/21 8:0:34] 物品:强效太阳水	怪物:2C07AC10沃玛卫士8	地图:H204	X:44	Y:56 
[2024/8/21 8:0:34] 物品:太阳水	怪物:2C07AC10沃玛卫士8	地图:H204	X:44	Y:56 
[2024/8/21 8:0:34] 物品:太阳水	怪物:2C07AC10沃玛卫士8	地图:H204	X:44	Y:56 
[2024/8/21 8:0:34] 物品:太阳水	怪物:2C07AC10沃玛卫士8	地图:H204	X:44	Y:56 
[2024/8/21 8:0:34] 物品:太阳水	怪物:2C07AC10沃玛卫士8	地图:H204	X:44	Y:56 
[2024/8/21 8:0:34] 物品:太阳水	怪物:2C07AC10沃玛卫士8	地图:H204	X:44	Y:56 
[2024/8/21 8:0:34] 物品:太阳水	怪物:2C07AC10沃玛卫士8	地图:H204	X:44	Y:56 
[2024/8/21 8:0:34] 物品:太阳水	怪物:2C07AC10沃玛卫士8	地图:H204	X:44	Y:56 
[2024/8/21 8:0:34] 物品:太阳水	怪物:2C07AC10沃玛卫士8	地图:H204	X:44	Y:56 
[2024/8/21 8:0:34] 物品:太阳水	怪物:2C07AC10沃玛卫士8	地图:H204	X:44	Y:56 
[2024/8/21 8:0:34] 物品:太阳水	怪物:2C07AC10沃玛卫士8	地图:H204	X:44	Y:56 
[2024/8/21 8:0:34] 物品:金创药(中量)	怪物:2C07AC10沃玛卫士8	地图:H204	X:44	Y:56 
[2024/8/21 8:0:34] 物品:金创药(中量)	怪物:2C07AC10沃玛卫士8	地图:H204	X:44	Y:56 
[2024/8/21 8:0:34] 物品:强效金创药	怪物:2C07AC10沃玛卫士8	地图:H204	X:44	Y:56 
[2024/8/21 8:0:34] 物品:强效金创药	怪物:2C07AC10沃玛卫士8	地图:H204	X:44	Y:56 
[2024/8/21 8:0:34] 物品:强效金创药	怪物:2C07AC10沃玛卫士8	地图:H204	X:44	Y:56 
[2024/8/21 8:0:34] 物品:魔法药(中量)	怪物:2C07AC10沃玛卫士8	地图:H204	X:44	Y:56 
[2024/8/21 8:0:34] 物品:魔法药(中量)	怪物:2C07AC10沃玛卫士8	地图:H204	X:44	Y:56 
[2024/8/21 8:0:34] 物品:强效魔法药	怪物:2C07AC10沃玛卫士8	地图:H204	X:44	Y:56 
[2024/8/21 8:0:34] 物品:强效魔法药	怪物:2C07AC10沃玛卫士8	地图:H204	X:44	Y:56 
[2024/8/21 8:0:34] 物品:强效魔法药	怪物:2C07AC10沃玛卫士8	地图:H204	X:44	Y:56 
[2024/8/21 8:0:34] 物品:野蛮冲撞	怪物:2C07AC10沃玛卫士8	地图:H204	X:44	Y:56 
[2024/8/21 8:0:34] 物品:集体隐身术	怪物:2C07AC10沃玛卫士8	地图:H204	X:44	Y:56 
[2024/8/21 8:0:34] 物品:神圣战甲术	怪物:2C07AC10沃玛卫士8	地图:H204	X:44	Y:56 
[2024/8/21 8:0:36] 物品:强效太阳水	怪物:25FBEB70虹魔蝎卫8	地图:H204	X:64	Y:62 
[2024/8/21 8:0:36] 物品:强效太阳水	怪物:25FBEB70虹魔蝎卫8	地图:H204	X:64	Y:62 
[2024/8/21 8:0:36] 物品:强效太阳水	怪物:25FBEB70虹魔蝎卫8	地图:H204	X:64	Y:62 
[2024/8/21 8:0:36] 物品:强效太阳水	怪物:25FBEB70虹魔蝎卫8	地图:H204	X:64	Y:62 
[2024/8/21 8:0:36] 物品:强效太阳水	怪物:25FBEB70虹魔蝎卫8	地图:H204	X:64	Y:62 
[2024/8/21 8:0:36] 物品:强效太阳水	怪物:25FBEB70虹魔蝎卫8	地图:H204	X:64	Y:62 
[2024/8/21 8:0:36] 物品:强效太阳水	怪物:25FBEB70虹魔蝎卫8	地图:H204	X:64	Y:62 
[2024/8/21 8:0:36] 物品:强效太阳水	怪物:25FBEB70虹魔蝎卫8	地图:H204	X:64	Y:62 
[2024/8/21 8:0:36] 物品:强效太阳水	怪物:25FBEB70虹魔蝎卫8	地图:H204	X:64	Y:62 
[2024/8/21 8:0:36] 物品:强效太阳水	怪物:25FBEB70虹魔蝎卫8	地图:H204	X:64	Y:62 
[2024/8/21 8:0:36] 物品:太阳水	怪物:25FBEB70虹魔蝎卫8	地图:H204	X:64	Y:62 
[2024/8/21 8:0:36] 物品:太阳水	怪物:25FBEB70虹魔蝎卫8	地图:H204	X:64	Y:62 
[2024/8/21 8:0:36] 物品:太阳水	怪物:25FBEB70虹魔蝎卫8	地图:H204	X:64	Y:62 
[2024/8/21 8:0:36] 物品:太阳水	怪物:25FBEB70虹魔蝎卫8	地图:H204	X:64	Y:62 
