[2024/8/19 7:0:2] 物品:金创药(中量)	怪物:28E5A3E0祖玛雕像8	地图:H204	X:88	Y:51 
[2024/8/19 7:0:14] 物品:太阳水	怪物:1F0B15A0白野猪8	地图:H204	X:45	Y:52 
[2024/8/19 7:0:14] 物品:金创药(中量)	怪物:1F0B15A0白野猪8	地图:H204	X:45	Y:52 
[2024/8/19 7:0:14] 物品:金创药(中量)	怪物:1F0B15A0白野猪8	地图:H204	X:45	Y:52 
[2024/8/19 7:0:14] 物品:金创药(中量)	怪物:1F0B15A0白野猪8	地图:H204	X:45	Y:52 
[2024/8/19 7:0:14] 物品:强效金创药	怪物:1F0B15A0白野猪8	地图:H204	X:45	Y:52 
[2024/8/19 7:0:14] 物品:强效金创药	怪物:1F0B15A0白野猪8	地图:H204	X:45	Y:52 
[2024/8/19 7:0:14] 物品:强效金创药	怪物:1F0B15A0白野猪8	地图:H204	X:45	Y:52 
[2024/8/19 7:0:14] 物品:魔法药(中量)	怪物:1F0B15A0白野猪8	地图:H204	X:45	Y:52 
[2024/8/19 7:0:14] 物品:魔法药(中量)	怪物:1F0B15A0白野猪8	地图:H204	X:45	Y:52 
[2024/8/19 7:0:14] 物品:魔法药(中量)	怪物:1F0B15A0白野猪8	地图:H204	X:45	Y:52 
[2024/8/19 7:0:14] 物品:强效魔法药	怪物:1F0B15A0白野猪8	地图:H204	X:45	Y:52 
[2024/8/19 7:0:14] 物品:强效魔法药	怪物:1F0B15A0白野猪8	地图:H204	X:45	Y:52 
[2024/8/19 7:0:14] 物品:强效魔法药	怪物:1F0B15A0白野猪8	地图:H204	X:45	Y:52 
[2024/8/19 7:0:14] 物品:强效金创药	怪物:1F0B15A0白野猪8	地图:H204	X:45	Y:52 
[2024/8/19 7:0:14] 物品:强效金创药	怪物:1F0B15A0白野猪8	地图:H204	X:45	Y:52 
[2024/8/19 7:0:14] 物品:强效金创药	怪物:1F0B15A0白野猪8	地图:H204	X:45	Y:52 
[2024/8/19 7:0:14] 物品:强效金创药	怪物:1F0B15A0白野猪8	地图:H204	X:45	Y:52 
[2024/8/19 7:0:14] 物品:强效金创药	怪物:1F0B15A0白野猪8	地图:H204	X:45	Y:52 
[2024/8/19 7:0:14] 物品:强效金创药	怪物:1F0B15A0白野猪8	地图:H204	X:45	Y:52 
[2024/8/19 7:0:14] 物品:强效魔法药	怪物:1F0B15A0白野猪8	地图:H204	X:45	Y:52 
[2024/8/19 7:0:14] 物品:强效魔法药	怪物:1F0B15A0白野猪8	地图:H204	X:45	Y:52 
[2024/8/19 7:0:14] 物品:强效魔法药	怪物:1F0B15A0白野猪8	地图:H204	X:45	Y:52 
[2024/8/19 7:0:14] 物品:强效魔法药	怪物:1F0B15A0白野猪8	地图:H204	X:45	Y:52 
[2024/8/19 7:0:14] 物品:强效魔法药	怪物:1F0B15A0白野猪8	地图:H204	X:45	Y:52 
[2024/8/19 7:0:14] 物品:强效魔法药	怪物:1F0B15A0白野猪8	地图:H204	X:45	Y:52 
[2024/8/19 7:0:14] 物品:魔法药(小量)	怪物:2F22A3F0僵尸5	地图:H201	X:166	Y:151 
[2024/8/19 7:0:20] 物品:攻杀剑术	怪物:21ED4E90僵尸5	地图:H201	X:164	Y:151 
[2024/8/19 7:0:26] 物品:强效金创药	怪物:1E4C0EF0魔龙射手	地图:66	X:58	Y:116 
[2024/8/19 7:0:26] 物品:强效太阳水	怪物:1E4C0EF0魔龙射手	地图:66	X:58	Y:116 
[2024/8/19 7:0:32] 物品:兽皮腰带	怪物:0D4C3BD0魔龙破甲兵1	地图:66	X:54	Y:116 
[2024/8/19 7:0:35] 物品:强效太阳水	怪物:2C302FD0白野猪8	地图:H204	X:47	Y:53 
[2024/8/19 7:0:35] 物品:强效太阳水	怪物:2C302FD0白野猪8	地图:H204	X:47	Y:53 
[2024/8/19 7:0:35] 物品:强效太阳水	怪物:2C302FD0白野猪8	地图:H204	X:47	Y:53 
[2024/8/19 7:0:35] 物品:强效太阳水	怪物:2C302FD0白野猪8	地图:H204	X:47	Y:53 
[2024/8/19 7:0:35] 物品:强效太阳水	怪物:2C302FD0白野猪8	地图:H204	X:47	Y:53 
[2024/8/19 7:0:35] 物品:强效太阳水	怪物:2C302FD0白野猪8	地图:H204	X:47	Y:53 
[2024/8/19 7:0:35] 物品:强效太阳水	怪物:2C302FD0白野猪8	地图:H204	X:47	Y:53 
[2024/8/19 7:0:35] 物品:强效太阳水	怪物:2C302FD0白野猪8	地图:H204	X:47	Y:53 
[2024/8/19 7:0:35] 物品:强效太阳水	怪物:2C302FD0白野猪8	地图:H204	X:47	Y:53 
[2024/8/19 7:0:35] 物品:强效太阳水	怪物:2C302FD0白野猪8	地图:H204	X:47	Y:53 
[2024/8/19 7:0:35] 物品:太阳水	怪物:2C302FD0白野猪8	地图:H204	X:47	Y:53 
[2024/8/19 7:0:35] 物品:太阳水	怪物:2C302FD0白野猪8	地图:H204	X:47	Y:53 
[2024/8/19 7:0:35] 物品:太阳水	怪物:2C302FD0白野猪8	地图:H204	X:47	Y:53 
[2024/8/19 7:0:35] 物品:太阳水	怪物:2C302FD0白野猪8	地图:H204	X:47	Y:53 
[2024/8/19 7:0:35] 物品:太阳水	怪物:2C302FD0白野猪8	地图:H204	X:47	Y:53 
[2024/8/19 7:0:35] 物品:太阳水	怪物:2C302FD0白野猪8	地图:H204	X:47	Y:53 
[2024/8/19 7:0:35] 物品:太阳水	怪物:2C302FD0白野猪8	地图:H204	X:47	Y:53 
[2024/8/19 7:0:35] 物品:太阳水	怪物:2C302FD0白野猪8	地图:H204	X:47	Y:53 
[2024/8/19 7:0:35] 物品:太阳水	怪物:2C302FD0白野猪8	地图:H204	X:47	Y:53 
[2024/8/19 7:0:35] 物品:太阳水	怪物:2C302FD0白野猪8	地图:H204	X:47	Y:53 
[2024/8/19 7:0:35] 物品:金创药(中量)	怪物:2C302FD0白野猪8	地图:H204	X:47	Y:53 
[2024/8/19 7:0:35] 物品:金创药(中量)	怪物:2C302FD0白野猪8	地图:H204	X:47	Y:53 
[2024/8/19 7:0:35] 物品:金创药(中量)	怪物:2C302FD0白野猪8	地图:H204	X:47	Y:53 
[2024/8/19 7:0:35] 物品:强效金创药	怪物:2C302FD0白野猪8	地图:H204	X:47	Y:53 
[2024/8/19 7:0:35] 物品:强效金创药	怪物:2C302FD0白野猪8	地图:H204	X:47	Y:53 
[2024/8/19 7:0:35] 物品:强效金创药	怪物:2C302FD0白野猪8	地图:H204	X:47	Y:53 
[2024/8/19 7:0:35] 物品:魔法药(中量)	怪物:2C302FD0白野猪8	地图:H204	X:47	Y:53 
[2024/8/19 7:0:35] 物品:魔法药(中量)	怪物:2C302FD0白野猪8	地图:H204	X:47	Y:53 
[2024/8/19 7:0:35] 物品:魔法药(中量)	怪物:2C302FD0白野猪8	地图:H204	X:47	Y:53 
[2024/8/19 7:0:35] 物品:强效魔法药	怪物:2C302FD0白野猪8	地图:H204	X:47	Y:53 
[2024/8/19 7:0:35] 物品:强效魔法药	怪物:2C302FD0白野猪8	地图:H204	X:47	Y:53 
[2024/8/19 7:0:35] 物品:强效魔法药	怪物:2C302FD0白野猪8	地图:H204	X:47	Y:53 
[2024/8/19 7:0:35] 物品:强效金创药	怪物:2C302FD0白野猪8	地图:H204	X:47	Y:53 
[2024/8/19 7:0:35] 物品:强效金创药	怪物:2C302FD0白野猪8	地图:H204	X:47	Y:53 
[2024/8/19 7:0:35] 物品:强效金创药	怪物:2C302FD0白野猪8	地图:H204	X:47	Y:53 
[2024/8/19 7:0:35] 物品:强效金创药	怪物:2C302FD0白野猪8	地图:H204	X:47	Y:53 
[2024/8/19 7:0:35] 物品:强效金创药	怪物:2C302FD0白野猪8	地图:H204	X:47	Y:53 
[2024/8/19 7:0:35] 物品:强效金创药	怪物:2C302FD0白野猪8	地图:H204	X:47	Y:53 
[2024/8/19 7:0:35] 物品:强效魔法药	怪物:2C302FD0白野猪8	地图:H204	X:47	Y:53 
[2024/8/19 7:0:35] 物品:强效魔法药	怪物:2C302FD0白野猪8	地图:H204	X:47	Y:53 
[2024/8/19 7:0:35] 物品:强效魔法药	怪物:2C302FD0白野猪8	地图:H204	X:47	Y:53 
[2024/8/19 7:0:35] 物品:强效魔法药	怪物:2C302FD0白野猪8	地图:H204	X:47	Y:53 
[2024/8/19 7:0:35] 物品:强效魔法药	怪物:2C302FD0白野猪8	地图:H204	X:47	Y:53 
[2024/8/19 7:0:35] 物品:强效魔法药	怪物:2C302FD0白野猪8	地图:H204	X:47	Y:53 
[2024/8/19 7:0:35] 物品:小手镯	怪物:2C302FD0白野猪8	地图:H204	X:47	Y:53 
[2024/8/19 7:0:37] 物品:鹿皮靴	怪物:234FE500魔龙刀兵2	地图:66	X:54	Y:115 
[2024/8/19 7:0:41] 物品:金创药(小量)	怪物:1CB1F530僵尸5	地图:H201	X:155	Y:157 
[2024/8/19 7:0:44] 物品:道士头盔	怪物:283E4260祖玛卫士8	地图:H204	X:43	Y:53 
[2024/8/19 7:0:44] 物品:蓝色水晶戒指	怪物:283E4260祖玛卫士8	地图:H204	X:43	Y:53 
[2024/8/19 7:0:54] 物品:雷电术	怪物:1C4CF8A0僵尸40	地图:H201	X:155	Y:158 
[2024/8/19 7:0:54] 物品:地狱火	怪物:1C4CF8A0僵尸40	地图:H201	X:155	Y:158 
[2024/8/19 7:0:54] 物品:抗拒火环	怪物:1C4CF8A0僵尸40	地图:H201	X:155	Y:158 
[2024/8/19 7:0:54] 物品:精神力战法	怪物:1C4CF8A0僵尸40	地图:H201	X:155	Y:158 
[2024/8/19 7:0:54] 物品:火球术	怪物:1C4CF8A0僵尸40	地图:H201	X:155	Y:158 
[2024/8/19 7:0:54] 物品:治愈术	怪物:1C4CF8A0僵尸40	地图:H201	X:155	Y:158 
[2024/8/19 7:0:54] 物品:基本剑术	怪物:1C4CF8A0僵尸40	地图:H201	X:155	Y:158 
[2024/8/19 7:0:54] 物品:琥珀项链	怪物:1C4CF8A0僵尸40	地图:H201	X:155	Y:158 
[2024/8/19 7:0:54] 物品:黑檀项链	怪物:1C4CF8A0僵尸40	地图:H201	X:155	Y:158 
[2024/8/19 7:0:55] 物品:凤凰明珠	怪物:27CE5830祖玛弓箭手8	地图:H204	X:42	Y:60 
[2024/8/19 7:0:55] 物品:珍珠戒指	怪物:27CE5830祖玛弓箭手8	地图:H204	X:42	Y:60 
[2024/8/19 7:0:56] 物品:骷髅戒指	怪物:0D6E19A0祖玛雕像8	地图:H204	X:43	Y:45 
[2024/8/19 7:0:56] 物品:太阳水	怪物:18AEE900僵尸5	地图:H201	X:157	Y:158 
[2024/8/19 7:1:4] 物品:太阳水	怪物:2DCEEB70祖玛卫士8	地图:H204	X:42	Y:42 
[2024/8/19 7:1:4] 物品:强效太阳水	怪物:2DCEEB70祖玛卫士8	地图:H204	X:42	Y:42 
[2024/8/19 7:1:9] 物品:地狱火	怪物:1C4CF8A0僵尸40	地图:H201	X:155	Y:158 
[2024/8/19 7:1:9] 物品:抗拒火环	怪物:1C4CF8A0僵尸40	地图:H201	X:155	Y:158 
[2024/8/19 7:1:9] 物品:精神力战法	怪物:1C4CF8A0僵尸40	地图:H201	X:155	Y:158 
[2024/8/19 7:1:9] 物品:火球术	怪物:1C4CF8A0僵尸40	地图:H201	X:155	Y:158 
[2024/8/19 7:1:9] 物品:治愈术	怪物:1C4CF8A0僵尸40	地图:H201	X:155	Y:158 
[2024/8/19 7:1:9] 物品:基本剑术	怪物:1C4CF8A0僵尸40	地图:H201	X:155	Y:158 
[2024/8/19 7:1:9] 物品:轻型盔甲(女)	怪物:1C4CF8A0僵尸40	地图:H201	X:155	Y:158 
[2024/8/19 7:1:9] 物品:金创药(小量)	怪物:1C4CF8A0僵尸40	地图:H201	X:155	Y:158 
[2024/8/19 7:1:9] 物品:魔法药(小量)	怪物:1C4CF8A0僵尸40	地图:H201	X:155	Y:158 
[2024/8/19 7:1:10] 物品:强效魔法药	怪物:2BE6F0F0魔龙射手	地图:66	X:58	Y:126 
[2024/8/19 7:1:12] 物品:半月	怪物:1EC2C950祖玛弓箭手8	地图:H204	X:38	Y:62 
[2024/8/19 7:1:12] 物品:偃月	怪物:1EC2C950祖玛弓箭手8	地图:H204	X:38	Y:62 
[2024/8/19 7:1:18] 物品:金手镯	怪物:284CD540祖玛雕像8	地图:H204	X:37	Y:62 
[2024/8/19 7:1:19] 物品:强效太阳水	怪物:2379E610虹魔猪卫8	地图:H204	X:37	Y:61 
[2024/8/19 7:1:19] 物品:强效太阳水	怪物:2379E610虹魔猪卫8	地图:H204	X:37	Y:61 
[2024/8/19 7:1:19] 物品:强效太阳水	怪物:2379E610虹魔猪卫8	地图:H204	X:37	Y:61 
[2024/8/19 7:1:19] 物品:强效太阳水	怪物:2379E610虹魔猪卫8	地图:H204	X:37	Y:61 
[2024/8/19 7:1:19] 物品:强效太阳水	怪物:2379E610虹魔猪卫8	地图:H204	X:37	Y:61 
[2024/8/19 7:1:19] 物品:强效太阳水	怪物:2379E610虹魔猪卫8	地图:H204	X:37	Y:61 
[2024/8/19 7:1:19] 物品:强效太阳水	怪物:2379E610虹魔猪卫8	地图:H204	X:37	Y:61 
[2024/8/19 7:1:19] 物品:强效太阳水	怪物:2379E610虹魔猪卫8	地图:H204	X:37	Y:61 
[2024/8/19 7:1:19] 物品:强效太阳水	怪物:2379E610虹魔猪卫8	地图:H204	X:37	Y:61 
[2024/8/19 7:1:19] 物品:强效太阳水	怪物:2379E610虹魔猪卫8	地图:H204	X:37	Y:61 
[2024/8/19 7:1:19] 物品:太阳水	怪物:2379E610虹魔猪卫8	地图:H204	X:37	Y:61 
[2024/8/19 7:1:19] 物品:太阳水	怪物:2379E610虹魔猪卫8	地图:H204	X:37	Y:61 
[2024/8/19 7:1:19] 物品:太阳水	怪物:2379E610虹魔猪卫8	地图:H204	X:37	Y:61 
[2024/8/19 7:1:19] 物品:太阳水	怪物:2379E610虹魔猪卫8	地图:H204	X:37	Y:61 
[2024/8/19 7:1:19] 物品:太阳水	怪物:2379E610虹魔猪卫8	地图:H204	X:37	Y:61 
[2024/8/19 7:1:19] 物品:太阳水	怪物:2379E610虹魔猪卫8	地图:H204	X:37	Y:61 
[2024/8/19 7:1:19] 物品:太阳水	怪物:2379E610虹魔猪卫8	地图:H204	X:37	Y:61 
[2024/8/19 7:1:19] 物品:太阳水	怪物:2379E610虹魔猪卫8	地图:H204	X:37	Y:61 
[2024/8/19 7:1:19] 物品:太阳水	怪物:2379E610虹魔猪卫8	地图:H204	X:37	Y:61 
[2024/8/19 7:1:19] 物品:太阳水	怪物:2379E610虹魔猪卫8	地图:H204	X:37	Y:61 
[2024/8/19 7:1:19] 物品:金创药(中量)	怪物:2379E610虹魔猪卫8	地图:H204	X:37	Y:61 
[2024/8/19 7:1:19] 物品:金创药(中量)	怪物:2379E610虹魔猪卫8	地图:H204	X:37	Y:61 
[2024/8/19 7:1:19] 物品:金创药(中量)	怪物:2379E610虹魔猪卫8	地图:H204	X:37	Y:61 
[2024/8/19 7:1:19] 物品:强效金创药	怪物:2379E610虹魔猪卫8	地图:H204	X:37	Y:61 
[2024/8/19 7:1:19] 物品:强效金创药	怪物:2379E610虹魔猪卫8	地图:H204	X:37	Y:61 
[2024/8/19 7:1:19] 物品:强效金创药	怪物:2379E610虹魔猪卫8	地图:H204	X:37	Y:61 
[2024/8/19 7:1:19] 物品:魔法药(中量)	怪物:2379E610虹魔猪卫8	地图:H204	X:37	Y:61 
[2024/8/19 7:1:19] 物品:魔法药(中量)	怪物:2379E610虹魔猪卫8	地图:H204	X:37	Y:61 
[2024/8/19 7:1:19] 物品:魔法药(中量)	怪物:2379E610虹魔猪卫8	地图:H204	X:37	Y:61 
[2024/8/19 7:1:19] 物品:强效魔法药	怪物:2379E610虹魔猪卫8	地图:H204	X:37	Y:61 
[2024/8/19 7:1:19] 物品:强效魔法药	怪物:2379E610虹魔猪卫8	地图:H204	X:37	Y:61 
[2024/8/19 7:1:19] 物品:强效魔法药	怪物:2379E610虹魔猪卫8	地图:H204	X:37	Y:61 
[2024/8/19 7:1:19] 物品:强效金创药	怪物:2379E610虹魔猪卫8	地图:H204	X:37	Y:61 
[2024/8/19 7:1:19] 物品:强效金创药	怪物:2379E610虹魔猪卫8	地图:H204	X:37	Y:61 
[2024/8/19 7:1:19] 物品:强效金创药	怪物:2379E610虹魔猪卫8	地图:H204	X:37	Y:61 
[2024/8/19 7:1:19] 物品:强效金创药	怪物:2379E610虹魔猪卫8	地图:H204	X:37	Y:61 
[2024/8/19 7:1:19] 物品:强效金创药	怪物:2379E610虹魔猪卫8	地图:H204	X:37	Y:61 
[2024/8/19 7:1:19] 物品:强效金创药	怪物:2379E610虹魔猪卫8	地图:H204	X:37	Y:61 
[2024/8/19 7:1:19] 物品:强效魔法药	怪物:2379E610虹魔猪卫8	地图:H204	X:37	Y:61 
[2024/8/19 7:1:19] 物品:强效魔法药	怪物:2379E610虹魔猪卫8	地图:H204	X:37	Y:61 
[2024/8/19 7:1:19] 物品:强效魔法药	怪物:2379E610虹魔猪卫8	地图:H204	X:37	Y:61 
[2024/8/19 7:1:19] 物品:强效魔法药	怪物:2379E610虹魔猪卫8	地图:H204	X:37	Y:61 
[2024/8/19 7:1:19] 物品:强效魔法药	怪物:2379E610虹魔猪卫8	地图:H204	X:37	Y:61 
[2024/8/19 7:1:19] 物品:强效魔法药	怪物:2379E610虹魔猪卫8	地图:H204	X:37	Y:61 
[2024/8/19 7:1:19] 物品:魔法药(小量)	怪物:1821C2E0僵尸4	地图:H201	X:149	Y:153 
[2024/8/19 7:1:21] 物品:强效太阳水	怪物:28CBE460祖玛卫士8	地图:H204	X:37	Y:62 
[2024/8/19 7:1:22] 物品:强效金创药	怪物:2A391D50魔龙刀兵	地图:66	X:57	Y:126 
[2024/8/19 7:1:23] 物品:幽灵盾	怪物:2797F320恶灵尸王	地图:H201	X:150	Y:153 
[2024/8/19 7:1:23] 物品:爆裂火焰	怪物:2797F320恶灵尸王	地图:H201	X:150	Y:153 
[2024/8/19 7:1:23] 物品:召唤骷髅	怪物:2797F320恶灵尸王	地图:H201	X:150	Y:153 
[2024/8/19 7:1:23] 物品:瞬息移动	怪物:2797F320恶灵尸王	地图:H201	X:150	Y:153 
[2024/8/19 7:1:24] 物品:施毒术	怪物:1C4CF8A0僵尸40	地图:H201	X:154	Y:157 
[2024/8/19 7:1:24] 物品:召唤骷髅	怪物:1C4CF8A0僵尸40	地图:H201	X:154	Y:157 
[2024/8/19 7:1:24] 物品:抗拒火环	怪物:1C4CF8A0僵尸40	地图:H201	X:154	Y:157 
[2024/8/19 7:1:24] 物品:精神力战法	怪物:1C4CF8A0僵尸40	地图:H201	X:154	Y:157 
[2024/8/19 7:1:24] 物品:火球术	怪物:1C4CF8A0僵尸40	地图:H201	X:154	Y:157 
[2024/8/19 7:1:24] 物品:治愈术	怪物:1C4CF8A0僵尸40	地图:H201	X:154	Y:157 
[2024/8/19 7:1:24] 物品:基本剑术	怪物:1C4CF8A0僵尸40	地图:H201	X:154	Y:157 
[2024/8/19 7:1:24] 物品:半月	怪物:1C4CF8A0僵尸40	地图:H201	X:154	Y:157 
[2024/8/19 7:1:24] 物品:黑色水晶项链	怪物:1C4CF8A0僵尸40	地图:H201	X:154	Y:157 
[2024/8/19 7:1:24] 物品:金创药(小量)	怪物:1C4CF8A0僵尸40	地图:H201	X:154	Y:157 
[2024/8/19 7:1:24] 物品:魔法药(小量)	怪物:1C4CF8A0僵尸40	地图:H201	X:154	Y:157 
[2024/8/19 7:1:24] 物品:强效太阳水	怪物:19BA7270白野猪8	地图:H204	X:41	Y:59 
[2024/8/19 7:1:24] 物品:强效太阳水	怪物:19BA7270白野猪8	地图:H204	X:41	Y:59 
[2024/8/19 7:1:24] 物品:强效太阳水	怪物:19BA7270白野猪8	地图:H204	X:41	Y:59 
[2024/8/19 7:1:24] 物品:强效太阳水	怪物:19BA7270白野猪8	地图:H204	X:41	Y:59 
[2024/8/19 7:1:24] 物品:强效太阳水	怪物:19BA7270白野猪8	地图:H204	X:41	Y:59 
[2024/8/19 7:1:24] 物品:强效太阳水	怪物:19BA7270白野猪8	地图:H204	X:41	Y:59 
[2024/8/19 7:1:24] 物品:强效太阳水	怪物:19BA7270白野猪8	地图:H204	X:41	Y:59 
[2024/8/19 7:1:24] 物品:强效太阳水	怪物:19BA7270白野猪8	地图:H204	X:41	Y:59 
[2024/8/19 7:1:24] 物品:强效太阳水	怪物:19BA7270白野猪8	地图:H204	X:41	Y:59 
[2024/8/19 7:1:24] 物品:强效太阳水	怪物:19BA7270白野猪8	地图:H204	X:41	Y:59 
[2024/8/19 7:1:24] 物品:太阳水	怪物:19BA7270白野猪8	地图:H204	X:41	Y:59 
[2024/8/19 7:1:24] 物品:太阳水	怪物:19BA7270白野猪8	地图:H204	X:41	Y:59 
[2024/8/19 7:1:24] 物品:太阳水	怪物:19BA7270白野猪8	地图:H204	X:41	Y:59 
[2024/8/19 7:1:24] 物品:太阳水	怪物:19BA7270白野猪8	地图:H204	X:41	Y:59 
[2024/8/19 7:1:24] 物品:太阳水	怪物:19BA7270白野猪8	地图:H204	X:41	Y:59 
[2024/8/19 7:1:24] 物品:太阳水	怪物:19BA7270白野猪8	地图:H204	X:41	Y:59 
[2024/8/19 7:1:24] 物品:太阳水	怪物:19BA7270白野猪8	地图:H204	X:41	Y:59 
[2024/8/19 7:1:24] 物品:太阳水	怪物:19BA7270白野猪8	地图:H204	X:41	Y:59 
[2024/8/19 7:1:24] 物品:太阳水	怪物:19BA7270白野猪8	地图:H204	X:41	Y:59 
[2024/8/19 7:1:24] 物品:太阳水	怪物:19BA7270白野猪8	地图:H204	X:41	Y:59 
[2024/8/19 7:1:24] 物品:金创药(中量)	怪物:19BA7270白野猪8	地图:H204	X:41	Y:59 
[2024/8/19 7:1:24] 物品:金创药(中量)	怪物:19BA7270白野猪8	地图:H204	X:41	Y:59 
[2024/8/19 7:1:24] 物品:金创药(中量)	怪物:19BA7270白野猪8	地图:H204	X:41	Y:59 
[2024/8/19 7:1:24] 物品:强效金创药	怪物:19BA7270白野猪8	地图:H204	X:41	Y:59 
[2024/8/19 7:1:24] 物品:强效金创药	怪物:19BA7270白野猪8	地图:H204	X:41	Y:59 
[2024/8/19 7:1:24] 物品:强效金创药	怪物:19BA7270白野猪8	地图:H204	X:41	Y:59 
[2024/8/19 7:1:24] 物品:魔法药(中量)	怪物:19BA7270白野猪8	地图:H204	X:41	Y:59 
[2024/8/19 7:1:24] 物品:魔法药(中量)	怪物:19BA7270白野猪8	地图:H204	X:41	Y:59 
[2024/8/19 7:1:24] 物品:魔法药(中量)	怪物:19BA7270白野猪8	地图:H204	X:41	Y:59 
[2024/8/19 7:1:24] 物品:强效魔法药	怪物:19BA7270白野猪8	地图:H204	X:41	Y:59 
[2024/8/19 7:1:24] 物品:强效魔法药	怪物:19BA7270白野猪8	地图:H204	X:41	Y:59 
[2024/8/19 7:1:24] 物品:强效魔法药	怪物:19BA7270白野猪8	地图:H204	X:41	Y:59 
[2024/8/19 7:1:24] 物品:强效金创药	怪物:19BA7270白野猪8	地图:H204	X:41	Y:59 
[2024/8/19 7:1:24] 物品:强效金创药	怪物:19BA7270白野猪8	地图:H204	X:41	Y:59 
[2024/8/19 7:1:24] 物品:强效金创药	怪物:19BA7270白野猪8	地图:H204	X:41	Y:59 
[2024/8/19 7:1:24] 物品:强效金创药	怪物:19BA7270白野猪8	地图:H204	X:41	Y:59 
[2024/8/19 7:1:24] 物品:强效金创药	怪物:19BA7270白野猪8	地图:H204	X:41	Y:59 
[2024/8/19 7:1:24] 物品:强效金创药	怪物:19BA7270白野猪8	地图:H204	X:41	Y:59 
[2024/8/19 7:1:24] 物品:强效魔法药	怪物:19BA7270白野猪8	地图:H204	X:41	Y:59 
[2024/8/19 7:1:24] 物品:强效魔法药	怪物:19BA7270白野猪8	地图:H204	X:41	Y:59 
[2024/8/19 7:1:24] 物品:强效魔法药	怪物:19BA7270白野猪8	地图:H204	X:41	Y:59 
[2024/8/19 7:1:24] 物品:强效魔法药	怪物:19BA7270白野猪8	地图:H204	X:41	Y:59 
[2024/8/19 7:1:24] 物品:强效魔法药	怪物:19BA7270白野猪8	地图:H204	X:41	Y:59 
[2024/8/19 7:1:24] 物品:强效魔法药	怪物:19BA7270白野猪8	地图:H204	X:41	Y:59 
[2024/8/19 7:1:24] 物品:疾风药水	怪物:19BA7270白野猪8	地图:H204	X:41	Y:59 
[2024/8/19 7:1:28] 物品:强效金创药	怪物:20674A50魔龙破甲兵	地图:66	X:56	Y:123 
[2024/8/19 7:1:28] 物品:太阳水	怪物:20674A50魔龙破甲兵	地图:66	X:56	Y:123 
[2024/8/19 7:1:28] 物品:强效太阳水	怪物:20674A50魔龙破甲兵	地图:66	X:56	Y:123 
[2024/8/19 7:1:28] 物品:强效魔法药	怪物:20674A50魔龙破甲兵	地图:66	X:56	Y:123 
[2024/8/19 7:1:28] 物品:强效魔法药	怪物:20674A50魔龙破甲兵	地图:66	X:56	Y:123 
