[2024/8/17 5:0:6] 物品:金创药(小量)	怪物:190F9100僵尸3	地图:D401	X:89	Y:175 
[2024/8/17 5:12:16] 物品:黑檀手镯	怪物:1B708A50半兽统领	地图:11	X:143	Y:295 
[2024/8/17 5:12:16] 物品:降魔	怪物:1B708A50半兽统领	地图:11	X:143	Y:295 
[2024/8/17 5:12:16] 物品:黑色水晶戒指	怪物:1B708A50半兽统领	地图:11	X:143	Y:295 
[2024/8/17 5:12:16] 物品:珍珠戒指	怪物:1B708A50半兽统领	地图:11	X:143	Y:295 
[2024/8/17 5:12:16] 物品:白色虎齿项链	怪物:1B708A50半兽统领	地图:11	X:143	Y:295 
[2024/8/17 5:12:35] 物品:金创药(小量)	怪物:28363D20僵尸3	地图:D401	X:32	Y:33 
[2024/8/17 5:12:41] 物品:刺杀剑术	怪物:28008780僵尸2	地图:D401	X:146	Y:44 
[2024/8/17 5:12:57] 物品:金创药(小量)	怪物:27A51D50僵尸3	地图:D401	X:30	Y:31 
[2024/8/17 5:12:57] 物品:诱惑之光	怪物:27A51D50僵尸3	地图:D401	X:30	Y:31 
[2024/8/17 5:13:8] 物品:金创药(小量)	怪物:28363D20僵尸3	地图:D401	X:30	Y:31 
[2024/8/17 5:13:24] 物品:金创药(小量)	怪物:0628B570僵尸3	地图:D401	X:148	Y:112 
[2024/8/17 5:13:45] 物品:太阳水	怪物:28BFE4C0僵尸2	地图:D401	X:137	Y:120 
[2024/8/17 5:13:57] 物品:魔法药(小量)	怪物:03B1FF70僵尸3	地图:D401	X:149	Y:125 
[2024/8/17 5:13:57] 物品:雷电术	怪物:03B1FF70僵尸3	地图:D401	X:149	Y:125 
[2024/8/17 5:14:4] 物品:金创药(小量)	怪物:18C517F0僵尸3	地图:D401	X:151	Y:127 
[2024/8/17 5:14:4] 物品:魔法药(小量)	怪物:18C517F0僵尸3	地图:D401	X:151	Y:127 
[2024/8/17 5:14:25] 物品:魔法药(小量)	怪物:18E2CE30僵尸3	地图:D401	X:150	Y:137 
[2024/8/17 5:14:25] 物品:太阳水	怪物:18E2CE30僵尸3	地图:D401	X:150	Y:137 
[2024/8/17 5:14:25] 物品:魔法药(小量)	怪物:1936F5B0僵尸3	地图:D401	X:26	Y:26 
[2024/8/17 5:14:31] 物品:金创药(小量)	怪物:0DDEAC10僵尸3	地图:D401	X:150	Y:136 
[2024/8/17 5:14:57] 物品:金创药(小量)	怪物:0DDEAC10僵尸3	地图:D401	X:150	Y:136 
[2024/8/17 5:15:9] 物品:施毒术	怪物:1972F5B0僵尸3	地图:D401	X:148	Y:142 
[2024/8/17 5:15:12] 物品:金创药(小量)	怪物:18E2CE30僵尸3	地图:D401	X:151	Y:138 
[2024/8/17 5:15:15] 物品:魔法药(小量)	怪物:0DDEAC10僵尸3	地图:D401	X:150	Y:136 
[2024/8/17 5:15:26] 物品:幽灵盾	怪物:1B7D5560僵尸3	地图:D401	X:163	Y:146 
[2024/8/17 5:15:32] 物品:基本剑术	怪物:03B1A6B0僵尸2	地图:D401	X:161	Y:145 
[2024/8/17 5:15:50] 物品:金创药(小量)	怪物:1972F5B0僵尸3	地图:D401	X:148	Y:142 
[2024/8/17 5:16:2] 物品:太阳水	怪物:18EF1640黑野猪8	地图:H002	X:231	Y:74 
[2024/8/17 5:16:30] 物品:金创药(小量)	怪物:29A9CDF0僵尸3	地图:D401	X:124	Y:157 
[2024/8/17 5:16:39] 物品:金创药(小量)	怪物:17C691F0僵尸3	地图:D401	X:123	Y:157 
[2024/8/17 5:16:52] 物品:金创药(小量)	怪物:058CB4D0僵尸3	地图:D401	X:115	Y:162 
[2024/8/17 5:18:18] 物品:火球术	怪物:15D06A30僵尸3	地图:D401	X:44	Y:176 
[2024/8/17 5:18:30] 物品:金创药(小量)	怪物:283137C0僵尸3	地图:D401	X:44	Y:174 
[2024/8/17 5:18:40] 物品:金创药(小量)	怪物:0D77E1D0僵尸3	地图:D401	X:43	Y:174 
[2024/8/17 5:18:46] 物品:魔法药(小量)	怪物:283137C0僵尸3	地图:D401	X:44	Y:174 
[2024/8/17 5:18:51] 物品:金创药(小量)	怪物:27810680僵尸3	地图:D401	X:19	Y:23 
[2024/8/17 5:18:51] 物品:魔法药(小量)	怪物:27810680僵尸3	地图:D401	X:19	Y:23 
[2024/8/17 5:18:57] 物品:金创药(小量)	怪物:283137C0僵尸3	地图:D401	X:44	Y:174 
[2024/8/17 5:18:58] 物品:强效太阳水	怪物:18D65370尸王8	地图:H001	X:86	Y:28 
[2024/8/17 5:18:58] 物品:强效太阳水	怪物:18D65370尸王8	地图:H001	X:86	Y:28 
[2024/8/17 5:18:58] 物品:强效太阳水	怪物:18D65370尸王8	地图:H001	X:86	Y:28 
[2024/8/17 5:18:58] 物品:强效太阳水	怪物:18D65370尸王8	地图:H001	X:86	Y:28 
[2024/8/17 5:18:58] 物品:强效太阳水	怪物:18D65370尸王8	地图:H001	X:86	Y:28 
[2024/8/17 5:18:58] 物品:强效金创药	怪物:18D65370尸王8	地图:H001	X:86	Y:28 
[2024/8/17 5:18:58] 物品:强效金创药	怪物:18D65370尸王8	地图:H001	X:86	Y:28 
[2024/8/17 5:18:58] 物品:强效魔法药	怪物:18D65370尸王8	地图:H001	X:86	Y:28 
[2024/8/17 5:18:58] 物品:强效魔法药	怪物:18D65370尸王8	地图:H001	X:86	Y:28 
[2024/8/17 5:18:58] 物品:黑色水晶戒指	怪物:18D65370尸王8	地图:H001	X:86	Y:28 
[2024/8/17 5:18:58] 物品:黑檀手镯	怪物:18D65370尸王8	地图:H001	X:86	Y:28 
[2024/8/17 5:18:58] 物品:魔力手镯	怪物:18D65370尸王8	地图:H001	X:86	Y:28 
[2024/8/17 5:18:58] 物品:金创药(小量)	怪物:15D06A30僵尸3	地图:D401	X:44	Y:176 
[2024/8/17 5:19:33] 物品:灵魂火符	怪物:057AB320僵尸20	地图:D401	X:49	Y:182 
[2024/8/17 5:19:33] 物品:雷电术	怪物:057AB320僵尸20	地图:D401	X:49	Y:182 
[2024/8/17 5:19:33] 物品:诱惑之光	怪物:057AB320僵尸20	地图:D401	X:49	Y:182 
[2024/8/17 5:19:33] 物品:铁剑	怪物:057AB320僵尸20	地图:D401	X:49	Y:182 
[2024/8/17 5:19:33] 物品:短剑	怪物:057AB320僵尸20	地图:D401	X:49	Y:182 
[2024/8/17 5:19:40] 物品:白色虎齿项链	怪物:285F1540黑野猪8	地图:H002	X:214	Y:65 
[2024/8/17 5:19:45] 物品:魔法药(小量)	怪物:057C1290僵尸3	地图:D401	X:31	Y:176 
[2024/8/17 5:20:30] 物品:记忆手镯	怪物:190C89F0恶灵尸王8	地图:H001	X:73	Y:22 
[2024/8/17 5:20:31] 物品:强效太阳水	怪物:057528A0沃玛卫士8	地图:H003	X:68	Y:64 
[2024/8/17 5:20:31] 物品:强效太阳水	怪物:057528A0沃玛卫士8	地图:H003	X:68	Y:64 
[2024/8/17 5:20:31] 物品:强效太阳水	怪物:057528A0沃玛卫士8	地图:H003	X:68	Y:64 
[2024/8/17 5:20:31] 物品:强效太阳水	怪物:057528A0沃玛卫士8	地图:H003	X:68	Y:64 
[2024/8/17 5:20:31] 物品:强效太阳水	怪物:057528A0沃玛卫士8	地图:H003	X:68	Y:64 
[2024/8/17 5:20:31] 物品:太阳水	怪物:057528A0沃玛卫士8	地图:H003	X:68	Y:64 
[2024/8/17 5:20:31] 物品:太阳水	怪物:057528A0沃玛卫士8	地图:H003	X:68	Y:64 
[2024/8/17 5:20:31] 物品:太阳水	怪物:057528A0沃玛卫士8	地图:H003	X:68	Y:64 
[2024/8/17 5:20:31] 物品:太阳水	怪物:057528A0沃玛卫士8	地图:H003	X:68	Y:64 
[2024/8/17 5:20:31] 物品:太阳水	怪物:057528A0沃玛卫士8	地图:H003	X:68	Y:64 
[2024/8/17 5:20:31] 物品:太阳水	怪物:057528A0沃玛卫士8	地图:H003	X:68	Y:64 
[2024/8/17 5:20:31] 物品:太阳水	怪物:057528A0沃玛卫士8	地图:H003	X:68	Y:64 
[2024/8/17 5:20:31] 物品:太阳水	怪物:057528A0沃玛卫士8	地图:H003	X:68	Y:64 
[2024/8/17 5:20:31] 物品:太阳水	怪物:057528A0沃玛卫士8	地图:H003	X:68	Y:64 
[2024/8/17 5:20:31] 物品:太阳水	怪物:057528A0沃玛卫士8	地图:H003	X:68	Y:64 
[2024/8/17 5:20:31] 物品:金创药(中量)	怪物:057528A0沃玛卫士8	地图:H003	X:68	Y:64 
[2024/8/17 5:20:31] 物品:金创药(中量)	怪物:057528A0沃玛卫士8	地图:H003	X:68	Y:64 
[2024/8/17 5:20:31] 物品:强效金创药	怪物:057528A0沃玛卫士8	地图:H003	X:68	Y:64 
[2024/8/17 5:20:31] 物品:强效金创药	怪物:057528A0沃玛卫士8	地图:H003	X:68	Y:64 
[2024/8/17 5:20:31] 物品:强效金创药	怪物:057528A0沃玛卫士8	地图:H003	X:68	Y:64 
[2024/8/17 5:20:31] 物品:魔法药(中量)	怪物:057528A0沃玛卫士8	地图:H003	X:68	Y:64 
[2024/8/17 5:20:31] 物品:魔法药(中量)	怪物:057528A0沃玛卫士8	地图:H003	X:68	Y:64 
[2024/8/17 5:20:31] 物品:强效魔法药	怪物:057528A0沃玛卫士8	地图:H003	X:68	Y:64 
[2024/8/17 5:20:31] 物品:强效魔法药	怪物:057528A0沃玛卫士8	地图:H003	X:68	Y:64 
[2024/8/17 5:20:31] 物品:强效魔法药	怪物:057528A0沃玛卫士8	地图:H003	X:68	Y:64 
[2024/8/17 5:20:31] 物品:凤凰明珠	怪物:057528A0沃玛卫士8	地图:H003	X:68	Y:64 
[2024/8/17 5:20:31] 物品:道德戒指	怪物:057528A0沃玛卫士8	地图:H003	X:68	Y:64 
[2024/8/17 5:20:31] 物品:珊瑚戒指	怪物:057528A0沃玛卫士8	地图:H003	X:68	Y:64 
[2024/8/17 5:20:31] 物品:烈火剑法	怪物:057528A0沃玛卫士8	地图:H003	X:68	Y:64 
[2024/8/17 5:20:35] 物品:太阳水	怪物:039FA0C0黑色恶蛆8	地图:H001	X:39	Y:136 
[2024/8/17 5:21:26] 物品:太阳水	怪物:28588200黑野猪8	地图:H002	X:195	Y:73 
[2024/8/17 5:21:53] 物品:太阳水	怪物:304D62D0黑野猪8	地图:H002	X:190	Y:77 
[2024/8/17 5:21:54] 物品:金创药(小量)	怪物:03860C40僵尸3	地图:D401	X:89	Y:173 
[2024/8/17 5:22:38] 物品:强效太阳水	怪物:282CC970尸王8	地图:H001	X:27	Y:135 
[2024/8/17 5:22:38] 物品:强效太阳水	怪物:282CC970尸王8	地图:H001	X:27	Y:135 
[2024/8/17 5:22:38] 物品:强效太阳水	怪物:282CC970尸王8	地图:H001	X:27	Y:135 
[2024/8/17 5:22:38] 物品:强效太阳水	怪物:282CC970尸王8	地图:H001	X:27	Y:135 
[2024/8/17 5:22:38] 物品:强效太阳水	怪物:282CC970尸王8	地图:H001	X:27	Y:135 
[2024/8/17 5:22:38] 物品:强效金创药	怪物:282CC970尸王8	地图:H001	X:27	Y:135 
[2024/8/17 5:22:38] 物品:强效金创药	怪物:282CC970尸王8	地图:H001	X:27	Y:135 
[2024/8/17 5:22:38] 物品:强效魔法药	怪物:282CC970尸王8	地图:H001	X:27	Y:135 
[2024/8/17 5:22:38] 物品:强效魔法药	怪物:282CC970尸王8	地图:H001	X:27	Y:135 
[2024/8/17 5:22:38] 物品:黑色水晶戒指	怪物:282CC970尸王8	地图:H001	X:27	Y:135 
[2024/8/17 5:22:38] 物品:魔力手镯	怪物:282CC970尸王8	地图:H001	X:27	Y:135 
[2024/8/17 5:22:39] 物品:魔法药(中量)	怪物:29C07010恶灵僵尸8	地图:H001	X:41	Y:17 
[2024/8/17 5:22:57] 物品:攻杀剑术	怪物:27727AD0僵尸3	地图:D401	X:41	Y:106 
[2024/8/17 5:24:11] 物品:魔法药(小量)	怪物:29AF5CB0僵尸3	地图:D401	X:46	Y:69 
[2024/8/17 5:24:27] 物品:金创药(小量)	怪物:285C50C0僵尸3	地图:D401	X:38	Y:62 
[2024/8/17 5:24:52] 物品:太阳水	怪物:286B1F00僵尸2	地图:D401	X:50	Y:59 
[2024/8/17 5:25:31] 物品:金创药(小量)	怪物:055F6AC0僵尸3	地图:D401	X:58	Y:46 
[2024/8/17 5:25:31] 物品:魔法药(小量)	怪物:055F6AC0僵尸3	地图:D401	X:58	Y:46 
[2024/8/17 5:25:43] 物品:金创药(小量)	怪物:2827C410僵尸3	地图:D401	X:58	Y:44 
[2024/8/17 5:26:11] 物品:强效太阳水	怪物:0D77E1D0尸王8	地图:H001	X:14	Y:23 
[2024/8/17 5:26:11] 物品:强效太阳水	怪物:0D77E1D0尸王8	地图:H001	X:14	Y:23 
[2024/8/17 5:26:11] 物品:强效太阳水	怪物:0D77E1D0尸王8	地图:H001	X:14	Y:23 
[2024/8/17 5:26:11] 物品:强效太阳水	怪物:0D77E1D0尸王8	地图:H001	X:14	Y:23 
[2024/8/17 5:26:11] 物品:强效太阳水	怪物:0D77E1D0尸王8	地图:H001	X:14	Y:23 
[2024/8/17 5:26:11] 物品:强效金创药	怪物:0D77E1D0尸王8	地图:H001	X:14	Y:23 
[2024/8/17 5:26:11] 物品:强效金创药	怪物:0D77E1D0尸王8	地图:H001	X:14	Y:23 
[2024/8/17 5:26:11] 物品:强效魔法药	怪物:0D77E1D0尸王8	地图:H001	X:14	Y:23 
[2024/8/17 5:26:11] 物品:强效魔法药	怪物:0D77E1D0尸王8	地图:H001	X:14	Y:23 
[2024/8/17 5:26:11] 物品:蛇眼戒指	怪物:0D77E1D0尸王8	地图:H001	X:14	Y:23 
[2024/8/17 5:26:11] 物品:珍珠戒指	怪物:0D77E1D0尸王8	地图:H001	X:14	Y:23 
[2024/8/17 5:26:11] 物品:道德戒指	怪物:0D77E1D0尸王8	地图:H001	X:14	Y:23 
[2024/8/17 5:26:11] 物品:黑檀手镯	怪物:0D77E1D0尸王8	地图:H001	X:14	Y:23 
[2024/8/17 5:26:11] 物品:群体治疗术	怪物:0D77E1D0尸王8	地图:H001	X:14	Y:23 
[2024/8/17 5:26:11] 物品:圣言术	怪物:0D77E1D0尸王8	地图:H001	X:14	Y:23 
[2024/8/17 5:26:24] 物品:金创药(小量)	怪物:284BF760僵尸3	地图:D401	X:84	Y:26 
[2024/8/17 5:27:4] 物品:魔法药(小量)	怪物:1CE55560僵尸3	地图:D401	X:82	Y:17 
[2024/8/17 5:27:8] 物品:强效太阳水	怪物:28441750沃玛卫士8	地图:H003	X:37	Y:38 
[2024/8/17 5:27:8] 物品:强效太阳水	怪物:28441750沃玛卫士8	地图:H003	X:37	Y:38 
[2024/8/17 5:27:8] 物品:强效太阳水	怪物:28441750沃玛卫士8	地图:H003	X:37	Y:38 
[2024/8/17 5:27:8] 物品:强效太阳水	怪物:28441750沃玛卫士8	地图:H003	X:37	Y:38 
[2024/8/17 5:27:8] 物品:强效太阳水	怪物:28441750沃玛卫士8	地图:H003	X:37	Y:38 
[2024/8/17 5:27:8] 物品:太阳水	怪物:28441750沃玛卫士8	地图:H003	X:37	Y:38 
[2024/8/17 5:27:8] 物品:太阳水	怪物:28441750沃玛卫士8	地图:H003	X:37	Y:38 
[2024/8/17 5:27:8] 物品:太阳水	怪物:28441750沃玛卫士8	地图:H003	X:37	Y:38 
[2024/8/17 5:27:8] 物品:太阳水	怪物:28441750沃玛卫士8	地图:H003	X:37	Y:38 
[2024/8/17 5:27:8] 物品:太阳水	怪物:28441750沃玛卫士8	地图:H003	X:37	Y:38 
[2024/8/17 5:27:8] 物品:太阳水	怪物:28441750沃玛卫士8	地图:H003	X:37	Y:38 
[2024/8/17 5:27:8] 物品:太阳水	怪物:28441750沃玛卫士8	地图:H003	X:37	Y:38 
[2024/8/17 5:27:8] 物品:太阳水	怪物:28441750沃玛卫士8	地图:H003	X:37	Y:38 
[2024/8/17 5:27:8] 物品:太阳水	怪物:28441750沃玛卫士8	地图:H003	X:37	Y:38 
[2024/8/17 5:27:8] 物品:太阳水	怪物:28441750沃玛卫士8	地图:H003	X:37	Y:38 
[2024/8/17 5:27:8] 物品:金创药(中量)	怪物:28441750沃玛卫士8	地图:H003	X:37	Y:38 
[2024/8/17 5:27:8] 物品:金创药(中量)	怪物:28441750沃玛卫士8	地图:H003	X:37	Y:38 
[2024/8/17 5:27:8] 物品:强效金创药	怪物:28441750沃玛卫士8	地图:H003	X:37	Y:38 
[2024/8/17 5:27:8] 物品:强效金创药	怪物:28441750沃玛卫士8	地图:H003	X:37	Y:38 
[2024/8/17 5:27:8] 物品:强效金创药	怪物:28441750沃玛卫士8	地图:H003	X:37	Y:38 
[2024/8/17 5:27:8] 物品:魔法药(中量)	怪物:28441750沃玛卫士8	地图:H003	X:37	Y:38 
[2024/8/17 5:27:8] 物品:魔法药(中量)	怪物:28441750沃玛卫士8	地图:H003	X:37	Y:38 
[2024/8/17 5:27:8] 物品:强效魔法药	怪物:28441750沃玛卫士8	地图:H003	X:37	Y:38 
[2024/8/17 5:27:8] 物品:强效魔法药	怪物:28441750沃玛卫士8	地图:H003	X:37	Y:38 
[2024/8/17 5:27:8] 物品:强效魔法药	怪物:28441750沃玛卫士8	地图:H003	X:37	Y:38 
[2024/8/17 5:27:8] 物品:攻击神水	怪物:28441750沃玛卫士8	地图:H003	X:37	Y:38 
[2024/8/17 5:27:8] 物品:无极棍	怪物:28441750沃玛卫士8	地图:H003	X:37	Y:38 
[2024/8/17 5:27:8] 物品:珍珠戒指	怪物:28441750沃玛卫士8	地图:H003	X:37	Y:38 
[2024/8/17 5:27:8] 物品:施毒术	怪物:28441750沃玛卫士8	地图:H003	X:37	Y:38 
