[2024/8/19 14:0:0] 物品:金创药(小量)	怪物:28C42270僵尸4	地图:H201	X:29	Y:70 
[2024/8/19 14:0:17] 物品:野蛮冲撞	怪物:1BED9350尸王8	地图:H201	X:29	Y:70 
[2024/8/19 14:0:19] 物品:八荒	怪物:2DD601C0祖玛弓箭手8	地图:H204	X:14	Y:54 
[2024/8/19 14:0:24] 物品:心灵启示	怪物:0DB09C70僵尸3	地图:D402	X:98	Y:109 
[2024/8/19 14:0:25] 物品:魔法药(小量)	怪物:296217F0骷髅战士	地图:D002	X:354	Y:63 
[2024/8/19 14:0:26] 物品:太阳水	怪物:284828A0祖玛雕像8	地图:H204	X:13	Y:58 
[2024/8/19 14:0:26] 物品:太阳水	怪物:1A3AC950奴隶	地图:F004	X:16	Y:32 
[2024/8/19 14:0:26] 物品:强效金创药	怪物:1A3AC950奴隶	地图:F004	X:16	Y:32 
[2024/8/19 14:0:31] 物品:强效太阳水	怪物:19BA7270尸王8	地图:H201	X:38	Y:65 
[2024/8/19 14:0:31] 物品:强效太阳水	怪物:19BA7270尸王8	地图:H201	X:38	Y:65 
[2024/8/19 14:0:31] 物品:强效太阳水	怪物:19BA7270尸王8	地图:H201	X:38	Y:65 
[2024/8/19 14:0:31] 物品:强效太阳水	怪物:19BA7270尸王8	地图:H201	X:38	Y:65 
[2024/8/19 14:0:31] 物品:强效太阳水	怪物:19BA7270尸王8	地图:H201	X:38	Y:65 
[2024/8/19 14:0:31] 物品:强效金创药	怪物:19BA7270尸王8	地图:H201	X:38	Y:65 
[2024/8/19 14:0:31] 物品:强效金创药	怪物:19BA7270尸王8	地图:H201	X:38	Y:65 
[2024/8/19 14:0:31] 物品:强效魔法药	怪物:19BA7270尸王8	地图:H201	X:38	Y:65 
[2024/8/19 14:0:31] 物品:强效魔法药	怪物:19BA7270尸王8	地图:H201	X:38	Y:65 
[2024/8/19 14:0:31] 物品:黑色水晶戒指	怪物:19BA7270尸王8	地图:H201	X:38	Y:65 
[2024/8/19 14:0:31] 物品:黑檀手镯	怪物:19BA7270尸王8	地图:H201	X:38	Y:65 
[2024/8/19 14:0:31] 物品:金创药(小量)	怪物:1EF44B60僵尸5	地图:H201	X:38	Y:66 
[2024/8/19 14:0:36] 物品:蓝色水晶戒指	怪物:1C104C00祖玛弓箭手8	地图:H204	X:19	Y:64 
[2024/8/19 14:0:47] 物品:强效太阳水	怪物:24603A90尸王8	地图:H201	X:37	Y:63 
[2024/8/19 14:0:47] 物品:强效太阳水	怪物:24603A90尸王8	地图:H201	X:37	Y:63 
[2024/8/19 14:0:47] 物品:强效太阳水	怪物:24603A90尸王8	地图:H201	X:37	Y:63 
[2024/8/19 14:0:47] 物品:强效太阳水	怪物:24603A90尸王8	地图:H201	X:37	Y:63 
[2024/8/19 14:0:47] 物品:强效太阳水	怪物:24603A90尸王8	地图:H201	X:37	Y:63 
[2024/8/19 14:0:47] 物品:强效金创药	怪物:24603A90尸王8	地图:H201	X:37	Y:63 
[2024/8/19 14:0:47] 物品:强效金创药	怪物:24603A90尸王8	地图:H201	X:37	Y:63 
[2024/8/19 14:0:47] 物品:强效魔法药	怪物:24603A90尸王8	地图:H201	X:37	Y:63 
[2024/8/19 14:0:47] 物品:强效魔法药	怪物:24603A90尸王8	地图:H201	X:37	Y:63 
[2024/8/19 14:0:47] 物品:魅力戒指	怪物:24603A90尸王8	地图:H201	X:37	Y:63 
[2024/8/19 14:0:47] 物品:魔力手镯	怪物:24603A90尸王8	地图:H201	X:37	Y:63 
[2024/8/19 14:0:47] 物品:强效魔法药	怪物:31EE14A0魔龙刀兵	地图:66	X:73	Y:150 
[2024/8/19 14:0:48] 物品:金创药(小量)	怪物:198617D0骷髅战士	地图:D002	X:358	Y:57 
[2024/8/19 14:0:48] 物品:魔法药(小量)	怪物:198617D0骷髅战士	地图:D002	X:358	Y:57 
[2024/8/19 14:0:50] 物品:降魔	怪物:0DAF4FA0奴隶	地图:F004	X:16	Y:32 
[2024/8/19 14:0:50] 物品:太阳水	怪物:0DAF4FA0奴隶	地图:F004	X:16	Y:32 
[2024/8/19 14:0:53] 物品:太阳水	怪物:2A3B0570恶灵尸王	地图:H201	X:38	Y:65 
[2024/8/19 14:0:53] 物品:爆裂火焰	怪物:2A3B0570恶灵尸王	地图:H201	X:38	Y:65 
[2024/8/19 14:0:53] 物品:隐身术	怪物:2A3B0570恶灵尸王	地图:H201	X:38	Y:65 
[2024/8/19 14:0:53] 物品:地狱火	怪物:2A3B0570恶灵尸王	地图:H201	X:38	Y:65 
[2024/8/19 14:0:57] 物品:金创药(中量)	怪物:2899D1C0恶灵僵尸8	地图:H001	X:133	Y:65 
[2024/8/19 14:0:58] 物品:魔法药(小量)	怪物:1931D5E0僵尸3	地图:D401	X:64	Y:160 
[2024/8/19 14:1:1] 物品:强效金创药	怪物:19FE9CF0魔龙刀兵2	地图:66	X:74	Y:149 
[2024/8/19 14:1:4] 物品:金创药(小量)	怪物:2971EC30僵尸4	地图:H201	X:36	Y:55 
[2024/8/19 14:1:8] 物品:灵魂火符	怪物:226CF050僵尸40	地图:H201	X:36	Y:55 
[2024/8/19 14:1:8] 物品:抗拒火环	怪物:226CF050僵尸40	地图:H201	X:36	Y:55 
[2024/8/19 14:1:8] 物品:精神力战法	怪物:226CF050僵尸40	地图:H201	X:36	Y:55 
[2024/8/19 14:1:8] 物品:火球术	怪物:226CF050僵尸40	地图:H201	X:36	Y:55 
[2024/8/19 14:1:8] 物品:治愈术	怪物:226CF050僵尸40	地图:H201	X:36	Y:55 
[2024/8/19 14:1:8] 物品:基本剑术	怪物:226CF050僵尸40	地图:H201	X:36	Y:55 
[2024/8/19 14:1:8] 物品:青铜头盔	怪物:226CF050僵尸40	地图:H201	X:36	Y:55 
[2024/8/19 14:1:8] 物品:魔法药(小量)	怪物:226CF050僵尸40	地图:H201	X:36	Y:55 
[2024/8/19 14:1:14] 物品:强效魔法药	怪物:28AF1C70祖玛弓箭手8	地图:H204	X:41	Y:61 
[2024/8/19 14:1:17] 物品:诱惑之光	怪物:28092190恶灵尸王	地图:H201	X:37	Y:57 
[2024/8/19 14:1:19] 物品:魔力手镯	怪物:1E0BAC10祖玛弓箭手8	地图:H204	X:43	Y:56 
[2024/8/19 14:1:27] 物品:攻杀剑术	怪物:05040E50恶灵尸王	地图:H201	X:38	Y:58 
[2024/8/19 14:1:30] 物品:太阳水	怪物:2AB5E460黑野猪8	地图:H002	X:185	Y:176 
[2024/8/19 14:1:32] 物品:魔法药(中量)	怪物:1A1B83B0僵尸1	地图:H201	X:37	Y:56 
[2024/8/19 14:1:32] 物品:强效太阳水	怪物:1EE390C0尸王8	地图:H201	X:37	Y:58 
[2024/8/19 14:1:32] 物品:强效太阳水	怪物:1EE390C0尸王8	地图:H201	X:37	Y:58 
[2024/8/19 14:1:32] 物品:强效太阳水	怪物:1EE390C0尸王8	地图:H201	X:37	Y:58 
[2024/8/19 14:1:32] 物品:强效太阳水	怪物:1EE390C0尸王8	地图:H201	X:37	Y:58 
[2024/8/19 14:1:32] 物品:强效太阳水	怪物:1EE390C0尸王8	地图:H201	X:37	Y:58 
[2024/8/19 14:1:32] 物品:强效金创药	怪物:1EE390C0尸王8	地图:H201	X:37	Y:58 
[2024/8/19 14:1:32] 物品:强效金创药	怪物:1EE390C0尸王8	地图:H201	X:37	Y:58 
[2024/8/19 14:1:32] 物品:强效魔法药	怪物:1EE390C0尸王8	地图:H201	X:37	Y:58 
[2024/8/19 14:1:32] 物品:强效魔法药	怪物:1EE390C0尸王8	地图:H201	X:37	Y:58 
[2024/8/19 14:1:32] 物品:黑檀手镯	怪物:1EE390C0尸王8	地图:H201	X:37	Y:58 
[2024/8/19 14:1:33] 物品:金创药(小量)	怪物:05C3DD50僵尸3	地图:D402	X:88	Y:60 
[2024/8/19 14:1:33] 物品:强效太阳水	怪物:297C5830尸王8	地图:H201	X:38	Y:56 
[2024/8/19 14:1:33] 物品:强效太阳水	怪物:297C5830尸王8	地图:H201	X:38	Y:56 
[2024/8/19 14:1:33] 物品:强效太阳水	怪物:297C5830尸王8	地图:H201	X:38	Y:56 
[2024/8/19 14:1:33] 物品:强效太阳水	怪物:297C5830尸王8	地图:H201	X:38	Y:56 
[2024/8/19 14:1:33] 物品:强效太阳水	怪物:297C5830尸王8	地图:H201	X:38	Y:56 
[2024/8/19 14:1:33] 物品:强效金创药	怪物:297C5830尸王8	地图:H201	X:38	Y:56 
[2024/8/19 14:1:33] 物品:强效金创药	怪物:297C5830尸王8	地图:H201	X:38	Y:56 
[2024/8/19 14:1:33] 物品:强效魔法药	怪物:297C5830尸王8	地图:H201	X:38	Y:56 
[2024/8/19 14:1:33] 物品:强效魔法药	怪物:297C5830尸王8	地图:H201	X:38	Y:56 
[2024/8/19 14:1:33] 物品:珊瑚戒指	怪物:297C5830尸王8	地图:H201	X:38	Y:56 
[2024/8/19 14:1:33] 物品:蛇眼戒指	怪物:297C5830尸王8	地图:H201	X:38	Y:56 
[2024/8/19 14:1:33] 物品:生铁戒指	怪物:297C5830尸王8	地图:H201	X:38	Y:56 
[2024/8/19 14:1:35] 物品:强效太阳水	怪物:29AB0490尸王8	地图:H201	X:37	Y:57 
[2024/8/19 14:1:35] 物品:强效太阳水	怪物:29AB0490尸王8	地图:H201	X:37	Y:57 
[2024/8/19 14:1:35] 物品:强效太阳水	怪物:29AB0490尸王8	地图:H201	X:37	Y:57 
[2024/8/19 14:1:35] 物品:强效太阳水	怪物:29AB0490尸王8	地图:H201	X:37	Y:57 
[2024/8/19 14:1:35] 物品:强效太阳水	怪物:29AB0490尸王8	地图:H201	X:37	Y:57 
[2024/8/19 14:1:35] 物品:强效金创药	怪物:29AB0490尸王8	地图:H201	X:37	Y:57 
[2024/8/19 14:1:35] 物品:强效金创药	怪物:29AB0490尸王8	地图:H201	X:37	Y:57 
[2024/8/19 14:1:35] 物品:强效魔法药	怪物:29AB0490尸王8	地图:H201	X:37	Y:57 
[2024/8/19 14:1:35] 物品:强效魔法药	怪物:29AB0490尸王8	地图:H201	X:37	Y:57 
[2024/8/19 14:1:35] 物品:骷髅戒指	怪物:29AB0490尸王8	地图:H201	X:37	Y:57 
[2024/8/19 14:1:35] 物品:黑檀手镯	怪物:29AB0490尸王8	地图:H201	X:37	Y:57 
[2024/8/19 14:1:37] 物品:灵魂火符	怪物:226CF050僵尸40	地图:H201	X:37	Y:56 
[2024/8/19 14:1:37] 物品:雷电术	怪物:226CF050僵尸40	地图:H201	X:37	Y:56 
[2024/8/19 14:1:37] 物品:抗拒火环	怪物:226CF050僵尸40	地图:H201	X:37	Y:56 
[2024/8/19 14:1:37] 物品:精神力战法	怪物:226CF050僵尸40	地图:H201	X:37	Y:56 
[2024/8/19 14:1:37] 物品:火球术	怪物:226CF050僵尸40	地图:H201	X:37	Y:56 
[2024/8/19 14:1:37] 物品:治愈术	怪物:226CF050僵尸40	地图:H201	X:37	Y:56 
[2024/8/19 14:1:37] 物品:基本剑术	怪物:226CF050僵尸40	地图:H201	X:37	Y:56 
[2024/8/19 14:1:37] 物品:铁剑	怪物:226CF050僵尸40	地图:H201	X:37	Y:56 
[2024/8/19 14:1:37] 物品:中型盔甲(男)	怪物:226CF050僵尸40	地图:H201	X:37	Y:56 
[2024/8/19 14:1:37] 物品:金创药(小量)	怪物:226CF050僵尸40	地图:H201	X:37	Y:56 
[2024/8/19 14:1:37] 物品:金创药(小量)	怪物:226CF050僵尸40	地图:H201	X:37	Y:56 
[2024/8/19 14:1:37] 物品:金创药(小量)	怪物:226CF050僵尸40	地图:H201	X:37	Y:56 
[2024/8/19 14:1:49] 物品:强效金创药	怪物:0D6CF4F0魔龙射手	地图:66	X:67	Y:150 
[2024/8/19 14:1:51] 物品:强效太阳水	怪物:299E10C0尸王8	地图:H201	X:37	Y:50 
[2024/8/19 14:1:51] 物品:强效太阳水	怪物:299E10C0尸王8	地图:H201	X:37	Y:50 
[2024/8/19 14:1:51] 物品:强效太阳水	怪物:299E10C0尸王8	地图:H201	X:37	Y:50 
[2024/8/19 14:1:51] 物品:强效太阳水	怪物:299E10C0尸王8	地图:H201	X:37	Y:50 
[2024/8/19 14:1:51] 物品:强效太阳水	怪物:299E10C0尸王8	地图:H201	X:37	Y:50 
[2024/8/19 14:1:51] 物品:强效金创药	怪物:299E10C0尸王8	地图:H201	X:37	Y:50 
[2024/8/19 14:1:51] 物品:强效金创药	怪物:299E10C0尸王8	地图:H201	X:37	Y:50 
[2024/8/19 14:1:51] 物品:强效魔法药	怪物:299E10C0尸王8	地图:H201	X:37	Y:50 
[2024/8/19 14:1:51] 物品:强效魔法药	怪物:299E10C0尸王8	地图:H201	X:37	Y:50 
[2024/8/19 14:1:51] 物品:黑色水晶戒指	怪物:299E10C0尸王8	地图:H201	X:37	Y:50 
[2024/8/19 14:1:51] 物品:珍珠戒指	怪物:299E10C0尸王8	地图:H201	X:37	Y:50 
[2024/8/19 14:1:51] 物品:地狱雷光	怪物:299E10C0尸王8	地图:H201	X:37	Y:50 
[2024/8/19 14:1:52] 物品:魔法药(小量)	怪物:1A42C9B0僵尸5	地图:H201	X:36	Y:50 
[2024/8/19 14:1:56] 物品:太阳水	怪物:2828F930黑野猪8	地图:H002	X:198	Y:165 
[2024/8/19 14:1:57] 物品:金创药(小量)	怪物:1C767610僵尸4	地图:H201	X:38	Y:49 
[2024/8/19 14:2:0] 物品:放大镜	怪物:28FEB340祖玛弓箭手8	地图:H204	X:66	Y:79 
[2024/8/19 14:2:1] 物品:魔法药(小量)	怪物:18976BD0僵尸4	地图:H201	X:37	Y:48 
[2024/8/19 14:2:2] 物品:青铜头盔	怪物:2492A300掷斧骷髅	地图:D002	X:361	Y:53 
[2024/8/19 14:2:7] 物品:魔鬼项链	怪物:1BFB4120祖玛雕像8	地图:H204	X:64	Y:81 
[2024/8/19 14:2:11] 物品:灵魂火符	怪物:1E9D29A0恶灵尸王	地图:H201	X:37	Y:47 
[2024/8/19 14:2:20] 物品:金创药(小量)	怪物:27595BA0僵尸5	地图:H201	X:40	Y:45 
[2024/8/19 14:2:21] 物品:魔法长袍(女)	怪物:2266EE60祖玛卫士8	地图:H204	X:78	Y:77 
[2024/8/19 14:2:21] 物品:生铁戒指	怪物:2266EE60祖玛卫士8	地图:H204	X:78	Y:77 
[2024/8/19 14:2:23] 物品:道士手镯	怪物:29125A80魔龙破甲兵1	地图:66	X:65	Y:152 
[2024/8/19 14:2:24] 物品:强效魔法药	怪物:27D389F0祖玛雕像8	地图:H204	X:78	Y:78 
[2024/8/19 14:2:26] 物品:白色虎齿项链	怪物:31AF8BD0奴隶	地图:F004	X:38	Y:86 
[2024/8/19 14:2:26] 物品:强效太阳水	怪物:31AF8BD0奴隶	地图:F004	X:38	Y:86 
[2024/8/19 14:2:26] 物品:强效太阳水	怪物:31AF8BD0奴隶	地图:F004	X:38	Y:86 
[2024/8/19 14:2:26] 物品:太阳水	怪物:31AF8BD0奴隶	地图:F004	X:38	Y:86 
[2024/8/19 14:2:27] 物品:强效金创药	怪物:0DCCEB70祖玛雕像8	地图:H204	X:78	Y:79 
[2024/8/19 14:2:30] 物品:隐身术	怪物:1C974600僵尸1	地图:H201	X:41	Y:45 
[2024/8/19 14:2:30] 物品:地狱火	怪物:1C974600僵尸1	地图:H201	X:41	Y:45 
[2024/8/19 14:2:34] 物品:魔法药(小量)	怪物:18976BD0僵尸4	地图:H201	X:41	Y:45 
[2024/8/19 14:2:39] 物品:施毒术	怪物:235FE860恶灵尸王	地图:H201	X:40	Y:44 
[2024/8/19 14:2:39] 物品:诱惑之光	怪物:235FE860恶灵尸王	地图:H201	X:40	Y:44 
[2024/8/19 14:2:39] 物品:大火球	怪物:235FE860恶灵尸王	地图:H201	X:40	Y:44 
[2024/8/19 14:2:41] 物品:强效太阳水	怪物:0DDCADC0尸王8	地图:H201	X:40	Y:45 
[2024/8/19 14:2:41] 物品:强效太阳水	怪物:0DDCADC0尸王8	地图:H201	X:40	Y:45 
[2024/8/19 14:2:41] 物品:强效太阳水	怪物:0DDCADC0尸王8	地图:H201	X:40	Y:45 
[2024/8/19 14:2:41] 物品:强效太阳水	怪物:0DDCADC0尸王8	地图:H201	X:40	Y:45 
[2024/8/19 14:2:41] 物品:强效太阳水	怪物:0DDCADC0尸王8	地图:H201	X:40	Y:45 
[2024/8/19 14:2:41] 物品:强效金创药	怪物:0DDCADC0尸王8	地图:H201	X:40	Y:45 
[2024/8/19 14:2:41] 物品:强效金创药	怪物:0DDCADC0尸王8	地图:H201	X:40	Y:45 
[2024/8/19 14:2:41] 物品:强效魔法药	怪物:0DDCADC0尸王8	地图:H201	X:40	Y:45 
[2024/8/19 14:2:41] 物品:强效魔法药	怪物:0DDCADC0尸王8	地图:H201	X:40	Y:45 
[2024/8/19 14:2:41] 物品:黑檀手镯	怪物:0DDCADC0尸王8	地图:H201	X:40	Y:45 
[2024/8/19 14:2:41] 物品:魔力手镯	怪物:0DDCADC0尸王8	地图:H201	X:40	Y:45 
[2024/8/19 14:2:45] 物品:金创药(小量)	怪物:1E961CB0僵尸3	地图:D402	X:102	Y:38 
[2024/8/19 14:2:48] 物品:金创药(小量)	怪物:19B47900僵尸3	地图:D402	X:102	Y:37 
[2024/8/19 14:2:50] 物品:强效太阳水	怪物:1A745D90尸王8	地图:H201	X:41	Y:44 
[2024/8/19 14:2:50] 物品:强效太阳水	怪物:1A745D90尸王8	地图:H201	X:41	Y:44 
[2024/8/19 14:2:50] 物品:强效太阳水	怪物:1A745D90尸王8	地图:H201	X:41	Y:44 
[2024/8/19 14:2:50] 物品:强效太阳水	怪物:1A745D90尸王8	地图:H201	X:41	Y:44 
[2024/8/19 14:2:50] 物品:强效太阳水	怪物:1A745D90尸王8	地图:H201	X:41	Y:44 
[2024/8/19 14:2:50] 物品:强效金创药	怪物:1A745D90尸王8	地图:H201	X:41	Y:44 
[2024/8/19 14:2:50] 物品:强效金创药	怪物:1A745D90尸王8	地图:H201	X:41	Y:44 
[2024/8/19 14:2:50] 物品:强效魔法药	怪物:1A745D90尸王8	地图:H201	X:41	Y:44 
[2024/8/19 14:2:50] 物品:强效魔法药	怪物:1A745D90尸王8	地图:H201	X:41	Y:44 
[2024/8/19 14:2:50] 物品:骷髅戒指	怪物:1A745D90尸王8	地图:H201	X:41	Y:44 
[2024/8/19 14:2:50] 物品:蛇眼戒指	怪物:1A745D90尸王8	地图:H201	X:41	Y:44 
[2024/8/19 14:2:50] 物品:死神手套	怪物:1A745D90尸王8	地图:H201	X:41	Y:44 
[2024/8/19 14:2:50] 物品:蓝翡翠项链	怪物:1A745D90尸王8	地图:H201	X:41	Y:44 
[2024/8/19 14:2:50] 物品:黑檀手镯	怪物:1A745D90尸王8	地图:H201	X:41	Y:44 
[2024/8/19 14:2:58] 物品:重盔甲(男)	怪物:1C956FD0祖玛雕像8	地图:H204	X:94	Y:53 
[2024/8/19 14:2:59] 物品:强效金创药	怪物:18CB9680魔龙巨蛾	地图:66	X:67	Y:154 
[2024/8/19 14:2:59] 物品:强效魔法药	怪物:18CB9680魔龙巨蛾	地图:66	X:67	Y:154 
[2024/8/19 14:3:1] 物品:太阳水	怪物:2EFA5100奴隶	地图:F004	X:72	Y:70 
[2024/8/19 14:3:1] 物品:强效金创药	怪物:2EFA5100奴隶	地图:F004	X:72	Y:70 
[2024/8/19 14:3:1] 物品:强效魔法药	怪物:2EFA5100奴隶	地图:F004	X:72	Y:70 
[2024/8/19 14:3:4] 物品:道德戒指	怪物:2D9B3860祖玛卫士8	地图:H204	X:93	Y:52 
[2024/8/19 14:3:6] 物品:魔法药(小量)	怪物:2B5B3420僵尸3	地图:D402	X:118	Y:43 
[2024/8/19 14:3:12] 物品:金创药(小量)	怪物:28B9B4D0僵尸4	地图:H201	X:50	Y:35 
[2024/8/19 14:3:14] 物品:隐身术	怪物:20628780僵尸40	地图:H201	X:51	Y:34 
[2024/8/19 14:3:14] 物品:瞬息移动	怪物:20628780僵尸40	地图:H201	X:51	Y:34 
[2024/8/19 14:3:14] 物品:抗拒火环	怪物:20628780僵尸40	地图:H201	X:51	Y:34 
[2024/8/19 14:3:14] 物品:精神力战法	怪物:20628780僵尸40	地图:H201	X:51	Y:34 
[2024/8/19 14:3:14] 物品:火球术	怪物:20628780僵尸40	地图:H201	X:51	Y:34 
[2024/8/19 14:3:14] 物品:治愈术	怪物:20628780僵尸40	地图:H201	X:51	Y:34 
[2024/8/19 14:3:14] 物品:基本剑术	怪物:20628780僵尸40	地图:H201	X:51	Y:34 
[2024/8/19 14:3:14] 物品:半月	怪物:20628780僵尸40	地图:H201	X:51	Y:34 
[2024/8/19 14:3:14] 物品:海魂	怪物:20628780僵尸40	地图:H201	X:51	Y:34 
[2024/8/19 14:3:14] 物品:魔力手镯	怪物:20628780僵尸40	地图:H201	X:51	Y:34 
[2024/8/19 14:3:21] 物品:钢手镯	怪物:277B08D0掷斧骷髅	地图:D002	X:358	Y:49 
[2024/8/19 14:3:21] 物品:召唤骷髅	怪物:1FE13050僵尸40	地图:H201	X:52	Y:36 
[2024/8/19 14:3:21] 物品:抗拒火环	怪物:1FE13050僵尸40	地图:H201	X:52	Y:36 
[2024/8/19 14:3:21] 物品:精神力战法	怪物:1FE13050僵尸40	地图:H201	X:52	Y:36 
[2024/8/19 14:3:21] 物品:火球术	怪物:1FE13050僵尸40	地图:H201	X:52	Y:36 
[2024/8/19 14:3:21] 物品:治愈术	怪物:1FE13050僵尸40	地图:H201	X:52	Y:36 
[2024/8/19 14:3:21] 物品:基本剑术	怪物:1FE13050僵尸40	地图:H201	X:52	Y:36 
[2024/8/19 14:3:21] 物品:短剑	怪物:1FE13050僵尸40	地图:H201	X:52	Y:36 
[2024/8/19 14:3:21] 物品:金创药(小量)	怪物:1FE13050僵尸40	地图:H201	X:52	Y:36 
[2024/8/19 14:3:22] 物品:重盔甲(女)	怪物:28385020奴隶	地图:F004	X:72	Y:69 
[2024/8/19 14:3:22] 物品:降魔	怪物:28385020奴隶	地图:F004	X:72	Y:69 
[2024/8/19 14:3:22] 物品:强效太阳水	怪物:28385020奴隶	地图:F004	X:72	Y:69 
[2024/8/19 14:3:22] 物品:强效太阳水	怪物:28385020奴隶	地图:F004	X:72	Y:69 
[2024/8/19 14:3:23] 物品:凝霜	怪物:3093D640魔龙血蛙	地图:66	X:60	Y:154 
[2024/8/19 14:3:23] 物品:魔法长袍(女)	怪物:3093D640魔龙血蛙	地图:66	X:60	Y:154 
[2024/8/19 14:3:29] 物品:强效太阳水	怪物:0DDB60F0尸王8	地图:H201	X:52	Y:34 
[2024/8/19 14:3:29] 物品:强效太阳水	怪物:0DDB60F0尸王8	地图:H201	X:52	Y:34 
[2024/8/19 14:3:29] 物品:强效太阳水	怪物:0DDB60F0尸王8	地图:H201	X:52	Y:34 
[2024/8/19 14:3:29] 物品:强效太阳水	怪物:0DDB60F0尸王8	地图:H201	X:52	Y:34 
[2024/8/19 14:3:29] 物品:强效太阳水	怪物:0DDB60F0尸王8	地图:H201	X:52	Y:34 
[2024/8/19 14:3:29] 物品:强效金创药	怪物:0DDB60F0尸王8	地图:H201	X:52	Y:34 
[2024/8/19 14:3:29] 物品:强效金创药	怪物:0DDB60F0尸王8	地图:H201	X:52	Y:34 
[2024/8/19 14:3:29] 物品:强效魔法药	怪物:0DDB60F0尸王8	地图:H201	X:52	Y:34 
[2024/8/19 14:3:29] 物品:强效魔法药	怪物:0DDB60F0尸王8	地图:H201	X:52	Y:34 
[2024/8/19 14:3:29] 物品:骷髅戒指	怪物:0DDB60F0尸王8	地图:H201	X:52	Y:34 
[2024/8/19 14:3:29] 物品:黑色水晶戒指	怪物:0DDB60F0尸王8	地图:H201	X:52	Y:34 
[2024/8/19 14:3:29] 物品:珍珠戒指	怪物:0DDB60F0尸王8	地图:H201	X:52	Y:34 
[2024/8/19 14:3:29] 物品:生铁戒指	怪物:0DDB60F0尸王8	地图:H201	X:52	Y:34 
[2024/8/19 14:3:29] 物品:黑檀手镯	怪物:0DDB60F0尸王8	地图:H201	X:52	Y:34 
[2024/8/19 14:3:29] 物品:魔力手镯	怪物:0DDB60F0尸王8	地图:H201	X:52	Y:34 
[2024/8/19 14:3:30] 物品:太阳水	怪物:291DA020黑色恶蛆8	地图:H001	X:132	Y:110 
