[2024/8/20 5:0:0] 物品:重盔甲(女)	怪物:1C32EEC0魔龙破甲兵	地图:66	X:68	Y:238 
[2024/8/20 5:0:49] 物品:珍珠戒指	怪物:2B4E0D90沃玛卫士8	地图:H003	X:74	Y:71 
[2024/8/20 5:1:38] 物品:强效魔法药	怪物:2095FB90魔龙破甲兵1	地图:66	X:60	Y:232 
[2024/8/20 5:1:42] 物品:强效魔法药	怪物:1E08E610魔龙射手	地图:66	X:57	Y:226 
[2024/8/20 5:1:55] 物品:强效金创药	怪物:29A27AD0魔龙破甲兵2	地图:66	X:54	Y:227 
[2024/8/20 5:1:55] 物品:死神手套	怪物:29A27AD0魔龙破甲兵2	地图:66	X:54	Y:227 
[2024/8/20 5:2:2] 物品:强效太阳水	怪物:08537480魔龙射手	地图:66	X:50	Y:232 
[2024/8/20 5:2:30] 物品:重盔甲(男)	怪物:23482B90魔龙血蛙	地图:66	X:52	Y:223 
[2024/8/20 5:2:30] 物品:魔法长袍(男)	怪物:23482B90魔龙血蛙	地图:66	X:52	Y:223 
[2024/8/20 5:2:37] 物品:太阳水	怪物:20690A50魔龙射手	地图:66	X:51	Y:229 
[2024/8/20 5:2:53] 物品:重盔甲(女)	怪物:24637240魔龙破甲兵1	地图:66	X:51	Y:240 
[2024/8/20 5:2:58] 物品:强效金创药	怪物:1A076940魔龙破甲兵	地图:66	X:52	Y:240 
[2024/8/20 5:2:58] 物品:苹果	怪物:1A076940魔龙破甲兵	地图:66	X:52	Y:240 
[2024/8/20 5:3:10] 物品:强效金创药	怪物:19EDA1F0魔龙射手	地图:66	X:48	Y:241 
[2024/8/20 5:3:10] 物品:强效金创药	怪物:19EDA1F0魔龙射手	地图:66	X:48	Y:241 
[2024/8/20 5:3:10] 物品:灵魂项链	怪物:19EDA1F0魔龙射手	地图:66	X:48	Y:241 
[2024/8/20 5:3:26] 物品:强效魔法药	怪物:1C8AFF70魔龙射手	地图:66	X:51	Y:245 
[2024/8/20 5:3:26] 物品:强效金创药	怪物:1C8AFF70魔龙射手	地图:66	X:51	Y:245 
[2024/8/20 5:3:26] 物品:强效魔法药	怪物:1C8AFF70魔龙射手	地图:66	X:51	Y:245 
[2024/8/20 5:3:43] 物品:强效金创药	怪物:29CF1FA0魔龙刀兵2	地图:66	X:54	Y:245 
[2024/8/20 5:4:20] 物品:龙纹剑	怪物:2B2F5F00魔龙破甲兵2	地图:66	X:43	Y:240 
[2024/8/20 5:4:20] 物品:灵魂战衣(男)	怪物:2B2F5F00魔龙破甲兵2	地图:66	X:43	Y:240 
[2024/8/20 5:4:23] 物品:强效魔法药	怪物:2E0EE2E0魔龙血蛙	地图:66	X:43	Y:241 
[2024/8/20 5:4:46] 物品:强效太阳水	怪物:060ED230尸王8	地图:H201	X:16	Y:102 
[2024/8/20 5:4:46] 物品:强效太阳水	怪物:060ED230尸王8	地图:H201	X:16	Y:102 
[2024/8/20 5:4:46] 物品:强效太阳水	怪物:060ED230尸王8	地图:H201	X:16	Y:102 
[2024/8/20 5:4:46] 物品:强效太阳水	怪物:060ED230尸王8	地图:H201	X:16	Y:102 
[2024/8/20 5:4:46] 物品:强效太阳水	怪物:060ED230尸王8	地图:H201	X:16	Y:102 
[2024/8/20 5:4:46] 物品:强效金创药	怪物:060ED230尸王8	地图:H201	X:16	Y:102 
[2024/8/20 5:4:46] 物品:强效金创药	怪物:060ED230尸王8	地图:H201	X:16	Y:102 
[2024/8/20 5:4:46] 物品:强效魔法药	怪物:060ED230尸王8	地图:H201	X:16	Y:102 
[2024/8/20 5:4:46] 物品:强效魔法药	怪物:060ED230尸王8	地图:H201	X:16	Y:102 
[2024/8/20 5:4:46] 物品:魅力戒指	怪物:060ED230尸王8	地图:H201	X:16	Y:102 
[2024/8/20 5:4:46] 物品:黑檀手镯	怪物:060ED230尸王8	地图:H201	X:16	Y:102 
[2024/8/20 5:4:49] 物品:强效太阳水	怪物:31E46E50尸王8	地图:H201	X:17	Y:102 
[2024/8/20 5:4:49] 物品:强效太阳水	怪物:31E46E50尸王8	地图:H201	X:17	Y:102 
[2024/8/20 5:4:49] 物品:强效太阳水	怪物:31E46E50尸王8	地图:H201	X:17	Y:102 
[2024/8/20 5:4:49] 物品:强效太阳水	怪物:31E46E50尸王8	地图:H201	X:17	Y:102 
[2024/8/20 5:4:49] 物品:强效太阳水	怪物:31E46E50尸王8	地图:H201	X:17	Y:102 
[2024/8/20 5:4:49] 物品:强效金创药	怪物:31E46E50尸王8	地图:H201	X:17	Y:102 
[2024/8/20 5:4:49] 物品:强效金创药	怪物:31E46E50尸王8	地图:H201	X:17	Y:102 
[2024/8/20 5:4:49] 物品:强效魔法药	怪物:31E46E50尸王8	地图:H201	X:17	Y:102 
[2024/8/20 5:4:49] 物品:强效魔法药	怪物:31E46E50尸王8	地图:H201	X:17	Y:102 
[2024/8/20 5:4:49] 物品:黑檀手镯	怪物:31E46E50尸王8	地图:H201	X:17	Y:102 
[2024/8/20 5:4:49] 物品:魔力手镯	怪物:31E46E50尸王8	地图:H201	X:17	Y:102 
[2024/8/20 5:4:49] 物品:困魔咒	怪物:31E46E50尸王8	地图:H201	X:17	Y:102 
[2024/8/20 5:4:56] 物品:强效太阳水	怪物:2A88C490尸王8	地图:H201	X:173	Y:103 
[2024/8/20 5:4:56] 物品:强效太阳水	怪物:2A88C490尸王8	地图:H201	X:173	Y:103 
[2024/8/20 5:4:56] 物品:强效太阳水	怪物:2A88C490尸王8	地图:H201	X:173	Y:103 
[2024/8/20 5:4:56] 物品:强效太阳水	怪物:2A88C490尸王8	地图:H201	X:173	Y:103 
[2024/8/20 5:4:56] 物品:强效太阳水	怪物:2A88C490尸王8	地图:H201	X:173	Y:103 
[2024/8/20 5:4:56] 物品:强效金创药	怪物:2A88C490尸王8	地图:H201	X:173	Y:103 
[2024/8/20 5:4:56] 物品:强效金创药	怪物:2A88C490尸王8	地图:H201	X:173	Y:103 
[2024/8/20 5:4:56] 物品:强效魔法药	怪物:2A88C490尸王8	地图:H201	X:173	Y:103 
[2024/8/20 5:4:56] 物品:强效魔法药	怪物:2A88C490尸王8	地图:H201	X:173	Y:103 
[2024/8/20 5:4:56] 物品:骷髅戒指	怪物:2A88C490尸王8	地图:H201	X:173	Y:103 
[2024/8/20 5:4:56] 物品:魅力戒指	怪物:2A88C490尸王8	地图:H201	X:173	Y:103 
[2024/8/20 5:4:56] 物品:魔力手镯	怪物:2A88C490尸王8	地图:H201	X:173	Y:103 
[2024/8/20 5:5:0] 物品:强效太阳水	怪物:1E837FB0尸王8	地图:H201	X:173	Y:105 
[2024/8/20 5:5:0] 物品:强效太阳水	怪物:1E837FB0尸王8	地图:H201	X:173	Y:105 
[2024/8/20 5:5:0] 物品:强效太阳水	怪物:1E837FB0尸王8	地图:H201	X:173	Y:105 
[2024/8/20 5:5:0] 物品:强效太阳水	怪物:1E837FB0尸王8	地图:H201	X:173	Y:105 
[2024/8/20 5:5:0] 物品:强效太阳水	怪物:1E837FB0尸王8	地图:H201	X:173	Y:105 
[2024/8/20 5:5:0] 物品:强效金创药	怪物:1E837FB0尸王8	地图:H201	X:173	Y:105 
[2024/8/20 5:5:0] 物品:强效金创药	怪物:1E837FB0尸王8	地图:H201	X:173	Y:105 
[2024/8/20 5:5:0] 物品:强效魔法药	怪物:1E837FB0尸王8	地图:H201	X:173	Y:105 
[2024/8/20 5:5:0] 物品:强效魔法药	怪物:1E837FB0尸王8	地图:H201	X:173	Y:105 
[2024/8/20 5:5:0] 物品:圣言术	怪物:1E837FB0尸王8	地图:H201	X:173	Y:105 
[2024/8/20 5:5:2] 物品:神圣战甲术	怪物:2900C640僵尸1	地图:H201	X:173	Y:105 
[2024/8/20 5:5:2] 物品:抗拒火环	怪物:2900C640僵尸1	地图:H201	X:173	Y:105 
[2024/8/20 5:5:7] 物品:金创药(小量)	怪物:0DABA900僵尸4	地图:H201	X:173	Y:105 
[2024/8/20 5:5:9] 物品:力量戒指	怪物:0B852240魔龙刀兵1	地图:66	X:38	Y:243 
[2024/8/20 5:5:12] 物品:强效金创药	怪物:1C1AC950魔龙刀兵1	地图:66	X:38	Y:242 
[2024/8/20 5:5:17] 物品:强效太阳水	怪物:051DDFA0尸王8	地图:H201	X:178	Y:105 
[2024/8/20 5:5:17] 物品:强效太阳水	怪物:051DDFA0尸王8	地图:H201	X:178	Y:105 
[2024/8/20 5:5:17] 物品:强效太阳水	怪物:051DDFA0尸王8	地图:H201	X:178	Y:105 
[2024/8/20 5:5:17] 物品:强效太阳水	怪物:051DDFA0尸王8	地图:H201	X:178	Y:105 
[2024/8/20 5:5:17] 物品:强效太阳水	怪物:051DDFA0尸王8	地图:H201	X:178	Y:105 
[2024/8/20 5:5:17] 物品:强效金创药	怪物:051DDFA0尸王8	地图:H201	X:178	Y:105 
[2024/8/20 5:5:17] 物品:强效金创药	怪物:051DDFA0尸王8	地图:H201	X:178	Y:105 
[2024/8/20 5:5:17] 物品:强效魔法药	怪物:051DDFA0尸王8	地图:H201	X:178	Y:105 
[2024/8/20 5:5:17] 物品:强效魔法药	怪物:051DDFA0尸王8	地图:H201	X:178	Y:105 
[2024/8/20 5:5:17] 物品:珊瑚戒指	怪物:051DDFA0尸王8	地图:H201	X:178	Y:105 
[2024/8/20 5:5:17] 物品:蓝翡翠项链	怪物:051DDFA0尸王8	地图:H201	X:178	Y:105 
[2024/8/20 5:5:17] 物品:黑檀手镯	怪物:051DDFA0尸王8	地图:H201	X:178	Y:105 
[2024/8/20 5:5:17] 物品:魔力手镯	怪物:051DDFA0尸王8	地图:H201	X:178	Y:105 
[2024/8/20 5:5:19] 物品:瞬息移动	怪物:2BC96B50僵尸40	地图:H201	X:180	Y:105 
[2024/8/20 5:5:19] 物品:抗拒火环	怪物:2BC96B50僵尸40	地图:H201	X:180	Y:105 
[2024/8/20 5:5:19] 物品:精神力战法	怪物:2BC96B50僵尸40	地图:H201	X:180	Y:105 
[2024/8/20 5:5:19] 物品:火球术	怪物:2BC96B50僵尸40	地图:H201	X:180	Y:105 
[2024/8/20 5:5:19] 物品:治愈术	怪物:2BC96B50僵尸40	地图:H201	X:180	Y:105 
[2024/8/20 5:5:19] 物品:基本剑术	怪物:2BC96B50僵尸40	地图:H201	X:180	Y:105 
[2024/8/20 5:5:19] 物品:八荒	怪物:2BC96B50僵尸40	地图:H201	X:180	Y:105 
[2024/8/20 5:5:19] 物品:海魂	怪物:2BC96B50僵尸40	地图:H201	X:180	Y:105 
[2024/8/20 5:5:19] 物品:黄色水晶项链	怪物:2BC96B50僵尸40	地图:H201	X:180	Y:105 
[2024/8/20 5:5:19] 物品:魔法药(小量)	怪物:2BC96B50僵尸40	地图:H201	X:180	Y:105 
[2024/8/20 5:5:20] 物品:珊瑚戒指	怪物:2F0930E0魔龙射手1	地图:66	X:35	Y:245 
[2024/8/20 5:5:37] 物品:魔法药(小量)	怪物:2933F5B0僵尸5	地图:H201	X:177	Y:120 
[2024/8/20 5:5:37] 物品:太阳水	怪物:2933F5B0僵尸5	地图:H201	X:177	Y:120 
[2024/8/20 5:5:37] 物品:强效太阳水	怪物:1EF4E6B0魔龙射手	地图:66	X:33	Y:246 
[2024/8/20 5:5:37] 物品:太阳水	怪物:1EF4E6B0魔龙射手	地图:66	X:33	Y:246 
[2024/8/20 5:5:39] 物品:强效太阳水	怪物:30A485E0尸王8	地图:H201	X:175	Y:119 
[2024/8/20 5:5:39] 物品:强效太阳水	怪物:30A485E0尸王8	地图:H201	X:175	Y:119 
[2024/8/20 5:5:39] 物品:强效太阳水	怪物:30A485E0尸王8	地图:H201	X:175	Y:119 
[2024/8/20 5:5:39] 物品:强效太阳水	怪物:30A485E0尸王8	地图:H201	X:175	Y:119 
[2024/8/20 5:5:39] 物品:强效太阳水	怪物:30A485E0尸王8	地图:H201	X:175	Y:119 
[2024/8/20 5:5:39] 物品:强效金创药	怪物:30A485E0尸王8	地图:H201	X:175	Y:119 
[2024/8/20 5:5:39] 物品:强效金创药	怪物:30A485E0尸王8	地图:H201	X:175	Y:119 
[2024/8/20 5:5:39] 物品:强效魔法药	怪物:30A485E0尸王8	地图:H201	X:175	Y:119 
[2024/8/20 5:5:39] 物品:强效魔法药	怪物:30A485E0尸王8	地图:H201	X:175	Y:119 
[2024/8/20 5:5:39] 物品:魔力手镯	怪物:30A485E0尸王8	地图:H201	X:175	Y:119 
[2024/8/20 5:5:46] 物品:金手镯	怪物:2983F5B0魔龙射手1	地图:66	X:32	Y:247 
[2024/8/20 5:5:53] 物品:强效太阳水	怪物:27613780尸王8	地图:H201	X:177	Y:127 
[2024/8/20 5:5:53] 物品:强效太阳水	怪物:27613780尸王8	地图:H201	X:177	Y:127 
[2024/8/20 5:5:53] 物品:强效太阳水	怪物:27613780尸王8	地图:H201	X:177	Y:127 
[2024/8/20 5:5:53] 物品:强效太阳水	怪物:27613780尸王8	地图:H201	X:177	Y:127 
[2024/8/20 5:5:53] 物品:强效太阳水	怪物:27613780尸王8	地图:H201	X:177	Y:127 
[2024/8/20 5:5:53] 物品:强效金创药	怪物:27613780尸王8	地图:H201	X:177	Y:127 
[2024/8/20 5:5:53] 物品:强效金创药	怪物:27613780尸王8	地图:H201	X:177	Y:127 
[2024/8/20 5:5:53] 物品:强效魔法药	怪物:27613780尸王8	地图:H201	X:177	Y:127 
[2024/8/20 5:5:53] 物品:强效魔法药	怪物:27613780尸王8	地图:H201	X:177	Y:127 
[2024/8/20 5:5:53] 物品:珍珠戒指	怪物:27613780尸王8	地图:H201	X:177	Y:127 
[2024/8/20 5:5:53] 物品:生铁戒指	怪物:27613780尸王8	地图:H201	X:177	Y:127 
[2024/8/20 5:5:53] 物品:魅力戒指	怪物:27613780尸王8	地图:H201	X:177	Y:127 
[2024/8/20 5:5:53] 物品:黑檀手镯	怪物:27613780尸王8	地图:H201	X:177	Y:127 
[2024/8/20 5:5:53] 物品:魔力手镯	怪物:27613780尸王8	地图:H201	X:177	Y:127 
[2024/8/20 5:5:55] 物品:凝霜	怪物:29750970魔龙射手	地图:66	X:34	Y:242 
[2024/8/20 5:6:12] 物品:道士头盔	怪物:0C2B8970祖玛卫士8	地图:H204	X:82	Y:63 
[2024/8/20 5:6:13] 物品:强效金创药	怪物:1830E9E0魔龙破甲兵1	地图:66	X:35	Y:240 
[2024/8/20 5:6:16] 物品:金创药(小量)	怪物:05879940僵尸4	地图:H201	X:179	Y:130 
[2024/8/20 5:6:20] 物品:强效金创药	怪物:27B5B7C0祖玛弓箭手8	地图:H204	X:89	Y:59 
[2024/8/20 5:6:23] 物品:金创药(小量)	怪物:2CB61A80僵尸5	地图:H201	X:173	Y:138 
[2024/8/20 5:6:25] 物品:海魂	怪物:0DB28490祖玛弓箭手8	地图:H204	X:38	Y:59 
[2024/8/20 5:6:25] 物品:魔鬼项链	怪物:0DB28490祖玛弓箭手8	地图:H204	X:38	Y:59 
[2024/8/20 5:6:26] 物品:太阳水	怪物:243F6370僵尸5	地图:H201	X:170	Y:137 
[2024/8/20 5:6:26] 物品:攻击力药水	怪物:243F6370僵尸5	地图:H201	X:170	Y:137 
[2024/8/20 5:6:29] 物品:放大镜	怪物:2D5C28A0祖玛弓箭手8	地图:H204	X:39	Y:64 
[2024/8/20 5:6:35] 物品:太阳水	怪物:2DA9A660祖玛弓箭手8	地图:H204	X:83	Y:41 
[2024/8/20 5:6:40] 物品:抗拒火环	怪物:30934E20僵尸1	地图:H201	X:173	Y:138 
[2024/8/20 5:6:42] 物品:魔法药(中量)	怪物:293104D0祖玛弓箭手8	地图:H204	X:77	Y:34 
[2024/8/20 5:6:42] 物品:强效金创药	怪物:293104D0祖玛弓箭手8	地图:H204	X:77	Y:34 
[2024/8/20 5:6:43] 物品:偃月	怪物:07CB6850祖玛雕像8	地图:H204	X:32	Y:70 
[2024/8/20 5:6:43] 物品:白色虎齿项链	怪物:07CB6850祖玛雕像8	地图:H204	X:32	Y:70 
[2024/8/20 5:6:45] 物品:魔力手镯	怪物:29094760祖玛雕像8	地图:H204	X:32	Y:71 
[2024/8/20 5:6:51] 物品:强效太阳水	怪物:18D43EF0尸王8	地图:H201	X:170	Y:143 
[2024/8/20 5:6:51] 物品:强效太阳水	怪物:18D43EF0尸王8	地图:H201	X:170	Y:143 
[2024/8/20 5:6:51] 物品:强效太阳水	怪物:18D43EF0尸王8	地图:H201	X:170	Y:143 
[2024/8/20 5:6:51] 物品:强效太阳水	怪物:18D43EF0尸王8	地图:H201	X:170	Y:143 
[2024/8/20 5:6:51] 物品:强效太阳水	怪物:18D43EF0尸王8	地图:H201	X:170	Y:143 
[2024/8/20 5:6:51] 物品:强效金创药	怪物:18D43EF0尸王8	地图:H201	X:170	Y:143 
[2024/8/20 5:6:51] 物品:强效金创药	怪物:18D43EF0尸王8	地图:H201	X:170	Y:143 
[2024/8/20 5:6:51] 物品:强效魔法药	怪物:18D43EF0尸王8	地图:H201	X:170	Y:143 
[2024/8/20 5:6:51] 物品:强效魔法药	怪物:18D43EF0尸王8	地图:H201	X:170	Y:143 
[2024/8/20 5:6:51] 物品:黑檀手镯	怪物:18D43EF0尸王8	地图:H201	X:170	Y:143 
[2024/8/20 5:6:51] 物品:野蛮冲撞	怪物:18D43EF0尸王8	地图:H201	X:170	Y:143 
[2024/8/20 5:6:55] 物品:重盔甲(男)	怪物:267667D0祖玛弓箭手8	地图:H204	X:30	Y:67 
[2024/8/20 5:6:58] 物品:魔法药(中量)	怪物:2F239C40祖玛弓箭手8	地图:H204	X:66	Y:32 
[2024/8/20 5:7:1] 物品:金创药(小量)	怪物:2CB61A80僵尸5	地图:H201	X:172	Y:139 
[2024/8/20 5:7:1] 物品:地狱火	怪物:2CB61A80僵尸5	地图:H201	X:172	Y:139 
[2024/8/20 5:7:4] 物品:魔法手镯	怪物:1A38E130祖玛弓箭手8	地图:H204	X:66	Y:26 
[2024/8/20 5:7:4] 物品:黑色水晶戒指	怪物:1A38E130祖玛弓箭手8	地图:H204	X:66	Y:26 
[2024/8/20 5:7:4] 物品:魔法药(小量)	怪物:226F9EA0僵尸4	地图:H201	X:170	Y:136 
[2024/8/20 5:7:10] 物品:灵魂战衣(女)	怪物:1823D5E0祖玛弓箭手8	地图:H204	X:23	Y:67 
[2024/8/20 5:7:10] 物品:凝霜	怪物:1823D5E0祖玛弓箭手8	地图:H204	X:23	Y:67 
[2024/8/20 5:7:10] 物品:放大镜	怪物:1823D5E0祖玛弓箭手8	地图:H204	X:23	Y:67 
[2024/8/20 5:7:12] 物品:强效魔法药	怪物:2062F670魔龙射手	地图:66	X:42	Y:231 
[2024/8/20 5:7:12] 物品:蓝翡翠项链	怪物:2062F670魔龙射手	地图:66	X:42	Y:231 
[2024/8/20 5:7:13] 物品:魔法手镯	怪物:282DA5D0祖玛卫士8	地图:H204	X:65	Y:25 
[2024/8/20 5:7:13] 物品:强效太阳水	怪物:320CEA10尸王8	地图:H201	X:180	Y:148 
[2024/8/20 5:7:13] 物品:强效太阳水	怪物:320CEA10尸王8	地图:H201	X:180	Y:148 
[2024/8/20 5:7:13] 物品:强效太阳水	怪物:320CEA10尸王8	地图:H201	X:180	Y:148 
[2024/8/20 5:7:13] 物品:强效太阳水	怪物:320CEA10尸王8	地图:H201	X:180	Y:148 
[2024/8/20 5:7:13] 物品:强效太阳水	怪物:320CEA10尸王8	地图:H201	X:180	Y:148 
[2024/8/20 5:7:13] 物品:强效金创药	怪物:320CEA10尸王8	地图:H201	X:180	Y:148 
[2024/8/20 5:7:13] 物品:强效金创药	怪物:320CEA10尸王8	地图:H201	X:180	Y:148 
[2024/8/20 5:7:13] 物品:强效魔法药	怪物:320CEA10尸王8	地图:H201	X:180	Y:148 
[2024/8/20 5:7:13] 物品:强效魔法药	怪物:320CEA10尸王8	地图:H201	X:180	Y:148 
[2024/8/20 5:7:13] 物品:黑檀手镯	怪物:320CEA10尸王8	地图:H201	X:180	Y:148 
[2024/8/20 5:7:13] 物品:金戒指	怪物:244BA380祖玛卫士8	地图:H204	X:21	Y:67 
[2024/8/20 5:7:13] 物品:道德戒指	怪物:244BA380祖玛卫士8	地图:H204	X:21	Y:67 
[2024/8/20 5:7:17] 物品:强效太阳水	怪物:18C99830尸王8	地图:H201	X:181	Y:149 
[2024/8/20 5:7:17] 物品:强效太阳水	怪物:18C99830尸王8	地图:H201	X:181	Y:149 
[2024/8/20 5:7:17] 物品:强效太阳水	怪物:18C99830尸王8	地图:H201	X:181	Y:149 
[2024/8/20 5:7:17] 物品:强效太阳水	怪物:18C99830尸王8	地图:H201	X:181	Y:149 
[2024/8/20 5:7:17] 物品:强效太阳水	怪物:18C99830尸王8	地图:H201	X:181	Y:149 
[2024/8/20 5:7:17] 物品:强效金创药	怪物:18C99830尸王8	地图:H201	X:181	Y:149 
