[2024/8/21 21:0:2] 物品:强效魔法药	怪物:1AC30CC0魔龙射手	地图:66	X:82	Y:236 
[2024/8/21 21:0:41] 物品:强效太阳水	怪物:231E5850魔龙树妖	地图:H007	X:92	Y:35 
[2024/8/21 21:0:41] 物品:强效太阳水	怪物:231E5850魔龙树妖	地图:H007	X:92	Y:35 
[2024/8/21 21:0:41] 物品:强效太阳水	怪物:231E5850魔龙树妖	地图:H007	X:92	Y:35 
[2024/8/21 21:0:41] 物品:龙鳞	怪物:231E5850魔龙树妖	地图:H007	X:92	Y:35 
[2024/8/21 21:0:41] 物品:火龙凭证	怪物:231E5850魔龙树妖	地图:H007	X:92	Y:35 
[2024/8/21 21:0:41] 物品:珊瑚戒指	怪物:231E5850魔龙树妖	地图:H007	X:92	Y:35 
[2024/8/21 21:0:41] 物品:降妖除魔戒指	怪物:231E5850魔龙树妖	地图:H007	X:92	Y:35 
[2024/8/21 21:0:41] 物品:裁决之杖	怪物:231E5850魔龙树妖	地图:H007	X:92	Y:35 
[2024/8/21 21:0:41] 物品:泰坦戒指	怪物:231E5850魔龙树妖	地图:H007	X:92	Y:35 
[2024/8/21 21:0:41] 物品:三眼手镯	怪物:231E5850魔龙树妖	地图:H007	X:92	Y:35 
[2024/8/21 21:0:41] 物品:龙之手镯	怪物:231E5850魔龙树妖	地图:H007	X:92	Y:35 
[2024/8/21 21:0:41] 物品:恶魔铃铛	怪物:231E5850魔龙树妖	地图:H007	X:92	Y:35 
[2024/8/21 21:0:41] 物品:鹿皮靴	怪物:231E5850魔龙树妖	地图:H007	X:92	Y:35 
[2024/8/21 21:0:41] 物品:圣战戒指	怪物:231E5850魔龙树妖	地图:H007	X:92	Y:35 
[2024/8/21 21:0:41] 物品:龙骨甲(男)	怪物:231E5850魔龙树妖	地图:H007	X:92	Y:35 
[2024/8/21 21:0:53] 物品:金创药(小量)	怪物:16ABC3F0骷髅战士	地图:4	X:237	Y:240 
[2024/8/21 21:0:54] 物品:重盔甲(男)	怪物:18583AC0牛魔侍卫8	地图:H010	X:317	Y:314 
[2024/8/21 21:0:57] 物品:强效太阳水	怪物:23C67AF0触龙神8	地图:H004	X:60	Y:135 
[2024/8/21 21:0:57] 物品:强效太阳水	怪物:23C67AF0触龙神8	地图:H004	X:60	Y:135 
[2024/8/21 21:0:57] 物品:强效太阳水	怪物:23C67AF0触龙神8	地图:H004	X:60	Y:135 
[2024/8/21 21:0:57] 物品:强效太阳水	怪物:23C67AF0触龙神8	地图:H004	X:60	Y:135 
[2024/8/21 21:0:57] 物品:强效太阳水	怪物:23C67AF0触龙神8	地图:H004	X:60	Y:135 
[2024/8/21 21:0:57] 物品:强效太阳水	怪物:23C67AF0触龙神8	地图:H004	X:60	Y:135 
[2024/8/21 21:0:57] 物品:强效太阳水	怪物:23C67AF0触龙神8	地图:H004	X:60	Y:135 
[2024/8/21 21:0:57] 物品:强效太阳水	怪物:23C67AF0触龙神8	地图:H004	X:60	Y:135 
[2024/8/21 21:0:57] 物品:强效太阳水	怪物:23C67AF0触龙神8	地图:H004	X:60	Y:135 
[2024/8/21 21:0:57] 物品:强效太阳水	怪物:23C67AF0触龙神8	地图:H004	X:60	Y:135 
[2024/8/21 21:0:57] 物品:太阳水	怪物:23C67AF0触龙神8	地图:H004	X:60	Y:135 
[2024/8/21 21:0:57] 物品:太阳水	怪物:23C67AF0触龙神8	地图:H004	X:60	Y:135 
[2024/8/21 21:0:57] 物品:太阳水	怪物:23C67AF0触龙神8	地图:H004	X:60	Y:135 
[2024/8/21 21:0:57] 物品:太阳水	怪物:23C67AF0触龙神8	地图:H004	X:60	Y:135 
[2024/8/21 21:0:57] 物品:太阳水	怪物:23C67AF0触龙神8	地图:H004	X:60	Y:135 
[2024/8/21 21:0:57] 物品:太阳水	怪物:23C67AF0触龙神8	地图:H004	X:60	Y:135 
[2024/8/21 21:0:57] 物品:太阳水	怪物:23C67AF0触龙神8	地图:H004	X:60	Y:135 
[2024/8/21 21:0:57] 物品:太阳水	怪物:23C67AF0触龙神8	地图:H004	X:60	Y:135 
[2024/8/21 21:0:57] 物品:太阳水	怪物:23C67AF0触龙神8	地图:H004	X:60	Y:135 
[2024/8/21 21:0:57] 物品:太阳水	怪物:23C67AF0触龙神8	地图:H004	X:60	Y:135 
[2024/8/21 21:0:57] 物品:强效金创药	怪物:23C67AF0触龙神8	地图:H004	X:60	Y:135 
[2024/8/21 21:0:57] 物品:强效金创药	怪物:23C67AF0触龙神8	地图:H004	X:60	Y:135 
[2024/8/21 21:0:57] 物品:强效金创药	怪物:23C67AF0触龙神8	地图:H004	X:60	Y:135 
[2024/8/21 21:0:57] 物品:强效金创药	怪物:23C67AF0触龙神8	地图:H004	X:60	Y:135 
[2024/8/21 21:0:57] 物品:强效金创药	怪物:23C67AF0触龙神8	地图:H004	X:60	Y:135 
[2024/8/21 21:0:57] 物品:强效金创药	怪物:23C67AF0触龙神8	地图:H004	X:60	Y:135 
[2024/8/21 21:0:57] 物品:强效金创药	怪物:23C67AF0触龙神8	地图:H004	X:60	Y:135 
[2024/8/21 21:0:57] 物品:强效金创药	怪物:23C67AF0触龙神8	地图:H004	X:60	Y:135 
[2024/8/21 21:0:57] 物品:强效金创药	怪物:23C67AF0触龙神8	地图:H004	X:60	Y:135 
[2024/8/21 21:0:57] 物品:强效金创药	怪物:23C67AF0触龙神8	地图:H004	X:60	Y:135 
[2024/8/21 21:0:57] 物品:强效魔法药	怪物:23C67AF0触龙神8	地图:H004	X:60	Y:135 
[2024/8/21 21:0:57] 物品:强效魔法药	怪物:23C67AF0触龙神8	地图:H004	X:60	Y:135 
[2024/8/21 21:0:57] 物品:强效魔法药	怪物:23C67AF0触龙神8	地图:H004	X:60	Y:135 
[2024/8/21 21:0:57] 物品:强效魔法药	怪物:23C67AF0触龙神8	地图:H004	X:60	Y:135 
[2024/8/21 21:0:57] 物品:强效魔法药	怪物:23C67AF0触龙神8	地图:H004	X:60	Y:135 
[2024/8/21 21:0:57] 物品:强效魔法药	怪物:23C67AF0触龙神8	地图:H004	X:60	Y:135 
[2024/8/21 21:0:57] 物品:强效魔法药	怪物:23C67AF0触龙神8	地图:H004	X:60	Y:135 
[2024/8/21 21:0:57] 物品:强效魔法药	怪物:23C67AF0触龙神8	地图:H004	X:60	Y:135 
[2024/8/21 21:0:57] 物品:强效魔法药	怪物:23C67AF0触龙神8	地图:H004	X:60	Y:135 
[2024/8/21 21:0:57] 物品:强效魔法药	怪物:23C67AF0触龙神8	地图:H004	X:60	Y:135 
[2024/8/21 21:0:57] 物品:降魔	怪物:23C67AF0触龙神8	地图:H004	X:60	Y:135 
[2024/8/21 21:0:57] 物品:凤凰明珠	怪物:23C67AF0触龙神8	地图:H004	X:60	Y:135 
[2024/8/21 21:0:57] 物品:魔力手镯	怪物:23C67AF0触龙神8	地图:H004	X:60	Y:135 
[2024/8/21 21:1:1] 物品:魔法药(中量)	怪物:168F98D0骷髅战将	地图:4	X:244	Y:240 
[2024/8/21 21:1:3] 物品:强效太阳水	怪物:1E208CD0虹魔蝎卫8	地图:H204	X:66	Y:32 
[2024/8/21 21:1:3] 物品:强效太阳水	怪物:1E208CD0虹魔蝎卫8	地图:H204	X:66	Y:32 
[2024/8/21 21:1:3] 物品:强效太阳水	怪物:1E208CD0虹魔蝎卫8	地图:H204	X:66	Y:32 
[2024/8/21 21:1:3] 物品:强效太阳水	怪物:1E208CD0虹魔蝎卫8	地图:H204	X:66	Y:32 
[2024/8/21 21:1:3] 物品:强效太阳水	怪物:1E208CD0虹魔蝎卫8	地图:H204	X:66	Y:32 
[2024/8/21 21:1:3] 物品:强效太阳水	怪物:1E208CD0虹魔蝎卫8	地图:H204	X:66	Y:32 
[2024/8/21 21:1:3] 物品:强效太阳水	怪物:1E208CD0虹魔蝎卫8	地图:H204	X:66	Y:32 
[2024/8/21 21:1:3] 物品:强效太阳水	怪物:1E208CD0虹魔蝎卫8	地图:H204	X:66	Y:32 
[2024/8/21 21:1:3] 物品:强效太阳水	怪物:1E208CD0虹魔蝎卫8	地图:H204	X:66	Y:32 
[2024/8/21 21:1:3] 物品:强效太阳水	怪物:1E208CD0虹魔蝎卫8	地图:H204	X:66	Y:32 
[2024/8/21 21:1:3] 物品:太阳水	怪物:1E208CD0虹魔蝎卫8	地图:H204	X:66	Y:32 
[2024/8/21 21:1:3] 物品:太阳水	怪物:1E208CD0虹魔蝎卫8	地图:H204	X:66	Y:32 
[2024/8/21 21:1:3] 物品:太阳水	怪物:1E208CD0虹魔蝎卫8	地图:H204	X:66	Y:32 
[2024/8/21 21:1:3] 物品:太阳水	怪物:1E208CD0虹魔蝎卫8	地图:H204	X:66	Y:32 
[2024/8/21 21:1:3] 物品:太阳水	怪物:1E208CD0虹魔蝎卫8	地图:H204	X:66	Y:32 
[2024/8/21 21:1:3] 物品:太阳水	怪物:1E208CD0虹魔蝎卫8	地图:H204	X:66	Y:32 
[2024/8/21 21:1:3] 物品:太阳水	怪物:1E208CD0虹魔蝎卫8	地图:H204	X:66	Y:32 
[2024/8/21 21:1:3] 物品:太阳水	怪物:1E208CD0虹魔蝎卫8	地图:H204	X:66	Y:32 
[2024/8/21 21:1:3] 物品:太阳水	怪物:1E208CD0虹魔蝎卫8	地图:H204	X:66	Y:32 
[2024/8/21 21:1:3] 物品:太阳水	怪物:1E208CD0虹魔蝎卫8	地图:H204	X:66	Y:32 
[2024/8/21 21:1:3] 物品:强效金创药	怪物:1E208CD0虹魔蝎卫8	地图:H204	X:66	Y:32 
[2024/8/21 21:1:3] 物品:强效金创药	怪物:1E208CD0虹魔蝎卫8	地图:H204	X:66	Y:32 
[2024/8/21 21:1:3] 物品:强效金创药	怪物:1E208CD0虹魔蝎卫8	地图:H204	X:66	Y:32 
[2024/8/21 21:1:3] 物品:强效金创药	怪物:1E208CD0虹魔蝎卫8	地图:H204	X:66	Y:32 
[2024/8/21 21:1:3] 物品:强效金创药	怪物:1E208CD0虹魔蝎卫8	地图:H204	X:66	Y:32 
[2024/8/21 21:1:3] 物品:强效金创药	怪物:1E208CD0虹魔蝎卫8	地图:H204	X:66	Y:32 
[2024/8/21 21:1:3] 物品:强效金创药	怪物:1E208CD0虹魔蝎卫8	地图:H204	X:66	Y:32 
[2024/8/21 21:1:3] 物品:强效金创药	怪物:1E208CD0虹魔蝎卫8	地图:H204	X:66	Y:32 
[2024/8/21 21:1:3] 物品:强效金创药	怪物:1E208CD0虹魔蝎卫8	地图:H204	X:66	Y:32 
[2024/8/21 21:1:3] 物品:强效金创药	怪物:1E208CD0虹魔蝎卫8	地图:H204	X:66	Y:32 
[2024/8/21 21:1:3] 物品:强效魔法药	怪物:1E208CD0虹魔蝎卫8	地图:H204	X:66	Y:32 
[2024/8/21 21:1:3] 物品:强效魔法药	怪物:1E208CD0虹魔蝎卫8	地图:H204	X:66	Y:32 
[2024/8/21 21:1:3] 物品:强效魔法药	怪物:1E208CD0虹魔蝎卫8	地图:H204	X:66	Y:32 
[2024/8/21 21:1:3] 物品:强效魔法药	怪物:1E208CD0虹魔蝎卫8	地图:H204	X:66	Y:32 
[2024/8/21 21:1:3] 物品:强效魔法药	怪物:1E208CD0虹魔蝎卫8	地图:H204	X:66	Y:32 
[2024/8/21 21:1:3] 物品:强效魔法药	怪物:1E208CD0虹魔蝎卫8	地图:H204	X:66	Y:32 
[2024/8/21 21:1:3] 物品:强效魔法药	怪物:1E208CD0虹魔蝎卫8	地图:H204	X:66	Y:32 
[2024/8/21 21:1:3] 物品:强效魔法药	怪物:1E208CD0虹魔蝎卫8	地图:H204	X:66	Y:32 
[2024/8/21 21:1:3] 物品:强效魔法药	怪物:1E208CD0虹魔蝎卫8	地图:H204	X:66	Y:32 
[2024/8/21 21:1:3] 物品:强效魔法药	怪物:1E208CD0虹魔蝎卫8	地图:H204	X:66	Y:32 
[2024/8/21 21:1:3] 物品:虹魔手镯	怪物:1E208CD0虹魔蝎卫8	地图:H204	X:66	Y:32 
[2024/8/21 21:1:3] 物品:白色虎齿项链	怪物:1E208CD0虹魔蝎卫8	地图:H204	X:66	Y:32 
[2024/8/21 21:1:4] 物品:降魔	怪物:2328AE30魔龙射手1	地图:66	X:65	Y:229 
[2024/8/21 21:1:5] 物品:强效太阳水	怪物:16D0FF70半兽勇士	地图:4	X:246	Y:239 
[2024/8/21 21:1:5] 物品:强效太阳水	怪物:16D0FF70半兽勇士	地图:4	X:246	Y:239 
[2024/8/21 21:1:5] 物品:强效太阳水	怪物:16D0FF70半兽勇士	地图:4	X:246	Y:239 
[2024/8/21 21:1:5] 物品:强效太阳水	怪物:16D0FF70半兽勇士	地图:4	X:246	Y:239 
[2024/8/21 21:1:5] 物品:强效太阳水	怪物:16D0FF70半兽勇士	地图:4	X:246	Y:239 
[2024/8/21 21:1:5] 物品:太阳水	怪物:16D0FF70半兽勇士	地图:4	X:246	Y:239 
[2024/8/21 21:1:5] 物品:太阳水	怪物:16D0FF70半兽勇士	地图:4	X:246	Y:239 
[2024/8/21 21:1:5] 物品:太阳水	怪物:16D0FF70半兽勇士	地图:4	X:246	Y:239 
[2024/8/21 21:1:5] 物品:太阳水	怪物:16D0FF70半兽勇士	地图:4	X:246	Y:239 
[2024/8/21 21:1:5] 物品:太阳水	怪物:16D0FF70半兽勇士	地图:4	X:246	Y:239 
[2024/8/21 21:1:5] 物品:太阳水	怪物:16D0FF70半兽勇士	地图:4	X:246	Y:239 
[2024/8/21 21:1:5] 物品:太阳水	怪物:16D0FF70半兽勇士	地图:4	X:246	Y:239 
[2024/8/21 21:1:5] 物品:太阳水	怪物:16D0FF70半兽勇士	地图:4	X:246	Y:239 
[2024/8/21 21:1:5] 物品:太阳水	怪物:16D0FF70半兽勇士	地图:4	X:246	Y:239 
[2024/8/21 21:1:5] 物品:太阳水	怪物:16D0FF70半兽勇士	地图:4	X:246	Y:239 
[2024/8/21 21:1:5] 物品:金创药(中量)	怪物:16D0FF70半兽勇士	地图:4	X:246	Y:239 
[2024/8/21 21:1:5] 物品:金创药(中量)	怪物:16D0FF70半兽勇士	地图:4	X:246	Y:239 
[2024/8/21 21:1:5] 物品:金创药(中量)	怪物:16D0FF70半兽勇士	地图:4	X:246	Y:239 
[2024/8/21 21:1:5] 物品:金创药(中量)	怪物:16D0FF70半兽勇士	地图:4	X:246	Y:239 
[2024/8/21 21:1:5] 物品:魔法药(中量)	怪物:16D0FF70半兽勇士	地图:4	X:246	Y:239 
[2024/8/21 21:1:5] 物品:魔法药(中量)	怪物:16D0FF70半兽勇士	地图:4	X:246	Y:239 
[2024/8/21 21:1:5] 物品:魔法药(中量)	怪物:16D0FF70半兽勇士	地图:4	X:246	Y:239 
[2024/8/21 21:1:5] 物品:魔法药(中量)	怪物:16D0FF70半兽勇士	地图:4	X:246	Y:239 
[2024/8/21 21:1:5] 物品:青铜头盔	怪物:16D0FF70半兽勇士	地图:4	X:246	Y:239 
[2024/8/21 21:1:8] 物品:强效金创药	怪物:1598F5B0魔龙破甲兵	地图:66	X:66	Y:230 
[2024/8/21 21:1:14] 物品:太阳水	怪物:259B2280牛魔将军8	地图:H010	X:312	Y:313 
[2024/8/21 21:1:14] 物品:重盔甲(女)	怪物:259B2280牛魔将军8	地图:H010	X:312	Y:313 
[2024/8/21 21:1:14] 物品:骷髅头盔	怪物:259B2280牛魔将军8	地图:H010	X:312	Y:313 
[2024/8/21 21:1:14] 物品:灯笼项链	怪物:259B2280牛魔将军8	地图:H010	X:312	Y:313 
[2024/8/21 21:1:14] 物品:道德戒指	怪物:283C4010跳跳蜂8	地图:H004	X:64	Y:121 
[2024/8/21 21:1:16] 物品:金创药(小量)	怪物:2355F2B0僵尸3	地图:D401	X:37	Y:65 
[2024/8/21 21:1:22] 物品:强效太阳水	怪物:1ACCDB90白野猪8	地图:H204	X:71	Y:32 
[2024/8/21 21:1:22] 物品:强效太阳水	怪物:1ACCDB90白野猪8	地图:H204	X:71	Y:32 
[2024/8/21 21:1:22] 物品:强效太阳水	怪物:1ACCDB90白野猪8	地图:H204	X:71	Y:32 
[2024/8/21 21:1:22] 物品:强效太阳水	怪物:1ACCDB90白野猪8	地图:H204	X:71	Y:32 
[2024/8/21 21:1:22] 物品:强效太阳水	怪物:1ACCDB90白野猪8	地图:H204	X:71	Y:32 
[2024/8/21 21:1:22] 物品:强效太阳水	怪物:1ACCDB90白野猪8	地图:H204	X:71	Y:32 
[2024/8/21 21:1:22] 物品:强效太阳水	怪物:1ACCDB90白野猪8	地图:H204	X:71	Y:32 
[2024/8/21 21:1:22] 物品:强效太阳水	怪物:1ACCDB90白野猪8	地图:H204	X:71	Y:32 
[2024/8/21 21:1:22] 物品:强效太阳水	怪物:1ACCDB90白野猪8	地图:H204	X:71	Y:32 
[2024/8/21 21:1:22] 物品:强效太阳水	怪物:1ACCDB90白野猪8	地图:H204	X:71	Y:32 
[2024/8/21 21:1:22] 物品:太阳水	怪物:1ACCDB90白野猪8	地图:H204	X:71	Y:32 
[2024/8/21 21:1:22] 物品:太阳水	怪物:1ACCDB90白野猪8	地图:H204	X:71	Y:32 
[2024/8/21 21:1:22] 物品:太阳水	怪物:1ACCDB90白野猪8	地图:H204	X:71	Y:32 
[2024/8/21 21:1:22] 物品:太阳水	怪物:1ACCDB90白野猪8	地图:H204	X:71	Y:32 
[2024/8/21 21:1:22] 物品:太阳水	怪物:1ACCDB90白野猪8	地图:H204	X:71	Y:32 
[2024/8/21 21:1:22] 物品:太阳水	怪物:1ACCDB90白野猪8	地图:H204	X:71	Y:32 
[2024/8/21 21:1:22] 物品:太阳水	怪物:1ACCDB90白野猪8	地图:H204	X:71	Y:32 
[2024/8/21 21:1:22] 物品:太阳水	怪物:1ACCDB90白野猪8	地图:H204	X:71	Y:32 
[2024/8/21 21:1:22] 物品:太阳水	怪物:1ACCDB90白野猪8	地图:H204	X:71	Y:32 
[2024/8/21 21:1:22] 物品:太阳水	怪物:1ACCDB90白野猪8	地图:H204	X:71	Y:32 
[2024/8/21 21:1:22] 物品:金创药(中量)	怪物:1ACCDB90白野猪8	地图:H204	X:71	Y:32 
[2024/8/21 21:1:22] 物品:金创药(中量)	怪物:1ACCDB90白野猪8	地图:H204	X:71	Y:32 
[2024/8/21 21:1:22] 物品:金创药(中量)	怪物:1ACCDB90白野猪8	地图:H204	X:71	Y:32 
[2024/8/21 21:1:22] 物品:强效金创药	怪物:1ACCDB90白野猪8	地图:H204	X:71	Y:32 
[2024/8/21 21:1:22] 物品:强效金创药	怪物:1ACCDB90白野猪8	地图:H204	X:71	Y:32 
[2024/8/21 21:1:22] 物品:强效金创药	怪物:1ACCDB90白野猪8	地图:H204	X:71	Y:32 
[2024/8/21 21:1:22] 物品:魔法药(中量)	怪物:1ACCDB90白野猪8	地图:H204	X:71	Y:32 
[2024/8/21 21:1:22] 物品:魔法药(中量)	怪物:1ACCDB90白野猪8	地图:H204	X:71	Y:32 
[2024/8/21 21:1:22] 物品:魔法药(中量)	怪物:1ACCDB90白野猪8	地图:H204	X:71	Y:32 
[2024/8/21 21:1:22] 物品:强效魔法药	怪物:1ACCDB90白野猪8	地图:H204	X:71	Y:32 
[2024/8/21 21:1:22] 物品:强效魔法药	怪物:1ACCDB90白野猪8	地图:H204	X:71	Y:32 
[2024/8/21 21:1:22] 物品:强效魔法药	怪物:1ACCDB90白野猪8	地图:H204	X:71	Y:32 
[2024/8/21 21:1:22] 物品:强效金创药	怪物:1ACCDB90白野猪8	地图:H204	X:71	Y:32 
[2024/8/21 21:1:22] 物品:强效金创药	怪物:1ACCDB90白野猪8	地图:H204	X:71	Y:32 
[2024/8/21 21:1:22] 物品:强效金创药	怪物:1ACCDB90白野猪8	地图:H204	X:71	Y:32 
[2024/8/21 21:1:22] 物品:强效金创药	怪物:1ACCDB90白野猪8	地图:H204	X:71	Y:32 
[2024/8/21 21:1:22] 物品:强效金创药	怪物:1ACCDB90白野猪8	地图:H204	X:71	Y:32 
[2024/8/21 21:1:22] 物品:强效金创药	怪物:1ACCDB90白野猪8	地图:H204	X:71	Y:32 
[2024/8/21 21:1:22] 物品:强效魔法药	怪物:1ACCDB90白野猪8	地图:H204	X:71	Y:32 
[2024/8/21 21:1:22] 物品:强效魔法药	怪物:1ACCDB90白野猪8	地图:H204	X:71	Y:32 
[2024/8/21 21:1:22] 物品:强效魔法药	怪物:1ACCDB90白野猪8	地图:H204	X:71	Y:32 
