[2024/8/21 19:0:1] 物品:强效金创药	怪物:2B165FE0魔龙射手1	地图:65	X:111	Y:84 
[2024/8/21 19:0:5] 物品:强效金创药	怪物:28C70250虹魔猪卫8	地图:H204	X:46	Y:46 
[2024/8/21 19:0:5] 物品:强效金创药	怪物:28C70250虹魔猪卫8	地图:H204	X:46	Y:46 
[2024/8/21 19:0:5] 物品:强效金创药	怪物:28C70250虹魔猪卫8	地图:H204	X:46	Y:46 
[2024/8/21 19:0:5] 物品:强效金创药	怪物:28C70250虹魔猪卫8	地图:H204	X:46	Y:46 
[2024/8/21 19:0:5] 物品:强效金创药	怪物:28C70250虹魔猪卫8	地图:H204	X:46	Y:46 
[2024/8/21 19:0:5] 物品:强效金创药	怪物:28C70250虹魔猪卫8	地图:H204	X:46	Y:46 
[2024/8/21 19:0:5] 物品:强效魔法药	怪物:28C70250虹魔猪卫8	地图:H204	X:46	Y:46 
[2024/8/21 19:0:5] 物品:强效魔法药	怪物:28C70250虹魔猪卫8	地图:H204	X:46	Y:46 
[2024/8/21 19:0:5] 物品:强效魔法药	怪物:28C70250虹魔猪卫8	地图:H204	X:46	Y:46 
[2024/8/21 19:0:5] 物品:强效魔法药	怪物:28C70250虹魔猪卫8	地图:H204	X:46	Y:46 
[2024/8/21 19:0:5] 物品:强效魔法药	怪物:28C70250虹魔猪卫8	地图:H204	X:46	Y:46 
[2024/8/21 19:0:5] 物品:强效魔法药	怪物:28C70250虹魔猪卫8	地图:H204	X:46	Y:46 
[2024/8/21 19:0:5] 物品:虹魔戒指	怪物:28C70250虹魔猪卫8	地图:H204	X:46	Y:46 
[2024/8/21 19:0:8] 物品:强效太阳水	怪物:255D5880虹魔猪卫8	地图:H204	X:45	Y:46 
[2024/8/21 19:0:8] 物品:强效太阳水	怪物:255D5880虹魔猪卫8	地图:H204	X:45	Y:46 
[2024/8/21 19:0:8] 物品:强效太阳水	怪物:255D5880虹魔猪卫8	地图:H204	X:45	Y:46 
[2024/8/21 19:0:8] 物品:强效太阳水	怪物:255D5880虹魔猪卫8	地图:H204	X:45	Y:46 
[2024/8/21 19:0:8] 物品:强效太阳水	怪物:255D5880虹魔猪卫8	地图:H204	X:45	Y:46 
[2024/8/21 19:0:8] 物品:强效太阳水	怪物:255D5880虹魔猪卫8	地图:H204	X:45	Y:46 
[2024/8/21 19:0:8] 物品:强效太阳水	怪物:255D5880虹魔猪卫8	地图:H204	X:45	Y:46 
[2024/8/21 19:0:8] 物品:强效太阳水	怪物:255D5880虹魔猪卫8	地图:H204	X:45	Y:46 
[2024/8/21 19:0:8] 物品:强效太阳水	怪物:255D5880虹魔猪卫8	地图:H204	X:45	Y:46 
[2024/8/21 19:0:8] 物品:强效太阳水	怪物:255D5880虹魔猪卫8	地图:H204	X:45	Y:46 
[2024/8/21 19:0:8] 物品:太阳水	怪物:255D5880虹魔猪卫8	地图:H204	X:45	Y:46 
[2024/8/21 19:0:8] 物品:太阳水	怪物:255D5880虹魔猪卫8	地图:H204	X:45	Y:46 
[2024/8/21 19:0:8] 物品:太阳水	怪物:255D5880虹魔猪卫8	地图:H204	X:45	Y:46 
[2024/8/21 19:0:8] 物品:太阳水	怪物:255D5880虹魔猪卫8	地图:H204	X:45	Y:46 
[2024/8/21 19:0:8] 物品:太阳水	怪物:255D5880虹魔猪卫8	地图:H204	X:45	Y:46 
[2024/8/21 19:0:8] 物品:太阳水	怪物:255D5880虹魔猪卫8	地图:H204	X:45	Y:46 
[2024/8/21 19:0:8] 物品:太阳水	怪物:255D5880虹魔猪卫8	地图:H204	X:45	Y:46 
[2024/8/21 19:0:8] 物品:太阳水	怪物:255D5880虹魔猪卫8	地图:H204	X:45	Y:46 
[2024/8/21 19:0:8] 物品:太阳水	怪物:255D5880虹魔猪卫8	地图:H204	X:45	Y:46 
[2024/8/21 19:0:8] 物品:太阳水	怪物:255D5880虹魔猪卫8	地图:H204	X:45	Y:46 
[2024/8/21 19:0:8] 物品:金创药(中量)	怪物:255D5880虹魔猪卫8	地图:H204	X:45	Y:46 
[2024/8/21 19:0:8] 物品:金创药(中量)	怪物:255D5880虹魔猪卫8	地图:H204	X:45	Y:46 
[2024/8/21 19:0:8] 物品:金创药(中量)	怪物:255D5880虹魔猪卫8	地图:H204	X:45	Y:46 
[2024/8/21 19:0:8] 物品:强效金创药	怪物:255D5880虹魔猪卫8	地图:H204	X:45	Y:46 
[2024/8/21 19:0:8] 物品:强效金创药	怪物:255D5880虹魔猪卫8	地图:H204	X:45	Y:46 
[2024/8/21 19:0:8] 物品:强效金创药	怪物:255D5880虹魔猪卫8	地图:H204	X:45	Y:46 
[2024/8/21 19:0:8] 物品:魔法药(中量)	怪物:255D5880虹魔猪卫8	地图:H204	X:45	Y:46 
[2024/8/21 19:0:8] 物品:魔法药(中量)	怪物:255D5880虹魔猪卫8	地图:H204	X:45	Y:46 
[2024/8/21 19:0:8] 物品:魔法药(中量)	怪物:255D5880虹魔猪卫8	地图:H204	X:45	Y:46 
[2024/8/21 19:0:8] 物品:强效魔法药	怪物:255D5880虹魔猪卫8	地图:H204	X:45	Y:46 
[2024/8/21 19:0:8] 物品:强效魔法药	怪物:255D5880虹魔猪卫8	地图:H204	X:45	Y:46 
[2024/8/21 19:0:8] 物品:强效魔法药	怪物:255D5880虹魔猪卫8	地图:H204	X:45	Y:46 
[2024/8/21 19:0:8] 物品:强效金创药	怪物:255D5880虹魔猪卫8	地图:H204	X:45	Y:46 
[2024/8/21 19:0:8] 物品:强效金创药	怪物:255D5880虹魔猪卫8	地图:H204	X:45	Y:46 
[2024/8/21 19:0:8] 物品:强效金创药	怪物:255D5880虹魔猪卫8	地图:H204	X:45	Y:46 
[2024/8/21 19:0:8] 物品:强效金创药	怪物:255D5880虹魔猪卫8	地图:H204	X:45	Y:46 
[2024/8/21 19:0:8] 物品:强效金创药	怪物:255D5880虹魔猪卫8	地图:H204	X:45	Y:46 
[2024/8/21 19:0:8] 物品:强效金创药	怪物:255D5880虹魔猪卫8	地图:H204	X:45	Y:46 
[2024/8/21 19:0:8] 物品:强效魔法药	怪物:255D5880虹魔猪卫8	地图:H204	X:45	Y:46 
[2024/8/21 19:0:8] 物品:强效魔法药	怪物:255D5880虹魔猪卫8	地图:H204	X:45	Y:46 
[2024/8/21 19:0:8] 物品:强效魔法药	怪物:255D5880虹魔猪卫8	地图:H204	X:45	Y:46 
[2024/8/21 19:0:8] 物品:强效魔法药	怪物:255D5880虹魔猪卫8	地图:H204	X:45	Y:46 
[2024/8/21 19:0:8] 物品:强效魔法药	怪物:255D5880虹魔猪卫8	地图:H204	X:45	Y:46 
[2024/8/21 19:0:8] 物品:强效魔法药	怪物:255D5880虹魔猪卫8	地图:H204	X:45	Y:46 
[2024/8/21 19:0:9] 物品:强效太阳水	怪物:239AFB90白野猪8	地图:H204	X:44	Y:46 
[2024/8/21 19:0:9] 物品:强效太阳水	怪物:239AFB90白野猪8	地图:H204	X:44	Y:46 
[2024/8/21 19:0:9] 物品:强效太阳水	怪物:239AFB90白野猪8	地图:H204	X:44	Y:46 
[2024/8/21 19:0:9] 物品:强效太阳水	怪物:239AFB90白野猪8	地图:H204	X:44	Y:46 
[2024/8/21 19:0:9] 物品:强效太阳水	怪物:239AFB90白野猪8	地图:H204	X:44	Y:46 
[2024/8/21 19:0:9] 物品:强效太阳水	怪物:239AFB90白野猪8	地图:H204	X:44	Y:46 
[2024/8/21 19:0:9] 物品:强效太阳水	怪物:239AFB90白野猪8	地图:H204	X:44	Y:46 
[2024/8/21 19:0:9] 物品:强效太阳水	怪物:239AFB90白野猪8	地图:H204	X:44	Y:46 
[2024/8/21 19:0:9] 物品:强效太阳水	怪物:239AFB90白野猪8	地图:H204	X:44	Y:46 
[2024/8/21 19:0:9] 物品:强效太阳水	怪物:239AFB90白野猪8	地图:H204	X:44	Y:46 
[2024/8/21 19:0:9] 物品:太阳水	怪物:239AFB90白野猪8	地图:H204	X:44	Y:46 
[2024/8/21 19:0:9] 物品:太阳水	怪物:239AFB90白野猪8	地图:H204	X:44	Y:46 
[2024/8/21 19:0:9] 物品:太阳水	怪物:239AFB90白野猪8	地图:H204	X:44	Y:46 
[2024/8/21 19:0:9] 物品:太阳水	怪物:239AFB90白野猪8	地图:H204	X:44	Y:46 
[2024/8/21 19:0:9] 物品:太阳水	怪物:239AFB90白野猪8	地图:H204	X:44	Y:46 
[2024/8/21 19:0:9] 物品:太阳水	怪物:239AFB90白野猪8	地图:H204	X:44	Y:46 
[2024/8/21 19:0:9] 物品:太阳水	怪物:239AFB90白野猪8	地图:H204	X:44	Y:46 
[2024/8/21 19:0:9] 物品:太阳水	怪物:239AFB90白野猪8	地图:H204	X:44	Y:46 
[2024/8/21 19:0:9] 物品:太阳水	怪物:239AFB90白野猪8	地图:H204	X:44	Y:46 
[2024/8/21 19:0:9] 物品:太阳水	怪物:239AFB90白野猪8	地图:H204	X:44	Y:46 
[2024/8/21 19:0:9] 物品:金创药(中量)	怪物:239AFB90白野猪8	地图:H204	X:44	Y:46 
[2024/8/21 19:0:9] 物品:金创药(中量)	怪物:239AFB90白野猪8	地图:H204	X:44	Y:46 
[2024/8/21 19:0:9] 物品:金创药(中量)	怪物:239AFB90白野猪8	地图:H204	X:44	Y:46 
[2024/8/21 19:0:9] 物品:强效金创药	怪物:239AFB90白野猪8	地图:H204	X:44	Y:46 
[2024/8/21 19:0:9] 物品:强效金创药	怪物:239AFB90白野猪8	地图:H204	X:44	Y:46 
[2024/8/21 19:0:9] 物品:强效金创药	怪物:239AFB90白野猪8	地图:H204	X:44	Y:46 
[2024/8/21 19:0:9] 物品:魔法药(中量)	怪物:239AFB90白野猪8	地图:H204	X:44	Y:46 
[2024/8/21 19:0:9] 物品:魔法药(中量)	怪物:239AFB90白野猪8	地图:H204	X:44	Y:46 
[2024/8/21 19:0:9] 物品:魔法药(中量)	怪物:239AFB90白野猪8	地图:H204	X:44	Y:46 
[2024/8/21 19:0:9] 物品:强效魔法药	怪物:239AFB90白野猪8	地图:H204	X:44	Y:46 
[2024/8/21 19:0:9] 物品:强效魔法药	怪物:239AFB90白野猪8	地图:H204	X:44	Y:46 
[2024/8/21 19:0:9] 物品:强效魔法药	怪物:239AFB90白野猪8	地图:H204	X:44	Y:46 
[2024/8/21 19:0:9] 物品:强效金创药	怪物:239AFB90白野猪8	地图:H204	X:44	Y:46 
[2024/8/21 19:0:9] 物品:强效金创药	怪物:239AFB90白野猪8	地图:H204	X:44	Y:46 
[2024/8/21 19:0:9] 物品:强效金创药	怪物:239AFB90白野猪8	地图:H204	X:44	Y:46 
[2024/8/21 19:0:9] 物品:强效金创药	怪物:239AFB90白野猪8	地图:H204	X:44	Y:46 
[2024/8/21 19:0:9] 物品:强效金创药	怪物:239AFB90白野猪8	地图:H204	X:44	Y:46 
[2024/8/21 19:0:9] 物品:强效金创药	怪物:239AFB90白野猪8	地图:H204	X:44	Y:46 
[2024/8/21 19:0:9] 物品:强效魔法药	怪物:239AFB90白野猪8	地图:H204	X:44	Y:46 
[2024/8/21 19:0:9] 物品:强效魔法药	怪物:239AFB90白野猪8	地图:H204	X:44	Y:46 
[2024/8/21 19:0:9] 物品:强效魔法药	怪物:239AFB90白野猪8	地图:H204	X:44	Y:46 
[2024/8/21 19:0:9] 物品:强效魔法药	怪物:239AFB90白野猪8	地图:H204	X:44	Y:46 
[2024/8/21 19:0:9] 物品:强效魔法药	怪物:239AFB90白野猪8	地图:H204	X:44	Y:46 
[2024/8/21 19:0:9] 物品:强效魔法药	怪物:239AFB90白野猪8	地图:H204	X:44	Y:46 
[2024/8/21 19:0:9] 物品:金戒指	怪物:239AFB90白野猪8	地图:H204	X:44	Y:46 
[2024/8/21 19:0:11] 物品:强效太阳水	怪物:292EDC40尸王8	地图:H201	X:115	Y:152 
[2024/8/21 19:0:11] 物品:强效太阳水	怪物:292EDC40尸王8	地图:H201	X:115	Y:152 
[2024/8/21 19:0:11] 物品:强效太阳水	怪物:292EDC40尸王8	地图:H201	X:115	Y:152 
[2024/8/21 19:0:11] 物品:强效太阳水	怪物:292EDC40尸王8	地图:H201	X:115	Y:152 
[2024/8/21 19:0:11] 物品:强效太阳水	怪物:292EDC40尸王8	地图:H201	X:115	Y:152 
[2024/8/21 19:0:11] 物品:强效金创药	怪物:292EDC40尸王8	地图:H201	X:115	Y:152 
[2024/8/21 19:0:11] 物品:强效金创药	怪物:292EDC40尸王8	地图:H201	X:115	Y:152 
[2024/8/21 19:0:11] 物品:强效魔法药	怪物:292EDC40尸王8	地图:H201	X:115	Y:152 
[2024/8/21 19:0:11] 物品:强效魔法药	怪物:292EDC40尸王8	地图:H201	X:115	Y:152 
[2024/8/21 19:0:11] 物品:蓝翡翠项链	怪物:292EDC40尸王8	地图:H201	X:115	Y:152 
[2024/8/21 19:0:11] 物品:黑檀手镯	怪物:292EDC40尸王8	地图:H201	X:115	Y:152 
[2024/8/21 19:0:11] 物品:魔力手镯	怪物:292EDC40尸王8	地图:H201	X:115	Y:152 
[2024/8/21 19:0:13] 物品:强效金创药	怪物:289C3CF0魔龙射手	地图:66	X:68	Y:199 
[2024/8/21 19:0:15] 物品:强效魔法药	怪物:28BD7A40魔龙射手1	地图:65	X:112	Y:79 
[2024/8/21 19:0:16] 物品:强效太阳水	怪物:2C49E430魔龙射手	地图:66	X:134	Y:269 
[2024/8/21 19:0:21] 物品:火球术	怪物:065C6310僵尸3	地图:D401	X:146	Y:46 
[2024/8/21 19:0:21] 物品:强效金创药	怪物:25A14560魔龙刀兵2	地图:66	X:70	Y:194 
[2024/8/21 19:0:24] 物品:强效魔法药	怪物:2CD89D80魔龙射手2	地图:66	X:135	Y:266 
[2024/8/21 19:0:25] 物品:生铁戒指	怪物:2899F420祖玛卫士8	地图:H204	X:54	Y:44 
[2024/8/21 19:0:26] 物品:强效太阳水	怪物:13EB43B0尸王8	地图:H201	X:113	Y:153 
[2024/8/21 19:0:26] 物品:强效太阳水	怪物:13EB43B0尸王8	地图:H201	X:113	Y:153 
[2024/8/21 19:0:26] 物品:强效太阳水	怪物:13EB43B0尸王8	地图:H201	X:113	Y:153 
[2024/8/21 19:0:26] 物品:强效太阳水	怪物:13EB43B0尸王8	地图:H201	X:113	Y:153 
[2024/8/21 19:0:26] 物品:强效太阳水	怪物:13EB43B0尸王8	地图:H201	X:113	Y:153 
[2024/8/21 19:0:26] 物品:强效金创药	怪物:13EB43B0尸王8	地图:H201	X:113	Y:153 
[2024/8/21 19:0:26] 物品:强效金创药	怪物:13EB43B0尸王8	地图:H201	X:113	Y:153 
[2024/8/21 19:0:26] 物品:强效魔法药	怪物:13EB43B0尸王8	地图:H201	X:113	Y:153 
[2024/8/21 19:0:26] 物品:强效魔法药	怪物:13EB43B0尸王8	地图:H201	X:113	Y:153 
[2024/8/21 19:0:26] 物品:道德戒指	怪物:13EB43B0尸王8	地图:H201	X:113	Y:153 
[2024/8/21 19:0:26] 物品:黑檀手镯	怪物:13EB43B0尸王8	地图:H201	X:113	Y:153 
[2024/8/21 19:0:26] 物品:魔力手镯	怪物:13EB43B0尸王8	地图:H201	X:113	Y:153 
[2024/8/21 19:0:27] 物品:强效金创药	怪物:2BE7E720魔龙射手	地图:66	X:134	Y:266 
[2024/8/21 19:0:27] 物品:魔法长袍(女)	怪物:2BE7E720魔龙射手	地图:66	X:134	Y:266 
[2024/8/21 19:0:28] 物品:金创药(小量)	怪物:271278B0僵尸3	地图:D401	X:150	Y:38 
[2024/8/21 19:0:29] 物品:强效魔法药	怪物:2B1358D0魔龙射手	地图:65	X:119	Y:84 
[2024/8/21 19:0:29] 物品:强效金创药	怪物:2B1358D0魔龙射手	地图:65	X:119	Y:84 
[2024/8/21 19:0:30] 物品:强效太阳水	怪物:2BAD8230尸王8	地图:H201	X:115	Y:153 
[2024/8/21 19:0:30] 物品:强效太阳水	怪物:2BAD8230尸王8	地图:H201	X:115	Y:153 
[2024/8/21 19:0:30] 物品:强效太阳水	怪物:2BAD8230尸王8	地图:H201	X:115	Y:153 
[2024/8/21 19:0:30] 物品:强效太阳水	怪物:2BAD8230尸王8	地图:H201	X:115	Y:153 
[2024/8/21 19:0:30] 物品:强效太阳水	怪物:2BAD8230尸王8	地图:H201	X:115	Y:153 
[2024/8/21 19:0:30] 物品:强效金创药	怪物:2BAD8230尸王8	地图:H201	X:115	Y:153 
[2024/8/21 19:0:30] 物品:强效金创药	怪物:2BAD8230尸王8	地图:H201	X:115	Y:153 
[2024/8/21 19:0:30] 物品:强效魔法药	怪物:2BAD8230尸王8	地图:H201	X:115	Y:153 
[2024/8/21 19:0:30] 物品:强效魔法药	怪物:2BAD8230尸王8	地图:H201	X:115	Y:153 
[2024/8/21 19:0:30] 物品:骷髅戒指	怪物:2BAD8230尸王8	地图:H201	X:115	Y:153 
[2024/8/21 19:0:30] 物品:生铁戒指	怪物:2BAD8230尸王8	地图:H201	X:115	Y:153 
[2024/8/21 19:0:30] 物品:魅力戒指	怪物:2BAD8230尸王8	地图:H201	X:115	Y:153 
[2024/8/21 19:0:30] 物品:魔力手镯	怪物:2BAD8230尸王8	地图:H201	X:115	Y:153 
[2024/8/21 19:0:30] 物品:灵魂项链	怪物:289D5D60魔龙刀兵1	地图:65	X:109	Y:87 
[2024/8/21 19:0:32] 物品:抗拒火环	怪物:25A5DD50僵尸40	地图:H201	X:114	Y:151 
[2024/8/21 19:0:32] 物品:精神力战法	怪物:25A5DD50僵尸40	地图:H201	X:114	Y:151 
[2024/8/21 19:0:32] 物品:火球术	怪物:25A5DD50僵尸40	地图:H201	X:114	Y:151 
[2024/8/21 19:0:32] 物品:治愈术	怪物:25A5DD50僵尸40	地图:H201	X:114	Y:151 
[2024/8/21 19:0:32] 物品:基本剑术	怪物:25A5DD50僵尸40	地图:H201	X:114	Y:151 
[2024/8/21 19:0:32] 物品:黑色水晶项链	怪物:25A5DD50僵尸40	地图:H201	X:114	Y:151 
[2024/8/21 19:0:32] 物品:金创药(小量)	怪物:25A5DD50僵尸40	地图:H201	X:114	Y:151 
[2024/8/21 19:0:33] 物品:降魔	怪物:2682BB10祖玛雕像8	地图:H204	X:62	Y:36 
[2024/8/21 19:0:35] 物品:白色虎齿项链	怪物:2B3F0860祖玛雕像8	地图:H204	X:62	Y:35 
[2024/8/21 19:0:36] 物品:死神手套	怪物:25A45D80祖玛卫士8	地图:H204	X:63	Y:34 
[2024/8/21 19:0:39] 物品:强效金创药	怪物:2CD66750魔龙射手1	地图:66	X:135	Y:267 
[2024/8/21 19:0:39] 物品:竹笛	怪物:2CD66750魔龙射手1	地图:66	X:135	Y:267 
[2024/8/21 19:0:39] 物品:魔法药(中量)	怪物:18451980祖玛弓箭手8	地图:H204	X:66	Y:33 
[2024/8/21 19:0:42] 物品:重盔甲(男)	怪物:2934D410魔龙射手1	地图:65	X:117	Y:91 
[2024/8/21 19:0:43] 物品:海魂	怪物:2B3DCFB0僵尸10	地图:H201	X:111	Y:156 
[2024/8/21 19:0:43] 物品:魔法药(中量)	怪物:2B3DCFB0僵尸10	地图:H201	X:111	Y:156 
[2024/8/21 19:0:43] 物品:放大镜	怪物:2AB1CA80魔龙血蛙	地图:66	X:63	Y:202 
[2024/8/21 19:0:44] 物品:抗拒火环	怪物:23C451C0僵尸40	地图:H201	X:114	Y:148 
[2024/8/21 19:0:44] 物品:精神力战法	怪物:23C451C0僵尸40	地图:H201	X:114	Y:148 
[2024/8/21 19:0:44] 物品:火球术	怪物:23C451C0僵尸40	地图:H201	X:114	Y:148 
[2024/8/21 19:0:44] 物品:治愈术	怪物:23C451C0僵尸40	地图:H201	X:114	Y:148 
[2024/8/21 19:0:44] 物品:基本剑术	怪物:23C451C0僵尸40	地图:H201	X:114	Y:148 
[2024/8/21 19:0:44] 物品:黑色水晶项链	怪物:23C451C0僵尸40	地图:H201	X:114	Y:148 
[2024/8/21 19:0:46] 物品:强效魔法药	怪物:29355930魔龙射手1	地图:65	X:112	Y:86 
[2024/8/21 19:0:47] 物品:强效太阳水	怪物:14F1F380尸王8	地图:H201	X:115	Y:148 
[2024/8/21 19:0:47] 物品:强效太阳水	怪物:14F1F380尸王8	地图:H201	X:115	Y:148 
[2024/8/21 19:0:47] 物品:强效太阳水	怪物:14F1F380尸王8	地图:H201	X:115	Y:148 
[2024/8/21 19:0:47] 物品:强效太阳水	怪物:14F1F380尸王8	地图:H201	X:115	Y:148 
[2024/8/21 19:0:47] 物品:强效太阳水	怪物:14F1F380尸王8	地图:H201	X:115	Y:148 
[2024/8/21 19:0:47] 物品:强效金创药	怪物:14F1F380尸王8	地图:H201	X:115	Y:148 
[2024/8/21 19:0:47] 物品:强效金创药	怪物:14F1F380尸王8	地图:H201	X:115	Y:148 
[2024/8/21 19:0:47] 物品:强效魔法药	怪物:14F1F380尸王8	地图:H201	X:115	Y:148 
[2024/8/21 19:0:47] 物品:强效魔法药	怪物:14F1F380尸王8	地图:H201	X:115	Y:148 
[2024/8/21 19:0:47] 物品:珊瑚戒指	怪物:14F1F380尸王8	地图:H201	X:115	Y:148 
[2024/8/21 19:0:47] 物品:凝霜	怪物:14F1F380尸王8	地图:H201	X:115	Y:148 
[2024/8/21 19:0:47] 物品:魔力手镯	怪物:14F1F380尸王8	地图:H201	X:115	Y:148 
[2024/8/21 19:0:49] 物品:八荒	怪物:23AC1640祖玛卫士8	地图:H204	X:69	Y:28 
[2024/8/21 19:0:51] 物品:强效太阳水	怪物:24ED9B60尸王8	地图:H201	X:116	Y:146 
[2024/8/21 19:0:51] 物品:强效太阳水	怪物:24ED9B60尸王8	地图:H201	X:116	Y:146 
[2024/8/21 19:0:51] 物品:强效太阳水	怪物:24ED9B60尸王8	地图:H201	X:116	Y:146 
[2024/8/21 19:0:51] 物品:强效太阳水	怪物:24ED9B60尸王8	地图:H201	X:116	Y:146 
[2024/8/21 19:0:51] 物品:强效太阳水	怪物:24ED9B60尸王8	地图:H201	X:116	Y:146 
[2024/8/21 19:0:51] 物品:强效金创药	怪物:24ED9B60尸王8	地图:H201	X:116	Y:146 
[2024/8/21 19:0:51] 物品:强效金创药	怪物:24ED9B60尸王8	地图:H201	X:116	Y:146 
[2024/8/21 19:0:51] 物品:强效魔法药	怪物:24ED9B60尸王8	地图:H201	X:116	Y:146 
[2024/8/21 19:0:51] 物品:强效魔法药	怪物:24ED9B60尸王8	地图:H201	X:116	Y:146 
[2024/8/21 19:0:51] 物品:生铁戒指	怪物:24ED9B60尸王8	地图:H201	X:116	Y:146 
[2024/8/21 19:0:51] 物品:魅力戒指	怪物:24ED9B60尸王8	地图:H201	X:116	Y:146 
[2024/8/21 19:0:51] 物品:黑檀手镯	怪物:24ED9B60尸王8	地图:H201	X:116	Y:146 
[2024/8/21 19:0:51] 物品:魔力手镯	怪物:24ED9B60尸王8	地图:H201	X:116	Y:146 
[2024/8/21 19:0:56] 物品:灯笼项链	怪物:25BE2440祖玛卫士8	地图:H204	X:70	Y:28 
[2024/8/21 19:1:1] 物品:强效魔法药	怪物:2931D1D0魔龙射手1	地图:65	X:106	Y:83 
[2024/8/21 19:1:7] 物品:强效太阳水	怪物:28C39830虹魔猪卫8	地图:H204	X:73	Y:28 
[2024/8/21 19:1:7] 物品:强效太阳水	怪物:28C39830虹魔猪卫8	地图:H204	X:73	Y:28 
[2024/8/21 19:1:7] 物品:强效太阳水	怪物:28C39830虹魔猪卫8	地图:H204	X:73	Y:28 
[2024/8/21 19:1:7] 物品:强效太阳水	怪物:28C39830虹魔猪卫8	地图:H204	X:73	Y:28 
