[2024/8/18 22:0:3] 物品:黑檀手镯	怪物:2AB72FB0魔龙破甲兵	地图:66	X:71	Y:186 
[2024/8/18 22:0:4] 物品:太阳水	怪物:0556FFD0沃玛卫士8	地图:H003	X:22	Y:55 
[2024/8/18 22:0:4] 物品:太阳水	怪物:0556FFD0沃玛卫士8	地图:H003	X:22	Y:55 
[2024/8/18 22:0:4] 物品:太阳水	怪物:0556FFD0沃玛卫士8	地图:H003	X:22	Y:55 
[2024/8/18 22:0:4] 物品:金创药(中量)	怪物:0556FFD0沃玛卫士8	地图:H003	X:22	Y:55 
[2024/8/18 22:0:4] 物品:金创药(中量)	怪物:0556FFD0沃玛卫士8	地图:H003	X:22	Y:55 
[2024/8/18 22:0:4] 物品:强效金创药	怪物:0556FFD0沃玛卫士8	地图:H003	X:22	Y:55 
[2024/8/18 22:0:4] 物品:强效金创药	怪物:0556FFD0沃玛卫士8	地图:H003	X:22	Y:55 
[2024/8/18 22:0:4] 物品:强效金创药	怪物:0556FFD0沃玛卫士8	地图:H003	X:22	Y:55 
[2024/8/18 22:0:4] 物品:魔法药(中量)	怪物:0556FFD0沃玛卫士8	地图:H003	X:22	Y:55 
[2024/8/18 22:0:4] 物品:魔法药(中量)	怪物:0556FFD0沃玛卫士8	地图:H003	X:22	Y:55 
[2024/8/18 22:0:4] 物品:强效魔法药	怪物:0556FFD0沃玛卫士8	地图:H003	X:22	Y:55 
[2024/8/18 22:0:4] 物品:强效魔法药	怪物:0556FFD0沃玛卫士8	地图:H003	X:22	Y:55 
[2024/8/18 22:0:4] 物品:强效魔法药	怪物:0556FFD0沃玛卫士8	地图:H003	X:22	Y:55 
[2024/8/18 22:0:4] 物品:半月弯刀	怪物:0556FFD0沃玛卫士8	地图:H003	X:22	Y:55 
[2024/8/18 22:0:4] 物品:幽灵盾	怪物:0556FFD0沃玛卫士8	地图:H003	X:22	Y:55 
[2024/8/18 22:0:6] 物品:放大镜	怪物:200B1910魔龙血蛙	地图:66	X:72	Y:185 
[2024/8/18 22:0:6] 物品:骷髅头盔	怪物:200B1910魔龙血蛙	地图:66	X:72	Y:185 
[2024/8/18 22:0:6] 物品:金创药(小量)	怪物:23802210山洞蝙蝠	地图:D002	X:283	Y:316 
[2024/8/18 22:0:17] 物品:强效金创药	怪物:1B92EEC0暗之牛魔王8	地图:H010	X:22	Y:338 
[2024/8/18 22:0:17] 物品:强效金创药	怪物:1B92EEC0暗之牛魔王8	地图:H010	X:22	Y:338 
[2024/8/18 22:0:17] 物品:强效金创药	怪物:1B92EEC0暗之牛魔王8	地图:H010	X:22	Y:338 
[2024/8/18 22:0:17] 物品:强效魔法药	怪物:1B92EEC0暗之牛魔王8	地图:H010	X:22	Y:338 
[2024/8/18 22:0:17] 物品:强效魔法药	怪物:1B92EEC0暗之牛魔王8	地图:H010	X:22	Y:338 
[2024/8/18 22:0:17] 物品:强效金创药	怪物:1B92EEC0暗之牛魔王8	地图:H010	X:22	Y:338 
[2024/8/18 22:0:17] 物品:强效金创药	怪物:1B92EEC0暗之牛魔王8	地图:H010	X:22	Y:338 
[2024/8/18 22:0:17] 物品:强效金创药	怪物:1B92EEC0暗之牛魔王8	地图:H010	X:22	Y:338 
[2024/8/18 22:0:17] 物品:强效金创药	怪物:1B92EEC0暗之牛魔王8	地图:H010	X:22	Y:338 
[2024/8/18 22:0:17] 物品:强效金创药	怪物:1B92EEC0暗之牛魔王8	地图:H010	X:22	Y:338 
[2024/8/18 22:0:17] 物品:强效魔法药	怪物:1B92EEC0暗之牛魔王8	地图:H010	X:22	Y:338 
[2024/8/18 22:0:17] 物品:强效魔法药	怪物:1B92EEC0暗之牛魔王8	地图:H010	X:22	Y:338 
[2024/8/18 22:0:17] 物品:强效金创药	怪物:1B92EEC0暗之牛魔王8	地图:H010	X:22	Y:338 
[2024/8/18 22:0:17] 物品:强效金创药	怪物:1B92EEC0暗之牛魔王8	地图:H010	X:22	Y:338 
[2024/8/18 22:0:17] 物品:强效魔法药	怪物:1B92EEC0暗之牛魔王8	地图:H010	X:22	Y:338 
[2024/8/18 22:0:17] 物品:强效魔法药	怪物:1B92EEC0暗之牛魔王8	地图:H010	X:22	Y:338 
[2024/8/18 22:0:17] 物品:魔血项链	怪物:1B92EEC0暗之牛魔王8	地图:H010	X:22	Y:338 
[2024/8/18 22:0:17] 物品:战神盔甲(女)	怪物:1B92EEC0暗之牛魔王8	地图:H010	X:22	Y:338 
[2024/8/18 22:0:17] 物品:圣言术	怪物:1B92EEC0暗之牛魔王8	地图:H010	X:22	Y:338 
[2024/8/18 22:0:17] 物品:困魔咒	怪物:1B92EEC0暗之牛魔王8	地图:H010	X:22	Y:338 
[2024/8/18 22:0:19] 物品:恶魔铃铛	怪物:061D0260魔龙刀兵2	地图:66	X:71	Y:185 
[2024/8/18 22:0:26] 物品:基本剑术	怪物:183B3B70僵尸3	地图:D402	X:175	Y:39 
[2024/8/18 22:0:27] 物品:金手镯	怪物:2EC2DD50牛魔法师8	地图:H010	X:30	Y:337 
[2024/8/18 22:0:27] 物品:生铁戒指	怪物:2EC2DD50牛魔法师8	地图:H010	X:30	Y:337 
[2024/8/18 22:0:30] 物品:强效金创药	怪物:0D879FE0魔龙射手1	地图:66	X:69	Y:179 
[2024/8/18 22:0:31] 物品:大手镯	怪物:2C128160骷髅	地图:D002	X:308	Y:339 
[2024/8/18 22:0:32] 物品:金创药(小量)	怪物:244D8BA0僵尸5	地图:H201	X:36	Y:92 
[2024/8/18 22:0:35] 物品:太阳水	怪物:2915D080黑野猪8	地图:H002	X:105	Y:118 
[2024/8/18 22:0:39] 物品:太阳水	怪物:0DB137C0黑野猪8	地图:H002	X:298	Y:148 
[2024/8/18 22:0:41] 物品:强效太阳水	怪物:30C4EE30尸王8	地图:H201	X:163	Y:77 
[2024/8/18 22:0:41] 物品:强效太阳水	怪物:30C4EE30尸王8	地图:H201	X:163	Y:77 
[2024/8/18 22:0:41] 物品:强效太阳水	怪物:30C4EE30尸王8	地图:H201	X:163	Y:77 
[2024/8/18 22:0:41] 物品:强效太阳水	怪物:30C4EE30尸王8	地图:H201	X:163	Y:77 
[2024/8/18 22:0:41] 物品:强效太阳水	怪物:30C4EE30尸王8	地图:H201	X:163	Y:77 
[2024/8/18 22:0:41] 物品:强效金创药	怪物:30C4EE30尸王8	地图:H201	X:163	Y:77 
[2024/8/18 22:0:41] 物品:强效金创药	怪物:30C4EE30尸王8	地图:H201	X:163	Y:77 
[2024/8/18 22:0:41] 物品:强效魔法药	怪物:30C4EE30尸王8	地图:H201	X:163	Y:77 
[2024/8/18 22:0:41] 物品:强效魔法药	怪物:30C4EE30尸王8	地图:H201	X:163	Y:77 
[2024/8/18 22:0:41] 物品:生铁戒指	怪物:30C4EE30尸王8	地图:H201	X:163	Y:77 
[2024/8/18 22:0:41] 物品:蓝翡翠项链	怪物:30C4EE30尸王8	地图:H201	X:163	Y:77 
[2024/8/18 22:0:41] 物品:黑檀手镯	怪物:30C4EE30尸王8	地图:H201	X:163	Y:77 
[2024/8/18 22:0:41] 物品:魔力手镯	怪物:30C4EE30尸王8	地图:H201	X:163	Y:77 
[2024/8/18 22:0:44] 物品:强效金创药	怪物:29013530暗之牛魔王8	地图:H010	X:49	Y:340 
[2024/8/18 22:0:44] 物品:强效金创药	怪物:29013530暗之牛魔王8	地图:H010	X:49	Y:340 
[2024/8/18 22:0:44] 物品:强效金创药	怪物:29013530暗之牛魔王8	地图:H010	X:49	Y:340 
[2024/8/18 22:0:44] 物品:强效魔法药	怪物:29013530暗之牛魔王8	地图:H010	X:49	Y:340 
[2024/8/18 22:0:44] 物品:强效魔法药	怪物:29013530暗之牛魔王8	地图:H010	X:49	Y:340 
[2024/8/18 22:0:44] 物品:强效金创药	怪物:29013530暗之牛魔王8	地图:H010	X:49	Y:340 
[2024/8/18 22:0:44] 物品:强效金创药	怪物:29013530暗之牛魔王8	地图:H010	X:49	Y:340 
[2024/8/18 22:0:44] 物品:强效金创药	怪物:29013530暗之牛魔王8	地图:H010	X:49	Y:340 
[2024/8/18 22:0:44] 物品:强效金创药	怪物:29013530暗之牛魔王8	地图:H010	X:49	Y:340 
[2024/8/18 22:0:44] 物品:强效金创药	怪物:29013530暗之牛魔王8	地图:H010	X:49	Y:340 
[2024/8/18 22:0:44] 物品:强效魔法药	怪物:29013530暗之牛魔王8	地图:H010	X:49	Y:340 
[2024/8/18 22:0:44] 物品:强效魔法药	怪物:29013530暗之牛魔王8	地图:H010	X:49	Y:340 
[2024/8/18 22:0:44] 物品:强效金创药	怪物:29013530暗之牛魔王8	地图:H010	X:49	Y:340 
[2024/8/18 22:0:44] 物品:强效金创药	怪物:29013530暗之牛魔王8	地图:H010	X:49	Y:340 
[2024/8/18 22:0:44] 物品:强效魔法药	怪物:29013530暗之牛魔王8	地图:H010	X:49	Y:340 
[2024/8/18 22:0:44] 物品:强效魔法药	怪物:29013530暗之牛魔王8	地图:H010	X:49	Y:340 
[2024/8/18 22:0:45] 物品:魔法药(小量)	怪物:196A9080骷髅战士	地图:D002	X:312	Y:331 
[2024/8/18 22:0:54] 物品:钢手镯	怪物:2B3F63E0骷髅战士	地图:D002	X:324	Y:337 
[2024/8/18 22:0:55] 物品:强效太阳水	怪物:29757860尸王8	地图:H201	X:18	Y:89 
[2024/8/18 22:0:55] 物品:强效太阳水	怪物:29757860尸王8	地图:H201	X:18	Y:89 
[2024/8/18 22:0:55] 物品:强效太阳水	怪物:29757860尸王8	地图:H201	X:18	Y:89 
[2024/8/18 22:0:55] 物品:强效太阳水	怪物:29757860尸王8	地图:H201	X:18	Y:89 
[2024/8/18 22:0:55] 物品:强效太阳水	怪物:29757860尸王8	地图:H201	X:18	Y:89 
[2024/8/18 22:0:55] 物品:强效金创药	怪物:29757860尸王8	地图:H201	X:18	Y:89 
[2024/8/18 22:0:55] 物品:强效金创药	怪物:29757860尸王8	地图:H201	X:18	Y:89 
[2024/8/18 22:0:55] 物品:强效魔法药	怪物:29757860尸王8	地图:H201	X:18	Y:89 
[2024/8/18 22:0:55] 物品:强效魔法药	怪物:29757860尸王8	地图:H201	X:18	Y:89 
[2024/8/18 22:0:55] 物品:黑色水晶戒指	怪物:29757860尸王8	地图:H201	X:18	Y:89 
[2024/8/18 22:0:55] 物品:道德戒指	怪物:29757860尸王8	地图:H201	X:18	Y:89 
[2024/8/18 22:0:55] 物品:魅力戒指	怪物:29757860尸王8	地图:H201	X:18	Y:89 
[2024/8/18 22:0:55] 物品:蓝翡翠项链	怪物:29757860尸王8	地图:H201	X:18	Y:89 
[2024/8/18 22:0:55] 物品:强效魔法药	怪物:24562FD0牛魔祭司8	地图:H010	X:49	Y:343 
[2024/8/18 22:0:56] 物品:精神力药水	怪物:24562FD0牛魔祭司8	地图:H010	X:49	Y:343 
[2024/8/18 22:0:56] 物品:魔法长袍(男)	怪物:24562FD0牛魔祭司8	地图:H010	X:49	Y:343 
[2024/8/18 22:0:56] 物品:金手镯	怪物:24562FD0牛魔祭司8	地图:H010	X:49	Y:343 
[2024/8/18 22:1:1] 物品:魔法药(中量)	怪物:0638BA50僵尸2	地图:D402	X:131	Y:47 
[2024/8/18 22:1:2] 物品:青铜头盔	怪物:1E566420骷髅	地图:D002	X:332	Y:326 
[2024/8/18 22:1:6] 物品:金戒指	怪物:227C55A0黑野猪8	地图:H002	X:88	Y:103 
[2024/8/18 22:1:21] 物品:强效太阳水	怪物:1E2FBDC0尸王8	地图:H201	X:49	Y:91 
[2024/8/18 22:1:21] 物品:强效太阳水	怪物:1E2FBDC0尸王8	地图:H201	X:49	Y:91 
[2024/8/18 22:1:21] 物品:强效太阳水	怪物:1E2FBDC0尸王8	地图:H201	X:49	Y:91 
[2024/8/18 22:1:21] 物品:强效太阳水	怪物:1E2FBDC0尸王8	地图:H201	X:49	Y:91 
[2024/8/18 22:1:21] 物品:强效太阳水	怪物:1E2FBDC0尸王8	地图:H201	X:49	Y:91 
[2024/8/18 22:1:21] 物品:强效金创药	怪物:1E2FBDC0尸王8	地图:H201	X:49	Y:91 
[2024/8/18 22:1:21] 物品:强效金创药	怪物:1E2FBDC0尸王8	地图:H201	X:49	Y:91 
[2024/8/18 22:1:21] 物品:强效魔法药	怪物:1E2FBDC0尸王8	地图:H201	X:49	Y:91 
[2024/8/18 22:1:21] 物品:强效魔法药	怪物:1E2FBDC0尸王8	地图:H201	X:49	Y:91 
[2024/8/18 22:1:21] 物品:珍珠戒指	怪物:1E2FBDC0尸王8	地图:H201	X:49	Y:91 
[2024/8/18 22:1:21] 物品:生铁戒指	怪物:1E2FBDC0尸王8	地图:H201	X:49	Y:91 
[2024/8/18 22:1:21] 物品:凝霜	怪物:1E2FBDC0尸王8	地图:H201	X:49	Y:91 
[2024/8/18 22:1:21] 物品:道德戒指	怪物:1E2FBDC0尸王8	地图:H201	X:49	Y:91 
[2024/8/18 22:1:21] 物品:黑檀手镯	怪物:1E2FBDC0尸王8	地图:H201	X:49	Y:91 
[2024/8/18 22:1:21] 物品:魔力手镯	怪物:1E2FBDC0尸王8	地图:H201	X:49	Y:91 
[2024/8/18 22:1:24] 物品:魔法药(小量)	怪物:2E98D390僵尸3	地图:D402	X:146	Y:69 
[2024/8/18 22:1:24] 物品:集体隐身术	怪物:2E98D390僵尸3	地图:D402	X:146	Y:69 
[2024/8/18 22:1:25] 物品:太阳水	怪物:1EC286C0黑野猪8	地图:H002	X:268	Y:155 
[2024/8/18 22:1:25] 物品:道德戒指	怪物:1C80F070魔龙破甲兵	地图:66	X:81	Y:173 
[2024/8/18 22:1:27] 物品:金创药(小量)	怪物:2C9E3E20僵尸4	地图:H201	X:51	Y:98 
[2024/8/18 22:1:29] 物品:重盔甲(女)	怪物:0530BAF0魔龙邪眼	地图:66	X:80	Y:168 
[2024/8/18 22:1:32] 物品:施毒术	怪物:2FAF6CD0恶灵尸王	地图:H201	X:161	Y:80 
[2024/8/18 22:1:32] 物品:雷电术	怪物:2FAF6CD0恶灵尸王	地图:H201	X:161	Y:80 
[2024/8/18 22:1:43] 物品:诱惑之光	怪物:283C3FD0僵尸5	地图:H201	X:52	Y:96 
[2024/8/18 22:1:43] 物品:太阳水	怪物:2498DF00黑色恶蛆8	地图:H004	X:66	Y:60 
[2024/8/18 22:1:44] 物品:施毒术	怪物:0632C0E0僵尸50	地图:H201	X:51	Y:96 
[2024/8/18 22:1:44] 物品:隐身术	怪物:0632C0E0僵尸50	地图:H201	X:51	Y:96 
[2024/8/18 22:1:44] 物品:大火球	怪物:0632C0E0僵尸50	地图:H201	X:51	Y:96 
[2024/8/18 22:1:44] 物品:雷电术	怪物:0632C0E0僵尸50	地图:H201	X:51	Y:96 
[2024/8/18 22:1:44] 物品:地狱火	怪物:0632C0E0僵尸50	地图:H201	X:51	Y:96 
[2024/8/18 22:1:44] 物品:抗拒火环	怪物:0632C0E0僵尸50	地图:H201	X:51	Y:96 
[2024/8/18 22:1:44] 物品:精神力战法	怪物:0632C0E0僵尸50	地图:H201	X:51	Y:96 
[2024/8/18 22:1:44] 物品:火球术	怪物:0632C0E0僵尸50	地图:H201	X:51	Y:96 
[2024/8/18 22:1:44] 物品:治愈术	怪物:0632C0E0僵尸50	地图:H201	X:51	Y:96 
[2024/8/18 22:1:44] 物品:基本剑术	怪物:0632C0E0僵尸50	地图:H201	X:51	Y:96 
[2024/8/18 22:1:44] 物品:八荒	怪物:0632C0E0僵尸50	地图:H201	X:51	Y:96 
[2024/8/18 22:1:44] 物品:半月	怪物:0632C0E0僵尸50	地图:H201	X:51	Y:96 
[2024/8/18 22:1:44] 物品:海魂	怪物:0632C0E0僵尸50	地图:H201	X:51	Y:96 
[2024/8/18 22:1:44] 物品:蓝色水晶戒指	怪物:0632C0E0僵尸50	地图:H201	X:51	Y:96 
[2024/8/18 22:1:44] 物品:魔鬼项链	怪物:0632C0E0僵尸50	地图:H201	X:51	Y:96 
[2024/8/18 22:1:44] 物品:琥珀项链	怪物:0632C0E0僵尸50	地图:H201	X:51	Y:96 
[2024/8/18 22:1:44] 物品:魔力手镯	怪物:0632C0E0僵尸50	地图:H201	X:51	Y:96 
[2024/8/18 22:1:44] 物品:灯笼项链	怪物:0632C0E0僵尸50	地图:H201	X:51	Y:96 
[2024/8/18 22:1:44] 物品:铁剑	怪物:0632C0E0僵尸50	地图:H201	X:51	Y:96 
[2024/8/18 22:1:44] 物品:短剑	怪物:0632C0E0僵尸50	地图:H201	X:51	Y:96 
[2024/8/18 22:1:44] 物品:轻型盔甲(男)	怪物:0632C0E0僵尸50	地图:H201	X:51	Y:96 
[2024/8/18 22:1:44] 物品:轻型盔甲(女)	怪物:0632C0E0僵尸50	地图:H201	X:51	Y:96 
[2024/8/18 22:1:44] 物品:青铜斧	怪物:0632C0E0僵尸50	地图:H201	X:51	Y:96 
[2024/8/18 22:1:44] 物品:黑檀项链	怪物:0632C0E0僵尸50	地图:H201	X:51	Y:96 
[2024/8/18 22:1:44] 物品:黄色水晶项链	怪物:0632C0E0僵尸50	地图:H201	X:51	Y:96 
[2024/8/18 22:1:44] 物品:黑色水晶项链	怪物:0632C0E0僵尸50	地图:H201	X:51	Y:96 
[2024/8/18 22:1:44] 物品:青铜头盔	怪物:0632C0E0僵尸50	地图:H201	X:51	Y:96 
[2024/8/18 22:1:44] 物品:金创药(小量)	怪物:0632C0E0僵尸50	地图:H201	X:51	Y:96 
[2024/8/18 22:1:44] 物品:金创药(小量)	怪物:0632C0E0僵尸50	地图:H201	X:51	Y:96 
[2024/8/18 22:1:44] 物品:金创药(小量)	怪物:0632C0E0僵尸50	地图:H201	X:51	Y:96 
[2024/8/18 22:1:44] 物品:金创药(小量)	怪物:0632C0E0僵尸50	地图:H201	X:51	Y:96 
[2024/8/18 22:1:44] 物品:魔法药(小量)	怪物:0632C0E0僵尸50	地图:H201	X:51	Y:96 
[2024/8/18 22:1:44] 物品:魔法药(小量)	怪物:0632C0E0僵尸50	地图:H201	X:51	Y:96 
[2024/8/18 22:1:44] 物品:魔法药(小量)	怪物:0632C0E0僵尸50	地图:H201	X:51	Y:96 
[2024/8/18 22:1:44] 物品:魔法药(小量)	怪物:0632C0E0僵尸50	地图:H201	X:51	Y:96 
[2024/8/18 22:1:47] 物品:治愈术	怪物:28EA4450僵尸1	地图:H201	X:51	Y:98 
[2024/8/18 22:1:48] 物品:强效太阳水	怪物:1B93B670半兽勇士	地图:11	X:370	Y:174 
[2024/8/18 22:1:48] 物品:强效太阳水	怪物:1B93B670半兽勇士	地图:11	X:370	Y:174 
[2024/8/18 22:1:48] 物品:强效太阳水	怪物:1B93B670半兽勇士	地图:11	X:370	Y:174 
[2024/8/18 22:1:48] 物品:强效太阳水	怪物:1B93B670半兽勇士	地图:11	X:370	Y:174 
[2024/8/18 22:1:48] 物品:强效太阳水	怪物:1B93B670半兽勇士	地图:11	X:370	Y:174 
[2024/8/18 22:1:48] 物品:太阳水	怪物:1B93B670半兽勇士	地图:11	X:370	Y:174 
[2024/8/18 22:1:48] 物品:太阳水	怪物:1B93B670半兽勇士	地图:11	X:370	Y:174 
[2024/8/18 22:1:48] 物品:太阳水	怪物:1B93B670半兽勇士	地图:11	X:370	Y:174 
[2024/8/18 22:1:48] 物品:太阳水	怪物:1B93B670半兽勇士	地图:11	X:370	Y:174 
[2024/8/18 22:1:48] 物品:太阳水	怪物:1B93B670半兽勇士	地图:11	X:370	Y:174 
[2024/8/18 22:1:48] 物品:太阳水	怪物:1B93B670半兽勇士	地图:11	X:370	Y:174 
[2024/8/18 22:1:48] 物品:太阳水	怪物:1B93B670半兽勇士	地图:11	X:370	Y:174 
[2024/8/18 22:1:48] 物品:太阳水	怪物:1B93B670半兽勇士	地图:11	X:370	Y:174 
[2024/8/18 22:1:48] 物品:太阳水	怪物:1B93B670半兽勇士	地图:11	X:370	Y:174 
[2024/8/18 22:1:48] 物品:太阳水	怪物:1B93B670半兽勇士	地图:11	X:370	Y:174 
[2024/8/18 22:1:48] 物品:金创药(中量)	怪物:1B93B670半兽勇士	地图:11	X:370	Y:174 
[2024/8/18 22:1:48] 物品:金创药(中量)	怪物:1B93B670半兽勇士	地图:11	X:370	Y:174 
[2024/8/18 22:1:48] 物品:金创药(中量)	怪物:1B93B670半兽勇士	地图:11	X:370	Y:174 
[2024/8/18 22:1:48] 物品:金创药(中量)	怪物:1B93B670半兽勇士	地图:11	X:370	Y:174 
[2024/8/18 22:1:48] 物品:金创药(中量)	怪物:1B93B670半兽勇士	地图:11	X:370	Y:174 
[2024/8/18 22:1:48] 物品:魔法药(中量)	怪物:1B93B670半兽勇士	地图:11	X:370	Y:174 
[2024/8/18 22:1:48] 物品:魔法药(中量)	怪物:1B93B670半兽勇士	地图:11	X:370	Y:174 
[2024/8/18 22:1:48] 物品:魔法药(中量)	怪物:1B93B670半兽勇士	地图:11	X:370	Y:174 
[2024/8/18 22:1:48] 物品:魔法药(中量)	怪物:1B93B670半兽勇士	地图:11	X:370	Y:174 
[2024/8/18 22:1:48] 物品:魔法药(中量)	怪物:1B93B670半兽勇士	地图:11	X:370	Y:174 
[2024/8/18 22:1:48] 物品:凤凰明珠	怪物:1B93B670半兽勇士	地图:11	X:370	Y:174 
[2024/8/18 22:1:48] 物品:灯笼项链	怪物:1B93B670半兽勇士	地图:11	X:370	Y:174 
[2024/8/18 22:1:49] 物品:精神力战法	怪物:2A74DAC0僵尸1	地图:H201	X:52	Y:97 
[2024/8/18 22:1:50] 物品:强效魔法药	怪物:31DB4900魔龙破甲兵	地图:66	X:80	Y:165 
[2024/8/18 22:2:0] 物品:强效太阳水	怪物:28567F70尸王8	地图:H201	X:167	Y:66 
[2024/8/18 22:2:0] 物品:强效太阳水	怪物:28567F70尸王8	地图:H201	X:167	Y:66 
[2024/8/18 22:2:0] 物品:强效太阳水	怪物:28567F70尸王8	地图:H201	X:167	Y:66 
[2024/8/18 22:2:0] 物品:强效太阳水	怪物:28567F70尸王8	地图:H201	X:167	Y:66 
[2024/8/18 22:2:0] 物品:强效太阳水	怪物:28567F70尸王8	地图:H201	X:167	Y:66 
[2024/8/18 22:2:0] 物品:强效金创药	怪物:28567F70尸王8	地图:H201	X:167	Y:66 
[2024/8/18 22:2:0] 物品:强效金创药	怪物:28567F70尸王8	地图:H201	X:167	Y:66 
[2024/8/18 22:2:0] 物品:强效魔法药	怪物:28567F70尸王8	地图:H201	X:167	Y:66 
[2024/8/18 22:2:0] 物品:强效魔法药	怪物:28567F70尸王8	地图:H201	X:167	Y:66 
[2024/8/18 22:2:0] 物品:魅力戒指	怪物:28567F70尸王8	地图:H201	X:167	Y:66 
[2024/8/18 22:2:1] 物品:强效太阳水	怪物:186911C0尸王	地图:H201	X:52	Y:96 
[2024/8/18 22:2:1] 物品:强效太阳水	怪物:186911C0尸王	地图:H201	X:52	Y:96 
[2024/8/18 22:2:1] 物品:强效太阳水	怪物:186911C0尸王	地图:H201	X:52	Y:96 
[2024/8/18 22:2:1] 物品:强效太阳水	怪物:186911C0尸王	地图:H201	X:52	Y:96 
[2024/8/18 22:2:1] 物品:强效太阳水	怪物:186911C0尸王	地图:H201	X:52	Y:96 
[2024/8/18 22:2:1] 物品:太阳水	怪物:186911C0尸王	地图:H201	X:52	Y:96 
[2024/8/18 22:2:1] 物品:太阳水	怪物:186911C0尸王	地图:H201	X:52	Y:96 
[2024/8/18 22:2:1] 物品:太阳水	怪物:186911C0尸王	地图:H201	X:52	Y:96 
[2024/8/18 22:2:1] 物品:太阳水	怪物:186911C0尸王	地图:H201	X:52	Y:96 
[2024/8/18 22:2:1] 物品:太阳水	怪物:186911C0尸王	地图:H201	X:52	Y:96 
[2024/8/18 22:2:1] 物品:太阳水	怪物:186911C0尸王	地图:H201	X:52	Y:96 
[2024/8/18 22:2:1] 物品:太阳水	怪物:186911C0尸王	地图:H201	X:52	Y:96 
[2024/8/18 22:2:1] 物品:太阳水	怪物:186911C0尸王	地图:H201	X:52	Y:96 
[2024/8/18 22:2:1] 物品:太阳水	怪物:186911C0尸王	地图:H201	X:52	Y:96 
[2024/8/18 22:2:1] 物品:太阳水	怪物:186911C0尸王	地图:H201	X:52	Y:96 
[2024/8/18 22:2:1] 物品:金创药(中量)	怪物:186911C0尸王	地图:H201	X:52	Y:96 
[2024/8/18 22:2:1] 物品:金创药(中量)	怪物:186911C0尸王	地图:H201	X:52	Y:96 
[2024/8/18 22:2:1] 物品:金创药(中量)	怪物:186911C0尸王	地图:H201	X:52	Y:96 
[2024/8/18 22:2:1] 物品:强效金创药	怪物:186911C0尸王	地图:H201	X:52	Y:96 
