[2024/8/18 11:0:0] 物品:魔法药(小量)	怪物:223423C0僵尸4	地图:H201	X:82	Y:59 
[2024/8/18 11:0:51] 物品:心灵启示	怪物:2259FA90尸王	地图:H201	X:92	Y:62 
[2024/8/18 11:0:51] 物品:刺杀剑术	怪物:2259FA90尸王	地图:H201	X:92	Y:62 
[2024/8/18 11:0:51] 物品:雷电术	怪物:2259FA90尸王	地图:H201	X:92	Y:62 
[2024/8/18 11:0:51] 物品:地狱火	怪物:2259FA90尸王	地图:H201	X:92	Y:62 
[2024/8/18 11:0:51] 物品:大火球	怪物:2259FA90尸王	地图:H201	X:92	Y:62 
[2024/8/18 11:0:51] 物品:召唤骷髅	怪物:2259FA90尸王	地图:H201	X:92	Y:62 
[2024/8/18 11:0:51] 物品:抗拒火环	怪物:2259FA90尸王	地图:H201	X:92	Y:62 
[2024/8/18 11:0:51] 物品:精神力战法	怪物:2259FA90尸王	地图:H201	X:92	Y:62 
[2024/8/18 11:0:51] 物品:治愈术	怪物:2259FA90尸王	地图:H201	X:92	Y:62 
[2024/8/18 11:0:51] 物品:基本剑术	怪物:2259FA90尸王	地图:H201	X:92	Y:62 
[2024/8/18 11:0:51] 物品:火球术	怪物:2259FA90尸王	地图:H201	X:92	Y:62 
[2024/8/18 11:0:54] 物品:强效太阳水	怪物:0522E500牛魔将军0	地图:H010	X:270	Y:27 
[2024/8/18 11:0:54] 物品:强效太阳水	怪物:0522E500牛魔将军0	地图:H010	X:270	Y:27 
[2024/8/18 11:0:54] 物品:太阳水	怪物:0522E500牛魔将军0	地图:H010	X:270	Y:27 
[2024/8/18 11:0:54] 物品:太阳水	怪物:0522E500牛魔将军0	地图:H010	X:270	Y:27 
[2024/8/18 11:0:54] 物品:龙纹剑	怪物:0522E500牛魔将军0	地图:H010	X:270	Y:27 
[2024/8/18 11:0:54] 物品:降魔	怪物:0522E500牛魔将军0	地图:H010	X:270	Y:27 
[2024/8/18 11:0:54] 物品:生铁戒指	怪物:0522E500牛魔将军0	地图:H010	X:270	Y:27 
[2024/8/18 11:0:57] 物品:强效太阳水	怪物:1E03D830牛魔将军8	地图:H010	X:269	Y:27 
[2024/8/18 11:0:57] 物品:太阳水	怪物:1E03D830牛魔将军8	地图:H010	X:269	Y:27 
[2024/8/18 11:0:57] 物品:辟邪手镯	怪物:1E03D830牛魔将军8	地图:H010	X:269	Y:27 
[2024/8/18 11:0:57] 物品:金创药(小量)	怪物:281C2940僵尸3	地图:D401	X:39	Y:60 
[2024/8/18 11:1:1] 物品:道士头盔	怪物:052D9C30魔龙射手1	地图:66	X:176	Y:164 
[2024/8/18 11:1:3] 物品:神圣战甲术	怪物:28F4AC10恶灵尸王	地图:H201	X:97	Y:55 
[2024/8/18 11:1:3] 物品:爆裂火焰	怪物:28F4AC10恶灵尸王	地图:H201	X:97	Y:55 
[2024/8/18 11:1:3] 物品:诱惑之光	怪物:28F4AC10恶灵尸王	地图:H201	X:97	Y:55 
[2024/8/18 11:1:6] 物品:金创药(小量)	怪物:28AAC890僵尸5	地图:H201	X:96	Y:54 
[2024/8/18 11:1:6] 物品:强效太阳水	怪物:30E9BEE0牛魔将军8	地图:H010	X:263	Y:24 
[2024/8/18 11:1:6] 物品:重盔甲(男)	怪物:30E9BEE0牛魔将军8	地图:H010	X:263	Y:24 
[2024/8/18 11:1:6] 物品:道德戒指	怪物:30E9BEE0牛魔将军8	地图:H010	X:263	Y:24 
[2024/8/18 11:1:10] 物品:灵魂战衣(女)	怪物:2A9762D0牛魔法师8	地图:H010	X:263	Y:26 
[2024/8/18 11:1:10] 物品:道德戒指	怪物:2A9762D0牛魔法师8	地图:H010	X:263	Y:26 
[2024/8/18 11:1:11] 物品:金创药(小量)	怪物:1B719490僵尸3	地图:D401	X:36	Y:70 
[2024/8/18 11:1:15] 物品:瞬息移动	怪物:2B3DEAB0僵尸3	地图:D401	X:38	Y:71 
[2024/8/18 11:1:21] 物品:魔法药(小量)	怪物:2A121160僵尸5	地图:H201	X:94	Y:61 
[2024/8/18 11:1:21] 物品:金创药(小量)	怪物:29EF9EA0僵尸3	地图:D401	X:32	Y:70 
[2024/8/18 11:1:23] 物品:强效太阳水	怪物:2DCD89F0牛魔祭司0	地图:H010	X:259	Y:20 
[2024/8/18 11:1:23] 物品:强效太阳水	怪物:2DCD89F0牛魔祭司0	地图:H010	X:259	Y:20 
[2024/8/18 11:1:23] 物品:太阳水	怪物:2DCD89F0牛魔祭司0	地图:H010	X:259	Y:20 
[2024/8/18 11:1:23] 物品:幽灵战衣(女)	怪物:2DCD89F0牛魔祭司0	地图:H010	X:259	Y:20 
[2024/8/18 11:1:31] 物品:强效太阳水	怪物:2DFAC890牛魔将军0	地图:H010	X:260	Y:20 
[2024/8/18 11:1:31] 物品:强效太阳水	怪物:2DFAC890牛魔将军0	地图:H010	X:260	Y:20 
[2024/8/18 11:1:31] 物品:太阳水	怪物:2DFAC890牛魔将军0	地图:H010	X:260	Y:20 
[2024/8/18 11:1:31] 物品:太阳水	怪物:2DFAC890牛魔将军0	地图:H010	X:260	Y:20 
[2024/8/18 11:1:31] 物品:太阳水	怪物:2DFAC890牛魔将军0	地图:H010	X:260	Y:20 
[2024/8/18 11:1:32] 物品:金创药(小量)	怪物:2358E9C0僵尸4	地图:H201	X:102	Y:71 
[2024/8/18 11:1:36] 物品:道德戒指	怪物:2DADFE80牛魔法师8	地图:H010	X:259	Y:21 
[2024/8/18 11:1:36] 物品:降魔	怪物:2DADFE80牛魔法师8	地图:H010	X:259	Y:21 
[2024/8/18 11:1:36] 物品:偃月	怪物:2DADFE80牛魔法师8	地图:H010	X:259	Y:21 
[2024/8/18 11:1:36] 物品:精神力战法	怪物:2DCCEEA0僵尸1	地图:H201	X:106	Y:70 
[2024/8/18 11:1:39] 物品:灵魂战衣(男)	怪物:2EC04070魔龙破甲兵	地图:66	X:185	Y:161 
[2024/8/18 11:1:39] 物品:黑檀手镯	怪物:2EC04070魔龙破甲兵	地图:66	X:185	Y:161 
[2024/8/18 11:1:40] 物品:强效太阳水	怪物:2F4264A0牛魔将军8	地图:H010	X:259	Y:22 
[2024/8/18 11:1:40] 物品:强效魔法药	怪物:2F4264A0牛魔将军8	地图:H010	X:259	Y:22 
[2024/8/18 11:1:44] 物品:强效太阳水	怪物:056B6070尸王8	地图:H201	X:103	Y:72 
[2024/8/18 11:1:44] 物品:强效太阳水	怪物:056B6070尸王8	地图:H201	X:103	Y:72 
[2024/8/18 11:1:44] 物品:强效太阳水	怪物:056B6070尸王8	地图:H201	X:103	Y:72 
[2024/8/18 11:1:44] 物品:强效太阳水	怪物:056B6070尸王8	地图:H201	X:103	Y:72 
[2024/8/18 11:1:44] 物品:强效太阳水	怪物:056B6070尸王8	地图:H201	X:103	Y:72 
[2024/8/18 11:1:44] 物品:强效金创药	怪物:056B6070尸王8	地图:H201	X:103	Y:72 
[2024/8/18 11:1:44] 物品:强效金创药	怪物:056B6070尸王8	地图:H201	X:103	Y:72 
[2024/8/18 11:1:44] 物品:强效魔法药	怪物:056B6070尸王8	地图:H201	X:103	Y:72 
[2024/8/18 11:1:44] 物品:强效魔法药	怪物:056B6070尸王8	地图:H201	X:103	Y:72 
[2024/8/18 11:1:44] 物品:凝霜	怪物:056B6070尸王8	地图:H201	X:103	Y:72 
[2024/8/18 11:1:44] 物品:黑檀手镯	怪物:056B6070尸王8	地图:H201	X:103	Y:72 
[2024/8/18 11:1:44] 物品:魔力手镯	怪物:056B6070尸王8	地图:H201	X:103	Y:72 
[2024/8/18 11:1:44] 物品:地狱雷光	怪物:056B6070尸王8	地图:H201	X:103	Y:72 
[2024/8/18 11:1:51] 物品:金创药(小量)	怪物:29AB9FE0僵尸4	地图:H201	X:105	Y:75 
[2024/8/18 11:1:53] 物品:强效金创药	怪物:24598FA0魔龙刀兵	地图:66	X:189	Y:158 
[2024/8/18 11:1:54] 物品:骷髅头盔	怪物:1F1DF530魔龙邪眼1	地图:66	X:186	Y:158 
[2024/8/18 11:1:56] 物品:太阳水	怪物:2DF77090黑野猪8	地图:H002	X:356	Y:157 
[2024/8/18 11:1:58] 物品:金创药(小量)	怪物:0D655B00僵尸4	地图:H201	X:104	Y:76 
[2024/8/18 11:2:3] 物品:强效金创药	怪物:2EC056A0魔龙破甲兵	地图:66	X:188	Y:159 
[2024/8/18 11:2:3] 物品:强效太阳水	怪物:2EC056A0魔龙破甲兵	地图:66	X:188	Y:159 
[2024/8/18 11:2:3] 物品:金戒指	怪物:2EC056A0魔龙破甲兵	地图:66	X:188	Y:159 
[2024/8/18 11:2:3] 物品:太阳水	怪物:1BF37AD0牛魔将军8	地图:H010	X:250	Y:30 
[2024/8/18 11:2:9] 物品:强效太阳水	怪物:28C55910牛魔祭司0	地图:H010	X:249	Y:29 
[2024/8/18 11:2:9] 物品:太阳水	怪物:28C55910牛魔祭司0	地图:H010	X:249	Y:29 
[2024/8/18 11:2:9] 物品:太阳水	怪物:28C55910牛魔祭司0	地图:H010	X:249	Y:29 
[2024/8/18 11:2:9] 物品:太阳水	怪物:28C55910牛魔祭司0	地图:H010	X:249	Y:29 
[2024/8/18 11:2:9] 物品:战神盔甲(男)	怪物:28C55910牛魔祭司0	地图:H010	X:249	Y:29 
[2024/8/18 11:2:18] 物品:太阳水	怪物:278F08D0牛魔将军8	地图:H010	X:250	Y:38 
[2024/8/18 11:2:18] 物品:强效魔法药	怪物:278F08D0牛魔将军8	地图:H010	X:250	Y:38 
[2024/8/18 11:2:19] 物品:强效太阳水	怪物:1C355A80尸王8	地图:H201	X:107	Y:81 
[2024/8/18 11:2:19] 物品:强效太阳水	怪物:1C355A80尸王8	地图:H201	X:107	Y:81 
[2024/8/18 11:2:19] 物品:强效太阳水	怪物:1C355A80尸王8	地图:H201	X:107	Y:81 
[2024/8/18 11:2:19] 物品:强效太阳水	怪物:1C355A80尸王8	地图:H201	X:107	Y:81 
[2024/8/18 11:2:19] 物品:强效太阳水	怪物:1C355A80尸王8	地图:H201	X:107	Y:81 
[2024/8/18 11:2:19] 物品:强效金创药	怪物:1C355A80尸王8	地图:H201	X:107	Y:81 
[2024/8/18 11:2:19] 物品:强效金创药	怪物:1C355A80尸王8	地图:H201	X:107	Y:81 
[2024/8/18 11:2:19] 物品:强效魔法药	怪物:1C355A80尸王8	地图:H201	X:107	Y:81 
[2024/8/18 11:2:19] 物品:强效魔法药	怪物:1C355A80尸王8	地图:H201	X:107	Y:81 
[2024/8/18 11:2:19] 物品:道德戒指	怪物:1C355A80尸王8	地图:H201	X:107	Y:81 
[2024/8/18 11:2:19] 物品:黑檀手镯	怪物:1C355A80尸王8	地图:H201	X:107	Y:81 
[2024/8/18 11:2:19] 物品:魔力手镯	怪物:1C355A80尸王8	地图:H201	X:107	Y:81 
[2024/8/18 11:2:19] 物品:圣言术	怪物:1C355A80尸王8	地图:H201	X:107	Y:81 
[2024/8/18 11:2:19] 物品:烈火剑法	怪物:1C355A80尸王8	地图:H201	X:107	Y:81 
[2024/8/18 11:2:26] 物品:强效魔法药	怪物:2E013970魔龙射手1	地图:66	X:198	Y:151 
[2024/8/18 11:2:26] 物品:强效金创药	怪物:2E013970魔龙射手1	地图:66	X:198	Y:151 
[2024/8/18 11:2:26] 物品:灵魂战衣(女)	怪物:2E013970魔龙射手1	地图:66	X:198	Y:151 
[2024/8/18 11:2:28] 物品:强效太阳水	怪物:1987E9C0牛魔将军8	地图:H010	X:249	Y:34 
[2024/8/18 11:2:28] 物品:道德戒指	怪物:1987E9C0牛魔将军8	地图:H010	X:249	Y:34 
[2024/8/18 11:2:29] 物品:攻杀剑术	怪物:1A442CB0僵尸40	地图:H201	X:103	Y:81 
[2024/8/18 11:2:29] 物品:抗拒火环	怪物:1A442CB0僵尸40	地图:H201	X:103	Y:81 
[2024/8/18 11:2:29] 物品:精神力战法	怪物:1A442CB0僵尸40	地图:H201	X:103	Y:81 
[2024/8/18 11:2:29] 物品:火球术	怪物:1A442CB0僵尸40	地图:H201	X:103	Y:81 
[2024/8/18 11:2:29] 物品:治愈术	怪物:1A442CB0僵尸40	地图:H201	X:103	Y:81 
[2024/8/18 11:2:29] 物品:基本剑术	怪物:1A442CB0僵尸40	地图:H201	X:103	Y:81 
[2024/8/18 11:2:29] 物品:青铜头盔	怪物:1A442CB0僵尸40	地图:H201	X:103	Y:81 
[2024/8/18 11:2:29] 物品:金创药(小量)	怪物:1A442CB0僵尸40	地图:H201	X:103	Y:81 
[2024/8/18 11:2:29] 物品:魔法药(小量)	怪物:1A442CB0僵尸40	地图:H201	X:103	Y:81 
[2024/8/18 11:2:30] 物品:道士手镯	怪物:29FE9940牛魔法师8	地图:H010	X:250	Y:35 
[2024/8/18 11:2:32] 物品:治愈术	怪物:1C7F0BE0僵尸1	地图:H201	X:105	Y:80 
[2024/8/18 11:2:38] 物品:抗拒火环	怪物:1A442CB0僵尸40	地图:H201	X:103	Y:81 
[2024/8/18 11:2:38] 物品:精神力战法	怪物:1A442CB0僵尸40	地图:H201	X:103	Y:81 
[2024/8/18 11:2:38] 物品:火球术	怪物:1A442CB0僵尸40	地图:H201	X:103	Y:81 
[2024/8/18 11:2:38] 物品:治愈术	怪物:1A442CB0僵尸40	地图:H201	X:103	Y:81 
[2024/8/18 11:2:38] 物品:基本剑术	怪物:1A442CB0僵尸40	地图:H201	X:103	Y:81 
[2024/8/18 11:2:41] 物品:强效太阳水	怪物:27EB28C0牛魔祭司0	地图:H010	X:257	Y:40 
[2024/8/18 11:2:41] 物品:强效太阳水	怪物:27EB28C0牛魔祭司0	地图:H010	X:257	Y:40 
[2024/8/18 11:2:41] 物品:太阳水	怪物:27EB28C0牛魔祭司0	地图:H010	X:257	Y:40 
[2024/8/18 11:2:41] 物品:太阳水	怪物:27EB28C0牛魔祭司0	地图:H010	X:257	Y:40 
[2024/8/18 11:2:43] 物品:道德戒指	怪物:2F0EBFA0牛魔法师8	地图:H010	X:256	Y:41 
[2024/8/18 11:2:43] 物品:躲避手链	怪物:2F0EBFA0牛魔法师8	地图:H010	X:256	Y:41 
[2024/8/18 11:2:46] 物品:道士手镯	怪物:291C95E0牛魔法师8	地图:H010	X:257	Y:41 
[2024/8/18 11:2:47] 物品:强效太阳水	怪物:291DB650尸王8	地图:H201	X:97	Y:86 
[2024/8/18 11:2:47] 物品:强效太阳水	怪物:291DB650尸王8	地图:H201	X:97	Y:86 
[2024/8/18 11:2:47] 物品:强效太阳水	怪物:291DB650尸王8	地图:H201	X:97	Y:86 
[2024/8/18 11:2:47] 物品:强效太阳水	怪物:291DB650尸王8	地图:H201	X:97	Y:86 
[2024/8/18 11:2:47] 物品:强效太阳水	怪物:291DB650尸王8	地图:H201	X:97	Y:86 
[2024/8/18 11:2:47] 物品:强效金创药	怪物:291DB650尸王8	地图:H201	X:97	Y:86 
[2024/8/18 11:2:47] 物品:强效金创药	怪物:291DB650尸王8	地图:H201	X:97	Y:86 
[2024/8/18 11:2:47] 物品:强效魔法药	怪物:291DB650尸王8	地图:H201	X:97	Y:86 
[2024/8/18 11:2:47] 物品:强效魔法药	怪物:291DB650尸王8	地图:H201	X:97	Y:86 
[2024/8/18 11:2:47] 物品:骷髅戒指	怪物:291DB650尸王8	地图:H201	X:97	Y:86 
[2024/8/18 11:2:47] 物品:蛇眼戒指	怪物:291DB650尸王8	地图:H201	X:97	Y:86 
[2024/8/18 11:2:47] 物品:黑檀手镯	怪物:291DB650尸王8	地图:H201	X:97	Y:86 
[2024/8/18 11:2:47] 物品:魔力手镯	怪物:291DB650尸王8	地图:H201	X:97	Y:86 
[2024/8/18 11:2:48] 物品:强效魔法药	怪物:2EB79470魔龙破甲兵	地图:66	X:197	Y:148 
[2024/8/18 11:2:48] 物品:黑檀手镯	怪物:2EB79470魔龙破甲兵	地图:66	X:197	Y:148 
[2024/8/18 11:2:50] 物品:神圣战甲术	怪物:27FE7AD0僵尸2	地图:D401	X:54	Y:49 
[2024/8/18 11:2:52] 物品:强效魔法药	怪物:19B925A0魔龙刀兵2	地图:66	X:195	Y:149 
[2024/8/18 11:2:53] 物品:MP强化药水	怪物:05267130牛魔将军8	地图:H010	X:255	Y:41 
[2024/8/18 11:2:55] 物品:强效太阳水	怪物:27FC7E00尸王8	地图:H201	X:97	Y:86 
[2024/8/18 11:2:55] 物品:强效太阳水	怪物:27FC7E00尸王8	地图:H201	X:97	Y:86 
[2024/8/18 11:2:55] 物品:强效太阳水	怪物:27FC7E00尸王8	地图:H201	X:97	Y:86 
[2024/8/18 11:2:55] 物品:强效太阳水	怪物:27FC7E00尸王8	地图:H201	X:97	Y:86 
[2024/8/18 11:2:55] 物品:强效太阳水	怪物:27FC7E00尸王8	地图:H201	X:97	Y:86 
[2024/8/18 11:2:55] 物品:强效金创药	怪物:27FC7E00尸王8	地图:H201	X:97	Y:86 
[2024/8/18 11:2:55] 物品:强效金创药	怪物:27FC7E00尸王8	地图:H201	X:97	Y:86 
[2024/8/18 11:2:55] 物品:强效魔法药	怪物:27FC7E00尸王8	地图:H201	X:97	Y:86 
[2024/8/18 11:2:55] 物品:强效魔法药	怪物:27FC7E00尸王8	地图:H201	X:97	Y:86 
[2024/8/18 11:2:55] 物品:蛇眼戒指	怪物:27FC7E00尸王8	地图:H201	X:97	Y:86 
[2024/8/18 11:2:55] 物品:蓝翡翠项链	怪物:27FC7E00尸王8	地图:H201	X:97	Y:86 
[2024/8/18 11:2:58] 物品:黑檀手镯	怪物:298317D0牛魔侍卫8	地图:H010	X:257	Y:40 
[2024/8/18 11:2:58] 物品:祈祷之刃	怪物:298317D0牛魔侍卫8	地图:H010	X:257	Y:40 
[2024/8/18 11:2:59] 物品:魔法长袍(女)	怪物:2DE798C0黑野猪8	地图:H002	X:310	Y:44 
[2024/8/18 11:3:1] 物品:强效太阳水	怪物:1D732B90尸王8	地图:H201	X:97	Y:85 
[2024/8/18 11:3:1] 物品:强效太阳水	怪物:1D732B90尸王8	地图:H201	X:97	Y:85 
[2024/8/18 11:3:1] 物品:强效太阳水	怪物:1D732B90尸王8	地图:H201	X:97	Y:85 
[2024/8/18 11:3:1] 物品:强效太阳水	怪物:1D732B90尸王8	地图:H201	X:97	Y:85 
[2024/8/18 11:3:1] 物品:强效太阳水	怪物:1D732B90尸王8	地图:H201	X:97	Y:85 
