[2024/8/17 20:0:5] 物品:海魂	怪物:29A84010骷髅战将	地图:D003	X:195	Y:245 
[2024/8/17 20:0:54] 物品:强效太阳水	怪物:18564C00尸王8	地图:H201	X:100	Y:175 
[2024/8/17 20:0:54] 物品:强效太阳水	怪物:18564C00尸王8	地图:H201	X:100	Y:175 
[2024/8/17 20:0:54] 物品:强效太阳水	怪物:18564C00尸王8	地图:H201	X:100	Y:175 
[2024/8/17 20:0:54] 物品:强效太阳水	怪物:18564C00尸王8	地图:H201	X:100	Y:175 
[2024/8/17 20:0:54] 物品:强效金创药	怪物:18564C00尸王8	地图:H201	X:100	Y:175 
[2024/8/17 20:0:54] 物品:强效金创药	怪物:18564C00尸王8	地图:H201	X:100	Y:175 
[2024/8/17 20:0:54] 物品:强效魔法药	怪物:18564C00尸王8	地图:H201	X:100	Y:175 
[2024/8/17 20:0:54] 物品:强效魔法药	怪物:18564C00尸王8	地图:H201	X:100	Y:175 
[2024/8/17 20:0:54] 物品:蛇眼戒指	怪物:18564C00尸王8	地图:H201	X:100	Y:175 
[2024/8/17 20:0:54] 物品:道德戒指	怪物:18564C00尸王8	地图:H201	X:100	Y:175 
[2024/8/17 20:0:54] 物品:蓝翡翠项链	怪物:18564C00尸王8	地图:H201	X:100	Y:175 
[2024/8/17 20:0:54] 物品:黑檀手镯	怪物:18564C00尸王8	地图:H201	X:100	Y:175 
[2024/8/17 20:0:54] 物品:魔力手镯	怪物:18564C00尸王8	地图:H201	X:100	Y:175 
[2024/8/17 20:0:54] 物品:地狱雷光	怪物:18564C00尸王8	地图:H201	X:100	Y:175 
[2024/8/17 20:0:57] 物品:牛角戒指	怪物:30A776C0骷髅0	地图:D002	X:323	Y:136 
[2024/8/17 20:0:57] 物品:金创药(小量)	怪物:30A776C0骷髅0	地图:D002	X:323	Y:136 
[2024/8/17 20:0:57] 物品:金创药(小量)	怪物:30A776C0骷髅0	地图:D002	X:323	Y:136 
[2024/8/17 20:0:57] 物品:金创药(小量)	怪物:30A776C0骷髅0	地图:D002	X:323	Y:136 
[2024/8/17 20:0:57] 物品:金创药(小量)	怪物:30A776C0骷髅0	地图:D002	X:323	Y:136 
[2024/8/17 20:0:57] 物品:魔法药(小量)	怪物:30A776C0骷髅0	地图:D002	X:323	Y:136 
[2024/8/17 20:0:57] 物品:魔法药(小量)	怪物:30A776C0骷髅0	地图:D002	X:323	Y:136 
[2024/8/17 20:0:57] 物品:魔法药(小量)	怪物:30A776C0骷髅0	地图:D002	X:323	Y:136 
[2024/8/17 20:0:57] 物品:魔法药(小量)	怪物:30A776C0骷髅0	地图:D002	X:323	Y:136 
[2024/8/17 20:1:4] 物品:金创药(小量)	怪物:2F07CDE0骷髅战士	地图:D002	X:328	Y:139 
[2024/8/17 20:1:6] 物品:太阳水	怪物:27F5BCE0黑色恶蛆8	地图:H004	X:131	Y:124 
[2024/8/17 20:1:7] 物品:魔法药(小量)	怪物:2843BE90山洞蝙蝠	地图:D002	X:333	Y:135 
[2024/8/17 20:1:10] 物品:强效太阳水	怪物:2DDBB8A0虹魔蝎卫8	地图:H204	X:20	Y:20 
[2024/8/17 20:1:10] 物品:强效太阳水	怪物:2DDBB8A0虹魔蝎卫8	地图:H204	X:20	Y:20 
[2024/8/17 20:1:10] 物品:强效太阳水	怪物:2DDBB8A0虹魔蝎卫8	地图:H204	X:20	Y:20 
[2024/8/17 20:1:10] 物品:强效太阳水	怪物:2DDBB8A0虹魔蝎卫8	地图:H204	X:20	Y:20 
[2024/8/17 20:1:10] 物品:强效太阳水	怪物:2DDBB8A0虹魔蝎卫8	地图:H204	X:20	Y:20 
[2024/8/17 20:1:10] 物品:强效太阳水	怪物:2DDBB8A0虹魔蝎卫8	地图:H204	X:20	Y:20 
[2024/8/17 20:1:10] 物品:强效太阳水	怪物:2DDBB8A0虹魔蝎卫8	地图:H204	X:20	Y:20 
[2024/8/17 20:1:10] 物品:强效太阳水	怪物:2DDBB8A0虹魔蝎卫8	地图:H204	X:20	Y:20 
[2024/8/17 20:1:10] 物品:强效太阳水	怪物:2DDBB8A0虹魔蝎卫8	地图:H204	X:20	Y:20 
[2024/8/17 20:1:10] 物品:强效太阳水	怪物:2DDBB8A0虹魔蝎卫8	地图:H204	X:20	Y:20 
[2024/8/17 20:1:10] 物品:太阳水	怪物:2DDBB8A0虹魔蝎卫8	地图:H204	X:20	Y:20 
[2024/8/17 20:1:10] 物品:太阳水	怪物:2DDBB8A0虹魔蝎卫8	地图:H204	X:20	Y:20 
[2024/8/17 20:1:10] 物品:太阳水	怪物:2DDBB8A0虹魔蝎卫8	地图:H204	X:20	Y:20 
[2024/8/17 20:1:10] 物品:太阳水	怪物:2DDBB8A0虹魔蝎卫8	地图:H204	X:20	Y:20 
[2024/8/17 20:1:10] 物品:太阳水	怪物:2DDBB8A0虹魔蝎卫8	地图:H204	X:20	Y:20 
[2024/8/17 20:1:10] 物品:太阳水	怪物:2DDBB8A0虹魔蝎卫8	地图:H204	X:20	Y:20 
[2024/8/17 20:1:10] 物品:太阳水	怪物:2DDBB8A0虹魔蝎卫8	地图:H204	X:20	Y:20 
[2024/8/17 20:1:10] 物品:太阳水	怪物:2DDBB8A0虹魔蝎卫8	地图:H204	X:20	Y:20 
[2024/8/17 20:1:10] 物品:太阳水	怪物:2DDBB8A0虹魔蝎卫8	地图:H204	X:20	Y:20 
[2024/8/17 20:1:10] 物品:太阳水	怪物:2DDBB8A0虹魔蝎卫8	地图:H204	X:20	Y:20 
[2024/8/17 20:1:10] 物品:强效金创药	怪物:2DDBB8A0虹魔蝎卫8	地图:H204	X:20	Y:20 
[2024/8/17 20:1:10] 物品:强效金创药	怪物:2DDBB8A0虹魔蝎卫8	地图:H204	X:20	Y:20 
[2024/8/17 20:1:10] 物品:强效金创药	怪物:2DDBB8A0虹魔蝎卫8	地图:H204	X:20	Y:20 
[2024/8/17 20:1:10] 物品:强效金创药	怪物:2DDBB8A0虹魔蝎卫8	地图:H204	X:20	Y:20 
[2024/8/17 20:1:10] 物品:强效金创药	怪物:2DDBB8A0虹魔蝎卫8	地图:H204	X:20	Y:20 
[2024/8/17 20:1:10] 物品:强效金创药	怪物:2DDBB8A0虹魔蝎卫8	地图:H204	X:20	Y:20 
[2024/8/17 20:1:10] 物品:强效金创药	怪物:2DDBB8A0虹魔蝎卫8	地图:H204	X:20	Y:20 
[2024/8/17 20:1:10] 物品:强效金创药	怪物:2DDBB8A0虹魔蝎卫8	地图:H204	X:20	Y:20 
[2024/8/17 20:1:10] 物品:强效金创药	怪物:2DDBB8A0虹魔蝎卫8	地图:H204	X:20	Y:20 
[2024/8/17 20:1:10] 物品:强效金创药	怪物:2DDBB8A0虹魔蝎卫8	地图:H204	X:20	Y:20 
[2024/8/17 20:1:10] 物品:强效魔法药	怪物:2DDBB8A0虹魔蝎卫8	地图:H204	X:20	Y:20 
[2024/8/17 20:1:10] 物品:强效魔法药	怪物:2DDBB8A0虹魔蝎卫8	地图:H204	X:20	Y:20 
[2024/8/17 20:1:10] 物品:强效魔法药	怪物:2DDBB8A0虹魔蝎卫8	地图:H204	X:20	Y:20 
[2024/8/17 20:1:10] 物品:强效魔法药	怪物:2DDBB8A0虹魔蝎卫8	地图:H204	X:20	Y:20 
[2024/8/17 20:1:10] 物品:强效魔法药	怪物:2DDBB8A0虹魔蝎卫8	地图:H204	X:20	Y:20 
[2024/8/17 20:1:10] 物品:强效魔法药	怪物:2DDBB8A0虹魔蝎卫8	地图:H204	X:20	Y:20 
[2024/8/17 20:1:10] 物品:强效魔法药	怪物:2DDBB8A0虹魔蝎卫8	地图:H204	X:20	Y:20 
[2024/8/17 20:1:10] 物品:强效魔法药	怪物:2DDBB8A0虹魔蝎卫8	地图:H204	X:20	Y:20 
[2024/8/17 20:1:10] 物品:强效魔法药	怪物:2DDBB8A0虹魔蝎卫8	地图:H204	X:20	Y:20 
[2024/8/17 20:1:10] 物品:强效魔法药	怪物:2DDBB8A0虹魔蝎卫8	地图:H204	X:20	Y:20 
[2024/8/17 20:1:10] 物品:斩马刀	怪物:2DDBB8A0虹魔蝎卫8	地图:H204	X:20	Y:20 
[2024/8/17 20:1:13] 物品:强效太阳水	怪物:1A31C490尸王8	地图:H201	X:97	Y:170 
[2024/8/17 20:1:13] 物品:强效太阳水	怪物:1A31C490尸王8	地图:H201	X:97	Y:170 
[2024/8/17 20:1:13] 物品:强效太阳水	怪物:1A31C490尸王8	地图:H201	X:97	Y:170 
[2024/8/17 20:1:13] 物品:强效太阳水	怪物:1A31C490尸王8	地图:H201	X:97	Y:170 
[2024/8/17 20:1:13] 物品:强效太阳水	怪物:1A31C490尸王8	地图:H201	X:97	Y:170 
[2024/8/17 20:1:13] 物品:强效金创药	怪物:1A31C490尸王8	地图:H201	X:97	Y:170 
[2024/8/17 20:1:13] 物品:强效金创药	怪物:1A31C490尸王8	地图:H201	X:97	Y:170 
[2024/8/17 20:1:13] 物品:强效魔法药	怪物:1A31C490尸王8	地图:H201	X:97	Y:170 
[2024/8/17 20:1:13] 物品:强效魔法药	怪物:1A31C490尸王8	地图:H201	X:97	Y:170 
[2024/8/17 20:1:13] 物品:骷髅戒指	怪物:1A31C490尸王8	地图:H201	X:97	Y:170 
[2024/8/17 20:1:13] 物品:珍珠戒指	怪物:1A31C490尸王8	地图:H201	X:97	Y:170 
[2024/8/17 20:1:13] 物品:凝霜	怪物:1A31C490尸王8	地图:H201	X:97	Y:170 
[2024/8/17 20:1:13] 物品:魅力戒指	怪物:1A31C490尸王8	地图:H201	X:97	Y:170 
[2024/8/17 20:1:15] 物品:重盔甲(女)	怪物:30E7BB90红野猪8	地图:H002	X:288	Y:293 
[2024/8/17 20:1:15] 物品:小手镯	怪物:29A32480掷斧骷髅	地图:D002	X:319	Y:144 
[2024/8/17 20:1:18] 物品:强效太阳水	怪物:27ACA4A0尸王8	地图:H201	X:57	Y:25 
[2024/8/17 20:1:18] 物品:强效太阳水	怪物:27ACA4A0尸王8	地图:H201	X:57	Y:25 
[2024/8/17 20:1:18] 物品:强效太阳水	怪物:27ACA4A0尸王8	地图:H201	X:57	Y:25 
[2024/8/17 20:1:18] 物品:强效太阳水	怪物:27ACA4A0尸王8	地图:H201	X:57	Y:25 
[2024/8/17 20:1:18] 物品:强效太阳水	怪物:27ACA4A0尸王8	地图:H201	X:57	Y:25 
[2024/8/17 20:1:18] 物品:强效金创药	怪物:27ACA4A0尸王8	地图:H201	X:57	Y:25 
[2024/8/17 20:1:18] 物品:强效金创药	怪物:27ACA4A0尸王8	地图:H201	X:57	Y:25 
[2024/8/17 20:1:18] 物品:强效魔法药	怪物:27ACA4A0尸王8	地图:H201	X:57	Y:25 
[2024/8/17 20:1:18] 物品:强效魔法药	怪物:27ACA4A0尸王8	地图:H201	X:57	Y:25 
[2024/8/17 20:1:18] 物品:骷髅戒指	怪物:27ACA4A0尸王8	地图:H201	X:57	Y:25 
[2024/8/17 20:1:18] 物品:生铁戒指	怪物:27ACA4A0尸王8	地图:H201	X:57	Y:25 
[2024/8/17 20:1:18] 物品:道德戒指	怪物:27ACA4A0尸王8	地图:H201	X:57	Y:25 
[2024/8/17 20:1:18] 物品:黑檀手镯	怪物:27ACA4A0尸王8	地图:H201	X:57	Y:25 
[2024/8/17 20:1:18] 物品:魔力手镯	怪物:27ACA4A0尸王8	地图:H201	X:57	Y:25 
[2024/8/17 20:1:21] 物品:木剑	怪物:0D856080半兽人	地图:0	X:490	Y:108 
[2024/8/17 20:1:21] 物品:金创药(小量)	怪物:30DDCE40骷髅战士	地图:D003	X:178	Y:192 
[2024/8/17 20:1:27] 物品:强效太阳水	怪物:29807FB0尸王8	地图:H201	X:91	Y:178 
[2024/8/17 20:1:27] 物品:强效太阳水	怪物:29807FB0尸王8	地图:H201	X:91	Y:178 
[2024/8/17 20:1:27] 物品:强效太阳水	怪物:29807FB0尸王8	地图:H201	X:91	Y:178 
[2024/8/17 20:1:27] 物品:强效太阳水	怪物:29807FB0尸王8	地图:H201	X:91	Y:178 
[2024/8/17 20:1:27] 物品:强效太阳水	怪物:29807FB0尸王8	地图:H201	X:91	Y:178 
[2024/8/17 20:1:27] 物品:强效金创药	怪物:29807FB0尸王8	地图:H201	X:91	Y:178 
[2024/8/17 20:1:27] 物品:强效金创药	怪物:29807FB0尸王8	地图:H201	X:91	Y:178 
[2024/8/17 20:1:27] 物品:强效魔法药	怪物:29807FB0尸王8	地图:H201	X:91	Y:178 
[2024/8/17 20:1:27] 物品:强效魔法药	怪物:29807FB0尸王8	地图:H201	X:91	Y:178 
[2024/8/17 20:1:27] 物品:骷髅戒指	怪物:29807FB0尸王8	地图:H201	X:91	Y:178 
[2024/8/17 20:1:27] 物品:蛇眼戒指	怪物:29807FB0尸王8	地图:H201	X:91	Y:178 
[2024/8/17 20:1:27] 物品:珍珠戒指	怪物:29807FB0尸王8	地图:H201	X:91	Y:178 
[2024/8/17 20:1:27] 物品:凝霜	怪物:29807FB0尸王8	地图:H201	X:91	Y:178 
[2024/8/17 20:1:28] 物品:魔法药(小量)	怪物:19F15A80僵尸5	地图:H201	X:91	Y:176 
[2024/8/17 20:1:30] 物品:强效太阳水	怪物:28A22500虹魔猪卫8	地图:H204	X:24	Y:19 
[2024/8/17 20:1:30] 物品:强效太阳水	怪物:28A22500虹魔猪卫8	地图:H204	X:24	Y:19 
[2024/8/17 20:1:30] 物品:强效太阳水	怪物:28A22500虹魔猪卫8	地图:H204	X:24	Y:19 
[2024/8/17 20:1:30] 物品:强效太阳水	怪物:28A22500虹魔猪卫8	地图:H204	X:24	Y:19 
[2024/8/17 20:1:30] 物品:强效太阳水	怪物:28A22500虹魔猪卫8	地图:H204	X:24	Y:19 
[2024/8/17 20:1:30] 物品:强效太阳水	怪物:28A22500虹魔猪卫8	地图:H204	X:24	Y:19 
[2024/8/17 20:1:30] 物品:强效太阳水	怪物:28A22500虹魔猪卫8	地图:H204	X:24	Y:19 
[2024/8/17 20:1:30] 物品:强效太阳水	怪物:28A22500虹魔猪卫8	地图:H204	X:24	Y:19 
[2024/8/17 20:1:30] 物品:强效太阳水	怪物:28A22500虹魔猪卫8	地图:H204	X:24	Y:19 
[2024/8/17 20:1:30] 物品:强效太阳水	怪物:28A22500虹魔猪卫8	地图:H204	X:24	Y:19 
[2024/8/17 20:1:30] 物品:太阳水	怪物:28A22500虹魔猪卫8	地图:H204	X:24	Y:19 
[2024/8/17 20:1:30] 物品:太阳水	怪物:28A22500虹魔猪卫8	地图:H204	X:24	Y:19 
[2024/8/17 20:1:30] 物品:太阳水	怪物:28A22500虹魔猪卫8	地图:H204	X:24	Y:19 
[2024/8/17 20:1:30] 物品:太阳水	怪物:28A22500虹魔猪卫8	地图:H204	X:24	Y:19 
[2024/8/17 20:1:30] 物品:太阳水	怪物:28A22500虹魔猪卫8	地图:H204	X:24	Y:19 
[2024/8/17 20:1:30] 物品:太阳水	怪物:28A22500虹魔猪卫8	地图:H204	X:24	Y:19 
[2024/8/17 20:1:30] 物品:太阳水	怪物:28A22500虹魔猪卫8	地图:H204	X:24	Y:19 
[2024/8/17 20:1:30] 物品:太阳水	怪物:28A22500虹魔猪卫8	地图:H204	X:24	Y:19 
[2024/8/17 20:1:30] 物品:太阳水	怪物:28A22500虹魔猪卫8	地图:H204	X:24	Y:19 
[2024/8/17 20:1:30] 物品:太阳水	怪物:28A22500虹魔猪卫8	地图:H204	X:24	Y:19 
[2024/8/17 20:1:30] 物品:金创药(中量)	怪物:28A22500虹魔猪卫8	地图:H204	X:24	Y:19 
[2024/8/17 20:1:30] 物品:金创药(中量)	怪物:28A22500虹魔猪卫8	地图:H204	X:24	Y:19 
[2024/8/17 20:1:30] 物品:金创药(中量)	怪物:28A22500虹魔猪卫8	地图:H204	X:24	Y:19 
[2024/8/17 20:1:30] 物品:强效金创药	怪物:28A22500虹魔猪卫8	地图:H204	X:24	Y:19 
[2024/8/17 20:1:30] 物品:强效金创药	怪物:28A22500虹魔猪卫8	地图:H204	X:24	Y:19 
[2024/8/17 20:1:30] 物品:强效金创药	怪物:28A22500虹魔猪卫8	地图:H204	X:24	Y:19 
[2024/8/17 20:1:30] 物品:魔法药(中量)	怪物:28A22500虹魔猪卫8	地图:H204	X:24	Y:19 
[2024/8/17 20:1:30] 物品:魔法药(中量)	怪物:28A22500虹魔猪卫8	地图:H204	X:24	Y:19 
[2024/8/17 20:1:30] 物品:魔法药(中量)	怪物:28A22500虹魔猪卫8	地图:H204	X:24	Y:19 
[2024/8/17 20:1:30] 物品:强效魔法药	怪物:28A22500虹魔猪卫8	地图:H204	X:24	Y:19 
[2024/8/17 20:1:30] 物品:强效魔法药	怪物:28A22500虹魔猪卫8	地图:H204	X:24	Y:19 
[2024/8/17 20:1:30] 物品:强效魔法药	怪物:28A22500虹魔猪卫8	地图:H204	X:24	Y:19 
[2024/8/17 20:1:30] 物品:强效金创药	怪物:28A22500虹魔猪卫8	地图:H204	X:24	Y:19 
[2024/8/17 20:1:30] 物品:强效金创药	怪物:28A22500虹魔猪卫8	地图:H204	X:24	Y:19 
[2024/8/17 20:1:30] 物品:强效金创药	怪物:28A22500虹魔猪卫8	地图:H204	X:24	Y:19 
[2024/8/17 20:1:30] 物品:强效金创药	怪物:28A22500虹魔猪卫8	地图:H204	X:24	Y:19 
[2024/8/17 20:1:30] 物品:强效金创药	怪物:28A22500虹魔猪卫8	地图:H204	X:24	Y:19 
[2024/8/17 20:1:30] 物品:强效金创药	怪物:28A22500虹魔猪卫8	地图:H204	X:24	Y:19 
[2024/8/17 20:1:30] 物品:强效魔法药	怪物:28A22500虹魔猪卫8	地图:H204	X:24	Y:19 
[2024/8/17 20:1:30] 物品:强效魔法药	怪物:28A22500虹魔猪卫8	地图:H204	X:24	Y:19 
[2024/8/17 20:1:30] 物品:强效魔法药	怪物:28A22500虹魔猪卫8	地图:H204	X:24	Y:19 
[2024/8/17 20:1:30] 物品:强效魔法药	怪物:28A22500虹魔猪卫8	地图:H204	X:24	Y:19 
[2024/8/17 20:1:30] 物品:强效魔法药	怪物:28A22500虹魔猪卫8	地图:H204	X:24	Y:19 
[2024/8/17 20:1:30] 物品:强效魔法药	怪物:28A22500虹魔猪卫8	地图:H204	X:24	Y:19 
[2024/8/17 20:1:30] 物品:龙之戒指	怪物:28A22500虹魔猪卫8	地图:H204	X:24	Y:19 
[2024/8/17 20:1:30] 物品:白金项链	怪物:28A22500虹魔猪卫8	地图:H204	X:24	Y:19 
[2024/8/17 20:1:31] 物品:太阳水	怪物:2A2A10C0黑野猪8	地图:H002	X:203	Y:92 
[2024/8/17 20:1:34] 物品:太阳水	怪物:05DEF5B0黑色恶蛆8	地图:H004	X:153	Y:121 
[2024/8/17 20:1:41] 物品:金创药(小量)	怪物:29C2DBD0僵尸4	地图:H201	X:55	Y:28 
[2024/8/17 20:1:41] 物品:魔法药(小量)	怪物:29C2DBD0僵尸4	地图:H201	X:55	Y:28 
[2024/8/17 20:1:48] 物品:绿色项链	怪物:1EBB68A0祖玛弓箭手3	地图:D5072	X:58	Y:66 
[2024/8/17 20:1:52] 物品:金创药(小量)	怪物:27EF5040僵尸4	地图:H201	X:84	Y:170 
[2024/8/17 20:1:57] 物品:魔法药(小量)	怪物:18EC1FA0僵尸5	地图:H201	X:55	Y:30 
[2024/8/17 20:1:58] 物品:太阳水	怪物:27ADC510黑野猪8	地图:H002	X:122	Y:334 
[2024/8/17 20:2:0] 物品:太阳水	怪物:0D80B3E0僵尸5	地图:H201	X:83	Y:170 
