[2024/8/20 23:0:52] 物品:金创药(中量)	怪物:23A41B70祖玛弓箭手8	地图:H204	X:76	Y:21 
[2024/8/20 23:1:9] 物品:道士头盔	怪物:23ABBA20牛魔王8	地图:H204	X:79	Y:21 
[2024/8/20 23:1:9] 物品:蓝翡翠项链	怪物:23ABBA20牛魔王8	地图:H204	X:79	Y:21 
[2024/8/20 23:1:9] 物品:放大镜	怪物:23ABBA20牛魔王8	地图:H204	X:79	Y:21 
[2024/8/20 23:1:9] 物品:竹笛	怪物:23ABBA20牛魔王8	地图:H204	X:79	Y:21 
[2024/8/20 23:1:9] 物品:小手镯	怪物:23ABBA20牛魔王8	地图:H204	X:79	Y:21 
[2024/8/20 23:1:9] 物品:魔法手镯	怪物:23ABBA20牛魔王8	地图:H204	X:79	Y:21 
[2024/8/20 23:1:9] 物品:黑檀手镯	怪物:23ABBA20牛魔王8	地图:H204	X:79	Y:21 
[2024/8/20 23:1:9] 物品:道士手镯	怪物:23ABBA20牛魔王8	地图:H204	X:79	Y:21 
[2024/8/20 23:1:9] 物品:死神手套	怪物:23ABBA20牛魔王8	地图:H204	X:79	Y:21 
[2024/8/20 23:1:9] 物品:金手镯	怪物:23ABBA20牛魔王8	地图:H204	X:79	Y:21 
[2024/8/20 23:1:9] 物品:黑色水晶戒指	怪物:23ABBA20牛魔王8	地图:H204	X:79	Y:21 
[2024/8/20 23:1:9] 物品:蛇眼戒指	怪物:23ABBA20牛魔王8	地图:H204	X:79	Y:21 
[2024/8/20 23:1:9] 物品:珍珠戒指	怪物:23ABBA20牛魔王8	地图:H204	X:79	Y:21 
[2024/8/20 23:1:9] 物品:金戒指	怪物:23ABBA20牛魔王8	地图:H204	X:79	Y:21 
[2024/8/20 23:1:9] 物品:骷髅戒指	怪物:23ABBA20牛魔王8	地图:H204	X:79	Y:21 
[2024/8/20 23:1:9] 物品:魅力戒指	怪物:23ABBA20牛魔王8	地图:H204	X:79	Y:21 
[2024/8/20 23:1:9] 物品:道德戒指	怪物:23ABBA20牛魔王8	地图:H204	X:79	Y:21 
[2024/8/20 23:1:9] 物品:降妖除魔戒指	怪物:23ABBA20牛魔王8	地图:H204	X:79	Y:21 
[2024/8/20 23:1:11] 物品:强效太阳水	怪物:23854B60沃玛卫士8	地图:H204	X:81	Y:22 
[2024/8/20 23:1:11] 物品:强效太阳水	怪物:23854B60沃玛卫士8	地图:H204	X:81	Y:22 
[2024/8/20 23:1:11] 物品:强效太阳水	怪物:23854B60沃玛卫士8	地图:H204	X:81	Y:22 
[2024/8/20 23:1:11] 物品:强效太阳水	怪物:23854B60沃玛卫士8	地图:H204	X:81	Y:22 
[2024/8/20 23:1:11] 物品:强效太阳水	怪物:23854B60沃玛卫士8	地图:H204	X:81	Y:22 
[2024/8/20 23:1:11] 物品:太阳水	怪物:23854B60沃玛卫士8	地图:H204	X:81	Y:22 
[2024/8/20 23:1:11] 物品:太阳水	怪物:23854B60沃玛卫士8	地图:H204	X:81	Y:22 
[2024/8/20 23:1:11] 物品:太阳水	怪物:23854B60沃玛卫士8	地图:H204	X:81	Y:22 
[2024/8/20 23:1:11] 物品:太阳水	怪物:23854B60沃玛卫士8	地图:H204	X:81	Y:22 
[2024/8/20 23:1:12] 物品:太阳水	怪物:23854B60沃玛卫士8	地图:H204	X:81	Y:22 
[2024/8/20 23:1:12] 物品:太阳水	怪物:23854B60沃玛卫士8	地图:H204	X:81	Y:22 
[2024/8/20 23:1:12] 物品:太阳水	怪物:23854B60沃玛卫士8	地图:H204	X:81	Y:22 
[2024/8/20 23:1:12] 物品:太阳水	怪物:23854B60沃玛卫士8	地图:H204	X:81	Y:22 
[2024/8/20 23:1:12] 物品:太阳水	怪物:23854B60沃玛卫士8	地图:H204	X:81	Y:22 
[2024/8/20 23:1:12] 物品:太阳水	怪物:23854B60沃玛卫士8	地图:H204	X:81	Y:22 
[2024/8/20 23:1:12] 物品:金创药(中量)	怪物:23854B60沃玛卫士8	地图:H204	X:81	Y:22 
[2024/8/20 23:1:12] 物品:金创药(中量)	怪物:23854B60沃玛卫士8	地图:H204	X:81	Y:22 
[2024/8/20 23:1:12] 物品:强效金创药	怪物:23854B60沃玛卫士8	地图:H204	X:81	Y:22 
[2024/8/20 23:1:12] 物品:强效金创药	怪物:23854B60沃玛卫士8	地图:H204	X:81	Y:22 
[2024/8/20 23:1:12] 物品:强效金创药	怪物:23854B60沃玛卫士8	地图:H204	X:81	Y:22 
[2024/8/20 23:1:12] 物品:魔法药(中量)	怪物:23854B60沃玛卫士8	地图:H204	X:81	Y:22 
[2024/8/20 23:1:12] 物品:魔法药(中量)	怪物:23854B60沃玛卫士8	地图:H204	X:81	Y:22 
[2024/8/20 23:1:12] 物品:强效魔法药	怪物:23854B60沃玛卫士8	地图:H204	X:81	Y:22 
[2024/8/20 23:1:12] 物品:强效魔法药	怪物:23854B60沃玛卫士8	地图:H204	X:81	Y:22 
[2024/8/20 23:1:12] 物品:强效魔法药	怪物:23854B60沃玛卫士8	地图:H204	X:81	Y:22 
[2024/8/20 23:1:12] 物品:群体治疗术	怪物:23854B60沃玛卫士8	地图:H204	X:81	Y:22 
[2024/8/20 23:1:20] 物品:道德戒指	怪物:238655A0祖玛弓箭手8	地图:H204	X:82	Y:24 
[2024/8/20 23:1:24] 物品:太阳水	怪物:24A06AC0黑色恶蛆8	地图:H006	X:75	Y:32 
[2024/8/20 23:1:30] 物品:偃月	怪物:23A3EF10祖玛雕像8	地图:H204	X:71	Y:28 
[2024/8/20 23:1:36] 物品:珍珠戒指	怪物:23A56A50祖玛卫士8	地图:H204	X:72	Y:30 
[2024/8/20 23:1:40] 物品:强效太阳水	怪物:23A8AD70白野猪8	地图:H204	X:73	Y:30 
[2024/8/20 23:1:40] 物品:强效太阳水	怪物:23A8AD70白野猪8	地图:H204	X:73	Y:30 
[2024/8/20 23:1:40] 物品:强效太阳水	怪物:23A8AD70白野猪8	地图:H204	X:73	Y:30 
[2024/8/20 23:1:40] 物品:强效太阳水	怪物:23A8AD70白野猪8	地图:H204	X:73	Y:30 
[2024/8/20 23:1:40] 物品:强效太阳水	怪物:23A8AD70白野猪8	地图:H204	X:73	Y:30 
[2024/8/20 23:1:40] 物品:强效太阳水	怪物:23A8AD70白野猪8	地图:H204	X:73	Y:30 
[2024/8/20 23:1:40] 物品:强效太阳水	怪物:23A8AD70白野猪8	地图:H204	X:73	Y:30 
[2024/8/20 23:1:40] 物品:强效太阳水	怪物:23A8AD70白野猪8	地图:H204	X:73	Y:30 
[2024/8/20 23:1:40] 物品:强效太阳水	怪物:23A8AD70白野猪8	地图:H204	X:73	Y:30 
[2024/8/20 23:1:40] 物品:强效太阳水	怪物:23A8AD70白野猪8	地图:H204	X:73	Y:30 
[2024/8/20 23:1:40] 物品:太阳水	怪物:23A8AD70白野猪8	地图:H204	X:73	Y:30 
[2024/8/20 23:1:40] 物品:太阳水	怪物:23A8AD70白野猪8	地图:H204	X:73	Y:30 
[2024/8/20 23:1:40] 物品:太阳水	怪物:23A8AD70白野猪8	地图:H204	X:73	Y:30 
[2024/8/20 23:1:40] 物品:太阳水	怪物:23A8AD70白野猪8	地图:H204	X:73	Y:30 
[2024/8/20 23:1:40] 物品:太阳水	怪物:23A8AD70白野猪8	地图:H204	X:73	Y:30 
[2024/8/20 23:1:40] 物品:太阳水	怪物:23A8AD70白野猪8	地图:H204	X:73	Y:30 
[2024/8/20 23:1:40] 物品:太阳水	怪物:23A8AD70白野猪8	地图:H204	X:73	Y:30 
[2024/8/20 23:1:40] 物品:太阳水	怪物:23A8AD70白野猪8	地图:H204	X:73	Y:30 
[2024/8/20 23:1:40] 物品:太阳水	怪物:23A8AD70白野猪8	地图:H204	X:73	Y:30 
[2024/8/20 23:1:40] 物品:太阳水	怪物:23A8AD70白野猪8	地图:H204	X:73	Y:30 
[2024/8/20 23:1:40] 物品:金创药(中量)	怪物:23A8AD70白野猪8	地图:H204	X:73	Y:30 
[2024/8/20 23:1:40] 物品:金创药(中量)	怪物:23A8AD70白野猪8	地图:H204	X:73	Y:30 
[2024/8/20 23:1:40] 物品:金创药(中量)	怪物:23A8AD70白野猪8	地图:H204	X:73	Y:30 
[2024/8/20 23:1:40] 物品:强效金创药	怪物:23A8AD70白野猪8	地图:H204	X:73	Y:30 
[2024/8/20 23:1:40] 物品:强效金创药	怪物:23A8AD70白野猪8	地图:H204	X:73	Y:30 
[2024/8/20 23:1:40] 物品:强效金创药	怪物:23A8AD70白野猪8	地图:H204	X:73	Y:30 
[2024/8/20 23:1:40] 物品:魔法药(中量)	怪物:23A8AD70白野猪8	地图:H204	X:73	Y:30 
[2024/8/20 23:1:40] 物品:魔法药(中量)	怪物:23A8AD70白野猪8	地图:H204	X:73	Y:30 
[2024/8/20 23:1:40] 物品:魔法药(中量)	怪物:23A8AD70白野猪8	地图:H204	X:73	Y:30 
[2024/8/20 23:1:40] 物品:强效魔法药	怪物:23A8AD70白野猪8	地图:H204	X:73	Y:30 
[2024/8/20 23:1:40] 物品:强效魔法药	怪物:23A8AD70白野猪8	地图:H204	X:73	Y:30 
[2024/8/20 23:1:40] 物品:强效魔法药	怪物:23A8AD70白野猪8	地图:H204	X:73	Y:30 
[2024/8/20 23:1:40] 物品:强效金创药	怪物:23A8AD70白野猪8	地图:H204	X:73	Y:30 
[2024/8/20 23:1:40] 物品:强效金创药	怪物:23A8AD70白野猪8	地图:H204	X:73	Y:30 
[2024/8/20 23:1:40] 物品:强效金创药	怪物:23A8AD70白野猪8	地图:H204	X:73	Y:30 
[2024/8/20 23:1:40] 物品:强效金创药	怪物:23A8AD70白野猪8	地图:H204	X:73	Y:30 
[2024/8/20 23:1:40] 物品:强效金创药	怪物:23A8AD70白野猪8	地图:H204	X:73	Y:30 
[2024/8/20 23:1:40] 物品:强效金创药	怪物:23A8AD70白野猪8	地图:H204	X:73	Y:30 
[2024/8/20 23:1:40] 物品:强效魔法药	怪物:23A8AD70白野猪8	地图:H204	X:73	Y:30 
[2024/8/20 23:1:40] 物品:强效魔法药	怪物:23A8AD70白野猪8	地图:H204	X:73	Y:30 
[2024/8/20 23:1:40] 物品:强效魔法药	怪物:23A8AD70白野猪8	地图:H204	X:73	Y:30 
[2024/8/20 23:1:40] 物品:强效魔法药	怪物:23A8AD70白野猪8	地图:H204	X:73	Y:30 
[2024/8/20 23:1:40] 物品:强效魔法药	怪物:23A8AD70白野猪8	地图:H204	X:73	Y:30 
[2024/8/20 23:1:40] 物品:强效魔法药	怪物:23A8AD70白野猪8	地图:H204	X:73	Y:30 
[2024/8/20 23:1:40] 物品:竹笛	怪物:23A8AD70白野猪8	地图:H204	X:73	Y:30 
[2024/8/20 23:1:45] 物品:强效太阳水	怪物:23A8D9D0沃玛卫士8	地图:H204	X:71	Y:29 
[2024/8/20 23:1:45] 物品:强效太阳水	怪物:23A8D9D0沃玛卫士8	地图:H204	X:71	Y:29 
[2024/8/20 23:1:45] 物品:强效太阳水	怪物:23A8D9D0沃玛卫士8	地图:H204	X:71	Y:29 
[2024/8/20 23:1:45] 物品:强效太阳水	怪物:23A8D9D0沃玛卫士8	地图:H204	X:71	Y:29 
[2024/8/20 23:1:45] 物品:强效太阳水	怪物:23A8D9D0沃玛卫士8	地图:H204	X:71	Y:29 
[2024/8/20 23:1:45] 物品:太阳水	怪物:23A8D9D0沃玛卫士8	地图:H204	X:71	Y:29 
[2024/8/20 23:1:45] 物品:太阳水	怪物:23A8D9D0沃玛卫士8	地图:H204	X:71	Y:29 
[2024/8/20 23:1:45] 物品:太阳水	怪物:23A8D9D0沃玛卫士8	地图:H204	X:71	Y:29 
[2024/8/20 23:1:45] 物品:太阳水	怪物:23A8D9D0沃玛卫士8	地图:H204	X:71	Y:29 
[2024/8/20 23:1:45] 物品:太阳水	怪物:23A8D9D0沃玛卫士8	地图:H204	X:71	Y:29 
[2024/8/20 23:1:45] 物品:太阳水	怪物:23A8D9D0沃玛卫士8	地图:H204	X:71	Y:29 
[2024/8/20 23:1:45] 物品:太阳水	怪物:23A8D9D0沃玛卫士8	地图:H204	X:71	Y:29 
[2024/8/20 23:1:45] 物品:太阳水	怪物:23A8D9D0沃玛卫士8	地图:H204	X:71	Y:29 
[2024/8/20 23:1:45] 物品:太阳水	怪物:23A8D9D0沃玛卫士8	地图:H204	X:71	Y:29 
[2024/8/20 23:1:45] 物品:太阳水	怪物:23A8D9D0沃玛卫士8	地图:H204	X:71	Y:29 
[2024/8/20 23:1:45] 物品:金创药(中量)	怪物:23A8D9D0沃玛卫士8	地图:H204	X:71	Y:29 
[2024/8/20 23:1:45] 物品:金创药(中量)	怪物:23A8D9D0沃玛卫士8	地图:H204	X:71	Y:29 
[2024/8/20 23:1:45] 物品:强效金创药	怪物:23A8D9D0沃玛卫士8	地图:H204	X:71	Y:29 
[2024/8/20 23:1:45] 物品:强效金创药	怪物:23A8D9D0沃玛卫士8	地图:H204	X:71	Y:29 
[2024/8/20 23:1:45] 物品:强效金创药	怪物:23A8D9D0沃玛卫士8	地图:H204	X:71	Y:29 
[2024/8/20 23:1:45] 物品:魔法药(中量)	怪物:23A8D9D0沃玛卫士8	地图:H204	X:71	Y:29 
[2024/8/20 23:1:45] 物品:魔法药(中量)	怪物:23A8D9D0沃玛卫士8	地图:H204	X:71	Y:29 
[2024/8/20 23:1:45] 物品:强效魔法药	怪物:23A8D9D0沃玛卫士8	地图:H204	X:71	Y:29 
[2024/8/20 23:1:45] 物品:强效魔法药	怪物:23A8D9D0沃玛卫士8	地图:H204	X:71	Y:29 
[2024/8/20 23:1:45] 物品:强效魔法药	怪物:23A8D9D0沃玛卫士8	地图:H204	X:71	Y:29 
[2024/8/20 23:1:45] 物品:小手镯	怪物:23A8D9D0沃玛卫士8	地图:H204	X:71	Y:29 
[2024/8/20 23:1:45] 物品:蛇眼戒指	怪物:23A8D9D0沃玛卫士8	地图:H204	X:71	Y:29 
[2024/8/20 23:1:45] 物品:野蛮冲撞	怪物:23A8D9D0沃玛卫士8	地图:H204	X:71	Y:29 
[2024/8/20 23:1:48] 物品:强效太阳水	怪物:23856190沃玛卫士8	地图:H204	X:71	Y:28 
[2024/8/20 23:1:48] 物品:强效太阳水	怪物:23856190沃玛卫士8	地图:H204	X:71	Y:28 
[2024/8/20 23:1:48] 物品:强效太阳水	怪物:23856190沃玛卫士8	地图:H204	X:71	Y:28 
[2024/8/20 23:1:48] 物品:强效太阳水	怪物:23856190沃玛卫士8	地图:H204	X:71	Y:28 
[2024/8/20 23:1:48] 物品:强效太阳水	怪物:23856190沃玛卫士8	地图:H204	X:71	Y:28 
[2024/8/20 23:1:48] 物品:太阳水	怪物:23856190沃玛卫士8	地图:H204	X:71	Y:28 
[2024/8/20 23:1:48] 物品:太阳水	怪物:23856190沃玛卫士8	地图:H204	X:71	Y:28 
[2024/8/20 23:1:48] 物品:太阳水	怪物:23856190沃玛卫士8	地图:H204	X:71	Y:28 
[2024/8/20 23:1:48] 物品:太阳水	怪物:23856190沃玛卫士8	地图:H204	X:71	Y:28 
[2024/8/20 23:1:48] 物品:太阳水	怪物:23856190沃玛卫士8	地图:H204	X:71	Y:28 
[2024/8/20 23:1:48] 物品:太阳水	怪物:23856190沃玛卫士8	地图:H204	X:71	Y:28 
[2024/8/20 23:1:48] 物品:太阳水	怪物:23856190沃玛卫士8	地图:H204	X:71	Y:28 
[2024/8/20 23:1:48] 物品:太阳水	怪物:23856190沃玛卫士8	地图:H204	X:71	Y:28 
[2024/8/20 23:1:48] 物品:太阳水	怪物:23856190沃玛卫士8	地图:H204	X:71	Y:28 
[2024/8/20 23:1:48] 物品:太阳水	怪物:23856190沃玛卫士8	地图:H204	X:71	Y:28 
[2024/8/20 23:1:48] 物品:金创药(中量)	怪物:23856190沃玛卫士8	地图:H204	X:71	Y:28 
[2024/8/20 23:1:48] 物品:金创药(中量)	怪物:23856190沃玛卫士8	地图:H204	X:71	Y:28 
[2024/8/20 23:1:48] 物品:强效金创药	怪物:23856190沃玛卫士8	地图:H204	X:71	Y:28 
[2024/8/20 23:1:48] 物品:强效金创药	怪物:23856190沃玛卫士8	地图:H204	X:71	Y:28 
[2024/8/20 23:1:48] 物品:强效金创药	怪物:23856190沃玛卫士8	地图:H204	X:71	Y:28 
[2024/8/20 23:1:48] 物品:魔法药(中量)	怪物:23856190沃玛卫士8	地图:H204	X:71	Y:28 
[2024/8/20 23:1:48] 物品:魔法药(中量)	怪物:23856190沃玛卫士8	地图:H204	X:71	Y:28 
[2024/8/20 23:1:48] 物品:强效魔法药	怪物:23856190沃玛卫士8	地图:H204	X:71	Y:28 
[2024/8/20 23:1:48] 物品:强效魔法药	怪物:23856190沃玛卫士8	地图:H204	X:71	Y:28 
[2024/8/20 23:1:48] 物品:强效魔法药	怪物:23856190沃玛卫士8	地图:H204	X:71	Y:28 
[2024/8/20 23:1:48] 物品:神圣战甲术	怪物:23856190沃玛卫士8	地图:H204	X:71	Y:28 
[2024/8/20 23:1:48] 物品:灵魂火符	怪物:23856190沃玛卫士8	地图:H204	X:71	Y:28 
[2024/8/20 23:2:4] 物品:金创药(中量)	怪物:23A431A0祖玛弓箭手8	地图:H204	X:64	Y:33 
[2024/8/20 23:2:4] 物品:黑色水晶戒指	怪物:23A431A0祖玛弓箭手8	地图:H204	X:64	Y:33 
[2024/8/20 23:2:6] 物品:强效太阳水	怪物:23A7A330白野猪8	地图:H204	X:65	Y:33 
[2024/8/20 23:2:6] 物品:强效太阳水	怪物:23A7A330白野猪8	地图:H204	X:65	Y:33 
[2024/8/20 23:2:6] 物品:强效太阳水	怪物:23A7A330白野猪8	地图:H204	X:65	Y:33 
[2024/8/20 23:2:6] 物品:强效太阳水	怪物:23A7A330白野猪8	地图:H204	X:65	Y:33 
[2024/8/20 23:2:6] 物品:强效太阳水	怪物:23A7A330白野猪8	地图:H204	X:65	Y:33 
[2024/8/20 23:2:6] 物品:强效太阳水	怪物:23A7A330白野猪8	地图:H204	X:65	Y:33 
[2024/8/20 23:2:6] 物品:强效太阳水	怪物:23A7A330白野猪8	地图:H204	X:65	Y:33 
[2024/8/20 23:2:6] 物品:强效太阳水	怪物:23A7A330白野猪8	地图:H204	X:65	Y:33 
[2024/8/20 23:2:6] 物品:强效太阳水	怪物:23A7A330白野猪8	地图:H204	X:65	Y:33 
[2024/8/20 23:2:6] 物品:强效太阳水	怪物:23A7A330白野猪8	地图:H204	X:65	Y:33 
[2024/8/20 23:2:6] 物品:太阳水	怪物:23A7A330白野猪8	地图:H204	X:65	Y:33 
[2024/8/20 23:2:6] 物品:太阳水	怪物:23A7A330白野猪8	地图:H204	X:65	Y:33 
[2024/8/20 23:2:6] 物品:太阳水	怪物:23A7A330白野猪8	地图:H204	X:65	Y:33 
[2024/8/20 23:2:6] 物品:太阳水	怪物:23A7A330白野猪8	地图:H204	X:65	Y:33 
[2024/8/20 23:2:6] 物品:太阳水	怪物:23A7A330白野猪8	地图:H204	X:65	Y:33 
[2024/8/20 23:2:6] 物品:太阳水	怪物:23A7A330白野猪8	地图:H204	X:65	Y:33 
[2024/8/20 23:2:6] 物品:太阳水	怪物:23A7A330白野猪8	地图:H204	X:65	Y:33 
[2024/8/20 23:2:6] 物品:太阳水	怪物:23A7A330白野猪8	地图:H204	X:65	Y:33 
[2024/8/20 23:2:6] 物品:太阳水	怪物:23A7A330白野猪8	地图:H204	X:65	Y:33 
[2024/8/20 23:2:6] 物品:太阳水	怪物:23A7A330白野猪8	地图:H204	X:65	Y:33 
[2024/8/20 23:2:6] 物品:金创药(中量)	怪物:23A7A330白野猪8	地图:H204	X:65	Y:33 
[2024/8/20 23:2:6] 物品:金创药(中量)	怪物:23A7A330白野猪8	地图:H204	X:65	Y:33 
[2024/8/20 23:2:6] 物品:金创药(中量)	怪物:23A7A330白野猪8	地图:H204	X:65	Y:33 
[2024/8/20 23:2:6] 物品:强效金创药	怪物:23A7A330白野猪8	地图:H204	X:65	Y:33 
[2024/8/20 23:2:6] 物品:强效金创药	怪物:23A7A330白野猪8	地图:H204	X:65	Y:33 
[2024/8/20 23:2:6] 物品:强效金创药	怪物:23A7A330白野猪8	地图:H204	X:65	Y:33 
[2024/8/20 23:2:6] 物品:魔法药(中量)	怪物:23A7A330白野猪8	地图:H204	X:65	Y:33 
[2024/8/20 23:2:6] 物品:魔法药(中量)	怪物:23A7A330白野猪8	地图:H204	X:65	Y:33 
[2024/8/20 23:2:6] 物品:魔法药(中量)	怪物:23A7A330白野猪8	地图:H204	X:65	Y:33 
[2024/8/20 23:2:6] 物品:强效魔法药	怪物:23A7A330白野猪8	地图:H204	X:65	Y:33 
[2024/8/20 23:2:6] 物品:强效魔法药	怪物:23A7A330白野猪8	地图:H204	X:65	Y:33 
[2024/8/20 23:2:6] 物品:强效魔法药	怪物:23A7A330白野猪8	地图:H204	X:65	Y:33 
[2024/8/20 23:2:6] 物品:强效金创药	怪物:23A7A330白野猪8	地图:H204	X:65	Y:33 
[2024/8/20 23:2:6] 物品:强效金创药	怪物:23A7A330白野猪8	地图:H204	X:65	Y:33 
[2024/8/20 23:2:6] 物品:强效金创药	怪物:23A7A330白野猪8	地图:H204	X:65	Y:33 
[2024/8/20 23:2:6] 物品:强效金创药	怪物:23A7A330白野猪8	地图:H204	X:65	Y:33 
[2024/8/20 23:2:6] 物品:强效金创药	怪物:23A7A330白野猪8	地图:H204	X:65	Y:33 
[2024/8/20 23:2:6] 物品:强效金创药	怪物:23A7A330白野猪8	地图:H204	X:65	Y:33 
[2024/8/20 23:2:6] 物品:强效魔法药	怪物:23A7A330白野猪8	地图:H204	X:65	Y:33 
[2024/8/20 23:2:6] 物品:强效魔法药	怪物:23A7A330白野猪8	地图:H204	X:65	Y:33 
[2024/8/20 23:2:6] 物品:强效魔法药	怪物:23A7A330白野猪8	地图:H204	X:65	Y:33 
[2024/8/20 23:2:6] 物品:强效魔法药	怪物:23A7A330白野猪8	地图:H204	X:65	Y:33 
[2024/8/20 23:2:6] 物品:强效魔法药	怪物:23A7A330白野猪8	地图:H204	X:65	Y:33 
[2024/8/20 23:2:6] 物品:强效魔法药	怪物:23A7A330白野猪8	地图:H204	X:65	Y:33 
[2024/8/20 23:2:6] 物品:夏普儿手镯	怪物:23A7A330白野猪8	地图:H204	X:65	Y:33 
[2024/8/20 23:2:7] 物品:强效太阳水	怪物:24A84AD0石墓尸王8	地图:H006	X:80	Y:28 
[2024/8/20 23:2:7] 物品:强效太阳水	怪物:24A84AD0石墓尸王8	地图:H006	X:80	Y:28 
[2024/8/20 23:2:7] 物品:强效太阳水	怪物:24A84AD0石墓尸王8	地图:H006	X:80	Y:28 
[2024/8/20 23:2:7] 物品:强效太阳水	怪物:24A84AD0石墓尸王8	地图:H006	X:80	Y:28 
[2024/8/20 23:2:7] 物品:强效太阳水	怪物:24A84AD0石墓尸王8	地图:H006	X:80	Y:28 
[2024/8/20 23:2:7] 物品:强效太阳水	怪物:24A84AD0石墓尸王8	地图:H006	X:80	Y:28 
[2024/8/20 23:2:7] 物品:强效太阳水	怪物:24A84AD0石墓尸王8	地图:H006	X:80	Y:28 
[2024/8/20 23:2:7] 物品:强效太阳水	怪物:24A84AD0石墓尸王8	地图:H006	X:80	Y:28 
[2024/8/20 23:2:7] 物品:强效太阳水	怪物:24A84AD0石墓尸王8	地图:H006	X:80	Y:28 
[2024/8/20 23:2:7] 物品:强效太阳水	怪物:24A84AD0石墓尸王8	地图:H006	X:80	Y:28 
[2024/8/20 23:2:7] 物品:太阳水	怪物:24A84AD0石墓尸王8	地图:H006	X:80	Y:28 
[2024/8/20 23:2:7] 物品:太阳水	怪物:24A84AD0石墓尸王8	地图:H006	X:80	Y:28 
[2024/8/20 23:2:7] 物品:太阳水	怪物:24A84AD0石墓尸王8	地图:H006	X:80	Y:28 
[2024/8/20 23:2:7] 物品:太阳水	怪物:24A84AD0石墓尸王8	地图:H006	X:80	Y:28 
[2024/8/20 23:2:7] 物品:太阳水	怪物:24A84AD0石墓尸王8	地图:H006	X:80	Y:28 
