[2024/8/18 20:0:1] 物品:紫碧螺	怪物:29028200祖玛弓箭手83	地图:H007	X:140	Y:152 
[2024/8/18 20:0:30] 物品:疗伤药	怪物:27475D90虹魔教主8	地图:H204	X:43	Y:17 
[2024/8/18 20:0:30] 物品:太阳水	怪物:27475D90虹魔教主8	地图:H204	X:43	Y:17 
[2024/8/18 20:0:30] 物品:太阳水	怪物:27475D90虹魔教主8	地图:H204	X:43	Y:17 
[2024/8/18 20:0:30] 物品:太阳水	怪物:27475D90虹魔教主8	地图:H204	X:43	Y:17 
[2024/8/18 20:0:30] 物品:太阳水	怪物:27475D90虹魔教主8	地图:H204	X:43	Y:17 
[2024/8/18 20:0:30] 物品:太阳水	怪物:27475D90虹魔教主8	地图:H204	X:43	Y:17 
[2024/8/18 20:0:30] 物品:太阳水	怪物:27475D90虹魔教主8	地图:H204	X:43	Y:17 
[2024/8/18 20:0:30] 物品:太阳水	怪物:27475D90虹魔教主8	地图:H204	X:43	Y:17 
[2024/8/18 20:0:30] 物品:太阳水	怪物:27475D90虹魔教主8	地图:H204	X:43	Y:17 
[2024/8/18 20:0:30] 物品:太阳水	怪物:27475D90虹魔教主8	地图:H204	X:43	Y:17 
[2024/8/18 20:0:30] 物品:太阳水	怪物:27475D90虹魔教主8	地图:H204	X:43	Y:17 
[2024/8/18 20:0:30] 物品:太阳水	怪物:27475D90虹魔教主8	地图:H204	X:43	Y:17 
[2024/8/18 20:0:30] 物品:太阳水	怪物:27475D90虹魔教主8	地图:H204	X:43	Y:17 
[2024/8/18 20:0:30] 物品:太阳水	怪物:27475D90虹魔教主8	地图:H204	X:43	Y:17 
[2024/8/18 20:0:30] 物品:太阳水	怪物:27475D90虹魔教主8	地图:H204	X:43	Y:17 
[2024/8/18 20:0:30] 物品:金创药(中量)	怪物:27475D90虹魔教主8	地图:H204	X:43	Y:17 
[2024/8/18 20:0:30] 物品:金创药(中量)	怪物:27475D90虹魔教主8	地图:H204	X:43	Y:17 
[2024/8/18 20:0:30] 物品:强效金创药	怪物:27475D90虹魔教主8	地图:H204	X:43	Y:17 
[2024/8/18 20:0:30] 物品:强效金创药	怪物:27475D90虹魔教主8	地图:H204	X:43	Y:17 
[2024/8/18 20:0:30] 物品:强效金创药	怪物:27475D90虹魔教主8	地图:H204	X:43	Y:17 
[2024/8/18 20:0:30] 物品:魔法药(中量)	怪物:27475D90虹魔教主8	地图:H204	X:43	Y:17 
[2024/8/18 20:0:30] 物品:魔法药(中量)	怪物:27475D90虹魔教主8	地图:H204	X:43	Y:17 
[2024/8/18 20:0:30] 物品:强效魔法药	怪物:27475D90虹魔教主8	地图:H204	X:43	Y:17 
[2024/8/18 20:0:30] 物品:强效魔法药	怪物:27475D90虹魔教主8	地图:H204	X:43	Y:17 
[2024/8/18 20:0:30] 物品:强效魔法药	怪物:27475D90虹魔教主8	地图:H204	X:43	Y:17 
[2024/8/18 20:0:30] 物品:强效金创药	怪物:27475D90虹魔教主8	地图:H204	X:43	Y:17 
[2024/8/18 20:0:30] 物品:强效金创药	怪物:27475D90虹魔教主8	地图:H204	X:43	Y:17 
[2024/8/18 20:0:30] 物品:强效金创药	怪物:27475D90虹魔教主8	地图:H204	X:43	Y:17 
[2024/8/18 20:0:30] 物品:强效金创药	怪物:27475D90虹魔教主8	地图:H204	X:43	Y:17 
[2024/8/18 20:0:30] 物品:强效金创药	怪物:27475D90虹魔教主8	地图:H204	X:43	Y:17 
[2024/8/18 20:0:30] 物品:强效魔法药	怪物:27475D90虹魔教主8	地图:H204	X:43	Y:17 
[2024/8/18 20:0:30] 物品:强效魔法药	怪物:27475D90虹魔教主8	地图:H204	X:43	Y:17 
[2024/8/18 20:0:30] 物品:强效魔法药	怪物:27475D90虹魔教主8	地图:H204	X:43	Y:17 
[2024/8/18 20:0:30] 物品:强效魔法药	怪物:27475D90虹魔教主8	地图:H204	X:43	Y:17 
[2024/8/18 20:0:30] 物品:强效魔法药	怪物:27475D90虹魔教主8	地图:H204	X:43	Y:17 
[2024/8/18 20:0:30] 物品:生命项链	怪物:27475D90虹魔教主8	地图:H204	X:43	Y:17 
[2024/8/18 20:0:30] 物品:战神盔甲(女)	怪物:27475D90虹魔教主8	地图:H204	X:43	Y:17 
[2024/8/18 20:0:30] 物品:幽灵战衣(男)	怪物:27475D90虹魔教主8	地图:H204	X:43	Y:17 
[2024/8/18 20:0:30] 物品:灵魂战衣(女)	怪物:27475D90虹魔教主8	地图:H204	X:43	Y:17 
[2024/8/18 20:0:30] 物品:偃月	怪物:27475D90虹魔教主8	地图:H204	X:43	Y:17 
[2024/8/18 20:0:30] 物品:破魂	怪物:27475D90虹魔教主8	地图:H204	X:43	Y:17 
[2024/8/18 20:0:30] 物品:降魔	怪物:27475D90虹魔教主8	地图:H204	X:43	Y:17 
[2024/8/18 20:0:30] 物品:斩马刀	怪物:27475D90虹魔教主8	地图:H204	X:43	Y:17 
[2024/8/18 20:0:30] 物品:修罗	怪物:27475D90虹魔教主8	地图:H204	X:43	Y:17 
[2024/8/18 20:0:30] 物品:骷髅头盔	怪物:27475D90虹魔教主8	地图:H204	X:43	Y:17 
[2024/8/18 20:0:30] 物品:道士头盔	怪物:27475D90虹魔教主8	地图:H204	X:43	Y:17 
[2024/8/18 20:0:30] 物品:蓝翡翠项链	怪物:27475D90虹魔教主8	地图:H204	X:43	Y:17 
[2024/8/18 20:0:30] 物品:放大镜	怪物:27475D90虹魔教主8	地图:H204	X:43	Y:17 
[2024/8/18 20:0:30] 物品:竹笛	怪物:27475D90虹魔教主8	地图:H204	X:43	Y:17 
[2024/8/18 20:0:30] 物品:小手镯	怪物:27475D90虹魔教主8	地图:H204	X:43	Y:17 
[2024/8/18 20:0:30] 物品:魔法手镯	怪物:27475D90虹魔教主8	地图:H204	X:43	Y:17 
[2024/8/18 20:0:30] 物品:黑檀手镯	怪物:27475D90虹魔教主8	地图:H204	X:43	Y:17 
[2024/8/18 20:0:30] 物品:道士手镯	怪物:27475D90虹魔教主8	地图:H204	X:43	Y:17 
[2024/8/18 20:0:30] 物品:死神手套	怪物:27475D90虹魔教主8	地图:H204	X:43	Y:17 
[2024/8/18 20:0:30] 物品:金手镯	怪物:27475D90虹魔教主8	地图:H204	X:43	Y:17 
[2024/8/18 20:0:30] 物品:黑色水晶戒指	怪物:27475D90虹魔教主8	地图:H204	X:43	Y:17 
[2024/8/18 20:0:30] 物品:蛇眼戒指	怪物:27475D90虹魔教主8	地图:H204	X:43	Y:17 
[2024/8/18 20:0:30] 物品:珍珠戒指	怪物:27475D90虹魔教主8	地图:H204	X:43	Y:17 
[2024/8/18 20:0:30] 物品:金戒指	怪物:27475D90虹魔教主8	地图:H204	X:43	Y:17 
[2024/8/18 20:0:30] 物品:骷髅戒指	怪物:27475D90虹魔教主8	地图:H204	X:43	Y:17 
[2024/8/18 20:0:30] 物品:魅力戒指	怪物:27475D90虹魔教主8	地图:H204	X:43	Y:17 
[2024/8/18 20:0:30] 物品:道德戒指	怪物:27475D90虹魔教主8	地图:H204	X:43	Y:17 
[2024/8/18 20:0:33] 物品:白色虎齿项链	怪物:30C4EE30祖玛卫士8	地图:H204	X:42	Y:16 
[2024/8/18 20:0:33] 物品:蓝色水晶戒指	怪物:30C4EE30祖玛卫士8	地图:H204	X:42	Y:16 
[2024/8/18 20:0:34] 物品:强效金创药	怪物:1E0BAC10魔龙破甲兵	地图:66	X:101	Y:115 
[2024/8/18 20:0:35] 物品:施毒术	怪物:20621890僵尸40	地图:H201	X:27	Y:160 
[2024/8/18 20:0:35] 物品:攻杀剑术	怪物:20621890僵尸40	地图:H201	X:27	Y:160 
[2024/8/18 20:0:35] 物品:隐身术	怪物:20621890僵尸40	地图:H201	X:27	Y:160 
[2024/8/18 20:0:35] 物品:雷电术	怪物:20621890僵尸40	地图:H201	X:27	Y:160 
[2024/8/18 20:0:35] 物品:抗拒火环	怪物:20621890僵尸40	地图:H201	X:27	Y:160 
[2024/8/18 20:0:35] 物品:精神力战法	怪物:20621890僵尸40	地图:H201	X:27	Y:160 
[2024/8/18 20:0:35] 物品:火球术	怪物:20621890僵尸40	地图:H201	X:27	Y:160 
[2024/8/18 20:0:35] 物品:治愈术	怪物:20621890僵尸40	地图:H201	X:27	Y:160 
[2024/8/18 20:0:35] 物品:基本剑术	怪物:20621890僵尸40	地图:H201	X:27	Y:160 
[2024/8/18 20:0:35] 物品:青铜斧	怪物:20621890僵尸40	地图:H201	X:27	Y:160 
[2024/8/18 20:0:35] 物品:白金项链	怪物:15B70790蜈蚣0	地图:D601	X:34	Y:178 
[2024/8/18 20:0:35] 物品:太阳水	怪物:15B70790蜈蚣0	地图:D601	X:34	Y:178 
[2024/8/18 20:0:35] 物品:太阳水	怪物:15B70790蜈蚣0	地图:D601	X:34	Y:178 
[2024/8/18 20:0:35] 物品:太阳水	怪物:15B70790蜈蚣0	地图:D601	X:34	Y:178 
[2024/8/18 20:0:35] 物品:太阳水	怪物:15B70790蜈蚣0	地图:D601	X:34	Y:178 
[2024/8/18 20:0:35] 物品:金创药(中量)	怪物:15B70790蜈蚣0	地图:D601	X:34	Y:178 
[2024/8/18 20:0:35] 物品:金创药(中量)	怪物:15B70790蜈蚣0	地图:D601	X:34	Y:178 
[2024/8/18 20:0:35] 物品:金创药(中量)	怪物:15B70790蜈蚣0	地图:D601	X:34	Y:178 
[2024/8/18 20:0:35] 物品:金创药(中量)	怪物:15B70790蜈蚣0	地图:D601	X:34	Y:178 
[2024/8/18 20:0:35] 物品:魔法药(中量)	怪物:15B70790蜈蚣0	地图:D601	X:34	Y:178 
[2024/8/18 20:0:35] 物品:魔法药(中量)	怪物:15B70790蜈蚣0	地图:D601	X:34	Y:178 
[2024/8/18 20:0:35] 物品:魔法药(中量)	怪物:15B70790蜈蚣0	地图:D601	X:34	Y:178 
[2024/8/18 20:0:35] 物品:魔法药(中量)	怪物:15B70790蜈蚣0	地图:D601	X:34	Y:178 
[2024/8/18 20:0:36] 物品:金创药(小量)	怪物:21717A10僵尸5	地图:H201	X:46	Y:146 
[2024/8/18 20:0:36] 物品:太阳水	怪物:21717A10僵尸5	地图:H201	X:46	Y:146 
[2024/8/18 20:0:41] 物品:强效太阳水	怪物:051D9D10尸王8	地图:H201	X:27	Y:161 
[2024/8/18 20:0:41] 物品:强效太阳水	怪物:051D9D10尸王8	地图:H201	X:27	Y:161 
[2024/8/18 20:0:41] 物品:强效太阳水	怪物:051D9D10尸王8	地图:H201	X:27	Y:161 
[2024/8/18 20:0:41] 物品:强效太阳水	怪物:051D9D10尸王8	地图:H201	X:27	Y:161 
[2024/8/18 20:0:41] 物品:强效太阳水	怪物:051D9D10尸王8	地图:H201	X:27	Y:161 
[2024/8/18 20:0:41] 物品:强效金创药	怪物:051D9D10尸王8	地图:H201	X:27	Y:161 
[2024/8/18 20:0:41] 物品:强效金创药	怪物:051D9D10尸王8	地图:H201	X:27	Y:161 
[2024/8/18 20:0:41] 物品:强效魔法药	怪物:051D9D10尸王8	地图:H201	X:27	Y:161 
[2024/8/18 20:0:41] 物品:强效魔法药	怪物:051D9D10尸王8	地图:H201	X:27	Y:161 
[2024/8/18 20:0:41] 物品:黑色水晶戒指	怪物:051D9D10尸王8	地图:H201	X:27	Y:161 
[2024/8/18 20:0:41] 物品:生铁戒指	怪物:051D9D10尸王8	地图:H201	X:27	Y:161 
[2024/8/18 20:0:41] 物品:凝霜	怪物:051D9D10尸王8	地图:H201	X:27	Y:161 
[2024/8/18 20:0:41] 物品:魅力戒指	怪物:051D9D10尸王8	地图:H201	X:27	Y:161 
[2024/8/18 20:0:41] 物品:黑檀手镯	怪物:051D9D10尸王8	地图:H201	X:27	Y:161 
[2024/8/18 20:0:41] 物品:魔力手镯	怪物:051D9D10尸王8	地图:H201	X:27	Y:161 
[2024/8/18 20:0:46] 物品:金创药(小量)	怪物:1BFB4120僵尸5	地图:H201	X:20	Y:159 
[2024/8/18 20:0:46] 物品:强效太阳水	怪物:2B445310尸王8	地图:H201	X:45	Y:142 
[2024/8/18 20:0:46] 物品:强效太阳水	怪物:2B445310尸王8	地图:H201	X:45	Y:142 
[2024/8/18 20:0:46] 物品:强效太阳水	怪物:2B445310尸王8	地图:H201	X:45	Y:142 
[2024/8/18 20:0:46] 物品:强效太阳水	怪物:2B445310尸王8	地图:H201	X:45	Y:142 
[2024/8/18 20:0:46] 物品:强效太阳水	怪物:2B445310尸王8	地图:H201	X:45	Y:142 
[2024/8/18 20:0:46] 物品:强效金创药	怪物:2B445310尸王8	地图:H201	X:45	Y:142 
[2024/8/18 20:0:46] 物品:强效金创药	怪物:2B445310尸王8	地图:H201	X:45	Y:142 
[2024/8/18 20:0:46] 物品:强效魔法药	怪物:2B445310尸王8	地图:H201	X:45	Y:142 
[2024/8/18 20:0:46] 物品:强效魔法药	怪物:2B445310尸王8	地图:H201	X:45	Y:142 
[2024/8/18 20:0:46] 物品:珍珠戒指	怪物:2B445310尸王8	地图:H201	X:45	Y:142 
[2024/8/18 20:0:46] 物品:生铁戒指	怪物:2B445310尸王8	地图:H201	X:45	Y:142 
[2024/8/18 20:0:46] 物品:魅力戒指	怪物:2B445310尸王8	地图:H201	X:45	Y:142 
[2024/8/18 20:0:46] 物品:魔力手镯	怪物:2B445310尸王8	地图:H201	X:45	Y:142 
[2024/8/18 20:0:55] 物品:太阳水	怪物:19B97E60魔龙射手	地图:66	X:92	Y:128 
[2024/8/18 20:0:55] 物品:蓝翡翠项链	怪物:19B97E60魔龙射手	地图:66	X:92	Y:128 
[2024/8/18 20:0:59] 物品:魔法药(中量)	怪物:1C8E5F40祖玛卫士8	地图:H204	X:44	Y:17 
[2024/8/18 20:0:59] 物品:珊瑚戒指	怪物:1C8E5F40祖玛卫士8	地图:H204	X:44	Y:17 
[2024/8/18 20:0:59] 物品:强效太阳水	怪物:1AAA6420尸王8	地图:H201	X:33	Y:145 
[2024/8/18 20:0:59] 物品:强效太阳水	怪物:1AAA6420尸王8	地图:H201	X:33	Y:145 
[2024/8/18 20:0:59] 物品:强效太阳水	怪物:1AAA6420尸王8	地图:H201	X:33	Y:145 
[2024/8/18 20:0:59] 物品:强效太阳水	怪物:1AAA6420尸王8	地图:H201	X:33	Y:145 
[2024/8/18 20:0:59] 物品:强效太阳水	怪物:1AAA6420尸王8	地图:H201	X:33	Y:145 
[2024/8/18 20:0:59] 物品:强效金创药	怪物:1AAA6420尸王8	地图:H201	X:33	Y:145 
[2024/8/18 20:0:59] 物品:强效金创药	怪物:1AAA6420尸王8	地图:H201	X:33	Y:145 
[2024/8/18 20:0:59] 物品:强效魔法药	怪物:1AAA6420尸王8	地图:H201	X:33	Y:145 
[2024/8/18 20:0:59] 物品:强效魔法药	怪物:1AAA6420尸王8	地图:H201	X:33	Y:145 
[2024/8/18 20:0:59] 物品:珍珠戒指	怪物:1AAA6420尸王8	地图:H201	X:33	Y:145 
[2024/8/18 20:1:0] 物品:死神手套	怪物:28ECF2A0祖玛雕像8	地图:H007	X:108	Y:176 
[2024/8/18 20:1:4] 物品:攻杀剑术	怪物:31E91490僵尸50	地图:H201	X:52	Y:133 
[2024/8/18 20:1:4] 物品:隐身术	怪物:31E91490僵尸50	地图:H201	X:52	Y:133 
[2024/8/18 20:1:4] 物品:瞬息移动	怪物:31E91490僵尸50	地图:H201	X:52	Y:133 
[2024/8/18 20:1:4] 物品:抗拒火环	怪物:31E91490僵尸50	地图:H201	X:52	Y:133 
[2024/8/18 20:1:4] 物品:精神力战法	怪物:31E91490僵尸50	地图:H201	X:52	Y:133 
[2024/8/18 20:1:4] 物品:火球术	怪物:31E91490僵尸50	地图:H201	X:52	Y:133 
[2024/8/18 20:1:4] 物品:治愈术	怪物:31E91490僵尸50	地图:H201	X:52	Y:133 
[2024/8/18 20:1:4] 物品:基本剑术	怪物:31E91490僵尸50	地图:H201	X:52	Y:133 
[2024/8/18 20:1:4] 物品:海魂	怪物:31E91490僵尸50	地图:H201	X:52	Y:133 
[2024/8/18 20:1:4] 物品:琥珀项链	怪物:31E91490僵尸50	地图:H201	X:52	Y:133 
[2024/8/18 20:1:4] 物品:凤凰明珠	怪物:31E91490僵尸50	地图:H201	X:52	Y:133 
[2024/8/18 20:1:4] 物品:魔力手镯	怪物:31E91490僵尸50	地图:H201	X:52	Y:133 
[2024/8/18 20:1:4] 物品:铁剑	怪物:31E91490僵尸50	地图:H201	X:52	Y:133 
[2024/8/18 20:1:4] 物品:短剑	怪物:31E91490僵尸50	地图:H201	X:52	Y:133 
[2024/8/18 20:1:4] 物品:轻型盔甲(男)	怪物:31E91490僵尸50	地图:H201	X:52	Y:133 
[2024/8/18 20:1:4] 物品:轻型盔甲(女)	怪物:31E91490僵尸50	地图:H201	X:52	Y:133 
[2024/8/18 20:1:4] 物品:中型盔甲(男)	怪物:31E91490僵尸50	地图:H201	X:52	Y:133 
[2024/8/18 20:1:4] 物品:青铜斧	怪物:31E91490僵尸50	地图:H201	X:52	Y:133 
[2024/8/18 20:1:4] 物品:黑檀项链	怪物:31E91490僵尸50	地图:H201	X:52	Y:133 
[2024/8/18 20:1:4] 物品:黄色水晶项链	怪物:31E91490僵尸50	地图:H201	X:52	Y:133 
[2024/8/18 20:1:4] 物品:黑色水晶项链	怪物:31E91490僵尸50	地图:H201	X:52	Y:133 
[2024/8/18 20:1:4] 物品:青铜头盔	怪物:31E91490僵尸50	地图:H201	X:52	Y:133 
[2024/8/18 20:1:4] 物品:金创药(小量)	怪物:31E91490僵尸50	地图:H201	X:52	Y:133 
[2024/8/18 20:1:4] 物品:金创药(小量)	怪物:31E91490僵尸50	地图:H201	X:52	Y:133 
[2024/8/18 20:1:4] 物品:金创药(小量)	怪物:31E91490僵尸50	地图:H201	X:52	Y:133 
[2024/8/18 20:1:4] 物品:金创药(小量)	怪物:31E91490僵尸50	地图:H201	X:52	Y:133 
[2024/8/18 20:1:4] 物品:魔法药(小量)	怪物:31E91490僵尸50	地图:H201	X:52	Y:133 
[2024/8/18 20:1:4] 物品:魔法药(小量)	怪物:31E91490僵尸50	地图:H201	X:52	Y:133 
[2024/8/18 20:1:4] 物品:魔法药(小量)	怪物:31E91490僵尸50	地图:H201	X:52	Y:133 
[2024/8/18 20:1:4] 物品:魔法药(小量)	怪物:31E91490僵尸50	地图:H201	X:52	Y:133 
[2024/8/18 20:1:5] 物品:强效太阳水	怪物:30D00F30魔龙射手	地图:66	X:84	Y:128 
[2024/8/18 20:1:5] 物品:强效魔法药	怪物:30D00F30魔龙射手	地图:66	X:84	Y:128 
[2024/8/18 20:1:5] 物品:强效魔法药	怪物:30D00F30魔龙射手	地图:66	X:84	Y:128 
[2024/8/18 20:1:6] 物品:强效太阳水	怪物:2A8D0240尸王	地图:H201	X:32	Y:145 
[2024/8/18 20:1:6] 物品:强效太阳水	怪物:2A8D0240尸王	地图:H201	X:32	Y:145 
[2024/8/18 20:1:6] 物品:强效太阳水	怪物:2A8D0240尸王	地图:H201	X:32	Y:145 
[2024/8/18 20:1:6] 物品:强效太阳水	怪物:2A8D0240尸王	地图:H201	X:32	Y:145 
[2024/8/18 20:1:6] 物品:强效太阳水	怪物:2A8D0240尸王	地图:H201	X:32	Y:145 
[2024/8/18 20:1:6] 物品:太阳水	怪物:2A8D0240尸王	地图:H201	X:32	Y:145 
[2024/8/18 20:1:6] 物品:太阳水	怪物:2A8D0240尸王	地图:H201	X:32	Y:145 
[2024/8/18 20:1:6] 物品:太阳水	怪物:2A8D0240尸王	地图:H201	X:32	Y:145 
[2024/8/18 20:1:6] 物品:太阳水	怪物:2A8D0240尸王	地图:H201	X:32	Y:145 
[2024/8/18 20:1:6] 物品:太阳水	怪物:2A8D0240尸王	地图:H201	X:32	Y:145 
[2024/8/18 20:1:6] 物品:太阳水	怪物:2A8D0240尸王	地图:H201	X:32	Y:145 
[2024/8/18 20:1:6] 物品:太阳水	怪物:2A8D0240尸王	地图:H201	X:32	Y:145 
[2024/8/18 20:1:6] 物品:太阳水	怪物:2A8D0240尸王	地图:H201	X:32	Y:145 
[2024/8/18 20:1:6] 物品:太阳水	怪物:2A8D0240尸王	地图:H201	X:32	Y:145 
[2024/8/18 20:1:6] 物品:太阳水	怪物:2A8D0240尸王	地图:H201	X:32	Y:145 
[2024/8/18 20:1:6] 物品:金创药(中量)	怪物:2A8D0240尸王	地图:H201	X:32	Y:145 
[2024/8/18 20:1:6] 物品:金创药(中量)	怪物:2A8D0240尸王	地图:H201	X:32	Y:145 
[2024/8/18 20:1:6] 物品:金创药(中量)	怪物:2A8D0240尸王	地图:H201	X:32	Y:145 
[2024/8/18 20:1:6] 物品:强效金创药	怪物:2A8D0240尸王	地图:H201	X:32	Y:145 
[2024/8/18 20:1:6] 物品:强效金创药	怪物:2A8D0240尸王	地图:H201	X:32	Y:145 
[2024/8/18 20:1:6] 物品:魔法药(中量)	怪物:2A8D0240尸王	地图:H201	X:32	Y:145 
[2024/8/18 20:1:6] 物品:魔法药(中量)	怪物:2A8D0240尸王	地图:H201	X:32	Y:145 
[2024/8/18 20:1:6] 物品:魔法药(中量)	怪物:2A8D0240尸王	地图:H201	X:32	Y:145 
[2024/8/18 20:1:6] 物品:强效魔法药	怪物:2A8D0240尸王	地图:H201	X:32	Y:145 
[2024/8/18 20:1:6] 物品:强效魔法药	怪物:2A8D0240尸王	地图:H201	X:32	Y:145 
[2024/8/18 20:1:6] 物品:骷髅戒指	怪物:2A8D0240尸王	地图:H201	X:32	Y:145 
[2024/8/18 20:1:6] 物品:魅力戒指	怪物:2A8D0240尸王	地图:H201	X:32	Y:145 
[2024/8/18 20:1:6] 物品:道士手镯	怪物:2A8D0240尸王	地图:H201	X:32	Y:145 
[2024/8/18 20:1:6] 物品:小手镯	怪物:2A8D0240尸王	地图:H201	X:32	Y:145 
[2024/8/18 20:1:6] 物品:灵魂火符	怪物:2A8D0240尸王	地图:H201	X:32	Y:145 
[2024/8/18 20:1:6] 物品:诱惑之光	怪物:2A8D0240尸王	地图:H201	X:32	Y:145 
[2024/8/18 20:1:6] 物品:召唤骷髅	怪物:2A8D0240尸王	地图:H201	X:32	Y:145 
[2024/8/18 20:1:6] 物品:瞬息移动	怪物:2A8D0240尸王	地图:H201	X:32	Y:145 
[2024/8/18 20:1:6] 物品:抗拒火环	怪物:2A8D0240尸王	地图:H201	X:32	Y:145 
[2024/8/18 20:1:6] 物品:精神力战法	怪物:2A8D0240尸王	地图:H201	X:32	Y:145 
[2024/8/18 20:1:6] 物品:治愈术	怪物:2A8D0240尸王	地图:H201	X:32	Y:145 
[2024/8/18 20:1:6] 物品:基本剑术	怪物:2A8D0240尸王	地图:H201	X:32	Y:145 
[2024/8/18 20:1:6] 物品:火球术	怪物:2A8D0240尸王	地图:H201	X:32	Y:145 
[2024/8/18 20:1:9] 物品:强效金创药	怪物:27695BA0祖玛弓箭手8	地图:H204	X:49	Y:9 
[2024/8/18 20:1:10] 物品:强效金创药	怪物:2A0492B0魔龙射手	地图:66	X:85	Y:130 
