[2024/8/19 19:0:2] 物品:太阳水	怪物:283FBB90黑野猪8	地图:H002	X:276	Y:149 
[2024/8/19 19:4:55] 物品:强效魔法药	怪物:18124760沃玛卫士8	地图:H003	X:37	Y:59 
[2024/8/19 19:4:55] 物品:强效魔法药	怪物:18124760沃玛卫士8	地图:H003	X:37	Y:59 
[2024/8/19 19:4:55] 物品:记忆头盔	怪物:18124760沃玛卫士8	地图:H003	X:37	Y:59 
[2024/8/19 19:4:55] 物品:野蛮冲撞	怪物:18124760沃玛卫士8	地图:H003	X:37	Y:59 
[2024/8/19 19:4:55] 物品:集体隐身术	怪物:18124760沃玛卫士8	地图:H003	X:37	Y:59 
[2024/8/19 19:4:59] 物品:强效金创药	怪物:2B48E980魔龙教主	地图:GA1	X:22	Y:29 
[2024/8/19 19:4:59] 物品:强效魔法药	怪物:2B48E980魔龙教主	地图:GA1	X:22	Y:29 
[2024/8/19 19:4:59] 物品:强效魔法药	怪物:2B48E980魔龙教主	地图:GA1	X:22	Y:29 
[2024/8/19 19:4:59] 物品:强效金创药	怪物:2B48E980魔龙教主	地图:GA1	X:22	Y:29 
[2024/8/19 19:4:59] 物品:强效金创药	怪物:2B48E980魔龙教主	地图:GA1	X:22	Y:29 
[2024/8/19 19:4:59] 物品:狮子吼	怪物:2B48E980魔龙教主	地图:GA1	X:22	Y:29 
[2024/8/19 19:5:18] 物品:魔法药(小量)	怪物:29691FE0僵尸5	地图:H201	X:30	Y:150 
[2024/8/19 19:5:19] 物品:魔法药(小量)	怪物:28028450僵尸4	地图:H201	X:30	Y:148 
[2024/8/19 19:5:19] 物品:雷电术	怪物:0DCC6650僵尸1	地图:H201	X:29	Y:148 
[2024/8/19 19:5:20] 物品:疾光电影	怪物:2B5DB790恶灵尸王	地图:H201	X:29	Y:149 
[2024/8/19 19:5:20] 物品:雷电术	怪物:2B5DB790恶灵尸王	地图:H201	X:29	Y:149 
[2024/8/19 19:5:20] 物品:地狱火	怪物:2B5DB790恶灵尸王	地图:H201	X:29	Y:149 
[2024/8/19 19:5:20] 物品:强效太阳水	怪物:0DA963E0尸王8	地图:H201	X:29	Y:150 
[2024/8/19 19:5:20] 物品:强效太阳水	怪物:0DA963E0尸王8	地图:H201	X:29	Y:150 
[2024/8/19 19:5:20] 物品:强效太阳水	怪物:0DA963E0尸王8	地图:H201	X:29	Y:150 
[2024/8/19 19:5:20] 物品:强效太阳水	怪物:0DA963E0尸王8	地图:H201	X:29	Y:150 
[2024/8/19 19:5:20] 物品:强效太阳水	怪物:0DA963E0尸王8	地图:H201	X:29	Y:150 
[2024/8/19 19:5:20] 物品:强效金创药	怪物:0DA963E0尸王8	地图:H201	X:29	Y:150 
[2024/8/19 19:5:20] 物品:强效金创药	怪物:0DA963E0尸王8	地图:H201	X:29	Y:150 
[2024/8/19 19:5:20] 物品:强效魔法药	怪物:0DA963E0尸王8	地图:H201	X:29	Y:150 
[2024/8/19 19:5:20] 物品:强效魔法药	怪物:0DA963E0尸王8	地图:H201	X:29	Y:150 
[2024/8/19 19:5:20] 物品:凝霜	怪物:0DA963E0尸王8	地图:H201	X:29	Y:150 
[2024/8/19 19:5:20] 物品:魔力手镯	怪物:0DA963E0尸王8	地图:H201	X:29	Y:150 
[2024/8/19 19:5:21] 物品:太阳水	怪物:2C065DE0黑野猪8	地图:H002	X:307	Y:61 
[2024/8/19 19:5:34] 物品:太阳水	怪物:27A8EC10黑野猪8	地图:H002	X:302	Y:56 
[2024/8/19 19:5:40] 物品:太阳水	怪物:1BD84680黑野猪8	地图:H002	X:304	Y:56 
[2024/8/19 19:5:59] 物品:强效太阳水	怪物:180D8490尸王8	地图:H201	X:26	Y:153 
[2024/8/19 19:5:59] 物品:强效太阳水	怪物:180D8490尸王8	地图:H201	X:26	Y:153 
[2024/8/19 19:5:59] 物品:强效太阳水	怪物:180D8490尸王8	地图:H201	X:26	Y:153 
[2024/8/19 19:5:59] 物品:强效太阳水	怪物:180D8490尸王8	地图:H201	X:26	Y:153 
