[2024/8/20 20:0:1] 物品:治愈术	怪物:1C832FD0僵尸1	地图:H201	X:84	Y:79 
[2024/8/20 20:0:56] 物品:金创药(小量)	怪物:0D8044F0僵尸5	地图:H201	X:90	Y:84 
[2024/8/20 20:0:56] 物品:太阳水	怪物:0D8044F0僵尸5	地图:H201	X:90	Y:84 
[2024/8/20 20:0:56] 物品:疾光电影	怪物:2DA0C2E0僵尸1	地图:H201	X:93	Y:88 
[2024/8/20 20:0:58] 物品:金创药(小量)	怪物:2F645160僵尸3	地图:D401	X:140	Y:90 
[2024/8/20 20:1:1] 物品:强效太阳水	怪物:30929CA0尸王8	地图:H201	X:93	Y:87 
[2024/8/20 20:1:1] 物品:强效太阳水	怪物:30929CA0尸王8	地图:H201	X:93	Y:87 
[2024/8/20 20:1:1] 物品:强效太阳水	怪物:30929CA0尸王8	地图:H201	X:93	Y:87 
[2024/8/20 20:1:1] 物品:强效太阳水	怪物:30929CA0尸王8	地图:H201	X:93	Y:87 
[2024/8/20 20:1:1] 物品:强效太阳水	怪物:30929CA0尸王8	地图:H201	X:93	Y:87 
[2024/8/20 20:1:1] 物品:强效金创药	怪物:30929CA0尸王8	地图:H201	X:93	Y:87 
[2024/8/20 20:1:1] 物品:强效金创药	怪物:30929CA0尸王8	地图:H201	X:93	Y:87 
[2024/8/20 20:1:1] 物品:强效魔法药	怪物:30929CA0尸王8	地图:H201	X:93	Y:87 
[2024/8/20 20:1:1] 物品:强效魔法药	怪物:30929CA0尸王8	地图:H201	X:93	Y:87 
[2024/8/20 20:1:1] 物品:凝霜	怪物:30929CA0尸王8	地图:H201	X:93	Y:87 
[2024/8/20 20:1:1] 物品:道德戒指	怪物:30929CA0尸王8	地图:H201	X:93	Y:87 
[2024/8/20 20:1:1] 物品:魅力戒指	怪物:30929CA0尸王8	地图:H201	X:93	Y:87 
[2024/8/20 20:1:3] 物品:强效太阳水	怪物:2C7CDAC0尸王8	地图:H201	X:93	Y:88 
[2024/8/20 20:1:3] 物品:强效太阳水	怪物:2C7CDAC0尸王8	地图:H201	X:93	Y:88 
[2024/8/20 20:1:3] 物品:强效太阳水	怪物:2C7CDAC0尸王8	地图:H201	X:93	Y:88 
[2024/8/20 20:1:3] 物品:强效太阳水	怪物:2C7CDAC0尸王8	地图:H201	X:93	Y:88 
[2024/8/20 20:1:3] 物品:强效太阳水	怪物:2C7CDAC0尸王8	地图:H201	X:93	Y:88 
[2024/8/20 20:1:3] 物品:强效金创药	怪物:2C7CDAC0尸王8	地图:H201	X:93	Y:88 
[2024/8/20 20:1:3] 物品:强效金创药	怪物:2C7CDAC0尸王8	地图:H201	X:93	Y:88 
[2024/8/20 20:1:3] 物品:强效魔法药	怪物:2C7CDAC0尸王8	地图:H201	X:93	Y:88 
[2024/8/20 20:1:3] 物品:强效魔法药	怪物:2C7CDAC0尸王8	地图:H201	X:93	Y:88 
[2024/8/20 20:1:3] 物品:黑色水晶戒指	怪物:2C7CDAC0尸王8	地图:H201	X:93	Y:88 
[2024/8/20 20:1:3] 物品:蛇眼戒指	怪物:2C7CDAC0尸王8	地图:H201	X:93	Y:88 
[2024/8/20 20:1:3] 物品:珍珠戒指	怪物:2C7CDAC0尸王8	地图:H201	X:93	Y:88 
[2024/8/20 20:1:3] 物品:黑檀手镯	怪物:2C7CDAC0尸王8	地图:H201	X:93	Y:88 
[2024/8/20 20:1:3] 物品:魔力手镯	怪物:2C7CDAC0尸王8	地图:H201	X:93	Y:88 
[2024/8/20 20:1:4] 物品:治愈术	怪物:1EBDBFB0僵尸1	地图:H201	X:95	Y:89 
[2024/8/20 20:1:8] 物品:强效金创药	怪物:2781A1D0魔龙破甲兵	地图:66	X:81	Y:171 
[2024/8/20 20:1:8] 物品:魔法长袍(男)	怪物:2781A1D0魔龙破甲兵	地图:66	X:81	Y:171 
[2024/8/20 20:1:12] 物品:金创药(小量)	怪物:0D994E90僵尸5	地图:H201	X:87	Y:91 
[2024/8/20 20:1:15] 物品:强效太阳水	怪物:2A62ACB0尸王8	地图:H201	X:91	Y:93 
[2024/8/20 20:1:15] 物品:强效太阳水	怪物:2A62ACB0尸王8	地图:H201	X:91	Y:93 
[2024/8/20 20:1:15] 物品:强效太阳水	怪物:2A62ACB0尸王8	地图:H201	X:91	Y:93 
[2024/8/20 20:1:15] 物品:强效太阳水	怪物:2A62ACB0尸王8	地图:H201	X:91	Y:93 
[2024/8/20 20:1:15] 物品:强效太阳水	怪物:2A62ACB0尸王8	地图:H201	X:91	Y:93 
[2024/8/20 20:1:15] 物品:强效金创药	怪物:2A62ACB0尸王8	地图:H201	X:91	Y:93 
[2024/8/20 20:1:15] 物品:强效金创药	怪物:2A62ACB0尸王8	地图:H201	X:91	Y:93 
[2024/8/20 20:1:15] 物品:强效魔法药	怪物:2A62ACB0尸王8	地图:H201	X:91	Y:93 
[2024/8/20 20:1:15] 物品:强效魔法药	怪物:2A62ACB0尸王8	地图:H201	X:91	Y:93 
[2024/8/20 20:1:15] 物品:蓝翡翠项链	怪物:2A62ACB0尸王8	地图:H201	X:91	Y:93 
[2024/8/20 20:1:15] 物品:黑檀手镯	怪物:2A62ACB0尸王8	地图:H201	X:91	Y:93 
[2024/8/20 20:1:15] 物品:魔力手镯	怪物:2A62ACB0尸王8	地图:H201	X:91	Y:93 
[2024/8/20 20:1:17] 物品:太阳水	怪物:27CFE790僵尸5	地图:H201	X:87	Y:92 
[2024/8/20 20:1:19] 物品:金创药(小量)	怪物:2F5ED530僵尸5	地图:H201	X:91	Y:97 
[2024/8/20 20:1:19] 物品:太阳水	怪物:2F5ED530僵尸5	地图:H201	X:91	Y:97 
[2024/8/20 20:1:23] 物品:金创药(小量)	怪物:18BDF170僵尸4	地图:H201	X:93	Y:94 
[2024/8/20 20:1:30] 物品:金创药(小量)	怪物:27DC5A80僵尸4	地图:H201	X:93	Y:98 
[2024/8/20 20:1:30] 物品:魔法药(小量)	怪物:27DC5A80僵尸4	地图:H201	X:93	Y:98 
[2024/8/20 20:1:31] 物品:魔法药(小量)	怪物:18BDF170僵尸4	地图:H201	X:93	Y:94 
[2024/8/20 20:1:32] 物品:金创药(小量)	怪物:29F391F0僵尸5	地图:H201	X:90	Y:94 
[2024/8/20 20:1:32] 物品:魔法药(小量)	怪物:29F391F0僵尸5	地图:H201	X:90	Y:94 
[2024/8/20 20:1:33] 物品:魔法药(小量)	怪物:26CEEEA0僵尸4	地图:H201	X:95	Y:102 
[2024/8/20 20:1:36] 物品:金创药(小量)	怪物:2EC5CE30僵尸5	地图:H201	X:96	Y:99 
[2024/8/20 20:1:42] 物品:抗拒火环	怪物:1ED1E7D0僵尸1	地图:H201	X:85	Y:101 
[2024/8/20 20:1:45] 物品:金创药(小量)	怪物:2DBC7AD0僵尸5	地图:H201	X:82	Y:104 
[2024/8/20 20:1:46] 物品:基本剑术	怪物:1BF2DF80僵尸1	地图:H201	X:82	Y:105 
[2024/8/20 20:1:48] 物品:强效太阳水	怪物:28641CD0尸王8	地图:H201	X:84	Y:104 
[2024/8/20 20:1:48] 物品:强效太阳水	怪物:28641CD0尸王8	地图:H201	X:84	Y:104 
[2024/8/20 20:1:48] 物品:强效太阳水	怪物:28641CD0尸王8	地图:H201	X:84	Y:104 
[2024/8/20 20:1:48] 物品:强效太阳水	怪物:28641CD0尸王8	地图:H201	X:84	Y:104 
[2024/8/20 20:1:48] 物品:强效太阳水	怪物:28641CD0尸王8	地图:H201	X:84	Y:104 
[2024/8/20 20:1:48] 物品:强效金创药	怪物:28641CD0尸王8	地图:H201	X:84	Y:104 
[2024/8/20 20:1:48] 物品:强效金创药	怪物:28641CD0尸王8	地图:H201	X:84	Y:104 
[2024/8/20 20:1:48] 物品:强效魔法药	怪物:28641CD0尸王8	地图:H201	X:84	Y:104 
[2024/8/20 20:1:48] 物品:强效魔法药	怪物:28641CD0尸王8	地图:H201	X:84	Y:104 
[2024/8/20 20:1:48] 物品:珍珠戒指	怪物:28641CD0尸王8	地图:H201	X:84	Y:104 
[2024/8/20 20:1:48] 物品:黑檀手镯	怪物:28641CD0尸王8	地图:H201	X:84	Y:104 
[2024/8/20 20:1:48] 物品:魔力手镯	怪物:28641CD0尸王8	地图:H201	X:84	Y:104 
[2024/8/20 20:1:48] 物品:群体治疗术	怪物:28641CD0尸王8	地图:H201	X:84	Y:104 
[2024/8/20 20:1:48] 物品:地狱雷光	怪物:28641CD0尸王8	地图:H201	X:84	Y:104 
[2024/8/20 20:1:52] 物品:魔法药(小量)	怪物:1EE390C0僵尸5	地图:H201	X:81	Y:101 
[2024/8/20 20:1:54] 物品:金创药(小量)	怪物:302F0010僵尸4	地图:H201	X:80	Y:93 
[2024/8/20 20:2:1] 物品:幽灵盾	怪物:1C480970恶灵尸王	地图:H201	X:82	Y:94 
[2024/8/20 20:2:1] 物品:雷电术	怪物:1C480970恶灵尸王	地图:H201	X:82	Y:94 
[2024/8/20 20:2:1] 物品:瞬息移动	怪物:1C480970恶灵尸王	地图:H201	X:82	Y:94 
[2024/8/20 20:2:7] 物品:金创药(小量)	怪物:1E773D80僵尸3	地图:D401	X:137	Y:79 
[2024/8/20 20:2:7] 物品:金创药(小量)	怪物:2238DC20僵尸4	地图:H201	X:76	Y:95 
[2024/8/20 20:2:10] 物品:强效魔法药	怪物:051A51F0魔龙邪眼	地图:66	X:77	Y:164 
[2024/8/20 20:2:11] 物品:强效太阳水	怪物:2B2D7860尸王8	地图:H201	X:77	Y:92 
[2024/8/20 20:2:11] 物品:强效太阳水	怪物:2B2D7860尸王8	地图:H201	X:77	Y:92 
[2024/8/20 20:2:11] 物品:强效太阳水	怪物:2B2D7860尸王8	地图:H201	X:77	Y:92 
[2024/8/20 20:2:11] 物品:强效太阳水	怪物:2B2D7860尸王8	地图:H201	X:77	Y:92 
[2024/8/20 20:2:11] 物品:强效太阳水	怪物:2B2D7860尸王8	地图:H201	X:77	Y:92 
[2024/8/20 20:2:11] 物品:强效金创药	怪物:2B2D7860尸王8	地图:H201	X:77	Y:92 
[2024/8/20 20:2:11] 物品:强效金创药	怪物:2B2D7860尸王8	地图:H201	X:77	Y:92 
[2024/8/20 20:2:11] 物品:强效魔法药	怪物:2B2D7860尸王8	地图:H201	X:77	Y:92 
[2024/8/20 20:2:11] 物品:强效魔法药	怪物:2B2D7860尸王8	地图:H201	X:77	Y:92 
[2024/8/20 20:2:11] 物品:珊瑚戒指	怪物:2B2D7860尸王8	地图:H201	X:77	Y:92 
[2024/8/20 20:2:11] 物品:魅力戒指	怪物:2B2D7860尸王8	地图:H201	X:77	Y:92 
[2024/8/20 20:2:11] 物品:魔力手镯	怪物:2B2D7860尸王8	地图:H201	X:77	Y:92 
[2024/8/20 20:2:14] 物品:强效魔法药	怪物:2B3C9100魔龙射手2	地图:66	X:81	Y:165 
[2024/8/20 20:2:14] 物品:太阳水	怪物:2B3C9100魔龙射手2	地图:66	X:81	Y:165 
[2024/8/20 20:2:14] 物品:太阳水	怪物:2B3C9100魔龙射手2	地图:66	X:81	Y:165 
[2024/8/20 20:2:21] 物品:强效太阳水	怪物:195A4910尸王8	地图:H201	X:77	Y:87 
[2024/8/20 20:2:21] 物品:强效太阳水	怪物:195A4910尸王8	地图:H201	X:77	Y:87 
[2024/8/20 20:2:21] 物品:强效太阳水	怪物:195A4910尸王8	地图:H201	X:77	Y:87 
[2024/8/20 20:2:21] 物品:强效太阳水	怪物:195A4910尸王8	地图:H201	X:77	Y:87 
[2024/8/20 20:2:21] 物品:强效太阳水	怪物:195A4910尸王8	地图:H201	X:77	Y:87 
[2024/8/20 20:2:21] 物品:强效金创药	怪物:195A4910尸王8	地图:H201	X:77	Y:87 
[2024/8/20 20:2:21] 物品:强效金创药	怪物:195A4910尸王8	地图:H201	X:77	Y:87 
[2024/8/20 20:2:21] 物品:强效魔法药	怪物:195A4910尸王8	地图:H201	X:77	Y:87 
[2024/8/20 20:2:21] 物品:强效魔法药	怪物:195A4910尸王8	地图:H201	X:77	Y:87 
[2024/8/20 20:2:21] 物品:珍珠戒指	怪物:195A4910尸王8	地图:H201	X:77	Y:87 
[2024/8/20 20:2:21] 物品:黑檀手镯	怪物:195A4910尸王8	地图:H201	X:77	Y:87 
[2024/8/20 20:2:21] 物品:魔力手镯	怪物:195A4910尸王8	地图:H201	X:77	Y:87 
[2024/8/20 20:2:21] 物品:野蛮冲撞	怪物:195A4910尸王8	地图:H201	X:77	Y:87 
[2024/8/20 20:2:22] 物品:太阳水	怪物:1EC09EA0魔龙射手	地图:66	X:85	Y:161 
[2024/8/20 20:2:22] 物品:放大镜	怪物:1EC09EA0魔龙射手	地图:66	X:85	Y:161 
[2024/8/20 20:2:23] 物品:强效太阳水	怪物:2CF4F0F0尸王8	地图:H201	X:82	Y:89 
[2024/8/20 20:2:23] 物品:强效太阳水	怪物:2CF4F0F0尸王8	地图:H201	X:82	Y:89 
[2024/8/20 20:2:23] 物品:强效太阳水	怪物:2CF4F0F0尸王8	地图:H201	X:82	Y:89 
[2024/8/20 20:2:23] 物品:强效太阳水	怪物:2CF4F0F0尸王8	地图:H201	X:82	Y:89 
[2024/8/20 20:2:23] 物品:强效太阳水	怪物:2CF4F0F0尸王8	地图:H201	X:82	Y:89 
[2024/8/20 20:2:23] 物品:强效金创药	怪物:2CF4F0F0尸王8	地图:H201	X:82	Y:89 
[2024/8/20 20:2:23] 物品:强效金创药	怪物:2CF4F0F0尸王8	地图:H201	X:82	Y:89 
[2024/8/20 20:2:23] 物品:强效魔法药	怪物:2CF4F0F0尸王8	地图:H201	X:82	Y:89 
[2024/8/20 20:2:23] 物品:强效魔法药	怪物:2CF4F0F0尸王8	地图:H201	X:82	Y:89 
[2024/8/20 20:2:23] 物品:生铁戒指	怪物:2CF4F0F0尸王8	地图:H201	X:82	Y:89 
[2024/8/20 20:2:23] 物品:魅力戒指	怪物:2CF4F0F0尸王8	地图:H201	X:82	Y:89 
[2024/8/20 20:2:23] 物品:魔力手镯	怪物:2CF4F0F0尸王8	地图:H201	X:82	Y:89 
[2024/8/20 20:2:31] 物品:强效金创药	怪物:28AEAD80魔龙破甲兵	地图:66	X:87	Y:161 
[2024/8/20 20:2:31] 物品:强效魔法药	怪物:28AEAD80魔龙破甲兵	地图:66	X:87	Y:161 
[2024/8/20 20:2:31] 物品:凝霜	怪物:28AEAD80魔龙破甲兵	地图:66	X:87	Y:161 
[2024/8/20 20:2:31] 物品:魔法药(小量)	怪物:293DE270僵尸3	地图:D401	X:134	Y:71 
[2024/8/20 20:2:31] 物品:心灵启示	怪物:26531D10僵尸1	地图:H201	X:96	Y:104 
[2024/8/20 20:2:35] 物品:魔法药(小量)	怪物:29FC55A0僵尸5	地图:H201	X:100	Y:99 
[2024/8/20 20:2:41] 物品:魔法药(小量)	怪物:278A19A0僵尸5	地图:H201	X:95	Y:100 
[2024/8/20 20:2:44] 物品:强效太阳水	怪物:2EC9B320尸王8	地图:H201	X:105	Y:100 
[2024/8/20 20:2:44] 物品:强效太阳水	怪物:2EC9B320尸王8	地图:H201	X:105	Y:100 
[2024/8/20 20:2:44] 物品:强效太阳水	怪物:2EC9B320尸王8	地图:H201	X:105	Y:100 
[2024/8/20 20:2:44] 物品:强效太阳水	怪物:2EC9B320尸王8	地图:H201	X:105	Y:100 
[2024/8/20 20:2:44] 物品:强效太阳水	怪物:2EC9B320尸王8	地图:H201	X:105	Y:100 
[2024/8/20 20:2:44] 物品:强效金创药	怪物:2EC9B320尸王8	地图:H201	X:105	Y:100 
[2024/8/20 20:2:44] 物品:强效金创药	怪物:2EC9B320尸王8	地图:H201	X:105	Y:100 
[2024/8/20 20:2:44] 物品:强效魔法药	怪物:2EC9B320尸王8	地图:H201	X:105	Y:100 
[2024/8/20 20:2:44] 物品:强效魔法药	怪物:2EC9B320尸王8	地图:H201	X:105	Y:100 
[2024/8/20 20:2:44] 物品:黑色水晶戒指	怪物:2EC9B320尸王8	地图:H201	X:105	Y:100 
[2024/8/20 20:2:44] 物品:珍珠戒指	怪物:2EC9B320尸王8	地图:H201	X:105	Y:100 
[2024/8/20 20:2:53] 物品:地狱火	怪物:2965D080僵尸5	地图:H201	X:106	Y:107 
[2024/8/20 20:3:1] 物品:强效太阳水	怪物:2B9643B0尸王8	地图:H201	X:100	Y:110 
[2024/8/20 20:3:1] 物品:强效太阳水	怪物:2B9643B0尸王8	地图:H201	X:100	Y:110 
[2024/8/20 20:3:1] 物品:强效太阳水	怪物:2B9643B0尸王8	地图:H201	X:100	Y:110 
[2024/8/20 20:3:1] 物品:强效太阳水	怪物:2B9643B0尸王8	地图:H201	X:100	Y:110 
[2024/8/20 20:3:1] 物品:强效太阳水	怪物:2B9643B0尸王8	地图:H201	X:100	Y:110 
[2024/8/20 20:3:1] 物品:强效金创药	怪物:2B9643B0尸王8	地图:H201	X:100	Y:110 
[2024/8/20 20:3:1] 物品:强效金创药	怪物:2B9643B0尸王8	地图:H201	X:100	Y:110 
[2024/8/20 20:3:1] 物品:强效魔法药	怪物:2B9643B0尸王8	地图:H201	X:100	Y:110 
[2024/8/20 20:3:1] 物品:强效魔法药	怪物:2B9643B0尸王8	地图:H201	X:100	Y:110 
[2024/8/20 20:3:1] 物品:凝霜	怪物:2B9643B0尸王8	地图:H201	X:100	Y:110 
[2024/8/20 20:3:1] 物品:黑檀手镯	怪物:2B9643B0尸王8	地图:H201	X:100	Y:110 
[2024/8/20 20:3:1] 物品:魔力手镯	怪物:2B9643B0尸王8	地图:H201	X:100	Y:110 
[2024/8/20 20:3:2] 物品:金创药(小量)	怪物:2DA1CD20僵尸4	地图:H201	X:100	Y:110 
[2024/8/20 20:3:3] 物品:强效太阳水	怪物:29489100尸王8	地图:H201	X:102	Y:114 
[2024/8/20 20:3:3] 物品:强效太阳水	怪物:29489100尸王8	地图:H201	X:102	Y:114 
[2024/8/20 20:3:3] 物品:强效太阳水	怪物:29489100尸王8	地图:H201	X:102	Y:114 
[2024/8/20 20:3:3] 物品:强效太阳水	怪物:29489100尸王8	地图:H201	X:102	Y:114 
[2024/8/20 20:3:3] 物品:强效太阳水	怪物:29489100尸王8	地图:H201	X:102	Y:114 
[2024/8/20 20:3:3] 物品:强效金创药	怪物:29489100尸王8	地图:H201	X:102	Y:114 
[2024/8/20 20:3:3] 物品:强效金创药	怪物:29489100尸王8	地图:H201	X:102	Y:114 
[2024/8/20 20:3:3] 物品:强效魔法药	怪物:29489100尸王8	地图:H201	X:102	Y:114 
[2024/8/20 20:3:3] 物品:强效魔法药	怪物:29489100尸王8	地图:H201	X:102	Y:114 
[2024/8/20 20:3:3] 物品:黑色水晶戒指	怪物:29489100尸王8	地图:H201	X:102	Y:114 
[2024/8/20 20:3:3] 物品:道德戒指	怪物:29489100尸王8	地图:H201	X:102	Y:114 
[2024/8/20 20:3:3] 物品:蓝翡翠项链	怪物:29489100尸王8	地图:H201	X:102	Y:114 
[2024/8/20 20:3:3] 物品:魔力手镯	怪物:29489100尸王8	地图:H201	X:102	Y:114 
[2024/8/20 20:3:4] 物品:魔法药(小量)	怪物:28BEDA80僵尸5	地图:H201	X:102	Y:117 
[2024/8/20 20:3:8] 物品:强效太阳水	怪物:2D9BD3B0尸王8	地图:H201	X:99	Y:114 
[2024/8/20 20:3:8] 物品:强效太阳水	怪物:2D9BD3B0尸王8	地图:H201	X:99	Y:114 
[2024/8/20 20:3:8] 物品:强效太阳水	怪物:2D9BD3B0尸王8	地图:H201	X:99	Y:114 
[2024/8/20 20:3:8] 物品:强效太阳水	怪物:2D9BD3B0尸王8	地图:H201	X:99	Y:114 
[2024/8/20 20:3:8] 物品:强效太阳水	怪物:2D9BD3B0尸王8	地图:H201	X:99	Y:114 
[2024/8/20 20:3:8] 物品:强效金创药	怪物:2D9BD3B0尸王8	地图:H201	X:99	Y:114 
[2024/8/20 20:3:8] 物品:强效金创药	怪物:2D9BD3B0尸王8	地图:H201	X:99	Y:114 
[2024/8/20 20:3:8] 物品:强效魔法药	怪物:2D9BD3B0尸王8	地图:H201	X:99	Y:114 
[2024/8/20 20:3:8] 物品:强效魔法药	怪物:2D9BD3B0尸王8	地图:H201	X:99	Y:114 
[2024/8/20 20:3:8] 物品:骷髅戒指	怪物:2D9BD3B0尸王8	地图:H201	X:99	Y:114 
[2024/8/20 20:3:13] 物品:魔法力药水	怪物:17DD5DB0僵尸3	地图:D401	X:139	Y:71 
[2024/8/20 20:3:14] 物品:太阳水	怪物:2CD1FA90僵尸5	地图:H201	X:96	Y:109 
[2024/8/20 20:3:16] 物品:心灵启示	怪物:1FE3C9F0恶灵尸王	地图:H201	X:97	Y:114 
[2024/8/20 20:3:16] 物品:幽灵盾	怪物:1FE3C9F0恶灵尸王	地图:H201	X:97	Y:114 
[2024/8/20 20:3:16] 物品:大火球	怪物:1FE3C9F0恶灵尸王	地图:H201	X:97	Y:114 
[2024/8/20 20:3:17] 物品:强效太阳水	怪物:21F9F5B0尸王8	地图:H201	X:97	Y:111 
[2024/8/20 20:3:17] 物品:强效太阳水	怪物:21F9F5B0尸王8	地图:H201	X:97	Y:111 
[2024/8/20 20:3:17] 物品:强效太阳水	怪物:21F9F5B0尸王8	地图:H201	X:97	Y:111 
[2024/8/20 20:3:17] 物品:强效太阳水	怪物:21F9F5B0尸王8	地图:H201	X:97	Y:111 
[2024/8/20 20:3:17] 物品:强效太阳水	怪物:21F9F5B0尸王8	地图:H201	X:97	Y:111 
[2024/8/20 20:3:17] 物品:强效金创药	怪物:21F9F5B0尸王8	地图:H201	X:97	Y:111 
[2024/8/20 20:3:17] 物品:强效金创药	怪物:21F9F5B0尸王8	地图:H201	X:97	Y:111 
[2024/8/20 20:3:17] 物品:强效魔法药	怪物:21F9F5B0尸王8	地图:H201	X:97	Y:111 
[2024/8/20 20:3:17] 物品:强效魔法药	怪物:21F9F5B0尸王8	地图:H201	X:97	Y:111 
[2024/8/20 20:3:17] 物品:死神手套	怪物:21F9F5B0尸王8	地图:H201	X:97	Y:111 
[2024/8/20 20:3:17] 物品:道德戒指	怪物:21F9F5B0尸王8	地图:H201	X:97	Y:111 
[2024/8/20 20:3:17] 物品:魅力戒指	怪物:21F9F5B0尸王8	地图:H201	X:97	Y:111 
[2024/8/20 20:3:17] 物品:魔力手镯	怪物:21F9F5B0尸王8	地图:H201	X:97	Y:111 
[2024/8/20 20:3:23] 物品:魔法药(小量)	怪物:1895B010僵尸3	地图:D401	X:139	Y:70 
[2024/8/20 20:3:29] 物品:金创药(小量)	怪物:18D74780僵尸4	地图:H201	X:94	Y:114 
[2024/8/20 20:3:31] 物品:太阳水	怪物:21F65350恶灵尸王	地图:H201	X:91	Y:108 
[2024/8/20 20:3:31] 物品:神圣战甲术	怪物:21F65350恶灵尸王	地图:H201	X:91	Y:108 
[2024/8/20 20:3:31] 物品:集体隐身术	怪物:21F65350恶灵尸王	地图:H201	X:91	Y:108 
[2024/8/20 20:3:35] 物品:攻击力药水	怪物:2D53EFD0僵尸5	地图:H201	X:88	Y:117 
[2024/8/20 20:3:38] 物品:紫碧螺	怪物:2D43FD80魔龙刀兵1	地图:66	X:80	Y:159 
[2024/8/20 20:3:38] 物品:魔法药(小量)	怪物:1E055160僵尸5	地图:H201	X:84	Y:114 
[2024/8/20 20:3:39] 物品:强效太阳水	怪物:28EBD230尸王8	地图:H201	X:86	Y:110 
[2024/8/20 20:3:39] 物品:强效太阳水	怪物:28EBD230尸王8	地图:H201	X:86	Y:110 
[2024/8/20 20:3:39] 物品:强效太阳水	怪物:28EBD230尸王8	地图:H201	X:86	Y:110 
[2024/8/20 20:3:39] 物品:强效太阳水	怪物:28EBD230尸王8	地图:H201	X:86	Y:110 
[2024/8/20 20:3:39] 物品:强效太阳水	怪物:28EBD230尸王8	地图:H201	X:86	Y:110 
