[2024/8/21 4:0:2] 物品:降魔	怪物:25BC94E0牛魔法师8	地图:H010	X:338	Y:196 
[2024/8/21 4:0:28] 物品:金戒指	怪物:25CA5470牛魔祭司8	地图:H010	X:342	Y:186 
[2024/8/21 4:0:29] 物品:强效太阳水	怪物:2C9B91F0牛魔将军0	地图:H010	X:341	Y:186 
[2024/8/21 4:0:29] 物品:强效太阳水	怪物:2C9B91F0牛魔将军0	地图:H010	X:341	Y:186 
[2024/8/21 4:0:29] 物品:强效太阳水	怪物:2C9B91F0牛魔将军0	地图:H010	X:341	Y:186 
[2024/8/21 4:0:29] 物品:太阳水	怪物:2C9B91F0牛魔将军0	地图:H010	X:341	Y:186 
[2024/8/21 4:0:29] 物品:太阳水	怪物:2C9B91F0牛魔将军0	地图:H010	X:341	Y:186 
[2024/8/21 4:0:29] 物品:太阳水	怪物:2C9B91F0牛魔将军0	地图:H010	X:341	Y:186 
[2024/8/21 4:0:31] 物品:道士手镯	怪物:25BD72C0牛魔法师8	地图:H010	X:340	Y:186 
[2024/8/21 4:0:32] 物品:斩马刀	怪物:26673B20祖玛卫士83	地图:H008	X:9	Y:62 
[2024/8/21 4:0:40] 物品:蓝翡翠项链	怪物:25BEEBF0牛魔法师8	地图:H010	X:346	Y:187 
[2024/8/21 4:0:43] 物品:黑檀手镯	怪物:2902A7B0祖玛卫士8	地图:H204	X:42	Y:44 
[2024/8/21 4:0:43] 物品:蛇眼戒指	怪物:2902A7B0祖玛卫士8	地图:H204	X:42	Y:44 
[2024/8/21 4:0:44] 物品:金手镯	怪物:2BD33700祖玛雕像8	地图:H204	X:33	Y:80 
[2024/8/21 4:0:44] 物品:强效太阳水	怪物:2AC7A730牛魔祭司8	地图:H010	X:346	Y:183 
[2024/8/21 4:0:44] 物品:强效太阳水	怪物:2AC7A730牛魔祭司8	地图:H010	X:346	Y:183 
[2024/8/21 4:0:44] 物品:白金项链	怪物:2AC7A730牛魔祭司8	地图:H010	X:346	Y:183 
[2024/8/21 4:0:47] 物品:强效太阳水	怪物:25D9DAB0虹魔猪卫80	地图:H008	X:8	Y:60 
[2024/8/21 4:0:47] 物品:太阳水	怪物:25D9DAB0虹魔猪卫80	地图:H008	X:8	Y:60 
[2024/8/21 4:0:47] 物品:太阳水	怪物:25D9DAB0虹魔猪卫80	地图:H008	X:8	Y:60 
[2024/8/21 4:0:47] 物品:求婚戒指	怪物:25D9DAB0虹魔猪卫80	地图:H008	X:8	Y:60 
[2024/8/21 4:0:47] 物品:黑色水晶戒指	怪物:25D9DAB0虹魔猪卫80	地图:H008	X:8	Y:60 
[2024/8/21 4:0:54] 物品:半月	怪物:23448CE0祖玛卫士8	地图:H204	X:42	Y:39 
[2024/8/21 4:0:56] 物品:强效太阳水	怪物:2B60D990牛魔将军8	地图:H010	X:348	Y:177 
[2024/8/21 4:0:56] 物品:MP强化药水	怪物:2B60D990牛魔将军8	地图:H010	X:348	Y:177 
[2024/8/21 4:0:56] 物品:小手镯	怪物:2B60D990牛魔将军8	地图:H010	X:348	Y:177 
[2024/8/21 4:1:2] 物品:魔法药(中量)	怪物:23D08450祖玛弓箭手8	地图:H204	X:36	Y:37 
[2024/8/21 4:1:4] 物品:斩马刀	怪物:24B46230祖玛卫士8	地图:H204	X:38	Y:36 
[2024/8/21 4:1:4] 物品:修罗	怪物:24B46230祖玛卫士8	地图:H204	X:38	Y:36 
[2024/8/21 4:1:6] 物品:灵魂战衣(女)	怪物:2A9FDA00牛魔侍卫8	地图:H010	X:356	Y:172 
[2024/8/21 4:1:13] 物品:太阳水	怪物:254F4D80牛魔将军8	地图:H010	X:356	Y:172 
[2024/8/21 4:1:13] 物品:强效金创药	怪物:254F4D80牛魔将军8	地图:H010	X:356	Y:172 
[2024/8/21 4:1:13] 物品:黑檀手镯	怪物:254F4D80牛魔将军8	地图:H010	X:356	Y:172 
[2024/8/21 4:1:15] 物品:金戒指	怪物:25B19610跳跳蜂8	地图:H004	X:99	Y:112 
[2024/8/21 4:1:16] 物品:强效太阳水	怪物:257BFD40牛魔祭司0	地图:H010	X:356	Y:171 
[2024/8/21 4:1:16] 物品:太阳水	怪物:257BFD40牛魔祭司0	地图:H010	X:356	Y:171 
[2024/8/21 4:1:16] 物品:太阳水	怪物:257BFD40牛魔祭司0	地图:H010	X:356	Y:171 
[2024/8/21 4:1:17] 物品:斩马刀	怪物:165E5D90祖玛雕像8	地图:H204	X:28	Y:29 
[2024/8/21 4:1:20] 物品:强效魔法药	怪物:12013370祖玛弓箭手83	地图:H008	X:21	Y:64 
[2024/8/21 4:1:20] 物品:竹笛	怪物:12013370祖玛弓箭手83	地图:H008	X:21	Y:64 
[2024/8/21 4:1:20] 物品:魔法手镯	怪物:12013370祖玛弓箭手83	地图:H008	X:21	Y:64 
[2024/8/21 4:1:20] 物品:强效魔法药	怪物:24563010祖玛卫士8	地图:H204	X:70	Y:73 
[2024/8/21 4:1:20] 物品:海魂	怪物:24563010祖玛卫士8	地图:H204	X:70	Y:73 
[2024/8/21 4:1:21] 物品:重盔甲(男)	怪物:2BBA42A0牛魔法师8	地图:H010	X:356	Y:172 
[2024/8/21 4:1:21] 物品:重盔甲(女)	怪物:2BBA42A0牛魔法师8	地图:H010	X:356	Y:172 
[2024/8/21 4:1:21] 物品:灵魂战衣(女)	怪物:2BBA42A0牛魔法师8	地图:H010	X:356	Y:172 
[2024/8/21 4:1:21] 物品:魅力戒指	怪物:25F3EE90牛魔法师8	地图:H010	X:356	Y:173 
[2024/8/21 4:1:29] 物品:魔法药(中量)	怪物:24944BD0祖玛卫士8	地图:H204	X:70	Y:73 
[2024/8/21 4:1:29] 物品:放大镜	怪物:24944BD0祖玛卫士8	地图:H204	X:70	Y:73 
[2024/8/21 4:1:29] 物品:黑檀手镯	怪物:24944BD0祖玛卫士8	地图:H204	X:70	Y:73 
[2024/8/21 4:1:31] 物品:强效太阳水	怪物:254C7150牛魔将军8	地图:H010	X:359	Y:167 
[2024/8/21 4:1:31] 物品:蛇眼戒指	怪物:254C7150牛魔将军8	地图:H010	X:359	Y:167 
[2024/8/21 4:1:31] 物品:降妖除魔戒指	怪物:254C7150牛魔将军8	地图:H010	X:359	Y:167 
[2024/8/21 4:1:32] 物品:灵魂战衣(女)	怪物:25A1AF30祖玛弓箭手83	地图:H008	X:20	Y:57 
[2024/8/21 4:1:32] 物品:竹笛	怪物:25A1AF30祖玛弓箭手83	地图:H008	X:20	Y:57 
[2024/8/21 4:1:34] 物品:道德戒指	怪物:2AE83010牛魔法师8	地图:H010	X:357	Y:167 
[2024/8/21 4:1:34] 物品:魅力戒指	怪物:2AE83010牛魔法师8	地图:H010	X:357	Y:167 
[2024/8/21 4:1:38] 物品:生铁戒指	怪物:24ABF950祖玛弓箭手8	地图:H204	X:48	Y:12 
[2024/8/21 4:1:42] 物品:灵魂战衣(女)	怪物:2ABEDD60牛魔法师8	地图:H010	X:359	Y:167 
[2024/8/21 4:1:42] 物品:道士手镯	怪物:2ADE3D00牛魔法师8	地图:H010	X:358	Y:167 
[2024/8/21 4:1:42] 物品:降魔	怪物:2ADE3D00牛魔法师8	地图:H010	X:358	Y:167 
[2024/8/21 4:1:45] 物品:太阳水	怪物:15575500祖玛弓箭手8	地图:H204	X:57	Y:55 
[2024/8/21 4:1:48] 物品:强效金创药	怪物:239B80B0祖玛弓箭手8	地图:H204	X:61	Y:19 
[2024/8/21 4:1:48] 物品:强效太阳水	怪物:239B80B0祖玛弓箭手8	地图:H204	X:61	Y:19 
[2024/8/21 4:1:48] 物品:蓝翡翠项链	怪物:239B80B0祖玛弓箭手8	地图:H204	X:61	Y:19 
[2024/8/21 4:1:48] 物品:凤凰明珠	怪物:25638D50祖玛弓箭手8	地图:H204	X:60	Y:17 
[2024/8/21 4:1:50] 物品:魔法手镯	怪物:24839F70祖玛弓箭手8	地图:H204	X:57	Y:51 
[2024/8/21 4:1:50] 物品:强效魔法药	怪物:2CA18FA0牛魔将军8	地图:H010	X:354	Y:163 
[2024/8/21 4:1:50] 物品:道士头盔	怪物:2CA18FA0牛魔将军8	地图:H010	X:354	Y:163 
[2024/8/21 4:1:53] 物品:强效太阳水	怪物:2ACBA5E0牛魔祭司8	地图:H010	X:354	Y:162 
[2024/8/21 4:1:53] 物品:灵魂战衣(男)	怪物:2ACBA5E0牛魔祭司8	地图:H010	X:354	Y:162 
[2024/8/21 4:1:57] 物品:强效太阳水	怪物:257228F0虹魔蝎卫80	地图:H008	X:13	Y:60 
[2024/8/21 4:1:57] 物品:强效太阳水	怪物:257228F0虹魔蝎卫80	地图:H008	X:13	Y:60 
[2024/8/21 4:1:57] 物品:强效太阳水	怪物:257228F0虹魔蝎卫80	地图:H008	X:13	Y:60 
[2024/8/21 4:1:57] 物品:强效太阳水	怪物:257228F0虹魔蝎卫80	地图:H008	X:13	Y:60 
[2024/8/21 4:1:57] 物品:强效太阳水	怪物:257228F0虹魔蝎卫80	地图:H008	X:13	Y:60 
[2024/8/21 4:1:57] 物品:炼狱	怪物:257228F0虹魔蝎卫80	地图:H008	X:13	Y:60 
[2024/8/21 4:1:57] 物品:斩马刀	怪物:257228F0虹魔蝎卫80	地图:H008	X:13	Y:60 
[2024/8/21 4:1:58] 物品:强效魔法药	怪物:2C944990牛魔将军8	地图:H010	X:354	Y:161 
[2024/8/21 4:1:58] 物品:强效金创药	怪物:2C944990牛魔将军8	地图:H010	X:354	Y:161 
[2024/8/21 4:1:58] 物品:魔法力药水	怪物:2C944990牛魔将军8	地图:H010	X:354	Y:161 
[2024/8/21 4:1:59] 物品:魔法药(中量)	怪物:25C9CF50祖玛弓箭手8	地图:H204	X:68	Y:28 
[2024/8/21 4:2:3] 物品:魔法长袍(女)	怪物:25A4B640牛魔侍卫8	地图:H010	X:352	Y:162 
[2024/8/21 4:2:3] 物品:金手镯	怪物:25A4B640牛魔侍卫8	地图:H010	X:352	Y:162 
[2024/8/21 4:2:3] 物品:金戒指	怪物:2BD30AA0牛魔法师8	地图:H010	X:353	Y:161 
[2024/8/21 4:2:3] 物品:生铁戒指	怪物:2BD30AA0牛魔法师8	地图:H010	X:353	Y:161 
[2024/8/21 4:2:3] 物品:白色虎齿项链	怪物:2BD30AA0牛魔法师8	地图:H010	X:353	Y:161 
[2024/8/21 4:2:4] 物品:灵魂战衣(男)	怪物:24973CB0祖玛卫士8	地图:H204	X:61	Y:39 
[2024/8/21 4:2:7] 物品:魔法药(中量)	怪物:23223890祖玛弓箭手83	地图:H008	X:21	Y:53 
[2024/8/21 4:2:7] 物品:灵魂战衣(男)	怪物:23223890祖玛弓箭手83	地图:H008	X:21	Y:53 
[2024/8/21 4:2:11] 物品:灵魂战衣(女)	怪物:2B5E7EE0牛魔侍卫8	地图:H010	X:360	Y:159 
[2024/8/21 4:2:11] 物品:金手镯	怪物:2B5E7EE0牛魔侍卫8	地图:H010	X:360	Y:159 
[2024/8/21 4:2:11] 物品:生铁戒指	怪物:2B5E7EE0牛魔侍卫8	地图:H010	X:360	Y:159 
[2024/8/21 4:2:18] 物品:太阳水	怪物:25D1B860黑色恶蛆8	地图:H004	X:125	Y:114 
[2024/8/21 4:2:20] 物品:强效太阳水	怪物:2B6330A0牛魔将军8	地图:H010	X:354	Y:156 
[2024/8/21 4:2:20] 物品:强效金创药	怪物:2B6330A0牛魔将军8	地图:H010	X:354	Y:156 
[2024/8/21 4:2:20] 物品:泰坦戒指	怪物:2B6330A0牛魔将军8	地图:H010	X:354	Y:156 
[2024/8/21 4:2:20] 物品:铂金戒指	怪物:2B6330A0牛魔将军8	地图:H010	X:354	Y:156 
[2024/8/21 4:2:24] 物品:白色虎齿项链	怪物:2C93DAA0牛魔侍卫8	地图:H010	X:355	Y:155 
[2024/8/21 4:2:27] 物品:魔法长袍(女)	怪物:2AB683C0牛魔侍卫8	地图:H010	X:356	Y:156 
[2024/8/21 4:2:28] 物品:强效太阳水	怪物:25F5AA50虹魔猪卫80	地图:H008	X:13	Y:61 
[2024/8/21 4:2:28] 物品:强效太阳水	怪物:25F5AA50虹魔猪卫80	地图:H008	X:13	Y:61 
[2024/8/21 4:2:28] 物品:强效太阳水	怪物:25F5AA50虹魔猪卫80	地图:H008	X:13	Y:61 
[2024/8/21 4:2:28] 物品:强效太阳水	怪物:25F5AA50虹魔猪卫80	地图:H008	X:13	Y:61 
[2024/8/21 4:2:28] 物品:太阳水	怪物:25F5AA50虹魔猪卫80	地图:H008	X:13	Y:61 
[2024/8/21 4:2:28] 物品:太阳水	怪物:25F5AA50虹魔猪卫80	地图:H008	X:13	Y:61 
[2024/8/21 4:2:28] 物品:太阳水	怪物:25F5AA50虹魔猪卫80	地图:H008	X:13	Y:61 
[2024/8/21 4:2:28] 物品:太阳水	怪物:25F5AA50虹魔猪卫80	地图:H008	X:13	Y:61 
[2024/8/21 4:2:28] 物品:求婚戒指	怪物:25F5AA50虹魔猪卫80	地图:H008	X:13	Y:61 
[2024/8/21 4:2:28] 物品:辟邪手镯	怪物:25F5AA50虹魔猪卫80	地图:H008	X:13	Y:61 
[2024/8/21 4:2:29] 物品:太阳水	怪物:2CAE7130黑色恶蛆8	地图:H004	X:59	Y:83 
[2024/8/21 4:2:31] 物品:太阳水	怪物:26B8B6B0祖玛卫士8	地图:H204	X:85	Y:45 
[2024/8/21 4:2:31] 物品:灵魂战衣(女)	怪物:26B8B6B0祖玛卫士8	地图:H204	X:85	Y:45 
[2024/8/21 4:2:37] 物品:强效太阳水	怪物:25A74050牛魔将军0	地图:H010	X:357	Y:151 
[2024/8/21 4:2:37] 物品:太阳水	怪物:25A74050牛魔将军0	地图:H010	X:357	Y:151 
[2024/8/21 4:2:37] 物品:死神手套	怪物:25A74050牛魔将军0	地图:H010	X:357	Y:151 
[2024/8/21 4:2:38] 物品:太阳水	怪物:246181B0黑色恶蛆8	地图:H004	X:66	Y:93 
[2024/8/21 4:2:40] 物品:金创药(中量)	怪物:1F22B7C0祖玛卫士8	地图:H204	X:94	Y:53 
[2024/8/21 4:2:41] 物品:蓝色水晶戒指	怪物:2493AE20祖玛卫士8	地图:H204	X:92	Y:53 
[2024/8/21 4:2:41] 物品:强效魔法药	怪物:2B621030牛魔将军8	地图:H010	X:356	Y:151 
[2024/8/21 4:2:41] 物品:珊瑚戒指	怪物:2B621030牛魔将军8	地图:H010	X:356	Y:151 
[2024/8/21 4:2:45] 物品:魔法药(中量)	怪物:23BC8450祖玛弓箭手8	地图:H204	X:85	Y:63 
[2024/8/21 4:2:48] 物品:黑色水晶戒指	怪物:17680700祖玛卫士8	地图:H204	X:84	Y:62 
[2024/8/21 4:2:50] 物品:强效魔法药	怪物:25530610牛魔将军8	地图:H010	X:362	Y:149 
[2024/8/21 4:2:50] 物品:偃月	怪物:25530610牛魔将军8	地图:H010	X:362	Y:149 
[2024/8/21 4:2:54] 物品:魔法长袍(男)	怪物:2A9E60D0牛魔侍卫8	地图:H010	X:362	Y:148 
[2024/8/21 4:2:55] 物品:灯笼项链	怪物:1524C330祖玛卫士8	地图:H204	X:81	Y:76 
[2024/8/21 4:2:59] 物品:强效太阳水	怪物:2BDC40B0牛魔祭司8	地图:H010	X:361	Y:147 
[2024/8/21 4:2:59] 物品:道士手镯	怪物:2BDC40B0牛魔祭司8	地图:H010	X:361	Y:147 
[2024/8/21 4:2:59] 物品:蛇眼戒指	怪物:2BDC40B0牛魔祭司8	地图:H010	X:361	Y:147 
[2024/8/21 4:3:1] 物品:蓝翡翠项链	怪物:25984E40牛魔法师8	地图:H010	X:361	Y:147 
[2024/8/21 4:3:9] 物品:灵魂战衣(男)	怪物:2AB5BC10牛魔法师8	地图:H010	X:366	Y:147 
[2024/8/21 4:3:9] 物品:魔法长袍(男)	怪物:2AB5BC10牛魔法师8	地图:H010	X:366	Y:147 
[2024/8/21 4:3:12] 物品:白色虎齿项链	怪物:2AB0C040牛魔法师8	地图:H010	X:367	Y:147 
[2024/8/21 4:3:20] 物品:强效太阳水	怪物:23596E50虹魔蝎卫80	地图:H008	X:14	Y:54 
[2024/8/21 4:3:20] 物品:强效太阳水	怪物:23596E50虹魔蝎卫80	地图:H008	X:14	Y:54 
[2024/8/21 4:3:20] 物品:强效太阳水	怪物:23596E50虹魔蝎卫80	地图:H008	X:14	Y:54 
[2024/8/21 4:3:20] 物品:强效太阳水	怪物:23596E50虹魔蝎卫80	地图:H008	X:14	Y:54 
[2024/8/21 4:3:20] 物品:强效太阳水	怪物:23596E50虹魔蝎卫80	地图:H008	X:14	Y:54 
[2024/8/21 4:3:20] 物品:强效太阳水	怪物:23596E50虹魔蝎卫80	地图:H008	X:14	Y:54 
[2024/8/21 4:3:20] 物品:灯笼项链	怪物:23596E50虹魔蝎卫80	地图:H008	X:14	Y:54 
[2024/8/21 4:3:20] 物品:珊瑚戒指	怪物:23596E50虹魔蝎卫80	地图:H008	X:14	Y:54 
[2024/8/21 4:3:31] 物品:道士手镯	怪物:25DA0710牛魔侍卫8	地图:H010	X:370	Y:144 
[2024/8/21 4:3:31] 物品:生铁戒指	怪物:25DA0710牛魔侍卫8	地图:H010	X:370	Y:144 
[2024/8/21 4:3:45] 物品:强效太阳水	怪物:25E4FA90牛魔将军8	地图:H010	X:368	Y:137 
[2024/8/21 4:3:45] 物品:太阳水	怪物:25E4FA90牛魔将军8	地图:H010	X:368	Y:137 
[2024/8/21 4:3:47] 物品:金手镯	怪物:23452530祖玛卫士8	地图:H204	X:35	Y:63 
[2024/8/21 4:3:47] 物品:魅力戒指	怪物:23452530祖玛卫士8	地图:H204	X:35	Y:63 
[2024/8/21 4:3:54] 物品:蓝翡翠项链	怪物:25F24900牛魔法师8	地图:H010	X:362	Y:134 
[2024/8/21 4:3:58] 物品:强效太阳水	怪物:2C9E2A10牛魔祭司0	地图:H010	X:363	Y:133 
[2024/8/21 4:3:58] 物品:强效太阳水	怪物:2C9E2A10牛魔祭司0	地图:H010	X:363	Y:133 
[2024/8/21 4:3:58] 物品:铂金戒指	怪物:2C9E2A10牛魔祭司0	地图:H010	X:363	Y:133 
[2024/8/21 4:3:58] 物品:白金项链	怪物:2C9E2A10牛魔祭司0	地图:H010	X:363	Y:133 
[2024/8/21 4:3:58] 物品:金戒指	怪物:2C9E2A10牛魔祭司0	地图:H010	X:363	Y:133 
[2024/8/21 4:4:8] 物品:魔法力药水	怪物:252CAA50钢牙蜘蛛8	地图:H009	X:274	Y:152 
[2024/8/21 4:4:8] 物品:太阳水	怪物:252CAA50钢牙蜘蛛8	地图:H009	X:274	Y:152 
[2024/8/21 4:4:8] 物品:强效金创药	怪物:252CAA50钢牙蜘蛛8	地图:H009	X:274	Y:152 
[2024/8/21 4:4:8] 物品:强效魔法药	怪物:252CAA50钢牙蜘蛛8	地图:H009	X:274	Y:152 
[2024/8/21 4:4:8] 物品:海魂	怪物:252CAA50钢牙蜘蛛8	地图:H009	X:274	Y:152 
[2024/8/21 4:4:10] 物品:半月	怪物:2A9E7700祖玛卫士8	地图:H204	X:76	Y:26 
[2024/8/21 4:4:12] 物品:强效金创药	怪物:2BDDFC70牛魔将军8	地图:H010	X:358	Y:129 
[2024/8/21 4:4:19] 物品:魅力戒指	怪物:2AD3A140牛魔法师8	地图:H010	X:358	Y:127 
[2024/8/21 4:4:20] 物品:道德戒指	怪物:2AADE3F0祖玛弓箭手8	地图:H204	X:82	Y:24 
[2024/8/21 4:4:20] 物品:太阳水	怪物:2510B960花吻蜘蛛8	地图:H009	X:271	Y:152 
[2024/8/21 4:4:20] 物品:强效金创药	怪物:2510B960花吻蜘蛛8	地图:H009	X:271	Y:152 
[2024/8/21 4:4:20] 物品:强效魔法药	怪物:2510B960花吻蜘蛛8	地图:H009	X:271	Y:152 
[2024/8/21 4:4:20] 物品:坚固手套	怪物:2510B960花吻蜘蛛8	地图:H009	X:271	Y:152 
[2024/8/21 4:4:20] 物品:修罗	怪物:25E04DF0牛魔将军8	地图:H010	X:358	Y:129 
[2024/8/21 4:4:20] 物品:蓝翡翠项链	怪物:25E04DF0牛魔将军8	地图:H010	X:358	Y:129 
[2024/8/21 4:4:23] 物品:重盔甲(女)	怪物:2C8FBBE0牛魔法师8	地图:H010	X:360	Y:128 
[2024/8/21 4:4:23] 物品:强效太阳水	怪物:257C9890牛魔祭司0	地图:H010	X:360	Y:127 
[2024/8/21 4:4:23] 物品:太阳水	怪物:257C9890牛魔祭司0	地图:H010	X:360	Y:127 
[2024/8/21 4:4:23] 物品:太阳水	怪物:257C9890牛魔祭司0	地图:H010	X:360	Y:127 
[2024/8/21 4:4:30] 物品:强效太阳水	怪物:257AA450牛魔祭司0	地图:H010	X:362	Y:125 
[2024/8/21 4:4:30] 物品:强效太阳水	怪物:257AA450牛魔祭司0	地图:H010	X:362	Y:125 
[2024/8/21 4:4:30] 物品:强效太阳水	怪物:257AA450牛魔祭司0	地图:H010	X:362	Y:125 
[2024/8/21 4:4:30] 物品:强效太阳水	怪物:257AA450牛魔祭司0	地图:H010	X:362	Y:125 
[2024/8/21 4:4:32] 物品:金创药(中量)	怪物:2AA82B00天狼蜘蛛8	地图:H009	X:175	Y:19 
[2024/8/21 4:4:32] 物品:魔法药(中量)	怪物:2AA82B00天狼蜘蛛8	地图:H009	X:175	Y:19 
[2024/8/21 4:4:33] 物品:金手镯	怪物:25CD4B10牛魔法师8	地图:H010	X:361	Y:124 
[2024/8/21 4:4:33] 物品:白色虎齿项链	怪物:25CD4B10牛魔法师8	地图:H010	X:361	Y:124 
[2024/8/21 4:4:39] 物品:生铁戒指	怪物:2CB2BCB0牛魔侍卫8	地图:H010	X:361	Y:122 
[2024/8/21 4:4:42] 物品:魅力戒指	怪物:23572B60牛魔侍卫8	地图:H010	X:363	Y:122 
[2024/8/21 4:4:44] 物品:金创药(中量)	怪物:2AA7AFF0天狼蜘蛛8	地图:H009	X:215	Y:18 
[2024/8/21 4:4:44] 物品:魔法药(中量)	怪物:2AA7AFF0天狼蜘蛛8	地图:H009	X:215	Y:18 
[2024/8/21 4:4:44] 物品:魔鬼项链	怪物:2AA7AFF0天狼蜘蛛8	地图:H009	X:215	Y:18 
[2024/8/21 4:4:48] 物品:强效太阳水	怪物:2461AE10牛魔将军0	地图:H010	X:362	Y:119 
[2024/8/21 4:4:48] 物品:强效太阳水	怪物:2461AE10牛魔将军0	地图:H010	X:362	Y:119 
[2024/8/21 4:4:48] 物品:太阳水	怪物:2461AE10牛魔将军0	地图:H010	X:362	Y:119 
[2024/8/21 4:4:48] 物品:太阳水	怪物:2461AE10牛魔将军0	地图:H010	X:362	Y:119 
[2024/8/21 4:4:48] 物品:太阳水	怪物:2461AE10牛魔将军0	地图:H010	X:362	Y:119 
[2024/8/21 4:4:48] 物品:太阳水	怪物:2461AE10牛魔将军0	地图:H010	X:362	Y:119 
[2024/8/21 4:4:48] 物品:竹笛	怪物:2461AE10牛魔将军0	地图:H010	X:362	Y:119 
[2024/8/21 4:4:48] 物品:道士手镯	怪物:2461AE10牛魔将军0	地图:H010	X:362	Y:119 
[2024/8/21 4:4:50] 物品:太阳水	怪物:2513AA40花吻蜘蛛8	地图:H009	X:177	Y:21 
[2024/8/21 4:4:50] 物品:强效金创药	怪物:2513AA40花吻蜘蛛8	地图:H009	X:177	Y:21 
[2024/8/21 4:4:50] 物品:强效魔法药	怪物:2513AA40花吻蜘蛛8	地图:H009	X:177	Y:21 
[2024/8/21 4:4:56] 物品:强效太阳水	怪物:25C7D280牛魔祭司8	地图:H010	X:354	Y:121 
[2024/8/21 4:5:2] 物品:魔法长袍(男)	怪物:25740F90牛魔侍卫8	地图:H010	X:354	Y:122 
[2024/8/21 4:5:8] 物品:强效太阳水	怪物:2BDAC900牛魔祭司8	地图:H010	X:354	Y:121 
[2024/8/21 4:5:8] 物品:疾风药水	怪物:2BDAC900牛魔祭司8	地图:H010	X:354	Y:121 
[2024/8/21 4:5:10] 物品:黑檀手镯	怪物:25F1DA10牛魔法师8	地图:H010	X:354	Y:122 
[2024/8/21 4:5:11] 物品:降魔	怪物:2C8A5B30牛魔法师8	地图:H010	X:352	Y:122 
[2024/8/21 4:5:12] 物品:太阳水	怪物:25250170花吻蜘蛛8	地图:H009	X:186	Y:21 
[2024/8/21 4:5:12] 物品:强效金创药	怪物:25250170花吻蜘蛛8	地图:H009	X:186	Y:21 
[2024/8/21 4:5:12] 物品:强效魔法药	怪物:25250170花吻蜘蛛8	地图:H009	X:186	Y:21 
[2024/8/21 4:5:12] 物品:疗伤药	怪物:25250170花吻蜘蛛8	地图:H009	X:186	Y:21 
[2024/8/21 4:5:12] 物品:黑色水晶戒指	怪物:25250170花吻蜘蛛8	地图:H009	X:186	Y:21 
[2024/8/21 4:5:17] 物品:白色虎齿项链	怪物:2B5ADB00牛魔侍卫8	地图:H010	X:350	Y:121 
