[2024/8/17 22:0:1] 物品:魔法药(小量)	怪物:057E6C60僵尸5	地图:H201	X:112	Y:17 
[2024/8/17 22:0:30] 物品:太阳水	怪物:19266820触龙神8	地图:H004	X:62	Y:154 
[2024/8/17 22:0:30] 物品:太阳水	怪物:19266820触龙神8	地图:H004	X:62	Y:154 
[2024/8/17 22:0:30] 物品:太阳水	怪物:19266820触龙神8	地图:H004	X:62	Y:154 
[2024/8/17 22:0:30] 物品:强效金创药	怪物:19266820触龙神8	地图:H004	X:62	Y:154 
[2024/8/17 22:0:30] 物品:强效金创药	怪物:19266820触龙神8	地图:H004	X:62	Y:154 
[2024/8/17 22:0:30] 物品:强效金创药	怪物:19266820触龙神8	地图:H004	X:62	Y:154 
[2024/8/17 22:0:30] 物品:强效金创药	怪物:19266820触龙神8	地图:H004	X:62	Y:154 
[2024/8/17 22:0:30] 物品:强效金创药	怪物:19266820触龙神8	地图:H004	X:62	Y:154 
[2024/8/17 22:0:30] 物品:强效金创药	怪物:19266820触龙神8	地图:H004	X:62	Y:154 
[2024/8/17 22:0:30] 物品:强效金创药	怪物:19266820触龙神8	地图:H004	X:62	Y:154 
[2024/8/17 22:0:30] 物品:强效金创药	怪物:19266820触龙神8	地图:H004	X:62	Y:154 
[2024/8/17 22:0:30] 物品:强效金创药	怪物:19266820触龙神8	地图:H004	X:62	Y:154 
[2024/8/17 22:0:30] 物品:强效金创药	怪物:19266820触龙神8	地图:H004	X:62	Y:154 
[2024/8/17 22:0:30] 物品:强效魔法药	怪物:19266820触龙神8	地图:H004	X:62	Y:154 
[2024/8/17 22:0:30] 物品:强效魔法药	怪物:19266820触龙神8	地图:H004	X:62	Y:154 
[2024/8/17 22:0:30] 物品:强效魔法药	怪物:19266820触龙神8	地图:H004	X:62	Y:154 
[2024/8/17 22:0:30] 物品:强效魔法药	怪物:19266820触龙神8	地图:H004	X:62	Y:154 
[2024/8/17 22:0:30] 物品:强效魔法药	怪物:19266820触龙神8	地图:H004	X:62	Y:154 
[2024/8/17 22:0:30] 物品:强效魔法药	怪物:19266820触龙神8	地图:H004	X:62	Y:154 
[2024/8/17 22:0:30] 物品:强效魔法药	怪物:19266820触龙神8	地图:H004	X:62	Y:154 
[2024/8/17 22:0:30] 物品:强效魔法药	怪物:19266820触龙神8	地图:H004	X:62	Y:154 
[2024/8/17 22:0:30] 物品:强效魔法药	怪物:19266820触龙神8	地图:H004	X:62	Y:154 
[2024/8/17 22:0:30] 物品:强效魔法药	怪物:19266820触龙神8	地图:H004	X:62	Y:154 
[2024/8/17 22:0:30] 物品:骷髅戒指	怪物:19266820触龙神8	地图:H004	X:62	Y:154 
[2024/8/17 22:0:34] 物品:金创药(小量)	怪物:27F89790僵尸5	地图:H201	X:95	Y:18 
[2024/8/17 22:0:37] 物品:道士头盔	怪物:2863F070红野猪8	地图:H002	X:210	Y:303 
[2024/8/17 22:0:38] 物品:鹿皮靴	怪物:2F691430魔龙刀兵	地图:65	X:215	Y:91 
[2024/8/17 22:0:45] 物品:精神力药水	怪物:309E2B40僵尸4	地图:H201	X:96	Y:20 
[2024/8/17 22:0:46] 物品:强效金创药	怪物:1B9570B0魔龙破甲兵	地图:66	X:201	Y:45 
[2024/8/17 22:0:49] 物品:金创药(小量)	怪物:2823CC80僵尸4	地图:H201	X:96	Y:19 
[2024/8/17 22:0:53] 物品:强效太阳水	怪物:27FE7AD0尸王8	地图:H201	X:96	Y:18 
[2024/8/17 22:0:53] 物品:强效太阳水	怪物:27FE7AD0尸王8	地图:H201	X:96	Y:18 
[2024/8/17 22:0:53] 物品:强效太阳水	怪物:27FE7AD0尸王8	地图:H201	X:96	Y:18 
[2024/8/17 22:0:53] 物品:强效太阳水	怪物:27FE7AD0尸王8	地图:H201	X:96	Y:18 
[2024/8/17 22:0:53] 物品:强效太阳水	怪物:27FE7AD0尸王8	地图:H201	X:96	Y:18 
[2024/8/17 22:0:53] 物品:强效金创药	怪物:27FE7AD0尸王8	地图:H201	X:96	Y:18 
[2024/8/17 22:0:53] 物品:强效金创药	怪物:27FE7AD0尸王8	地图:H201	X:96	Y:18 
[2024/8/17 22:0:53] 物品:强效魔法药	怪物:27FE7AD0尸王8	地图:H201	X:96	Y:18 
[2024/8/17 22:0:53] 物品:强效魔法药	怪物:27FE7AD0尸王8	地图:H201	X:96	Y:18 
[2024/8/17 22:0:53] 物品:珍珠戒指	怪物:27FE7AD0尸王8	地图:H201	X:96	Y:18 
[2024/8/17 22:0:53] 物品:凝霜	怪物:27FE7AD0尸王8	地图:H201	X:96	Y:18 
[2024/8/17 22:0:53] 物品:蓝翡翠项链	怪物:27FE7AD0尸王8	地图:H201	X:96	Y:18 
[2024/8/17 22:0:53] 物品:黑檀手镯	怪物:27FE7AD0尸王8	地图:H201	X:96	Y:18 
[2024/8/17 22:0:53] 物品:魔力手镯	怪物:27FE7AD0尸王8	地图:H201	X:96	Y:18 
[2024/8/17 22:0:53] 物品:地狱雷光	怪物:27FE7AD0尸王8	地图:H201	X:96	Y:18 
[2024/8/17 22:0:58] 物品:强效金创药	怪物:2DF8A730魔龙射手	地图:66	X:194	Y:37 
[2024/8/17 22:1:0] 物品:金创药(小量)	怪物:2A6A0BE0僵尸4	地图:H201	X:96	Y:19 
[2024/8/17 22:1:3] 物品:太阳水	怪物:190FBD60黑野猪8	地图:H002	X:130	Y:264 
[2024/8/17 22:1:8] 物品:强效太阳水	怪物:1BD0A4C0尸王8	地图:H201	X:97	Y:20 
[2024/8/17 22:1:8] 物品:强效太阳水	怪物:1BD0A4C0尸王8	地图:H201	X:97	Y:20 
[2024/8/17 22:1:8] 物品:强效太阳水	怪物:1BD0A4C0尸王8	地图:H201	X:97	Y:20 
[2024/8/17 22:1:8] 物品:强效太阳水	怪物:1BD0A4C0尸王8	地图:H201	X:97	Y:20 
[2024/8/17 22:1:8] 物品:强效太阳水	怪物:1BD0A4C0尸王8	地图:H201	X:97	Y:20 
[2024/8/17 22:1:8] 物品:强效金创药	怪物:1BD0A4C0尸王8	地图:H201	X:97	Y:20 
[2024/8/17 22:1:8] 物品:强效金创药	怪物:1BD0A4C0尸王8	地图:H201	X:97	Y:20 
[2024/8/17 22:1:8] 物品:强效魔法药	怪物:1BD0A4C0尸王8	地图:H201	X:97	Y:20 
[2024/8/17 22:1:8] 物品:强效魔法药	怪物:1BD0A4C0尸王8	地图:H201	X:97	Y:20 
[2024/8/17 22:1:8] 物品:黑色水晶戒指	怪物:1BD0A4C0尸王8	地图:H201	X:97	Y:20 
[2024/8/17 22:1:8] 物品:魅力戒指	怪物:1BD0A4C0尸王8	地图:H201	X:97	Y:20 
[2024/8/17 22:1:8] 物品:魔力手镯	怪物:1BD0A4C0尸王8	地图:H201	X:97	Y:20 
[2024/8/17 22:1:10] 物品:魔法药(小量)	怪物:2A6A0BE0僵尸4	地图:H201	X:97	Y:18 
[2024/8/17 22:1:16] 物品:强效金创药	怪物:2DA0C2E0魔龙射手1	地图:65	X:217	Y:94 
[2024/8/17 22:1:16] 物品:强效魔法药	怪物:2DA0C2E0魔龙射手1	地图:65	X:217	Y:94 
[2024/8/17 22:1:16] 物品:鹿皮靴	怪物:2DA0C2E0魔龙射手1	地图:65	X:217	Y:94 
[2024/8/17 22:1:16] 物品:竹笛	怪物:2DA0C2E0魔龙射手1	地图:65	X:217	Y:94 
[2024/8/17 22:1:16] 物品:降妖除魔戒指	怪物:2DA0C2E0魔龙射手1	地图:65	X:217	Y:94 
[2024/8/17 22:1:20] 物品:集体隐身术	怪物:1891B4F0恶灵尸王	地图:H201	X:94	Y:25 
[2024/8/17 22:1:27] 物品:强效太阳水	怪物:195A5F40尸王8	地图:H201	X:93	Y:25 
[2024/8/17 22:1:27] 物品:强效太阳水	怪物:195A5F40尸王8	地图:H201	X:93	Y:25 
[2024/8/17 22:1:27] 物品:强效太阳水	怪物:195A5F40尸王8	地图:H201	X:93	Y:25 
[2024/8/17 22:1:27] 物品:强效太阳水	怪物:195A5F40尸王8	地图:H201	X:93	Y:25 
[2024/8/17 22:1:27] 物品:强效太阳水	怪物:195A5F40尸王8	地图:H201	X:93	Y:25 
[2024/8/17 22:1:27] 物品:强效金创药	怪物:195A5F40尸王8	地图:H201	X:93	Y:25 
[2024/8/17 22:1:27] 物品:强效金创药	怪物:195A5F40尸王8	地图:H201	X:93	Y:25 
[2024/8/17 22:1:27] 物品:强效魔法药	怪物:195A5F40尸王8	地图:H201	X:93	Y:25 
[2024/8/17 22:1:27] 物品:强效魔法药	怪物:195A5F40尸王8	地图:H201	X:93	Y:25 
[2024/8/17 22:1:27] 物品:珍珠戒指	怪物:195A5F40尸王8	地图:H201	X:93	Y:25 
[2024/8/17 22:1:27] 物品:魅力戒指	怪物:195A5F40尸王8	地图:H201	X:93	Y:25 
[2024/8/17 22:1:27] 物品:魔力手镯	怪物:195A5F40尸王8	地图:H201	X:93	Y:25 
[2024/8/17 22:1:38] 物品:强效太阳水	怪物:0D46EFA0尸王8	地图:H201	X:93	Y:24 
[2024/8/17 22:1:38] 物品:强效太阳水	怪物:0D46EFA0尸王8	地图:H201	X:93	Y:24 
[2024/8/17 22:1:38] 物品:强效太阳水	怪物:0D46EFA0尸王8	地图:H201	X:93	Y:24 
[2024/8/17 22:1:38] 物品:强效太阳水	怪物:0D46EFA0尸王8	地图:H201	X:93	Y:24 
[2024/8/17 22:1:38] 物品:强效太阳水	怪物:0D46EFA0尸王8	地图:H201	X:93	Y:24 
[2024/8/17 22:1:38] 物品:强效金创药	怪物:0D46EFA0尸王8	地图:H201	X:93	Y:24 
[2024/8/17 22:1:38] 物品:强效金创药	怪物:0D46EFA0尸王8	地图:H201	X:93	Y:24 
[2024/8/17 22:1:38] 物品:强效魔法药	怪物:0D46EFA0尸王8	地图:H201	X:93	Y:24 
[2024/8/17 22:1:38] 物品:强效魔法药	怪物:0D46EFA0尸王8	地图:H201	X:93	Y:24 
[2024/8/17 22:1:38] 物品:骷髅戒指	怪物:0D46EFA0尸王8	地图:H201	X:93	Y:24 
[2024/8/17 22:1:38] 物品:黑檀手镯	怪物:0D46EFA0尸王8	地图:H201	X:93	Y:24 
[2024/8/17 22:1:41] 物品:绿宝石矿	怪物:1DD49410变异史莱姆8	地图:H004	X:70	Y:154 
[2024/8/17 22:1:43] 物品:强效金创药	怪物:2D4D1430魔龙刀兵	地图:65	X:210	Y:96 
[2024/8/17 22:1:51] 物品:强效太阳水	怪物:28615620尸王8	地图:H201	X:90	Y:18 
[2024/8/17 22:1:51] 物品:强效太阳水	怪物:28615620尸王8	地图:H201	X:90	Y:18 
[2024/8/17 22:1:51] 物品:强效太阳水	怪物:28615620尸王8	地图:H201	X:90	Y:18 
[2024/8/17 22:1:51] 物品:强效太阳水	怪物:28615620尸王8	地图:H201	X:90	Y:18 
[2024/8/17 22:1:51] 物品:强效太阳水	怪物:28615620尸王8	地图:H201	X:90	Y:18 
[2024/8/17 22:1:51] 物品:强效金创药	怪物:28615620尸王8	地图:H201	X:90	Y:18 
[2024/8/17 22:1:51] 物品:强效金创药	怪物:28615620尸王8	地图:H201	X:90	Y:18 
[2024/8/17 22:1:51] 物品:强效魔法药	怪物:28615620尸王8	地图:H201	X:90	Y:18 
[2024/8/17 22:1:51] 物品:强效魔法药	怪物:28615620尸王8	地图:H201	X:90	Y:18 
[2024/8/17 22:1:51] 物品:凝霜	怪物:28615620尸王8	地图:H201	X:90	Y:18 
[2024/8/17 22:1:51] 物品:黑檀手镯	怪物:28615620尸王8	地图:H201	X:90	Y:18 
[2024/8/17 22:1:51] 物品:魔力手镯	怪物:28615620尸王8	地图:H201	X:90	Y:18 
[2024/8/17 22:1:51] 物品:召唤神兽	怪物:28615620尸王8	地图:H201	X:90	Y:18 
[2024/8/17 22:1:55] 物品:疾风药水	怪物:19B6B860僵尸1	地图:H201	X:91	Y:18 
[2024/8/17 22:1:59] 物品:金创药(小量)	怪物:2817A4C0僵尸5	地图:H201	X:92	Y:20 
[2024/8/17 22:1:59] 物品:魔法药(小量)	怪物:2817A4C0僵尸5	地图:H201	X:92	Y:20 
[2024/8/17 22:2:0] 物品:金创药(小量)	怪物:1C224E90僵尸5	地图:H201	X:90	Y:20 
[2024/8/17 22:2:6] 物品:强效魔法药	怪物:2DC57C00魔龙射手	地图:66	X:173	Y:26 
[2024/8/17 22:2:6] 物品:金戒指	怪物:2DC57C00魔龙射手	地图:66	X:173	Y:26 
[2024/8/17 22:2:8] 物品:基本剑术	怪物:1F22FA90僵尸1	地图:H201	X:85	Y:22 
[2024/8/17 22:2:17] 物品:金创药(小量)	怪物:1C224E90僵尸5	地图:H201	X:87	Y:21 
[2024/8/17 22:2:19] 物品:隐身术	怪物:195DA8E0僵尸4	地图:H201	X:87	Y:22 
[2024/8/17 22:2:22] 物品:凝霜	怪物:186417D0魔龙血蛙	地图:66	X:168	Y:41 
[2024/8/17 22:2:22] 物品:黑檀手镯	怪物:186417D0魔龙血蛙	地图:66	X:168	Y:41 
[2024/8/17 22:2:25] 物品:强效魔法药	怪物:18C4D560恶灵尸王	地图:H201	X:85	Y:22 
[2024/8/17 22:2:25] 物品:幽灵盾	怪物:18C4D560恶灵尸王	地图:H201	X:85	Y:22 
[2024/8/17 22:2:25] 物品:诱惑之光	怪物:18C4D560恶灵尸王	地图:H201	X:85	Y:22 
[2024/8/17 22:2:25] 物品:召唤骷髅	怪物:18C4D560恶灵尸王	地图:H201	X:85	Y:22 
[2024/8/17 22:2:29] 物品:抗拒火环	怪物:07D92A60僵尸1	地图:H201	X:85	Y:22 
[2024/8/17 22:2:29] 物品:魔法药(中量)	怪物:060DD9E0恶灵僵尸8	地图:H001	X:106	Y:21 
[2024/8/17 22:2:32] 物品:金创药(小量)	怪物:039A58D0僵尸4	地图:H201	X:86	Y:23 
[2024/8/17 22:2:33] 物品:鹿皮靴	怪物:2D532820魔龙刀兵1	地图:65	X:210	Y:97 
[2024/8/17 22:2:36] 物品:生铁戒指	怪物:1F1D7010黑野猪8	地图:H002	X:245	Y:160 
[2024/8/17 22:2:41] 物品:魅力戒指	怪物:0D89CA90魔龙破甲兵	地图:66	X:156	Y:39 
[2024/8/17 22:2:45] 物品:强效金创药	怪物:299498D0魔龙破甲兵1	地图:66	X:157	Y:41 
[2024/8/17 22:2:45] 物品:强效魔法药	怪物:299498D0魔龙破甲兵1	地图:66	X:157	Y:41 
[2024/8/17 22:2:45] 物品:紫碧螺	怪物:299498D0魔龙破甲兵1	地图:66	X:157	Y:41 
[2024/8/17 22:2:45] 物品:降魔	怪物:299498D0魔龙破甲兵1	地图:66	X:157	Y:41 
[2024/8/17 22:2:47] 物品:强效太阳水	怪物:28B7E460尸王8	地图:H201	X:80	Y:22 
[2024/8/17 22:2:47] 物品:强效太阳水	怪物:28B7E460尸王8	地图:H201	X:80	Y:22 
[2024/8/17 22:2:47] 物品:强效太阳水	怪物:28B7E460尸王8	地图:H201	X:80	Y:22 
[2024/8/17 22:2:47] 物品:强效太阳水	怪物:28B7E460尸王8	地图:H201	X:80	Y:22 
[2024/8/17 22:2:47] 物品:强效太阳水	怪物:28B7E460尸王8	地图:H201	X:80	Y:22 
[2024/8/17 22:2:47] 物品:强效金创药	怪物:28B7E460尸王8	地图:H201	X:80	Y:22 
[2024/8/17 22:2:47] 物品:强效金创药	怪物:28B7E460尸王8	地图:H201	X:80	Y:22 
[2024/8/17 22:2:47] 物品:强效魔法药	怪物:28B7E460尸王8	地图:H201	X:80	Y:22 
[2024/8/17 22:2:47] 物品:强效魔法药	怪物:28B7E460尸王8	地图:H201	X:80	Y:22 
[2024/8/17 22:2:47] 物品:凝霜	怪物:28B7E460尸王8	地图:H201	X:80	Y:22 
[2024/8/17 22:2:47] 物品:蓝翡翠项链	怪物:28B7E460尸王8	地图:H201	X:80	Y:22 
[2024/8/17 22:2:47] 物品:黑檀手镯	怪物:28B7E460尸王8	地图:H201	X:80	Y:22 
[2024/8/17 22:2:47] 物品:魔法盾	怪物:28B7E460尸王8	地图:H201	X:80	Y:22 
[2024/8/17 22:2:51] 物品:太阳水	怪物:2D3B0EF0魔龙射手	地图:65	X:210	Y:100 
[2024/8/17 22:2:53] 物品:强效太阳水	怪物:18558450尸王8	地图:H201	X:81	Y:22 
[2024/8/17 22:2:53] 物品:强效太阳水	怪物:18558450尸王8	地图:H201	X:81	Y:22 
[2024/8/17 22:2:53] 物品:强效太阳水	怪物:18558450尸王8	地图:H201	X:81	Y:22 
[2024/8/17 22:2:53] 物品:强效太阳水	怪物:18558450尸王8	地图:H201	X:81	Y:22 
[2024/8/17 22:2:53] 物品:强效太阳水	怪物:18558450尸王8	地图:H201	X:81	Y:22 
[2024/8/17 22:2:53] 物品:强效金创药	怪物:18558450尸王8	地图:H201	X:81	Y:22 
[2024/8/17 22:2:53] 物品:强效金创药	怪物:18558450尸王8	地图:H201	X:81	Y:22 
[2024/8/17 22:2:53] 物品:强效魔法药	怪物:18558450尸王8	地图:H201	X:81	Y:22 
[2024/8/17 22:2:53] 物品:强效魔法药	怪物:18558450尸王8	地图:H201	X:81	Y:22 
[2024/8/17 22:2:53] 物品:道德戒指	怪物:18558450尸王8	地图:H201	X:81	Y:22 
[2024/8/17 22:2:56] 物品:太阳水	怪物:057460F0僵尸5	地图:H201	X:79	Y:20 
[2024/8/17 22:3:2] 物品:金创药(小量)	怪物:2CAED390僵尸5	地图:H201	X:84	Y:22 
[2024/8/17 22:3:3] 物品:裁决之杖	怪物:2D3C9CD0魔龙射手	地图:65	X:212	Y:102 
[2024/8/17 22:3:16] 物品:金创药(小量)	怪物:31B2BC90僵尸5	地图:H201	X:74	Y:25 
[2024/8/17 22:3:16] 物品:太阳水	怪物:31B2BC90僵尸5	地图:H201	X:74	Y:25 
[2024/8/17 22:3:18] 物品:金戒指	怪物:2F609490魔龙破甲兵1	地图:65	X:212	Y:101 
[2024/8/17 22:3:20] 物品:金创药(小量)	怪物:057460F0僵尸5	地图:H201	X:77	Y:24 
[2024/8/17 22:3:26] 物品:强效金创药	怪物:1F157410魔龙射手	地图:66	X:195	Y:67 
[2024/8/17 22:3:34] 物品:强效太阳水	怪物:1F0D28A0尸王8	地图:H201	X:75	Y:23 
[2024/8/17 22:3:34] 物品:强效太阳水	怪物:1F0D28A0尸王8	地图:H201	X:75	Y:23 
[2024/8/17 22:3:34] 物品:强效太阳水	怪物:1F0D28A0尸王8	地图:H201	X:75	Y:23 
[2024/8/17 22:3:34] 物品:强效太阳水	怪物:1F0D28A0尸王8	地图:H201	X:75	Y:23 
[2024/8/17 22:3:34] 物品:强效太阳水	怪物:1F0D28A0尸王8	地图:H201	X:75	Y:23 
[2024/8/17 22:3:34] 物品:强效金创药	怪物:1F0D28A0尸王8	地图:H201	X:75	Y:23 
[2024/8/17 22:3:34] 物品:强效金创药	怪物:1F0D28A0尸王8	地图:H201	X:75	Y:23 
[2024/8/17 22:3:34] 物品:强效魔法药	怪物:1F0D28A0尸王8	地图:H201	X:75	Y:23 
[2024/8/17 22:3:34] 物品:强效魔法药	怪物:1F0D28A0尸王8	地图:H201	X:75	Y:23 
[2024/8/17 22:3:34] 物品:骷髅戒指	怪物:1F0D28A0尸王8	地图:H201	X:75	Y:23 
[2024/8/17 22:3:34] 物品:黑色水晶戒指	怪物:1F0D28A0尸王8	地图:H201	X:75	Y:23 
[2024/8/17 22:3:34] 物品:凝霜	怪物:1F0D28A0尸王8	地图:H201	X:75	Y:23 
[2024/8/17 22:3:34] 物品:黑檀手镯	怪物:1F0D28A0尸王8	地图:H201	X:75	Y:23 
[2024/8/17 22:3:36] 物品:魔法药(小量)	怪物:0D895BA0僵尸5	地图:H201	X:77	Y:22 
[2024/8/17 22:3:38] 物品:金创药(小量)	怪物:1886CBA0僵尸5	地图:H201	X:75	Y:24 
[2024/8/17 22:3:39] 物品:强效太阳水	怪物:2A9F2CB0魔龙破甲兵	地图:66	X:193	Y:72 
[2024/8/17 22:3:53] 物品:强效太阳水	怪物:2EC6EEA0尸王8	地图:H201	X:73	Y:17 
[2024/8/17 22:3:53] 物品:强效太阳水	怪物:2EC6EEA0尸王8	地图:H201	X:73	Y:17 
[2024/8/17 22:3:53] 物品:强效太阳水	怪物:2EC6EEA0尸王8	地图:H201	X:73	Y:17 
[2024/8/17 22:3:53] 物品:强效太阳水	怪物:2EC6EEA0尸王8	地图:H201	X:73	Y:17 
[2024/8/17 22:3:53] 物品:强效太阳水	怪物:2EC6EEA0尸王8	地图:H201	X:73	Y:17 
[2024/8/17 22:3:53] 物品:强效金创药	怪物:2EC6EEA0尸王8	地图:H201	X:73	Y:17 
[2024/8/17 22:3:53] 物品:强效金创药	怪物:2EC6EEA0尸王8	地图:H201	X:73	Y:17 
[2024/8/17 22:3:53] 物品:强效魔法药	怪物:2EC6EEA0尸王8	地图:H201	X:73	Y:17 
[2024/8/17 22:3:53] 物品:强效魔法药	怪物:2EC6EEA0尸王8	地图:H201	X:73	Y:17 
[2024/8/17 22:3:53] 物品:珊瑚戒指	怪物:2EC6EEA0尸王8	地图:H201	X:73	Y:17 
[2024/8/17 22:3:53] 物品:黑色水晶戒指	怪物:2EC6EEA0尸王8	地图:H201	X:73	Y:17 
[2024/8/17 22:3:53] 物品:魅力戒指	怪物:2EC6EEA0尸王8	地图:H201	X:73	Y:17 
[2024/8/17 22:3:53] 物品:黑檀手镯	怪物:2EC6EEA0尸王8	地图:H201	X:73	Y:17 
[2024/8/17 22:3:58] 物品:金创药(中量)	怪物:1DF18200僵尸1	地图:H201	X:69	Y:24 
[2024/8/17 22:4:4] 物品:强效金创药	怪物:2F67F3C0魔龙破甲兵	地图:65	X:218	Y:107 
[2024/8/17 22:4:20] 物品:金创药(小量)	怪物:2358BD60僵尸5	地图:H201	X:68	Y:23 
[2024/8/17 22:4:25] 物品:魔法药(小量)	怪物:19DA63E0僵尸4	地图:H201	X:70	Y:24 
[2024/8/17 22:4:26] 物品:强效魔法药	怪物:2D5B1E60魔龙破甲兵	地图:66	X:220	Y:89 
[2024/8/17 22:4:26] 物品:太阳水	怪物:2D5B1E60魔龙破甲兵	地图:66	X:220	Y:89 
[2024/8/17 22:4:26] 物品:竹笛	怪物:2D5B1E60魔龙破甲兵	地图:66	X:220	Y:89 
[2024/8/17 22:4:32] 物品:金创药(小量)	怪物:278DBC00僵尸5	地图:H201	X:69	Y:24 
[2024/8/17 22:4:41] 物品:强效太阳水	怪物:2756EFE0尸王8	地图:H201	X:64	Y:29 
[2024/8/17 22:4:41] 物品:强效太阳水	怪物:2756EFE0尸王8	地图:H201	X:64	Y:29 
[2024/8/17 22:4:41] 物品:强效太阳水	怪物:2756EFE0尸王8	地图:H201	X:64	Y:29 
[2024/8/17 22:4:41] 物品:强效太阳水	怪物:2756EFE0尸王8	地图:H201	X:64	Y:29 
[2024/8/17 22:4:41] 物品:强效太阳水	怪物:2756EFE0尸王8	地图:H201	X:64	Y:29 
[2024/8/17 22:4:41] 物品:强效金创药	怪物:2756EFE0尸王8	地图:H201	X:64	Y:29 
[2024/8/17 22:4:41] 物品:强效金创药	怪物:2756EFE0尸王8	地图:H201	X:64	Y:29 
[2024/8/17 22:4:41] 物品:强效魔法药	怪物:2756EFE0尸王8	地图:H201	X:64	Y:29 
[2024/8/17 22:4:41] 物品:强效魔法药	怪物:2756EFE0尸王8	地图:H201	X:64	Y:29 
[2024/8/17 22:4:41] 物品:黑檀手镯	怪物:2756EFE0尸王8	地图:H201	X:64	Y:29 
[2024/8/17 22:4:47] 物品:金创药(小量)	怪物:1C24A5A0僵尸5	地图:H201	X:64	Y:29 
[2024/8/17 22:4:52] 物品:金创药(小量)	怪物:0D4CED50僵尸4	地图:H201	X:64	Y:29 
[2024/8/17 22:4:54] 物品:金创药(小量)	怪物:278DBC00僵尸5	地图:H201	X:65	Y:28 
[2024/8/17 22:5:0] 物品:强效太阳水	怪物:1CDDDA20尸王8	地图:H201	X:63	Y:28 
