[2024/8/19 0:0:1] 物品:黑檀手镯	怪物:291364C0魔龙血蛙	地图:66	X:50	Y:149 
[2024/8/19 0:0:4] 物品:太阳水	怪物:22F8C3F0虹魔蝎卫8	地图:H204	X:68	Y:30 
[2024/8/19 0:0:4] 物品:太阳水	怪物:22F8C3F0虹魔蝎卫8	地图:H204	X:68	Y:30 
[2024/8/19 0:0:4] 物品:太阳水	怪物:22F8C3F0虹魔蝎卫8	地图:H204	X:68	Y:30 
[2024/8/19 0:0:4] 物品:太阳水	怪物:22F8C3F0虹魔蝎卫8	地图:H204	X:68	Y:30 
[2024/8/19 0:0:4] 物品:太阳水	怪物:22F8C3F0虹魔蝎卫8	地图:H204	X:68	Y:30 
[2024/8/19 0:0:4] 物品:强效金创药	怪物:22F8C3F0虹魔蝎卫8	地图:H204	X:68	Y:30 
[2024/8/19 0:0:4] 物品:强效金创药	怪物:22F8C3F0虹魔蝎卫8	地图:H204	X:68	Y:30 
[2024/8/19 0:0:4] 物品:强效金创药	怪物:22F8C3F0虹魔蝎卫8	地图:H204	X:68	Y:30 
[2024/8/19 0:0:4] 物品:强效金创药	怪物:22F8C3F0虹魔蝎卫8	地图:H204	X:68	Y:30 
[2024/8/19 0:0:4] 物品:强效金创药	怪物:22F8C3F0虹魔蝎卫8	地图:H204	X:68	Y:30 
[2024/8/19 0:0:4] 物品:强效金创药	怪物:22F8C3F0虹魔蝎卫8	地图:H204	X:68	Y:30 
[2024/8/19 0:0:4] 物品:强效金创药	怪物:22F8C3F0虹魔蝎卫8	地图:H204	X:68	Y:30 
[2024/8/19 0:0:4] 物品:强效金创药	怪物:22F8C3F0虹魔蝎卫8	地图:H204	X:68	Y:30 
[2024/8/19 0:0:4] 物品:强效金创药	怪物:22F8C3F0虹魔蝎卫8	地图:H204	X:68	Y:30 
[2024/8/19 0:0:4] 物品:强效金创药	怪物:22F8C3F0虹魔蝎卫8	地图:H204	X:68	Y:30 
[2024/8/19 0:0:4] 物品:强效魔法药	怪物:22F8C3F0虹魔蝎卫8	地图:H204	X:68	Y:30 
[2024/8/19 0:0:4] 物品:强效魔法药	怪物:22F8C3F0虹魔蝎卫8	地图:H204	X:68	Y:30 
[2024/8/19 0:0:4] 物品:强效魔法药	怪物:22F8C3F0虹魔蝎卫8	地图:H204	X:68	Y:30 
[2024/8/19 0:0:4] 物品:强效魔法药	怪物:22F8C3F0虹魔蝎卫8	地图:H204	X:68	Y:30 
[2024/8/19 0:0:4] 物品:强效魔法药	怪物:22F8C3F0虹魔蝎卫8	地图:H204	X:68	Y:30 
[2024/8/19 0:0:4] 物品:强效魔法药	怪物:22F8C3F0虹魔蝎卫8	地图:H204	X:68	Y:30 
[2024/8/19 0:0:4] 物品:强效魔法药	怪物:22F8C3F0虹魔蝎卫8	地图:H204	X:68	Y:30 
[2024/8/19 0:0:4] 物品:强效魔法药	怪物:22F8C3F0虹魔蝎卫8	地图:H204	X:68	Y:30 
[2024/8/19 0:0:4] 物品:强效魔法药	怪物:22F8C3F0虹魔蝎卫8	地图:H204	X:68	Y:30 
[2024/8/19 0:0:4] 物品:强效魔法药	怪物:22F8C3F0虹魔蝎卫8	地图:H204	X:68	Y:30 
[2024/8/19 0:0:5] 物品:金戒指	怪物:2A4641C0牛魔法师8	地图:H010	X:342	Y:95 
[2024/8/19 0:0:5] 物品:生铁戒指	怪物:2A4641C0牛魔法师8	地图:H010	X:342	Y:95 
[2024/8/19 0:0:7] 物品:强效太阳水	怪物:2996D830沃玛卫士8	地图:H204	X:68	Y:29 
[2024/8/19 0:0:7] 物品:强效太阳水	怪物:2996D830沃玛卫士8	地图:H204	X:68	Y:29 
[2024/8/19 0:0:7] 物品:强效太阳水	怪物:2996D830沃玛卫士8	地图:H204	X:68	Y:29 
[2024/8/19 0:0:7] 物品:强效太阳水	怪物:2996D830沃玛卫士8	地图:H204	X:68	Y:29 
[2024/8/19 0:0:7] 物品:强效太阳水	怪物:2996D830沃玛卫士8	地图:H204	X:68	Y:29 
[2024/8/19 0:0:7] 物品:太阳水	怪物:2996D830沃玛卫士8	地图:H204	X:68	Y:29 
[2024/8/19 0:0:7] 物品:太阳水	怪物:2996D830沃玛卫士8	地图:H204	X:68	Y:29 
[2024/8/19 0:0:7] 物品:太阳水	怪物:2996D830沃玛卫士8	地图:H204	X:68	Y:29 
[2024/8/19 0:0:7] 物品:太阳水	怪物:2996D830沃玛卫士8	地图:H204	X:68	Y:29 
[2024/8/19 0:0:7] 物品:太阳水	怪物:2996D830沃玛卫士8	地图:H204	X:68	Y:29 
[2024/8/19 0:0:7] 物品:太阳水	怪物:2996D830沃玛卫士8	地图:H204	X:68	Y:29 
[2024/8/19 0:0:7] 物品:太阳水	怪物:2996D830沃玛卫士8	地图:H204	X:68	Y:29 
[2024/8/19 0:0:7] 物品:太阳水	怪物:2996D830沃玛卫士8	地图:H204	X:68	Y:29 
[2024/8/19 0:0:7] 物品:太阳水	怪物:2996D830沃玛卫士8	地图:H204	X:68	Y:29 
[2024/8/19 0:0:7] 物品:太阳水	怪物:2996D830沃玛卫士8	地图:H204	X:68	Y:29 
[2024/8/19 0:0:7] 物品:金创药(中量)	怪物:2996D830沃玛卫士8	地图:H204	X:68	Y:29 
[2024/8/19 0:0:7] 物品:金创药(中量)	怪物:2996D830沃玛卫士8	地图:H204	X:68	Y:29 
[2024/8/19 0:0:7] 物品:强效金创药	怪物:2996D830沃玛卫士8	地图:H204	X:68	Y:29 
[2024/8/19 0:0:7] 物品:强效金创药	怪物:2996D830沃玛卫士8	地图:H204	X:68	Y:29 
[2024/8/19 0:0:7] 物品:强效金创药	怪物:2996D830沃玛卫士8	地图:H204	X:68	Y:29 
[2024/8/19 0:0:7] 物品:魔法药(中量)	怪物:2996D830沃玛卫士8	地图:H204	X:68	Y:29 
[2024/8/19 0:0:7] 物品:魔法药(中量)	怪物:2996D830沃玛卫士8	地图:H204	X:68	Y:29 
[2024/8/19 0:0:7] 物品:强效魔法药	怪物:2996D830沃玛卫士8	地图:H204	X:68	Y:29 
[2024/8/19 0:0:7] 物品:强效魔法药	怪物:2996D830沃玛卫士8	地图:H204	X:68	Y:29 
[2024/8/19 0:0:7] 物品:强效魔法药	怪物:2996D830沃玛卫士8	地图:H204	X:68	Y:29 
[2024/8/19 0:0:7] 物品:半月弯刀	怪物:2996D830沃玛卫士8	地图:H204	X:68	Y:29 
[2024/8/19 0:0:7] 物品:诱惑之光	怪物:2996D830沃玛卫士8	地图:H204	X:68	Y:29 
[2024/8/19 0:0:9] 物品:回城卷	怪物:2A2CD540蝙蝠	地图:D5074	X:74	Y:18 
[2024/8/19 0:0:15] 物品:强效太阳水	怪物:1A49A980尸王8	地图:H201	X:93	Y:57 
[2024/8/19 0:0:15] 物品:强效太阳水	怪物:1A49A980尸王8	地图:H201	X:93	Y:57 
[2024/8/19 0:0:15] 物品:强效太阳水	怪物:1A49A980尸王8	地图:H201	X:93	Y:57 
[2024/8/19 0:0:15] 物品:强效太阳水	怪物:1A49A980尸王8	地图:H201	X:93	Y:57 
[2024/8/19 0:0:15] 物品:强效太阳水	怪物:1A49A980尸王8	地图:H201	X:93	Y:57 
[2024/8/19 0:0:15] 物品:强效金创药	怪物:1A49A980尸王8	地图:H201	X:93	Y:57 
[2024/8/19 0:0:15] 物品:强效金创药	怪物:1A49A980尸王8	地图:H201	X:93	Y:57 
[2024/8/19 0:0:15] 物品:强效魔法药	怪物:1A49A980尸王8	地图:H201	X:93	Y:57 
[2024/8/19 0:0:15] 物品:强效魔法药	怪物:1A49A980尸王8	地图:H201	X:93	Y:57 
[2024/8/19 0:0:15] 物品:骷髅戒指	怪物:1A49A980尸王8	地图:H201	X:93	Y:57 
[2024/8/19 0:0:15] 物品:生铁戒指	怪物:1A49A980尸王8	地图:H201	X:93	Y:57 
[2024/8/19 0:0:15] 物品:圣言术	怪物:1A49A980尸王8	地图:H201	X:93	Y:57 
[2024/8/19 0:0:15] 物品:魔法药(中量)	怪物:1A4D7C80祖玛弓箭手8	地图:H204	X:67	Y:36 
[2024/8/19 0:0:17] 物品:魔法长袍(女)	怪物:0FF77D90牛魔法师8	地图:H010	X:343	Y:95 
[2024/8/19 0:0:19] 物品:强效金创药	怪物:28038E90魔龙破甲兵	地图:66	X:46	Y:146 
[2024/8/19 0:0:19] 物品:太阳水	怪物:28038E90魔龙破甲兵	地图:66	X:46	Y:146 
[2024/8/19 0:0:19] 物品:魅力戒指	怪物:28038E90魔龙破甲兵	地图:66	X:46	Y:146 
[2024/8/19 0:0:19] 物品:太阳水	怪物:28F60D90黑野猪8	地图:H002	X:306	Y:35 
[2024/8/19 0:0:21] 物品:强效太阳水	怪物:17C5E9C0沃玛卫士8	地图:H204	X:65	Y:38 
[2024/8/19 0:0:21] 物品:强效太阳水	怪物:17C5E9C0沃玛卫士8	地图:H204	X:65	Y:38 
[2024/8/19 0:0:21] 物品:强效太阳水	怪物:17C5E9C0沃玛卫士8	地图:H204	X:65	Y:38 
[2024/8/19 0:0:21] 物品:强效太阳水	怪物:17C5E9C0沃玛卫士8	地图:H204	X:65	Y:38 
[2024/8/19 0:0:21] 物品:强效太阳水	怪物:17C5E9C0沃玛卫士8	地图:H204	X:65	Y:38 
[2024/8/19 0:0:21] 物品:太阳水	怪物:17C5E9C0沃玛卫士8	地图:H204	X:65	Y:38 
[2024/8/19 0:0:21] 物品:太阳水	怪物:17C5E9C0沃玛卫士8	地图:H204	X:65	Y:38 
[2024/8/19 0:0:21] 物品:太阳水	怪物:17C5E9C0沃玛卫士8	地图:H204	X:65	Y:38 
[2024/8/19 0:0:21] 物品:太阳水	怪物:17C5E9C0沃玛卫士8	地图:H204	X:65	Y:38 
[2024/8/19 0:0:21] 物品:太阳水	怪物:17C5E9C0沃玛卫士8	地图:H204	X:65	Y:38 
[2024/8/19 0:0:21] 物品:太阳水	怪物:17C5E9C0沃玛卫士8	地图:H204	X:65	Y:38 
[2024/8/19 0:0:21] 物品:太阳水	怪物:17C5E9C0沃玛卫士8	地图:H204	X:65	Y:38 
[2024/8/19 0:0:21] 物品:太阳水	怪物:17C5E9C0沃玛卫士8	地图:H204	X:65	Y:38 
[2024/8/19 0:0:21] 物品:太阳水	怪物:17C5E9C0沃玛卫士8	地图:H204	X:65	Y:38 
[2024/8/19 0:0:21] 物品:太阳水	怪物:17C5E9C0沃玛卫士8	地图:H204	X:65	Y:38 
[2024/8/19 0:0:21] 物品:金创药(中量)	怪物:17C5E9C0沃玛卫士8	地图:H204	X:65	Y:38 
[2024/8/19 0:0:21] 物品:金创药(中量)	怪物:17C5E9C0沃玛卫士8	地图:H204	X:65	Y:38 
[2024/8/19 0:0:21] 物品:强效金创药	怪物:17C5E9C0沃玛卫士8	地图:H204	X:65	Y:38 
[2024/8/19 0:0:21] 物品:强效金创药	怪物:17C5E9C0沃玛卫士8	地图:H204	X:65	Y:38 
[2024/8/19 0:0:21] 物品:强效金创药	怪物:17C5E9C0沃玛卫士8	地图:H204	X:65	Y:38 
[2024/8/19 0:0:21] 物品:魔法药(中量)	怪物:17C5E9C0沃玛卫士8	地图:H204	X:65	Y:38 
[2024/8/19 0:0:21] 物品:魔法药(中量)	怪物:17C5E9C0沃玛卫士8	地图:H204	X:65	Y:38 
[2024/8/19 0:0:21] 物品:强效魔法药	怪物:17C5E9C0沃玛卫士8	地图:H204	X:65	Y:38 
[2024/8/19 0:0:21] 物品:强效魔法药	怪物:17C5E9C0沃玛卫士8	地图:H204	X:65	Y:38 
[2024/8/19 0:0:21] 物品:强效魔法药	怪物:17C5E9C0沃玛卫士8	地图:H204	X:65	Y:38 
[2024/8/19 0:0:21] 物品:天珠项链	怪物:17C5E9C0沃玛卫士8	地图:H204	X:65	Y:38 
[2024/8/19 0:0:21] 物品:刺杀剑术	怪物:17C5E9C0沃玛卫士8	地图:H204	X:65	Y:38 
[2024/8/19 0:0:22] 物品:金创药(小量)	怪物:0DBE4A40僵尸5	地图:H201	X:95	Y:58 
[2024/8/19 0:0:22] 物品:精神力战法	怪物:0DBE4A40僵尸5	地图:H201	X:95	Y:58 
[2024/8/19 0:0:24] 物品:魔法药(中量)	怪物:1EE7E8E0祖玛弓箭手	地图:D5074	X:73	Y:15 
[2024/8/19 0:0:25] 物品:强效太阳水	怪物:2A10D680尸王8	地图:H201	X:94	Y:58 
[2024/8/19 0:0:25] 物品:强效太阳水	怪物:2A10D680尸王8	地图:H201	X:94	Y:58 
[2024/8/19 0:0:25] 物品:强效太阳水	怪物:2A10D680尸王8	地图:H201	X:94	Y:58 
[2024/8/19 0:0:25] 物品:强效太阳水	怪物:2A10D680尸王8	地图:H201	X:94	Y:58 
[2024/8/19 0:0:25] 物品:强效太阳水	怪物:2A10D680尸王8	地图:H201	X:94	Y:58 
[2024/8/19 0:0:25] 物品:强效金创药	怪物:2A10D680尸王8	地图:H201	X:94	Y:58 
[2024/8/19 0:0:25] 物品:强效金创药	怪物:2A10D680尸王8	地图:H201	X:94	Y:58 
[2024/8/19 0:0:25] 物品:强效魔法药	怪物:2A10D680尸王8	地图:H201	X:94	Y:58 
[2024/8/19 0:0:25] 物品:强效魔法药	怪物:2A10D680尸王8	地图:H201	X:94	Y:58 
[2024/8/19 0:0:25] 物品:珍珠戒指	怪物:2A10D680尸王8	地图:H201	X:94	Y:58 
[2024/8/19 0:0:25] 物品:魔力手镯	怪物:2A10D680尸王8	地图:H201	X:94	Y:58 
[2024/8/19 0:0:25] 物品:圣言术	怪物:2A10D680尸王8	地图:H201	X:94	Y:58 
[2024/8/19 0:0:25] 物品:蓝翡翠项链	怪物:23CA2A20祖玛卫士8	地图:H204	X:61	Y:37 
[2024/8/19 0:0:26] 物品:太阳水	怪物:29513190祖玛卫士	地图:D5074	X:77	Y:20 
[2024/8/19 0:0:27] 物品:太阳水	怪物:1C048430巨型蠕虫	地图:D601	X:189	Y:35 
[2024/8/19 0:0:31] 物品:强效太阳水	怪物:2896F590牛魔将军0	地图:H010	X:343	Y:103 
[2024/8/19 0:0:31] 物品:太阳水	怪物:2896F590牛魔将军0	地图:H010	X:343	Y:103 
[2024/8/19 0:0:31] 物品:太阳水	怪物:2896F590牛魔将军0	地图:H010	X:343	Y:103 
[2024/8/19 0:0:34] 物品:死神手套	怪物:2FAF56A0祖玛弓箭手	地图:D5074	X:72	Y:15 
[2024/8/19 0:0:34] 物品:金戒指	怪物:2A15F650牛魔侍卫8	地图:H010	X:343	Y:105 
[2024/8/19 0:0:36] 物品:魔法药(小量)	怪物:1C854450僵尸5	地图:H201	X:85	Y:58 
[2024/8/19 0:0:37] 物品:强效太阳水	怪物:2B9FDF80沃玛卫士8	地图:H204	X:54	Y:46 
[2024/8/19 0:0:37] 物品:强效太阳水	怪物:2B9FDF80沃玛卫士8	地图:H204	X:54	Y:46 
[2024/8/19 0:0:37] 物品:强效太阳水	怪物:2B9FDF80沃玛卫士8	地图:H204	X:54	Y:46 
[2024/8/19 0:0:37] 物品:强效太阳水	怪物:2B9FDF80沃玛卫士8	地图:H204	X:54	Y:46 
[2024/8/19 0:0:37] 物品:强效太阳水	怪物:2B9FDF80沃玛卫士8	地图:H204	X:54	Y:46 
[2024/8/19 0:0:37] 物品:太阳水	怪物:2B9FDF80沃玛卫士8	地图:H204	X:54	Y:46 
[2024/8/19 0:0:37] 物品:太阳水	怪物:2B9FDF80沃玛卫士8	地图:H204	X:54	Y:46 
[2024/8/19 0:0:37] 物品:太阳水	怪物:2B9FDF80沃玛卫士8	地图:H204	X:54	Y:46 
[2024/8/19 0:0:37] 物品:太阳水	怪物:2B9FDF80沃玛卫士8	地图:H204	X:54	Y:46 
[2024/8/19 0:0:37] 物品:太阳水	怪物:2B9FDF80沃玛卫士8	地图:H204	X:54	Y:46 
[2024/8/19 0:0:37] 物品:太阳水	怪物:2B9FDF80沃玛卫士8	地图:H204	X:54	Y:46 
[2024/8/19 0:0:37] 物品:太阳水	怪物:2B9FDF80沃玛卫士8	地图:H204	X:54	Y:46 
[2024/8/19 0:0:37] 物品:太阳水	怪物:2B9FDF80沃玛卫士8	地图:H204	X:54	Y:46 
[2024/8/19 0:0:37] 物品:太阳水	怪物:2B9FDF80沃玛卫士8	地图:H204	X:54	Y:46 
[2024/8/19 0:0:37] 物品:太阳水	怪物:2B9FDF80沃玛卫士8	地图:H204	X:54	Y:46 
[2024/8/19 0:0:37] 物品:金创药(中量)	怪物:2B9FDF80沃玛卫士8	地图:H204	X:54	Y:46 
[2024/8/19 0:0:37] 物品:金创药(中量)	怪物:2B9FDF80沃玛卫士8	地图:H204	X:54	Y:46 
[2024/8/19 0:0:37] 物品:强效金创药	怪物:2B9FDF80沃玛卫士8	地图:H204	X:54	Y:46 
[2024/8/19 0:0:37] 物品:强效金创药	怪物:2B9FDF80沃玛卫士8	地图:H204	X:54	Y:46 
[2024/8/19 0:0:37] 物品:强效金创药	怪物:2B9FDF80沃玛卫士8	地图:H204	X:54	Y:46 
[2024/8/19 0:0:37] 物品:魔法药(中量)	怪物:2B9FDF80沃玛卫士8	地图:H204	X:54	Y:46 
[2024/8/19 0:0:37] 物品:魔法药(中量)	怪物:2B9FDF80沃玛卫士8	地图:H204	X:54	Y:46 
[2024/8/19 0:0:37] 物品:强效魔法药	怪物:2B9FDF80沃玛卫士8	地图:H204	X:54	Y:46 
[2024/8/19 0:0:37] 物品:强效魔法药	怪物:2B9FDF80沃玛卫士8	地图:H204	X:54	Y:46 
[2024/8/19 0:0:37] 物品:强效魔法药	怪物:2B9FDF80沃玛卫士8	地图:H204	X:54	Y:46 
[2024/8/19 0:0:37] 物品:灯笼项链	怪物:2B9FDF80沃玛卫士8	地图:H204	X:54	Y:46 
[2024/8/19 0:0:37] 物品:地狱雷光	怪物:2B9FDF80沃玛卫士8	地图:H204	X:54	Y:46 
[2024/8/19 0:0:37] 物品:群体治疗术	怪物:2B9FDF80沃玛卫士8	地图:H204	X:54	Y:46 
[2024/8/19 0:0:37] 物品:强效太阳水	怪物:2F2E7AD0虹魔蝎卫8	地图:H204	X:22	Y:67 
[2024/8/19 0:0:37] 物品:强效太阳水	怪物:2F2E7AD0虹魔蝎卫8	地图:H204	X:22	Y:67 
[2024/8/19 0:0:37] 物品:强效太阳水	怪物:2F2E7AD0虹魔蝎卫8	地图:H204	X:22	Y:67 
[2024/8/19 0:0:37] 物品:强效太阳水	怪物:2F2E7AD0虹魔蝎卫8	地图:H204	X:22	Y:67 
[2024/8/19 0:0:37] 物品:强效太阳水	怪物:2F2E7AD0虹魔蝎卫8	地图:H204	X:22	Y:67 
[2024/8/19 0:0:37] 物品:强效太阳水	怪物:2F2E7AD0虹魔蝎卫8	地图:H204	X:22	Y:67 
[2024/8/19 0:0:37] 物品:强效太阳水	怪物:2F2E7AD0虹魔蝎卫8	地图:H204	X:22	Y:67 
[2024/8/19 0:0:37] 物品:强效太阳水	怪物:2F2E7AD0虹魔蝎卫8	地图:H204	X:22	Y:67 
[2024/8/19 0:0:37] 物品:强效太阳水	怪物:2F2E7AD0虹魔蝎卫8	地图:H204	X:22	Y:67 
[2024/8/19 0:0:37] 物品:强效太阳水	怪物:2F2E7AD0虹魔蝎卫8	地图:H204	X:22	Y:67 
[2024/8/19 0:0:37] 物品:太阳水	怪物:2F2E7AD0虹魔蝎卫8	地图:H204	X:22	Y:67 
[2024/8/19 0:0:37] 物品:太阳水	怪物:2F2E7AD0虹魔蝎卫8	地图:H204	X:22	Y:67 
[2024/8/19 0:0:37] 物品:太阳水	怪物:2F2E7AD0虹魔蝎卫8	地图:H204	X:22	Y:67 
[2024/8/19 0:0:37] 物品:太阳水	怪物:2F2E7AD0虹魔蝎卫8	地图:H204	X:22	Y:67 
[2024/8/19 0:0:37] 物品:太阳水	怪物:2F2E7AD0虹魔蝎卫8	地图:H204	X:22	Y:67 
[2024/8/19 0:0:37] 物品:太阳水	怪物:2F2E7AD0虹魔蝎卫8	地图:H204	X:22	Y:67 
[2024/8/19 0:0:37] 物品:太阳水	怪物:2F2E7AD0虹魔蝎卫8	地图:H204	X:22	Y:67 
[2024/8/19 0:0:37] 物品:太阳水	怪物:2F2E7AD0虹魔蝎卫8	地图:H204	X:22	Y:67 
[2024/8/19 0:0:37] 物品:太阳水	怪物:2F2E7AD0虹魔蝎卫8	地图:H204	X:22	Y:67 
[2024/8/19 0:0:37] 物品:太阳水	怪物:2F2E7AD0虹魔蝎卫8	地图:H204	X:22	Y:67 
[2024/8/19 0:0:37] 物品:强效金创药	怪物:2F2E7AD0虹魔蝎卫8	地图:H204	X:22	Y:67 
[2024/8/19 0:0:37] 物品:强效金创药	怪物:2F2E7AD0虹魔蝎卫8	地图:H204	X:22	Y:67 
[2024/8/19 0:0:37] 物品:强效金创药	怪物:2F2E7AD0虹魔蝎卫8	地图:H204	X:22	Y:67 
[2024/8/19 0:0:37] 物品:强效金创药	怪物:2F2E7AD0虹魔蝎卫8	地图:H204	X:22	Y:67 
[2024/8/19 0:0:37] 物品:强效金创药	怪物:2F2E7AD0虹魔蝎卫8	地图:H204	X:22	Y:67 
[2024/8/19 0:0:37] 物品:强效金创药	怪物:2F2E7AD0虹魔蝎卫8	地图:H204	X:22	Y:67 
[2024/8/19 0:0:37] 物品:强效金创药	怪物:2F2E7AD0虹魔蝎卫8	地图:H204	X:22	Y:67 
[2024/8/19 0:0:37] 物品:强效金创药	怪物:2F2E7AD0虹魔蝎卫8	地图:H204	X:22	Y:67 
[2024/8/19 0:0:37] 物品:强效金创药	怪物:2F2E7AD0虹魔蝎卫8	地图:H204	X:22	Y:67 
[2024/8/19 0:0:37] 物品:强效金创药	怪物:2F2E7AD0虹魔蝎卫8	地图:H204	X:22	Y:67 
[2024/8/19 0:0:37] 物品:强效魔法药	怪物:2F2E7AD0虹魔蝎卫8	地图:H204	X:22	Y:67 
[2024/8/19 0:0:37] 物品:强效魔法药	怪物:2F2E7AD0虹魔蝎卫8	地图:H204	X:22	Y:67 
[2024/8/19 0:0:37] 物品:强效魔法药	怪物:2F2E7AD0虹魔蝎卫8	地图:H204	X:22	Y:67 
[2024/8/19 0:0:37] 物品:强效魔法药	怪物:2F2E7AD0虹魔蝎卫8	地图:H204	X:22	Y:67 
[2024/8/19 0:0:37] 物品:强效魔法药	怪物:2F2E7AD0虹魔蝎卫8	地图:H204	X:22	Y:67 
[2024/8/19 0:0:37] 物品:强效魔法药	怪物:2F2E7AD0虹魔蝎卫8	地图:H204	X:22	Y:67 
[2024/8/19 0:0:37] 物品:强效魔法药	怪物:2F2E7AD0虹魔蝎卫8	地图:H204	X:22	Y:67 
[2024/8/19 0:0:37] 物品:强效魔法药	怪物:2F2E7AD0虹魔蝎卫8	地图:H204	X:22	Y:67 
[2024/8/19 0:0:37] 物品:强效魔法药	怪物:2F2E7AD0虹魔蝎卫8	地图:H204	X:22	Y:67 
[2024/8/19 0:0:37] 物品:强效魔法药	怪物:2F2E7AD0虹魔蝎卫8	地图:H204	X:22	Y:67 
[2024/8/19 0:0:37] 物品:心灵手镯	怪物:2F2E7AD0虹魔蝎卫8	地图:H204	X:22	Y:67 
[2024/8/19 0:0:37] 物品:太阳水	怪物:1995ADC0蜈蚣	地图:D601	X:188	Y:40 
[2024/8/19 0:0:41] 物品:魔法药(中量)	怪物:1832BA50祖玛卫士	地图:D5074	X:79	Y:20 
[2024/8/19 0:0:42] 物品:骷髅戒指	怪物:285A9500牛魔将军8	地图:H010	X:342	Y:104 
[2024/8/19 0:0:43] 物品:降魔	怪物:1A3BD390牛魔法师8	地图:H010	X:342	Y:105 
[2024/8/19 0:0:47] 物品:魔法长袍(女)	怪物:1CD1A070祖玛弓箭手8	地图:H204	X:58	Y:48 
[2024/8/19 0:0:47] 物品:白金项链	怪物:1CD1A070祖玛弓箭手8	地图:H204	X:58	Y:48 
[2024/8/19 0:0:47] 物品:灯笼项链	怪物:1CD1A070祖玛弓箭手8	地图:H204	X:58	Y:48 
[2024/8/19 0:0:47] 物品:骷髅戒指	怪物:1CD1A070祖玛弓箭手8	地图:H204	X:58	Y:48 
[2024/8/19 0:0:49] 物品:修罗	怪物:2CB52670祖玛雕像	地图:H204	X:21	Y:67 
[2024/8/19 0:0:50] 物品:强效太阳水	怪物:2F244DC0牛魔祭司0	地图:H010	X:343	Y:105 
[2024/8/19 0:0:50] 物品:强效太阳水	怪物:2F244DC0牛魔祭司0	地图:H010	X:343	Y:105 
[2024/8/19 0:0:50] 物品:太阳水	怪物:2F244DC0牛魔祭司0	地图:H010	X:343	Y:105 
[2024/8/19 0:0:50] 物品:太阳水	怪物:2F244DC0牛魔祭司0	地图:H010	X:343	Y:105 
[2024/8/19 0:0:50] 物品:太阳水	怪物:2F244DC0牛魔祭司0	地图:H010	X:343	Y:105 
[2024/8/19 0:0:50] 物品:魔杖	怪物:2F244DC0牛魔祭司0	地图:H010	X:343	Y:105 
[2024/8/19 0:0:52] 物品:道德戒指	怪物:1ECB3940祖玛雕像	地图:D5074	X:74	Y:25 
[2024/8/19 0:0:53] 物品:竹笛	怪物:05389F40祖玛卫士8	地图:H204	X:58	Y:50 
[2024/8/19 0:0:53] 物品:小手镯	怪物:05389F40祖玛卫士8	地图:H204	X:58	Y:50 
[2024/8/19 0:0:59] 物品:坚固手套	怪物:1EB808D0祖玛卫士8	地图:H204	X:58	Y:51 
[2024/8/19 0:1:0] 物品:强效太阳水	怪物:31B54000尸王8	地图:H201	X:86	Y:58 
[2024/8/19 0:1:0] 物品:强效太阳水	怪物:31B54000尸王8	地图:H201	X:86	Y:58 
