[2024/8/20 15:0:3] 物品:金创药(小量)	怪物:1B029CF0僵尸3	地图:D401	X:128	Y:117 
[2024/8/20 15:0:43] 物品:太阳水	怪物:30DA8480白野猪8	地图:H204	X:76	Y:35 
[2024/8/20 15:0:43] 物品:太阳水	怪物:30DA8480白野猪8	地图:H204	X:76	Y:35 
[2024/8/20 15:0:43] 物品:太阳水	怪物:30DA8480白野猪8	地图:H204	X:76	Y:35 
[2024/8/20 15:0:43] 物品:金创药(中量)	怪物:30DA8480白野猪8	地图:H204	X:76	Y:35 
[2024/8/20 15:0:43] 物品:金创药(中量)	怪物:30DA8480白野猪8	地图:H204	X:76	Y:35 
[2024/8/20 15:0:43] 物品:金创药(中量)	怪物:30DA8480白野猪8	地图:H204	X:76	Y:35 
[2024/8/20 15:0:43] 物品:强效金创药	怪物:30DA8480白野猪8	地图:H204	X:76	Y:35 
[2024/8/20 15:0:43] 物品:强效金创药	怪物:30DA8480白野猪8	地图:H204	X:76	Y:35 
[2024/8/20 15:0:43] 物品:强效金创药	怪物:30DA8480白野猪8	地图:H204	X:76	Y:35 
[2024/8/20 15:0:43] 物品:魔法药(中量)	怪物:30DA8480白野猪8	地图:H204	X:76	Y:35 
[2024/8/20 15:0:43] 物品:魔法药(中量)	怪物:30DA8480白野猪8	地图:H204	X:76	Y:35 
[2024/8/20 15:0:43] 物品:魔法药(中量)	怪物:30DA8480白野猪8	地图:H204	X:76	Y:35 
[2024/8/20 15:0:43] 物品:强效魔法药	怪物:30DA8480白野猪8	地图:H204	X:76	Y:35 
[2024/8/20 15:0:43] 物品:强效魔法药	怪物:30DA8480白野猪8	地图:H204	X:76	Y:35 
[2024/8/20 15:0:43] 物品:强效魔法药	怪物:30DA8480白野猪8	地图:H204	X:76	Y:35 
[2024/8/20 15:0:43] 物品:强效金创药	怪物:30DA8480白野猪8	地图:H204	X:76	Y:35 
[2024/8/20 15:0:43] 物品:强效金创药	怪物:30DA8480白野猪8	地图:H204	X:76	Y:35 
[2024/8/20 15:0:43] 物品:强效金创药	怪物:30DA8480白野猪8	地图:H204	X:76	Y:35 
[2024/8/20 15:0:43] 物品:强效金创药	怪物:30DA8480白野猪8	地图:H204	X:76	Y:35 
[2024/8/20 15:0:43] 物品:强效金创药	怪物:30DA8480白野猪8	地图:H204	X:76	Y:35 
[2024/8/20 15:0:43] 物品:强效金创药	怪物:30DA8480白野猪8	地图:H204	X:76	Y:35 
[2024/8/20 15:0:43] 物品:强效魔法药	怪物:30DA8480白野猪8	地图:H204	X:76	Y:35 
[2024/8/20 15:0:43] 物品:强效魔法药	怪物:30DA8480白野猪8	地图:H204	X:76	Y:35 
[2024/8/20 15:0:43] 物品:强效魔法药	怪物:30DA8480白野猪8	地图:H204	X:76	Y:35 
[2024/8/20 15:0:43] 物品:强效魔法药	怪物:30DA8480白野猪8	地图:H204	X:76	Y:35 
[2024/8/20 15:0:43] 物品:强效魔法药	怪物:30DA8480白野猪8	地图:H204	X:76	Y:35 
[2024/8/20 15:0:43] 物品:强效魔法药	怪物:30DA8480白野猪8	地图:H204	X:76	Y:35 
[2024/8/20 15:0:43] 物品:魔血戒指	怪物:30DA8480白野猪8	地图:H204	X:76	Y:35 
[2024/8/20 15:0:48] 物品:金创药(小量)	怪物:27C22210僵尸3	地图:D401	X:127	Y:114 
[2024/8/20 15:0:54] 物品:强效金创药	怪物:2B4E0D90祖玛雕像8	地图:H204	X:15	Y:44 
[2024/8/20 15:0:59] 物品:强效太阳水	怪物:18AF57F0虹魔蝎卫8	地图:H204	X:78	Y:35 
[2024/8/20 15:0:59] 物品:强效太阳水	怪物:18AF57F0虹魔蝎卫8	地图:H204	X:78	Y:35 
[2024/8/20 15:0:59] 物品:强效太阳水	怪物:18AF57F0虹魔蝎卫8	地图:H204	X:78	Y:35 
[2024/8/20 15:0:59] 物品:强效太阳水	怪物:18AF57F0虹魔蝎卫8	地图:H204	X:78	Y:35 
[2024/8/20 15:0:59] 物品:强效太阳水	怪物:18AF57F0虹魔蝎卫8	地图:H204	X:78	Y:35 
[2024/8/20 15:0:59] 物品:强效太阳水	怪物:18AF57F0虹魔蝎卫8	地图:H204	X:78	Y:35 
[2024/8/20 15:0:59] 物品:强效太阳水	怪物:18AF57F0虹魔蝎卫8	地图:H204	X:78	Y:35 
[2024/8/20 15:0:59] 物品:强效太阳水	怪物:18AF57F0虹魔蝎卫8	地图:H204	X:78	Y:35 
[2024/8/20 15:0:59] 物品:强效太阳水	怪物:18AF57F0虹魔蝎卫8	地图:H204	X:78	Y:35 
[2024/8/20 15:0:59] 物品:强效太阳水	怪物:18AF57F0虹魔蝎卫8	地图:H204	X:78	Y:35 
[2024/8/20 15:0:59] 物品:太阳水	怪物:18AF57F0虹魔蝎卫8	地图:H204	X:78	Y:35 
[2024/8/20 15:0:59] 物品:太阳水	怪物:18AF57F0虹魔蝎卫8	地图:H204	X:78	Y:35 
[2024/8/20 15:0:59] 物品:太阳水	怪物:18AF57F0虹魔蝎卫8	地图:H204	X:78	Y:35 
[2024/8/20 15:0:59] 物品:太阳水	怪物:18AF57F0虹魔蝎卫8	地图:H204	X:78	Y:35 
[2024/8/20 15:0:59] 物品:太阳水	怪物:18AF57F0虹魔蝎卫8	地图:H204	X:78	Y:35 
[2024/8/20 15:0:59] 物品:太阳水	怪物:18AF57F0虹魔蝎卫8	地图:H204	X:78	Y:35 
[2024/8/20 15:0:59] 物品:太阳水	怪物:18AF57F0虹魔蝎卫8	地图:H204	X:78	Y:35 
[2024/8/20 15:0:59] 物品:太阳水	怪物:18AF57F0虹魔蝎卫8	地图:H204	X:78	Y:35 
[2024/8/20 15:0:59] 物品:太阳水	怪物:18AF57F0虹魔蝎卫8	地图:H204	X:78	Y:35 
[2024/8/20 15:0:59] 物品:太阳水	怪物:18AF57F0虹魔蝎卫8	地图:H204	X:78	Y:35 
[2024/8/20 15:0:59] 物品:强效金创药	怪物:18AF57F0虹魔蝎卫8	地图:H204	X:78	Y:35 
[2024/8/20 15:0:59] 物品:强效金创药	怪物:18AF57F0虹魔蝎卫8	地图:H204	X:78	Y:35 
[2024/8/20 15:0:59] 物品:强效金创药	怪物:18AF57F0虹魔蝎卫8	地图:H204	X:78	Y:35 
[2024/8/20 15:0:59] 物品:强效金创药	怪物:18AF57F0虹魔蝎卫8	地图:H204	X:78	Y:35 
[2024/8/20 15:0:59] 物品:强效金创药	怪物:18AF57F0虹魔蝎卫8	地图:H204	X:78	Y:35 
[2024/8/20 15:0:59] 物品:强效金创药	怪物:18AF57F0虹魔蝎卫8	地图:H204	X:78	Y:35 
[2024/8/20 15:0:59] 物品:强效金创药	怪物:18AF57F0虹魔蝎卫8	地图:H204	X:78	Y:35 
[2024/8/20 15:0:59] 物品:强效金创药	怪物:18AF57F0虹魔蝎卫8	地图:H204	X:78	Y:35 
[2024/8/20 15:0:59] 物品:强效金创药	怪物:18AF57F0虹魔蝎卫8	地图:H204	X:78	Y:35 
[2024/8/20 15:0:59] 物品:强效金创药	怪物:18AF57F0虹魔蝎卫8	地图:H204	X:78	Y:35 
[2024/8/20 15:0:59] 物品:强效魔法药	怪物:18AF57F0虹魔蝎卫8	地图:H204	X:78	Y:35 
[2024/8/20 15:0:59] 物品:强效魔法药	怪物:18AF57F0虹魔蝎卫8	地图:H204	X:78	Y:35 
[2024/8/20 15:0:59] 物品:强效魔法药	怪物:18AF57F0虹魔蝎卫8	地图:H204	X:78	Y:35 
[2024/8/20 15:0:59] 物品:强效魔法药	怪物:18AF57F0虹魔蝎卫8	地图:H204	X:78	Y:35 
[2024/8/20 15:0:59] 物品:强效魔法药	怪物:18AF57F0虹魔蝎卫8	地图:H204	X:78	Y:35 
[2024/8/20 15:0:59] 物品:强效魔法药	怪物:18AF57F0虹魔蝎卫8	地图:H204	X:78	Y:35 
[2024/8/20 15:0:59] 物品:强效魔法药	怪物:18AF57F0虹魔蝎卫8	地图:H204	X:78	Y:35 
[2024/8/20 15:0:59] 物品:强效魔法药	怪物:18AF57F0虹魔蝎卫8	地图:H204	X:78	Y:35 
[2024/8/20 15:0:59] 物品:强效魔法药	怪物:18AF57F0虹魔蝎卫8	地图:H204	X:78	Y:35 
[2024/8/20 15:0:59] 物品:强效魔法药	怪物:18AF57F0虹魔蝎卫8	地图:H204	X:78	Y:35 
[2024/8/20 15:0:59] 物品:生命项链	怪物:18AF57F0虹魔蝎卫8	地图:H204	X:78	Y:35 
[2024/8/20 15:1:7] 物品:强效太阳水	怪物:1EDFABD0虹魔猪卫8	地图:H204	X:77	Y:35 
[2024/8/20 15:1:7] 物品:强效太阳水	怪物:1EDFABD0虹魔猪卫8	地图:H204	X:77	Y:35 
[2024/8/20 15:1:7] 物品:强效太阳水	怪物:1EDFABD0虹魔猪卫8	地图:H204	X:77	Y:35 
[2024/8/20 15:1:7] 物品:强效太阳水	怪物:1EDFABD0虹魔猪卫8	地图:H204	X:77	Y:35 
[2024/8/20 15:1:7] 物品:强效太阳水	怪物:1EDFABD0虹魔猪卫8	地图:H204	X:77	Y:35 
[2024/8/20 15:1:7] 物品:强效太阳水	怪物:1EDFABD0虹魔猪卫8	地图:H204	X:77	Y:35 
[2024/8/20 15:1:7] 物品:强效太阳水	怪物:1EDFABD0虹魔猪卫8	地图:H204	X:77	Y:35 
[2024/8/20 15:1:7] 物品:强效太阳水	怪物:1EDFABD0虹魔猪卫8	地图:H204	X:77	Y:35 
[2024/8/20 15:1:7] 物品:强效太阳水	怪物:1EDFABD0虹魔猪卫8	地图:H204	X:77	Y:35 
[2024/8/20 15:1:7] 物品:强效太阳水	怪物:1EDFABD0虹魔猪卫8	地图:H204	X:77	Y:35 
[2024/8/20 15:1:7] 物品:太阳水	怪物:1EDFABD0虹魔猪卫8	地图:H204	X:77	Y:35 
[2024/8/20 15:1:7] 物品:太阳水	怪物:1EDFABD0虹魔猪卫8	地图:H204	X:77	Y:35 
[2024/8/20 15:1:7] 物品:太阳水	怪物:1EDFABD0虹魔猪卫8	地图:H204	X:77	Y:35 
[2024/8/20 15:1:7] 物品:太阳水	怪物:1EDFABD0虹魔猪卫8	地图:H204	X:77	Y:35 
[2024/8/20 15:1:7] 物品:太阳水	怪物:1EDFABD0虹魔猪卫8	地图:H204	X:77	Y:35 
[2024/8/20 15:1:7] 物品:太阳水	怪物:1EDFABD0虹魔猪卫8	地图:H204	X:77	Y:35 
[2024/8/20 15:1:7] 物品:太阳水	怪物:1EDFABD0虹魔猪卫8	地图:H204	X:77	Y:35 
[2024/8/20 15:1:7] 物品:太阳水	怪物:1EDFABD0虹魔猪卫8	地图:H204	X:77	Y:35 
[2024/8/20 15:1:7] 物品:太阳水	怪物:1EDFABD0虹魔猪卫8	地图:H204	X:77	Y:35 
[2024/8/20 15:1:7] 物品:太阳水	怪物:1EDFABD0虹魔猪卫8	地图:H204	X:77	Y:35 
[2024/8/20 15:1:7] 物品:金创药(中量)	怪物:1EDFABD0虹魔猪卫8	地图:H204	X:77	Y:35 
[2024/8/20 15:1:7] 物品:金创药(中量)	怪物:1EDFABD0虹魔猪卫8	地图:H204	X:77	Y:35 
[2024/8/20 15:1:7] 物品:金创药(中量)	怪物:1EDFABD0虹魔猪卫8	地图:H204	X:77	Y:35 
[2024/8/20 15:1:7] 物品:强效金创药	怪物:1EDFABD0虹魔猪卫8	地图:H204	X:77	Y:35 
[2024/8/20 15:1:7] 物品:强效金创药	怪物:1EDFABD0虹魔猪卫8	地图:H204	X:77	Y:35 
[2024/8/20 15:1:7] 物品:强效金创药	怪物:1EDFABD0虹魔猪卫8	地图:H204	X:77	Y:35 
[2024/8/20 15:1:7] 物品:魔法药(中量)	怪物:1EDFABD0虹魔猪卫8	地图:H204	X:77	Y:35 
[2024/8/20 15:1:7] 物品:魔法药(中量)	怪物:1EDFABD0虹魔猪卫8	地图:H204	X:77	Y:35 
[2024/8/20 15:1:7] 物品:魔法药(中量)	怪物:1EDFABD0虹魔猪卫8	地图:H204	X:77	Y:35 
[2024/8/20 15:1:7] 物品:强效魔法药	怪物:1EDFABD0虹魔猪卫8	地图:H204	X:77	Y:35 
[2024/8/20 15:1:7] 物品:强效魔法药	怪物:1EDFABD0虹魔猪卫8	地图:H204	X:77	Y:35 
[2024/8/20 15:1:7] 物品:强效魔法药	怪物:1EDFABD0虹魔猪卫8	地图:H204	X:77	Y:35 
[2024/8/20 15:1:7] 物品:强效金创药	怪物:1EDFABD0虹魔猪卫8	地图:H204	X:77	Y:35 
[2024/8/20 15:1:7] 物品:强效金创药	怪物:1EDFABD0虹魔猪卫8	地图:H204	X:77	Y:35 
[2024/8/20 15:1:7] 物品:强效金创药	怪物:1EDFABD0虹魔猪卫8	地图:H204	X:77	Y:35 
[2024/8/20 15:1:7] 物品:强效金创药	怪物:1EDFABD0虹魔猪卫8	地图:H204	X:77	Y:35 
[2024/8/20 15:1:7] 物品:强效金创药	怪物:1EDFABD0虹魔猪卫8	地图:H204	X:77	Y:35 
[2024/8/20 15:1:7] 物品:强效金创药	怪物:1EDFABD0虹魔猪卫8	地图:H204	X:77	Y:35 
[2024/8/20 15:1:7] 物品:强效魔法药	怪物:1EDFABD0虹魔猪卫8	地图:H204	X:77	Y:35 
[2024/8/20 15:1:7] 物品:强效魔法药	怪物:1EDFABD0虹魔猪卫8	地图:H204	X:77	Y:35 
[2024/8/20 15:1:7] 物品:强效魔法药	怪物:1EDFABD0虹魔猪卫8	地图:H204	X:77	Y:35 
[2024/8/20 15:1:7] 物品:强效魔法药	怪物:1EDFABD0虹魔猪卫8	地图:H204	X:77	Y:35 
[2024/8/20 15:1:7] 物品:强效魔法药	怪物:1EDFABD0虹魔猪卫8	地图:H204	X:77	Y:35 
[2024/8/20 15:1:7] 物品:强效魔法药	怪物:1EDFABD0虹魔猪卫8	地图:H204	X:77	Y:35 
[2024/8/20 15:1:39] 物品:强效太阳水	怪物:24A186C0虹魔蝎卫8	地图:H204	X:72	Y:30 
[2024/8/20 15:1:39] 物品:强效太阳水	怪物:24A186C0虹魔蝎卫8	地图:H204	X:72	Y:30 
[2024/8/20 15:1:39] 物品:强效太阳水	怪物:24A186C0虹魔蝎卫8	地图:H204	X:72	Y:30 
[2024/8/20 15:1:39] 物品:强效太阳水	怪物:24A186C0虹魔蝎卫8	地图:H204	X:72	Y:30 
[2024/8/20 15:1:39] 物品:强效太阳水	怪物:24A186C0虹魔蝎卫8	地图:H204	X:72	Y:30 
[2024/8/20 15:1:39] 物品:强效太阳水	怪物:24A186C0虹魔蝎卫8	地图:H204	X:72	Y:30 
[2024/8/20 15:1:39] 物品:强效太阳水	怪物:24A186C0虹魔蝎卫8	地图:H204	X:72	Y:30 
[2024/8/20 15:1:39] 物品:强效太阳水	怪物:24A186C0虹魔蝎卫8	地图:H204	X:72	Y:30 
[2024/8/20 15:1:39] 物品:强效太阳水	怪物:24A186C0虹魔蝎卫8	地图:H204	X:72	Y:30 
[2024/8/20 15:1:39] 物品:强效太阳水	怪物:24A186C0虹魔蝎卫8	地图:H204	X:72	Y:30 
[2024/8/20 15:1:39] 物品:太阳水	怪物:24A186C0虹魔蝎卫8	地图:H204	X:72	Y:30 
[2024/8/20 15:1:39] 物品:太阳水	怪物:24A186C0虹魔蝎卫8	地图:H204	X:72	Y:30 
[2024/8/20 15:1:39] 物品:太阳水	怪物:24A186C0虹魔蝎卫8	地图:H204	X:72	Y:30 
[2024/8/20 15:1:39] 物品:太阳水	怪物:24A186C0虹魔蝎卫8	地图:H204	X:72	Y:30 
[2024/8/20 15:1:39] 物品:太阳水	怪物:24A186C0虹魔蝎卫8	地图:H204	X:72	Y:30 
[2024/8/20 15:1:39] 物品:太阳水	怪物:24A186C0虹魔蝎卫8	地图:H204	X:72	Y:30 
[2024/8/20 15:1:39] 物品:太阳水	怪物:24A186C0虹魔蝎卫8	地图:H204	X:72	Y:30 
[2024/8/20 15:1:39] 物品:太阳水	怪物:24A186C0虹魔蝎卫8	地图:H204	X:72	Y:30 
[2024/8/20 15:1:39] 物品:太阳水	怪物:24A186C0虹魔蝎卫8	地图:H204	X:72	Y:30 
[2024/8/20 15:1:39] 物品:太阳水	怪物:24A186C0虹魔蝎卫8	地图:H204	X:72	Y:30 
[2024/8/20 15:1:39] 物品:强效金创药	怪物:24A186C0虹魔蝎卫8	地图:H204	X:72	Y:30 
[2024/8/20 15:1:39] 物品:强效金创药	怪物:24A186C0虹魔蝎卫8	地图:H204	X:72	Y:30 
[2024/8/20 15:1:39] 物品:强效金创药	怪物:24A186C0虹魔蝎卫8	地图:H204	X:72	Y:30 
[2024/8/20 15:1:39] 物品:强效金创药	怪物:24A186C0虹魔蝎卫8	地图:H204	X:72	Y:30 
[2024/8/20 15:1:39] 物品:强效金创药	怪物:24A186C0虹魔蝎卫8	地图:H204	X:72	Y:30 
[2024/8/20 15:1:39] 物品:强效金创药	怪物:24A186C0虹魔蝎卫8	地图:H204	X:72	Y:30 
[2024/8/20 15:1:39] 物品:强效金创药	怪物:24A186C0虹魔蝎卫8	地图:H204	X:72	Y:30 
[2024/8/20 15:1:39] 物品:强效金创药	怪物:24A186C0虹魔蝎卫8	地图:H204	X:72	Y:30 
[2024/8/20 15:1:39] 物品:强效金创药	怪物:24A186C0虹魔蝎卫8	地图:H204	X:72	Y:30 
[2024/8/20 15:1:39] 物品:强效金创药	怪物:24A186C0虹魔蝎卫8	地图:H204	X:72	Y:30 
[2024/8/20 15:1:39] 物品:强效魔法药	怪物:24A186C0虹魔蝎卫8	地图:H204	X:72	Y:30 
[2024/8/20 15:1:39] 物品:强效魔法药	怪物:24A186C0虹魔蝎卫8	地图:H204	X:72	Y:30 
[2024/8/20 15:1:39] 物品:强效魔法药	怪物:24A186C0虹魔蝎卫8	地图:H204	X:72	Y:30 
[2024/8/20 15:1:39] 物品:强效魔法药	怪物:24A186C0虹魔蝎卫8	地图:H204	X:72	Y:30 
[2024/8/20 15:1:39] 物品:强效魔法药	怪物:24A186C0虹魔蝎卫8	地图:H204	X:72	Y:30 
[2024/8/20 15:1:39] 物品:强效魔法药	怪物:24A186C0虹魔蝎卫8	地图:H204	X:72	Y:30 
[2024/8/20 15:1:39] 物品:强效魔法药	怪物:24A186C0虹魔蝎卫8	地图:H204	X:72	Y:30 
[2024/8/20 15:1:39] 物品:强效魔法药	怪物:24A186C0虹魔蝎卫8	地图:H204	X:72	Y:30 
[2024/8/20 15:1:39] 物品:强效魔法药	怪物:24A186C0虹魔蝎卫8	地图:H204	X:72	Y:30 
[2024/8/20 15:1:39] 物品:强效魔法药	怪物:24A186C0虹魔蝎卫8	地图:H204	X:72	Y:30 
[2024/8/20 15:1:41] 物品:金创药(中量)	怪物:2F0930E0祖玛卫士8	地图:H204	X:38	Y:21 
[2024/8/20 15:1:43] 物品:强效太阳水	怪物:0DB12190沃玛卫士8	地图:H003	X:46	Y:34 
[2024/8/20 15:1:43] 物品:强效太阳水	怪物:0DB12190沃玛卫士8	地图:H003	X:46	Y:34 
[2024/8/20 15:1:43] 物品:强效太阳水	怪物:0DB12190沃玛卫士8	地图:H003	X:46	Y:34 
[2024/8/20 15:1:43] 物品:强效太阳水	怪物:0DB12190沃玛卫士8	地图:H003	X:46	Y:34 
[2024/8/20 15:1:43] 物品:强效太阳水	怪物:0DB12190沃玛卫士8	地图:H003	X:46	Y:34 
[2024/8/20 15:1:43] 物品:太阳水	怪物:0DB12190沃玛卫士8	地图:H003	X:46	Y:34 
[2024/8/20 15:1:43] 物品:太阳水	怪物:0DB12190沃玛卫士8	地图:H003	X:46	Y:34 
[2024/8/20 15:1:43] 物品:太阳水	怪物:0DB12190沃玛卫士8	地图:H003	X:46	Y:34 
[2024/8/20 15:1:43] 物品:太阳水	怪物:0DB12190沃玛卫士8	地图:H003	X:46	Y:34 
[2024/8/20 15:1:43] 物品:太阳水	怪物:0DB12190沃玛卫士8	地图:H003	X:46	Y:34 
[2024/8/20 15:1:43] 物品:太阳水	怪物:0DB12190沃玛卫士8	地图:H003	X:46	Y:34 
[2024/8/20 15:1:43] 物品:太阳水	怪物:0DB12190沃玛卫士8	地图:H003	X:46	Y:34 
[2024/8/20 15:1:43] 物品:太阳水	怪物:0DB12190沃玛卫士8	地图:H003	X:46	Y:34 
[2024/8/20 15:1:43] 物品:太阳水	怪物:0DB12190沃玛卫士8	地图:H003	X:46	Y:34 
[2024/8/20 15:1:43] 物品:太阳水	怪物:0DB12190沃玛卫士8	地图:H003	X:46	Y:34 
