[2024/8/17 1:0:0] 物品:太阳水	怪物:29A39370黑色恶蛆8	地图:H004	X:88	Y:67 
[2024/8/17 1:3:31] 物品:魔法药(小量)	怪物:15AB5D20僵尸3	地图:D413	X:35	Y:53 
[2024/8/17 1:3:53] 物品:金创药(小量)	怪物:29C2C5A0僵尸3	地图:D401	X:39	Y:95 
[2024/8/17 1:3:59] 物品:金创药(小量)	怪物:187D4600僵尸3	地图:D401	X:37	Y:103 
[2024/8/17 1:4:5] 物品:地狱雷光	怪物:2370CB20尸王2	地图:D2002	X:23	Y:27 
[2024/8/17 1:4:5] 物品:火墙	怪物:2370CB20尸王2	地图:D2002	X:23	Y:27 
[2024/8/17 1:4:5] 物品:爆裂火焰	怪物:2370CB20尸王2	地图:D2002	X:23	Y:27 
[2024/8/17 1:4:5] 物品:施毒术	怪物:2370CB20尸王2	地图:D2002	X:23	Y:27 
[2024/8/17 1:4:7] 物品:金创药(小量)	怪物:28A1F8A0僵尸3	地图:D413	X:57	Y:49 
[2024/8/17 1:4:10] 物品:金创药(小量)	怪物:30A1BFE0稻草人	地图:0	X:319	Y:590 
[2024/8/17 1:4:15] 物品:银手镯	怪物:1B93A040森林雪人0	地图:11	X:166	Y:414 
[2024/8/17 1:4:15] 物品:布衣(男)	怪物:1B93A040森林雪人0	地图:11	X:166	Y:414 
[2024/8/17 1:4:15] 物品:木剑	怪物:1B93A040森林雪人0	地图:11	X:166	Y:414 
[2024/8/17 1:4:15] 物品:匕首	怪物:1B93A040森林雪人0	地图:11	X:166	Y:414 
[2024/8/17 1:4:15] 物品:乌木剑	怪物:1B93A040森林雪人0	地图:11	X:166	Y:414 
[2024/8/17 1:4:15] 物品:金项链	怪物:1B93A040森林雪人0	地图:11	X:166	Y:414 
[2024/8/17 1:4:15] 物品:古铜戒指	怪物:1B93A040森林雪人0	地图:11	X:166	Y:414 
[2024/8/17 1:4:15] 物品:铁手镯	怪物:1B93A040森林雪人0	地图:11	X:166	Y:414 
[2024/8/17 1:4:15] 物品:金创药(小量)	怪物:1B93A040森林雪人0	地图:11	X:166	Y:414 
[2024/8/17 1:4:15] 物品:金创药(小量)	怪物:1B93A040森林雪人0	地图:11	X:166	Y:414 
[2024/8/17 1:4:15] 物品:金创药(小量)	怪物:1B93A040森林雪人0	地图:11	X:166	Y:414 
[2024/8/17 1:4:15] 物品:金创药(小量)	怪物:1B93A040森林雪人0	地图:11	X:166	Y:414 
[2024/8/17 1:4:15] 物品:魔法药(小量)	怪物:1B93A040森林雪人0	地图:11	X:166	Y:414 
[2024/8/17 1:4:15] 物品:魔法药(小量)	怪物:1B93A040森林雪人0	地图:11	X:166	Y:414 
[2024/8/17 1:4:15] 物品:魔法药(小量)	怪物:1B93A040森林雪人0	地图:11	X:166	Y:414 
[2024/8/17 1:4:15] 物品:魔法药(小量)	怪物:1B93A040森林雪人0	地图:11	X:166	Y:414 
[2024/8/17 1:4:19] 物品:金创药(小量)	怪物:0D38D510稻草人	地图:0	X:319	Y:590 
[2024/8/17 1:4:25] 物品:布衣(男)	怪物:15AFDF30森林雪人0	地图:11	X:159	Y:423 
[2024/8/17 1:4:25] 物品:木剑	怪物:15AFDF30森林雪人0	地图:11	X:159	Y:423 
[2024/8/17 1:4:25] 物品:匕首	怪物:15AFDF30森林雪人0	地图:11	X:159	Y:423 
[2024/8/17 1:4:25] 物品:乌木剑	怪物:15AFDF30森林雪人0	地图:11	X:159	Y:423 
[2024/8/17 1:4:25] 物品:金项链	怪物:15AFDF30森林雪人0	地图:11	X:159	Y:423 
[2024/8/17 1:4:25] 物品:古铜戒指	怪物:15AFDF30森林雪人0	地图:11	X:159	Y:423 
[2024/8/17 1:4:25] 物品:金创药(小量)	怪物:15AFDF30森林雪人0	地图:11	X:159	Y:423 
[2024/8/17 1:4:25] 物品:金创药(小量)	怪物:15AFDF30森林雪人0	地图:11	X:159	Y:423 
[2024/8/17 1:4:25] 物品:金创药(小量)	怪物:15AFDF30森林雪人0	地图:11	X:159	Y:423 
[2024/8/17 1:4:25] 物品:金创药(小量)	怪物:15AFDF30森林雪人0	地图:11	X:159	Y:423 
[2024/8/17 1:4:25] 物品:魔法药(小量)	怪物:15AFDF30森林雪人0	地图:11	X:159	Y:423 
[2024/8/17 1:4:25] 物品:魔法药(小量)	怪物:15AFDF30森林雪人0	地图:11	X:159	Y:423 
[2024/8/17 1:4:25] 物品:魔法药(小量)	怪物:15AFDF30森林雪人0	地图:11	X:159	Y:423 
[2024/8/17 1:4:25] 物品:魔法药(小量)	怪物:15AFDF30森林雪人0	地图:11	X:159	Y:423 
[2024/8/17 1:4:37] 物品:火球术	怪物:2828E300僵尸3	地图:D413	X:64	Y:60 
[2024/8/17 1:4:39] 物品:金创药(小量)	怪物:186EC8A0稻草人	地图:0	X:317	Y:590 
[2024/8/17 1:4:40] 物品:魔法药(小量)	怪物:29C2C5A0僵尸3	地图:D401	X:35	Y:101 
[2024/8/17 1:4:45] 物品:抗拒火环	怪物:1B7B9100僵尸3	地图:D401	X:43	Y:72 
[2024/8/17 1:4:52] 物品:强效太阳水	怪物:18702BA0半兽统领	地图:11	X:154	Y:422 
[2024/8/17 1:4:52] 物品:强效太阳水	怪物:18702BA0半兽统领	地图:11	X:154	Y:422 
[2024/8/17 1:4:52] 物品:强效太阳水	怪物:18702BA0半兽统领	地图:11	X:154	Y:422 
[2024/8/17 1:4:52] 物品:强效太阳水	怪物:18702BA0半兽统领	地图:11	X:154	Y:422 
[2024/8/17 1:4:52] 物品:太阳水	怪物:18702BA0半兽统领	地图:11	X:154	Y:422 
[2024/8/17 1:4:52] 物品:太阳水	怪物:18702BA0半兽统领	地图:11	X:154	Y:422 
[2024/8/17 1:4:52] 物品:疗伤药	怪物:18702BA0半兽统领	地图:11	X:154	Y:422 
[2024/8/17 1:4:52] 物品:疗伤药	怪物:18702BA0半兽统领	地图:11	X:154	Y:422 
[2024/8/17 1:4:52] 物品:强效太阳水	怪物:18702BA0半兽统领	地图:11	X:154	Y:422 
[2024/8/17 1:4:52] 物品:强效太阳水	怪物:18702BA0半兽统领	地图:11	X:154	Y:422 
[2024/8/17 1:4:52] 物品:强效金创药	怪物:18702BA0半兽统领	地图:11	X:154	Y:422 
[2024/8/17 1:4:52] 物品:强效金创药	怪物:18702BA0半兽统领	地图:11	X:154	Y:422 
[2024/8/17 1:4:52] 物品:强效金创药	怪物:18702BA0半兽统领	地图:11	X:154	Y:422 
[2024/8/17 1:4:52] 物品:强效金创药	怪物:18702BA0半兽统领	地图:11	X:154	Y:422 
[2024/8/17 1:4:52] 物品:强效魔法药	怪物:18702BA0半兽统领	地图:11	X:154	Y:422 
[2024/8/17 1:4:52] 物品:强效魔法药	怪物:18702BA0半兽统领	地图:11	X:154	Y:422 
[2024/8/17 1:4:52] 物品:强效魔法药	怪物:18702BA0半兽统领	地图:11	X:154	Y:422 
[2024/8/17 1:4:52] 物品:强效魔法药	怪物:18702BA0半兽统领	地图:11	X:154	Y:422 
[2024/8/17 1:4:52] 物品:重盔甲(女)	怪物:18702BA0半兽统领	地图:11	X:154	Y:422 
[2024/8/17 1:4:52] 物品:灵魂战衣(女)	怪物:18702BA0半兽统领	地图:11	X:154	Y:422 
[2024/8/17 1:4:52] 物品:灵魂战衣(男)	怪物:18702BA0半兽统领	地图:11	X:154	Y:422 
[2024/8/17 1:4:52] 物品:金戒指	怪物:18702BA0半兽统领	地图:11	X:154	Y:422 
[2024/8/17 1:4:52] 物品:魅力戒指	怪物:18702BA0半兽统领	地图:11	X:154	Y:422 
[2024/8/17 1:4:52] 物品:道士手镯	怪物:18702BA0半兽统领	地图:11	X:154	Y:422 
[2024/8/17 1:4:52] 物品:斩马刀	怪物:18702BA0半兽统领	地图:11	X:154	Y:422 
[2024/8/17 1:4:52] 物品:白色虎齿项链	怪物:18702BA0半兽统领	地图:11	X:154	Y:422 
[2024/8/17 1:4:52] 物品:白金项链	怪物:18702BA0半兽统领	地图:11	X:154	Y:422 
[2024/8/17 1:4:52] 物品:骷髅戒指	怪物:18702BA0半兽统领	地图:11	X:154	Y:422 
[2024/8/17 1:4:52] 物品:小手镯	怪物:18702BA0半兽统领	地图:11	X:154	Y:422 
[2024/8/17 1:4:54] 物品:魔法药(小量)	怪物:05884AC0稻草人	地图:0	X:316	Y:590 
[2024/8/17 1:4:57] 物品:雷电术	怪物:2370F780尸王2	地图:D2002	X:33	Y:13 
[2024/8/17 1:4:57] 物品:地狱火	怪物:2370F780尸王2	地图:D2002	X:33	Y:13 
[2024/8/17 1:4:57] 物品:召唤骷髅	怪物:2370F780尸王2	地图:D2002	X:33	Y:13 
[2024/8/17 1:5:8] 物品:魔法药(小量)	怪物:29C2C5A0僵尸3	地图:D401	X:34	Y:100 
[2024/8/17 1:5:8] 物品:雷电术	怪物:29C2C5A0僵尸3	地图:D401	X:34	Y:100 
[2024/8/17 1:5:11] 物品:攻击力药水	怪物:1AF84FA0僵尸2	地图:D401	X:38	Y:67 
[2024/8/17 1:5:16] 物品:金创药(小量)	怪物:191664C0稻草人	地图:0	X:282	Y:663 
[2024/8/17 1:5:18] 物品:抗拒火环	怪物:3047AA80僵尸3	地图:D413	X:65	Y:63 
[2024/8/17 1:5:20] 物品:魔法药(小量)	怪物:1EF71160僵尸3	地图:D413	X:78	Y:66 
[2024/8/17 1:5:55] 物品:金创药(小量)	怪物:195DD540僵尸3	地图:D401	X:47	Y:56 
[2024/8/17 1:5:59] 物品:太阳水	怪物:286E15A0黑色恶蛆8	地图:H004	X:51	Y:67 
[2024/8/17 1:6:11] 物品:诱惑之光	怪物:17B6FE20僵尸30	地图:D413	X:46	Y:24 
[2024/8/17 1:6:11] 物品:抗拒火环	怪物:17B6FE20僵尸30	地图:D413	X:46	Y:24 
[2024/8/17 1:6:11] 物品:八荒	怪物:17B6FE20僵尸30	地图:D413	X:46	Y:24 
[2024/8/17 1:6:11] 物品:海魂	怪物:17B6FE20僵尸30	地图:D413	X:46	Y:24 
[2024/8/17 1:6:11] 物品:凌风	怪物:17B6FE20僵尸30	地图:D413	X:46	Y:24 
[2024/8/17 1:6:11] 物品:蓝色水晶戒指	怪物:17B6FE20僵尸30	地图:D413	X:46	Y:24 
[2024/8/17 1:6:11] 物品:琥珀项链	怪物:17B6FE20僵尸30	地图:D413	X:46	Y:24 
[2024/8/17 1:6:11] 物品:凤凰明珠	怪物:17B6FE20僵尸30	地图:D413	X:46	Y:24 
[2024/8/17 1:6:11] 物品:坚固手套	怪物:17B6FE20僵尸30	地图:D413	X:46	Y:24 
[2024/8/17 1:6:11] 物品:魔力手镯	怪物:17B6FE20僵尸30	地图:D413	X:46	Y:24 
[2024/8/17 1:6:11] 物品:铁剑	怪物:17B6FE20僵尸30	地图:D413	X:46	Y:24 
[2024/8/17 1:6:11] 物品:金创药(小量)	怪物:17B6FE20僵尸30	地图:D413	X:46	Y:24 
[2024/8/17 1:6:11] 物品:金创药(小量)	怪物:17B6FE20僵尸30	地图:D413	X:46	Y:24 
[2024/8/17 1:6:13] 物品:魔法药(小量)	怪物:280FCC80僵尸3	地图:D413	X:44	Y:23 
[2024/8/17 1:6:26] 物品:金创药(小量)	怪物:2799DF80僵尸3	地图:D413	X:44	Y:24 
[2024/8/17 1:6:27] 物品:太阳水	怪物:1B790D90半兽勇士9	地图:11	X:120	Y:448 
[2024/8/17 1:6:34] 物品:金创药(小量)	怪物:27F6DD50稻草人	地图:0	X:521	Y:624 
[2024/8/17 1:6:44] 物品:传统项链	怪物:1B8D1F80半兽人	地图:11	X:319	Y:118 
[2024/8/17 1:6:45] 物品:道德戒指	怪物:2A9EA790跳跳蜂8	地图:H004	X:23	Y:42 
[2024/8/17 1:6:53] 物品:金创药(小量)	怪物:1B89A980僵尸3	地图:D413	X:27	Y:34 
[2024/8/17 1:7:18] 物品:金创药(中量)	怪物:0560F8A0骷髅战士0	地图:E001	X:85	Y:17 
[2024/8/17 1:7:18] 物品:金创药(中量)	怪物:0560F8A0骷髅战士0	地图:E001	X:85	Y:17 
[2024/8/17 1:7:18] 物品:金创药(中量)	怪物:0560F8A0骷髅战士0	地图:E001	X:85	Y:17 
[2024/8/17 1:7:18] 物品:金创药(中量)	怪物:0560F8A0骷髅战士0	地图:E001	X:85	Y:17 
[2024/8/17 1:7:18] 物品:魔法药(中量)	怪物:0560F8A0骷髅战士0	地图:E001	X:85	Y:17 
[2024/8/17 1:7:18] 物品:魔法药(中量)	怪物:0560F8A0骷髅战士0	地图:E001	X:85	Y:17 
[2024/8/17 1:7:18] 物品:魔法药(中量)	怪物:0560F8A0骷髅战士0	地图:E001	X:85	Y:17 
[2024/8/17 1:7:18] 物品:魔法药(中量)	怪物:0560F8A0骷髅战士0	地图:E001	X:85	Y:17 
[2024/8/17 1:7:19] 物品:魔法药(小量)	怪物:288EA5E0僵尸3	地图:D413	X:36	Y:35 
[2024/8/17 1:7:26] 物品:攻击力药水	怪物:1B8E5A60半兽人	地图:11	X:341	Y:103 
[2024/8/17 1:7:33] 物品:青铜斧	怪物:1B8C1540半兽战士	地图:11	X:341	Y:103 
[2024/8/17 1:7:45] 物品:金创药(小量)	怪物:1C097E20僵尸3	地图:D413	X:36	Y:36 
[2024/8/17 1:7:45] 物品:地狱火	怪物:1C097E20僵尸3	地图:D413	X:36	Y:36 
[2024/8/17 1:7:47] 物品:金创药(小量)	怪物:05067A10骷髅战士	地图:D012	X:378	Y:71 
[2024/8/17 1:7:48] 物品:魔法药(小量)	怪物:1F12B320僵尸3	地图:D413	X:34	Y:36 
[2024/8/17 1:7:49] 物品:魔法药(小量)	怪物:28DD8910僵尸3	地图:D401	X:62	Y:59 
[2024/8/17 1:7:59] 物品:诱惑之光	怪物:28A32F40僵尸3	地图:D401	X:60	Y:60 
[2024/8/17 1:8:5] 物品:火墙	怪物:28DD8910僵尸3	地图:D401	X:62	Y:59 
[2024/8/17 1:8:18] 物品:太阳水	怪物:0C49ADD0黑色恶蛆8	地图:H004	X:17	Y:39 
[2024/8/17 1:8:23] 物品:强效太阳水	怪物:1B2B4E70千年树妖	地图:4	X:123	Y:404 
[2024/8/17 1:8:23] 物品:强效太阳水	怪物:1B2B4E70千年树妖	地图:4	X:123	Y:404 
[2024/8/17 1:8:23] 物品:强效魔法药	怪物:1B2B4E70千年树妖	地图:4	X:123	Y:404 
[2024/8/17 1:8:23] 物品:强效魔法药	怪物:1B2B4E70千年树妖	地图:4	X:123	Y:404 
[2024/8/17 1:8:23] 物品:魔法长袍(女)	怪物:1B2B4E70千年树妖	地图:4	X:123	Y:404 
[2024/8/17 1:8:24] 物品:金创药(小量)	怪物:28A32F40僵尸3	地图:D401	X:60	Y:60 
[2024/8/17 1:8:26] 物品:金创药(小量)	怪物:29A4B260僵尸3	地图:D413	X:61	Y:41 
[2024/8/17 1:8:38] 物品:金创药(中量)	怪物:1B96A750天狼蜘蛛	地图:11	X:342	Y:148 
[2024/8/17 1:8:38] 物品:魔法药(中量)	怪物:1B96A750天狼蜘蛛	地图:11	X:342	Y:148 
[2024/8/17 1:8:38] 物品:太阳水	怪物:1B96A750天狼蜘蛛	地图:11	X:342	Y:148 
[2024/8/17 1:8:38] 物品:珊瑚戒指	怪物:1B96A750天狼蜘蛛	地图:11	X:342	Y:148 
[2024/8/17 1:8:47] 物品:太阳水	怪物:28169A80黑色恶蛆8	地图:H001	X:128	Y:27 
[2024/8/17 1:8:49] 物品:坚固手套	怪物:1B914930天狼蜘蛛0	地图:11	X:344	Y:150 
[2024/8/17 1:8:49] 物品:太阳水	怪物:1B914930天狼蜘蛛0	地图:11	X:344	Y:150 
[2024/8/17 1:8:49] 物品:太阳水	怪物:1B914930天狼蜘蛛0	地图:11	X:344	Y:150 
[2024/8/17 1:8:49] 物品:太阳水	怪物:1B914930天狼蜘蛛0	地图:11	X:344	Y:150 
[2024/8/17 1:8:49] 物品:太阳水	怪物:1B914930天狼蜘蛛0	地图:11	X:344	Y:150 
[2024/8/17 1:8:49] 物品:金创药(中量)	怪物:1B914930天狼蜘蛛0	地图:11	X:344	Y:150 
[2024/8/17 1:8:49] 物品:金创药(中量)	怪物:1B914930天狼蜘蛛0	地图:11	X:344	Y:150 
[2024/8/17 1:8:49] 物品:金创药(中量)	怪物:1B914930天狼蜘蛛0	地图:11	X:344	Y:150 
[2024/8/17 1:8:49] 物品:金创药(中量)	怪物:1B914930天狼蜘蛛0	地图:11	X:344	Y:150 
[2024/8/17 1:8:49] 物品:魔法药(中量)	怪物:1B914930天狼蜘蛛0	地图:11	X:344	Y:150 
[2024/8/17 1:8:49] 物品:魔法药(中量)	怪物:1B914930天狼蜘蛛0	地图:11	X:344	Y:150 
[2024/8/17 1:8:49] 物品:魔法药(中量)	怪物:1B914930天狼蜘蛛0	地图:11	X:344	Y:150 
[2024/8/17 1:8:49] 物品:魔法药(中量)	怪物:1B914930天狼蜘蛛0	地图:11	X:344	Y:150 
[2024/8/17 1:8:49] 物品:强效金创药	怪物:1B914930天狼蜘蛛0	地图:11	X:344	Y:150 
[2024/8/17 1:8:49] 物品:强效金创药	怪物:1B914930天狼蜘蛛0	地图:11	X:344	Y:150 
[2024/8/17 1:8:49] 物品:强效金创药	怪物:1B914930天狼蜘蛛0	地图:11	X:344	Y:150 
[2024/8/17 1:8:49] 物品:强效金创药	怪物:1B914930天狼蜘蛛0	地图:11	X:344	Y:150 
[2024/8/17 1:8:49] 物品:强效魔法药	怪物:1B914930天狼蜘蛛0	地图:11	X:344	Y:150 
[2024/8/17 1:8:49] 物品:强效魔法药	怪物:1B914930天狼蜘蛛0	地图:11	X:344	Y:150 
[2024/8/17 1:8:49] 物品:强效魔法药	怪物:1B914930天狼蜘蛛0	地图:11	X:344	Y:150 
[2024/8/17 1:8:49] 物品:强效魔法药	怪物:1B914930天狼蜘蛛0	地图:11	X:344	Y:150 
[2024/8/17 1:9:6] 物品:金创药(小量)	怪物:28D899E0僵尸3	地图:D401	X:51	Y:64 
[2024/8/17 1:9:11] 物品:琥珀项链	怪物:1B883050半兽勇士9	地图:11	X:363	Y:166 
[2024/8/17 1:9:29] 物品:金创药(小量)	怪物:186FFF40僵尸3	地图:D413	X:84	Y:30 
[2024/8/17 1:9:29] 物品:魔法药(小量)	怪物:186FFF40僵尸3	地图:D413	X:84	Y:30 
[2024/8/17 1:9:30] 物品:战神油	怪物:18C99830蜈蚣8	地图:H004	X:32	Y:30 
[2024/8/17 1:9:39] 物品:魔法药(小量)	怪物:1B82B380森林雪人	地图:11	X:367	Y:188 
[2024/8/17 1:10:7] 物品:金创药(中量)	怪物:1AEFA730骷髅战将	地图:4	X:282	Y:278 
[2024/8/17 1:11:8] 物品:金创药(小量)	怪物:288EBC10僵尸3	地图:D413	X:40	Y:58 
[2024/8/17 1:11:8] 物品:魔法药(小量)	怪物:288EBC10僵尸3	地图:D413	X:40	Y:58 
[2024/8/17 1:11:10] 物品:金创药(中量)	怪物:1BB03610天狼蜘蛛	地图:12	X:63	Y:376 
[2024/8/17 1:11:10] 物品:魔法药(中量)	怪物:1BB03610天狼蜘蛛	地图:12	X:63	Y:376 
[2024/8/17 1:11:20] 物品:神水	怪物:223492B0鹿1	地图:M001	X:186	Y:342 
[2024/8/17 1:11:20] 物品:鹿茸	怪物:223492B0鹿1	地图:M001	X:186	Y:342 
[2024/8/17 1:11:20] 物品:神秘腰带	怪物:223492B0鹿1	地图:M001	X:186	Y:342 
[2024/8/17 1:11:20] 物品:神秘戒指	怪物:223492B0鹿1	地图:M001	X:186	Y:342 
[2024/8/17 1:11:20] 物品:神秘头盔	怪物:223492B0鹿1	地图:M001	X:186	Y:342 
[2024/8/17 1:11:20] 物品:灵魂战衣(女)	怪物:223492B0鹿1	地图:M001	X:186	Y:342 
[2024/8/17 1:11:20] 物品:灵魂战衣(男)	怪物:223492B0鹿1	地图:M001	X:186	Y:342 
[2024/8/17 1:11:20] 物品:魔法长袍(男)	怪物:223492B0鹿1	地图:M001	X:186	Y:342 
[2024/8/17 1:11:20] 物品:金戒指	怪物:223492B0鹿1	地图:M001	X:186	Y:342 
[2024/8/17 1:11:21] 物品:金创药(小量)	怪物:288ED240僵尸3	地图:D413	X:29	Y:64 
[2024/8/17 1:11:25] 物品:绿宝石矿	怪物:30F52B70变异史莱姆8	地图:H004	X:88	Y:63 
[2024/8/17 1:11:30] 物品:精神力药水	怪物:28C08010僵尸3	地图:D413	X:30	Y:64 
[2024/8/17 1:12:0] 物品:金创药(小量)	怪物:1C0E02A0僵尸3	地图:D413	X:21	Y:25 
[2024/8/17 1:12:1] 物品:金创药(中量)	怪物:1BB08ED0天狼蜘蛛	地图:12	X:45	Y:369 
[2024/8/17 1:12:1] 物品:魔法药(中量)	怪物:1BB08ED0天狼蜘蛛	地图:12	X:45	Y:369 
[2024/8/17 1:12:1] 物品:疗伤药	怪物:1BB08ED0天狼蜘蛛	地图:12	X:45	Y:369 
[2024/8/17 1:12:10] 物品:金创药(小量)	怪物:30B6C980僵尸3	地图:D401	X:113	Y:165 
[2024/8/17 1:12:13] 物品:金创药(小量)	怪物:18CD2A20僵尸3	地图:D413	X:21	Y:24 
[2024/8/17 1:12:13] 物品:魔法药(小量)	怪物:18CD2A20僵尸3	地图:D413	X:21	Y:24 
[2024/8/17 1:12:33] 物品:金创药(中量)	怪物:1BC97E00天狼蜘蛛	地图:12	X:246	Y:420 
[2024/8/17 1:12:33] 物品:魔法药(中量)	怪物:1BC97E00天狼蜘蛛	地图:12	X:246	Y:420 
[2024/8/17 1:12:41] 物品:金创药(小量)	怪物:1C0E02A0僵尸3	地图:D413	X:21	Y:25 
[2024/8/17 1:12:58] 物品:木剑	怪物:30CE1D00钉耙猫	地图:0	X:659	Y:560 
