[2024/8/17 16:0:40] 物品:太阳水	怪物:0DABD560黑野猪8	地图:H002	X:184	Y:212 
[2024/8/17 16:5:5] 物品:魔法药(小量)	怪物:2A2CBF10山洞蝙蝠	地图:D002	X:226	Y:232 
[2024/8/17 16:5:20] 物品:金创药(中量)	怪物:1DFB64A0红野猪	地图:D711	X:335	Y:291 
[2024/8/17 16:5:29] 物品:强效太阳水	怪物:28A8BD60尸王8	地图:H001	X:81	Y:21 
[2024/8/17 16:5:29] 物品:强效太阳水	怪物:28A8BD60尸王8	地图:H001	X:81	Y:21 
[2024/8/17 16:5:29] 物品:强效太阳水	怪物:28A8BD60尸王8	地图:H001	X:81	Y:21 
[2024/8/17 16:5:29] 物品:强效太阳水	怪物:28A8BD60尸王8	地图:H001	X:81	Y:21 
[2024/8/17 16:5:29] 物品:强效太阳水	怪物:28A8BD60尸王8	地图:H001	X:81	Y:21 
[2024/8/17 16:5:29] 物品:强效金创药	怪物:28A8BD60尸王8	地图:H001	X:81	Y:21 
[2024/8/17 16:5:29] 物品:强效金创药	怪物:28A8BD60尸王8	地图:H001	X:81	Y:21 
[2024/8/17 16:5:29] 物品:强效魔法药	怪物:28A8BD60尸王8	地图:H001	X:81	Y:21 
[2024/8/17 16:5:29] 物品:强效魔法药	怪物:28A8BD60尸王8	地图:H001	X:81	Y:21 
[2024/8/17 16:5:29] 物品:死神手套	怪物:28A8BD60尸王8	地图:H001	X:81	Y:21 
[2024/8/17 16:5:29] 物品:地狱雷光	怪物:28A8BD60尸王8	地图:H001	X:81	Y:21 
[2024/8/17 16:5:36] 物品:金创药(小量)	怪物:1F3AF5B0骷髅战士	地图:D002	X:207	Y:223 
[2024/8/17 16:5:42] 物品:太阳水	怪物:283AD390黑野猪8	地图:H002	X:253	Y:150 
[2024/8/17 16:6:4] 物品:强效太阳水	怪物:0DAAB0B0邪恶钳虫8	地图:H004	X:60	Y:119 
[2024/8/17 16:6:4] 物品:强效太阳水	怪物:0DAAB0B0邪恶钳虫8	地图:H004	X:60	Y:119 
[2024/8/17 16:6:4] 物品:强效太阳水	怪物:0DAAB0B0邪恶钳虫8	地图:H004	X:60	Y:119 
[2024/8/17 16:6:4] 物品:强效太阳水	怪物:0DAAB0B0邪恶钳虫8	地图:H004	X:60	Y:119 
[2024/8/17 16:6:4] 物品:强效太阳水	怪物:0DAAB0B0邪恶钳虫8	地图:H004	X:60	Y:119 
[2024/8/17 16:6:4] 物品:强效太阳水	怪物:0DAAB0B0邪恶钳虫8	地图:H004	X:60	Y:119 
[2024/8/17 16:6:4] 物品:强效太阳水	怪物:0DAAB0B0邪恶钳虫8	地图:H004	X:60	Y:119 
[2024/8/17 16:6:4] 物品:强效太阳水	怪物:0DAAB0B0邪恶钳虫8	地图:H004	X:60	Y:119 
[2024/8/17 16:6:4] 物品:强效太阳水	怪物:0DAAB0B0邪恶钳虫8	地图:H004	X:60	Y:119 
[2024/8/17 16:6:4] 物品:强效太阳水	怪物:0DAAB0B0邪恶钳虫8	地图:H004	X:60	Y:119 
[2024/8/17 16:6:4] 物品:太阳水	怪物:0DAAB0B0邪恶钳虫8	地图:H004	X:60	Y:119 
[2024/8/17 16:6:4] 物品:太阳水	怪物:0DAAB0B0邪恶钳虫8	地图:H004	X:60	Y:119 
[2024/8/17 16:6:4] 物品:太阳水	怪物:0DAAB0B0邪恶钳虫8	地图:H004	X:60	Y:119 
[2024/8/17 16:6:4] 物品:太阳水	怪物:0DAAB0B0邪恶钳虫8	地图:H004	X:60	Y:119 
[2024/8/17 16:6:4] 物品:太阳水	怪物:0DAAB0B0邪恶钳虫8	地图:H004	X:60	Y:119 
[2024/8/17 16:6:4] 物品:太阳水	怪物:0DAAB0B0邪恶钳虫8	地图:H004	X:60	Y:119 
[2024/8/17 16:6:4] 物品:太阳水	怪物:0DAAB0B0邪恶钳虫8	地图:H004	X:60	Y:119 
[2024/8/17 16:6:4] 物品:太阳水	怪物:0DAAB0B0邪恶钳虫8	地图:H004	X:60	Y:119 
[2024/8/17 16:6:4] 物品:太阳水	怪物:0DAAB0B0邪恶钳虫8	地图:H004	X:60	Y:119 
[2024/8/17 16:6:4] 物品:太阳水	怪物:0DAAB0B0邪恶钳虫8	地图:H004	X:60	Y:119 
[2024/8/17 16:6:4] 物品:太阳水	怪物:0DAAB0B0邪恶钳虫8	地图:H004	X:60	Y:119 
[2024/8/17 16:6:4] 物品:太阳水	怪物:0DAAB0B0邪恶钳虫8	地图:H004	X:60	Y:119 
[2024/8/17 16:6:4] 物品:太阳水	怪物:0DAAB0B0邪恶钳虫8	地图:H004	X:60	Y:119 
[2024/8/17 16:6:4] 物品:太阳水	怪物:0DAAB0B0邪恶钳虫8	地图:H004	X:60	Y:119 
[2024/8/17 16:6:4] 物品:金创药(中量)	怪物:0DAAB0B0邪恶钳虫8	地图:H004	X:60	Y:119 
[2024/8/17 16:6:4] 物品:金创药(中量)	怪物:0DAAB0B0邪恶钳虫8	地图:H004	X:60	Y:119 
[2024/8/17 16:6:4] 物品:强效金创药	怪物:0DAAB0B0邪恶钳虫8	地图:H004	X:60	Y:119 
[2024/8/17 16:6:4] 物品:强效金创药	怪物:0DAAB0B0邪恶钳虫8	地图:H004	X:60	Y:119 
[2024/8/17 16:6:4] 物品:强效金创药	怪物:0DAAB0B0邪恶钳虫8	地图:H004	X:60	Y:119 
[2024/8/17 16:6:4] 物品:魔法药(中量)	怪物:0DAAB0B0邪恶钳虫8	地图:H004	X:60	Y:119 
[2024/8/17 16:6:4] 物品:魔法药(中量)	怪物:0DAAB0B0邪恶钳虫8	地图:H004	X:60	Y:119 
[2024/8/17 16:6:4] 物品:强效魔法药	怪物:0DAAB0B0邪恶钳虫8	地图:H004	X:60	Y:119 
[2024/8/17 16:6:4] 物品:强效魔法药	怪物:0DAAB0B0邪恶钳虫8	地图:H004	X:60	Y:119 
[2024/8/17 16:6:4] 物品:强效魔法药	怪物:0DAAB0B0邪恶钳虫8	地图:H004	X:60	Y:119 
[2024/8/17 16:6:4] 物品:强效金创药	怪物:0DAAB0B0邪恶钳虫8	地图:H004	X:60	Y:119 
[2024/8/17 16:6:4] 物品:强效金创药	怪物:0DAAB0B0邪恶钳虫8	地图:H004	X:60	Y:119 
[2024/8/17 16:6:4] 物品:强效金创药	怪物:0DAAB0B0邪恶钳虫8	地图:H004	X:60	Y:119 
[2024/8/17 16:6:4] 物品:强效金创药	怪物:0DAAB0B0邪恶钳虫8	地图:H004	X:60	Y:119 
[2024/8/17 16:6:4] 物品:强效金创药	怪物:0DAAB0B0邪恶钳虫8	地图:H004	X:60	Y:119 
[2024/8/17 16:6:4] 物品:强效魔法药	怪物:0DAAB0B0邪恶钳虫8	地图:H004	X:60	Y:119 
[2024/8/17 16:6:4] 物品:强效魔法药	怪物:0DAAB0B0邪恶钳虫8	地图:H004	X:60	Y:119 
[2024/8/17 16:6:4] 物品:强效魔法药	怪物:0DAAB0B0邪恶钳虫8	地图:H004	X:60	Y:119 
[2024/8/17 16:6:4] 物品:强效魔法药	怪物:0DAAB0B0邪恶钳虫8	地图:H004	X:60	Y:119 
[2024/8/17 16:6:4] 物品:强效魔法药	怪物:0DAAB0B0邪恶钳虫8	地图:H004	X:60	Y:119 
[2024/8/17 16:6:4] 物品:铂金戒指	怪物:0DAAB0B0邪恶钳虫8	地图:H004	X:60	Y:119 
[2024/8/17 16:6:4] 物品:坚固手套	怪物:0DAAB0B0邪恶钳虫8	地图:H004	X:60	Y:119 
[2024/8/17 16:6:4] 物品:爆裂火焰	怪物:0DAAB0B0邪恶钳虫8	地图:H004	X:60	Y:119 
[2024/8/17 16:6:4] 物品:灵魂火符	怪物:0DAAB0B0邪恶钳虫8	地图:H004	X:60	Y:119 
[2024/8/17 16:6:19] 物品:强效太阳水	怪物:1E164D10虹魔猪卫8	地图:H204	X:81	Y:24 
[2024/8/17 16:6:19] 物品:强效太阳水	怪物:1E164D10虹魔猪卫8	地图:H204	X:81	Y:24 
[2024/8/17 16:6:19] 物品:强效太阳水	怪物:1E164D10虹魔猪卫8	地图:H204	X:81	Y:24 
[2024/8/17 16:6:19] 物品:强效太阳水	怪物:1E164D10虹魔猪卫8	地图:H204	X:81	Y:24 
[2024/8/17 16:6:19] 物品:强效太阳水	怪物:1E164D10虹魔猪卫8	地图:H204	X:81	Y:24 
