[2024/8/21 17:0:1] 物品:灵魂战衣(男)	怪物:239AA2D0祖玛卫士83	地图:H008	X:38	Y:30 
[2024/8/21 17:0:25] 物品:强效太阳水	怪物:28089F20重装使者	地图:H204	X:82	Y:81 
[2024/8/21 17:0:25] 物品:强效太阳水	怪物:28089F20重装使者	地图:H204	X:82	Y:81 
[2024/8/21 17:0:25] 物品:强效太阳水	怪物:28089F20重装使者	地图:H204	X:82	Y:81 
[2024/8/21 17:0:25] 物品:强效太阳水	怪物:28089F20重装使者	地图:H204	X:82	Y:81 
[2024/8/21 17:0:25] 物品:强效太阳水	怪物:28089F20重装使者	地图:H204	X:82	Y:81 
[2024/8/21 17:0:25] 物品:强效太阳水	怪物:28089F20重装使者	地图:H204	X:82	Y:81 
[2024/8/21 17:0:25] 物品:强效太阳水	怪物:28089F20重装使者	地图:H204	X:82	Y:81 
[2024/8/21 17:0:25] 物品:强效太阳水	怪物:28089F20重装使者	地图:H204	X:82	Y:81 
[2024/8/21 17:0:25] 物品:强效太阳水	怪物:28089F20重装使者	地图:H204	X:82	Y:81 
[2024/8/21 17:0:25] 物品:强效太阳水	怪物:28089F20重装使者	地图:H204	X:82	Y:81 
[2024/8/21 17:0:25] 物品:强效金创药	怪物:28089F20重装使者	地图:H204	X:82	Y:81 
[2024/8/21 17:0:25] 物品:强效金创药	怪物:28089F20重装使者	地图:H204	X:82	Y:81 
[2024/8/21 17:0:25] 物品:强效金创药	怪物:28089F20重装使者	地图:H204	X:82	Y:81 
[2024/8/21 17:0:25] 物品:强效金创药	怪物:28089F20重装使者	地图:H204	X:82	Y:81 
[2024/8/21 17:0:25] 物品:强效金创药	怪物:28089F20重装使者	地图:H204	X:82	Y:81 
[2024/8/21 17:0:25] 物品:强效金创药	怪物:28089F20重装使者	地图:H204	X:82	Y:81 
[2024/8/21 17:0:25] 物品:强效金创药	怪物:28089F20重装使者	地图:H204	X:82	Y:81 
[2024/8/21 17:0:25] 物品:强效金创药	怪物:28089F20重装使者	地图:H204	X:82	Y:81 
[2024/8/21 17:0:25] 物品:强效金创药	怪物:28089F20重装使者	地图:H204	X:82	Y:81 
[2024/8/21 17:0:25] 物品:强效金创药	怪物:28089F20重装使者	地图:H204	X:82	Y:81 
[2024/8/21 17:0:25] 物品:强效魔法药	怪物:28089F20重装使者	地图:H204	X:82	Y:81 
[2024/8/21 17:0:25] 物品:强效魔法药	怪物:28089F20重装使者	地图:H204	X:82	Y:81 
[2024/8/21 17:0:25] 物品:强效魔法药	怪物:28089F20重装使者	地图:H204	X:82	Y:81 
[2024/8/21 17:0:25] 物品:强效魔法药	怪物:28089F20重装使者	地图:H204	X:82	Y:81 
[2024/8/21 17:0:25] 物品:强效魔法药	怪物:28089F20重装使者	地图:H204	X:82	Y:81 
[2024/8/21 17:0:25] 物品:强效魔法药	怪物:28089F20重装使者	地图:H204	X:82	Y:81 
[2024/8/21 17:0:25] 物品:强效魔法药	怪物:28089F20重装使者	地图:H204	X:82	Y:81 
[2024/8/21 17:0:25] 物品:强效魔法药	怪物:28089F20重装使者	地图:H204	X:82	Y:81 
[2024/8/21 17:0:25] 物品:强效魔法药	怪物:28089F20重装使者	地图:H204	X:82	Y:81 
[2024/8/21 17:0:25] 物品:强效魔法药	怪物:28089F20重装使者	地图:H204	X:82	Y:81 
[2024/8/21 17:0:25] 物品:铂金戒指	怪物:2C4BFAC0祖玛弓箭手83	地图:H008	X:39	Y:24 
[2024/8/21 17:0:27] 物品:强效太阳水	怪物:2B67C710虹魔蝎卫8	地图:H204	X:81	Y:82 
[2024/8/21 17:0:27] 物品:强效太阳水	怪物:2B67C710虹魔蝎卫8	地图:H204	X:81	Y:82 
[2024/8/21 17:0:27] 物品:强效太阳水	怪物:2B67C710虹魔蝎卫8	地图:H204	X:81	Y:82 
[2024/8/21 17:0:27] 物品:强效太阳水	怪物:2B67C710虹魔蝎卫8	地图:H204	X:81	Y:82 
[2024/8/21 17:0:27] 物品:强效太阳水	怪物:2B67C710虹魔蝎卫8	地图:H204	X:81	Y:82 
[2024/8/21 17:0:27] 物品:强效太阳水	怪物:2B67C710虹魔蝎卫8	地图:H204	X:81	Y:82 
[2024/8/21 17:0:27] 物品:强效太阳水	怪物:2B67C710虹魔蝎卫8	地图:H204	X:81	Y:82 
[2024/8/21 17:0:27] 物品:强效太阳水	怪物:2B67C710虹魔蝎卫8	地图:H204	X:81	Y:82 
[2024/8/21 17:0:27] 物品:强效太阳水	怪物:2B67C710虹魔蝎卫8	地图:H204	X:81	Y:82 
[2024/8/21 17:0:27] 物品:强效太阳水	怪物:2B67C710虹魔蝎卫8	地图:H204	X:81	Y:82 
[2024/8/21 17:0:27] 物品:太阳水	怪物:2B67C710虹魔蝎卫8	地图:H204	X:81	Y:82 
[2024/8/21 17:0:27] 物品:太阳水	怪物:2B67C710虹魔蝎卫8	地图:H204	X:81	Y:82 
[2024/8/21 17:0:27] 物品:太阳水	怪物:2B67C710虹魔蝎卫8	地图:H204	X:81	Y:82 
[2024/8/21 17:0:27] 物品:太阳水	怪物:2B67C710虹魔蝎卫8	地图:H204	X:81	Y:82 
[2024/8/21 17:0:27] 物品:太阳水	怪物:2B67C710虹魔蝎卫8	地图:H204	X:81	Y:82 
[2024/8/21 17:0:27] 物品:太阳水	怪物:2B67C710虹魔蝎卫8	地图:H204	X:81	Y:82 
[2024/8/21 17:0:27] 物品:太阳水	怪物:2B67C710虹魔蝎卫8	地图:H204	X:81	Y:82 
[2024/8/21 17:0:27] 物品:太阳水	怪物:2B67C710虹魔蝎卫8	地图:H204	X:81	Y:82 
[2024/8/21 17:0:27] 物品:太阳水	怪物:2B67C710虹魔蝎卫8	地图:H204	X:81	Y:82 
[2024/8/21 17:0:27] 物品:太阳水	怪物:2B67C710虹魔蝎卫8	地图:H204	X:81	Y:82 
[2024/8/21 17:0:27] 物品:强效金创药	怪物:2B67C710虹魔蝎卫8	地图:H204	X:81	Y:82 
[2024/8/21 17:0:27] 物品:强效金创药	怪物:2B67C710虹魔蝎卫8	地图:H204	X:81	Y:82 
[2024/8/21 17:0:27] 物品:强效金创药	怪物:2B67C710虹魔蝎卫8	地图:H204	X:81	Y:82 
[2024/8/21 17:0:27] 物品:强效金创药	怪物:2B67C710虹魔蝎卫8	地图:H204	X:81	Y:82 
[2024/8/21 17:0:27] 物品:强效金创药	怪物:2B67C710虹魔蝎卫8	地图:H204	X:81	Y:82 
[2024/8/21 17:0:27] 物品:强效金创药	怪物:2B67C710虹魔蝎卫8	地图:H204	X:81	Y:82 
[2024/8/21 17:0:27] 物品:强效金创药	怪物:2B67C710虹魔蝎卫8	地图:H204	X:81	Y:82 
[2024/8/21 17:0:27] 物品:强效金创药	怪物:2B67C710虹魔蝎卫8	地图:H204	X:81	Y:82 
[2024/8/21 17:0:27] 物品:强效金创药	怪物:2B67C710虹魔蝎卫8	地图:H204	X:81	Y:82 
[2024/8/21 17:0:27] 物品:强效金创药	怪物:2B67C710虹魔蝎卫8	地图:H204	X:81	Y:82 
[2024/8/21 17:0:27] 物品:强效魔法药	怪物:2B67C710虹魔蝎卫8	地图:H204	X:81	Y:82 
[2024/8/21 17:0:27] 物品:强效魔法药	怪物:2B67C710虹魔蝎卫8	地图:H204	X:81	Y:82 
[2024/8/21 17:0:27] 物品:强效魔法药	怪物:2B67C710虹魔蝎卫8	地图:H204	X:81	Y:82 
[2024/8/21 17:0:27] 物品:强效魔法药	怪物:2B67C710虹魔蝎卫8	地图:H204	X:81	Y:82 
[2024/8/21 17:0:27] 物品:强效魔法药	怪物:2B67C710虹魔蝎卫8	地图:H204	X:81	Y:82 
[2024/8/21 17:0:27] 物品:强效魔法药	怪物:2B67C710虹魔蝎卫8	地图:H204	X:81	Y:82 
[2024/8/21 17:0:27] 物品:强效魔法药	怪物:2B67C710虹魔蝎卫8	地图:H204	X:81	Y:82 
[2024/8/21 17:0:27] 物品:强效魔法药	怪物:2B67C710虹魔蝎卫8	地图:H204	X:81	Y:82 
[2024/8/21 17:0:27] 物品:强效魔法药	怪物:2B67C710虹魔蝎卫8	地图:H204	X:81	Y:82 
[2024/8/21 17:0:27] 物品:强效魔法药	怪物:2B67C710虹魔蝎卫8	地图:H204	X:81	Y:82 
[2024/8/21 17:0:27] 物品:魔法力药水	怪物:2B67C710虹魔蝎卫8	地图:H204	X:81	Y:82 
[2024/8/21 17:0:28] 物品:魔法药(小量)	怪物:18702210僵尸3	地图:D401	X:52	Y:90 
[2024/8/21 17:0:28] 物品:灵魂战衣(女)	怪物:185C4E70祖玛卫士8	地图:H204	X:80	Y:84 
[2024/8/21 17:0:28] 物品:黑檀手镯	怪物:185C4E70祖玛卫士8	地图:H204	X:80	Y:84 
[2024/8/21 17:0:28] 物品:金手镯	怪物:185C4E70祖玛卫士8	地图:H204	X:80	Y:84 
[2024/8/21 17:0:30] 物品:蓝翡翠项链	怪物:23D2DB60魔龙射手	地图:66	X:91	Y:117 
[2024/8/21 17:0:34] 物品:修罗	怪物:2537DA40祖玛卫士83	地图:H008	X:36	Y:33 
[2024/8/21 17:0:35] 物品:竹笛	怪物:2ADDE440祖玛弓箭手83	地图:H008	X:35	Y:20 
[2024/8/21 17:0:37] 物品:金创药(小量)	怪物:27AA4B60僵尸3	地图:D401	X:58	Y:78 
[2024/8/21 17:0:41] 物品:强效太阳水	怪物:2BDDD010白野猪8	地图:H204	X:10	Y:53 
[2024/8/21 17:0:41] 物品:强效太阳水	怪物:2BDDD010白野猪8	地图:H204	X:10	Y:53 
[2024/8/21 17:0:41] 物品:强效太阳水	怪物:2BDDD010白野猪8	地图:H204	X:10	Y:53 
[2024/8/21 17:0:41] 物品:强效太阳水	怪物:2BDDD010白野猪8	地图:H204	X:10	Y:53 
[2024/8/21 17:0:41] 物品:强效太阳水	怪物:2BDDD010白野猪8	地图:H204	X:10	Y:53 
[2024/8/21 17:0:41] 物品:强效太阳水	怪物:2BDDD010白野猪8	地图:H204	X:10	Y:53 
[2024/8/21 17:0:41] 物品:强效太阳水	怪物:2BDDD010白野猪8	地图:H204	X:10	Y:53 
[2024/8/21 17:0:41] 物品:强效太阳水	怪物:2BDDD010白野猪8	地图:H204	X:10	Y:53 
[2024/8/21 17:0:41] 物品:强效太阳水	怪物:2BDDD010白野猪8	地图:H204	X:10	Y:53 
[2024/8/21 17:0:41] 物品:强效太阳水	怪物:2BDDD010白野猪8	地图:H204	X:10	Y:53 
[2024/8/21 17:0:41] 物品:太阳水	怪物:2BDDD010白野猪8	地图:H204	X:10	Y:53 
[2024/8/21 17:0:41] 物品:太阳水	怪物:2BDDD010白野猪8	地图:H204	X:10	Y:53 
[2024/8/21 17:0:41] 物品:太阳水	怪物:2BDDD010白野猪8	地图:H204	X:10	Y:53 
[2024/8/21 17:0:41] 物品:太阳水	怪物:2BDDD010白野猪8	地图:H204	X:10	Y:53 
[2024/8/21 17:0:41] 物品:太阳水	怪物:2BDDD010白野猪8	地图:H204	X:10	Y:53 
[2024/8/21 17:0:41] 物品:太阳水	怪物:2BDDD010白野猪8	地图:H204	X:10	Y:53 
[2024/8/21 17:0:41] 物品:太阳水	怪物:2BDDD010白野猪8	地图:H204	X:10	Y:53 
[2024/8/21 17:0:41] 物品:太阳水	怪物:2BDDD010白野猪8	地图:H204	X:10	Y:53 
[2024/8/21 17:0:41] 物品:太阳水	怪物:2BDDD010白野猪8	地图:H204	X:10	Y:53 
[2024/8/21 17:0:41] 物品:太阳水	怪物:2BDDD010白野猪8	地图:H204	X:10	Y:53 
[2024/8/21 17:0:41] 物品:金创药(中量)	怪物:2BDDD010白野猪8	地图:H204	X:10	Y:53 
[2024/8/21 17:0:41] 物品:金创药(中量)	怪物:2BDDD010白野猪8	地图:H204	X:10	Y:53 
[2024/8/21 17:0:41] 物品:金创药(中量)	怪物:2BDDD010白野猪8	地图:H204	X:10	Y:53 
[2024/8/21 17:0:41] 物品:强效金创药	怪物:2BDDD010白野猪8	地图:H204	X:10	Y:53 
[2024/8/21 17:0:41] 物品:强效金创药	怪物:2BDDD010白野猪8	地图:H204	X:10	Y:53 
[2024/8/21 17:0:41] 物品:强效金创药	怪物:2BDDD010白野猪8	地图:H204	X:10	Y:53 
[2024/8/21 17:0:41] 物品:魔法药(中量)	怪物:2BDDD010白野猪8	地图:H204	X:10	Y:53 
[2024/8/21 17:0:41] 物品:魔法药(中量)	怪物:2BDDD010白野猪8	地图:H204	X:10	Y:53 
[2024/8/21 17:0:41] 物品:魔法药(中量)	怪物:2BDDD010白野猪8	地图:H204	X:10	Y:53 
[2024/8/21 17:0:41] 物品:强效魔法药	怪物:2BDDD010白野猪8	地图:H204	X:10	Y:53 
[2024/8/21 17:0:41] 物品:强效魔法药	怪物:2BDDD010白野猪8	地图:H204	X:10	Y:53 
[2024/8/21 17:0:41] 物品:强效魔法药	怪物:2BDDD010白野猪8	地图:H204	X:10	Y:53 
[2024/8/21 17:0:41] 物品:强效金创药	怪物:2BDDD010白野猪8	地图:H204	X:10	Y:53 
[2024/8/21 17:0:41] 物品:强效金创药	怪物:2BDDD010白野猪8	地图:H204	X:10	Y:53 
[2024/8/21 17:0:41] 物品:强效金创药	怪物:2BDDD010白野猪8	地图:H204	X:10	Y:53 
[2024/8/21 17:0:41] 物品:强效金创药	怪物:2BDDD010白野猪8	地图:H204	X:10	Y:53 
[2024/8/21 17:0:41] 物品:强效金创药	怪物:2BDDD010白野猪8	地图:H204	X:10	Y:53 
[2024/8/21 17:0:41] 物品:强效金创药	怪物:2BDDD010白野猪8	地图:H204	X:10	Y:53 
[2024/8/21 17:0:41] 物品:强效魔法药	怪物:2BDDD010白野猪8	地图:H204	X:10	Y:53 
[2024/8/21 17:0:41] 物品:强效魔法药	怪物:2BDDD010白野猪8	地图:H204	X:10	Y:53 
[2024/8/21 17:0:41] 物品:强效魔法药	怪物:2BDDD010白野猪8	地图:H204	X:10	Y:53 
