[2024/8/18 8:0:2] 物品:魅力戒指	怪物:17C8E900牛魔侍卫8	地图:H010	X:22	Y:311 
[2024/8/18 8:0:21] 物品:强效魔法药	怪物:1B840050尸王8	地图:H201	X:127	Y:26 
[2024/8/18 8:0:21] 物品:黑色水晶戒指	怪物:1B840050尸王8	地图:H201	X:127	Y:26 
[2024/8/18 8:0:21] 物品:生铁戒指	怪物:1B840050尸王8	地图:H201	X:127	Y:26 
[2024/8/18 8:0:21] 物品:魅力戒指	怪物:1B840050尸王8	地图:H201	X:127	Y:26 
[2024/8/18 8:0:21] 物品:黑檀手镯	怪物:1B840050尸王8	地图:H201	X:127	Y:26 
[2024/8/18 8:0:21] 物品:魔力手镯	怪物:1B840050尸王8	地图:H201	X:127	Y:26 
[2024/8/18 8:0:27] 物品:强效太阳水	怪物:18A086C0牛魔将军8	地图:H010	X:24	Y:305 
[2024/8/18 8:0:28] 物品:基本剑术	怪物:28513780僵尸1	地图:H201	X:127	Y:27 
[2024/8/18 8:0:29] 物品:强效太阳水	怪物:1A2D01C0牛魔将军8	地图:H010	X:23	Y:305 
[2024/8/18 8:0:29] 物品:太阳水	怪物:1A2D01C0牛魔将军8	地图:H010	X:23	Y:305 
[2024/8/18 8:0:37] 物品:金戒指	怪物:17C4F5B0牛魔法师8	地图:H010	X:17	Y:303 
[2024/8/18 8:0:37] 物品:道德戒指	怪物:17C4F5B0牛魔法师8	地图:H010	X:17	Y:303 
[2024/8/18 8:0:37] 物品:强效太阳水	怪物:285C2460尸王8	地图:H201	X:127	Y:27 
[2024/8/18 8:0:37] 物品:强效太阳水	怪物:285C2460尸王8	地图:H201	X:127	Y:27 
[2024/8/18 8:0:37] 物品:强效太阳水	怪物:285C2460尸王8	地图:H201	X:127	Y:27 
[2024/8/18 8:0:37] 物品:强效太阳水	怪物:285C2460尸王8	地图:H201	X:127	Y:27 
[2024/8/18 8:0:37] 物品:强效太阳水	怪物:285C2460尸王8	地图:H201	X:127	Y:27 
[2024/8/18 8:0:37] 物品:强效金创药	怪物:285C2460尸王8	地图:H201	X:127	Y:27 
[2024/8/18 8:0:37] 物品:强效金创药	怪物:285C2460尸王8	地图:H201	X:127	Y:27 
[2024/8/18 8:0:37] 物品:强效魔法药	怪物:285C2460尸王8	地图:H201	X:127	Y:27 
[2024/8/18 8:0:37] 物品:强效魔法药	怪物:285C2460尸王8	地图:H201	X:127	Y:27 
[2024/8/18 8:0:37] 物品:黑色水晶戒指	怪物:285C2460尸王8	地图:H201	X:127	Y:27 
[2024/8/18 8:0:37] 物品:蛇眼戒指	怪物:285C2460尸王8	地图:H201	X:127	Y:27 
[2024/8/18 8:0:44] 物品:灵魂战衣(男)	怪物:2A329EC0牛魔法师8	地图:H010	X:22	Y:299 
[2024/8/18 8:0:44] 物品:道士手镯	怪物:2A329EC0牛魔法师8	地图:H010	X:22	Y:299 
[2024/8/18 8:0:47] 物品:夏普儿手镯	怪物:30516DC0牛魔法师8	地图:H010	X:20	Y:298 
[2024/8/18 8:0:53] 物品:爆裂火焰	怪物:29F54DB0恶灵尸王	地图:H201	X:130	Y:30 
[2024/8/18 8:0:56] 物品:强效金创药	怪物:0388E6F0牛魔祭司8	地图:H010	X:15	Y:297 
[2024/8/18 8:0:56] 物品:小手镯	怪物:0388E6F0牛魔祭司8	地图:H010	X:15	Y:297 
[2024/8/18 8:0:56] 物品:黑檀手镯	怪物:0388E6F0牛魔祭司8	地图:H010	X:15	Y:297 
[2024/8/18 8:0:59] 物品:魔法长袍(男)	怪物:0DE039F0牛魔侍卫8	地图:H010	X:15	Y:298 
[2024/8/18 8:1:2] 物品:强效太阳水	怪物:2A8323E0尸王8	地图:H201	X:131	Y:30 
[2024/8/18 8:1:2] 物品:强效太阳水	怪物:2A8323E0尸王8	地图:H201	X:131	Y:30 
[2024/8/18 8:1:2] 物品:强效太阳水	怪物:2A8323E0尸王8	地图:H201	X:131	Y:30 
[2024/8/18 8:1:2] 物品:强效太阳水	怪物:2A8323E0尸王8	地图:H201	X:131	Y:30 
[2024/8/18 8:1:2] 物品:强效太阳水	怪物:2A8323E0尸王8	地图:H201	X:131	Y:30 
[2024/8/18 8:1:2] 物品:强效金创药	怪物:2A8323E0尸王8	地图:H201	X:131	Y:30 
[2024/8/18 8:1:2] 物品:强效金创药	怪物:2A8323E0尸王8	地图:H201	X:131	Y:30 
[2024/8/18 8:1:2] 物品:强效魔法药	怪物:2A8323E0尸王8	地图:H201	X:131	Y:30 
[2024/8/18 8:1:2] 物品:强效魔法药	怪物:2A8323E0尸王8	地图:H201	X:131	Y:30 
[2024/8/18 8:1:2] 物品:黑色水晶戒指	怪物:2A8323E0尸王8	地图:H201	X:131	Y:30 
[2024/8/18 8:1:2] 物品:蛇眼戒指	怪物:2A8323E0尸王8	地图:H201	X:131	Y:30 
[2024/8/18 8:1:2] 物品:凝霜	怪物:2A8323E0尸王8	地图:H201	X:131	Y:30 
[2024/8/18 8:1:2] 物品:黑檀手镯	怪物:2A8323E0尸王8	地图:H201	X:131	Y:30 
[2024/8/18 8:1:4] 物品:降魔	怪物:2ECAD390牛魔侍卫8	地图:H010	X:15	Y:299 
[2024/8/18 8:1:6] 物品:强效太阳水	怪物:2A097A10牛魔祭司0	地图:H010	X:16	Y:299 
[2024/8/18 8:1:6] 物品:强效太阳水	怪物:2A097A10牛魔祭司0	地图:H010	X:16	Y:299 
[2024/8/18 8:1:6] 物品:太阳水	怪物:2A097A10牛魔祭司0	地图:H010	X:16	Y:299 
[2024/8/18 8:1:6] 物品:太阳水	怪物:2A097A10牛魔祭司0	地图:H010	X:16	Y:299 
[2024/8/18 8:1:6] 物品:生命项链	怪物:2A097A10牛魔祭司0	地图:H010	X:16	Y:299 
[2024/8/18 8:1:6] 物品:道士头盔	怪物:2A097A10牛魔祭司0	地图:H010	X:16	Y:299 
[2024/8/18 8:1:6] 物品:白色虎齿项链	怪物:2A097A10牛魔祭司0	地图:H010	X:16	Y:299 
[2024/8/18 8:1:8] 物品:金创药(小量)	怪物:1A31F0F0僵尸5	地图:H201	X:131	Y:30 
[2024/8/18 8:1:9] 物品:灵魂战衣(女)	怪物:1BF7E150牛魔将军8	地图:H010	X:15	Y:298 
[2024/8/18 8:1:10] 物品:魔法药(小量)	怪物:0DCD2E00稻草人	地图:0	X:327	Y:597 
[2024/8/18 8:1:10] 物品:太阳水	怪物:2DFF93E0黑野猪8	地图:H002	X:147	Y:119 
[2024/8/18 8:1:13] 物品:隐身术	怪物:2A751D50恶灵尸王	地图:H201	X:130	Y:29 
[2024/8/18 8:1:13] 物品:灵魂火符	怪物:2A751D50恶灵尸王	地图:H201	X:130	Y:29 
[2024/8/18 8:1:13] 物品:召唤骷髅	怪物:2A751D50恶灵尸王	地图:H201	X:130	Y:29 
[2024/8/18 8:1:19] 物品:隐身术	怪物:26179040僵尸50	地图:H201	X:134	Y:36 
[2024/8/18 8:1:19] 物品:大火球	怪物:26179040僵尸50	地图:H201	X:134	Y:36 
[2024/8/18 8:1:19] 物品:召唤骷髅	怪物:26179040僵尸50	地图:H201	X:134	Y:36 
[2024/8/18 8:1:19] 物品:灵魂火符	怪物:26179040僵尸50	地图:H201	X:134	Y:36 
[2024/8/18 8:1:19] 物品:地狱火	怪物:26179040僵尸50	地图:H201	X:134	Y:36 
[2024/8/18 8:1:19] 物品:抗拒火环	怪物:26179040僵尸50	地图:H201	X:134	Y:36 
[2024/8/18 8:1:19] 物品:精神力战法	怪物:26179040僵尸50	地图:H201	X:134	Y:36 
[2024/8/18 8:1:19] 物品:火球术	怪物:26179040僵尸50	地图:H201	X:134	Y:36 
[2024/8/18 8:1:19] 物品:治愈术	怪物:26179040僵尸50	地图:H201	X:134	Y:36 
[2024/8/18 8:1:19] 物品:基本剑术	怪物:26179040僵尸50	地图:H201	X:134	Y:36 
[2024/8/18 8:1:19] 物品:魔鬼项链	怪物:26179040僵尸50	地图:H201	X:134	Y:36 
[2024/8/18 8:1:19] 物品:坚固手套	怪物:26179040僵尸50	地图:H201	X:134	Y:36 
[2024/8/18 8:1:19] 物品:魔力手镯	怪物:26179040僵尸50	地图:H201	X:134	Y:36 
[2024/8/18 8:1:19] 物品:灯笼项链	怪物:26179040僵尸50	地图:H201	X:134	Y:36 
[2024/8/18 8:1:19] 物品:铁剑	怪物:26179040僵尸50	地图:H201	X:134	Y:36 
[2024/8/18 8:1:19] 物品:短剑	怪物:26179040僵尸50	地图:H201	X:134	Y:36 
[2024/8/18 8:1:19] 物品:轻型盔甲(男)	怪物:26179040僵尸50	地图:H201	X:134	Y:36 
[2024/8/18 8:1:19] 物品:轻型盔甲(女)	怪物:26179040僵尸50	地图:H201	X:134	Y:36 
[2024/8/18 8:1:19] 物品:青铜斧	怪物:26179040僵尸50	地图:H201	X:134	Y:36 
[2024/8/18 8:1:19] 物品:黑檀项链	怪物:26179040僵尸50	地图:H201	X:134	Y:36 
[2024/8/18 8:1:19] 物品:黄色水晶项链	怪物:26179040僵尸50	地图:H201	X:134	Y:36 
[2024/8/18 8:1:19] 物品:黑色水晶项链	怪物:26179040僵尸50	地图:H201	X:134	Y:36 
[2024/8/18 8:1:19] 物品:青铜头盔	怪物:26179040僵尸50	地图:H201	X:134	Y:36 
[2024/8/18 8:1:19] 物品:金创药(小量)	怪物:26179040僵尸50	地图:H201	X:134	Y:36 
[2024/8/18 8:1:19] 物品:金创药(小量)	怪物:26179040僵尸50	地图:H201	X:134	Y:36 
[2024/8/18 8:1:19] 物品:金创药(小量)	怪物:26179040僵尸50	地图:H201	X:134	Y:36 
[2024/8/18 8:1:19] 物品:金创药(小量)	怪物:26179040僵尸50	地图:H201	X:134	Y:36 
[2024/8/18 8:1:19] 物品:魔法药(小量)	怪物:26179040僵尸50	地图:H201	X:134	Y:36 
[2024/8/18 8:1:19] 物品:魔法药(小量)	怪物:26179040僵尸50	地图:H201	X:134	Y:36 
[2024/8/18 8:1:19] 物品:魔法药(小量)	怪物:26179040僵尸50	地图:H201	X:134	Y:36 
[2024/8/18 8:1:19] 物品:魔法药(小量)	怪物:26179040僵尸50	地图:H201	X:134	Y:36 
[2024/8/18 8:1:22] 物品:隐身术	怪物:17D23490僵尸50	地图:H201	X:136	Y:35 
[2024/8/18 8:1:22] 物品:大火球	怪物:17D23490僵尸50	地图:H201	X:136	Y:35 
[2024/8/18 8:1:22] 物品:抗拒火环	怪物:17D23490僵尸50	地图:H201	X:136	Y:35 
[2024/8/18 8:1:22] 物品:精神力战法	怪物:17D23490僵尸50	地图:H201	X:136	Y:35 
[2024/8/18 8:1:22] 物品:火球术	怪物:17D23490僵尸50	地图:H201	X:136	Y:35 
[2024/8/18 8:1:22] 物品:治愈术	怪物:17D23490僵尸50	地图:H201	X:136	Y:35 
[2024/8/18 8:1:22] 物品:基本剑术	怪物:17D23490僵尸50	地图:H201	X:136	Y:35 
[2024/8/18 8:1:22] 物品:凌风	怪物:17D23490僵尸50	地图:H201	X:136	Y:35 
[2024/8/18 8:1:22] 物品:魔鬼项链	怪物:17D23490僵尸50	地图:H201	X:136	Y:35 
[2024/8/18 8:1:22] 物品:琥珀项链	怪物:17D23490僵尸50	地图:H201	X:136	Y:35 
[2024/8/18 8:1:22] 物品:凤凰明珠	怪物:17D23490僵尸50	地图:H201	X:136	Y:35 
[2024/8/18 8:1:22] 物品:坚固手套	怪物:17D23490僵尸50	地图:H201	X:136	Y:35 
[2024/8/18 8:1:22] 物品:铁剑	怪物:17D23490僵尸50	地图:H201	X:136	Y:35 
[2024/8/18 8:1:22] 物品:短剑	怪物:17D23490僵尸50	地图:H201	X:136	Y:35 
[2024/8/18 8:1:22] 物品:轻型盔甲(男)	怪物:17D23490僵尸50	地图:H201	X:136	Y:35 
[2024/8/18 8:1:22] 物品:轻型盔甲(女)	怪物:17D23490僵尸50	地图:H201	X:136	Y:35 
[2024/8/18 8:1:22] 物品:青铜斧	怪物:17D23490僵尸50	地图:H201	X:136	Y:35 
[2024/8/18 8:1:22] 物品:黑檀项链	怪物:17D23490僵尸50	地图:H201	X:136	Y:35 
[2024/8/18 8:1:22] 物品:黄色水晶项链	怪物:17D23490僵尸50	地图:H201	X:136	Y:35 
[2024/8/18 8:1:22] 物品:黑色水晶项链	怪物:17D23490僵尸50	地图:H201	X:136	Y:35 
[2024/8/18 8:1:22] 物品:青铜头盔	怪物:17D23490僵尸50	地图:H201	X:136	Y:35 
[2024/8/18 8:1:22] 物品:金创药(小量)	怪物:17D23490僵尸50	地图:H201	X:136	Y:35 
[2024/8/18 8:1:22] 物品:金创药(小量)	怪物:17D23490僵尸50	地图:H201	X:136	Y:35 
[2024/8/18 8:1:22] 物品:金创药(小量)	怪物:17D23490僵尸50	地图:H201	X:136	Y:35 
[2024/8/18 8:1:22] 物品:金创药(小量)	怪物:17D23490僵尸50	地图:H201	X:136	Y:35 
[2024/8/18 8:1:22] 物品:魔法药(小量)	怪物:17D23490僵尸50	地图:H201	X:136	Y:35 
[2024/8/18 8:1:22] 物品:魔法药(小量)	怪物:17D23490僵尸50	地图:H201	X:136	Y:35 
[2024/8/18 8:1:22] 物品:魔法药(小量)	怪物:17D23490僵尸50	地图:H201	X:136	Y:35 
[2024/8/18 8:1:22] 物品:魔法药(小量)	怪物:17D23490僵尸50	地图:H201	X:136	Y:35 
[2024/8/18 8:1:22] 物品:重盔甲(男)	怪物:0D9641C0牛魔法师8	地图:H010	X:10	Y:293 
[2024/8/18 8:1:22] 物品:蓝翡翠项链	怪物:0D9641C0牛魔法师8	地图:H010	X:10	Y:293 
[2024/8/18 8:1:28] 物品:强效太阳水	怪物:28A32F40尸王8	地图:H201	X:134	Y:35 
[2024/8/18 8:1:28] 物品:强效太阳水	怪物:28A32F40尸王8	地图:H201	X:134	Y:35 
[2024/8/18 8:1:28] 物品:强效太阳水	怪物:28A32F40尸王8	地图:H201	X:134	Y:35 
[2024/8/18 8:1:28] 物品:强效太阳水	怪物:28A32F40尸王8	地图:H201	X:134	Y:35 
[2024/8/18 8:1:28] 物品:强效太阳水	怪物:28A32F40尸王8	地图:H201	X:134	Y:35 
[2024/8/18 8:1:28] 物品:强效金创药	怪物:28A32F40尸王8	地图:H201	X:134	Y:35 
[2024/8/18 8:1:28] 物品:强效金创药	怪物:28A32F40尸王8	地图:H201	X:134	Y:35 
[2024/8/18 8:1:28] 物品:强效魔法药	怪物:28A32F40尸王8	地图:H201	X:134	Y:35 
[2024/8/18 8:1:28] 物品:强效魔法药	怪物:28A32F40尸王8	地图:H201	X:134	Y:35 
[2024/8/18 8:1:28] 物品:生铁戒指	怪物:28A32F40尸王8	地图:H201	X:134	Y:35 
[2024/8/18 8:1:28] 物品:凝霜	怪物:28A32F40尸王8	地图:H201	X:134	Y:35 
[2024/8/18 8:1:28] 物品:魔力手镯	怪物:28A32F40尸王8	地图:H201	X:134	Y:35 
[2024/8/18 8:1:28] 物品:强效太阳水	怪物:18359680沃玛卫士8	地图:H204	X:81	Y:80 
[2024/8/18 8:1:28] 物品:强效太阳水	怪物:18359680沃玛卫士8	地图:H204	X:81	Y:80 
[2024/8/18 8:1:28] 物品:强效太阳水	怪物:18359680沃玛卫士8	地图:H204	X:81	Y:80 
[2024/8/18 8:1:28] 物品:强效太阳水	怪物:18359680沃玛卫士8	地图:H204	X:81	Y:80 
[2024/8/18 8:1:28] 物品:强效太阳水	怪物:18359680沃玛卫士8	地图:H204	X:81	Y:80 
[2024/8/18 8:1:28] 物品:太阳水	怪物:18359680沃玛卫士8	地图:H204	X:81	Y:80 
[2024/8/18 8:1:28] 物品:太阳水	怪物:18359680沃玛卫士8	地图:H204	X:81	Y:80 
[2024/8/18 8:1:28] 物品:太阳水	怪物:18359680沃玛卫士8	地图:H204	X:81	Y:80 
[2024/8/18 8:1:28] 物品:太阳水	怪物:18359680沃玛卫士8	地图:H204	X:81	Y:80 
[2024/8/18 8:1:28] 物品:太阳水	怪物:18359680沃玛卫士8	地图:H204	X:81	Y:80 
[2024/8/18 8:1:28] 物品:太阳水	怪物:18359680沃玛卫士8	地图:H204	X:81	Y:80 
[2024/8/18 8:1:28] 物品:太阳水	怪物:18359680沃玛卫士8	地图:H204	X:81	Y:80 
[2024/8/18 8:1:28] 物品:太阳水	怪物:18359680沃玛卫士8	地图:H204	X:81	Y:80 
[2024/8/18 8:1:28] 物品:太阳水	怪物:18359680沃玛卫士8	地图:H204	X:81	Y:80 
[2024/8/18 8:1:28] 物品:太阳水	怪物:18359680沃玛卫士8	地图:H204	X:81	Y:80 
[2024/8/18 8:1:28] 物品:金创药(中量)	怪物:18359680沃玛卫士8	地图:H204	X:81	Y:80 
[2024/8/18 8:1:28] 物品:金创药(中量)	怪物:18359680沃玛卫士8	地图:H204	X:81	Y:80 
[2024/8/18 8:1:28] 物品:强效金创药	怪物:18359680沃玛卫士8	地图:H204	X:81	Y:80 
[2024/8/18 8:1:28] 物品:强效金创药	怪物:18359680沃玛卫士8	地图:H204	X:81	Y:80 
[2024/8/18 8:1:28] 物品:强效金创药	怪物:18359680沃玛卫士8	地图:H204	X:81	Y:80 
[2024/8/18 8:1:28] 物品:魔法药(中量)	怪物:18359680沃玛卫士8	地图:H204	X:81	Y:80 
[2024/8/18 8:1:28] 物品:魔法药(中量)	怪物:18359680沃玛卫士8	地图:H204	X:81	Y:80 
[2024/8/18 8:1:28] 物品:强效魔法药	怪物:18359680沃玛卫士8	地图:H204	X:81	Y:80 
[2024/8/18 8:1:28] 物品:强效魔法药	怪物:18359680沃玛卫士8	地图:H204	X:81	Y:80 
[2024/8/18 8:1:28] 物品:强效魔法药	怪物:18359680沃玛卫士8	地图:H204	X:81	Y:80 
[2024/8/18 8:1:28] 物品:黑色水晶戒指	怪物:18359680沃玛卫士8	地图:H204	X:81	Y:80 
[2024/8/18 8:1:28] 物品:火墙	怪物:18359680沃玛卫士8	地图:H204	X:81	Y:80 
[2024/8/18 8:1:29] 物品:强效太阳水	怪物:297899E0牛魔将军0	地图:H010	X:10	Y:292 
[2024/8/18 8:1:29] 物品:强效太阳水	怪物:297899E0牛魔将军0	地图:H010	X:10	Y:292 
[2024/8/18 8:1:29] 物品:太阳水	怪物:297899E0牛魔将军0	地图:H010	X:10	Y:292 
[2024/8/18 8:1:29] 物品:生铁戒指	怪物:297899E0牛魔将军0	地图:H010	X:10	Y:292 
[2024/8/18 8:1:29] 物品:骷髅戒指	怪物:297899E0牛魔将军0	地图:H010	X:10	Y:292 
[2024/8/18 8:1:32] 物品:强效魔法药	怪物:18EC35D0牛魔将军8	地图:H010	X:10	Y:293 
[2024/8/18 8:1:32] 物品:强效金创药	怪物:18EC35D0牛魔将军8	地图:H010	X:10	Y:293 
[2024/8/18 8:1:32] 物品:疾风药水	怪物:18EC35D0牛魔将军8	地图:H010	X:10	Y:293 
[2024/8/18 8:1:32] 物品:破魂	怪物:18EC35D0牛魔将军8	地图:H010	X:10	Y:293 
[2024/8/18 8:1:36] 物品:金戒指	怪物:18F9D6C0牛魔侍卫8	地图:H010	X:11	Y:291 
[2024/8/18 8:1:36] 物品:偃月	怪物:18F9D6C0牛魔侍卫8	地图:H010	X:11	Y:291 
[2024/8/18 8:1:40] 物品:强效太阳水	怪物:19CEF9B0尸王8	地图:H201	X:144	Y:40 
[2024/8/18 8:1:40] 物品:强效太阳水	怪物:19CEF9B0尸王8	地图:H201	X:144	Y:40 
[2024/8/18 8:1:40] 物品:强效太阳水	怪物:19CEF9B0尸王8	地图:H201	X:144	Y:40 
[2024/8/18 8:1:40] 物品:强效太阳水	怪物:19CEF9B0尸王8	地图:H201	X:144	Y:40 
[2024/8/18 8:1:40] 物品:强效太阳水	怪物:19CEF9B0尸王8	地图:H201	X:144	Y:40 
[2024/8/18 8:1:40] 物品:强效金创药	怪物:19CEF9B0尸王8	地图:H201	X:144	Y:40 
[2024/8/18 8:1:40] 物品:强效金创药	怪物:19CEF9B0尸王8	地图:H201	X:144	Y:40 
[2024/8/18 8:1:40] 物品:强效魔法药	怪物:19CEF9B0尸王8	地图:H201	X:144	Y:40 
[2024/8/18 8:1:40] 物品:强效魔法药	怪物:19CEF9B0尸王8	地图:H201	X:144	Y:40 
[2024/8/18 8:1:40] 物品:黑檀手镯	怪物:19CEF9B0尸王8	地图:H201	X:144	Y:40 
[2024/8/18 8:1:40] 物品:野蛮冲撞	怪物:19CEF9B0尸王8	地图:H201	X:144	Y:40 
[2024/8/18 8:1:42] 物品:强效太阳水	怪物:1E0DEB70牛魔将军0	地图:H010	X:10	Y:291 
[2024/8/18 8:1:42] 物品:太阳水	怪物:1E0DEB70牛魔将军0	地图:H010	X:10	Y:291 
[2024/8/18 8:1:42] 物品:思贝儿手镯	怪物:1E0DEB70牛魔将军0	地图:H010	X:10	Y:291 
[2024/8/18 8:1:42] 物品:降魔	怪物:1E0DEB70牛魔将军0	地图:H010	X:10	Y:291 
[2024/8/18 8:1:47] 物品:诱惑之光	怪物:2DD601C0僵尸10	地图:H201	X:146	Y:38 
[2024/8/18 8:1:47] 物品:火球术	怪物:2DD601C0僵尸10	地图:H201	X:146	Y:38 
[2024/8/18 8:1:47] 物品:魔法头盔	怪物:2DD601C0僵尸10	地图:H201	X:146	Y:38 
[2024/8/18 8:1:47] 物品:魔法药(中量)	怪物:2DD601C0僵尸10	地图:H201	X:146	Y:38 
[2024/8/18 8:1:48] 物品:强效太阳水	怪物:2A563840尸王8	地图:H201	X:146	Y:39 
[2024/8/18 8:1:48] 物品:强效太阳水	怪物:2A563840尸王8	地图:H201	X:146	Y:39 
[2024/8/18 8:1:48] 物品:强效太阳水	怪物:2A563840尸王8	地图:H201	X:146	Y:39 
[2024/8/18 8:1:48] 物品:强效太阳水	怪物:2A563840尸王8	地图:H201	X:146	Y:39 
[2024/8/18 8:1:48] 物品:强效太阳水	怪物:2A563840尸王8	地图:H201	X:146	Y:39 
[2024/8/18 8:1:48] 物品:强效金创药	怪物:2A563840尸王8	地图:H201	X:146	Y:39 
[2024/8/18 8:1:48] 物品:强效金创药	怪物:2A563840尸王8	地图:H201	X:146	Y:39 
[2024/8/18 8:1:48] 物品:强效魔法药	怪物:2A563840尸王8	地图:H201	X:146	Y:39 
[2024/8/18 8:1:48] 物品:强效魔法药	怪物:2A563840尸王8	地图:H201	X:146	Y:39 
[2024/8/18 8:1:48] 物品:骷髅戒指	怪物:2A563840尸王8	地图:H201	X:146	Y:39 
[2024/8/18 8:1:48] 物品:黑色水晶戒指	怪物:2A563840尸王8	地图:H201	X:146	Y:39 
[2024/8/18 8:1:48] 物品:蓝翡翠项链	怪物:2A563840尸王8	地图:H201	X:146	Y:39 
[2024/8/18 8:1:48] 物品:魔力手镯	怪物:2A563840尸王8	地图:H201	X:146	Y:39 
[2024/8/18 8:1:51] 物品:心灵启示	怪物:03840DF0恶灵尸王	地图:H201	X:145	Y:40 
[2024/8/18 8:1:51] 物品:诱惑之光	怪物:03840DF0恶灵尸王	地图:H201	X:145	Y:40 
[2024/8/18 8:1:55] 物品:灵魂火符	怪物:29CD63E0僵尸40	地图:H201	X:144	Y:38 
[2024/8/18 8:1:55] 物品:抗拒火环	怪物:29CD63E0僵尸40	地图:H201	X:144	Y:38 
[2024/8/18 8:1:55] 物品:精神力战法	怪物:29CD63E0僵尸40	地图:H201	X:144	Y:38 
[2024/8/18 8:1:55] 物品:火球术	怪物:29CD63E0僵尸40	地图:H201	X:144	Y:38 
[2024/8/18 8:1:55] 物品:治愈术	怪物:29CD63E0僵尸40	地图:H201	X:144	Y:38 
[2024/8/18 8:1:55] 物品:基本剑术	怪物:29CD63E0僵尸40	地图:H201	X:144	Y:38 
[2024/8/18 8:1:55] 物品:青铜头盔	怪物:29CD63E0僵尸40	地图:H201	X:144	Y:38 
[2024/8/18 8:1:55] 物品:魔法药(小量)	怪物:29CD63E0僵尸40	地图:H201	X:144	Y:38 
[2024/8/18 8:1:55] 物品:红宝石戒指	怪物:1C3CDE60牛魔将军8	地图:H010	X:15	Y:286 
[2024/8/18 8:1:56] 物品:强效太阳水	怪物:0DCD7090牛魔祭司0	地图:H010	X:14	Y:286 
[2024/8/18 8:1:56] 物品:强效太阳水	怪物:0DCD7090牛魔祭司0	地图:H010	X:14	Y:286 
[2024/8/18 8:1:56] 物品:太阳水	怪物:0DCD7090牛魔祭司0	地图:H010	X:14	Y:286 
[2024/8/18 8:1:58] 物品:偃月	怪物:2A75B8A0牛魔侍卫8	地图:H010	X:12	Y:286 
