[2024/8/18 14:0:1] 物品:道士手镯	怪物:29624450黑野猪8	地图:H002	X:278	Y:345 
[2024/8/18 14:0:15] 物品:太阳水	怪物:29B8F930沃玛卫士8	地图:H204	X:30	Y:32 
[2024/8/18 14:0:15] 物品:太阳水	怪物:29B8F930沃玛卫士8	地图:H204	X:30	Y:32 
[2024/8/18 14:0:15] 物品:太阳水	怪物:29B8F930沃玛卫士8	地图:H204	X:30	Y:32 
[2024/8/18 14:0:15] 物品:太阳水	怪物:29B8F930沃玛卫士8	地图:H204	X:30	Y:32 
[2024/8/18 14:0:15] 物品:太阳水	怪物:29B8F930沃玛卫士8	地图:H204	X:30	Y:32 
[2024/8/18 14:0:15] 物品:太阳水	怪物:29B8F930沃玛卫士8	地图:H204	X:30	Y:32 
[2024/8/18 14:0:15] 物品:太阳水	怪物:29B8F930沃玛卫士8	地图:H204	X:30	Y:32 
[2024/8/18 14:0:15] 物品:太阳水	怪物:29B8F930沃玛卫士8	地图:H204	X:30	Y:32 
[2024/8/18 14:0:15] 物品:金创药(中量)	怪物:29B8F930沃玛卫士8	地图:H204	X:30	Y:32 
[2024/8/18 14:0:15] 物品:金创药(中量)	怪物:29B8F930沃玛卫士8	地图:H204	X:30	Y:32 
[2024/8/18 14:0:15] 物品:强效金创药	怪物:29B8F930沃玛卫士8	地图:H204	X:30	Y:32 
[2024/8/18 14:0:15] 物品:强效金创药	怪物:29B8F930沃玛卫士8	地图:H204	X:30	Y:32 
[2024/8/18 14:0:15] 物品:强效金创药	怪物:29B8F930沃玛卫士8	地图:H204	X:30	Y:32 
[2024/8/18 14:0:15] 物品:魔法药(中量)	怪物:29B8F930沃玛卫士8	地图:H204	X:30	Y:32 
[2024/8/18 14:0:15] 物品:魔法药(中量)	怪物:29B8F930沃玛卫士8	地图:H204	X:30	Y:32 
[2024/8/18 14:0:15] 物品:强效魔法药	怪物:29B8F930沃玛卫士8	地图:H204	X:30	Y:32 
[2024/8/18 14:0:15] 物品:强效魔法药	怪物:29B8F930沃玛卫士8	地图:H204	X:30	Y:32 
[2024/8/18 14:0:15] 物品:强效魔法药	怪物:29B8F930沃玛卫士8	地图:H204	X:30	Y:32 
[2024/8/18 14:0:15] 物品:小手镯	怪物:29B8F930沃玛卫士8	地图:H204	X:30	Y:32 
[2024/8/18 14:0:15] 物品:冰咆哮	怪物:29B8F930沃玛卫士8	地图:H204	X:30	Y:32 
[2024/8/18 14:0:15] 物品:神圣战甲术	怪物:29B8F930沃玛卫士8	地图:H204	X:30	Y:32 
[2024/8/18 14:0:20] 物品:辟邪手镯	怪物:05BB6E20牛魔法师8	地图:H010	X:50	Y:352 
[2024/8/18 14:0:20] 物品:太阳水	怪物:19F2A750恶灵尸王	地图:H201	X:50	Y:165 
[2024/8/18 14:0:20] 物品:疾光电影	怪物:19F2A750恶灵尸王	地图:H201	X:50	Y:165 
[2024/8/18 14:0:20] 物品:爆裂火焰	怪物:19F2A750恶灵尸王	地图:H201	X:50	Y:165 
[2024/8/18 14:0:20] 物品:施毒术	怪物:19F2A750恶灵尸王	地图:H201	X:50	Y:165 
[2024/8/18 14:0:20] 物品:灵魂火符	怪物:19F2A750恶灵尸王	地图:H201	X:50	Y:165 
[2024/8/18 14:0:20] 物品:雷电术	怪物:19F2A750恶灵尸王	地图:H201	X:50	Y:165 
[2024/8/18 14:0:20] 物品:诱惑之光	怪物:19F2A750恶灵尸王	地图:H201	X:50	Y:165 
[2024/8/18 14:0:20] 物品:大火球	怪物:19F2A750恶灵尸王	地图:H201	X:50	Y:165 
[2024/8/18 14:0:26] 物品:金创药(小量)	怪物:2EC6AC10僵尸3	地图:D401	X:157	Y:146 
[2024/8/18 14:0:28] 物品:强效太阳水	怪物:2E937A90虹魔蝎卫8	地图:H204	X:34	Y:34 
[2024/8/18 14:0:28] 物品:强效太阳水	怪物:2E937A90虹魔蝎卫8	地图:H204	X:34	Y:34 
[2024/8/18 14:0:28] 物品:强效太阳水	怪物:2E937A90虹魔蝎卫8	地图:H204	X:34	Y:34 
[2024/8/18 14:0:28] 物品:强效太阳水	怪物:2E937A90虹魔蝎卫8	地图:H204	X:34	Y:34 
[2024/8/18 14:0:28] 物品:强效太阳水	怪物:2E937A90虹魔蝎卫8	地图:H204	X:34	Y:34 
[2024/8/18 14:0:28] 物品:强效太阳水	怪物:2E937A90虹魔蝎卫8	地图:H204	X:34	Y:34 
[2024/8/18 14:0:28] 物品:强效太阳水	怪物:2E937A90虹魔蝎卫8	地图:H204	X:34	Y:34 
[2024/8/18 14:0:28] 物品:强效太阳水	怪物:2E937A90虹魔蝎卫8	地图:H204	X:34	Y:34 
[2024/8/18 14:0:28] 物品:强效太阳水	怪物:2E937A90虹魔蝎卫8	地图:H204	X:34	Y:34 
[2024/8/18 14:0:28] 物品:强效太阳水	怪物:2E937A90虹魔蝎卫8	地图:H204	X:34	Y:34 
[2024/8/18 14:0:28] 物品:太阳水	怪物:2E937A90虹魔蝎卫8	地图:H204	X:34	Y:34 
[2024/8/18 14:0:28] 物品:太阳水	怪物:2E937A90虹魔蝎卫8	地图:H204	X:34	Y:34 
[2024/8/18 14:0:28] 物品:太阳水	怪物:2E937A90虹魔蝎卫8	地图:H204	X:34	Y:34 
[2024/8/18 14:0:28] 物品:太阳水	怪物:2E937A90虹魔蝎卫8	地图:H204	X:34	Y:34 
[2024/8/18 14:0:28] 物品:太阳水	怪物:2E937A90虹魔蝎卫8	地图:H204	X:34	Y:34 
[2024/8/18 14:0:28] 物品:太阳水	怪物:2E937A90虹魔蝎卫8	地图:H204	X:34	Y:34 
[2024/8/18 14:0:28] 物品:太阳水	怪物:2E937A90虹魔蝎卫8	地图:H204	X:34	Y:34 
[2024/8/18 14:0:28] 物品:太阳水	怪物:2E937A90虹魔蝎卫8	地图:H204	X:34	Y:34 
[2024/8/18 14:0:28] 物品:太阳水	怪物:2E937A90虹魔蝎卫8	地图:H204	X:34	Y:34 
[2024/8/18 14:0:28] 物品:太阳水	怪物:2E937A90虹魔蝎卫8	地图:H204	X:34	Y:34 
[2024/8/18 14:0:28] 物品:强效金创药	怪物:2E937A90虹魔蝎卫8	地图:H204	X:34	Y:34 
[2024/8/18 14:0:28] 物品:强效金创药	怪物:2E937A90虹魔蝎卫8	地图:H204	X:34	Y:34 
[2024/8/18 14:0:28] 物品:强效金创药	怪物:2E937A90虹魔蝎卫8	地图:H204	X:34	Y:34 
[2024/8/18 14:0:28] 物品:强效金创药	怪物:2E937A90虹魔蝎卫8	地图:H204	X:34	Y:34 
[2024/8/18 14:0:28] 物品:强效金创药	怪物:2E937A90虹魔蝎卫8	地图:H204	X:34	Y:34 
[2024/8/18 14:0:28] 物品:强效金创药	怪物:2E937A90虹魔蝎卫8	地图:H204	X:34	Y:34 
[2024/8/18 14:0:28] 物品:强效金创药	怪物:2E937A90虹魔蝎卫8	地图:H204	X:34	Y:34 
[2024/8/18 14:0:28] 物品:强效金创药	怪物:2E937A90虹魔蝎卫8	地图:H204	X:34	Y:34 
[2024/8/18 14:0:28] 物品:强效金创药	怪物:2E937A90虹魔蝎卫8	地图:H204	X:34	Y:34 
[2024/8/18 14:0:28] 物品:强效金创药	怪物:2E937A90虹魔蝎卫8	地图:H204	X:34	Y:34 
[2024/8/18 14:0:28] 物品:强效魔法药	怪物:2E937A90虹魔蝎卫8	地图:H204	X:34	Y:34 
[2024/8/18 14:0:28] 物品:强效魔法药	怪物:2E937A90虹魔蝎卫8	地图:H204	X:34	Y:34 
[2024/8/18 14:0:28] 物品:强效魔法药	怪物:2E937A90虹魔蝎卫8	地图:H204	X:34	Y:34 
[2024/8/18 14:0:28] 物品:强效魔法药	怪物:2E937A90虹魔蝎卫8	地图:H204	X:34	Y:34 
[2024/8/18 14:0:28] 物品:强效魔法药	怪物:2E937A90虹魔蝎卫8	地图:H204	X:34	Y:34 
[2024/8/18 14:0:28] 物品:强效魔法药	怪物:2E937A90虹魔蝎卫8	地图:H204	X:34	Y:34 
[2024/8/18 14:0:28] 物品:强效魔法药	怪物:2E937A90虹魔蝎卫8	地图:H204	X:34	Y:34 
[2024/8/18 14:0:28] 物品:强效魔法药	怪物:2E937A90虹魔蝎卫8	地图:H204	X:34	Y:34 
[2024/8/18 14:0:28] 物品:强效魔法药	怪物:2E937A90虹魔蝎卫8	地图:H204	X:34	Y:34 
[2024/8/18 14:0:28] 物品:强效魔法药	怪物:2E937A90虹魔蝎卫8	地图:H204	X:34	Y:34 
[2024/8/18 14:0:28] 物品:灵魂战衣(女)	怪物:2E937A90虹魔蝎卫8	地图:H204	X:34	Y:34 
[2024/8/18 14:0:29] 物品:强效太阳水	怪物:306B6A30牛魔祭司8	地图:H010	X:58	Y:351 
[2024/8/18 14:0:29] 物品:强效太阳水	怪物:306B6A30牛魔祭司8	地图:H010	X:58	Y:351 
[2024/8/18 14:0:29] 物品:强效太阳水	怪物:306B6A30牛魔祭司8	地图:H010	X:58	Y:351 
[2024/8/18 14:0:29] 物品:力量戒指	怪物:306B6A30牛魔祭司8	地图:H010	X:58	Y:351 
[2024/8/18 14:0:29] 物品:强效太阳水	怪物:0D9F3610尸王8	地图:H201	X:53	Y:161 
[2024/8/18 14:0:29] 物品:强效太阳水	怪物:0D9F3610尸王8	地图:H201	X:53	Y:161 
[2024/8/18 14:0:29] 物品:强效太阳水	怪物:0D9F3610尸王8	地图:H201	X:53	Y:161 
[2024/8/18 14:0:29] 物品:强效太阳水	怪物:0D9F3610尸王8	地图:H201	X:53	Y:161 
[2024/8/18 14:0:29] 物品:强效太阳水	怪物:0D9F3610尸王8	地图:H201	X:53	Y:161 
[2024/8/18 14:0:29] 物品:强效金创药	怪物:0D9F3610尸王8	地图:H201	X:53	Y:161 
[2024/8/18 14:0:29] 物品:强效金创药	怪物:0D9F3610尸王8	地图:H201	X:53	Y:161 
[2024/8/18 14:0:29] 物品:强效魔法药	怪物:0D9F3610尸王8	地图:H201	X:53	Y:161 
[2024/8/18 14:0:29] 物品:强效魔法药	怪物:0D9F3610尸王8	地图:H201	X:53	Y:161 
[2024/8/18 14:0:29] 物品:黑色水晶戒指	怪物:0D9F3610尸王8	地图:H201	X:53	Y:161 
[2024/8/18 14:0:29] 物品:蛇眼戒指	怪物:0D9F3610尸王8	地图:H201	X:53	Y:161 
[2024/8/18 14:0:29] 物品:魔力手镯	怪物:0D9F3610尸王8	地图:H201	X:53	Y:161 
[2024/8/18 14:0:32] 物品:魅力戒指	怪物:22571A20黑野猪8	地图:H002	X:195	Y:89 
[2024/8/18 14:0:33] 物品:强效太阳水	怪物:038A6460沃玛卫士8	地图:H003	X:42	Y:65 
[2024/8/18 14:0:33] 物品:强效太阳水	怪物:038A6460沃玛卫士8	地图:H003	X:42	Y:65 
[2024/8/18 14:0:33] 物品:强效太阳水	怪物:038A6460沃玛卫士8	地图:H003	X:42	Y:65 
[2024/8/18 14:0:33] 物品:强效太阳水	怪物:038A6460沃玛卫士8	地图:H003	X:42	Y:65 
[2024/8/18 14:0:33] 物品:强效太阳水	怪物:038A6460沃玛卫士8	地图:H003	X:42	Y:65 
[2024/8/18 14:0:33] 物品:太阳水	怪物:038A6460沃玛卫士8	地图:H003	X:42	Y:65 
[2024/8/18 14:0:33] 物品:太阳水	怪物:038A6460沃玛卫士8	地图:H003	X:42	Y:65 
[2024/8/18 14:0:33] 物品:太阳水	怪物:038A6460沃玛卫士8	地图:H003	X:42	Y:65 
[2024/8/18 14:0:33] 物品:太阳水	怪物:038A6460沃玛卫士8	地图:H003	X:42	Y:65 
[2024/8/18 14:0:33] 物品:太阳水	怪物:038A6460沃玛卫士8	地图:H003	X:42	Y:65 
[2024/8/18 14:0:33] 物品:太阳水	怪物:038A6460沃玛卫士8	地图:H003	X:42	Y:65 
[2024/8/18 14:0:33] 物品:太阳水	怪物:038A6460沃玛卫士8	地图:H003	X:42	Y:65 
[2024/8/18 14:0:33] 物品:太阳水	怪物:038A6460沃玛卫士8	地图:H003	X:42	Y:65 
[2024/8/18 14:0:33] 物品:太阳水	怪物:038A6460沃玛卫士8	地图:H003	X:42	Y:65 
[2024/8/18 14:0:33] 物品:太阳水	怪物:038A6460沃玛卫士8	地图:H003	X:42	Y:65 
[2024/8/18 14:0:33] 物品:金创药(中量)	怪物:038A6460沃玛卫士8	地图:H003	X:42	Y:65 
[2024/8/18 14:0:33] 物品:金创药(中量)	怪物:038A6460沃玛卫士8	地图:H003	X:42	Y:65 
[2024/8/18 14:0:33] 物品:强效金创药	怪物:038A6460沃玛卫士8	地图:H003	X:42	Y:65 
[2024/8/18 14:0:33] 物品:强效金创药	怪物:038A6460沃玛卫士8	地图:H003	X:42	Y:65 
[2024/8/18 14:0:33] 物品:强效金创药	怪物:038A6460沃玛卫士8	地图:H003	X:42	Y:65 
[2024/8/18 14:0:33] 物品:魔法药(中量)	怪物:038A6460沃玛卫士8	地图:H003	X:42	Y:65 
[2024/8/18 14:0:33] 物品:魔法药(中量)	怪物:038A6460沃玛卫士8	地图:H003	X:42	Y:65 
[2024/8/18 14:0:33] 物品:强效魔法药	怪物:038A6460沃玛卫士8	地图:H003	X:42	Y:65 
[2024/8/18 14:0:33] 物品:强效魔法药	怪物:038A6460沃玛卫士8	地图:H003	X:42	Y:65 
[2024/8/18 14:0:33] 物品:强效魔法药	怪物:038A6460沃玛卫士8	地图:H003	X:42	Y:65 
[2024/8/18 14:0:33] 物品:攻击神水	怪物:038A6460沃玛卫士8	地图:H003	X:42	Y:65 
[2024/8/18 14:0:33] 物品:狂风戒指	怪物:038A6460沃玛卫士8	地图:H003	X:42	Y:65 
[2024/8/18 14:0:33] 物品:魔鬼项链	怪物:038A6460沃玛卫士8	地图:H003	X:42	Y:65 
[2024/8/18 14:0:33] 物品:野蛮冲撞	怪物:038A6460沃玛卫士8	地图:H003	X:42	Y:65 
[2024/8/18 14:0:34] 物品:强效太阳水	怪物:1EEEAAB0尸王8	地图:H201	X:28	Y:103 
[2024/8/18 14:0:34] 物品:强效太阳水	怪物:1EEEAAB0尸王8	地图:H201	X:28	Y:103 
[2024/8/18 14:0:34] 物品:强效太阳水	怪物:1EEEAAB0尸王8	地图:H201	X:28	Y:103 
[2024/8/18 14:0:34] 物品:强效太阳水	怪物:1EEEAAB0尸王8	地图:H201	X:28	Y:103 
[2024/8/18 14:0:34] 物品:强效太阳水	怪物:1EEEAAB0尸王8	地图:H201	X:28	Y:103 
[2024/8/18 14:0:34] 物品:强效金创药	怪物:1EEEAAB0尸王8	地图:H201	X:28	Y:103 
[2024/8/18 14:0:34] 物品:强效金创药	怪物:1EEEAAB0尸王8	地图:H201	X:28	Y:103 
[2024/8/18 14:0:34] 物品:强效魔法药	怪物:1EEEAAB0尸王8	地图:H201	X:28	Y:103 
[2024/8/18 14:0:34] 物品:强效魔法药	怪物:1EEEAAB0尸王8	地图:H201	X:28	Y:103 
[2024/8/18 14:0:34] 物品:珍珠戒指	怪物:1EEEAAB0尸王8	地图:H201	X:28	Y:103 
[2024/8/18 14:0:34] 物品:凝霜	怪物:1EEEAAB0尸王8	地图:H201	X:28	Y:103 
[2024/8/18 14:0:34] 物品:魅力戒指	怪物:1EEEAAB0尸王8	地图:H201	X:28	Y:103 
[2024/8/18 14:0:35] 物品:强效太阳水	怪物:28DC68A0尸王8	地图:H201	X:52	Y:161 
[2024/8/18 14:0:35] 物品:强效太阳水	怪物:28DC68A0尸王8	地图:H201	X:52	Y:161 
[2024/8/18 14:0:35] 物品:强效太阳水	怪物:28DC68A0尸王8	地图:H201	X:52	Y:161 
[2024/8/18 14:0:35] 物品:强效太阳水	怪物:28DC68A0尸王8	地图:H201	X:52	Y:161 
[2024/8/18 14:0:35] 物品:强效太阳水	怪物:28DC68A0尸王8	地图:H201	X:52	Y:161 
[2024/8/18 14:0:35] 物品:强效金创药	怪物:28DC68A0尸王8	地图:H201	X:52	Y:161 
[2024/8/18 14:0:35] 物品:强效金创药	怪物:28DC68A0尸王8	地图:H201	X:52	Y:161 
[2024/8/18 14:0:35] 物品:强效魔法药	怪物:28DC68A0尸王8	地图:H201	X:52	Y:161 
[2024/8/18 14:0:35] 物品:强效魔法药	怪物:28DC68A0尸王8	地图:H201	X:52	Y:161 
[2024/8/18 14:0:35] 物品:珍珠戒指	怪物:28DC68A0尸王8	地图:H201	X:52	Y:161 
[2024/8/18 14:0:35] 物品:魔力手镯	怪物:28DC68A0尸王8	地图:H201	X:52	Y:161 
[2024/8/18 14:0:35] 物品:强效太阳水	怪物:2F1C6970牛魔祭司0	地图:H010	X:58	Y:352 
[2024/8/18 14:0:35] 物品:强效太阳水	怪物:2F1C6970牛魔祭司0	地图:H010	X:58	Y:352 
[2024/8/18 14:0:35] 物品:强效太阳水	怪物:2F1C6970牛魔祭司0	地图:H010	X:58	Y:352 
[2024/8/18 14:0:35] 物品:强效太阳水	怪物:2F1C6970牛魔祭司0	地图:H010	X:58	Y:352 
[2024/8/18 14:0:35] 物品:太阳水	怪物:2F1C6970牛魔祭司0	地图:H010	X:58	Y:352 
[2024/8/18 14:0:35] 物品:太阳水	怪物:2F1C6970牛魔祭司0	地图:H010	X:58	Y:352 
[2024/8/18 14:0:35] 物品:道德戒指	怪物:2F1C6970牛魔祭司0	地图:H010	X:58	Y:352 
[2024/8/18 14:0:36] 物品:魔法药(中量)	怪物:283901A0祖玛雕像8	地图:H204	X:37	Y:37 
[2024/8/18 14:0:36] 物品:太阳水	怪物:283901A0祖玛雕像8	地图:H204	X:37	Y:37 
[2024/8/18 14:0:39] 物品:魔法长袍(男)	怪物:1A5EF650牛魔法师8	地图:H010	X:57	Y:352 
[2024/8/18 14:0:42] 物品:强效太阳水	怪物:18596940尸王8	地图:H201	X:53	Y:162 
[2024/8/18 14:0:42] 物品:强效太阳水	怪物:18596940尸王8	地图:H201	X:53	Y:162 
[2024/8/18 14:0:42] 物品:强效太阳水	怪物:18596940尸王8	地图:H201	X:53	Y:162 
[2024/8/18 14:0:42] 物品:强效太阳水	怪物:18596940尸王8	地图:H201	X:53	Y:162 
[2024/8/18 14:0:42] 物品:强效太阳水	怪物:18596940尸王8	地图:H201	X:53	Y:162 
[2024/8/18 14:0:42] 物品:强效金创药	怪物:18596940尸王8	地图:H201	X:53	Y:162 
[2024/8/18 14:0:42] 物品:强效金创药	怪物:18596940尸王8	地图:H201	X:53	Y:162 
[2024/8/18 14:0:42] 物品:强效魔法药	怪物:18596940尸王8	地图:H201	X:53	Y:162 
[2024/8/18 14:0:42] 物品:强效魔法药	怪物:18596940尸王8	地图:H201	X:53	Y:162 
[2024/8/18 14:0:42] 物品:骷髅戒指	怪物:18596940尸王8	地图:H201	X:53	Y:162 
[2024/8/18 14:0:42] 物品:珍珠戒指	怪物:18596940尸王8	地图:H201	X:53	Y:162 
[2024/8/18 14:0:42] 物品:蓝翡翠项链	怪物:18596940尸王8	地图:H201	X:53	Y:162 
[2024/8/18 14:0:42] 物品:黑檀手镯	怪物:18596940尸王8	地图:H201	X:53	Y:162 
[2024/8/18 14:0:42] 物品:烈火剑法	怪物:18596940尸王8	地图:H201	X:53	Y:162 
[2024/8/18 14:0:43] 物品:金创药(小量)	怪物:0B8959E0僵尸5	地图:H201	X:27	Y:99 
[2024/8/18 14:0:43] 物品:魔法药(小量)	怪物:0B8959E0僵尸5	地图:H201	X:27	Y:99 
[2024/8/18 14:0:43] 物品:太阳水	怪物:0B8959E0僵尸5	地图:H201	X:27	Y:99 
[2024/8/18 14:0:49] 物品:强效太阳水	怪物:05A30BE0尸王8	地图:H201	X:53	Y:161 
[2024/8/18 14:0:49] 物品:强效太阳水	怪物:05A30BE0尸王8	地图:H201	X:53	Y:161 
[2024/8/18 14:0:49] 物品:强效太阳水	怪物:05A30BE0尸王8	地图:H201	X:53	Y:161 
[2024/8/18 14:0:49] 物品:强效太阳水	怪物:05A30BE0尸王8	地图:H201	X:53	Y:161 
[2024/8/18 14:0:49] 物品:强效太阳水	怪物:05A30BE0尸王8	地图:H201	X:53	Y:161 
[2024/8/18 14:0:49] 物品:强效金创药	怪物:05A30BE0尸王8	地图:H201	X:53	Y:161 
[2024/8/18 14:0:49] 物品:强效金创药	怪物:05A30BE0尸王8	地图:H201	X:53	Y:161 
[2024/8/18 14:0:49] 物品:强效魔法药	怪物:05A30BE0尸王8	地图:H201	X:53	Y:161 
[2024/8/18 14:0:49] 物品:强效魔法药	怪物:05A30BE0尸王8	地图:H201	X:53	Y:161 
[2024/8/18 14:0:49] 物品:凝霜	怪物:05A30BE0尸王8	地图:H201	X:53	Y:161 
[2024/8/18 14:0:49] 物品:道德戒指	怪物:05A30BE0尸王8	地图:H201	X:53	Y:161 
[2024/8/18 14:0:49] 物品:魅力戒指	怪物:05A30BE0尸王8	地图:H201	X:53	Y:161 
[2024/8/18 14:0:49] 物品:蓝翡翠项链	怪物:05A30BE0尸王8	地图:H201	X:53	Y:161 
[2024/8/18 14:0:51] 物品:金创药(小量)	怪物:1CEAE420僵尸4	地图:H201	X:25	Y:101 
[2024/8/18 14:0:51] 物品:强效太阳水	怪物:058174F0白野猪8	地图:H204	X:44	Y:40 
[2024/8/18 14:0:51] 物品:强效太阳水	怪物:058174F0白野猪8	地图:H204	X:44	Y:40 
[2024/8/18 14:0:51] 物品:强效太阳水	怪物:058174F0白野猪8	地图:H204	X:44	Y:40 
[2024/8/18 14:0:51] 物品:强效太阳水	怪物:058174F0白野猪8	地图:H204	X:44	Y:40 
[2024/8/18 14:0:51] 物品:强效太阳水	怪物:058174F0白野猪8	地图:H204	X:44	Y:40 
[2024/8/18 14:0:51] 物品:强效太阳水	怪物:058174F0白野猪8	地图:H204	X:44	Y:40 
[2024/8/18 14:0:51] 物品:强效太阳水	怪物:058174F0白野猪8	地图:H204	X:44	Y:40 
[2024/8/18 14:0:51] 物品:强效太阳水	怪物:058174F0白野猪8	地图:H204	X:44	Y:40 
[2024/8/18 14:0:51] 物品:强效太阳水	怪物:058174F0白野猪8	地图:H204	X:44	Y:40 
[2024/8/18 14:0:51] 物品:强效太阳水	怪物:058174F0白野猪8	地图:H204	X:44	Y:40 
[2024/8/18 14:0:51] 物品:太阳水	怪物:058174F0白野猪8	地图:H204	X:44	Y:40 
[2024/8/18 14:0:51] 物品:太阳水	怪物:058174F0白野猪8	地图:H204	X:44	Y:40 
[2024/8/18 14:0:51] 物品:太阳水	怪物:058174F0白野猪8	地图:H204	X:44	Y:40 
[2024/8/18 14:0:51] 物品:太阳水	怪物:058174F0白野猪8	地图:H204	X:44	Y:40 
[2024/8/18 14:0:51] 物品:太阳水	怪物:058174F0白野猪8	地图:H204	X:44	Y:40 
[2024/8/18 14:0:51] 物品:太阳水	怪物:058174F0白野猪8	地图:H204	X:44	Y:40 
[2024/8/18 14:0:51] 物品:太阳水	怪物:058174F0白野猪8	地图:H204	X:44	Y:40 
[2024/8/18 14:0:51] 物品:太阳水	怪物:058174F0白野猪8	地图:H204	X:44	Y:40 
[2024/8/18 14:0:51] 物品:太阳水	怪物:058174F0白野猪8	地图:H204	X:44	Y:40 
[2024/8/18 14:0:51] 物品:太阳水	怪物:058174F0白野猪8	地图:H204	X:44	Y:40 
[2024/8/18 14:0:51] 物品:金创药(中量)	怪物:058174F0白野猪8	地图:H204	X:44	Y:40 
[2024/8/18 14:0:51] 物品:金创药(中量)	怪物:058174F0白野猪8	地图:H204	X:44	Y:40 
[2024/8/18 14:0:51] 物品:金创药(中量)	怪物:058174F0白野猪8	地图:H204	X:44	Y:40 
[2024/8/18 14:0:51] 物品:强效金创药	怪物:058174F0白野猪8	地图:H204	X:44	Y:40 
[2024/8/18 14:0:51] 物品:强效金创药	怪物:058174F0白野猪8	地图:H204	X:44	Y:40 
[2024/8/18 14:0:51] 物品:强效金创药	怪物:058174F0白野猪8	地图:H204	X:44	Y:40 
[2024/8/18 14:0:51] 物品:魔法药(中量)	怪物:058174F0白野猪8	地图:H204	X:44	Y:40 
[2024/8/18 14:0:51] 物品:魔法药(中量)	怪物:058174F0白野猪8	地图:H204	X:44	Y:40 
