[2024/8/18 18:0:2] 物品:幽灵手套	怪物:29166BD0祖玛雕像83	地图:H008	X:60	Y:53 
[2024/8/18 18:0:19] 物品:恶魔长袍(女)	怪物:24AB65D0祖玛雕像83	地图:H008	X:62	Y:55 
[2024/8/18 18:0:19] 物品:黑檀手镯	怪物:24AB65D0祖玛雕像83	地图:H008	X:62	Y:55 
[2024/8/18 18:0:20] 物品:黑檀手镯	怪物:2A9A9640蜈蚣	地图:D601	X:203	Y:167 
[2024/8/18 18:0:23] 物品:重盔甲(女)	怪物:18868910红野猪8	地图:H002	X:256	Y:41 
[2024/8/18 18:0:24] 物品:凌风	怪物:24A117D0祖玛雕像8	地图:H204	X:84	Y:61 
[2024/8/18 18:0:26] 物品:强效太阳水	怪物:30E7BB90尸王8	地图:H201	X:60	Y:139 
[2024/8/18 18:0:26] 物品:强效太阳水	怪物:30E7BB90尸王8	地图:H201	X:60	Y:139 
[2024/8/18 18:0:26] 物品:强效太阳水	怪物:30E7BB90尸王8	地图:H201	X:60	Y:139 
[2024/8/18 18:0:26] 物品:强效太阳水	怪物:30E7BB90尸王8	地图:H201	X:60	Y:139 
[2024/8/18 18:0:26] 物品:强效太阳水	怪物:30E7BB90尸王8	地图:H201	X:60	Y:139 
[2024/8/18 18:0:26] 物品:强效金创药	怪物:30E7BB90尸王8	地图:H201	X:60	Y:139 
[2024/8/18 18:0:26] 物品:强效金创药	怪物:30E7BB90尸王8	地图:H201	X:60	Y:139 
[2024/8/18 18:0:26] 物品:强效魔法药	怪物:30E7BB90尸王8	地图:H201	X:60	Y:139 
[2024/8/18 18:0:26] 物品:强效魔法药	怪物:30E7BB90尸王8	地图:H201	X:60	Y:139 
[2024/8/18 18:0:26] 物品:骷髅戒指	怪物:30E7BB90尸王8	地图:H201	X:60	Y:139 
[2024/8/18 18:0:26] 物品:蛇眼戒指	怪物:30E7BB90尸王8	地图:H201	X:60	Y:139 
[2024/8/18 18:0:26] 物品:黑檀手镯	怪物:30E7BB90尸王8	地图:H201	X:60	Y:139 
[2024/8/18 18:0:26] 物品:魔力手镯	怪物:30E7BB90尸王8	地图:H201	X:60	Y:139 
[2024/8/18 18:0:28] 物品:金创药(中量)	怪物:1AD55500祖玛卫士	地图:D504	X:178	Y:204 
[2024/8/18 18:0:31] 物品:祝福油	怪物:2726F340赤月恶魔1	地图:D10071	X:17	Y:21 
[2024/8/18 18:0:33] 物品:道士头盔	怪物:1A3550C0祖玛雕像83	地图:H008	X:61	Y:49 
[2024/8/18 18:0:40] 物品:骷髅戒指	怪物:14988FA0祖玛弓箭手8	地图:H204	X:77	Y:68 
[2024/8/18 18:0:41] 物品:珍珠戒指	怪物:2A0586C0跳跳蜂	地图:D601	X:201	Y:175 
[2024/8/18 18:0:41] 物品:太阳水	怪物:1BD8F800黑野猪8	地图:H002	X:250	Y:36 
[2024/8/18 18:0:44] 物品:黑色水晶项链	怪物:1B8C6E00黑色恶蛆	地图:D717	X:27	Y:68 
[2024/8/18 18:0:47] 物品:施毒术	怪物:1A5BACB0僵尸50	地图:H201	X:49	Y:152 
[2024/8/18 18:0:47] 物品:灵魂火符	怪物:1A5BACB0僵尸50	地图:H201	X:49	Y:152 
[2024/8/18 18:0:47] 物品:雷电术	怪物:1A5BACB0僵尸50	地图:H201	X:49	Y:152 
[2024/8/18 18:0:47] 物品:诱惑之光	怪物:1A5BACB0僵尸50	地图:H201	X:49	Y:152 
[2024/8/18 18:0:47] 物品:抗拒火环	怪物:1A5BACB0僵尸50	地图:H201	X:49	Y:152 
[2024/8/18 18:0:47] 物品:精神力战法	怪物:1A5BACB0僵尸50	地图:H201	X:49	Y:152 
[2024/8/18 18:0:47] 物品:火球术	怪物:1A5BACB0僵尸50	地图:H201	X:49	Y:152 
[2024/8/18 18:0:47] 物品:治愈术	怪物:1A5BACB0僵尸50	地图:H201	X:49	Y:152 
[2024/8/18 18:0:47] 物品:基本剑术	怪物:1A5BACB0僵尸50	地图:H201	X:49	Y:152 
[2024/8/18 18:0:47] 物品:八荒	怪物:1A5BACB0僵尸50	地图:H201	X:49	Y:152 
[2024/8/18 18:0:47] 物品:凌风	怪物:1A5BACB0僵尸50	地图:H201	X:49	Y:152 
[2024/8/18 18:0:47] 物品:蓝色水晶戒指	怪物:1A5BACB0僵尸50	地图:H201	X:49	Y:152 
[2024/8/18 18:0:47] 物品:魔鬼项链	怪物:1A5BACB0僵尸50	地图:H201	X:49	Y:152 
[2024/8/18 18:0:47] 物品:琥珀项链	怪物:1A5BACB0僵尸50	地图:H201	X:49	Y:152 
[2024/8/18 18:0:47] 物品:凤凰明珠	怪物:1A5BACB0僵尸50	地图:H201	X:49	Y:152 
[2024/8/18 18:0:47] 物品:坚固手套	怪物:1A5BACB0僵尸50	地图:H201	X:49	Y:152 
[2024/8/18 18:0:47] 物品:灯笼项链	怪物:1A5BACB0僵尸50	地图:H201	X:49	Y:152 
[2024/8/18 18:0:47] 物品:铁剑	怪物:1A5BACB0僵尸50	地图:H201	X:49	Y:152 
[2024/8/18 18:0:47] 物品:短剑	怪物:1A5BACB0僵尸50	地图:H201	X:49	Y:152 
[2024/8/18 18:0:47] 物品:轻型盔甲(男)	怪物:1A5BACB0僵尸50	地图:H201	X:49	Y:152 
[2024/8/18 18:0:47] 物品:轻型盔甲(女)	怪物:1A5BACB0僵尸50	地图:H201	X:49	Y:152 
[2024/8/18 18:0:47] 物品:青铜斧	怪物:1A5BACB0僵尸50	地图:H201	X:49	Y:152 
[2024/8/18 18:0:47] 物品:黑檀项链	怪物:1A5BACB0僵尸50	地图:H201	X:49	Y:152 
[2024/8/18 18:0:47] 物品:黄色水晶项链	怪物:1A5BACB0僵尸50	地图:H201	X:49	Y:152 
[2024/8/18 18:0:47] 物品:黑色水晶项链	怪物:1A5BACB0僵尸50	地图:H201	X:49	Y:152 
[2024/8/18 18:0:47] 物品:青铜头盔	怪物:1A5BACB0僵尸50	地图:H201	X:49	Y:152 
[2024/8/18 18:0:47] 物品:金创药(小量)	怪物:1A5BACB0僵尸50	地图:H201	X:49	Y:152 
[2024/8/18 18:0:47] 物品:金创药(小量)	怪物:1A5BACB0僵尸50	地图:H201	X:49	Y:152 
[2024/8/18 18:0:47] 物品:金创药(小量)	怪物:1A5BACB0僵尸50	地图:H201	X:49	Y:152 
[2024/8/18 18:0:47] 物品:金创药(小量)	怪物:1A5BACB0僵尸50	地图:H201	X:49	Y:152 
[2024/8/18 18:0:47] 物品:魔法药(小量)	怪物:1A5BACB0僵尸50	地图:H201	X:49	Y:152 
[2024/8/18 18:0:47] 物品:魔法药(小量)	怪物:1A5BACB0僵尸50	地图:H201	X:49	Y:152 
[2024/8/18 18:0:47] 物品:魔法药(小量)	怪物:1A5BACB0僵尸50	地图:H201	X:49	Y:152 
[2024/8/18 18:0:47] 物品:魔法药(小量)	怪物:1A5BACB0僵尸50	地图:H201	X:49	Y:152 
[2024/8/18 18:0:47] 物品:破魂	怪物:2455AAB0祖玛雕像83	地图:H008	X:61	Y:51 
[2024/8/18 18:0:47] 物品:魅力戒指	怪物:2455AAB0祖玛雕像83	地图:H008	X:61	Y:51 
[2024/8/18 18:0:47] 物品:夏普儿手镯	怪物:2455AAB0祖玛雕像83	地图:H008	X:61	Y:51 
[2024/8/18 18:0:48] 物品:金创药(小量)	怪物:21F5A1D0僵尸5	地图:H201	X:51	Y:152 
[2024/8/18 18:0:48] 物品:魔法药(小量)	怪物:21F5A1D0僵尸5	地图:H201	X:51	Y:152 
[2024/8/18 18:0:50] 物品:骷髅头盔	怪物:0DB3FC40祖玛雕像83	地图:H008	X:64	Y:55 
[2024/8/18 18:0:53] 物品:强效太阳水	怪物:2A9C7E60尸王8	地图:H201	X:50	Y:152 
[2024/8/18 18:0:53] 物品:强效太阳水	怪物:2A9C7E60尸王8	地图:H201	X:50	Y:152 
[2024/8/18 18:0:53] 物品:强效太阳水	怪物:2A9C7E60尸王8	地图:H201	X:50	Y:152 
[2024/8/18 18:0:53] 物品:强效太阳水	怪物:2A9C7E60尸王8	地图:H201	X:50	Y:152 
[2024/8/18 18:0:53] 物品:强效太阳水	怪物:2A9C7E60尸王8	地图:H201	X:50	Y:152 
[2024/8/18 18:0:53] 物品:强效金创药	怪物:2A9C7E60尸王8	地图:H201	X:50	Y:152 
[2024/8/18 18:0:53] 物品:强效金创药	怪物:2A9C7E60尸王8	地图:H201	X:50	Y:152 
[2024/8/18 18:0:53] 物品:强效魔法药	怪物:2A9C7E60尸王8	地图:H201	X:50	Y:152 
[2024/8/18 18:0:53] 物品:强效魔法药	怪物:2A9C7E60尸王8	地图:H201	X:50	Y:152 
[2024/8/18 18:0:53] 物品:黑色水晶戒指	怪物:2A9C7E60尸王8	地图:H201	X:50	Y:152 
[2024/8/18 18:0:53] 物品:魅力戒指	怪物:2A9C7E60尸王8	地图:H201	X:50	Y:152 
[2024/8/18 18:0:53] 物品:烈火剑法	怪物:2A9C7E60尸王8	地图:H201	X:50	Y:152 
[2024/8/18 18:0:54] 物品:金创药(小量)	怪物:27902940僵尸5	地图:H201	X:49	Y:152 
[2024/8/18 18:1:0] 物品:强效魔法药	怪物:1ADA01A0祖玛卫士	地图:D504	X:169	Y:198 
[2024/8/18 18:1:4] 物品:强效太阳水	怪物:24A8FA10尸王8	地图:H201	X:51	Y:151 
[2024/8/18 18:1:4] 物品:强效太阳水	怪物:24A8FA10尸王8	地图:H201	X:51	Y:151 
[2024/8/18 18:1:4] 物品:强效太阳水	怪物:24A8FA10尸王8	地图:H201	X:51	Y:151 
[2024/8/18 18:1:4] 物品:强效太阳水	怪物:24A8FA10尸王8	地图:H201	X:51	Y:151 
[2024/8/18 18:1:4] 物品:强效太阳水	怪物:24A8FA10尸王8	地图:H201	X:51	Y:151 
[2024/8/18 18:1:4] 物品:强效金创药	怪物:24A8FA10尸王8	地图:H201	X:51	Y:151 
[2024/8/18 18:1:4] 物品:强效金创药	怪物:24A8FA10尸王8	地图:H201	X:51	Y:151 
[2024/8/18 18:1:4] 物品:强效魔法药	怪物:24A8FA10尸王8	地图:H201	X:51	Y:151 
[2024/8/18 18:1:4] 物品:强效魔法药	怪物:24A8FA10尸王8	地图:H201	X:51	Y:151 
[2024/8/18 18:1:4] 物品:骷髅戒指	怪物:24A8FA10尸王8	地图:H201	X:51	Y:151 
[2024/8/18 18:1:4] 物品:魔力手镯	怪物:24A8FA10尸王8	地图:H201	X:51	Y:151 
[2024/8/18 18:1:10] 物品:金创药(小量)	怪物:273BA900僵尸3	地图:D401	X:22	Y:154 
[2024/8/18 18:1:10] 物品:神圣战甲术	怪物:273BA900僵尸3	地图:D401	X:22	Y:154 
[2024/8/18 18:1:10] 物品:白金项链	怪物:0387C800祖玛雕像8	地图:H204	X:76	Y:72 
[2024/8/18 18:1:10] 物品:魅力戒指	怪物:0387C800祖玛雕像8	地图:H204	X:76	Y:72 
[2024/8/18 18:1:11] 物品:太阳水	怪物:2F0C7A80黑野猪8	地图:H002	X:235	Y:134 
[2024/8/18 18:1:13] 物品:蓝色水晶戒指	怪物:2DE8CF60僵尸10	地图:H201	X:42	Y:153 
[2024/8/18 18:1:13] 物品:金创药(中量)	怪物:2DE8CF60僵尸10	地图:H201	X:42	Y:153 
[2024/8/18 18:1:13] 物品:魔法药(中量)	怪物:2DE8CF60僵尸10	地图:H201	X:42	Y:153 
[2024/8/18 18:1:21] 物品:施毒术	怪物:22846650僵尸1	地图:H201	X:41	Y:153 
[2024/8/18 18:1:23] 物品:太阳水	怪物:2DB8C240黑野猪	地图:D717	X:60	Y:31 
[2024/8/18 18:1:27] 物品:地狱火	怪物:2ECD1210恶灵尸王	地图:H201	X:42	Y:153 
[2024/8/18 18:1:28] 物品:攻杀剑术	怪物:2758C050僵尸50	地图:H201	X:41	Y:153 
[2024/8/18 18:1:28] 物品:大火球	怪物:2758C050僵尸50	地图:H201	X:41	Y:153 
[2024/8/18 18:1:28] 物品:瞬息移动	怪物:2758C050僵尸50	地图:H201	X:41	Y:153 
[2024/8/18 18:1:28] 物品:诱惑之光	怪物:2758C050僵尸50	地图:H201	X:41	Y:153 
[2024/8/18 18:1:28] 物品:抗拒火环	怪物:2758C050僵尸50	地图:H201	X:41	Y:153 
[2024/8/18 18:1:28] 物品:精神力战法	怪物:2758C050僵尸50	地图:H201	X:41	Y:153 
[2024/8/18 18:1:28] 物品:火球术	怪物:2758C050僵尸50	地图:H201	X:41	Y:153 
[2024/8/18 18:1:28] 物品:治愈术	怪物:2758C050僵尸50	地图:H201	X:41	Y:153 
[2024/8/18 18:1:28] 物品:基本剑术	怪物:2758C050僵尸50	地图:H201	X:41	Y:153 
[2024/8/18 18:1:28] 物品:八荒	怪物:2758C050僵尸50	地图:H201	X:41	Y:153 
[2024/8/18 18:1:28] 物品:凌风	怪物:2758C050僵尸50	地图:H201	X:41	Y:153 
[2024/8/18 18:1:28] 物品:蓝色水晶戒指	怪物:2758C050僵尸50	地图:H201	X:41	Y:153 
[2024/8/18 18:1:28] 物品:魔鬼项链	怪物:2758C050僵尸50	地图:H201	X:41	Y:153 
[2024/8/18 18:1:28] 物品:凤凰明珠	怪物:2758C050僵尸50	地图:H201	X:41	Y:153 
[2024/8/18 18:1:28] 物品:坚固手套	怪物:2758C050僵尸50	地图:H201	X:41	Y:153 
[2024/8/18 18:1:28] 物品:魔力手镯	怪物:2758C050僵尸50	地图:H201	X:41	Y:153 
[2024/8/18 18:1:28] 物品:灯笼项链	怪物:2758C050僵尸50	地图:H201	X:41	Y:153 
[2024/8/18 18:1:28] 物品:铁剑	怪物:2758C050僵尸50	地图:H201	X:41	Y:153 
[2024/8/18 18:1:28] 物品:短剑	怪物:2758C050僵尸50	地图:H201	X:41	Y:153 
[2024/8/18 18:1:28] 物品:轻型盔甲(男)	怪物:2758C050僵尸50	地图:H201	X:41	Y:153 
[2024/8/18 18:1:28] 物品:轻型盔甲(女)	怪物:2758C050僵尸50	地图:H201	X:41	Y:153 
[2024/8/18 18:1:28] 物品:中型盔甲(男)	怪物:2758C050僵尸50	地图:H201	X:41	Y:153 
[2024/8/18 18:1:28] 物品:青铜斧	怪物:2758C050僵尸50	地图:H201	X:41	Y:153 
[2024/8/18 18:1:28] 物品:黑檀项链	怪物:2758C050僵尸50	地图:H201	X:41	Y:153 
[2024/8/18 18:1:28] 物品:黄色水晶项链	怪物:2758C050僵尸50	地图:H201	X:41	Y:153 
[2024/8/18 18:1:28] 物品:黑色水晶项链	怪物:2758C050僵尸50	地图:H201	X:41	Y:153 
[2024/8/18 18:1:28] 物品:青铜头盔	怪物:2758C050僵尸50	地图:H201	X:41	Y:153 
[2024/8/18 18:1:28] 物品:金创药(小量)	怪物:2758C050僵尸50	地图:H201	X:41	Y:153 
[2024/8/18 18:1:28] 物品:金创药(小量)	怪物:2758C050僵尸50	地图:H201	X:41	Y:153 
[2024/8/18 18:1:28] 物品:金创药(小量)	怪物:2758C050僵尸50	地图:H201	X:41	Y:153 
[2024/8/18 18:1:28] 物品:金创药(小量)	怪物:2758C050僵尸50	地图:H201	X:41	Y:153 
[2024/8/18 18:1:28] 物品:魔法药(小量)	怪物:2758C050僵尸50	地图:H201	X:41	Y:153 
[2024/8/18 18:1:28] 物品:魔法药(小量)	怪物:2758C050僵尸50	地图:H201	X:41	Y:153 
[2024/8/18 18:1:28] 物品:魔法药(小量)	怪物:2758C050僵尸50	地图:H201	X:41	Y:153 
[2024/8/18 18:1:28] 物品:魔法药(小量)	怪物:2758C050僵尸50	地图:H201	X:41	Y:153 
[2024/8/18 18:1:30] 物品:金创药(小量)	怪物:19B59970僵尸4	地图:H201	X:42	Y:153 
[2024/8/18 18:1:32] 物品:太阳水	怪物:059C2C10黑色恶蛆8	地图:H004	X:107	Y:101 
[2024/8/18 18:1:33] 物品:强效太阳水	怪物:24B69100尸王8	地图:H201	X:41	Y:154 
[2024/8/18 18:1:33] 物品:强效太阳水	怪物:24B69100尸王8	地图:H201	X:41	Y:154 
[2024/8/18 18:1:33] 物品:强效太阳水	怪物:24B69100尸王8	地图:H201	X:41	Y:154 
[2024/8/18 18:1:33] 物品:强效太阳水	怪物:24B69100尸王8	地图:H201	X:41	Y:154 
[2024/8/18 18:1:33] 物品:强效太阳水	怪物:24B69100尸王8	地图:H201	X:41	Y:154 
[2024/8/18 18:1:33] 物品:强效金创药	怪物:24B69100尸王8	地图:H201	X:41	Y:154 
[2024/8/18 18:1:33] 物品:强效金创药	怪物:24B69100尸王8	地图:H201	X:41	Y:154 
[2024/8/18 18:1:33] 物品:强效魔法药	怪物:24B69100尸王8	地图:H201	X:41	Y:154 
[2024/8/18 18:1:33] 物品:强效魔法药	怪物:24B69100尸王8	地图:H201	X:41	Y:154 
[2024/8/18 18:1:33] 物品:魅力戒指	怪物:24B69100尸王8	地图:H201	X:41	Y:154 
[2024/8/18 18:1:33] 物品:蓝翡翠项链	怪物:24B69100尸王8	地图:H201	X:41	Y:154 
[2024/8/18 18:1:33] 物品:圣言术	怪物:24B69100尸王8	地图:H201	X:41	Y:154 
[2024/8/18 18:1:37] 物品:太阳水	怪物:245E5270僵尸5	地图:H201	X:42	Y:153 
[2024/8/18 18:1:37] 物品:太阳水	怪物:0D8429E0黑野猪8	地图:H002	X:233	Y:155 
[2024/8/18 18:1:38] 物品:强效太阳水	怪物:23C1D120尸王8	地图:H201	X:41	Y:153 
[2024/8/18 18:1:38] 物品:强效太阳水	怪物:23C1D120尸王8	地图:H201	X:41	Y:153 
[2024/8/18 18:1:38] 物品:强效太阳水	怪物:23C1D120尸王8	地图:H201	X:41	Y:153 
[2024/8/18 18:1:38] 物品:强效太阳水	怪物:23C1D120尸王8	地图:H201	X:41	Y:153 
[2024/8/18 18:1:38] 物品:强效太阳水	怪物:23C1D120尸王8	地图:H201	X:41	Y:153 
[2024/8/18 18:1:38] 物品:强效金创药	怪物:23C1D120尸王8	地图:H201	X:41	Y:153 
[2024/8/18 18:1:38] 物品:强效金创药	怪物:23C1D120尸王8	地图:H201	X:41	Y:153 
[2024/8/18 18:1:38] 物品:强效魔法药	怪物:23C1D120尸王8	地图:H201	X:41	Y:153 
[2024/8/18 18:1:38] 物品:强效魔法药	怪物:23C1D120尸王8	地图:H201	X:41	Y:153 
[2024/8/18 18:1:38] 物品:骷髅戒指	怪物:23C1D120尸王8	地图:H201	X:41	Y:153 
[2024/8/18 18:1:38] 物品:凝霜	怪物:23C1D120尸王8	地图:H201	X:41	Y:153 
[2024/8/18 18:1:38] 物品:蓝翡翠项链	怪物:23C1D120尸王8	地图:H201	X:41	Y:153 
[2024/8/18 18:1:38] 物品:魔力手镯	怪物:23C1D120尸王8	地图:H201	X:41	Y:153 
[2024/8/18 18:1:38] 物品:困魔咒	怪物:23C1D120尸王8	地图:H201	X:41	Y:153 
[2024/8/18 18:1:40] 物品:攻击力药水	怪物:17FF2540僵尸4	地图:H201	X:41	Y:155 
[2024/8/18 18:1:40] 物品:魔法药(小量)	怪物:1A6B7340僵尸5	地图:H201	X:43	Y:155 
[2024/8/18 18:1:42] 物品:灵魂战衣(男)	怪物:20C91870跳跳蜂	地图:D601	X:214	Y:201 
[2024/8/18 18:1:47] 物品:强效太阳水	怪物:24A7C370尸王8	地图:H201	X:43	Y:154 
[2024/8/18 18:1:47] 物品:强效太阳水	怪物:24A7C370尸王8	地图:H201	X:43	Y:154 
[2024/8/18 18:1:47] 物品:强效太阳水	怪物:24A7C370尸王8	地图:H201	X:43	Y:154 
[2024/8/18 18:1:47] 物品:强效太阳水	怪物:24A7C370尸王8	地图:H201	X:43	Y:154 
[2024/8/18 18:1:47] 物品:强效太阳水	怪物:24A7C370尸王8	地图:H201	X:43	Y:154 
[2024/8/18 18:1:47] 物品:强效金创药	怪物:24A7C370尸王8	地图:H201	X:43	Y:154 
[2024/8/18 18:1:47] 物品:强效金创药	怪物:24A7C370尸王8	地图:H201	X:43	Y:154 
[2024/8/18 18:1:47] 物品:强效魔法药	怪物:24A7C370尸王8	地图:H201	X:43	Y:154 
[2024/8/18 18:1:47] 物品:强效魔法药	怪物:24A7C370尸王8	地图:H201	X:43	Y:154 
[2024/8/18 18:1:47] 物品:黑檀手镯	怪物:24A7C370尸王8	地图:H201	X:43	Y:154 
[2024/8/18 18:1:47] 物品:魔力手镯	怪物:24A7C370尸王8	地图:H201	X:43	Y:154 
[2024/8/18 18:1:48] 物品:赤月恶魔油	怪物:217A15A0赤月恶魔1	地图:D10071	X:17	Y:21 
[2024/8/18 18:1:49] 物品:金创药(小量)	怪物:1B5651F0僵尸5	地图:H201	X:41	Y:154 
[2024/8/18 18:1:51] 物品:雷电术	怪物:20FF8BD0僵尸40	地图:H201	X:41	Y:155 
[2024/8/18 18:1:51] 物品:抗拒火环	怪物:20FF8BD0僵尸40	地图:H201	X:41	Y:155 
[2024/8/18 18:1:51] 物品:精神力战法	怪物:20FF8BD0僵尸40	地图:H201	X:41	Y:155 
[2024/8/18 18:1:51] 物品:火球术	怪物:20FF8BD0僵尸40	地图:H201	X:41	Y:155 
[2024/8/18 18:1:51] 物品:治愈术	怪物:20FF8BD0僵尸40	地图:H201	X:41	Y:155 
[2024/8/18 18:1:51] 物品:基本剑术	怪物:20FF8BD0僵尸40	地图:H201	X:41	Y:155 
[2024/8/18 18:1:51] 物品:中型盔甲(女)	怪物:20FF8BD0僵尸40	地图:H201	X:41	Y:155 
[2024/8/18 18:1:51] 物品:魔法药(小量)	怪物:20FF8BD0僵尸40	地图:H201	X:41	Y:155 
[2024/8/18 18:2:0] 物品:太阳水	怪物:2F0BDF30黑野猪	地图:D717	X:49	Y:27 
[2024/8/18 18:2:5] 物品:隐身术	怪物:28919A60僵尸5	地图:H201	X:38	Y:155 
[2024/8/18 18:2:9] 物品:太阳水	怪物:22553380血巨人	地图:D10061	X:12	Y:19 
[2024/8/18 18:2:9] 物品:强效太阳水	怪物:22553380血巨人	地图:D10061	X:12	Y:19 
[2024/8/18 18:2:9] 物品:强效金创药	怪物:22553380血巨人	地图:D10061	X:12	Y:19 
[2024/8/18 18:2:9] 物品:强效魔法药	怪物:22553380血巨人	地图:D10061	X:12	Y:19 
[2024/8/18 18:2:9] 物品:赤月恶魔油	怪物:28F38BA0赤月恶魔1	地图:D10071	X:17	Y:21 
[2024/8/18 18:2:19] 物品:诱惑之光	怪物:2965FCE0僵尸5	地图:H201	X:36	Y:156 
[2024/8/18 18:2:20] 物品:重盔甲(男)	怪物:30CCBB80跳跳蜂8	地图:H001	X:138	Y:116 
[2024/8/18 18:2:21] 物品:金创药(小量)	怪物:2A461560僵尸4	地图:H201	X:38	Y:157 
[2024/8/18 18:2:21] 物品:抗拒火环	怪物:20FF8BD0僵尸40	地图:H201	X:38	Y:156 
[2024/8/18 18:2:21] 物品:精神力战法	怪物:20FF8BD0僵尸40	地图:H201	X:38	Y:156 
[2024/8/18 18:2:21] 物品:火球术	怪物:20FF8BD0僵尸40	地图:H201	X:38	Y:156 
[2024/8/18 18:2:21] 物品:治愈术	怪物:20FF8BD0僵尸40	地图:H201	X:38	Y:156 
[2024/8/18 18:2:21] 物品:基本剑术	怪物:20FF8BD0僵尸40	地图:H201	X:38	Y:156 
[2024/8/18 18:2:21] 物品:半月	怪物:20FF8BD0僵尸40	地图:H201	X:38	Y:156 
[2024/8/18 18:2:21] 物品:魔法药(小量)	怪物:20FF8BD0僵尸40	地图:H201	X:38	Y:156 
[2024/8/18 18:2:26] 物品:金创药(小量)	怪物:2A461560僵尸4	地图:H201	X:38	Y:157 
[2024/8/18 18:2:26] 物品:灵魂火符	怪物:2A461560僵尸4	地图:H201	X:38	Y:157 
[2024/8/18 18:2:27] 物品:强效太阳水	怪物:0D7EA730尸王8	地图:H201	X:37	Y:157 
[2024/8/18 18:2:27] 物品:强效太阳水	怪物:0D7EA730尸王8	地图:H201	X:37	Y:157 
[2024/8/18 18:2:27] 物品:强效太阳水	怪物:0D7EA730尸王8	地图:H201	X:37	Y:157 
[2024/8/18 18:2:27] 物品:强效太阳水	怪物:0D7EA730尸王8	地图:H201	X:37	Y:157 
