[2024/8/19 18:0:4] 物品:太阳水	怪物:2A9FDE30黑色恶蛆8	地图:H006	X:50	Y:79 
[2024/8/19 18:0:19] 物品:魔法药(中量)	怪物:31F0D710掷斧骷髅0	地图:D003	X:219	Y:218 
[2024/8/19 18:0:19] 物品:魔法药(中量)	怪物:31F0D710掷斧骷髅0	地图:D003	X:219	Y:218 
[2024/8/19 18:0:19] 物品:魔法药(中量)	怪物:31F0D710掷斧骷髅0	地图:D003	X:219	Y:218 
[2024/8/19 18:0:19] 物品:魔法药(中量)	怪物:31F0D710掷斧骷髅0	地图:D003	X:219	Y:218 
[2024/8/19 18:0:20] 物品:太阳水	怪物:24D6F200黑野猪8	地图:H002	X:363	Y:226 
[2024/8/19 18:0:22] 物品:凤凰明珠	怪物:288CA790僵尸10	地图:H201	X:171	Y:98 
[2024/8/19 18:0:27] 物品:强效太阳水	怪物:27A73050尸王8	地图:H201	X:172	Y:99 
[2024/8/19 18:0:27] 物品:强效太阳水	怪物:27A73050尸王8	地图:H201	X:172	Y:99 
[2024/8/19 18:0:27] 物品:强效太阳水	怪物:27A73050尸王8	地图:H201	X:172	Y:99 
[2024/8/19 18:0:27] 物品:强效太阳水	怪物:27A73050尸王8	地图:H201	X:172	Y:99 
[2024/8/19 18:0:27] 物品:强效太阳水	怪物:27A73050尸王8	地图:H201	X:172	Y:99 
[2024/8/19 18:0:27] 物品:强效金创药	怪物:27A73050尸王8	地图:H201	X:172	Y:99 
[2024/8/19 18:0:27] 物品:强效金创药	怪物:27A73050尸王8	地图:H201	X:172	Y:99 
[2024/8/19 18:0:27] 物品:强效魔法药	怪物:27A73050尸王8	地图:H201	X:172	Y:99 
[2024/8/19 18:0:27] 物品:强效魔法药	怪物:27A73050尸王8	地图:H201	X:172	Y:99 
[2024/8/19 18:0:27] 物品:骷髅戒指	怪物:27A73050尸王8	地图:H201	X:172	Y:99 
[2024/8/19 18:0:27] 物品:黑色水晶戒指	怪物:27A73050尸王8	地图:H201	X:172	Y:99 
[2024/8/19 18:0:27] 物品:凝霜	怪物:27A73050尸王8	地图:H201	X:172	Y:99 
[2024/8/19 18:0:31] 物品:抗拒火环	怪物:234FE500僵尸50	地图:H201	X:173	Y:97 
[2024/8/19 18:0:31] 物品:精神力战法	怪物:234FE500僵尸50	地图:H201	X:173	Y:97 
[2024/8/19 18:0:31] 物品:火球术	怪物:234FE500僵尸50	地图:H201	X:173	Y:97 
[2024/8/19 18:0:31] 物品:治愈术	怪物:234FE500僵尸50	地图:H201	X:173	Y:97 
[2024/8/19 18:0:31] 物品:基本剑术	怪物:234FE500僵尸50	地图:H201	X:173	Y:97 
[2024/8/19 18:0:31] 物品:八荒	怪物:234FE500僵尸50	地图:H201	X:173	Y:97 
[2024/8/19 18:0:31] 物品:海魂	怪物:234FE500僵尸50	地图:H201	X:173	Y:97 
[2024/8/19 18:0:31] 物品:魔鬼项链	怪物:234FE500僵尸50	地图:H201	X:173	Y:97 
[2024/8/19 18:0:31] 物品:坚固手套	怪物:234FE500僵尸50	地图:H201	X:173	Y:97 
[2024/8/19 18:0:31] 物品:铁剑	怪物:234FE500僵尸50	地图:H201	X:173	Y:97 
[2024/8/19 18:0:31] 物品:短剑	怪物:234FE500僵尸50	地图:H201	X:173	Y:97 
[2024/8/19 18:0:31] 物品:轻型盔甲(男)	怪物:234FE500僵尸50	地图:H201	X:173	Y:97 
[2024/8/19 18:0:31] 物品:轻型盔甲(女)	怪物:234FE500僵尸50	地图:H201	X:173	Y:97 
[2024/8/19 18:0:31] 物品:中型盔甲(女)	怪物:234FE500僵尸50	地图:H201	X:173	Y:97 
[2024/8/19 18:0:31] 物品:青铜斧	怪物:234FE500僵尸50	地图:H201	X:173	Y:97 
[2024/8/19 18:0:31] 物品:黑檀项链	怪物:234FE500僵尸50	地图:H201	X:173	Y:97 
[2024/8/19 18:0:31] 物品:黄色水晶项链	怪物:234FE500僵尸50	地图:H201	X:173	Y:97 
[2024/8/19 18:0:31] 物品:黑色水晶项链	怪物:234FE500僵尸50	地图:H201	X:173	Y:97 
[2024/8/19 18:0:31] 物品:青铜头盔	怪物:234FE500僵尸50	地图:H201	X:173	Y:97 
[2024/8/19 18:0:31] 物品:金创药(小量)	怪物:234FE500僵尸50	地图:H201	X:173	Y:97 
[2024/8/19 18:0:31] 物品:金创药(小量)	怪物:234FE500僵尸50	地图:H201	X:173	Y:97 
[2024/8/19 18:0:31] 物品:金创药(小量)	怪物:234FE500僵尸50	地图:H201	X:173	Y:97 
[2024/8/19 18:0:31] 物品:金创药(小量)	怪物:234FE500僵尸50	地图:H201	X:173	Y:97 
[2024/8/19 18:0:31] 物品:魔法药(小量)	怪物:234FE500僵尸50	地图:H201	X:173	Y:97 
[2024/8/19 18:0:31] 物品:魔法药(小量)	怪物:234FE500僵尸50	地图:H201	X:173	Y:97 
[2024/8/19 18:0:31] 物品:魔法药(小量)	怪物:234FE500僵尸50	地图:H201	X:173	Y:97 
[2024/8/19 18:0:31] 物品:魔法药(小量)	怪物:234FE500僵尸50	地图:H201	X:173	Y:97 
[2024/8/19 18:0:31] 物品:大火球	怪物:2B375B00僵尸40	地图:H201	X:173	Y:98 
[2024/8/19 18:0:31] 物品:抗拒火环	怪物:2B375B00僵尸40	地图:H201	X:173	Y:98 
[2024/8/19 18:0:31] 物品:精神力战法	怪物:2B375B00僵尸40	地图:H201	X:173	Y:98 
[2024/8/19 18:0:31] 物品:火球术	怪物:2B375B00僵尸40	地图:H201	X:173	Y:98 
[2024/8/19 18:0:31] 物品:治愈术	怪物:2B375B00僵尸40	地图:H201	X:173	Y:98 
[2024/8/19 18:0:31] 物品:基本剑术	怪物:2B375B00僵尸40	地图:H201	X:173	Y:98 
[2024/8/19 18:0:31] 物品:金创药(小量)	怪物:2B375B00僵尸40	地图:H201	X:173	Y:98 
[2024/8/19 18:0:35] 物品:强效太阳水	怪物:2A3E0C80虹魔蝎卫8	地图:H204	X:30	Y:31 
[2024/8/19 18:0:35] 物品:强效太阳水	怪物:2A3E0C80虹魔蝎卫8	地图:H204	X:30	Y:31 
[2024/8/19 18:0:35] 物品:强效太阳水	怪物:2A3E0C80虹魔蝎卫8	地图:H204	X:30	Y:31 
[2024/8/19 18:0:35] 物品:强效太阳水	怪物:2A3E0C80虹魔蝎卫8	地图:H204	X:30	Y:31 
[2024/8/19 18:0:35] 物品:强效太阳水	怪物:2A3E0C80虹魔蝎卫8	地图:H204	X:30	Y:31 
[2024/8/19 18:0:35] 物品:强效太阳水	怪物:2A3E0C80虹魔蝎卫8	地图:H204	X:30	Y:31 
[2024/8/19 18:0:35] 物品:强效太阳水	怪物:2A3E0C80虹魔蝎卫8	地图:H204	X:30	Y:31 
[2024/8/19 18:0:35] 物品:强效太阳水	怪物:2A3E0C80虹魔蝎卫8	地图:H204	X:30	Y:31 
[2024/8/19 18:0:35] 物品:强效太阳水	怪物:2A3E0C80虹魔蝎卫8	地图:H204	X:30	Y:31 
[2024/8/19 18:0:35] 物品:强效太阳水	怪物:2A3E0C80虹魔蝎卫8	地图:H204	X:30	Y:31 
[2024/8/19 18:0:35] 物品:太阳水	怪物:2A3E0C80虹魔蝎卫8	地图:H204	X:30	Y:31 
[2024/8/19 18:0:35] 物品:太阳水	怪物:2A3E0C80虹魔蝎卫8	地图:H204	X:30	Y:31 
[2024/8/19 18:0:35] 物品:太阳水	怪物:2A3E0C80虹魔蝎卫8	地图:H204	X:30	Y:31 
[2024/8/19 18:0:35] 物品:太阳水	怪物:2A3E0C80虹魔蝎卫8	地图:H204	X:30	Y:31 
[2024/8/19 18:0:35] 物品:太阳水	怪物:2A3E0C80虹魔蝎卫8	地图:H204	X:30	Y:31 
[2024/8/19 18:0:35] 物品:太阳水	怪物:2A3E0C80虹魔蝎卫8	地图:H204	X:30	Y:31 
[2024/8/19 18:0:35] 物品:太阳水	怪物:2A3E0C80虹魔蝎卫8	地图:H204	X:30	Y:31 
[2024/8/19 18:0:35] 物品:太阳水	怪物:2A3E0C80虹魔蝎卫8	地图:H204	X:30	Y:31 
[2024/8/19 18:0:35] 物品:太阳水	怪物:2A3E0C80虹魔蝎卫8	地图:H204	X:30	Y:31 
[2024/8/19 18:0:35] 物品:太阳水	怪物:2A3E0C80虹魔蝎卫8	地图:H204	X:30	Y:31 
[2024/8/19 18:0:35] 物品:强效金创药	怪物:2A3E0C80虹魔蝎卫8	地图:H204	X:30	Y:31 
[2024/8/19 18:0:35] 物品:强效金创药	怪物:2A3E0C80虹魔蝎卫8	地图:H204	X:30	Y:31 
[2024/8/19 18:0:35] 物品:强效金创药	怪物:2A3E0C80虹魔蝎卫8	地图:H204	X:30	Y:31 
[2024/8/19 18:0:35] 物品:强效金创药	怪物:2A3E0C80虹魔蝎卫8	地图:H204	X:30	Y:31 
[2024/8/19 18:0:35] 物品:强效金创药	怪物:2A3E0C80虹魔蝎卫8	地图:H204	X:30	Y:31 
[2024/8/19 18:0:35] 物品:强效金创药	怪物:2A3E0C80虹魔蝎卫8	地图:H204	X:30	Y:31 
[2024/8/19 18:0:35] 物品:强效金创药	怪物:2A3E0C80虹魔蝎卫8	地图:H204	X:30	Y:31 
[2024/8/19 18:0:35] 物品:强效金创药	怪物:2A3E0C80虹魔蝎卫8	地图:H204	X:30	Y:31 
[2024/8/19 18:0:35] 物品:强效金创药	怪物:2A3E0C80虹魔蝎卫8	地图:H204	X:30	Y:31 
[2024/8/19 18:0:35] 物品:强效金创药	怪物:2A3E0C80虹魔蝎卫8	地图:H204	X:30	Y:31 
[2024/8/19 18:0:35] 物品:强效魔法药	怪物:2A3E0C80虹魔蝎卫8	地图:H204	X:30	Y:31 
[2024/8/19 18:0:35] 物品:强效魔法药	怪物:2A3E0C80虹魔蝎卫8	地图:H204	X:30	Y:31 
[2024/8/19 18:0:35] 物品:强效魔法药	怪物:2A3E0C80虹魔蝎卫8	地图:H204	X:30	Y:31 
[2024/8/19 18:0:35] 物品:强效魔法药	怪物:2A3E0C80虹魔蝎卫8	地图:H204	X:30	Y:31 
[2024/8/19 18:0:35] 物品:强效魔法药	怪物:2A3E0C80虹魔蝎卫8	地图:H204	X:30	Y:31 
[2024/8/19 18:0:35] 物品:强效魔法药	怪物:2A3E0C80虹魔蝎卫8	地图:H204	X:30	Y:31 
[2024/8/19 18:0:35] 物品:强效魔法药	怪物:2A3E0C80虹魔蝎卫8	地图:H204	X:30	Y:31 
[2024/8/19 18:0:35] 物品:强效魔法药	怪物:2A3E0C80虹魔蝎卫8	地图:H204	X:30	Y:31 
[2024/8/19 18:0:35] 物品:强效魔法药	怪物:2A3E0C80虹魔蝎卫8	地图:H204	X:30	Y:31 
[2024/8/19 18:0:35] 物品:强效魔法药	怪物:2A3E0C80虹魔蝎卫8	地图:H204	X:30	Y:31 
[2024/8/19 18:0:35] 物品:黑檀手镯	怪物:2A3E0C80虹魔蝎卫8	地图:H204	X:30	Y:31 
[2024/8/19 18:0:35] 物品:道德戒指	怪物:2A3E0C80虹魔蝎卫8	地图:H204	X:30	Y:31 
[2024/8/19 18:0:37] 物品:神圣战甲术	怪物:2D56CA80恶灵尸王	地图:H201	X:172	Y:97 
[2024/8/19 18:0:37] 物品:隐身术	怪物:2D56CA80恶灵尸王	地图:H201	X:172	Y:97 
[2024/8/19 18:0:37] 物品:灵魂火符	怪物:2D56CA80恶灵尸王	地图:H201	X:172	Y:97 
[2024/8/19 18:0:41] 物品:魔法力药水	怪物:1835D910掷斧骷髅	地图:D003	X:252	Y:274 
[2024/8/19 18:0:48] 物品:强效太阳水	怪物:0D8D5F40尸王8	地图:H201	X:173	Y:97 
[2024/8/19 18:0:48] 物品:强效太阳水	怪物:0D8D5F40尸王8	地图:H201	X:173	Y:97 
[2024/8/19 18:0:48] 物品:强效太阳水	怪物:0D8D5F40尸王8	地图:H201	X:173	Y:97 
[2024/8/19 18:0:48] 物品:强效太阳水	怪物:0D8D5F40尸王8	地图:H201	X:173	Y:97 
[2024/8/19 18:0:48] 物品:强效太阳水	怪物:0D8D5F40尸王8	地图:H201	X:173	Y:97 
[2024/8/19 18:0:48] 物品:强效金创药	怪物:0D8D5F40尸王8	地图:H201	X:173	Y:97 
[2024/8/19 18:0:48] 物品:强效金创药	怪物:0D8D5F40尸王8	地图:H201	X:173	Y:97 
[2024/8/19 18:0:48] 物品:强效魔法药	怪物:0D8D5F40尸王8	地图:H201	X:173	Y:97 
[2024/8/19 18:0:48] 物品:强效魔法药	怪物:0D8D5F40尸王8	地图:H201	X:173	Y:97 
[2024/8/19 18:0:48] 物品:骷髅戒指	怪物:0D8D5F40尸王8	地图:H201	X:173	Y:97 
[2024/8/19 18:0:48] 物品:黑色水晶戒指	怪物:0D8D5F40尸王8	地图:H201	X:173	Y:97 
[2024/8/19 18:0:48] 物品:道德戒指	怪物:0D8D5F40尸王8	地图:H201	X:173	Y:97 
[2024/8/19 18:0:48] 物品:黑檀手镯	怪物:0D8D5F40尸王8	地图:H201	X:173	Y:97 
[2024/8/19 18:0:48] 物品:魔力手镯	怪物:0D8D5F40尸王8	地图:H201	X:173	Y:97 
[2024/8/19 18:0:50] 物品:强效太阳水	怪物:1906CED0尸王8	地图:H201	X:173	Y:99 
[2024/8/19 18:0:50] 物品:强效太阳水	怪物:1906CED0尸王8	地图:H201	X:173	Y:99 
[2024/8/19 18:0:50] 物品:强效太阳水	怪物:1906CED0尸王8	地图:H201	X:173	Y:99 
[2024/8/19 18:0:50] 物品:强效太阳水	怪物:1906CED0尸王8	地图:H201	X:173	Y:99 
[2024/8/19 18:0:50] 物品:强效太阳水	怪物:1906CED0尸王8	地图:H201	X:173	Y:99 
[2024/8/19 18:0:50] 物品:强效金创药	怪物:1906CED0尸王8	地图:H201	X:173	Y:99 
[2024/8/19 18:0:50] 物品:强效金创药	怪物:1906CED0尸王8	地图:H201	X:173	Y:99 
[2024/8/19 18:0:50] 物品:强效魔法药	怪物:1906CED0尸王8	地图:H201	X:173	Y:99 
[2024/8/19 18:0:50] 物品:强效魔法药	怪物:1906CED0尸王8	地图:H201	X:173	Y:99 
[2024/8/19 18:0:50] 物品:骷髅戒指	怪物:1906CED0尸王8	地图:H201	X:173	Y:99 
[2024/8/19 18:0:50] 物品:珍珠戒指	怪物:1906CED0尸王8	地图:H201	X:173	Y:99 
[2024/8/19 18:0:50] 物品:蓝翡翠项链	怪物:1906CED0尸王8	地图:H201	X:173	Y:99 
[2024/8/19 18:0:50] 物品:黑檀手镯	怪物:1906CED0尸王8	地图:H201	X:173	Y:99 
[2024/8/19 18:0:52] 物品:太阳水	怪物:1C099450黑野猪8	地图:H002	X:192	Y:77 
[2024/8/19 18:0:55] 物品:强效太阳水	怪物:188603F0白野猪8	地图:H204	X:19	Y:22 
[2024/8/19 18:0:55] 物品:强效太阳水	怪物:188603F0白野猪8	地图:H204	X:19	Y:22 
[2024/8/19 18:0:55] 物品:强效太阳水	怪物:188603F0白野猪8	地图:H204	X:19	Y:22 
[2024/8/19 18:0:55] 物品:强效太阳水	怪物:188603F0白野猪8	地图:H204	X:19	Y:22 
[2024/8/19 18:0:55] 物品:强效太阳水	怪物:188603F0白野猪8	地图:H204	X:19	Y:22 
[2024/8/19 18:0:55] 物品:强效太阳水	怪物:188603F0白野猪8	地图:H204	X:19	Y:22 
[2024/8/19 18:0:55] 物品:强效太阳水	怪物:188603F0白野猪8	地图:H204	X:19	Y:22 
[2024/8/19 18:0:55] 物品:强效太阳水	怪物:188603F0白野猪8	地图:H204	X:19	Y:22 
[2024/8/19 18:0:55] 物品:强效太阳水	怪物:188603F0白野猪8	地图:H204	X:19	Y:22 
[2024/8/19 18:0:55] 物品:强效太阳水	怪物:188603F0白野猪8	地图:H204	X:19	Y:22 
[2024/8/19 18:0:55] 物品:太阳水	怪物:188603F0白野猪8	地图:H204	X:19	Y:22 
[2024/8/19 18:0:55] 物品:太阳水	怪物:188603F0白野猪8	地图:H204	X:19	Y:22 
[2024/8/19 18:0:55] 物品:太阳水	怪物:188603F0白野猪8	地图:H204	X:19	Y:22 
[2024/8/19 18:0:55] 物品:太阳水	怪物:188603F0白野猪8	地图:H204	X:19	Y:22 
[2024/8/19 18:0:55] 物品:太阳水	怪物:188603F0白野猪8	地图:H204	X:19	Y:22 
[2024/8/19 18:0:55] 物品:太阳水	怪物:188603F0白野猪8	地图:H204	X:19	Y:22 
[2024/8/19 18:0:55] 物品:太阳水	怪物:188603F0白野猪8	地图:H204	X:19	Y:22 
[2024/8/19 18:0:55] 物品:太阳水	怪物:188603F0白野猪8	地图:H204	X:19	Y:22 
[2024/8/19 18:0:55] 物品:太阳水	怪物:188603F0白野猪8	地图:H204	X:19	Y:22 
[2024/8/19 18:0:55] 物品:太阳水	怪物:188603F0白野猪8	地图:H204	X:19	Y:22 
[2024/8/19 18:0:55] 物品:金创药(中量)	怪物:188603F0白野猪8	地图:H204	X:19	Y:22 
[2024/8/19 18:0:55] 物品:金创药(中量)	怪物:188603F0白野猪8	地图:H204	X:19	Y:22 
[2024/8/19 18:0:55] 物品:金创药(中量)	怪物:188603F0白野猪8	地图:H204	X:19	Y:22 
[2024/8/19 18:0:55] 物品:强效金创药	怪物:188603F0白野猪8	地图:H204	X:19	Y:22 
[2024/8/19 18:0:55] 物品:强效金创药	怪物:188603F0白野猪8	地图:H204	X:19	Y:22 
[2024/8/19 18:0:55] 物品:强效金创药	怪物:188603F0白野猪8	地图:H204	X:19	Y:22 
[2024/8/19 18:0:55] 物品:魔法药(中量)	怪物:188603F0白野猪8	地图:H204	X:19	Y:22 
[2024/8/19 18:0:55] 物品:魔法药(中量)	怪物:188603F0白野猪8	地图:H204	X:19	Y:22 
[2024/8/19 18:0:55] 物品:魔法药(中量)	怪物:188603F0白野猪8	地图:H204	X:19	Y:22 
[2024/8/19 18:0:55] 物品:强效魔法药	怪物:188603F0白野猪8	地图:H204	X:19	Y:22 
[2024/8/19 18:0:55] 物品:强效魔法药	怪物:188603F0白野猪8	地图:H204	X:19	Y:22 
[2024/8/19 18:0:55] 物品:强效魔法药	怪物:188603F0白野猪8	地图:H204	X:19	Y:22 
[2024/8/19 18:0:55] 物品:强效金创药	怪物:188603F0白野猪8	地图:H204	X:19	Y:22 
[2024/8/19 18:0:55] 物品:强效金创药	怪物:188603F0白野猪8	地图:H204	X:19	Y:22 
[2024/8/19 18:0:55] 物品:强效金创药	怪物:188603F0白野猪8	地图:H204	X:19	Y:22 
[2024/8/19 18:0:55] 物品:强效金创药	怪物:188603F0白野猪8	地图:H204	X:19	Y:22 
[2024/8/19 18:0:55] 物品:强效金创药	怪物:188603F0白野猪8	地图:H204	X:19	Y:22 
[2024/8/19 18:0:55] 物品:强效金创药	怪物:188603F0白野猪8	地图:H204	X:19	Y:22 
[2024/8/19 18:0:55] 物品:强效魔法药	怪物:188603F0白野猪8	地图:H204	X:19	Y:22 
[2024/8/19 18:0:55] 物品:强效魔法药	怪物:188603F0白野猪8	地图:H204	X:19	Y:22 
[2024/8/19 18:0:55] 物品:强效魔法药	怪物:188603F0白野猪8	地图:H204	X:19	Y:22 
[2024/8/19 18:0:55] 物品:强效魔法药	怪物:188603F0白野猪8	地图:H204	X:19	Y:22 
[2024/8/19 18:0:55] 物品:强效魔法药	怪物:188603F0白野猪8	地图:H204	X:19	Y:22 
[2024/8/19 18:0:55] 物品:强效魔法药	怪物:188603F0白野猪8	地图:H204	X:19	Y:22 
[2024/8/19 18:0:55] 物品:虹魔手镯	怪物:188603F0白野猪8	地图:H204	X:19	Y:22 
[2024/8/19 18:0:55] 物品:恶魔长袍(男)	怪物:188603F0白野猪8	地图:H204	X:19	Y:22 
[2024/8/19 18:1:1] 物品:魔法药(中量)	怪物:2A2377C0祖玛雕像8	地图:H204	X:23	Y:19 
[2024/8/19 18:1:3] 物品:布衣(男)	怪物:29F12E00半兽战士	地图:11	X:147	Y:287 
[2024/8/19 18:1:9] 物品:白色虎齿项链	怪物:2847B9B0祖玛弓箭手8	地图:H204	X:22	Y:36 
[2024/8/19 18:1:11] 物品:魔法药(小量)	怪物:1937A730僵尸4	地图:H201	X:176	Y:91 
[2024/8/19 18:1:11] 物品:精神力战法	怪物:1937A730僵尸4	地图:H201	X:176	Y:91 
[2024/8/19 18:1:13] 物品:强效魔法药	怪物:2AF84930祖玛弓箭手8	地图:H204	X:23	Y:36 
[2024/8/19 18:1:16] 物品:太阳水	怪物:2A8AAB30黑色恶蛆8	地图:H006	X:34	Y:84 
[2024/8/19 18:1:19] 物品:蓝翡翠项链	怪物:1A5517F0巨型蠕虫8	地图:H004	X:18	Y:34 
[2024/8/19 18:1:19] 物品:凤凰明珠	怪物:23E13130祖玛弓箭手8	地图:H204	X:20	Y:39 
[2024/8/19 18:1:20] 物品:疾光电影	怪物:31EE14A0僵尸1	地图:H201	X:18	Y:106 
[2024/8/19 18:1:26] 物品:修罗	怪物:249FE130祖玛卫士8	地图:H204	X:16	Y:43 
[2024/8/19 18:1:26] 物品:琥珀项链	怪物:249FE130祖玛卫士8	地图:H204	X:16	Y:43 
[2024/8/19 18:1:27] 物品:强效太阳水	怪物:2DE51290尸王8	地图:H201	X:177	Y:89 
[2024/8/19 18:1:27] 物品:强效太阳水	怪物:2DE51290尸王8	地图:H201	X:177	Y:89 
[2024/8/19 18:1:27] 物品:强效太阳水	怪物:2DE51290尸王8	地图:H201	X:177	Y:89 
[2024/8/19 18:1:27] 物品:强效太阳水	怪物:2DE51290尸王8	地图:H201	X:177	Y:89 
[2024/8/19 18:1:27] 物品:强效太阳水	怪物:2DE51290尸王8	地图:H201	X:177	Y:89 
[2024/8/19 18:1:27] 物品:强效金创药	怪物:2DE51290尸王8	地图:H201	X:177	Y:89 
[2024/8/19 18:1:27] 物品:强效金创药	怪物:2DE51290尸王8	地图:H201	X:177	Y:89 
[2024/8/19 18:1:27] 物品:强效魔法药	怪物:2DE51290尸王8	地图:H201	X:177	Y:89 
[2024/8/19 18:1:27] 物品:强效魔法药	怪物:2DE51290尸王8	地图:H201	X:177	Y:89 
[2024/8/19 18:1:27] 物品:黑色水晶戒指	怪物:2DE51290尸王8	地图:H201	X:177	Y:89 
[2024/8/19 18:1:27] 物品:黑檀手镯	怪物:2DE51290尸王8	地图:H201	X:177	Y:89 
[2024/8/19 18:1:27] 物品:魔力手镯	怪物:2DE51290尸王8	地图:H201	X:177	Y:89 
[2024/8/19 18:1:28] 物品:金创药(小量)	怪物:2B48E980僵尸5	地图:H201	X:123	Y:150 
[2024/8/19 18:1:29] 物品:强效太阳水	怪物:27883180尸王8	地图:H201	X:121	Y:150 
[2024/8/19 18:1:29] 物品:强效太阳水	怪物:27883180尸王8	地图:H201	X:121	Y:150 
[2024/8/19 18:1:29] 物品:强效太阳水	怪物:27883180尸王8	地图:H201	X:121	Y:150 
[2024/8/19 18:1:29] 物品:强效太阳水	怪物:27883180尸王8	地图:H201	X:121	Y:150 
[2024/8/19 18:1:29] 物品:强效太阳水	怪物:27883180尸王8	地图:H201	X:121	Y:150 
[2024/8/19 18:1:29] 物品:强效金创药	怪物:27883180尸王8	地图:H201	X:121	Y:150 
[2024/8/19 18:1:29] 物品:强效金创药	怪物:27883180尸王8	地图:H201	X:121	Y:150 
