[2024/8/18 0:0:1] 物品:召唤骷髅	怪物:28BF1D10僵尸1	地图:H201	X:35	Y:89 
[2024/8/18 0:0:12] 物品:强效魔法药	怪物:29DE9100尸王8	地图:H201	X:37	Y:90 
[2024/8/18 0:0:12] 物品:骷髅戒指	怪物:29DE9100尸王8	地图:H201	X:37	Y:90 
[2024/8/18 0:0:12] 物品:黑色水晶戒指	怪物:29DE9100尸王8	地图:H201	X:37	Y:90 
[2024/8/18 0:0:12] 物品:珍珠戒指	怪物:29DE9100尸王8	地图:H201	X:37	Y:90 
[2024/8/18 0:0:12] 物品:道德戒指	怪物:29DE9100尸王8	地图:H201	X:37	Y:90 
[2024/8/18 0:0:12] 物品:大火球	怪物:28567F70僵尸50	地图:H201	X:37	Y:89 
[2024/8/18 0:0:12] 物品:雷电术	怪物:28567F70僵尸50	地图:H201	X:37	Y:89 
[2024/8/18 0:0:12] 物品:抗拒火环	怪物:28567F70僵尸50	地图:H201	X:37	Y:89 
[2024/8/18 0:0:12] 物品:精神力战法	怪物:28567F70僵尸50	地图:H201	X:37	Y:89 
[2024/8/18 0:0:12] 物品:火球术	怪物:28567F70僵尸50	地图:H201	X:37	Y:89 
[2024/8/18 0:0:12] 物品:治愈术	怪物:28567F70僵尸50	地图:H201	X:37	Y:89 
[2024/8/18 0:0:12] 物品:基本剑术	怪物:28567F70僵尸50	地图:H201	X:37	Y:89 
[2024/8/18 0:0:12] 物品:半月	怪物:28567F70僵尸50	地图:H201	X:37	Y:89 
[2024/8/18 0:0:12] 物品:凌风	怪物:28567F70僵尸50	地图:H201	X:37	Y:89 
[2024/8/18 0:0:12] 物品:蓝色水晶戒指	怪物:28567F70僵尸50	地图:H201	X:37	Y:89 
[2024/8/18 0:0:12] 物品:琥珀项链	怪物:28567F70僵尸50	地图:H201	X:37	Y:89 
[2024/8/18 0:0:12] 物品:凤凰明珠	怪物:28567F70僵尸50	地图:H201	X:37	Y:89 
[2024/8/18 0:0:12] 物品:坚固手套	怪物:28567F70僵尸50	地图:H201	X:37	Y:89 
[2024/8/18 0:0:12] 物品:灯笼项链	怪物:28567F70僵尸50	地图:H201	X:37	Y:89 
[2024/8/18 0:0:12] 物品:铁剑	怪物:28567F70僵尸50	地图:H201	X:37	Y:89 
[2024/8/18 0:0:12] 物品:短剑	怪物:28567F70僵尸50	地图:H201	X:37	Y:89 
[2024/8/18 0:0:12] 物品:轻型盔甲(男)	怪物:28567F70僵尸50	地图:H201	X:37	Y:89 
[2024/8/18 0:0:12] 物品:轻型盔甲(女)	怪物:28567F70僵尸50	地图:H201	X:37	Y:89 
[2024/8/18 0:0:12] 物品:中型盔甲(女)	怪物:28567F70僵尸50	地图:H201	X:37	Y:89 
[2024/8/18 0:0:12] 物品:青铜斧	怪物:28567F70僵尸50	地图:H201	X:37	Y:89 
[2024/8/18 0:0:12] 物品:黑檀项链	怪物:28567F70僵尸50	地图:H201	X:37	Y:89 
[2024/8/18 0:0:12] 物品:黄色水晶项链	怪物:28567F70僵尸50	地图:H201	X:37	Y:89 
[2024/8/18 0:0:12] 物品:黑色水晶项链	怪物:28567F70僵尸50	地图:H201	X:37	Y:89 
[2024/8/18 0:0:12] 物品:青铜头盔	怪物:28567F70僵尸50	地图:H201	X:37	Y:89 
[2024/8/18 0:0:12] 物品:金创药(小量)	怪物:28567F70僵尸50	地图:H201	X:37	Y:89 
[2024/8/18 0:0:12] 物品:金创药(小量)	怪物:28567F70僵尸50	地图:H201	X:37	Y:89 
[2024/8/18 0:0:12] 物品:金创药(小量)	怪物:28567F70僵尸50	地图:H201	X:37	Y:89 
[2024/8/18 0:0:12] 物品:金创药(小量)	怪物:28567F70僵尸50	地图:H201	X:37	Y:89 
[2024/8/18 0:0:12] 物品:魔法药(小量)	怪物:28567F70僵尸50	地图:H201	X:37	Y:89 
[2024/8/18 0:0:12] 物品:魔法药(小量)	怪物:28567F70僵尸50	地图:H201	X:37	Y:89 
[2024/8/18 0:0:12] 物品:魔法药(小量)	怪物:28567F70僵尸50	地图:H201	X:37	Y:89 
[2024/8/18 0:0:12] 物品:魔法药(小量)	怪物:28567F70僵尸50	地图:H201	X:37	Y:89 
[2024/8/18 0:0:14] 物品:攻杀剑术	怪物:17FB2A20僵尸50	地图:H201	X:29	Y:157 
[2024/8/18 0:0:14] 物品:抗拒火环	怪物:17FB2A20僵尸50	地图:H201	X:29	Y:157 
[2024/8/18 0:0:14] 物品:精神力战法	怪物:17FB2A20僵尸50	地图:H201	X:29	Y:157 
[2024/8/18 0:0:14] 物品:火球术	怪物:17FB2A20僵尸50	地图:H201	X:29	Y:157 
[2024/8/18 0:0:14] 物品:治愈术	怪物:17FB2A20僵尸50	地图:H201	X:29	Y:157 
[2024/8/18 0:0:14] 物品:基本剑术	怪物:17FB2A20僵尸50	地图:H201	X:29	Y:157 
[2024/8/18 0:0:14] 物品:海魂	怪物:17FB2A20僵尸50	地图:H201	X:29	Y:157 
[2024/8/18 0:0:14] 物品:蓝色水晶戒指	怪物:17FB2A20僵尸50	地图:H201	X:29	Y:157 
[2024/8/18 0:0:14] 物品:魔鬼项链	怪物:17FB2A20僵尸50	地图:H201	X:29	Y:157 
[2024/8/18 0:0:14] 物品:灯笼项链	怪物:17FB2A20僵尸50	地图:H201	X:29	Y:157 
[2024/8/18 0:0:14] 物品:铁剑	怪物:17FB2A20僵尸50	地图:H201	X:29	Y:157 
[2024/8/18 0:0:14] 物品:短剑	怪物:17FB2A20僵尸50	地图:H201	X:29	Y:157 
[2024/8/18 0:0:14] 物品:轻型盔甲(男)	怪物:17FB2A20僵尸50	地图:H201	X:29	Y:157 
[2024/8/18 0:0:14] 物品:轻型盔甲(女)	怪物:17FB2A20僵尸50	地图:H201	X:29	Y:157 
[2024/8/18 0:0:14] 物品:青铜斧	怪物:17FB2A20僵尸50	地图:H201	X:29	Y:157 
[2024/8/18 0:0:14] 物品:黑檀项链	怪物:17FB2A20僵尸50	地图:H201	X:29	Y:157 
[2024/8/18 0:0:14] 物品:黄色水晶项链	怪物:17FB2A20僵尸50	地图:H201	X:29	Y:157 
[2024/8/18 0:0:14] 物品:黑色水晶项链	怪物:17FB2A20僵尸50	地图:H201	X:29	Y:157 
[2024/8/18 0:0:14] 物品:青铜头盔	怪物:17FB2A20僵尸50	地图:H201	X:29	Y:157 
[2024/8/18 0:0:14] 物品:金创药(小量)	怪物:17FB2A20僵尸50	地图:H201	X:29	Y:157 
[2024/8/18 0:0:14] 物品:金创药(小量)	怪物:17FB2A20僵尸50	地图:H201	X:29	Y:157 
[2024/8/18 0:0:14] 物品:金创药(小量)	怪物:17FB2A20僵尸50	地图:H201	X:29	Y:157 
[2024/8/18 0:0:14] 物品:金创药(小量)	怪物:17FB2A20僵尸50	地图:H201	X:29	Y:157 
[2024/8/18 0:0:14] 物品:魔法药(小量)	怪物:17FB2A20僵尸50	地图:H201	X:29	Y:157 
[2024/8/18 0:0:14] 物品:魔法药(小量)	怪物:17FB2A20僵尸50	地图:H201	X:29	Y:157 
[2024/8/18 0:0:14] 物品:魔法药(小量)	怪物:17FB2A20僵尸50	地图:H201	X:29	Y:157 
[2024/8/18 0:0:14] 物品:魔法药(小量)	怪物:17FB2A20僵尸50	地图:H201	X:29	Y:157 
[2024/8/18 0:0:16] 物品:金创药(小量)	怪物:17F60A50僵尸5	地图:H201	X:30	Y:159 
[2024/8/18 0:0:16] 物品:强效太阳水	怪物:1891B4F0尸王8	地图:H001	X:98	Y:127 
[2024/8/18 0:0:16] 物品:强效太阳水	怪物:1891B4F0尸王8	地图:H001	X:98	Y:127 
[2024/8/18 0:0:16] 物品:强效太阳水	怪物:1891B4F0尸王8	地图:H001	X:98	Y:127 
[2024/8/18 0:0:16] 物品:强效太阳水	怪物:1891B4F0尸王8	地图:H001	X:98	Y:127 
[2024/8/18 0:0:16] 物品:强效太阳水	怪物:1891B4F0尸王8	地图:H001	X:98	Y:127 
[2024/8/18 0:0:16] 物品:强效金创药	怪物:1891B4F0尸王8	地图:H001	X:98	Y:127 
[2024/8/18 0:0:16] 物品:强效金创药	怪物:1891B4F0尸王8	地图:H001	X:98	Y:127 
[2024/8/18 0:0:16] 物品:强效魔法药	怪物:1891B4F0尸王8	地图:H001	X:98	Y:127 
[2024/8/18 0:0:16] 物品:强效魔法药	怪物:1891B4F0尸王8	地图:H001	X:98	Y:127 
[2024/8/18 0:0:16] 物品:骷髅戒指	怪物:1891B4F0尸王8	地图:H001	X:98	Y:127 
[2024/8/18 0:0:16] 物品:魅力戒指	怪物:1891B4F0尸王8	地图:H001	X:98	Y:127 
[2024/8/18 0:0:16] 物品:魔力手镯	怪物:1891B4F0尸王8	地图:H001	X:98	Y:127 
[2024/8/18 0:0:21] 物品:强效太阳水	怪物:1EA842E0尸王8	地图:H201	X:36	Y:89 
[2024/8/18 0:0:21] 物品:强效太阳水	怪物:1EA842E0尸王8	地图:H201	X:36	Y:89 
[2024/8/18 0:0:21] 物品:强效太阳水	怪物:1EA842E0尸王8	地图:H201	X:36	Y:89 
[2024/8/18 0:0:21] 物品:强效太阳水	怪物:1EA842E0尸王8	地图:H201	X:36	Y:89 
[2024/8/18 0:0:21] 物品:强效太阳水	怪物:1EA842E0尸王8	地图:H201	X:36	Y:89 
[2024/8/18 0:0:21] 物品:强效金创药	怪物:1EA842E0尸王8	地图:H201	X:36	Y:89 
[2024/8/18 0:0:21] 物品:强效金创药	怪物:1EA842E0尸王8	地图:H201	X:36	Y:89 
[2024/8/18 0:0:21] 物品:强效魔法药	怪物:1EA842E0尸王8	地图:H201	X:36	Y:89 
[2024/8/18 0:0:21] 物品:强效魔法药	怪物:1EA842E0尸王8	地图:H201	X:36	Y:89 
[2024/8/18 0:0:21] 物品:骷髅戒指	怪物:1EA842E0尸王8	地图:H201	X:36	Y:89 
[2024/8/18 0:0:21] 物品:魅力戒指	怪物:1EA842E0尸王8	地图:H201	X:36	Y:89 
[2024/8/18 0:0:21] 物品:蓝翡翠项链	怪物:1EA842E0尸王8	地图:H201	X:36	Y:89 
[2024/8/18 0:0:21] 物品:黑檀手镯	怪物:1EA842E0尸王8	地图:H201	X:36	Y:89 
[2024/8/18 0:0:27] 物品:强效太阳水	怪物:05973CE0尸王8	地图:H201	X:25	Y:152 
[2024/8/18 0:0:27] 物品:强效太阳水	怪物:05973CE0尸王8	地图:H201	X:25	Y:152 
[2024/8/18 0:0:27] 物品:强效太阳水	怪物:05973CE0尸王8	地图:H201	X:25	Y:152 
[2024/8/18 0:0:27] 物品:强效太阳水	怪物:05973CE0尸王8	地图:H201	X:25	Y:152 
[2024/8/18 0:0:27] 物品:强效太阳水	怪物:05973CE0尸王8	地图:H201	X:25	Y:152 
[2024/8/18 0:0:27] 物品:强效金创药	怪物:05973CE0尸王8	地图:H201	X:25	Y:152 
[2024/8/18 0:0:27] 物品:强效金创药	怪物:05973CE0尸王8	地图:H201	X:25	Y:152 
[2024/8/18 0:0:27] 物品:强效魔法药	怪物:05973CE0尸王8	地图:H201	X:25	Y:152 
[2024/8/18 0:0:27] 物品:强效魔法药	怪物:05973CE0尸王8	地图:H201	X:25	Y:152 
[2024/8/18 0:0:27] 物品:蛇眼戒指	怪物:05973CE0尸王8	地图:H201	X:25	Y:152 
[2024/8/18 0:0:27] 物品:珍珠戒指	怪物:05973CE0尸王8	地图:H201	X:25	Y:152 
[2024/8/18 0:0:29] 物品:重盔甲(男)	怪物:2A733190黑野猪8	地图:H002	X:200	Y:209 
[2024/8/18 0:0:33] 物品:强效太阳水	怪物:299429E0尸王8	地图:H201	X:35	Y:89 
[2024/8/18 0:0:33] 物品:强效太阳水	怪物:299429E0尸王8	地图:H201	X:35	Y:89 
[2024/8/18 0:0:33] 物品:强效太阳水	怪物:299429E0尸王8	地图:H201	X:35	Y:89 
[2024/8/18 0:0:33] 物品:强效太阳水	怪物:299429E0尸王8	地图:H201	X:35	Y:89 
[2024/8/18 0:0:33] 物品:强效太阳水	怪物:299429E0尸王8	地图:H201	X:35	Y:89 
[2024/8/18 0:0:33] 物品:强效金创药	怪物:299429E0尸王8	地图:H201	X:35	Y:89 
[2024/8/18 0:0:33] 物品:强效金创药	怪物:299429E0尸王8	地图:H201	X:35	Y:89 
[2024/8/18 0:0:33] 物品:强效魔法药	怪物:299429E0尸王8	地图:H201	X:35	Y:89 
[2024/8/18 0:0:33] 物品:强效魔法药	怪物:299429E0尸王8	地图:H201	X:35	Y:89 
[2024/8/18 0:0:33] 物品:骷髅戒指	怪物:299429E0尸王8	地图:H201	X:35	Y:89 
[2024/8/18 0:0:33] 物品:黑檀手镯	怪物:299429E0尸王8	地图:H201	X:35	Y:89 
[2024/8/18 0:0:34] 物品:灵魂火符	怪物:2DEE8640恶灵尸王	地图:H201	X:25	Y:152 
[2024/8/18 0:0:34] 物品:瞬息移动	怪物:2DEE8640恶灵尸王	地图:H201	X:25	Y:152 
[2024/8/18 0:0:35] 物品:诱惑之光	怪物:28567F70僵尸50	地图:H201	X:37	Y:89 
[2024/8/18 0:0:35] 物品:抗拒火环	怪物:28567F70僵尸50	地图:H201	X:37	Y:89 
[2024/8/18 0:0:35] 物品:精神力战法	怪物:28567F70僵尸50	地图:H201	X:37	Y:89 
[2024/8/18 0:0:35] 物品:火球术	怪物:28567F70僵尸50	地图:H201	X:37	Y:89 
[2024/8/18 0:0:35] 物品:治愈术	怪物:28567F70僵尸50	地图:H201	X:37	Y:89 
[2024/8/18 0:0:35] 物品:基本剑术	怪物:28567F70僵尸50	地图:H201	X:37	Y:89 
[2024/8/18 0:0:35] 物品:半月	怪物:28567F70僵尸50	地图:H201	X:37	Y:89 
[2024/8/18 0:0:35] 物品:海魂	怪物:28567F70僵尸50	地图:H201	X:37	Y:89 
[2024/8/18 0:0:35] 物品:蓝色水晶戒指	怪物:28567F70僵尸50	地图:H201	X:37	Y:89 
[2024/8/18 0:0:35] 物品:凤凰明珠	怪物:28567F70僵尸50	地图:H201	X:37	Y:89 
[2024/8/18 0:0:35] 物品:坚固手套	怪物:28567F70僵尸50	地图:H201	X:37	Y:89 
[2024/8/18 0:0:35] 物品:魔力手镯	怪物:28567F70僵尸50	地图:H201	X:37	Y:89 
[2024/8/18 0:0:35] 物品:灯笼项链	怪物:28567F70僵尸50	地图:H201	X:37	Y:89 
[2024/8/18 0:0:35] 物品:铁剑	怪物:28567F70僵尸50	地图:H201	X:37	Y:89 
[2024/8/18 0:0:35] 物品:短剑	怪物:28567F70僵尸50	地图:H201	X:37	Y:89 
[2024/8/18 0:0:35] 物品:轻型盔甲(男)	怪物:28567F70僵尸50	地图:H201	X:37	Y:89 
[2024/8/18 0:0:35] 物品:轻型盔甲(女)	怪物:28567F70僵尸50	地图:H201	X:37	Y:89 
[2024/8/18 0:0:35] 物品:青铜斧	怪物:28567F70僵尸50	地图:H201	X:37	Y:89 
[2024/8/18 0:0:35] 物品:黑檀项链	怪物:28567F70僵尸50	地图:H201	X:37	Y:89 
[2024/8/18 0:0:35] 物品:黄色水晶项链	怪物:28567F70僵尸50	地图:H201	X:37	Y:89 
[2024/8/18 0:0:35] 物品:黑色水晶项链	怪物:28567F70僵尸50	地图:H201	X:37	Y:89 
[2024/8/18 0:0:35] 物品:青铜头盔	怪物:28567F70僵尸50	地图:H201	X:37	Y:89 
[2024/8/18 0:0:35] 物品:金创药(小量)	怪物:28567F70僵尸50	地图:H201	X:37	Y:89 
[2024/8/18 0:0:35] 物品:金创药(小量)	怪物:28567F70僵尸50	地图:H201	X:37	Y:89 
[2024/8/18 0:0:35] 物品:金创药(小量)	怪物:28567F70僵尸50	地图:H201	X:37	Y:89 
[2024/8/18 0:0:35] 物品:金创药(小量)	怪物:28567F70僵尸50	地图:H201	X:37	Y:89 
[2024/8/18 0:0:35] 物品:魔法药(小量)	怪物:28567F70僵尸50	地图:H201	X:37	Y:89 
[2024/8/18 0:0:35] 物品:魔法药(小量)	怪物:28567F70僵尸50	地图:H201	X:37	Y:89 
[2024/8/18 0:0:35] 物品:魔法药(小量)	怪物:28567F70僵尸50	地图:H201	X:37	Y:89 
[2024/8/18 0:0:35] 物品:魔法药(小量)	怪物:28567F70僵尸50	地图:H201	X:37	Y:89 
[2024/8/18 0:0:39] 物品:太阳水	怪物:0643A730黑野猪8	地图:H002	X:122	Y:327 
[2024/8/18 0:0:41] 物品:强效太阳水	怪物:2DEF37C0尸王8	地图:H201	X:26	Y:152 
[2024/8/18 0:0:41] 物品:强效太阳水	怪物:2DEF37C0尸王8	地图:H201	X:26	Y:152 
[2024/8/18 0:0:41] 物品:强效太阳水	怪物:2DEF37C0尸王8	地图:H201	X:26	Y:152 
[2024/8/18 0:0:41] 物品:强效太阳水	怪物:2DEF37C0尸王8	地图:H201	X:26	Y:152 
[2024/8/18 0:0:41] 物品:强效太阳水	怪物:2DEF37C0尸王8	地图:H201	X:26	Y:152 
[2024/8/18 0:0:41] 物品:强效金创药	怪物:2DEF37C0尸王8	地图:H201	X:26	Y:152 
[2024/8/18 0:0:41] 物品:强效金创药	怪物:2DEF37C0尸王8	地图:H201	X:26	Y:152 
[2024/8/18 0:0:41] 物品:强效魔法药	怪物:2DEF37C0尸王8	地图:H201	X:26	Y:152 
[2024/8/18 0:0:41] 物品:强效魔法药	怪物:2DEF37C0尸王8	地图:H201	X:26	Y:152 
[2024/8/18 0:0:41] 物品:生铁戒指	怪物:2DEF37C0尸王8	地图:H201	X:26	Y:152 
[2024/8/18 0:0:41] 物品:蓝翡翠项链	怪物:2DEF37C0尸王8	地图:H201	X:26	Y:152 
[2024/8/18 0:0:43] 物品:精神力战法	怪物:28CBA1D0僵尸1	地图:H201	X:37	Y:84 
[2024/8/18 0:0:43] 物品:金创药(小量)	怪物:1FBA7D20僵尸4	地图:H201	X:25	Y:154 
[2024/8/18 0:0:43] 物品:魔法药(小量)	怪物:1FBA7D20僵尸4	地图:H201	X:25	Y:154 
[2024/8/18 0:0:43] 物品:金创药(小量)	怪物:058559E0山洞蝙蝠	地图:D002	X:345	Y:367 
[2024/8/18 0:0:47] 物品:六角戒指	怪物:1BD4D080骷髅	地图:D002	X:344	Y:364 
[2024/8/18 0:0:47] 物品:强效太阳水	怪物:1DFC3710尸王8	地图:H201	X:25	Y:152 
[2024/8/18 0:0:47] 物品:强效太阳水	怪物:1DFC3710尸王8	地图:H201	X:25	Y:152 
[2024/8/18 0:0:47] 物品:强效太阳水	怪物:1DFC3710尸王8	地图:H201	X:25	Y:152 
[2024/8/18 0:0:47] 物品:强效太阳水	怪物:1DFC3710尸王8	地图:H201	X:25	Y:152 
[2024/8/18 0:0:47] 物品:强效太阳水	怪物:1DFC3710尸王8	地图:H201	X:25	Y:152 
[2024/8/18 0:0:47] 物品:强效金创药	怪物:1DFC3710尸王8	地图:H201	X:25	Y:152 
[2024/8/18 0:0:47] 物品:强效金创药	怪物:1DFC3710尸王8	地图:H201	X:25	Y:152 
[2024/8/18 0:0:47] 物品:强效魔法药	怪物:1DFC3710尸王8	地图:H201	X:25	Y:152 
[2024/8/18 0:0:47] 物品:强效魔法药	怪物:1DFC3710尸王8	地图:H201	X:25	Y:152 
[2024/8/18 0:0:47] 物品:骷髅戒指	怪物:1DFC3710尸王8	地图:H201	X:25	Y:152 
[2024/8/18 0:0:47] 物品:魅力戒指	怪物:1DFC3710尸王8	地图:H201	X:25	Y:152 
[2024/8/18 0:0:47] 物品:黑檀手镯	怪物:1DFC3710尸王8	地图:H201	X:25	Y:152 
[2024/8/18 0:0:48] 物品:强效太阳水	怪物:29FB4B60尸王8	地图:H001	X:114	Y:111 
[2024/8/18 0:0:48] 物品:强效太阳水	怪物:29FB4B60尸王8	地图:H001	X:114	Y:111 
[2024/8/18 0:0:48] 物品:强效太阳水	怪物:29FB4B60尸王8	地图:H001	X:114	Y:111 
[2024/8/18 0:0:48] 物品:强效太阳水	怪物:29FB4B60尸王8	地图:H001	X:114	Y:111 
[2024/8/18 0:0:48] 物品:强效太阳水	怪物:29FB4B60尸王8	地图:H001	X:114	Y:111 
[2024/8/18 0:0:48] 物品:强效金创药	怪物:29FB4B60尸王8	地图:H001	X:114	Y:111 
[2024/8/18 0:0:48] 物品:强效金创药	怪物:29FB4B60尸王8	地图:H001	X:114	Y:111 
[2024/8/18 0:0:48] 物品:强效魔法药	怪物:29FB4B60尸王8	地图:H001	X:114	Y:111 
[2024/8/18 0:0:48] 物品:强效魔法药	怪物:29FB4B60尸王8	地图:H001	X:114	Y:111 
[2024/8/18 0:0:48] 物品:骷髅戒指	怪物:29FB4B60尸王8	地图:H001	X:114	Y:111 
[2024/8/18 0:0:48] 物品:死神手套	怪物:29FB4B60尸王8	地图:H001	X:114	Y:111 
[2024/8/18 0:0:48] 物品:道德戒指	怪物:29FB4B60尸王8	地图:H001	X:114	Y:111 
[2024/8/18 0:0:48] 物品:魅力戒指	怪物:29FB4B60尸王8	地图:H001	X:114	Y:111 
[2024/8/18 0:0:48] 物品:黑檀手镯	怪物:29FB4B60尸王8	地图:H001	X:114	Y:111 
[2024/8/18 0:0:48] 物品:魔法盾	怪物:29FB4B60尸王8	地图:H001	X:114	Y:111 
[2024/8/18 0:0:54] 物品:金创药(小量)	怪物:0DCA6980僵尸5	地图:H201	X:24	Y:150 
[2024/8/18 0:0:54] 物品:魔法药(小量)	怪物:0DCA6980僵尸5	地图:H201	X:24	Y:150 
[2024/8/18 0:0:59] 物品:强效太阳水	怪物:1EF101C0尸王8	地图:H201	X:38	Y:84 
[2024/8/18 0:0:59] 物品:强效太阳水	怪物:1EF101C0尸王8	地图:H201	X:38	Y:84 
[2024/8/18 0:0:59] 物品:强效太阳水	怪物:1EF101C0尸王8	地图:H201	X:38	Y:84 
[2024/8/18 0:0:59] 物品:强效太阳水	怪物:1EF101C0尸王8	地图:H201	X:38	Y:84 
[2024/8/18 0:0:59] 物品:强效太阳水	怪物:1EF101C0尸王8	地图:H201	X:38	Y:84 
[2024/8/18 0:0:59] 物品:强效金创药	怪物:1EF101C0尸王8	地图:H201	X:38	Y:84 
[2024/8/18 0:0:59] 物品:强效金创药	怪物:1EF101C0尸王8	地图:H201	X:38	Y:84 
[2024/8/18 0:0:59] 物品:强效魔法药	怪物:1EF101C0尸王8	地图:H201	X:38	Y:84 
[2024/8/18 0:0:59] 物品:强效魔法药	怪物:1EF101C0尸王8	地图:H201	X:38	Y:84 
[2024/8/18 0:0:59] 物品:珍珠戒指	怪物:1EF101C0尸王8	地图:H201	X:38	Y:84 
[2024/8/18 0:0:59] 物品:道德戒指	怪物:1EF101C0尸王8	地图:H201	X:38	Y:84 
[2024/8/18 0:0:59] 物品:黑檀手镯	怪物:1EF101C0尸王8	地图:H201	X:38	Y:84 
[2024/8/18 0:0:59] 物品:魔力手镯	怪物:1EF101C0尸王8	地图:H201	X:38	Y:84 
[2024/8/18 0:1:1] 物品:施毒术	怪物:28567F70僵尸50	地图:H201	X:37	Y:86 
[2024/8/18 0:1:1] 物品:灵魂火符	怪物:28567F70僵尸50	地图:H201	X:37	Y:86 
[2024/8/18 0:1:1] 物品:雷电术	怪物:28567F70僵尸50	地图:H201	X:37	Y:86 
[2024/8/18 0:1:1] 物品:抗拒火环	怪物:28567F70僵尸50	地图:H201	X:37	Y:86 
[2024/8/18 0:1:1] 物品:精神力战法	怪物:28567F70僵尸50	地图:H201	X:37	Y:86 
[2024/8/18 0:1:1] 物品:火球术	怪物:28567F70僵尸50	地图:H201	X:37	Y:86 
[2024/8/18 0:1:1] 物品:治愈术	怪物:28567F70僵尸50	地图:H201	X:37	Y:86 
[2024/8/18 0:1:1] 物品:基本剑术	怪物:28567F70僵尸50	地图:H201	X:37	Y:86 
[2024/8/18 0:1:1] 物品:八荒	怪物:28567F70僵尸50	地图:H201	X:37	Y:86 
[2024/8/18 0:1:1] 物品:半月	怪物:28567F70僵尸50	地图:H201	X:37	Y:86 
[2024/8/18 0:1:1] 物品:凌风	怪物:28567F70僵尸50	地图:H201	X:37	Y:86 
[2024/8/18 0:1:1] 物品:蓝色水晶戒指	怪物:28567F70僵尸50	地图:H201	X:37	Y:86 
[2024/8/18 0:1:1] 物品:琥珀项链	怪物:28567F70僵尸50	地图:H201	X:37	Y:86 
[2024/8/18 0:1:1] 物品:灯笼项链	怪物:28567F70僵尸50	地图:H201	X:37	Y:86 
[2024/8/18 0:1:1] 物品:铁剑	怪物:28567F70僵尸50	地图:H201	X:37	Y:86 
[2024/8/18 0:1:1] 物品:短剑	怪物:28567F70僵尸50	地图:H201	X:37	Y:86 
[2024/8/18 0:1:1] 物品:轻型盔甲(男)	怪物:28567F70僵尸50	地图:H201	X:37	Y:86 
[2024/8/18 0:1:1] 物品:轻型盔甲(女)	怪物:28567F70僵尸50	地图:H201	X:37	Y:86 
[2024/8/18 0:1:1] 物品:中型盔甲(男)	怪物:28567F70僵尸50	地图:H201	X:37	Y:86 
[2024/8/18 0:1:1] 物品:中型盔甲(女)	怪物:28567F70僵尸50	地图:H201	X:37	Y:86 
[2024/8/18 0:1:1] 物品:青铜斧	怪物:28567F70僵尸50	地图:H201	X:37	Y:86 
[2024/8/18 0:1:1] 物品:黑檀项链	怪物:28567F70僵尸50	地图:H201	X:37	Y:86 
[2024/8/18 0:1:1] 物品:黄色水晶项链	怪物:28567F70僵尸50	地图:H201	X:37	Y:86 
[2024/8/18 0:1:1] 物品:黑色水晶项链	怪物:28567F70僵尸50	地图:H201	X:37	Y:86 
[2024/8/18 0:1:1] 物品:青铜头盔	怪物:28567F70僵尸50	地图:H201	X:37	Y:86 
