[2024/8/17 8:0:6] 物品:死神手套	怪物:27827FB0恶灵尸王8	地图:H001	X:38	Y:16 
[2024/8/17 8:0:41] 物品:金创药(小量)	怪物:0D8893F0骷髅战士	地图:D001	X:222	Y:234 
[2024/8/17 8:0:52] 物品:魔法药(小量)	怪物:0D4D4610稻草人	地图:0	X:110	Y:82 
[2024/8/17 8:1:4] 物品:金创药(小量)	怪物:03B66980骷髅战士	地图:D001	X:352	Y:97 
[2024/8/17 8:1:12] 物品:金创药(小量)	怪物:1C281FE0骷髅战士	地图:D003	X:172	Y:207 
[2024/8/17 8:1:17] 物品:回城卷	怪物:2A8D9D90山洞蝙蝠0	地图:D003	X:166	Y:209 
[2024/8/17 8:1:17] 物品:回城卷	怪物:2A8D9D90山洞蝙蝠0	地图:D003	X:166	Y:209 
[2024/8/17 8:1:17] 物品:回城卷	怪物:2A8D9D90山洞蝙蝠0	地图:D003	X:166	Y:209 
[2024/8/17 8:1:17] 物品:回城卷	怪物:2A8D9D90山洞蝙蝠0	地图:D003	X:166	Y:209 
[2024/8/17 8:1:17] 物品:回城卷	怪物:2A8D9D90山洞蝙蝠0	地图:D003	X:166	Y:209 
[2024/8/17 8:1:26] 物品:金创药(小量)	怪物:0DC932E0山洞蝙蝠	地图:D001	X:246	Y:259 
[2024/8/17 8:1:26] 物品:魔法力药水	怪物:0DC932E0山洞蝙蝠	地图:D001	X:246	Y:259 
[2024/8/17 8:1:26] 物品:疾风药水	怪物:0DC932E0山洞蝙蝠	地图:D001	X:246	Y:259 
[2024/8/17 8:1:30] 物品:金创药(小量)	怪物:192651F0稻草人	地图:0	X:91	Y:75 
[2024/8/17 8:1:53] 物品:魔法药(小量)	怪物:18504430骷髅战士	地图:D001	X:238	Y:275 
[2024/8/17 8:2:4] 物品:钢手镯	怪物:0EF50F00骷髅	地图:D001	X:230	Y:275 
[2024/8/17 8:2:15] 物品:金创药(中量)	怪物:1904E6B0骷髅战将	地图:D003	X:133	Y:196 
[2024/8/17 8:2:55] 物品:金创药(小量)	怪物:061D5B20山洞蝙蝠	地图:D001	X:225	Y:284 
[2024/8/17 8:3:5] 物品:强效太阳水	怪物:038FEEE0尸王8	地图:H001	X:64	Y:13 
[2024/8/17 8:3:5] 物品:强效太阳水	怪物:038FEEE0尸王8	地图:H001	X:64	Y:13 
[2024/8/17 8:3:5] 物品:强效太阳水	怪物:038FEEE0尸王8	地图:H001	X:64	Y:13 
[2024/8/17 8:3:5] 物品:强效太阳水	怪物:038FEEE0尸王8	地图:H001	X:64	Y:13 
[2024/8/17 8:3:5] 物品:强效太阳水	怪物:038FEEE0尸王8	地图:H001	X:64	Y:13 
[2024/8/17 8:3:5] 物品:强效金创药	怪物:038FEEE0尸王8	地图:H001	X:64	Y:13 
[2024/8/17 8:3:5] 物品:强效金创药	怪物:038FEEE0尸王8	地图:H001	X:64	Y:13 
[2024/8/17 8:3:5] 物品:强效魔法药	怪物:038FEEE0尸王8	地图:H001	X:64	Y:13 
[2024/8/17 8:3:5] 物品:强效魔法药	怪物:038FEEE0尸王8	地图:H001	X:64	Y:13 
[2024/8/17 8:3:5] 物品:生铁戒指	怪物:038FEEE0尸王8	地图:H001	X:64	Y:13 
[2024/8/17 8:3:5] 物品:魔力手镯	怪物:038FEEE0尸王8	地图:H001	X:64	Y:13 
[2024/8/17 8:3:20] 物品:MP强化药水	怪物:18EFF420骷髅战士	地图:D001	X:377	Y:71 
[2024/8/17 8:3:22] 物品:回城卷	怪物:03941CD0山洞蝙蝠	地图:D011	X:159	Y:166 
[2024/8/17 8:3:36] 物品:乌木剑	怪物:0D4680B0多钩猫	地图:0	X:73	Y:80 
[2024/8/17 8:3:42] 物品:魔法头盔	怪物:0C2DD850骷髅战士0	地图:D001	X:355	Y:57 
[2024/8/17 8:3:42] 物品:金创药(中量)	怪物:0C2DD850骷髅战士0	地图:D001	X:355	Y:57 
[2024/8/17 8:3:42] 物品:金创药(中量)	怪物:0C2DD850骷髅战士0	地图:D001	X:355	Y:57 
[2024/8/17 8:3:42] 物品:金创药(中量)	怪物:0C2DD850骷髅战士0	地图:D001	X:355	Y:57 
[2024/8/17 8:3:42] 物品:金创药(中量)	怪物:0C2DD850骷髅战士0	地图:D001	X:355	Y:57 
[2024/8/17 8:3:42] 物品:魔法药(中量)	怪物:0C2DD850骷髅战士0	地图:D001	X:355	Y:57 
[2024/8/17 8:3:42] 物品:魔法药(中量)	怪物:0C2DD850骷髅战士0	地图:D001	X:355	Y:57 
[2024/8/17 8:3:42] 物品:魔法药(中量)	怪物:0C2DD850骷髅战士0	地图:D001	X:355	Y:57 
[2024/8/17 8:3:42] 物品:魔法药(中量)	怪物:0C2DD850骷髅战士0	地图:D001	X:355	Y:57 
[2024/8/17 8:3:47] 物品:魔法药(小量)	怪物:192901C0僵尸3	地图:D401	X:48	Y:93 
[2024/8/17 8:3:51] 物品:金创药(小量)	怪物:28588200山洞蝙蝠	地图:D001	X:362	Y:56 
[2024/8/17 8:3:52] 物品:金创药(小量)	怪物:0DC32340稻草人	地图:0	X:78	Y:92 
[2024/8/17 8:4:42] 物品:魔法药(小量)	怪物:30EA4400骷髅战士	地图:D001	X:172	Y:351 
[2024/8/17 8:5:6] 物品:金创药(小量)	怪物:1F0492D0僵尸3	地图:D401	X:45	Y:98 
[2024/8/17 8:5:12] 物品:魔法药(小量)	怪物:29934C00稻草人	地图:0	X:76	Y:115 
[2024/8/17 8:5:26] 物品:魔法药(小量)	怪物:03A32CF0山洞蝙蝠	地图:D001	X:360	Y:83 
[2024/8/17 8:5:39] 物品:钢手镯	怪物:0639AE60骷髅	地图:D001	X:361	Y:83 
[2024/8/17 8:5:41] 物品:钢手镯	怪物:03A7D060骷髅战士0	地图:D011	X:128	Y:156 
[2024/8/17 8:5:41] 物品:金创药(中量)	怪物:03A7D060骷髅战士0	地图:D011	X:128	Y:156 
[2024/8/17 8:5:41] 物品:金创药(中量)	怪物:03A7D060骷髅战士0	地图:D011	X:128	Y:156 
[2024/8/17 8:5:41] 物品:金创药(中量)	怪物:03A7D060骷髅战士0	地图:D011	X:128	Y:156 
[2024/8/17 8:5:41] 物品:金创药(中量)	怪物:03A7D060骷髅战士0	地图:D011	X:128	Y:156 
[2024/8/17 8:5:41] 物品:魔法药(中量)	怪物:03A7D060骷髅战士0	地图:D011	X:128	Y:156 
[2024/8/17 8:5:41] 物品:魔法药(中量)	怪物:03A7D060骷髅战士0	地图:D011	X:128	Y:156 
[2024/8/17 8:5:41] 物品:魔法药(中量)	怪物:03A7D060骷髅战士0	地图:D011	X:128	Y:156 
[2024/8/17 8:5:41] 物品:魔法药(中量)	怪物:03A7D060骷髅战士0	地图:D011	X:128	Y:156 
[2024/8/17 8:5:46] 物品:六角戒指	怪物:15B75170骷髅0	地图:D001	X:171	Y:289 
[2024/8/17 8:5:46] 物品:金创药(小量)	怪物:15B75170骷髅0	地图:D001	X:171	Y:289 
[2024/8/17 8:5:46] 物品:金创药(小量)	怪物:15B75170骷髅0	地图:D001	X:171	Y:289 
[2024/8/17 8:5:46] 物品:金创药(小量)	怪物:15B75170骷髅0	地图:D001	X:171	Y:289 
[2024/8/17 8:5:46] 物品:金创药(小量)	怪物:15B75170骷髅0	地图:D001	X:171	Y:289 
[2024/8/17 8:5:46] 物品:魔法药(小量)	怪物:15B75170骷髅0	地图:D001	X:171	Y:289 
[2024/8/17 8:5:46] 物品:魔法药(小量)	怪物:15B75170骷髅0	地图:D001	X:171	Y:289 
[2024/8/17 8:5:46] 物品:魔法药(小量)	怪物:15B75170骷髅0	地图:D001	X:171	Y:289 
[2024/8/17 8:5:46] 物品:魔法药(小量)	怪物:15B75170骷髅0	地图:D001	X:171	Y:289 
[2024/8/17 8:6:8] 物品:魔法药(小量)	怪物:308B2C20骷髅战士	地图:D011	X:111	Y:162 
[2024/8/17 8:6:13] 物品:乌木剑	怪物:18C59D10稻草人	地图:0	X:50	Y:127 
[2024/8/17 8:6:39] 物品:魔鬼项链	怪物:18CBACB0骷髅	地图:D001	X:193	Y:250 
[2024/8/17 8:6:40] 物品:铁剑	怪物:188C2E00骷髅	地图:D001	X:192	Y:249 
[2024/8/17 8:7:8] 物品:金创药(小量)	怪物:30E18070骷髅战士	地图:D001	X:205	Y:213 
[2024/8/17 8:7:49] 物品:金创药(中量)	怪物:1F137AD0骷髅战将0	地图:D003	X:65	Y:116 
[2024/8/17 8:7:49] 物品:金创药(中量)	怪物:1F137AD0骷髅战将0	地图:D003	X:65	Y:116 
[2024/8/17 8:7:49] 物品:金创药(中量)	怪物:1F137AD0骷髅战将0	地图:D003	X:65	Y:116 
[2024/8/17 8:7:49] 物品:金创药(中量)	怪物:1F137AD0骷髅战将0	地图:D003	X:65	Y:116 
[2024/8/17 8:7:49] 物品:魔法药(中量)	怪物:1F137AD0骷髅战将0	地图:D003	X:65	Y:116 
[2024/8/17 8:7:49] 物品:魔法药(中量)	怪物:1F137AD0骷髅战将0	地图:D003	X:65	Y:116 
[2024/8/17 8:7:49] 物品:魔法药(中量)	怪物:1F137AD0骷髅战将0	地图:D003	X:65	Y:116 
[2024/8/17 8:7:49] 物品:魔法药(中量)	怪物:1F137AD0骷髅战将0	地图:D003	X:65	Y:116 
[2024/8/17 8:8:17] 物品:魔法药(小量)	怪物:1BD9BFB0骷髅战士	地图:D003	X:45	Y:117 
[2024/8/17 8:8:22] 物品:金创药(小量)	怪物:18873A90骷髅战士	地图:D002	X:221	Y:236 
[2024/8/17 8:8:28] 物品:金创药(小量)	怪物:18247130骷髅战士	地图:D011	X:165	Y:170 
[2024/8/17 8:8:28] 物品:皮制手套	怪物:18247130骷髅战士	地图:D011	X:165	Y:170 
[2024/8/17 8:8:35] 物品:金创药(中量)	怪物:03BA7AD0骷髅战将	地图:D003	X:37	Y:118 
[2024/8/17 8:8:42] 物品:金创药(小量)	怪物:308E32B0山洞蝙蝠	地图:D001	X:255	Y:240 
[2024/8/17 8:9:1] 物品:牛角戒指	怪物:191AB8A0骷髅	地图:D001	X:247	Y:242 
[2024/8/17 8:9:15] 物品:金创药(小量)	怪物:18EF0010山洞蝙蝠	地图:D001	X:233	Y:265 
[2024/8/17 8:9:15] 物品:金创药(小量)	怪物:289BCE90骷髅战士	地图:D011	X:169	Y:185 
[2024/8/17 8:9:32] 物品:金创药(小量)	怪物:30E2CD40骷髅战士	地图:D011	X:171	Y:190 
[2024/8/17 8:9:32] 物品:魔法药(小量)	怪物:30E2CD40骷髅战士	地图:D011	X:171	Y:190 
[2024/8/17 8:9:41] 物品:金创药(小量)	怪物:1A02BCA0骷髅战士	地图:D003	X:122	Y:77 
[2024/8/17 8:9:45] 物品:回城卷	怪物:1D96F5B0山洞蝙蝠0	地图:D003	X:122	Y:76 
[2024/8/17 8:9:45] 物品:回城卷	怪物:1D96F5B0山洞蝙蝠0	地图:D003	X:122	Y:76 
[2024/8/17 8:9:45] 物品:回城卷	怪物:1D96F5B0山洞蝙蝠0	地图:D003	X:122	Y:76 
[2024/8/17 8:9:45] 物品:回城卷	怪物:1D96F5B0山洞蝙蝠0	地图:D003	X:122	Y:76 
[2024/8/17 8:9:45] 物品:回城卷	怪物:1D96F5B0山洞蝙蝠0	地图:D003	X:122	Y:76 
[2024/8/17 8:9:51] 物品:紫宝石矿	怪物:2829ED40骷髅精灵8	地图:H001	X:117	Y:13 
[2024/8/17 8:10:12] 物品:皮制手套	怪物:31AA61C0骷髅0	地图:D002	X:172	Y:263 
[2024/8/17 8:10:12] 物品:金创药(小量)	怪物:31AA61C0骷髅0	地图:D002	X:172	Y:263 
[2024/8/17 8:10:12] 物品:金创药(小量)	怪物:31AA61C0骷髅0	地图:D002	X:172	Y:263 
[2024/8/17 8:10:12] 物品:金创药(小量)	怪物:31AA61C0骷髅0	地图:D002	X:172	Y:263 
[2024/8/17 8:10:12] 物品:金创药(小量)	怪物:31AA61C0骷髅0	地图:D002	X:172	Y:263 
[2024/8/17 8:10:12] 物品:魔法药(小量)	怪物:31AA61C0骷髅0	地图:D002	X:172	Y:263 
[2024/8/17 8:10:12] 物品:魔法药(小量)	怪物:31AA61C0骷髅0	地图:D002	X:172	Y:263 
[2024/8/17 8:10:12] 物品:魔法药(小量)	怪物:31AA61C0骷髅0	地图:D002	X:172	Y:263 
[2024/8/17 8:10:12] 物品:魔法药(小量)	怪物:31AA61C0骷髅0	地图:D002	X:172	Y:263 
[2024/8/17 8:10:23] 物品:大手镯	怪物:0D8B8A90骷髅战士0	地图:D003	X:129	Y:43 
[2024/8/17 8:10:23] 物品:金创药(中量)	怪物:0D8B8A90骷髅战士0	地图:D003	X:129	Y:43 
[2024/8/17 8:10:23] 物品:金创药(中量)	怪物:0D8B8A90骷髅战士0	地图:D003	X:129	Y:43 
[2024/8/17 8:10:23] 物品:金创药(中量)	怪物:0D8B8A90骷髅战士0	地图:D003	X:129	Y:43 
[2024/8/17 8:10:23] 物品:金创药(中量)	怪物:0D8B8A90骷髅战士0	地图:D003	X:129	Y:43 
[2024/8/17 8:10:23] 物品:魔法药(中量)	怪物:0D8B8A90骷髅战士0	地图:D003	X:129	Y:43 
[2024/8/17 8:10:23] 物品:魔法药(中量)	怪物:0D8B8A90骷髅战士0	地图:D003	X:129	Y:43 
[2024/8/17 8:10:23] 物品:魔法药(中量)	怪物:0D8B8A90骷髅战士0	地图:D003	X:129	Y:43 
[2024/8/17 8:10:23] 物品:魔法药(中量)	怪物:0D8B8A90骷髅战士0	地图:D003	X:129	Y:43 
[2024/8/17 8:10:42] 物品:HP强化药水	怪物:187817D0骷髅	地图:D011	X:170	Y:223 
[2024/8/17 8:10:59] 物品:金创药(小量)	怪物:1868E560骷髅战士	地图:D002	X:204	Y:282 
[2024/8/17 8:11:13] 物品:魔法药(小量)	怪物:18D151A0山洞蝙蝠	地图:D002	X:201	Y:290 
[2024/8/17 8:11:18] 物品:小手镯	怪物:17B84970骷髅战士0	地图:D001	X:361	Y:325 
[2024/8/17 8:11:18] 物品:大手镯	怪物:17B84970骷髅战士0	地图:D001	X:361	Y:325 
[2024/8/17 8:11:18] 物品:金创药(中量)	怪物:17B84970骷髅战士0	地图:D001	X:361	Y:325 
[2024/8/17 8:11:18] 物品:金创药(中量)	怪物:17B84970骷髅战士0	地图:D001	X:361	Y:325 
[2024/8/17 8:11:18] 物品:金创药(中量)	怪物:17B84970骷髅战士0	地图:D001	X:361	Y:325 
[2024/8/17 8:11:18] 物品:金创药(中量)	怪物:17B84970骷髅战士0	地图:D001	X:361	Y:325 
[2024/8/17 8:11:18] 物品:魔法药(中量)	怪物:17B84970骷髅战士0	地图:D001	X:361	Y:325 
[2024/8/17 8:11:18] 物品:魔法药(中量)	怪物:17B84970骷髅战士0	地图:D001	X:361	Y:325 
[2024/8/17 8:11:18] 物品:魔法药(中量)	怪物:17B84970骷髅战士0	地图:D001	X:361	Y:325 
[2024/8/17 8:11:18] 物品:魔法药(中量)	怪物:17B84970骷髅战士0	地图:D001	X:361	Y:325 
[2024/8/17 8:11:32] 物品:金创药(小量)	怪物:18FA45B0山洞蝙蝠	地图:D001	X:377	Y:324 
[2024/8/17 8:11:34] 物品:皮制手套	怪物:18853C40掷斧骷髅	地图:D002	X:208	Y:299 
[2024/8/17 8:11:45] 物品:小手镯	怪物:19581E60骷髅0	地图:D011	X:152	Y:236 
[2024/8/17 8:11:45] 物品:金创药(小量)	怪物:19581E60骷髅0	地图:D011	X:152	Y:236 
[2024/8/17 8:11:45] 物品:金创药(小量)	怪物:19581E60骷髅0	地图:D011	X:152	Y:236 
[2024/8/17 8:11:45] 物品:金创药(小量)	怪物:19581E60骷髅0	地图:D011	X:152	Y:236 
[2024/8/17 8:11:45] 物品:金创药(小量)	怪物:19581E60骷髅0	地图:D011	X:152	Y:236 
[2024/8/17 8:11:45] 物品:魔法药(小量)	怪物:19581E60骷髅0	地图:D011	X:152	Y:236 
[2024/8/17 8:11:45] 物品:魔法药(小量)	怪物:19581E60骷髅0	地图:D011	X:152	Y:236 
[2024/8/17 8:11:45] 物品:魔法药(小量)	怪物:19581E60骷髅0	地图:D011	X:152	Y:236 
[2024/8/17 8:11:45] 物品:魔法药(小量)	怪物:19581E60骷髅0	地图:D011	X:152	Y:236 
[2024/8/17 8:11:49] 物品:金创药(小量)	怪物:29A9A190骷髅战士	地图:D003	X:107	Y:38 
[2024/8/17 8:11:51] 物品:六角戒指	怪物:1B740050骷髅0	地图:D011	X:153	Y:235 
[2024/8/17 8:11:51] 物品:金创药(小量)	怪物:1B740050骷髅0	地图:D011	X:153	Y:235 
[2024/8/17 8:11:51] 物品:金创药(小量)	怪物:1B740050骷髅0	地图:D011	X:153	Y:235 
[2024/8/17 8:11:51] 物品:金创药(小量)	怪物:1B740050骷髅0	地图:D011	X:153	Y:235 
[2024/8/17 8:11:51] 物品:金创药(小量)	怪物:1B740050骷髅0	地图:D011	X:153	Y:235 
[2024/8/17 8:11:51] 物品:魔法药(小量)	怪物:1B740050骷髅0	地图:D011	X:153	Y:235 
[2024/8/17 8:11:51] 物品:魔法药(小量)	怪物:1B740050骷髅0	地图:D011	X:153	Y:235 
[2024/8/17 8:11:51] 物品:魔法药(小量)	怪物:1B740050骷髅0	地图:D011	X:153	Y:235 
[2024/8/17 8:11:51] 物品:魔法药(小量)	怪物:1B740050骷髅0	地图:D011	X:153	Y:235 
[2024/8/17 8:12:9] 物品:魔法药(中量)	怪物:29A264A0恶灵僵尸8	地图:H001	X:137	Y:32 
[2024/8/17 8:12:18] 物品:银手镯	怪物:19867090骷髅战士	地图:D002	X:211	Y:216 
[2024/8/17 8:12:50] 物品:青铜剑	怪物:22864E70骷髅战士	地图:D002	X:201	Y:202 
[2024/8/17 8:13:6] 物品:青铜斧	怪物:28BDBB90骷髅战将	地图:D003	X:85	Y:61 
[2024/8/17 8:13:6] 物品:青铜头盔	怪物:28BDBB90骷髅战将	地图:D003	X:85	Y:61 
[2024/8/17 8:13:16] 物品:金创药(中量)	怪物:03A88620骷髅战士0	地图:D011	X:130	Y:218 
[2024/8/17 8:13:16] 物品:金创药(中量)	怪物:03A88620骷髅战士0	地图:D011	X:130	Y:218 
[2024/8/17 8:13:16] 物品:金创药(中量)	怪物:03A88620骷髅战士0	地图:D011	X:130	Y:218 
[2024/8/17 8:13:16] 物品:金创药(中量)	怪物:03A88620骷髅战士0	地图:D011	X:130	Y:218 
[2024/8/17 8:13:16] 物品:魔法药(中量)	怪物:03A88620骷髅战士0	地图:D011	X:130	Y:218 
[2024/8/17 8:13:16] 物品:魔法药(中量)	怪物:03A88620骷髅战士0	地图:D011	X:130	Y:218 
[2024/8/17 8:13:16] 物品:魔法药(中量)	怪物:03A88620骷髅战士0	地图:D011	X:130	Y:218 
[2024/8/17 8:13:16] 物品:魔法药(中量)	怪物:03A88620骷髅战士0	地图:D011	X:130	Y:218 
[2024/8/17 8:13:22] 物品:钢手镯	怪物:190C04D0骷髅战士	地图:D002	X:193	Y:198 
[2024/8/17 8:13:23] 物品:魔法药(小量)	怪物:038269E0骷髅战士	地图:D011	X:130	Y:217 
[2024/8/17 8:13:23] 物品:铁剑	怪物:038269E0骷髅战士	地图:D011	X:130	Y:217 
[2024/8/17 8:13:44] 物品:金创药(中量)	怪物:039D8C40骷髅战将0	地图:D003	X:103	Y:57 
[2024/8/17 8:13:44] 物品:金创药(中量)	怪物:039D8C40骷髅战将0	地图:D003	X:103	Y:57 
[2024/8/17 8:13:44] 物品:金创药(中量)	怪物:039D8C40骷髅战将0	地图:D003	X:103	Y:57 
[2024/8/17 8:13:44] 物品:金创药(中量)	怪物:039D8C40骷髅战将0	地图:D003	X:103	Y:57 
[2024/8/17 8:13:44] 物品:魔法药(中量)	怪物:039D8C40骷髅战将0	地图:D003	X:103	Y:57 
[2024/8/17 8:13:44] 物品:魔法药(中量)	怪物:039D8C40骷髅战将0	地图:D003	X:103	Y:57 
[2024/8/17 8:13:44] 物品:魔法药(中量)	怪物:039D8C40骷髅战将0	地图:D003	X:103	Y:57 
[2024/8/17 8:13:44] 物品:魔法药(中量)	怪物:039D8C40骷髅战将0	地图:D003	X:103	Y:57 
[2024/8/17 8:14:0] 物品:凤凰明珠	怪物:18836BD0掷斧骷髅	地图:D002	X:212	Y:194 
[2024/8/17 8:14:1] 物品:强效太阳水	怪物:0D5114D0黄泉教主8	地图:H005	X:66	Y:210 
[2024/8/17 8:14:1] 物品:强效太阳水	怪物:0D5114D0黄泉教主8	地图:H005	X:66	Y:210 
[2024/8/17 8:14:1] 物品:强效太阳水	怪物:0D5114D0黄泉教主8	地图:H005	X:66	Y:210 
[2024/8/17 8:14:1] 物品:强效太阳水	怪物:0D5114D0黄泉教主8	地图:H005	X:66	Y:210 
[2024/8/17 8:14:1] 物品:强效太阳水	怪物:0D5114D0黄泉教主8	地图:H005	X:66	Y:210 
[2024/8/17 8:14:1] 物品:强效太阳水	怪物:0D5114D0黄泉教主8	地图:H005	X:66	Y:210 
[2024/8/17 8:14:1] 物品:强效太阳水	怪物:0D5114D0黄泉教主8	地图:H005	X:66	Y:210 
[2024/8/17 8:14:1] 物品:强效太阳水	怪物:0D5114D0黄泉教主8	地图:H005	X:66	Y:210 
[2024/8/17 8:14:1] 物品:强效太阳水	怪物:0D5114D0黄泉教主8	地图:H005	X:66	Y:210 
[2024/8/17 8:14:1] 物品:强效太阳水	怪物:0D5114D0黄泉教主8	地图:H005	X:66	Y:210 
[2024/8/17 8:14:1] 物品:强效太阳水	怪物:0D5114D0黄泉教主8	地图:H005	X:66	Y:210 
[2024/8/17 8:14:1] 物品:强效太阳水	怪物:0D5114D0黄泉教主8	地图:H005	X:66	Y:210 
[2024/8/17 8:14:1] 物品:强效太阳水	怪物:0D5114D0黄泉教主8	地图:H005	X:66	Y:210 
[2024/8/17 8:14:1] 物品:强效太阳水	怪物:0D5114D0黄泉教主8	地图:H005	X:66	Y:210 
[2024/8/17 8:14:1] 物品:强效太阳水	怪物:0D5114D0黄泉教主8	地图:H005	X:66	Y:210 
[2024/8/17 8:14:1] 物品:强效太阳水	怪物:0D5114D0黄泉教主8	地图:H005	X:66	Y:210 
[2024/8/17 8:14:1] 物品:强效太阳水	怪物:0D5114D0黄泉教主8	地图:H005	X:66	Y:210 
[2024/8/17 8:14:1] 物品:强效太阳水	怪物:0D5114D0黄泉教主8	地图:H005	X:66	Y:210 
[2024/8/17 8:14:1] 物品:强效太阳水	怪物:0D5114D0黄泉教主8	地图:H005	X:66	Y:210 
[2024/8/17 8:14:1] 物品:强效太阳水	怪物:0D5114D0黄泉教主8	地图:H005	X:66	Y:210 
[2024/8/17 8:14:1] 物品:强效金创药	怪物:0D5114D0黄泉教主8	地图:H005	X:66	Y:210 
[2024/8/17 8:14:1] 物品:强效金创药	怪物:0D5114D0黄泉教主8	地图:H005	X:66	Y:210 
[2024/8/17 8:14:1] 物品:强效金创药	怪物:0D5114D0黄泉教主8	地图:H005	X:66	Y:210 
[2024/8/17 8:14:1] 物品:强效金创药	怪物:0D5114D0黄泉教主8	地图:H005	X:66	Y:210 
[2024/8/17 8:14:1] 物品:强效金创药	怪物:0D5114D0黄泉教主8	地图:H005	X:66	Y:210 
[2024/8/17 8:14:1] 物品:强效金创药	怪物:0D5114D0黄泉教主8	地图:H005	X:66	Y:210 
[2024/8/17 8:14:1] 物品:强效金创药	怪物:0D5114D0黄泉教主8	地图:H005	X:66	Y:210 
