[2024/8/18 16:0:3] 物品:金创药(小量)	怪物:15AD4780僵尸4	地图:H201	X:51	Y:97 
[2024/8/18 16:0:29] 物品:超级太阳水	怪物:2E1D57D0魔龙力士1	地图:EM300	X:8	Y:18 
[2024/8/18 16:0:29] 物品:疗伤药	怪物:2E1D57D0魔龙力士1	地图:EM300	X:8	Y:18 
[2024/8/18 16:0:38] 物品:铁剑	怪物:188926F0巨型蠕虫	地图:D601	X:222	Y:40 
[2024/8/18 16:0:42] 物品:强效太阳水	怪物:18C78530尸王8	地图:H201	X:35	Y:96 
[2024/8/18 16:0:42] 物品:强效太阳水	怪物:18C78530尸王8	地图:H201	X:35	Y:96 
[2024/8/18 16:0:42] 物品:强效太阳水	怪物:18C78530尸王8	地图:H201	X:35	Y:96 
[2024/8/18 16:0:42] 物品:强效太阳水	怪物:18C78530尸王8	地图:H201	X:35	Y:96 
[2024/8/18 16:0:42] 物品:强效太阳水	怪物:18C78530尸王8	地图:H201	X:35	Y:96 
[2024/8/18 16:0:42] 物品:强效金创药	怪物:18C78530尸王8	地图:H201	X:35	Y:96 
[2024/8/18 16:0:42] 物品:强效金创药	怪物:18C78530尸王8	地图:H201	X:35	Y:96 
[2024/8/18 16:0:42] 物品:强效魔法药	怪物:18C78530尸王8	地图:H201	X:35	Y:96 
[2024/8/18 16:0:42] 物品:强效魔法药	怪物:18C78530尸王8	地图:H201	X:35	Y:96 
[2024/8/18 16:0:42] 物品:黑色水晶戒指	怪物:18C78530尸王8	地图:H201	X:35	Y:96 
[2024/8/18 16:0:42] 物品:蛇眼戒指	怪物:18C78530尸王8	地图:H201	X:35	Y:96 
[2024/8/18 16:0:42] 物品:黑檀手镯	怪物:18C78530尸王8	地图:H201	X:35	Y:96 
[2024/8/18 16:0:42] 物品:魔力手镯	怪物:18C78530尸王8	地图:H201	X:35	Y:96 
[2024/8/18 16:0:43] 物品:疗伤药	怪物:27B77380魔龙力士1	地图:EM300	X:10	Y:18 
[2024/8/18 16:0:43] 物品:兽皮腰带	怪物:27B77380魔龙力士1	地图:EM300	X:10	Y:18 
[2024/8/18 16:0:46] 物品:青铜剑	怪物:29E8C490骷髅战士	地图:D002	X:184	Y:45 
[2024/8/18 16:0:52] 物品:金创药(中量)	怪物:18F02080沃玛勇士	地图:D024	X:17	Y:20 
[2024/8/18 16:0:55] 物品:神圣战甲术	怪物:2224AE20僵尸4	地图:H201	X:26	Y:96 
[2024/8/18 16:0:58] 物品:金创药(小量)	怪物:2A403B70骷髅战士	地图:D002	X:184	Y:37 
[2024/8/18 16:0:59] 物品:超级太阳水	怪物:2E1D1540魔龙力士1	地图:EM300	X:9	Y:17 
[2024/8/18 16:0:59] 物品:灭天火	怪物:2E1D1540魔龙力士1	地图:EM300	X:9	Y:17 
[2024/8/18 16:0:59] 物品:集体隐身术	怪物:249B4AC0恶灵尸王	地图:D2051	X:116	Y:107 
[2024/8/18 16:0:59] 物品:隐身术	怪物:249B4AC0恶灵尸王	地图:D2051	X:116	Y:107 
[2024/8/18 16:0:59] 物品:攻杀剑术	怪物:249B4AC0恶灵尸王	地图:D2051	X:116	Y:107 
[2024/8/18 16:0:59] 物品:雷电术	怪物:249B4AC0恶灵尸王	地图:D2051	X:116	Y:107 
[2024/8/18 16:1:11] 物品:攻杀剑术	怪物:1CD8FCE0恶灵尸王	地图:D2051	X:112	Y:108 
[2024/8/18 16:1:11] 物品:地狱火	怪物:1CD8FCE0恶灵尸王	地图:D2051	X:112	Y:108 
[2024/8/18 16:1:12] 物品:强效太阳水	怪物:31ABAE90邪恶巨人0	地图:D2001A	X:224	Y:124 
[2024/8/18 16:1:12] 物品:强效太阳水	怪物:31ABAE90邪恶巨人0	地图:D2001A	X:224	Y:124 
[2024/8/18 16:1:12] 物品:强效太阳水	怪物:31ABAE90邪恶巨人0	地图:D2001A	X:224	Y:124 
[2024/8/18 16:1:14] 物品:强效太阳水	怪物:280A8490尸王8	地图:H201	X:24	Y:95 
[2024/8/18 16:1:14] 物品:强效太阳水	怪物:280A8490尸王8	地图:H201	X:24	Y:95 
[2024/8/18 16:1:14] 物品:强效太阳水	怪物:280A8490尸王8	地图:H201	X:24	Y:95 
[2024/8/18 16:1:14] 物品:强效太阳水	怪物:280A8490尸王8	地图:H201	X:24	Y:95 
[2024/8/18 16:1:14] 物品:强效太阳水	怪物:280A8490尸王8	地图:H201	X:24	Y:95 
[2024/8/18 16:1:14] 物品:强效金创药	怪物:280A8490尸王8	地图:H201	X:24	Y:95 
[2024/8/18 16:1:14] 物品:强效金创药	怪物:280A8490尸王8	地图:H201	X:24	Y:95 
[2024/8/18 16:1:14] 物品:强效魔法药	怪物:280A8490尸王8	地图:H201	X:24	Y:95 
[2024/8/18 16:1:14] 物品:强效魔法药	怪物:280A8490尸王8	地图:H201	X:24	Y:95 
[2024/8/18 16:1:14] 物品:骷髅戒指	怪物:280A8490尸王8	地图:H201	X:24	Y:95 
[2024/8/18 16:1:16] 物品:超级太阳水	怪物:2A9A53B0魔龙力士1	地图:EM300	X:11	Y:19 
[2024/8/18 16:1:16] 物品:疗伤药	怪物:2A9A53B0魔龙力士1	地图:EM300	X:11	Y:19 
[2024/8/18 16:1:19] 物品:强效太阳水	怪物:2F3CADC0尸王8	地图:H201	X:24	Y:96 
[2024/8/18 16:1:19] 物品:强效太阳水	怪物:2F3CADC0尸王8	地图:H201	X:24	Y:96 
[2024/8/18 16:1:19] 物品:强效太阳水	怪物:2F3CADC0尸王8	地图:H201	X:24	Y:96 
[2024/8/18 16:1:19] 物品:强效太阳水	怪物:2F3CADC0尸王8	地图:H201	X:24	Y:96 
[2024/8/18 16:1:19] 物品:强效太阳水	怪物:2F3CADC0尸王8	地图:H201	X:24	Y:96 
[2024/8/18 16:1:19] 物品:强效金创药	怪物:2F3CADC0尸王8	地图:H201	X:24	Y:96 
[2024/8/18 16:1:19] 物品:强效金创药	怪物:2F3CADC0尸王8	地图:H201	X:24	Y:96 
[2024/8/18 16:1:19] 物品:强效魔法药	怪物:2F3CADC0尸王8	地图:H201	X:24	Y:96 
[2024/8/18 16:1:19] 物品:强效魔法药	怪物:2F3CADC0尸王8	地图:H201	X:24	Y:96 
[2024/8/18 16:1:19] 物品:黑色水晶戒指	怪物:2F3CADC0尸王8	地图:H201	X:24	Y:96 
[2024/8/18 16:1:19] 物品:珍珠戒指	怪物:2F3CADC0尸王8	地图:H201	X:24	Y:96 
[2024/8/18 16:1:19] 物品:魅力戒指	怪物:2F3CADC0尸王8	地图:H201	X:24	Y:96 
[2024/8/18 16:1:19] 物品:群体治疗术	怪物:2F3CADC0尸王8	地图:H201	X:24	Y:96 
[2024/8/18 16:1:20] 物品:强效太阳水	怪物:19007860邪恶巨人0	地图:D2001A	X:224	Y:123 
[2024/8/18 16:1:20] 物品:强效太阳水	怪物:19007860邪恶巨人0	地图:D2001A	X:224	Y:123 
[2024/8/18 16:1:20] 物品:强效太阳水	怪物:19007860邪恶巨人0	地图:D2001A	X:224	Y:123 
[2024/8/18 16:1:21] 物品:太阳水	怪物:0DADD7F0巨型蠕虫	地图:D601	X:205	Y:26 
[2024/8/18 16:1:23] 物品:魔法药(小量)	怪物:20E61120僵尸4	地图:H201	X:22	Y:94 
[2024/8/18 16:1:35] 物品:金创药(小量)	怪物:20E61120僵尸4	地图:H201	X:21	Y:94 
[2024/8/18 16:1:35] 物品:火球术	怪物:20E61120僵尸4	地图:H201	X:21	Y:94 
[2024/8/18 16:1:35] 物品:疗伤药	怪物:2E1D41A0魔龙力士1	地图:EM300	X:16	Y:13 
[2024/8/18 16:1:35] 物品:青铜腰带	怪物:2E1D41A0魔龙力士1	地图:EM300	X:16	Y:13 
[2024/8/18 16:1:36] 物品:魔法力药水	怪物:2E921790骷髅战将	地图:D002	X:216	Y:48 
[2024/8/18 16:1:37] 物品:强效太阳水	怪物:1B8A0240邪恶巨人0	地图:D2001A	X:232	Y:114 
[2024/8/18 16:1:37] 物品:强效太阳水	怪物:1B8A0240邪恶巨人0	地图:D2001A	X:232	Y:114 
[2024/8/18 16:1:37] 物品:强效太阳水	怪物:1B8A0240邪恶巨人0	地图:D2001A	X:232	Y:114 
[2024/8/18 16:1:37] 物品:强效太阳水	怪物:1B8A0240邪恶巨人0	地图:D2001A	X:232	Y:114 
[2024/8/18 16:1:40] 物品:隐身术	怪物:05A62710僵尸1	地图:H201	X:18	Y:97 
[2024/8/18 16:1:40] 物品:精神力战法	怪物:05A62710僵尸1	地图:H201	X:18	Y:97 
[2024/8/18 16:1:42] 物品:魔法药(中量)	怪物:276482A0恶灵尸王	地图:D2051	X:93	Y:114 
[2024/8/18 16:1:42] 物品:攻杀剑术	怪物:276482A0恶灵尸王	地图:D2051	X:93	Y:114 
[2024/8/18 16:1:42] 物品:灵魂火符	怪物:276482A0恶灵尸王	地图:D2051	X:93	Y:114 
[2024/8/18 16:1:42] 物品:瞬息移动	怪物:276482A0恶灵尸王	地图:D2051	X:93	Y:114 
[2024/8/18 16:1:47] 物品:魔法药(小量)	怪物:2A5963E0僵尸4	地图:H201	X:16	Y:99 
[2024/8/18 16:1:48] 物品:魅力戒指	怪物:195EC950沃玛战将0	地图:D024	X:26	Y:16 
[2024/8/18 16:1:49] 物品:太阳水	怪物:19048DF0巨型蠕虫	地图:D601	X:199	Y:35 
[2024/8/18 16:1:49] 物品:太阳水	怪物:2DE55520黑野猪8	地图:H002	X:182	Y:250 
[2024/8/18 16:1:50] 物品:强效太阳水	怪物:1CE27090邪恶巨人0	地图:D2001A	X:232	Y:110 
[2024/8/18 16:1:50] 物品:强效太阳水	怪物:1CE27090邪恶巨人0	地图:D2001A	X:232	Y:110 
[2024/8/18 16:1:50] 物品:强效太阳水	怪物:1CE27090邪恶巨人0	地图:D2001A	X:232	Y:110 
[2024/8/18 16:1:50] 物品:夏普儿手镯	怪物:1CE27090邪恶巨人0	地图:D2001A	X:232	Y:110 
[2024/8/18 16:1:53] 物品:金创药(小量)	怪物:20722540骷髅战士	地图:D002	X:212	Y:49 
[2024/8/18 16:1:55] 物品:超级太阳水	怪物:2E1DC6C0魔龙力士1	地图:EM300	X:16	Y:11 
[2024/8/18 16:1:55] 物品:疗伤药	怪物:2E1DC6C0魔龙力士1	地图:EM300	X:16	Y:11 
[2024/8/18 16:1:55] 物品:疗伤药	怪物:2E1DC6C0魔龙力士1	地图:EM300	X:16	Y:11 
[2024/8/18 16:1:55] 物品:鹿皮靴	怪物:2E1DC6C0魔龙力士1	地图:EM300	X:16	Y:11 
[2024/8/18 16:1:56] 物品:神圣战甲术	怪物:31AD5420恶灵尸王	地图:D2051	X:95	Y:125 
[2024/8/18 16:1:56] 物品:施毒术	怪物:31AD5420恶灵尸王	地图:D2051	X:95	Y:125 
[2024/8/18 16:1:56] 物品:诱惑之光	怪物:31AD5420恶灵尸王	地图:D2051	X:95	Y:125 
[2024/8/18 16:1:56] 物品:地狱火	怪物:31AD5420恶灵尸王	地图:D2051	X:95	Y:125 
[2024/8/18 16:2:6] 物品:金创药(中量)	怪物:282DBC00沃玛勇士	地图:D024	X:25	Y:21 
[2024/8/18 16:2:6] 物品:魔法头盔	怪物:1B577260骷髅战将	地图:D002	X:214	Y:49 
[2024/8/18 16:2:7] 物品:强效太阳水	怪物:1E302CB0尸王8	地图:H201	X:21	Y:106 
[2024/8/18 16:2:7] 物品:强效太阳水	怪物:1E302CB0尸王8	地图:H201	X:21	Y:106 
[2024/8/18 16:2:7] 物品:强效太阳水	怪物:1E302CB0尸王8	地图:H201	X:21	Y:106 
[2024/8/18 16:2:7] 物品:强效太阳水	怪物:1E302CB0尸王8	地图:H201	X:21	Y:106 
[2024/8/18 16:2:7] 物品:强效太阳水	怪物:1E302CB0尸王8	地图:H201	X:21	Y:106 
[2024/8/18 16:2:7] 物品:强效金创药	怪物:1E302CB0尸王8	地图:H201	X:21	Y:106 
[2024/8/18 16:2:7] 物品:强效金创药	怪物:1E302CB0尸王8	地图:H201	X:21	Y:106 
[2024/8/18 16:2:7] 物品:强效魔法药	怪物:1E302CB0尸王8	地图:H201	X:21	Y:106 
[2024/8/18 16:2:7] 物品:强效魔法药	怪物:1E302CB0尸王8	地图:H201	X:21	Y:106 
[2024/8/18 16:2:7] 物品:道德戒指	怪物:1E302CB0尸王8	地图:H201	X:21	Y:106 
[2024/8/18 16:2:7] 物品:黑檀手镯	怪物:1E302CB0尸王8	地图:H201	X:21	Y:106 
[2024/8/18 16:2:7] 物品:魔力手镯	怪物:1E302CB0尸王8	地图:H201	X:21	Y:106 
[2024/8/18 16:2:7] 物品:困魔咒	怪物:1E302CB0尸王8	地图:H201	X:21	Y:106 
[2024/8/18 16:2:7] 物品:地狱雷光	怪物:1E302CB0尸王8	地图:H201	X:21	Y:106 
[2024/8/18 16:2:7] 物品:半月弯刀	怪物:1E302CB0尸王8	地图:H201	X:21	Y:106 
[2024/8/18 16:2:12] 物品:金创药(小量)	怪物:2A1D9480僵尸5	地图:H201	X:28	Y:105 
[2024/8/18 16:2:13] 物品:超级太阳水	怪物:2B349500魔龙力士1	地图:EM300	X:14	Y:12 
[2024/8/18 16:2:13] 物品:疗伤药	怪物:2B349500魔龙力士1	地图:EM300	X:14	Y:12 
[2024/8/18 16:2:16] 物品:皮制手套	怪物:0C2BE230骷髅战将	地图:D002	X:208	Y:55 
[2024/8/18 16:2:21] 物品:强效太阳水	怪物:29E1AAB0邪恶巨人0	地图:D2001A	X:207	Y:163 
[2024/8/18 16:2:21] 物品:强效太阳水	怪物:29E1AAB0邪恶巨人0	地图:D2001A	X:207	Y:163 
[2024/8/18 16:2:21] 物品:强效太阳水	怪物:29E1AAB0邪恶巨人0	地图:D2001A	X:207	Y:163 
[2024/8/18 16:2:21] 物品:八荒	怪物:19EC28C0沃玛勇士0	地图:D024	X:32	Y:33 
[2024/8/18 16:2:21] 物品:魔力手镯	怪物:19EC28C0沃玛勇士0	地图:D024	X:32	Y:33 
[2024/8/18 16:2:21] 物品:轻型盔甲(女)	怪物:19EC28C0沃玛勇士0	地图:D024	X:32	Y:33 
[2024/8/18 16:2:21] 物品:青铜斧	怪物:19EC28C0沃玛勇士0	地图:D024	X:32	Y:33 
[2024/8/18 16:2:21] 物品:黑檀项链	怪物:19EC28C0沃玛勇士0	地图:D024	X:32	Y:33 
[2024/8/18 16:2:21] 物品:青铜头盔	怪物:19EC28C0沃玛勇士0	地图:D024	X:32	Y:33 
[2024/8/18 16:2:21] 物品:太阳水	怪物:19EC28C0沃玛勇士0	地图:D024	X:32	Y:33 
[2024/8/18 16:2:21] 物品:太阳水	怪物:19EC28C0沃玛勇士0	地图:D024	X:32	Y:33 
[2024/8/18 16:2:21] 物品:太阳水	怪物:19EC28C0沃玛勇士0	地图:D024	X:32	Y:33 
[2024/8/18 16:2:21] 物品:太阳水	怪物:19EC28C0沃玛勇士0	地图:D024	X:32	Y:33 
[2024/8/18 16:2:21] 物品:金创药(中量)	怪物:19EC28C0沃玛勇士0	地图:D024	X:32	Y:33 
[2024/8/18 16:2:21] 物品:金创药(中量)	怪物:19EC28C0沃玛勇士0	地图:D024	X:32	Y:33 
[2024/8/18 16:2:21] 物品:金创药(中量)	怪物:19EC28C0沃玛勇士0	地图:D024	X:32	Y:33 
[2024/8/18 16:2:21] 物品:金创药(中量)	怪物:19EC28C0沃玛勇士0	地图:D024	X:32	Y:33 
[2024/8/18 16:2:21] 物品:魔法药(中量)	怪物:19EC28C0沃玛勇士0	地图:D024	X:32	Y:33 
[2024/8/18 16:2:21] 物品:魔法药(中量)	怪物:19EC28C0沃玛勇士0	地图:D024	X:32	Y:33 
[2024/8/18 16:2:21] 物品:魔法药(中量)	怪物:19EC28C0沃玛勇士0	地图:D024	X:32	Y:33 
[2024/8/18 16:2:21] 物品:魔法药(中量)	怪物:19EC28C0沃玛勇士0	地图:D024	X:32	Y:33 
[2024/8/18 16:2:22] 物品:强效太阳水	怪物:1BF57410尸王8	地图:H201	X:12	Y:106 
[2024/8/18 16:2:22] 物品:强效太阳水	怪物:1BF57410尸王8	地图:H201	X:12	Y:106 
[2024/8/18 16:2:22] 物品:强效太阳水	怪物:1BF57410尸王8	地图:H201	X:12	Y:106 
[2024/8/18 16:2:22] 物品:强效太阳水	怪物:1BF57410尸王8	地图:H201	X:12	Y:106 
[2024/8/18 16:2:22] 物品:强效太阳水	怪物:1BF57410尸王8	地图:H201	X:12	Y:106 
[2024/8/18 16:2:22] 物品:强效金创药	怪物:1BF57410尸王8	地图:H201	X:12	Y:106 
[2024/8/18 16:2:22] 物品:强效金创药	怪物:1BF57410尸王8	地图:H201	X:12	Y:106 
[2024/8/18 16:2:22] 物品:强效魔法药	怪物:1BF57410尸王8	地图:H201	X:12	Y:106 
[2024/8/18 16:2:22] 物品:强效魔法药	怪物:1BF57410尸王8	地图:H201	X:12	Y:106 
[2024/8/18 16:2:22] 物品:蛇眼戒指	怪物:1BF57410尸王8	地图:H201	X:12	Y:106 
[2024/8/18 16:2:22] 物品:魔力手镯	怪物:1BF57410尸王8	地图:H201	X:12	Y:106 
[2024/8/18 16:2:25] 物品:魔法药(中量)	怪物:27AAFF10恶灵尸王	地图:D2051	X:96	Y:141 
[2024/8/18 16:2:25] 物品:神圣战甲术	怪物:27AAFF10恶灵尸王	地图:D2051	X:96	Y:141 
[2024/8/18 16:2:25] 物品:隐身术	怪物:27AAFF10恶灵尸王	地图:D2051	X:96	Y:141 
[2024/8/18 16:2:25] 物品:瞬息移动	怪物:27AAFF10恶灵尸王	地图:D2051	X:96	Y:141 
[2024/8/18 16:2:30] 物品:短剑	怪物:308C8970骷髅战将0	地图:D002	X:211	Y:61 
[2024/8/18 16:2:30] 物品:金创药(中量)	怪物:308C8970骷髅战将0	地图:D002	X:211	Y:61 
[2024/8/18 16:2:30] 物品:金创药(中量)	怪物:308C8970骷髅战将0	地图:D002	X:211	Y:61 
[2024/8/18 16:2:30] 物品:金创药(中量)	怪物:308C8970骷髅战将0	地图:D002	X:211	Y:61 
[2024/8/18 16:2:30] 物品:金创药(中量)	怪物:308C8970骷髅战将0	地图:D002	X:211	Y:61 
[2024/8/18 16:2:30] 物品:魔法药(中量)	怪物:308C8970骷髅战将0	地图:D002	X:211	Y:61 
[2024/8/18 16:2:30] 物品:魔法药(中量)	怪物:308C8970骷髅战将0	地图:D002	X:211	Y:61 
[2024/8/18 16:2:30] 物品:魔法药(中量)	怪物:308C8970骷髅战将0	地图:D002	X:211	Y:61 
[2024/8/18 16:2:30] 物品:魔法药(中量)	怪物:308C8970骷髅战将0	地图:D002	X:211	Y:61 
[2024/8/18 16:2:30] 物品:强效太阳水	怪物:248017F0邪恶巨人0	地图:D2001A	X:207	Y:164 
[2024/8/18 16:2:30] 物品:强效太阳水	怪物:248017F0邪恶巨人0	地图:D2001A	X:207	Y:164 
[2024/8/18 16:2:30] 物品:魔法力药水	怪物:248017F0邪恶巨人0	地图:D2001A	X:207	Y:164 
[2024/8/18 16:2:36] 物品:银手镯	怪物:2EACBDC0骷髅战将	地图:D002	X:202	Y:61 
