[2024/8/22 13:0:1] 物品:强效金创药	怪物:253658D0魔龙射手	地图:66	X:50	Y:44 
[2024/8/22 13:0:18] 物品:魔力手镯	怪物:19C4FD50尸王8	地图:H201	X:174	Y:91 
[2024/8/22 13:0:18] 物品:地狱雷光	怪物:19C4FD50尸王8	地图:H201	X:174	Y:91 
[2024/8/22 13:0:19] 物品:强效魔法药	怪物:1D0CEF10暴牙蜘蛛	地图:D10032	X:79	Y:168 
[2024/8/22 13:0:19] 物品:八荒	怪物:1D0CEF10暴牙蜘蛛	地图:D10032	X:79	Y:168 
[2024/8/22 13:0:19] 物品:魔鬼项链	怪物:1D0CEF10暴牙蜘蛛	地图:D10032	X:79	Y:168 
[2024/8/22 13:0:19] 物品:琥珀项链	怪物:1D0CEF10暴牙蜘蛛	地图:D10032	X:79	Y:168 
[2024/8/22 13:0:20] 物品:魔法药(小量)	怪物:231C8660僵尸4	地图:H201	X:176	Y:91 
[2024/8/22 13:0:20] 物品:太阳水	怪物:29E03690钢牙蜘蛛	地图:D10032	X:80	Y:170 
[2024/8/22 13:0:20] 物品:强效金创药	怪物:29E03690钢牙蜘蛛	地图:D10032	X:80	Y:170 
[2024/8/22 13:0:20] 物品:强效魔法药	怪物:29E03690钢牙蜘蛛	地图:D10032	X:80	Y:170 
[2024/8/22 13:0:23] 物品:太阳水	怪物:15262630僵尸5	地图:H201	X:176	Y:88 
[2024/8/22 13:0:23] 物品:半月	怪物:1DC12670祖玛卫士8	地图:H204	X:59	Y:60 
[2024/8/22 13:0:23] 物品:蛇眼戒指	怪物:1DC12670祖玛卫士8	地图:H204	X:59	Y:60 
[2024/8/22 13:0:30] 物品:太阳水	怪物:23B1D360黑色恶蛆8	地图:H004	X:109	Y:125 
[2024/8/22 13:0:31] 物品:金创药(小量)	怪物:1BC836B0僵尸5	地图:H201	X:170	Y:92 
[2024/8/22 13:0:38] 物品:太阳水	怪物:1D1C00E0钢牙蜘蛛	地图:D10032	X:88	Y:155 
[2024/8/22 13:0:38] 物品:强效金创药	怪物:1D1C00E0钢牙蜘蛛	地图:D10032	X:88	Y:155 
[2024/8/22 13:0:38] 物品:强效魔法药	怪物:1D1C00E0钢牙蜘蛛	地图:D10032	X:88	Y:155 
[2024/8/22 13:0:38] 物品:魔鬼项链	怪物:1D1C00E0钢牙蜘蛛	地图:D10032	X:88	Y:155 
[2024/8/22 13:0:38] 物品:魔法药(小量)	怪物:231C8660僵尸4	地图:H201	X:176	Y:91 
[2024/8/22 13:0:39] 物品:强效金创药	怪物:2B4028D0魔龙射手	地图:66	X:50	Y:44 
[2024/8/22 13:0:39] 物品:重盔甲(女)	怪物:2B4028D0魔龙射手	地图:66	X:50	Y:44 
[2024/8/22 13:0:42] 物品:金创药(中量)	怪物:1CECBC00天狼蜘蛛	地图:D10032	X:100	Y:154 
[2024/8/22 13:0:42] 物品:魔法药(中量)	怪物:1CECBC00天狼蜘蛛	地图:D10032	X:100	Y:154 
[2024/8/22 13:0:42] 物品:白金项链	怪物:1CECBC00天狼蜘蛛	地图:D10032	X:100	Y:154 
[2024/8/22 13:0:42] 物品:海魂	怪物:1CECBC00天狼蜘蛛	地图:D10032	X:100	Y:154 
[2024/8/22 13:0:44] 物品:太阳水	怪物:1D1D0B20钢牙蜘蛛	地图:D10032	X:90	Y:155 
[2024/8/22 13:0:44] 物品:强效金创药	怪物:1D1D0B20钢牙蜘蛛	地图:D10032	X:90	Y:155 
[2024/8/22 13:0:44] 物品:强效魔法药	怪物:1D1D0B20钢牙蜘蛛	地图:D10032	X:90	Y:155 
[2024/8/22 13:0:44] 物品:降魔	怪物:1D1D0B20钢牙蜘蛛	地图:D10032	X:90	Y:155 
[2024/8/22 13:0:47] 物品:强效金创药	怪物:257E3CA0魔龙射手	地图:66	X:49	Y:45 
[2024/8/22 13:0:48] 物品:太阳水	怪物:1D0F8B40花吻蜘蛛8	地图:D10032	X:102	Y:155 
[2024/8/22 13:0:48] 物品:强效金创药	怪物:1D0F8B40花吻蜘蛛8	地图:D10032	X:102	Y:155 
[2024/8/22 13:0:48] 物品:强效魔法药	怪物:1D0F8B40花吻蜘蛛8	地图:D10032	X:102	Y:155 
[2024/8/22 13:0:48] 物品:海魂	怪物:1D0F8B40花吻蜘蛛8	地图:D10032	X:102	Y:155 
[2024/8/22 13:0:49] 物品:太阳水	怪物:2CA4F870花吻蜘蛛	地图:D10032	X:100	Y:155 
[2024/8/22 13:0:49] 物品:强效金创药	怪物:2CA4F870花吻蜘蛛	地图:D10032	X:100	Y:155 
[2024/8/22 13:0:49] 物品:强效魔法药	怪物:2CA4F870花吻蜘蛛	地图:D10032	X:100	Y:155 
[2024/8/22 13:0:49] 物品:偃月	怪物:2CA4F870花吻蜘蛛	地图:D10032	X:100	Y:155 
[2024/8/22 13:0:49] 物品:凤凰明珠	怪物:2CA4F870花吻蜘蛛	地图:D10032	X:100	Y:155 
[2024/8/22 13:0:54] 物品:强效太阳水	怪物:28CC27C0白野猪8	地图:H204	X:69	Y:73 
[2024/8/22 13:0:54] 物品:强效太阳水	怪物:28CC27C0白野猪8	地图:H204	X:69	Y:73 
[2024/8/22 13:0:54] 物品:强效太阳水	怪物:28CC27C0白野猪8	地图:H204	X:69	Y:73 
[2024/8/22 13:0:54] 物品:强效太阳水	怪物:28CC27C0白野猪8	地图:H204	X:69	Y:73 
[2024/8/22 13:0:54] 物品:强效太阳水	怪物:28CC27C0白野猪8	地图:H204	X:69	Y:73 
[2024/8/22 13:0:54] 物品:强效太阳水	怪物:28CC27C0白野猪8	地图:H204	X:69	Y:73 
[2024/8/22 13:0:54] 物品:强效太阳水	怪物:28CC27C0白野猪8	地图:H204	X:69	Y:73 
[2024/8/22 13:0:54] 物品:强效太阳水	怪物:28CC27C0白野猪8	地图:H204	X:69	Y:73 
[2024/8/22 13:0:54] 物品:强效太阳水	怪物:28CC27C0白野猪8	地图:H204	X:69	Y:73 
[2024/8/22 13:0:54] 物品:强效太阳水	怪物:28CC27C0白野猪8	地图:H204	X:69	Y:73 
[2024/8/22 13:0:54] 物品:太阳水	怪物:28CC27C0白野猪8	地图:H204	X:69	Y:73 
[2024/8/22 13:0:54] 物品:太阳水	怪物:28CC27C0白野猪8	地图:H204	X:69	Y:73 
[2024/8/22 13:0:54] 物品:太阳水	怪物:28CC27C0白野猪8	地图:H204	X:69	Y:73 
[2024/8/22 13:0:54] 物品:太阳水	怪物:28CC27C0白野猪8	地图:H204	X:69	Y:73 
[2024/8/22 13:0:54] 物品:太阳水	怪物:28CC27C0白野猪8	地图:H204	X:69	Y:73 
[2024/8/22 13:0:54] 物品:太阳水	怪物:28CC27C0白野猪8	地图:H204	X:69	Y:73 
[2024/8/22 13:0:54] 物品:太阳水	怪物:28CC27C0白野猪8	地图:H204	X:69	Y:73 
[2024/8/22 13:0:54] 物品:太阳水	怪物:28CC27C0白野猪8	地图:H204	X:69	Y:73 
[2024/8/22 13:0:54] 物品:太阳水	怪物:28CC27C0白野猪8	地图:H204	X:69	Y:73 
[2024/8/22 13:0:54] 物品:太阳水	怪物:28CC27C0白野猪8	地图:H204	X:69	Y:73 
[2024/8/22 13:0:54] 物品:金创药(中量)	怪物:28CC27C0白野猪8	地图:H204	X:69	Y:73 
[2024/8/22 13:0:54] 物品:金创药(中量)	怪物:28CC27C0白野猪8	地图:H204	X:69	Y:73 
[2024/8/22 13:0:54] 物品:金创药(中量)	怪物:28CC27C0白野猪8	地图:H204	X:69	Y:73 
[2024/8/22 13:0:54] 物品:强效金创药	怪物:28CC27C0白野猪8	地图:H204	X:69	Y:73 
[2024/8/22 13:0:54] 物品:强效金创药	怪物:28CC27C0白野猪8	地图:H204	X:69	Y:73 
[2024/8/22 13:0:54] 物品:强效金创药	怪物:28CC27C0白野猪8	地图:H204	X:69	Y:73 
[2024/8/22 13:0:54] 物品:魔法药(中量)	怪物:28CC27C0白野猪8	地图:H204	X:69	Y:73 
[2024/8/22 13:0:54] 物品:魔法药(中量)	怪物:28CC27C0白野猪8	地图:H204	X:69	Y:73 
[2024/8/22 13:0:54] 物品:魔法药(中量)	怪物:28CC27C0白野猪8	地图:H204	X:69	Y:73 
[2024/8/22 13:0:54] 物品:强效魔法药	怪物:28CC27C0白野猪8	地图:H204	X:69	Y:73 
[2024/8/22 13:0:54] 物品:强效魔法药	怪物:28CC27C0白野猪8	地图:H204	X:69	Y:73 
[2024/8/22 13:0:54] 物品:强效魔法药	怪物:28CC27C0白野猪8	地图:H204	X:69	Y:73 
[2024/8/22 13:0:54] 物品:强效金创药	怪物:28CC27C0白野猪8	地图:H204	X:69	Y:73 
[2024/8/22 13:0:54] 物品:强效金创药	怪物:28CC27C0白野猪8	地图:H204	X:69	Y:73 
[2024/8/22 13:0:54] 物品:强效金创药	怪物:28CC27C0白野猪8	地图:H204	X:69	Y:73 
[2024/8/22 13:0:54] 物品:强效金创药	怪物:28CC27C0白野猪8	地图:H204	X:69	Y:73 
[2024/8/22 13:0:54] 物品:强效金创药	怪物:28CC27C0白野猪8	地图:H204	X:69	Y:73 
[2024/8/22 13:0:54] 物品:强效金创药	怪物:28CC27C0白野猪8	地图:H204	X:69	Y:73 
[2024/8/22 13:0:54] 物品:强效魔法药	怪物:28CC27C0白野猪8	地图:H204	X:69	Y:73 
[2024/8/22 13:0:54] 物品:强效魔法药	怪物:28CC27C0白野猪8	地图:H204	X:69	Y:73 
[2024/8/22 13:0:54] 物品:强效魔法药	怪物:28CC27C0白野猪8	地图:H204	X:69	Y:73 
[2024/8/22 13:0:54] 物品:强效魔法药	怪物:28CC27C0白野猪8	地图:H204	X:69	Y:73 
[2024/8/22 13:0:54] 物品:强效魔法药	怪物:28CC27C0白野猪8	地图:H204	X:69	Y:73 
[2024/8/22 13:0:54] 物品:强效魔法药	怪物:28CC27C0白野猪8	地图:H204	X:69	Y:73 
[2024/8/22 13:0:54] 物品:记忆头盔	怪物:28CC27C0白野猪8	地图:H204	X:69	Y:73 
[2024/8/22 13:0:55] 物品:金创药(中量)	怪物:1CECD230天狼蜘蛛	地图:D10032	X:153	Y:139 
[2024/8/22 13:0:55] 物品:魔法药(中量)	怪物:1CECD230天狼蜘蛛	地图:D10032	X:153	Y:139 
[2024/8/22 13:0:55] 物品:琥珀项链	怪物:1CECD230天狼蜘蛛	地图:D10032	X:153	Y:139 
[2024/8/22 13:0:58] 物品:重盔甲(男)	怪物:1D0FFA30黑锷蜘蛛8	地图:D10032	X:143	Y:141 
[2024/8/22 13:0:58] 物品:重盔甲(女)	怪物:1D0FFA30黑锷蜘蛛8	地图:D10032	X:143	Y:141 
[2024/8/22 13:0:58] 物品:灵魂战衣(女)	怪物:1D0FFA30黑锷蜘蛛8	地图:D10032	X:143	Y:141 
[2024/8/22 13:0:58] 物品:灵魂战衣(男)	怪物:1D0FFA30黑锷蜘蛛8	地图:D10032	X:143	Y:141 
[2024/8/22 13:0:58] 物品:魔法长袍(男)	怪物:1D0FFA30黑锷蜘蛛8	地图:D10032	X:143	Y:141 
[2024/8/22 13:0:58] 物品:魔法长袍(女)	怪物:1D0FFA30黑锷蜘蛛8	地图:D10032	X:143	Y:141 
[2024/8/22 13:0:58] 物品:金戒指	怪物:1D0FFA30黑锷蜘蛛8	地图:D10032	X:143	Y:141 
[2024/8/22 13:0:58] 物品:蓝翡翠项链	怪物:1D0FFA30黑锷蜘蛛8	地图:D10032	X:143	Y:141 
[2024/8/22 13:0:58] 物品:金手镯	怪物:1D0FFA30黑锷蜘蛛8	地图:D10032	X:143	Y:141 
[2024/8/22 13:0:58] 物品:道德戒指	怪物:1D0FFA30黑锷蜘蛛8	地图:D10032	X:143	Y:141 
[2024/8/22 13:0:58] 物品:魅力戒指	怪物:1D0FFA30黑锷蜘蛛8	地图:D10032	X:143	Y:141 
[2024/8/22 13:0:58] 物品:降魔	怪物:1D0FFA30黑锷蜘蛛8	地图:D10032	X:143	Y:141 
[2024/8/22 13:0:58] 物品:偃月	怪物:1D0FFA30黑锷蜘蛛8	地图:D10032	X:143	Y:141 
[2024/8/22 13:0:58] 物品:降魔	怪物:1D0FFA30黑锷蜘蛛8	地图:D10032	X:143	Y:141 
[2024/8/22 13:0:58] 物品:白色虎齿项链	怪物:1D0FFA30黑锷蜘蛛8	地图:D10032	X:143	Y:141 
[2024/8/22 13:0:58] 物品:魔法长袍(男)	怪物:2CFC1710跳跳蜂8	地图:H004	X:98	Y:111 
[2024/8/22 13:1:0] 物品:大火球	怪物:29FB8C40僵尸50	地图:H201	X:169	Y:79 
[2024/8/22 13:1:0] 物品:召唤骷髅	怪物:29FB8C40僵尸50	地图:H201	X:169	Y:79 
[2024/8/22 13:1:0] 物品:诱惑之光	怪物:29FB8C40僵尸50	地图:H201	X:169	Y:79 
[2024/8/22 13:1:0] 物品:抗拒火环	怪物:29FB8C40僵尸50	地图:H201	X:169	Y:79 
[2024/8/22 13:1:0] 物品:精神力战法	怪物:29FB8C40僵尸50	地图:H201	X:169	Y:79 
[2024/8/22 13:1:0] 物品:火球术	怪物:29FB8C40僵尸50	地图:H201	X:169	Y:79 
[2024/8/22 13:1:0] 物品:治愈术	怪物:29FB8C40僵尸50	地图:H201	X:169	Y:79 
[2024/8/22 13:1:0] 物品:基本剑术	怪物:29FB8C40僵尸50	地图:H201	X:169	Y:79 
[2024/8/22 13:1:0] 物品:凌风	怪物:29FB8C40僵尸50	地图:H201	X:169	Y:79 
[2024/8/22 13:1:0] 物品:魔力手镯	怪物:29FB8C40僵尸50	地图:H201	X:169	Y:79 
[2024/8/22 13:1:0] 物品:灯笼项链	怪物:29FB8C40僵尸50	地图:H201	X:169	Y:79 
[2024/8/22 13:1:0] 物品:铁剑	怪物:29FB8C40僵尸50	地图:H201	X:169	Y:79 
[2024/8/22 13:1:0] 物品:短剑	怪物:29FB8C40僵尸50	地图:H201	X:169	Y:79 
[2024/8/22 13:1:0] 物品:轻型盔甲(男)	怪物:29FB8C40僵尸50	地图:H201	X:169	Y:79 
[2024/8/22 13:1:0] 物品:轻型盔甲(女)	怪物:29FB8C40僵尸50	地图:H201	X:169	Y:79 
[2024/8/22 13:1:0] 物品:青铜斧	怪物:29FB8C40僵尸50	地图:H201	X:169	Y:79 
[2024/8/22 13:1:0] 物品:黑檀项链	怪物:29FB8C40僵尸50	地图:H201	X:169	Y:79 
[2024/8/22 13:1:0] 物品:黄色水晶项链	怪物:29FB8C40僵尸50	地图:H201	X:169	Y:79 
[2024/8/22 13:1:0] 物品:黑色水晶项链	怪物:29FB8C40僵尸50	地图:H201	X:169	Y:79 
[2024/8/22 13:1:0] 物品:青铜头盔	怪物:29FB8C40僵尸50	地图:H201	X:169	Y:79 
[2024/8/22 13:1:0] 物品:金创药(小量)	怪物:29FB8C40僵尸50	地图:H201	X:169	Y:79 
[2024/8/22 13:1:0] 物品:金创药(小量)	怪物:29FB8C40僵尸50	地图:H201	X:169	Y:79 
[2024/8/22 13:1:0] 物品:金创药(小量)	怪物:29FB8C40僵尸50	地图:H201	X:169	Y:79 
[2024/8/22 13:1:0] 物品:金创药(小量)	怪物:29FB8C40僵尸50	地图:H201	X:169	Y:79 
[2024/8/22 13:1:0] 物品:魔法药(小量)	怪物:29FB8C40僵尸50	地图:H201	X:169	Y:79 
[2024/8/22 13:1:0] 物品:魔法药(小量)	怪物:29FB8C40僵尸50	地图:H201	X:169	Y:79 
[2024/8/22 13:1:0] 物品:魔法药(小量)	怪物:29FB8C40僵尸50	地图:H201	X:169	Y:79 
[2024/8/22 13:1:0] 物品:魔法药(小量)	怪物:29FB8C40僵尸50	地图:H201	X:169	Y:79 
[2024/8/22 13:1:1] 物品:金创药(中量)	怪物:1D1D7A10天狼蜘蛛	地图:D10032	X:156	Y:135 
[2024/8/22 13:1:1] 物品:魔法药(中量)	怪物:1D1D7A10天狼蜘蛛	地图:D10032	X:156	Y:135 
[2024/8/22 13:1:2] 物品:强效金创药	怪物:24A94B00魔龙破甲兵	地图:66	X:48	Y:53 
[2024/8/22 13:1:2] 物品:强效魔法药	怪物:24A94B00魔龙破甲兵	地图:66	X:48	Y:53 
[2024/8/22 13:1:5] 物品:太阳水	怪物:1CE9C480钢牙蜘蛛	地图:D10032	X:142	Y:141 
[2024/8/22 13:1:5] 物品:强效金创药	怪物:1CE9C480钢牙蜘蛛	地图:D10032	X:142	Y:141 
[2024/8/22 13:1:5] 物品:强效魔法药	怪物:1CE9C480钢牙蜘蛛	地图:D10032	X:142	Y:141 
[2024/8/22 13:1:6] 物品:金创药(中量)	怪物:1D077080天狼蜘蛛	地图:D10032	X:153	Y:137 
[2024/8/22 13:1:6] 物品:魔法药(中量)	怪物:1D077080天狼蜘蛛	地图:D10032	X:153	Y:137 
[2024/8/22 13:1:6] 物品:凤凰明珠	怪物:1D077080天狼蜘蛛	地图:D10032	X:153	Y:137 
[2024/8/22 13:1:6] 物品:强效太阳水	怪物:14E09C30尸王8	地图:H201	X:168	Y:79 
[2024/8/22 13:1:6] 物品:强效太阳水	怪物:14E09C30尸王8	地图:H201	X:168	Y:79 
[2024/8/22 13:1:6] 物品:强效太阳水	怪物:14E09C30尸王8	地图:H201	X:168	Y:79 
[2024/8/22 13:1:6] 物品:强效太阳水	怪物:14E09C30尸王8	地图:H201	X:168	Y:79 
[2024/8/22 13:1:6] 物品:强效太阳水	怪物:14E09C30尸王8	地图:H201	X:168	Y:79 
[2024/8/22 13:1:6] 物品:强效金创药	怪物:14E09C30尸王8	地图:H201	X:168	Y:79 
[2024/8/22 13:1:6] 物品:强效金创药	怪物:14E09C30尸王8	地图:H201	X:168	Y:79 
[2024/8/22 13:1:6] 物品:强效魔法药	怪物:14E09C30尸王8	地图:H201	X:168	Y:79 
[2024/8/22 13:1:6] 物品:强效魔法药	怪物:14E09C30尸王8	地图:H201	X:168	Y:79 
[2024/8/22 13:1:6] 物品:蛇眼戒指	怪物:14E09C30尸王8	地图:H201	X:168	Y:79 
[2024/8/22 13:1:6] 物品:凝霜	怪物:14E09C30尸王8	地图:H201	X:168	Y:79 
[2024/8/22 13:1:6] 物品:黑檀手镯	怪物:14E09C30尸王8	地图:H201	X:168	Y:79 
[2024/8/22 13:1:6] 物品:困魔咒	怪物:14E09C30尸王8	地图:H201	X:168	Y:79 
[2024/8/22 13:1:9] 物品:强效金创药	怪物:1EE32B90魔龙刀兵1	地图:66	X:48	Y:52 
[2024/8/22 13:1:15] 物品:魔法药(小量)	怪物:25963F40僵尸5	地图:H201	X:166	Y:73 
[2024/8/22 13:1:16] 物品:太阳水	怪物:1CE7B000花吻蜘蛛	地图:D10032	X:187	Y:156 
[2024/8/22 13:1:16] 物品:强效金创药	怪物:1CE7B000花吻蜘蛛	地图:D10032	X:187	Y:156 
[2024/8/22 13:1:16] 物品:强效魔法药	怪物:1CE7B000花吻蜘蛛	地图:D10032	X:187	Y:156 
[2024/8/22 13:1:16] 物品:道士头盔	怪物:2BEF31A0祖玛雕像8	地图:H204	X:77	Y:77 
[2024/8/22 13:1:20] 物品:金创药(小量)	怪物:23FC7DC0僵尸5	地图:H201	X:164	Y:76 
[2024/8/22 13:1:20] 物品:魔法药(小量)	怪物:23FC7DC0僵尸5	地图:H201	X:164	Y:76 
[2024/8/22 13:1:20] 物品:魔法药(小量)	怪物:26EE2C70僵尸5	地图:H201	X:163	Y:76 
[2024/8/22 13:1:23] 物品:金创药(中量)	怪物:1CF46CC0天狼蜘蛛	地图:D10032	X:191	Y:154 
[2024/8/22 13:1:23] 物品:魔法药(中量)	怪物:1CF46CC0天狼蜘蛛	地图:D10032	X:191	Y:154 
[2024/8/22 13:1:23] 物品:坚固手套	怪物:1CF46CC0天狼蜘蛛	地图:D10032	X:191	Y:154 
[2024/8/22 13:1:26] 物品:抗拒火环	怪物:2B1358D0僵尸10	地图:H201	X:166	Y:72 
[2024/8/22 13:1:26] 物品:治愈术	怪物:2B1358D0僵尸10	地图:H201	X:166	Y:72 
[2024/8/22 13:1:26] 物品:轻型盔甲(男)	怪物:2B1358D0僵尸10	地图:H201	X:166	Y:72 
[2024/8/22 13:1:26] 物品:魔法药(中量)	怪物:2B1358D0僵尸10	地图:H201	X:166	Y:72 
[2024/8/22 13:1:27] 物品:施毒术	怪物:1DCC2540恶灵尸王	地图:H201	X:164	Y:75 
[2024/8/22 13:1:27] 物品:大火球	怪物:1DCC2540恶灵尸王	地图:H201	X:164	Y:75 
