[2024/8/20 11:0:18] 物品:金创药(小量)	怪物:28AC6E20僵尸4	地图:H201	X:95	Y:171 
[2024/8/20 11:2:7] 物品:强效太阳水	怪物:28B65500尸王8	地图:H201	X:61	Y:167 
[2024/8/20 11:2:7] 物品:强效金创药	怪物:28B65500尸王8	地图:H201	X:61	Y:167 
[2024/8/20 11:2:7] 物品:强效金创药	怪物:28B65500尸王8	地图:H201	X:61	Y:167 
[2024/8/20 11:2:7] 物品:强效魔法药	怪物:28B65500尸王8	地图:H201	X:61	Y:167 
[2024/8/20 11:2:7] 物品:强效魔法药	怪物:28B65500尸王8	地图:H201	X:61	Y:167 
[2024/8/20 11:2:7] 物品:骷髅戒指	怪物:28B65500尸王8	地图:H201	X:61	Y:167 
[2024/8/20 11:2:7] 物品:蛇眼戒指	怪物:28B65500尸王8	地图:H201	X:61	Y:167 
[2024/8/20 11:2:7] 物品:生铁戒指	怪物:28B65500尸王8	地图:H201	X:61	Y:167 
[2024/8/20 11:2:7] 物品:魅力戒指	怪物:28B65500尸王8	地图:H201	X:61	Y:167 
[2024/8/20 11:2:7] 物品:魔力手镯	怪物:28B65500尸王8	地图:H201	X:61	Y:167 
[2024/8/20 11:2:13] 物品:强效魔法药	怪物:1EC364A0魔龙破甲兵	地图:66	X:249	Y:89 
[2024/8/20 11:2:13] 物品:强效金创药	怪物:1EC364A0魔龙破甲兵	地图:66	X:249	Y:89 
[2024/8/20 11:2:13] 物品:灵魂战衣(男)	怪物:1EC364A0魔龙破甲兵	地图:66	X:249	Y:89 
[2024/8/20 11:2:16] 物品:强效太阳水	怪物:2F6A0840尸王8	地图:H201	X:59	Y:168 
[2024/8/20 11:2:16] 物品:强效太阳水	怪物:2F6A0840尸王8	地图:H201	X:59	Y:168 
[2024/8/20 11:2:16] 物品:强效太阳水	怪物:2F6A0840尸王8	地图:H201	X:59	Y:168 
[2024/8/20 11:2:16] 物品:强效太阳水	怪物:2F6A0840尸王8	地图:H201	X:59	Y:168 
[2024/8/20 11:2:16] 物品:强效太阳水	怪物:2F6A0840尸王8	地图:H201	X:59	Y:168 
[2024/8/20 11:2:16] 物品:强效金创药	怪物:2F6A0840尸王8	地图:H201	X:59	Y:168 
[2024/8/20 11:2:16] 物品:强效金创药	怪物:2F6A0840尸王8	地图:H201	X:59	Y:168 
[2024/8/20 11:2:16] 物品:强效魔法药	怪物:2F6A0840尸王8	地图:H201	X:59	Y:168 
[2024/8/20 11:2:16] 物品:强效魔法药	怪物:2F6A0840尸王8	地图:H201	X:59	Y:168 
[2024/8/20 11:2:16] 物品:珊瑚戒指	怪物:2F6A0840尸王8	地图:H201	X:59	Y:168 
[2024/8/20 11:2:16] 物品:蛇眼戒指	怪物:2F6A0840尸王8	地图:H201	X:59	Y:168 
[2024/8/20 11:2:16] 物品:生铁戒指	怪物:2F6A0840尸王8	地图:H201	X:59	Y:168 
[2024/8/20 11:2:16] 物品:凝霜	怪物:2F6A0840尸王8	地图:H201	X:59	Y:168 
[2024/8/20 11:2:16] 物品:魔力手镯	怪物:2F6A0840尸王8	地图:H201	X:59	Y:168 
[2024/8/20 11:2:16] 物品:野蛮冲撞	怪物:2F6A0840尸王8	地图:H201	X:59	Y:168 
[2024/8/20 11:2:17] 物品:火墙	怪物:1C061390恶灵尸王	地图:H201	X:61	Y:165 
[2024/8/20 11:2:17] 物品:隐身术	怪物:1C061390恶灵尸王	地图:H201	X:61	Y:165 
[2024/8/20 11:2:17] 物品:攻杀剑术	怪物:1C061390恶灵尸王	地图:H201	X:61	Y:165 
[2024/8/20 11:2:19] 物品:强效魔法药	怪物:2DAEB000魔龙刀兵1	地图:66	X:247	Y:89 
[2024/8/20 11:2:23] 物品:强效太阳水	怪物:21689790尸王8	地图:H201	X:55	Y:167 
[2024/8/20 11:2:23] 物品:强效太阳水	怪物:21689790尸王8	地图:H201	X:55	Y:167 
[2024/8/20 11:2:23] 物品:强效太阳水	怪物:21689790尸王8	地图:H201	X:55	Y:167 
[2024/8/20 11:2:23] 物品:强效太阳水	怪物:21689790尸王8	地图:H201	X:55	Y:167 
[2024/8/20 11:2:23] 物品:强效太阳水	怪物:21689790尸王8	地图:H201	X:55	Y:167 
[2024/8/20 11:2:23] 物品:强效金创药	怪物:21689790尸王8	地图:H201	X:55	Y:167 
[2024/8/20 11:2:23] 物品:强效金创药	怪物:21689790尸王8	地图:H201	X:55	Y:167 
[2024/8/20 11:2:23] 物品:强效魔法药	怪物:21689790尸王8	地图:H201	X:55	Y:167 
[2024/8/20 11:2:23] 物品:强效魔法药	怪物:21689790尸王8	地图:H201	X:55	Y:167 
[2024/8/20 11:2:23] 物品:凝霜	怪物:21689790尸王8	地图:H201	X:55	Y:167 
[2024/8/20 11:2:23] 物品:黑檀手镯	怪物:21689790尸王8	地图:H201	X:55	Y:167 
[2024/8/20 11:2:28] 物品:强效太阳水	怪物:26531D10尸王8	地图:H201	X:55	Y:169 
[2024/8/20 11:2:28] 物品:强效太阳水	怪物:26531D10尸王8	地图:H201	X:55	Y:169 
[2024/8/20 11:2:28] 物品:强效太阳水	怪物:26531D10尸王8	地图:H201	X:55	Y:169 
[2024/8/20 11:2:28] 物品:强效太阳水	怪物:26531D10尸王8	地图:H201	X:55	Y:169 
[2024/8/20 11:2:28] 物品:强效太阳水	怪物:26531D10尸王8	地图:H201	X:55	Y:169 
[2024/8/20 11:2:28] 物品:强效金创药	怪物:26531D10尸王8	地图:H201	X:55	Y:169 
[2024/8/20 11:2:28] 物品:强效金创药	怪物:26531D10尸王8	地图:H201	X:55	Y:169 
[2024/8/20 11:2:28] 物品:强效魔法药	怪物:26531D10尸王8	地图:H201	X:55	Y:169 
[2024/8/20 11:2:28] 物品:强效魔法药	怪物:26531D10尸王8	地图:H201	X:55	Y:169 
[2024/8/20 11:2:28] 物品:黑色水晶戒指	怪物:26531D10尸王8	地图:H201	X:55	Y:169 
[2024/8/20 11:2:28] 物品:生铁戒指	怪物:26531D10尸王8	地图:H201	X:55	Y:169 
[2024/8/20 11:2:28] 物品:蓝翡翠项链	怪物:26531D10尸王8	地图:H201	X:55	Y:169 
[2024/8/20 11:2:28] 物品:黑檀手镯	怪物:26531D10尸王8	地图:H201	X:55	Y:169 
[2024/8/20 11:2:28] 物品:魔力手镯	怪物:26531D10尸王8	地图:H201	X:55	Y:169 
[2024/8/20 11:2:33] 物品:魔法长袍(女)	怪物:320C3890魔龙射手2	地图:66	X:239	Y:90 
[2024/8/20 11:2:34] 物品:金创药(小量)	怪物:037FD040僵尸4	地图:H201	X:59	Y:168 
[2024/8/20 11:2:36] 物品:道士头盔	怪物:295495A0魔龙破甲兵	地图:66	X:243	Y:91 
[2024/8/20 11:2:36] 物品:苹果	怪物:295495A0魔龙破甲兵	地图:66	X:243	Y:91 
[2024/8/20 11:2:37] 物品:强效太阳水	怪物:2D6A4ED0尸王8	地图:H201	X:52	Y:168 
[2024/8/20 11:2:37] 物品:强效太阳水	怪物:2D6A4ED0尸王8	地图:H201	X:52	Y:168 
[2024/8/20 11:2:37] 物品:强效太阳水	怪物:2D6A4ED0尸王8	地图:H201	X:52	Y:168 
[2024/8/20 11:2:37] 物品:强效太阳水	怪物:2D6A4ED0尸王8	地图:H201	X:52	Y:168 
[2024/8/20 11:2:37] 物品:强效太阳水	怪物:2D6A4ED0尸王8	地图:H201	X:52	Y:168 
[2024/8/20 11:2:37] 物品:强效金创药	怪物:2D6A4ED0尸王8	地图:H201	X:52	Y:168 
[2024/8/20 11:2:37] 物品:强效金创药	怪物:2D6A4ED0尸王8	地图:H201	X:52	Y:168 
[2024/8/20 11:2:37] 物品:强效魔法药	怪物:2D6A4ED0尸王8	地图:H201	X:52	Y:168 
[2024/8/20 11:2:37] 物品:强效魔法药	怪物:2D6A4ED0尸王8	地图:H201	X:52	Y:168 
[2024/8/20 11:2:37] 物品:魅力戒指	怪物:2D6A4ED0尸王8	地图:H201	X:52	Y:168 
[2024/8/20 11:2:37] 物品:黑檀手镯	怪物:2D6A4ED0尸王8	地图:H201	X:52	Y:168 
[2024/8/20 11:2:37] 物品:魔力手镯	怪物:2D6A4ED0尸王8	地图:H201	X:52	Y:168 
[2024/8/20 11:2:37] 物品:野蛮冲撞	怪物:2D6A4ED0尸王8	地图:H201	X:52	Y:168 
[2024/8/20 11:2:39] 物品:强效太阳水	怪物:2D6BDE30尸王8	地图:H201	X:52	Y:168 
[2024/8/20 11:2:39] 物品:强效太阳水	怪物:2D6BDE30尸王8	地图:H201	X:52	Y:168 
[2024/8/20 11:2:39] 物品:强效太阳水	怪物:2D6BDE30尸王8	地图:H201	X:52	Y:168 
[2024/8/20 11:2:39] 物品:强效太阳水	怪物:2D6BDE30尸王8	地图:H201	X:52	Y:168 
[2024/8/20 11:2:39] 物品:强效太阳水	怪物:2D6BDE30尸王8	地图:H201	X:52	Y:168 
[2024/8/20 11:2:39] 物品:强效金创药	怪物:2D6BDE30尸王8	地图:H201	X:52	Y:168 
[2024/8/20 11:2:39] 物品:强效金创药	怪物:2D6BDE30尸王8	地图:H201	X:52	Y:168 
[2024/8/20 11:2:39] 物品:强效魔法药	怪物:2D6BDE30尸王8	地图:H201	X:52	Y:168 
[2024/8/20 11:2:39] 物品:强效魔法药	怪物:2D6BDE30尸王8	地图:H201	X:52	Y:168 
[2024/8/20 11:2:39] 物品:蛇眼戒指	怪物:2D6BDE30尸王8	地图:H201	X:52	Y:168 
[2024/8/20 11:2:39] 物品:珍珠戒指	怪物:2D6BDE30尸王8	地图:H201	X:52	Y:168 
[2024/8/20 11:2:39] 物品:凝霜	怪物:2D6BDE30尸王8	地图:H201	X:52	Y:168 
[2024/8/20 11:2:39] 物品:道德戒指	怪物:2D6BDE30尸王8	地图:H201	X:52	Y:168 
[2024/8/20 11:2:39] 物品:黑檀手镯	怪物:2D6BDE30尸王8	地图:H201	X:52	Y:168 
[2024/8/20 11:2:39] 物品:魔力手镯	怪物:2D6BDE30尸王8	地图:H201	X:52	Y:168 
[2024/8/20 11:2:42] 物品:强效金创药	怪物:1B7CD040魔龙刀兵	地图:66	X:240	Y:93 
[2024/8/20 11:2:46] 物品:魔法药(小量)	怪物:297E6B30僵尸4	地图:H201	X:51	Y:162 
[2024/8/20 11:2:46] 物品:金创药(小量)	怪物:1E2DD720僵尸5	地图:H201	X:49	Y:162 
[2024/8/20 11:2:51] 物品:金创药(小量)	怪物:191E9220僵尸4	地图:H201	X:51	Y:160 
[2024/8/20 11:2:52] 物品:强效太阳水	怪物:063AE500尸王8	地图:H201	X:48	Y:162 
[2024/8/20 11:2:52] 物品:强效太阳水	怪物:063AE500尸王8	地图:H201	X:48	Y:162 
[2024/8/20 11:2:52] 物品:强效太阳水	怪物:063AE500尸王8	地图:H201	X:48	Y:162 
[2024/8/20 11:2:52] 物品:强效太阳水	怪物:063AE500尸王8	地图:H201	X:48	Y:162 
[2024/8/20 11:2:52] 物品:强效太阳水	怪物:063AE500尸王8	地图:H201	X:48	Y:162 
[2024/8/20 11:2:52] 物品:强效金创药	怪物:063AE500尸王8	地图:H201	X:48	Y:162 
[2024/8/20 11:2:52] 物品:强效金创药	怪物:063AE500尸王8	地图:H201	X:48	Y:162 
[2024/8/20 11:2:52] 物品:强效魔法药	怪物:063AE500尸王8	地图:H201	X:48	Y:162 
[2024/8/20 11:2:52] 物品:强效魔法药	怪物:063AE500尸王8	地图:H201	X:48	Y:162 
[2024/8/20 11:2:52] 物品:道德戒指	怪物:063AE500尸王8	地图:H201	X:48	Y:162 
[2024/8/20 11:2:52] 物品:魅力戒指	怪物:063AE500尸王8	地图:H201	X:48	Y:162 
[2024/8/20 11:2:52] 物品:黑檀手镯	怪物:063AE500尸王8	地图:H201	X:48	Y:162 
[2024/8/20 11:2:52] 物品:魔力手镯	怪物:063AE500尸王8	地图:H201	X:48	Y:162 
[2024/8/20 11:2:52] 物品:地狱雷光	怪物:063AE500尸王8	地图:H201	X:48	Y:162 
[2024/8/20 11:2:53] 物品:强效太阳水	怪物:2B5EABA0邪恶毒蛇	地图:D717	X:40	Y:63 
[2024/8/20 11:2:53] 物品:强效太阳水	怪物:2B5EABA0邪恶毒蛇	地图:D717	X:40	Y:63 
[2024/8/20 11:2:53] 物品:强效太阳水	怪物:2B5EABA0邪恶毒蛇	地图:D717	X:40	Y:63 
[2024/8/20 11:2:53] 物品:强效太阳水	怪物:2B5EABA0邪恶毒蛇	地图:D717	X:40	Y:63 
