[2024/8/19 4:0:6] 物品:魔法药(中量)	怪物:28F35F40祖玛雕像8	地图:H204	X:67	Y:27 
[2024/8/19 4:0:44] 物品:坚固手套	怪物:28E9EB90僵尸50	地图:H201	X:161	Y:41 
[2024/8/19 4:0:44] 物品:灯笼项链	怪物:28E9EB90僵尸50	地图:H201	X:161	Y:41 
[2024/8/19 4:0:44] 物品:铁剑	怪物:28E9EB90僵尸50	地图:H201	X:161	Y:41 
[2024/8/19 4:0:44] 物品:短剑	怪物:28E9EB90僵尸50	地图:H201	X:161	Y:41 
[2024/8/19 4:0:44] 物品:轻型盔甲(男)	怪物:28E9EB90僵尸50	地图:H201	X:161	Y:41 
[2024/8/19 4:0:44] 物品:轻型盔甲(女)	怪物:28E9EB90僵尸50	地图:H201	X:161	Y:41 
[2024/8/19 4:0:44] 物品:中型盔甲(男)	怪物:28E9EB90僵尸50	地图:H201	X:161	Y:41 
[2024/8/19 4:0:44] 物品:青铜斧	怪物:28E9EB90僵尸50	地图:H201	X:161	Y:41 
[2024/8/19 4:0:44] 物品:黑檀项链	怪物:28E9EB90僵尸50	地图:H201	X:161	Y:41 
[2024/8/19 4:0:44] 物品:黄色水晶项链	怪物:28E9EB90僵尸50	地图:H201	X:161	Y:41 
[2024/8/19 4:0:44] 物品:黑色水晶项链	怪物:28E9EB90僵尸50	地图:H201	X:161	Y:41 
[2024/8/19 4:0:44] 物品:青铜头盔	怪物:28E9EB90僵尸50	地图:H201	X:161	Y:41 
[2024/8/19 4:0:44] 物品:金创药(小量)	怪物:28E9EB90僵尸50	地图:H201	X:161	Y:41 
[2024/8/19 4:0:44] 物品:金创药(小量)	怪物:28E9EB90僵尸50	地图:H201	X:161	Y:41 
[2024/8/19 4:0:44] 物品:金创药(小量)	怪物:28E9EB90僵尸50	地图:H201	X:161	Y:41 
[2024/8/19 4:0:44] 物品:金创药(小量)	怪物:28E9EB90僵尸50	地图:H201	X:161	Y:41 
[2024/8/19 4:0:44] 物品:魔法药(小量)	怪物:28E9EB90僵尸50	地图:H201	X:161	Y:41 
[2024/8/19 4:0:44] 物品:魔法药(小量)	怪物:28E9EB90僵尸50	地图:H201	X:161	Y:41 
[2024/8/19 4:0:44] 物品:魔法药(小量)	怪物:28E9EB90僵尸50	地图:H201	X:161	Y:41 
[2024/8/19 4:0:44] 物品:魔法药(小量)	怪物:28E9EB90僵尸50	地图:H201	X:161	Y:41 
[2024/8/19 4:0:53] 物品:强效太阳水	怪物:1EBEA1D0尸王8	地图:H201	X:158	Y:40 
[2024/8/19 4:0:53] 物品:强效太阳水	怪物:1EBEA1D0尸王8	地图:H201	X:158	Y:40 
[2024/8/19 4:0:53] 物品:强效太阳水	怪物:1EBEA1D0尸王8	地图:H201	X:158	Y:40 
[2024/8/19 4:0:53] 物品:强效太阳水	怪物:1EBEA1D0尸王8	地图:H201	X:158	Y:40 
[2024/8/19 4:0:53] 物品:强效太阳水	怪物:1EBEA1D0尸王8	地图:H201	X:158	Y:40 
[2024/8/19 4:0:53] 物品:强效金创药	怪物:1EBEA1D0尸王8	地图:H201	X:158	Y:40 
[2024/8/19 4:0:53] 物品:强效金创药	怪物:1EBEA1D0尸王8	地图:H201	X:158	Y:40 
[2024/8/19 4:0:53] 物品:强效魔法药	怪物:1EBEA1D0尸王8	地图:H201	X:158	Y:40 
[2024/8/19 4:0:53] 物品:强效魔法药	怪物:1EBEA1D0尸王8	地图:H201	X:158	Y:40 
[2024/8/19 4:0:53] 物品:魅力戒指	怪物:1EBEA1D0尸王8	地图:H201	X:158	Y:40 
[2024/8/19 4:0:53] 物品:黑檀手镯	怪物:1EBEA1D0尸王8	地图:H201	X:158	Y:40 
[2024/8/19 4:0:54] 物品:强效魔法药	怪物:2DD36820魔龙血蛙	地图:66	X:184	Y:46 
[2024/8/19 4:0:54] 物品:放大镜	怪物:18E98780祖玛弓箭手8	地图:H204	X:91	Y:55 
[2024/8/19 4:0:58] 物品:强效魔法药	怪物:29551AC0魔龙刀兵1	地图:66	X:186	Y:46 
[2024/8/19 4:0:58] 物品:金创药(小量)	怪物:271B8D50僵尸4	地图:H201	X:104	Y:109 
[2024/8/19 4:0:58] 物品:隐身术	怪物:2E71BB80僵尸40	地图:H201	X:159	Y:46 
[2024/8/19 4:0:58] 物品:抗拒火环	怪物:2E71BB80僵尸40	地图:H201	X:159	Y:46 
[2024/8/19 4:0:58] 物品:精神力战法	怪物:2E71BB80僵尸40	地图:H201	X:159	Y:46 
[2024/8/19 4:0:58] 物品:火球术	怪物:2E71BB80僵尸40	地图:H201	X:159	Y:46 
[2024/8/19 4:0:58] 物品:治愈术	怪物:2E71BB80僵尸40	地图:H201	X:159	Y:46 
[2024/8/19 4:0:58] 物品:基本剑术	怪物:2E71BB80僵尸40	地图:H201	X:159	Y:46 
[2024/8/19 4:0:58] 物品:琥珀项链	怪物:2E71BB80僵尸40	地图:H201	X:159	Y:46 
[2024/8/19 4:0:58] 物品:黑檀项链	怪物:2E71BB80僵尸40	地图:H201	X:159	Y:46 
[2024/8/19 4:1:2] 物品:攻杀剑术	怪物:1B73D3F0僵尸40	地图:H201	X:156	Y:48 
[2024/8/19 4:1:2] 物品:隐身术	怪物:1B73D3F0僵尸40	地图:H201	X:156	Y:48 
[2024/8/19 4:1:2] 物品:大火球	怪物:1B73D3F0僵尸40	地图:H201	X:156	Y:48 
[2024/8/19 4:1:2] 物品:瞬息移动	怪物:1B73D3F0僵尸40	地图:H201	X:156	Y:48 
[2024/8/19 4:1:2] 物品:抗拒火环	怪物:1B73D3F0僵尸40	地图:H201	X:156	Y:48 
[2024/8/19 4:1:2] 物品:精神力战法	怪物:1B73D3F0僵尸40	地图:H201	X:156	Y:48 
[2024/8/19 4:1:2] 物品:火球术	怪物:1B73D3F0僵尸40	地图:H201	X:156	Y:48 
[2024/8/19 4:1:2] 物品:治愈术	怪物:1B73D3F0僵尸40	地图:H201	X:156	Y:48 
[2024/8/19 4:1:2] 物品:基本剑术	怪物:1B73D3F0僵尸40	地图:H201	X:156	Y:48 
[2024/8/19 4:1:2] 物品:八荒	怪物:1B73D3F0僵尸40	地图:H201	X:156	Y:48 
[2024/8/19 4:1:2] 物品:中型盔甲(男)	怪物:1B73D3F0僵尸40	地图:H201	X:156	Y:48 
[2024/8/19 4:1:8] 物品:爆裂火焰	怪物:2A27B570恶灵尸王	地图:H201	X:157	Y:48 
[2024/8/19 4:1:8] 物品:隐身术	怪物:2A27B570恶灵尸王	地图:H201	X:157	Y:48 
[2024/8/19 4:1:8] 物品:瞬息移动	怪物:2A27B570恶灵尸王	地图:H201	X:157	Y:48 
[2024/8/19 4:1:10] 物品:泰坦戒指	怪物:2DAFE6A0魔龙射手1	地图:66	X:176	Y:45 
[2024/8/19 4:1:18] 物品:金创药(小量)	怪物:18300C00僵尸4	地图:H201	X:158	Y:48 
[2024/8/19 4:1:23] 物品:强效金创药	怪物:1CD98200魔龙刀兵1	地图:66	X:175	Y:46 
[2024/8/19 4:1:23] 物品:强效魔法药	怪物:1CD98200魔龙刀兵1	地图:66	X:175	Y:46 
[2024/8/19 4:1:24] 物品:降妖除魔戒指	怪物:289022B0红野猪8	地图:H002	X:157	Y:33 
[2024/8/19 4:1:25] 物品:降妖除魔戒指	怪物:30DB4C30魔龙邪眼	地图:66	X:175	Y:47 
[2024/8/19 4:1:25] 物品:骷髅头盔	怪物:30DB4C30魔龙邪眼	地图:66	X:175	Y:47 
[2024/8/19 4:1:25] 物品:蓝翡翠项链	怪物:30DB4C30魔龙邪眼	地图:66	X:175	Y:47 
[2024/8/19 4:1:26] 物品:魔法药(小量)	怪物:1C2D67D0僵尸4	地图:H201	X:160	Y:47 
[2024/8/19 4:1:27] 物品:金创药(中量)	怪物:18C27FD0祖玛卫士8	地图:H204	X:34	Y:31 
[2024/8/19 4:1:27] 物品:道士头盔	怪物:18C27FD0祖玛卫士8	地图:H204	X:34	Y:31 
[2024/8/19 4:1:30] 物品:攻击力药水	怪物:18113D20僵尸4	地图:H201	X:89	Y:121 
[2024/8/19 4:1:30] 物品:大火球	怪物:28E9EB90僵尸50	地图:H201	X:158	Y:45 
[2024/8/19 4:1:30] 物品:抗拒火环	怪物:28E9EB90僵尸50	地图:H201	X:158	Y:45 
[2024/8/19 4:1:30] 物品:精神力战法	怪物:28E9EB90僵尸50	地图:H201	X:158	Y:45 
[2024/8/19 4:1:30] 物品:火球术	怪物:28E9EB90僵尸50	地图:H201	X:158	Y:45 
[2024/8/19 4:1:30] 物品:治愈术	怪物:28E9EB90僵尸50	地图:H201	X:158	Y:45 
[2024/8/19 4:1:30] 物品:基本剑术	怪物:28E9EB90僵尸50	地图:H201	X:158	Y:45 
[2024/8/19 4:1:30] 物品:海魂	怪物:28E9EB90僵尸50	地图:H201	X:158	Y:45 
[2024/8/19 4:1:30] 物品:凌风	怪物:28E9EB90僵尸50	地图:H201	X:158	Y:45 
[2024/8/19 4:1:30] 物品:蓝色水晶戒指	怪物:28E9EB90僵尸50	地图:H201	X:158	Y:45 
[2024/8/19 4:1:30] 物品:琥珀项链	怪物:28E9EB90僵尸50	地图:H201	X:158	Y:45 
[2024/8/19 4:1:30] 物品:凤凰明珠	怪物:28E9EB90僵尸50	地图:H201	X:158	Y:45 
[2024/8/19 4:1:30] 物品:灯笼项链	怪物:28E9EB90僵尸50	地图:H201	X:158	Y:45 
[2024/8/19 4:1:30] 物品:铁剑	怪物:28E9EB90僵尸50	地图:H201	X:158	Y:45 
[2024/8/19 4:1:30] 物品:短剑	怪物:28E9EB90僵尸50	地图:H201	X:158	Y:45 
[2024/8/19 4:1:30] 物品:轻型盔甲(男)	怪物:28E9EB90僵尸50	地图:H201	X:158	Y:45 
[2024/8/19 4:1:30] 物品:轻型盔甲(女)	怪物:28E9EB90僵尸50	地图:H201	X:158	Y:45 
[2024/8/19 4:1:30] 物品:中型盔甲(男)	怪物:28E9EB90僵尸50	地图:H201	X:158	Y:45 
[2024/8/19 4:1:30] 物品:青铜斧	怪物:28E9EB90僵尸50	地图:H201	X:158	Y:45 
[2024/8/19 4:1:30] 物品:黑檀项链	怪物:28E9EB90僵尸50	地图:H201	X:158	Y:45 
[2024/8/19 4:1:30] 物品:黄色水晶项链	怪物:28E9EB90僵尸50	地图:H201	X:158	Y:45 
[2024/8/19 4:1:30] 物品:黑色水晶项链	怪物:28E9EB90僵尸50	地图:H201	X:158	Y:45 
[2024/8/19 4:1:30] 物品:青铜头盔	怪物:28E9EB90僵尸50	地图:H201	X:158	Y:45 
[2024/8/19 4:1:30] 物品:金创药(小量)	怪物:28E9EB90僵尸50	地图:H201	X:158	Y:45 
[2024/8/19 4:1:30] 物品:金创药(小量)	怪物:28E9EB90僵尸50	地图:H201	X:158	Y:45 
[2024/8/19 4:1:30] 物品:金创药(小量)	怪物:28E9EB90僵尸50	地图:H201	X:158	Y:45 
[2024/8/19 4:1:30] 物品:金创药(小量)	怪物:28E9EB90僵尸50	地图:H201	X:158	Y:45 
[2024/8/19 4:1:30] 物品:魔法药(小量)	怪物:28E9EB90僵尸50	地图:H201	X:158	Y:45 
[2024/8/19 4:1:30] 物品:魔法药(小量)	怪物:28E9EB90僵尸50	地图:H201	X:158	Y:45 
[2024/8/19 4:1:30] 物品:魔法药(小量)	怪物:28E9EB90僵尸50	地图:H201	X:158	Y:45 
[2024/8/19 4:1:30] 物品:魔法药(小量)	怪物:28E9EB90僵尸50	地图:H201	X:158	Y:45 
[2024/8/19 4:1:39] 物品:疾光电影	怪物:27ECA1F0恶灵尸王	地图:H201	X:166	Y:46 
[2024/8/19 4:1:39] 物品:集体隐身术	怪物:27ECA1F0恶灵尸王	地图:H201	X:166	Y:46 
[2024/8/19 4:1:39] 物品:地狱火	怪物:27ECA1F0恶灵尸王	地图:H201	X:166	Y:46 
[2024/8/19 4:1:40] 物品:海魂	怪物:2A389830祖玛雕像8	地图:H204	X:17	Y:42 
[2024/8/19 4:1:43] 物品:金创药(小量)	怪物:304C7E70僵尸4	地图:H201	X:166	Y:47 
[2024/8/19 4:1:43] 物品:魔法药(小量)	怪物:304C7E70僵尸4	地图:H201	X:166	Y:47 
[2024/8/19 4:1:44] 物品:魔力手镯	怪物:2DEF6420祖玛卫士8	地图:H204	X:8	Y:52 
[2024/8/19 4:1:53] 物品:魔法药(小量)	怪物:1A84D160僵尸4	地图:H201	X:78	Y:99 
[2024/8/19 4:1:58] 物品:魔法药(小量)	怪物:284C23C0僵尸4	地图:H201	X:84	Y:100 
[2024/8/19 4:1:58] 物品:强效金创药	怪物:23531870魔龙血蛙	地图:66	X:176	Y:36 
[2024/8/19 4:2:3] 物品:强效太阳水	怪物:1A824DF0恶灵尸王	地图:H201	X:170	Y:45 
[2024/8/19 4:2:3] 物品:刺杀剑术	怪物:1A824DF0恶灵尸王	地图:H201	X:170	Y:45 
[2024/8/19 4:2:3] 物品:集体隐身术	怪物:1A824DF0恶灵尸王	地图:H201	X:170	Y:45 
[2024/8/19 4:2:10] 物品:太阳水	怪物:06272790祖玛雕像8	地图:H204	X:24	Y:27 
[2024/8/19 4:2:10] 物品:雷电术	怪物:1E9F6EC0僵尸1	地图:H201	X:170	Y:45 
[2024/8/19 4:2:11] 物品:太阳水	怪物:27E309B0魔龙破甲兵	地图:66	X:176	Y:38 
[2024/8/19 4:2:11] 物品:道士头盔	怪物:27E309B0魔龙破甲兵	地图:66	X:176	Y:38 
[2024/8/19 4:2:14] 物品:蓝翡翠项链	怪物:1F07CA80祖玛弓箭手8	地图:H204	X:25	Y:25 
[2024/8/19 4:2:14] 物品:金创药(小量)	怪物:28BB2E00僵尸4	地图:H201	X:95	Y:83 
[2024/8/19 4:2:16] 物品:金创药(小量)	怪物:27815F40僵尸5	地图:H201	X:95	Y:84 
[2024/8/19 4:2:18] 物品:灵魂战衣(女)	怪物:0D4B47C0祖玛卫士8	地图:H204	X:20	Y:25 
[2024/8/19 4:2:18] 物品:八荒	怪物:0D4B47C0祖玛卫士8	地图:H204	X:20	Y:25 
[2024/8/19 4:2:18] 物品:道士头盔	怪物:0D4B47C0祖玛卫士8	地图:H204	X:20	Y:25 
[2024/8/19 4:2:18] 物品:死神手套	怪物:0D4B47C0祖玛卫士8	地图:H204	X:20	Y:25 
[2024/8/19 4:2:18] 物品:珍珠戒指	怪物:0D4B47C0祖玛卫士8	地图:H204	X:20	Y:25 
[2024/8/19 4:2:20] 物品:强效太阳水	怪物:31E02200尸王8	地图:H201	X:169	Y:53 
[2024/8/19 4:2:20] 物品:强效太阳水	怪物:31E02200尸王8	地图:H201	X:169	Y:53 
[2024/8/19 4:2:20] 物品:强效太阳水	怪物:31E02200尸王8	地图:H201	X:169	Y:53 
[2024/8/19 4:2:20] 物品:强效太阳水	怪物:31E02200尸王8	地图:H201	X:169	Y:53 
[2024/8/19 4:2:20] 物品:强效太阳水	怪物:31E02200尸王8	地图:H201	X:169	Y:53 
[2024/8/19 4:2:20] 物品:强效金创药	怪物:31E02200尸王8	地图:H201	X:169	Y:53 
[2024/8/19 4:2:20] 物品:强效金创药	怪物:31E02200尸王8	地图:H201	X:169	Y:53 
[2024/8/19 4:2:20] 物品:强效魔法药	怪物:31E02200尸王8	地图:H201	X:169	Y:53 
[2024/8/19 4:2:20] 物品:强效魔法药	怪物:31E02200尸王8	地图:H201	X:169	Y:53 
[2024/8/19 4:2:20] 物品:黑色水晶戒指	怪物:31E02200尸王8	地图:H201	X:169	Y:53 
[2024/8/19 4:2:20] 物品:蛇眼戒指	怪物:31E02200尸王8	地图:H201	X:169	Y:53 
[2024/8/19 4:2:20] 物品:生铁戒指	怪物:31E02200尸王8	地图:H201	X:169	Y:53 
[2024/8/19 4:2:20] 物品:死神手套	怪物:31E02200尸王8	地图:H201	X:169	Y:53 
[2024/8/19 4:2:20] 物品:魔力手镯	怪物:31E02200尸王8	地图:H201	X:169	Y:53 
[2024/8/19 4:2:21] 物品:雷电术	怪物:2C7B42E0僵尸5	地图:H201	X:168	Y:53 
[2024/8/19 4:2:23] 物品:隐身术	怪物:2D9AC970僵尸40	地图:H201	X:168	Y:54 
[2024/8/19 4:2:23] 物品:灵魂火符	怪物:2D9AC970僵尸40	地图:H201	X:168	Y:54 
[2024/8/19 4:2:23] 物品:抗拒火环	怪物:2D9AC970僵尸40	地图:H201	X:168	Y:54 
[2024/8/19 4:2:23] 物品:精神力战法	怪物:2D9AC970僵尸40	地图:H201	X:168	Y:54 
[2024/8/19 4:2:23] 物品:火球术	怪物:2D9AC970僵尸40	地图:H201	X:168	Y:54 
[2024/8/19 4:2:23] 物品:治愈术	怪物:2D9AC970僵尸40	地图:H201	X:168	Y:54 
[2024/8/19 4:2:23] 物品:基本剑术	怪物:2D9AC970僵尸40	地图:H201	X:168	Y:54 
[2024/8/19 4:2:23] 物品:短剑	怪物:2D9AC970僵尸40	地图:H201	X:168	Y:54 
[2024/8/19 4:2:23] 物品:黄色水晶项链	怪物:2D9AC970僵尸40	地图:H201	X:168	Y:54 
[2024/8/19 4:2:23] 物品:金创药(小量)	怪物:2D9AC970僵尸40	地图:H201	X:168	Y:54 
[2024/8/19 4:2:23] 物品:魔法药(小量)	怪物:2D9AC970僵尸40	地图:H201	X:168	Y:54 
[2024/8/19 4:2:25] 物品:魔法药(小量)	怪物:038B4240僵尸4	地图:H201	X:169	Y:54 
[2024/8/19 4:2:27] 物品:治愈术	怪物:27815F40僵尸5	地图:H201	X:95	Y:84 
[2024/8/19 4:2:28] 物品:强效太阳水	怪物:1EC217D0祖玛卫士8	地图:H204	X:38	Y:20 
[2024/8/19 4:2:33] 物品:大火球	怪物:2D9AC970僵尸40	地图:H201	X:168	Y:54 
[2024/8/19 4:2:33] 物品:雷电术	怪物:2D9AC970僵尸40	地图:H201	X:168	Y:54 
[2024/8/19 4:2:33] 物品:抗拒火环	怪物:2D9AC970僵尸40	地图:H201	X:168	Y:54 
[2024/8/19 4:2:33] 物品:精神力战法	怪物:2D9AC970僵尸40	地图:H201	X:168	Y:54 
[2024/8/19 4:2:33] 物品:火球术	怪物:2D9AC970僵尸40	地图:H201	X:168	Y:54 
[2024/8/19 4:2:33] 物品:治愈术	怪物:2D9AC970僵尸40	地图:H201	X:168	Y:54 
[2024/8/19 4:2:33] 物品:基本剑术	怪物:2D9AC970僵尸40	地图:H201	X:168	Y:54 
[2024/8/19 4:2:33] 物品:八荒	怪物:2D9AC970僵尸40	地图:H201	X:168	Y:54 
[2024/8/19 4:2:33] 物品:黑色水晶项链	怪物:2D9AC970僵尸40	地图:H201	X:168	Y:54 
