[2024/8/19 22:0:0] 物品:强效太阳水	怪物:280A5830祖玛雕像8	地图:H204	X:49	Y:10 
[2024/8/19 22:0:13] 物品:强效魔法药	怪物:15B58290白野猪8	地图:H204	X:59	Y:16 
[2024/8/19 22:0:13] 物品:强效魔法药	怪物:15B58290白野猪8	地图:H204	X:59	Y:16 
[2024/8/19 22:0:13] 物品:强效魔法药	怪物:15B58290白野猪8	地图:H204	X:59	Y:16 
[2024/8/19 22:0:13] 物品:强效魔法药	怪物:15B58290白野猪8	地图:H204	X:59	Y:16 
[2024/8/19 22:0:13] 物品:强效魔法药	怪物:15B58290白野猪8	地图:H204	X:59	Y:16 
[2024/8/19 22:0:13] 物品:强效魔法药	怪物:15B58290白野猪8	地图:H204	X:59	Y:16 
[2024/8/19 22:0:13] 物品:魔法长袍(女)	怪物:15B58290白野猪8	地图:H204	X:59	Y:16 
[2024/8/19 22:0:16] 物品:金手镯	怪物:2FB2CCA0牛魔法师8	地图:H010	X:363	Y:35 
[2024/8/19 22:0:20] 物品:强效太阳水	怪物:05BCA4C0尸王	地图:H201	X:82	Y:171 
[2024/8/19 22:0:20] 物品:强效太阳水	怪物:05BCA4C0尸王	地图:H201	X:82	Y:171 
[2024/8/19 22:0:20] 物品:强效太阳水	怪物:05BCA4C0尸王	地图:H201	X:82	Y:171 
[2024/8/19 22:0:20] 物品:强效太阳水	怪物:05BCA4C0尸王	地图:H201	X:82	Y:171 
[2024/8/19 22:0:20] 物品:强效太阳水	怪物:05BCA4C0尸王	地图:H201	X:82	Y:171 
[2024/8/19 22:0:20] 物品:太阳水	怪物:05BCA4C0尸王	地图:H201	X:82	Y:171 
[2024/8/19 22:0:20] 物品:太阳水	怪物:05BCA4C0尸王	地图:H201	X:82	Y:171 
[2024/8/19 22:0:20] 物品:太阳水	怪物:05BCA4C0尸王	地图:H201	X:82	Y:171 
[2024/8/19 22:0:20] 物品:太阳水	怪物:05BCA4C0尸王	地图:H201	X:82	Y:171 
[2024/8/19 22:0:20] 物品:太阳水	怪物:05BCA4C0尸王	地图:H201	X:82	Y:171 
[2024/8/19 22:0:20] 物品:太阳水	怪物:05BCA4C0尸王	地图:H201	X:82	Y:171 
[2024/8/19 22:0:20] 物品:太阳水	怪物:05BCA4C0尸王	地图:H201	X:82	Y:171 
[2024/8/19 22:0:20] 物品:太阳水	怪物:05BCA4C0尸王	地图:H201	X:82	Y:171 
[2024/8/19 22:0:20] 物品:太阳水	怪物:05BCA4C0尸王	地图:H201	X:82	Y:171 
[2024/8/19 22:0:20] 物品:太阳水	怪物:05BCA4C0尸王	地图:H201	X:82	Y:171 
[2024/8/19 22:0:20] 物品:金创药(中量)	怪物:05BCA4C0尸王	地图:H201	X:82	Y:171 
[2024/8/19 22:0:20] 物品:金创药(中量)	怪物:05BCA4C0尸王	地图:H201	X:82	Y:171 
[2024/8/19 22:0:20] 物品:金创药(中量)	怪物:05BCA4C0尸王	地图:H201	X:82	Y:171 
[2024/8/19 22:0:20] 物品:强效金创药	怪物:05BCA4C0尸王	地图:H201	X:82	Y:171 
[2024/8/19 22:0:20] 物品:强效金创药	怪物:05BCA4C0尸王	地图:H201	X:82	Y:171 
[2024/8/19 22:0:20] 物品:魔法药(中量)	怪物:05BCA4C0尸王	地图:H201	X:82	Y:171 
[2024/8/19 22:0:20] 物品:魔法药(中量)	怪物:05BCA4C0尸王	地图:H201	X:82	Y:171 
[2024/8/19 22:0:20] 物品:魔法药(中量)	怪物:05BCA4C0尸王	地图:H201	X:82	Y:171 
[2024/8/19 22:0:20] 物品:强效魔法药	怪物:05BCA4C0尸王	地图:H201	X:82	Y:171 
[2024/8/19 22:0:20] 物品:强效魔法药	怪物:05BCA4C0尸王	地图:H201	X:82	Y:171 
[2024/8/19 22:0:20] 物品:死神手套	怪物:05BCA4C0尸王	地图:H201	X:82	Y:171 
[2024/8/19 22:0:20] 物品:蓝翡翠项链	怪物:05BCA4C0尸王	地图:H201	X:82	Y:171 
[2024/8/19 22:0:20] 物品:道士手镯	怪物:05BCA4C0尸王	地图:H201	X:82	Y:171 
[2024/8/19 22:0:20] 物品:黑檀手镯	怪物:05BCA4C0尸王	地图:H201	X:82	Y:171 
[2024/8/19 22:0:20] 物品:小手镯	怪物:05BCA4C0尸王	地图:H201	X:82	Y:171 
[2024/8/19 22:0:20] 物品:心灵启示	怪物:05BCA4C0尸王	地图:H201	X:82	Y:171 
[2024/8/19 22:0:20] 物品:雷电术	怪物:05BCA4C0尸王	地图:H201	X:82	Y:171 
[2024/8/19 22:0:20] 物品:诱惑之光	怪物:05BCA4C0尸王	地图:H201	X:82	Y:171 
[2024/8/19 22:0:20] 物品:瞬息移动	怪物:05BCA4C0尸王	地图:H201	X:82	Y:171 
[2024/8/19 22:0:20] 物品:抗拒火环	怪物:05BCA4C0尸王	地图:H201	X:82	Y:171 
[2024/8/19 22:0:20] 物品:精神力战法	怪物:05BCA4C0尸王	地图:H201	X:82	Y:171 
[2024/8/19 22:0:20] 物品:治愈术	怪物:05BCA4C0尸王	地图:H201	X:82	Y:171 
[2024/8/19 22:0:20] 物品:基本剑术	怪物:05BCA4C0尸王	地图:H201	X:82	Y:171 
[2024/8/19 22:0:20] 物品:火球术	怪物:05BCA4C0尸王	地图:H201	X:82	Y:171 
[2024/8/19 22:0:26] 物品:强效太阳水	怪物:2F2E64A0血僵尸0	地图:D10061	X:21	Y:23 
[2024/8/19 22:0:26] 物品:强效太阳水	怪物:2F2E64A0血僵尸0	地图:D10061	X:21	Y:23 
[2024/8/19 22:0:26] 物品:太阳水	怪物:2F2E64A0血僵尸0	地图:D10061	X:21	Y:23 
[2024/8/19 22:0:26] 物品:太阳水	怪物:2F2E64A0血僵尸0	地图:D10061	X:21	Y:23 
[2024/8/19 22:0:26] 物品:疗伤药	怪物:2F2E64A0血僵尸0	地图:D10061	X:21	Y:23 
[2024/8/19 22:0:26] 物品:疗伤药	怪物:2F2E64A0血僵尸0	地图:D10061	X:21	Y:23 
[2024/8/19 22:0:26] 物品:强效金创药	怪物:2F2E64A0血僵尸0	地图:D10061	X:21	Y:23 
[2024/8/19 22:0:26] 物品:强效金创药	怪物:2F2E64A0血僵尸0	地图:D10061	X:21	Y:23 
[2024/8/19 22:0:26] 物品:强效魔法药	怪物:2F2E64A0血僵尸0	地图:D10061	X:21	Y:23 
[2024/8/19 22:0:26] 物品:强效魔法药	怪物:2F2E64A0血僵尸0	地图:D10061	X:21	Y:23 
[2024/8/19 22:0:26] 物品:强效金创药	怪物:2F2E64A0血僵尸0	地图:D10061	X:21	Y:23 
[2024/8/19 22:0:26] 物品:强效金创药	怪物:2F2E64A0血僵尸0	地图:D10061	X:21	Y:23 
[2024/8/19 22:0:26] 物品:强效魔法药	怪物:2F2E64A0血僵尸0	地图:D10061	X:21	Y:23 
[2024/8/19 22:0:26] 物品:强效魔法药	怪物:2F2E64A0血僵尸0	地图:D10061	X:21	Y:23 
[2024/8/19 22:0:26] 物品:蛇眼戒指	怪物:2F2E64A0血僵尸0	地图:D10061	X:21	Y:23 
[2024/8/19 22:0:26] 物品:道德戒指	怪物:2F2E64A0血僵尸0	地图:D10061	X:21	Y:23 
[2024/8/19 22:0:26] 物品:圣言术	怪物:2F2E64A0血僵尸0	地图:D10061	X:21	Y:23 
[2024/8/19 22:0:26] 物品:金戒指	怪物:03BA0BE0牛魔法师8	地图:H010	X:356	Y:32 
[2024/8/19 22:0:27] 物品:金创药(小量)	怪物:0D631A20僵尸4	地图:H201	X:76	Y:168 
[2024/8/19 22:0:29] 物品:太阳水	怪物:2AB143F0钢牙蜘蛛	地图:D10061	X:20	Y:24 
[2024/8/19 22:0:29] 物品:强效金创药	怪物:2AB143F0钢牙蜘蛛	地图:D10061	X:20	Y:24 
[2024/8/19 22:0:29] 物品:强效魔法药	怪物:2AB143F0钢牙蜘蛛	地图:D10061	X:20	Y:24 
[2024/8/19 22:0:29] 物品:重盔甲(女)	怪物:2AB143F0钢牙蜘蛛	地图:D10061	X:20	Y:24 
[2024/8/19 22:0:29] 物品:强效太阳水	怪物:27969020黑锷蜘蛛0	地图:D10061	X:20	Y:25 
[2024/8/19 22:0:29] 物品:强效太阳水	怪物:27969020黑锷蜘蛛0	地图:D10061	X:20	Y:25 
[2024/8/19 22:0:29] 物品:太阳水	怪物:27969020黑锷蜘蛛0	地图:D10061	X:20	Y:25 
[2024/8/19 22:0:29] 物品:太阳水	怪物:27969020黑锷蜘蛛0	地图:D10061	X:20	Y:25 
[2024/8/19 22:0:29] 物品:疗伤药	怪物:27969020黑锷蜘蛛0	地图:D10061	X:20	Y:25 
[2024/8/19 22:0:29] 物品:疗伤药	怪物:27969020黑锷蜘蛛0	地图:D10061	X:20	Y:25 
[2024/8/19 22:0:29] 物品:强效金创药	怪物:27969020黑锷蜘蛛0	地图:D10061	X:20	Y:25 
[2024/8/19 22:0:29] 物品:强效金创药	怪物:27969020黑锷蜘蛛0	地图:D10061	X:20	Y:25 
[2024/8/19 22:0:29] 物品:强效魔法药	怪物:27969020黑锷蜘蛛0	地图:D10061	X:20	Y:25 
[2024/8/19 22:0:29] 物品:强效魔法药	怪物:27969020黑锷蜘蛛0	地图:D10061	X:20	Y:25 
[2024/8/19 22:0:29] 物品:强效金创药	怪物:27969020黑锷蜘蛛0	地图:D10061	X:20	Y:25 
[2024/8/19 22:0:29] 物品:强效金创药	怪物:27969020黑锷蜘蛛0	地图:D10061	X:20	Y:25 
[2024/8/19 22:0:29] 物品:强效魔法药	怪物:27969020黑锷蜘蛛0	地图:D10061	X:20	Y:25 
[2024/8/19 22:0:29] 物品:强效魔法药	怪物:27969020黑锷蜘蛛0	地图:D10061	X:20	Y:25 
[2024/8/19 22:0:32] 物品:破魂	怪物:28ED8DF0祖玛卫士8	地图:H204	X:73	Y:21 
[2024/8/19 22:0:32] 物品:骷髅头盔	怪物:28ED8DF0祖玛卫士8	地图:H204	X:73	Y:21 
[2024/8/19 22:0:33] 物品:重盔甲(男)	怪物:289721F0牛魔侍卫8	地图:H010	X:356	Y:31 
[2024/8/19 22:0:42] 物品:强效太阳水	怪物:2F2E64A0血僵尸0	地图:D10061	X:19	Y:24 
[2024/8/19 22:0:42] 物品:强效太阳水	怪物:2F2E64A0血僵尸0	地图:D10061	X:19	Y:24 
[2024/8/19 22:0:42] 物品:太阳水	怪物:2F2E64A0血僵尸0	地图:D10061	X:19	Y:24 
[2024/8/19 22:0:42] 物品:太阳水	怪物:2F2E64A0血僵尸0	地图:D10061	X:19	Y:24 
[2024/8/19 22:0:42] 物品:疗伤药	怪物:2F2E64A0血僵尸0	地图:D10061	X:19	Y:24 
[2024/8/19 22:0:42] 物品:疗伤药	怪物:2F2E64A0血僵尸0	地图:D10061	X:19	Y:24 
[2024/8/19 22:0:42] 物品:强效金创药	怪物:2F2E64A0血僵尸0	地图:D10061	X:19	Y:24 
[2024/8/19 22:0:42] 物品:强效金创药	怪物:2F2E64A0血僵尸0	地图:D10061	X:19	Y:24 
[2024/8/19 22:0:42] 物品:强效魔法药	怪物:2F2E64A0血僵尸0	地图:D10061	X:19	Y:24 
[2024/8/19 22:0:42] 物品:强效魔法药	怪物:2F2E64A0血僵尸0	地图:D10061	X:19	Y:24 
[2024/8/19 22:0:42] 物品:强效金创药	怪物:2F2E64A0血僵尸0	地图:D10061	X:19	Y:24 
[2024/8/19 22:0:42] 物品:强效金创药	怪物:2F2E64A0血僵尸0	地图:D10061	X:19	Y:24 
[2024/8/19 22:0:42] 物品:强效魔法药	怪物:2F2E64A0血僵尸0	地图:D10061	X:19	Y:24 
[2024/8/19 22:0:42] 物品:强效魔法药	怪物:2F2E64A0血僵尸0	地图:D10061	X:19	Y:24 
[2024/8/19 22:0:42] 物品:地狱雷光	怪物:2F2E64A0血僵尸0	地图:D10061	X:19	Y:24 
[2024/8/19 22:0:43] 物品:强效太阳水	怪物:30D9CA10尸王8	地图:H201	X:94	Y:175 
[2024/8/19 22:0:43] 物品:强效太阳水	怪物:30D9CA10尸王8	地图:H201	X:94	Y:175 
[2024/8/19 22:0:43] 物品:强效太阳水	怪物:30D9CA10尸王8	地图:H201	X:94	Y:175 
[2024/8/19 22:0:43] 物品:强效太阳水	怪物:30D9CA10尸王8	地图:H201	X:94	Y:175 
[2024/8/19 22:0:43] 物品:强效太阳水	怪物:30D9CA10尸王8	地图:H201	X:94	Y:175 
[2024/8/19 22:0:43] 物品:强效金创药	怪物:30D9CA10尸王8	地图:H201	X:94	Y:175 
[2024/8/19 22:0:43] 物品:强效金创药	怪物:30D9CA10尸王8	地图:H201	X:94	Y:175 
[2024/8/19 22:0:43] 物品:强效魔法药	怪物:30D9CA10尸王8	地图:H201	X:94	Y:175 
[2024/8/19 22:0:43] 物品:强效魔法药	怪物:30D9CA10尸王8	地图:H201	X:94	Y:175 
[2024/8/19 22:0:43] 物品:蛇眼戒指	怪物:30D9CA10尸王8	地图:H201	X:94	Y:175 
[2024/8/19 22:0:43] 物品:凝霜	怪物:30D9CA10尸王8	地图:H201	X:94	Y:175 
[2024/8/19 22:0:43] 物品:道德戒指	怪物:30D9CA10尸王8	地图:H201	X:94	Y:175 
[2024/8/19 22:0:43] 物品:黑檀手镯	怪物:30D9CA10尸王8	地图:H201	X:94	Y:175 
[2024/8/19 22:0:43] 物品:魔力手镯	怪物:30D9CA10尸王8	地图:H201	X:94	Y:175 
[2024/8/19 22:0:43] 物品:野蛮冲撞	怪物:30D9CA10尸王8	地图:H201	X:94	Y:175 
[2024/8/19 22:0:47] 物品:金创药(小量)	怪物:1B9902A0僵尸5	地图:H201	X:94	Y:175 
[2024/8/19 22:0:53] 物品:强效金创药	怪物:187D9EC0牛魔将军8	地图:H010	X:348	Y:26 
[2024/8/19 22:0:53] 物品:道德戒指	怪物:187D9EC0牛魔将军8	地图:H010	X:348	Y:26 
[2024/8/19 22:1:0] 物品:太阳水	怪物:19E81540血巨人	地图:D10061	X:18	Y:25 
[2024/8/19 22:1:0] 物品:强效太阳水	怪物:19E81540血巨人	地图:D10061	X:18	Y:25 
[2024/8/19 22:1:0] 物品:强效金创药	怪物:19E81540血巨人	地图:D10061	X:18	Y:25 
[2024/8/19 22:1:0] 物品:强效魔法药	怪物:19E81540血巨人	地图:D10061	X:18	Y:25 
[2024/8/19 22:1:2] 物品:攻杀剑术	怪物:1E02E080僵尸5	地图:H201	X:109	Y:178 
[2024/8/19 22:1:3] 物品:强效太阳水	怪物:03872CB0牛魔祭司0	地图:H010	X:349	Y:25 
[2024/8/19 22:1:3] 物品:强效太阳水	怪物:03872CB0牛魔祭司0	地图:H010	X:349	Y:25 
[2024/8/19 22:1:3] 物品:强效太阳水	怪物:03872CB0牛魔祭司0	地图:H010	X:349	Y:25 
[2024/8/19 22:1:3] 物品:太阳水	怪物:03872CB0牛魔祭司0	地图:H010	X:349	Y:25 
[2024/8/19 22:1:3] 物品:太阳水	怪物:03872CB0牛魔祭司0	地图:H010	X:349	Y:25 
[2024/8/19 22:1:3] 物品:太阳水	怪物:03872CB0牛魔祭司0	地图:H010	X:349	Y:25 
[2024/8/19 22:1:3] 物品:太阳水	怪物:03872CB0牛魔祭司0	地图:H010	X:349	Y:25 
[2024/8/19 22:1:3] 物品:井中月	怪物:03872CB0牛魔祭司0	地图:H010	X:349	Y:25 
[2024/8/19 22:1:3] 物品:凝霜	怪物:03872CB0牛魔祭司0	地图:H010	X:349	Y:25 
[2024/8/19 22:1:4] 物品:魔法长袍(男)	怪物:18056F20黑野猪8	地图:H002	X:309	Y:76 
[2024/8/19 22:1:5] 物品:重盔甲(男)	怪物:28A1CC40牛魔侍卫8	地图:H010	X:348	Y:25 
[2024/8/19 22:1:7] 物品:金创药(小量)	怪物:27D013F0僵尸5	地图:H201	X:111	Y:181 
[2024/8/19 22:1:10] 物品:凝霜	怪物:2ECCFBE0祖玛弓箭手8	地图:H204	X:48	Y:55 
[2024/8/19 22:1:13] 物品:金创药(小量)	怪物:2BE03D80僵尸4	地图:H201	X:112	Y:180 
[2024/8/19 22:1:13] 物品:道士手镯	怪物:23F5E2B0牛魔法师8	地图:H010	X:342	Y:30 
[2024/8/19 22:1:17] 物品:魔法药(小量)	怪物:052DF4F0僵尸4	地图:H201	X:111	Y:181 
[2024/8/19 22:1:19] 物品:太阳水	怪物:2F10D2A0黑色恶蛆8	地图:H006	X:93	Y:57 
[2024/8/19 22:1:21] 物品:金戒指	怪物:2980AC10牛魔侍卫8	地图:H010	X:341	Y:28 
[2024/8/19 22:1:21] 物品:蓝翡翠项链	怪物:2980AC10牛魔侍卫8	地图:H010	X:341	Y:28 
[2024/8/19 22:1:25] 物品:强效太阳水	怪物:18BAC9F0尸王8	地图:H201	X:110	Y:181 
[2024/8/19 22:1:25] 物品:强效太阳水	怪物:18BAC9F0尸王8	地图:H201	X:110	Y:181 
[2024/8/19 22:1:25] 物品:强效太阳水	怪物:18BAC9F0尸王8	地图:H201	X:110	Y:181 
[2024/8/19 22:1:25] 物品:强效太阳水	怪物:18BAC9F0尸王8	地图:H201	X:110	Y:181 
[2024/8/19 22:1:25] 物品:强效太阳水	怪物:18BAC9F0尸王8	地图:H201	X:110	Y:181 
[2024/8/19 22:1:25] 物品:强效金创药	怪物:18BAC9F0尸王8	地图:H201	X:110	Y:181 
[2024/8/19 22:1:25] 物品:强效金创药	怪物:18BAC9F0尸王8	地图:H201	X:110	Y:181 
[2024/8/19 22:1:25] 物品:强效魔法药	怪物:18BAC9F0尸王8	地图:H201	X:110	Y:181 
[2024/8/19 22:1:25] 物品:强效魔法药	怪物:18BAC9F0尸王8	地图:H201	X:110	Y:181 
[2024/8/19 22:1:25] 物品:黑色水晶戒指	怪物:18BAC9F0尸王8	地图:H201	X:110	Y:181 
[2024/8/19 22:1:25] 物品:蛇眼戒指	怪物:18BAC9F0尸王8	地图:H201	X:110	Y:181 
[2024/8/19 22:1:25] 物品:道德戒指	怪物:18BAC9F0尸王8	地图:H201	X:110	Y:181 
[2024/8/19 22:1:25] 物品:黑檀手镯	怪物:18BAC9F0尸王8	地图:H201	X:110	Y:181 
[2024/8/19 22:1:25] 物品:狂风戒指	怪物:23501160牛魔侍卫8	地图:H010	X:342	Y:28 
[2024/8/19 22:1:29] 物品:强效太阳水	怪物:24577CA0尸王8	地图:H201	X:110	Y:179 
[2024/8/19 22:1:29] 物品:强效太阳水	怪物:24577CA0尸王8	地图:H201	X:110	Y:179 
[2024/8/19 22:1:29] 物品:强效太阳水	怪物:24577CA0尸王8	地图:H201	X:110	Y:179 
[2024/8/19 22:1:29] 物品:强效太阳水	怪物:24577CA0尸王8	地图:H201	X:110	Y:179 
[2024/8/19 22:1:29] 物品:强效太阳水	怪物:24577CA0尸王8	地图:H201	X:110	Y:179 
[2024/8/19 22:1:29] 物品:强效金创药	怪物:24577CA0尸王8	地图:H201	X:110	Y:179 
[2024/8/19 22:1:29] 物品:强效金创药	怪物:24577CA0尸王8	地图:H201	X:110	Y:179 
[2024/8/19 22:1:29] 物品:强效魔法药	怪物:24577CA0尸王8	地图:H201	X:110	Y:179 
[2024/8/19 22:1:29] 物品:强效魔法药	怪物:24577CA0尸王8	地图:H201	X:110	Y:179 
[2024/8/19 22:1:29] 物品:生铁戒指	怪物:24577CA0尸王8	地图:H201	X:110	Y:179 
[2024/8/19 22:1:29] 物品:死神手套	怪物:24577CA0尸王8	地图:H201	X:110	Y:179 
[2024/8/19 22:1:29] 物品:凝霜	怪物:24577CA0尸王8	地图:H201	X:110	Y:179 
[2024/8/19 22:1:29] 物品:黑檀手镯	怪物:24577CA0尸王8	地图:H201	X:110	Y:179 
[2024/8/19 22:1:31] 物品:灵魂战衣(女)	怪物:18507090牛魔法师8	地图:H010	X:342	Y:30 
[2024/8/19 22:1:31] 物品:魔法长袍(男)	怪物:18507090牛魔法师8	地图:H010	X:342	Y:30 
[2024/8/19 22:1:33] 物品:重盔甲(女)	怪物:1C715A80牛魔侍卫8	地图:H010	X:341	Y:29 
[2024/8/19 22:1:34] 物品:黑檀手镯	怪物:280429E0牛魔法师8	地图:H010	X:341	Y:30 
[2024/8/19 22:1:44] 物品:魔法药(小量)	怪物:1DF65F40僵尸5	地图:H201	X:110	Y:188 
[2024/8/19 22:1:44] 物品:神圣战甲术	怪物:1DF65F40僵尸5	地图:H201	X:110	Y:188 
[2024/8/19 22:1:46] 物品:竹笛	怪物:1A645520祖玛雕像8	地图:H204	X:40	Y:60 
[2024/8/19 22:1:47] 物品:强效魔法药	怪物:149983B0牛魔法师8	地图:H010	X:332	Y:36 
[2024/8/19 22:1:47] 物品:重盔甲(女)	怪物:149983B0牛魔法师8	地图:H010	X:332	Y:36 
[2024/8/19 22:1:51] 物品:魔法药(小量)	怪物:27D013F0僵尸5	地图:H201	X:112	Y:182 
[2024/8/19 22:1:52] 物品:琥珀项链	怪物:2DBD3AB0祖玛卫士8	地图:H204	X:40	Y:59 
[2024/8/19 22:1:53] 物品:放大镜	怪物:31E92AC0祖玛卫士8	地图:H204	X:41	Y:60 
[2024/8/19 22:1:55] 物品:精神力药水	怪物:1DF65F40僵尸5	地图:H201	X:111	Y:187 
[2024/8/19 22:1:58] 物品:强效金创药	怪物:290666F0祖玛弓箭手8	地图:H204	X:39	Y:62 
[2024/8/19 22:1:58] 物品:强效太阳水	怪物:180D2BD0血僵尸	地图:D10061	X:18	Y:23 
[2024/8/19 22:1:58] 物品:强效太阳水	怪物:180D2BD0血僵尸	地图:D10061	X:18	Y:23 
[2024/8/19 22:1:58] 物品:疗伤药	怪物:180D2BD0血僵尸	地图:D10061	X:18	Y:23 
[2024/8/19 22:1:58] 物品:疗伤药	怪物:180D2BD0血僵尸	地图:D10061	X:18	Y:23 
[2024/8/19 22:1:58] 物品:强效金创药	怪物:180D2BD0血僵尸	地图:D10061	X:18	Y:23 
[2024/8/19 22:1:58] 物品:强效金创药	怪物:180D2BD0血僵尸	地图:D10061	X:18	Y:23 
[2024/8/19 22:1:58] 物品:强效魔法药	怪物:180D2BD0血僵尸	地图:D10061	X:18	Y:23 
[2024/8/19 22:1:58] 物品:强效金创药	怪物:180D2BD0血僵尸	地图:D10061	X:18	Y:23 
[2024/8/19 22:1:58] 物品:强效魔法药	怪物:180D2BD0血僵尸	地图:D10061	X:18	Y:23 
[2024/8/19 22:2:1] 物品:强效太阳水	怪物:297AF0F0牛魔祭司0	地图:H010	X:334	Y:37 
