[2024/8/17 3:0:10] 物品:黑檀项链	怪物:28BD3670骷髅	地图:D003	X:302	Y:302 
[2024/8/17 3:4:4] 物品:金创药(小量)	怪物:2773DA40骷髅0	地图:D003	X:328	Y:98 
[2024/8/17 3:4:4] 物品:魔法药(小量)	怪物:2773DA40骷髅0	地图:D003	X:328	Y:98 
[2024/8/17 3:4:4] 物品:魔法药(小量)	怪物:2773DA40骷髅0	地图:D003	X:328	Y:98 
[2024/8/17 3:4:4] 物品:魔法药(小量)	怪物:2773DA40骷髅0	地图:D003	X:328	Y:98 
[2024/8/17 3:4:4] 物品:魔法药(小量)	怪物:2773DA40骷髅0	地图:D003	X:328	Y:98 
[2024/8/17 3:4:16] 物品:金创药(小量)	怪物:278B3A10僵尸3	地图:D401	X:142	Y:67 
[2024/8/17 3:4:19] 物品:强效太阳水	怪物:29ADFB30尸王8	地图:H001	X:98	Y:41 
[2024/8/17 3:4:19] 物品:强效太阳水	怪物:29ADFB30尸王8	地图:H001	X:98	Y:41 
[2024/8/17 3:4:19] 物品:强效太阳水	怪物:29ADFB30尸王8	地图:H001	X:98	Y:41 
[2024/8/17 3:4:19] 物品:强效太阳水	怪物:29ADFB30尸王8	地图:H001	X:98	Y:41 
[2024/8/17 3:4:19] 物品:强效太阳水	怪物:29ADFB30尸王8	地图:H001	X:98	Y:41 
[2024/8/17 3:4:19] 物品:强效金创药	怪物:29ADFB30尸王8	地图:H001	X:98	Y:41 
[2024/8/17 3:4:19] 物品:强效金创药	怪物:29ADFB30尸王8	地图:H001	X:98	Y:41 
[2024/8/17 3:4:19] 物品:强效魔法药	怪物:29ADFB30尸王8	地图:H001	X:98	Y:41 
[2024/8/17 3:4:19] 物品:强效魔法药	怪物:29ADFB30尸王8	地图:H001	X:98	Y:41 
[2024/8/17 3:4:19] 物品:蛇眼戒指	怪物:29ADFB30尸王8	地图:H001	X:98	Y:41 
[2024/8/17 3:4:19] 物品:黑檀手镯	怪物:29ADFB30尸王8	地图:H001	X:98	Y:41 
[2024/8/17 3:4:22] 物品:金创药(小量)	怪物:2871B800僵尸3	地图:D401	X:143	Y:68 
[2024/8/17 3:4:35] 物品:金创药(中量)	怪物:2373FE90骷髅战将	地图:D003	X:167	Y:179 
[2024/8/17 3:4:42] 物品:瞬息移动	怪物:30E9A8B0僵尸2	地图:D401	X:142	Y:66 
[2024/8/17 3:5:8] 物品:金创药(小量)	怪物:28DC7ED0僵尸3	地图:E603	X:27	Y:187 
[2024/8/17 3:5:17] 物品:金创药(小量)	怪物:28AA00E0骷髅0	地图:D003	X:150	Y:178 
[2024/8/17 3:5:17] 物品:金创药(小量)	怪物:28AA00E0骷髅0	地图:D003	X:150	Y:178 
[2024/8/17 3:5:17] 物品:金创药(小量)	怪物:28AA00E0骷髅0	地图:D003	X:150	Y:178 
[2024/8/17 3:5:17] 物品:金创药(小量)	怪物:28AA00E0骷髅0	地图:D003	X:150	Y:178 
[2024/8/17 3:5:17] 物品:魔法药(小量)	怪物:28AA00E0骷髅0	地图:D003	X:150	Y:178 
[2024/8/17 3:5:17] 物品:魔法药(小量)	怪物:28AA00E0骷髅0	地图:D003	X:150	Y:178 
[2024/8/17 3:5:17] 物品:魔法药(小量)	怪物:28AA00E0骷髅0	地图:D003	X:150	Y:178 
[2024/8/17 3:5:17] 物品:魔法药(小量)	怪物:28AA00E0骷髅0	地图:D003	X:150	Y:178 
[2024/8/17 3:5:27] 物品:魔法药(小量)	怪物:1CD097B0僵尸4	地图:E603	X:27	Y:187 
[2024/8/17 3:5:27] 物品:诱惑之光	怪物:1CD097B0僵尸4	地图:E603	X:27	Y:187 
[2024/8/17 3:5:45] 物品:基本剑术	怪物:29C12190僵尸3	地图:D401	X:146	Y:44 
[2024/8/17 3:5:51] 物品:强效太阳水	怪物:1939C450沃玛卫士8	地图:H003	X:45	Y:38 
[2024/8/17 3:5:51] 物品:强效太阳水	怪物:1939C450沃玛卫士8	地图:H003	X:45	Y:38 
[2024/8/17 3:5:51] 物品:强效太阳水	怪物:1939C450沃玛卫士8	地图:H003	X:45	Y:38 
[2024/8/17 3:5:51] 物品:强效太阳水	怪物:1939C450沃玛卫士8	地图:H003	X:45	Y:38 
[2024/8/17 3:5:51] 物品:强效太阳水	怪物:1939C450沃玛卫士8	地图:H003	X:45	Y:38 
[2024/8/17 3:5:51] 物品:太阳水	怪物:1939C450沃玛卫士8	地图:H003	X:45	Y:38 
[2024/8/17 3:5:51] 物品:太阳水	怪物:1939C450沃玛卫士8	地图:H003	X:45	Y:38 
[2024/8/17 3:5:51] 物品:太阳水	怪物:1939C450沃玛卫士8	地图:H003	X:45	Y:38 
[2024/8/17 3:5:51] 物品:太阳水	怪物:1939C450沃玛卫士8	地图:H003	X:45	Y:38 
[2024/8/17 3:5:51] 物品:太阳水	怪物:1939C450沃玛卫士8	地图:H003	X:45	Y:38 
[2024/8/17 3:5:51] 物品:太阳水	怪物:1939C450沃玛卫士8	地图:H003	X:45	Y:38 
[2024/8/17 3:5:51] 物品:太阳水	怪物:1939C450沃玛卫士8	地图:H003	X:45	Y:38 
[2024/8/17 3:5:51] 物品:太阳水	怪物:1939C450沃玛卫士8	地图:H003	X:45	Y:38 
[2024/8/17 3:5:51] 物品:太阳水	怪物:1939C450沃玛卫士8	地图:H003	X:45	Y:38 
[2024/8/17 3:5:51] 物品:太阳水	怪物:1939C450沃玛卫士8	地图:H003	X:45	Y:38 
[2024/8/17 3:5:51] 物品:金创药(中量)	怪物:1939C450沃玛卫士8	地图:H003	X:45	Y:38 
[2024/8/17 3:5:51] 物品:金创药(中量)	怪物:1939C450沃玛卫士8	地图:H003	X:45	Y:38 
[2024/8/17 3:5:51] 物品:强效金创药	怪物:1939C450沃玛卫士8	地图:H003	X:45	Y:38 
[2024/8/17 3:5:51] 物品:强效金创药	怪物:1939C450沃玛卫士8	地图:H003	X:45	Y:38 
[2024/8/17 3:5:51] 物品:强效金创药	怪物:1939C450沃玛卫士8	地图:H003	X:45	Y:38 
[2024/8/17 3:5:51] 物品:魔法药(中量)	怪物:1939C450沃玛卫士8	地图:H003	X:45	Y:38 
[2024/8/17 3:5:51] 物品:魔法药(中量)	怪物:1939C450沃玛卫士8	地图:H003	X:45	Y:38 
[2024/8/17 3:5:51] 物品:强效魔法药	怪物:1939C450沃玛卫士8	地图:H003	X:45	Y:38 
[2024/8/17 3:5:51] 物品:强效魔法药	怪物:1939C450沃玛卫士8	地图:H003	X:45	Y:38 
[2024/8/17 3:5:51] 物品:强效魔法药	怪物:1939C450沃玛卫士8	地图:H003	X:45	Y:38 
[2024/8/17 3:5:51] 物品:HP强化药水	怪物:1939C450沃玛卫士8	地图:H003	X:45	Y:38 
[2024/8/17 3:5:51] 物品:魔鬼项链	怪物:1939C450沃玛卫士8	地图:H003	X:45	Y:38 
[2024/8/17 3:5:51] 物品:神圣战甲术	怪物:1939C450沃玛卫士8	地图:H003	X:45	Y:38 
[2024/8/17 3:6:7] 物品:金创药(小量)	怪物:19320240骷髅战士	地图:D003	X:125	Y:190 
[2024/8/17 3:7:15] 物品:青铜斧	怪物:05729080骷髅战将	地图:D003	X:94	Y:211 
[2024/8/17 3:7:30] 物品:轻型盔甲(女)	怪物:17DA6B50掷斧骷髅	地图:D003	X:103	Y:214 
[2024/8/17 3:7:30] 物品:六角戒指	怪物:17DA6B50掷斧骷髅	地图:D003	X:103	Y:214 
[2024/8/17 3:7:30] 物品:牛角戒指	怪物:17DA6B50掷斧骷髅	地图:D003	X:103	Y:214 
[2024/8/17 3:7:37] 物品:魔法药(小量)	怪物:18DC2080僵尸3	地图:D401	X:168	Y:32 
[2024/8/17 3:8:19] 物品:金创药(小量)	怪物:18DC2080僵尸3	地图:D401	X:169	Y:33 
[2024/8/17 3:8:21] 物品:黑色水晶项链	怪物:191FD870骷髅战士	地图:D003	X:99	Y:176 
[2024/8/17 3:8:22] 物品:金创药(小量)	怪物:1B6F1120森林雪人	地图:11	X:207	Y:362 
[2024/8/17 3:9:4] 物品:钢手镯	怪物:15CC7D40骷髅0	地图:D003	X:81	Y:171 
[2024/8/17 3:9:4] 物品:金创药(小量)	怪物:15CC7D40骷髅0	地图:D003	X:81	Y:171 
[2024/8/17 3:9:4] 物品:金创药(小量)	怪物:15CC7D40骷髅0	地图:D003	X:81	Y:171 
[2024/8/17 3:9:4] 物品:金创药(小量)	怪物:15CC7D40骷髅0	地图:D003	X:81	Y:171 
[2024/8/17 3:9:4] 物品:金创药(小量)	怪物:15CC7D40骷髅0	地图:D003	X:81	Y:171 
[2024/8/17 3:9:4] 物品:魔法药(小量)	怪物:15CC7D40骷髅0	地图:D003	X:81	Y:171 
[2024/8/17 3:9:4] 物品:魔法药(小量)	怪物:15CC7D40骷髅0	地图:D003	X:81	Y:171 
[2024/8/17 3:9:4] 物品:魔法药(小量)	怪物:15CC7D40骷髅0	地图:D003	X:81	Y:171 
[2024/8/17 3:9:4] 物品:魔法药(小量)	怪物:15CC7D40骷髅0	地图:D003	X:81	Y:171 
[2024/8/17 3:9:5] 物品:瞬息移动	怪物:280D8BA0僵尸2	地图:D401	X:160	Y:32 
[2024/8/17 3:9:17] 物品:金创药(小量)	怪物:29C0DF00僵尸3	地图:D401	X:172	Y:41 
[2024/8/17 3:9:41] 物品:金创药(小量)	怪物:05DBAC10僵尸3	地图:D401	X:166	Y:48 
[2024/8/17 3:9:54] 物品:精神力药水	怪物:06272790僵尸2	地图:D401	X:165	Y:46 
[2024/8/17 3:10:29] 物品:强效太阳水	怪物:183A4760沃玛卫士8	地图:H003	X:58	Y:58 
[2024/8/17 3:10:29] 物品:强效太阳水	怪物:183A4760沃玛卫士8	地图:H003	X:58	Y:58 
[2024/8/17 3:10:29] 物品:强效太阳水	怪物:183A4760沃玛卫士8	地图:H003	X:58	Y:58 
[2024/8/17 3:10:29] 物品:强效太阳水	怪物:183A4760沃玛卫士8	地图:H003	X:58	Y:58 
[2024/8/17 3:10:29] 物品:强效太阳水	怪物:183A4760沃玛卫士8	地图:H003	X:58	Y:58 
[2024/8/17 3:10:29] 物品:太阳水	怪物:183A4760沃玛卫士8	地图:H003	X:58	Y:58 
[2024/8/17 3:10:29] 物品:太阳水	怪物:183A4760沃玛卫士8	地图:H003	X:58	Y:58 
[2024/8/17 3:10:29] 物品:太阳水	怪物:183A4760沃玛卫士8	地图:H003	X:58	Y:58 
[2024/8/17 3:10:29] 物品:太阳水	怪物:183A4760沃玛卫士8	地图:H003	X:58	Y:58 
[2024/8/17 3:10:29] 物品:太阳水	怪物:183A4760沃玛卫士8	地图:H003	X:58	Y:58 
[2024/8/17 3:10:29] 物品:太阳水	怪物:183A4760沃玛卫士8	地图:H003	X:58	Y:58 
[2024/8/17 3:10:29] 物品:太阳水	怪物:183A4760沃玛卫士8	地图:H003	X:58	Y:58 
[2024/8/17 3:10:29] 物品:太阳水	怪物:183A4760沃玛卫士8	地图:H003	X:58	Y:58 
[2024/8/17 3:10:29] 物品:太阳水	怪物:183A4760沃玛卫士8	地图:H003	X:58	Y:58 
[2024/8/17 3:10:29] 物品:太阳水	怪物:183A4760沃玛卫士8	地图:H003	X:58	Y:58 
[2024/8/17 3:10:29] 物品:金创药(中量)	怪物:183A4760沃玛卫士8	地图:H003	X:58	Y:58 
[2024/8/17 3:10:29] 物品:金创药(中量)	怪物:183A4760沃玛卫士8	地图:H003	X:58	Y:58 
[2024/8/17 3:10:29] 物品:强效金创药	怪物:183A4760沃玛卫士8	地图:H003	X:58	Y:58 
[2024/8/17 3:10:29] 物品:强效金创药	怪物:183A4760沃玛卫士8	地图:H003	X:58	Y:58 
[2024/8/17 3:10:29] 物品:强效金创药	怪物:183A4760沃玛卫士8	地图:H003	X:58	Y:58 
[2024/8/17 3:10:29] 物品:魔法药(中量)	怪物:183A4760沃玛卫士8	地图:H003	X:58	Y:58 
[2024/8/17 3:10:29] 物品:魔法药(中量)	怪物:183A4760沃玛卫士8	地图:H003	X:58	Y:58 
[2024/8/17 3:10:29] 物品:强效魔法药	怪物:183A4760沃玛卫士8	地图:H003	X:58	Y:58 
[2024/8/17 3:10:29] 物品:强效魔法药	怪物:183A4760沃玛卫士8	地图:H003	X:58	Y:58 
[2024/8/17 3:10:29] 物品:强效魔法药	怪物:183A4760沃玛卫士8	地图:H003	X:58	Y:58 
[2024/8/17 3:10:29] 物品:攻击神水	怪物:183A4760沃玛卫士8	地图:H003	X:58	Y:58 
[2024/8/17 3:10:34] 物品:魔法药(小量)	怪物:187801A0僵尸3	地图:D401	X:174	Y:26 
[2024/8/17 3:10:39] 物品:魔法药(小量)	怪物:1EF5DAC0僵尸3	地图:D401	X:174	Y:25 
[2024/8/17 3:11:11] 物品:魔法药(小量)	怪物:17BA7420骷髅战士	地图:D003	X:90	Y:101 
[2024/8/17 3:11:30] 物品:魔法药(小量)	怪物:03ADAB90骷髅战士	地图:D003	X:74	Y:98 
[2024/8/17 3:11:51] 物品:金创药(小量)	怪物:0576FA90山洞蝙蝠	地图:D003	X:77	Y:75 
[2024/8/17 3:12:38] 物品:金创药(中量)	怪物:1CD1A070骷髅战将	地图:D003	X:104	Y:62 
[2024/8/17 3:13:1] 物品:黑檀项链	怪物:0F0D8B60骷髅战将	地图:D003	X:118	Y:58 
[2024/8/17 3:13:17] 物品:玻璃戒指	怪物:058D7C80掷斧骷髅	地图:D003	X:110	Y:48 
[2024/8/17 3:13:39] 物品:金创药(中量)	怪物:19114930骷髅战将	地图:D003	X:117	Y:39 
[2024/8/17 3:13:45] 物品:回城卷	怪物:19357C80山洞蝙蝠0	地图:D003	X:124	Y:34 
[2024/8/17 3:13:45] 物品:回城卷	怪物:19357C80山洞蝙蝠0	地图:D003	X:124	Y:34 
[2024/8/17 3:13:45] 物品:回城卷	怪物:19357C80山洞蝙蝠0	地图:D003	X:124	Y:34 
[2024/8/17 3:13:45] 物品:回城卷	怪物:19357C80山洞蝙蝠0	地图:D003	X:124	Y:34 
[2024/8/17 3:13:45] 物品:回城卷	怪物:19357C80山洞蝙蝠0	地图:D003	X:124	Y:34 
[2024/8/17 3:13:58] 物品:坚固手套	怪物:18C34780骷髅	地图:D003	X:111	Y:29 
[2024/8/17 3:13:58] 物品:钢手镯	怪物:18C34780骷髅	地图:D003	X:111	Y:29 
[2024/8/17 3:13:58] 物品:大手镯	怪物:18C34780骷髅	地图:D003	X:111	Y:29 
[2024/8/17 3:14:8] 物品:金创药(中量)	怪物:05C159E0掷斧骷髅0	地图:D003	X:105	Y:31 
[2024/8/17 3:14:8] 物品:金创药(中量)	怪物:05C159E0掷斧骷髅0	地图:D003	X:105	Y:31 
[2024/8/17 3:14:8] 物品:金创药(中量)	怪物:05C159E0掷斧骷髅0	地图:D003	X:105	Y:31 
[2024/8/17 3:14:8] 物品:金创药(中量)	怪物:05C159E0掷斧骷髅0	地图:D003	X:105	Y:31 
[2024/8/17 3:14:8] 物品:魔法药(中量)	怪物:05C159E0掷斧骷髅0	地图:D003	X:105	Y:31 
[2024/8/17 3:14:8] 物品:魔法药(中量)	怪物:05C159E0掷斧骷髅0	地图:D003	X:105	Y:31 
[2024/8/17 3:14:8] 物品:魔法药(中量)	怪物:05C159E0掷斧骷髅0	地图:D003	X:105	Y:31 
[2024/8/17 3:14:8] 物品:魔法药(中量)	怪物:05C159E0掷斧骷髅0	地图:D003	X:105	Y:31 
[2024/8/17 3:15:12] 物品:黑色水晶项链	怪物:05764910掷斧骷髅0	地图:D003	X:170	Y:44 
[2024/8/17 3:15:12] 物品:金创药(中量)	怪物:05764910掷斧骷髅0	地图:D003	X:170	Y:44 
[2024/8/17 3:15:12] 物品:金创药(中量)	怪物:05764910掷斧骷髅0	地图:D003	X:170	Y:44 
[2024/8/17 3:15:12] 物品:金创药(中量)	怪物:05764910掷斧骷髅0	地图:D003	X:170	Y:44 
[2024/8/17 3:15:12] 物品:金创药(中量)	怪物:05764910掷斧骷髅0	地图:D003	X:170	Y:44 
[2024/8/17 3:15:12] 物品:魔法药(中量)	怪物:05764910掷斧骷髅0	地图:D003	X:170	Y:44 
[2024/8/17 3:15:12] 物品:魔法药(中量)	怪物:05764910掷斧骷髅0	地图:D003	X:170	Y:44 
[2024/8/17 3:15:12] 物品:魔法药(中量)	怪物:05764910掷斧骷髅0	地图:D003	X:170	Y:44 
[2024/8/17 3:15:12] 物品:魔法药(中量)	怪物:05764910掷斧骷髅0	地图:D003	X:170	Y:44 
[2024/8/17 3:15:15] 物品:太阳水	怪物:1B938A10黑色恶蛆8	地图:H001	X:134	Y:94 
[2024/8/17 3:16:50] 物品:金创药(小量)	怪物:18141950山洞蝙蝠	地图:D003	X:204	Y:32 
[2024/8/17 3:17:43] 物品:魔法药(中量)	怪物:0394B820恶灵僵尸8	地图:H001	X:131	Y:79 
[2024/8/17 3:18:1] 物品:战神油	怪物:1EFE6C50蜈蚣8	地图:H001	X:130	Y:80 
[2024/8/17 3:18:27] 物品:魔法药(小量)	怪物:05E20780骷髅战士	地图:D003	X:265	Y:28 
[2024/8/17 3:18:27] 物品:MP强化药水	怪物:05E20780骷髅战士	地图:D003	X:265	Y:28 
[2024/8/17 3:18:48] 物品:太阳水	怪物:18702BA0黑色恶蛆8	地图:H001	X:131	Y:80 
[2024/8/17 3:19:12] 物品:金创药(中量)	怪物:03878570骷髅战将	地图:D003	X:276	Y:78 
[2024/8/17 3:19:38] 物品:玻璃戒指	怪物:2820DA20骷髅战将	地图:D003	X:283	Y:106 
[2024/8/17 3:20:23] 物品:金创药(小量)	怪物:1901AF00山洞蝙蝠	地图:D003	X:311	Y:137 
[2024/8/17 3:20:31] 物品:魔法药(小量)	怪物:1EF5DAC0僵尸3	地图:D401	X:126	Y:121 
[2024/8/17 3:20:45] 物品:金创药(小量)	怪物:1EF5DAC0僵尸3	地图:D401	X:127	Y:120 
[2024/8/17 3:20:48] 物品:轻型盔甲(男)	怪物:063E9D90骷髅战将	地图:D003	X:333	Y:141 
[2024/8/17 3:21:36] 物品:黄色水晶项链	怪物:30CBD180掷斧骷髅	地图:D003	X:293	Y:151 
[2024/8/17 3:21:46] 物品:金手镯	怪物:1886B570跳跳蜂8	地图:H001	X:136	Y:68 
[2024/8/17 3:22:3] 物品:金创药(中量)	怪物:1F0A2190骷髅战将	地图:D003	X:285	Y:164 
[2024/8/17 3:22:7] 物品:小手镯	怪物:184223E0骷髅战将0	地图:D003	X:286	Y:164 
[2024/8/17 3:22:7] 物品:金创药(中量)	怪物:184223E0骷髅战将0	地图:D003	X:286	Y:164 
[2024/8/17 3:22:7] 物品:金创药(中量)	怪物:184223E0骷髅战将0	地图:D003	X:286	Y:164 
[2024/8/17 3:22:7] 物品:金创药(中量)	怪物:184223E0骷髅战将0	地图:D003	X:286	Y:164 
[2024/8/17 3:22:7] 物品:金创药(中量)	怪物:184223E0骷髅战将0	地图:D003	X:286	Y:164 
[2024/8/17 3:22:7] 物品:魔法药(中量)	怪物:184223E0骷髅战将0	地图:D003	X:286	Y:164 
[2024/8/17 3:22:7] 物品:魔法药(中量)	怪物:184223E0骷髅战将0	地图:D003	X:286	Y:164 
[2024/8/17 3:22:7] 物品:魔法药(中量)	怪物:184223E0骷髅战将0	地图:D003	X:286	Y:164 
[2024/8/17 3:22:7] 物品:魔法药(中量)	怪物:184223E0骷髅战将0	地图:D003	X:286	Y:164 
[2024/8/17 3:22:30] 物品:金创药(小量)	怪物:1C240A50山洞蝙蝠	地图:D003	X:290	Y:174 
[2024/8/17 3:22:36] 物品:皮制手套	怪物:29A5BCA0骷髅战将	地图:D003	X:291	Y:175 
[2024/8/17 3:23:54] 物品:心灵启示	怪物:0D4EEA20僵尸3	地图:D401	X:121	Y:110 
[2024/8/17 3:23:58] 物品:金创药(小量)	怪物:05967530骷髅0	地图:D003	X:279	Y:142 
[2024/8/17 3:23:58] 物品:金创药(小量)	怪物:05967530骷髅0	地图:D003	X:279	Y:142 
[2024/8/17 3:23:58] 物品:金创药(小量)	怪物:05967530骷髅0	地图:D003	X:279	Y:142 
[2024/8/17 3:23:58] 物品:金创药(小量)	怪物:05967530骷髅0	地图:D003	X:279	Y:142 
[2024/8/17 3:23:58] 物品:魔法药(小量)	怪物:05967530骷髅0	地图:D003	X:279	Y:142 
[2024/8/17 3:23:58] 物品:魔法药(小量)	怪物:05967530骷髅0	地图:D003	X:279	Y:142 
[2024/8/17 3:23:58] 物品:魔法药(小量)	怪物:05967530骷髅0	地图:D003	X:279	Y:142 
[2024/8/17 3:23:58] 物品:魔法药(小量)	怪物:05967530骷髅0	地图:D003	X:279	Y:142 
[2024/8/17 3:24:3] 物品:金创药(小量)	怪物:3019DC50僵尸3	地图:D401	X:121	Y:109 
[2024/8/17 3:24:20] 物品:金创药(小量)	怪物:0D4EEA20僵尸3	地图:D401	X:120	Y:110 
[2024/8/17 3:24:20] 物品:魔法药(小量)	怪物:0D4EEA20僵尸3	地图:D401	X:120	Y:110 
[2024/8/17 3:24:39] 物品:金创药(小量)	怪物:187E0DB0骷髅战士	地图:D003	X:262	Y:128 
[2024/8/17 3:24:49] 物品:金创药(中量)	怪物:28259CF0骷髅战将	地图:D003	X:252	Y:122 
[2024/8/17 3:25:3] 物品:玻璃戒指	怪物:17D14080骷髅战士0	地图:D003	X:249	Y:113 
[2024/8/17 3:25:3] 物品:金创药(中量)	怪物:17D14080骷髅战士0	地图:D003	X:249	Y:113 
[2024/8/17 3:25:3] 物品:金创药(中量)	怪物:17D14080骷髅战士0	地图:D003	X:249	Y:113 
[2024/8/17 3:25:3] 物品:金创药(中量)	怪物:17D14080骷髅战士0	地图:D003	X:249	Y:113 
[2024/8/17 3:25:3] 物品:金创药(中量)	怪物:17D14080骷髅战士0	地图:D003	X:249	Y:113 
[2024/8/17 3:25:3] 物品:魔法药(中量)	怪物:17D14080骷髅战士0	地图:D003	X:249	Y:113 
[2024/8/17 3:25:3] 物品:魔法药(中量)	怪物:17D14080骷髅战士0	地图:D003	X:249	Y:113 
[2024/8/17 3:25:3] 物品:魔法药(中量)	怪物:17D14080骷髅战士0	地图:D003	X:249	Y:113 
[2024/8/17 3:25:3] 物品:魔法药(中量)	怪物:17D14080骷髅战士0	地图:D003	X:249	Y:113 
[2024/8/17 3:25:23] 物品:金创药(小量)	怪物:1954A860骷髅0	地图:D003	X:239	Y:129 
[2024/8/17 3:25:23] 物品:金创药(小量)	怪物:1954A860骷髅0	地图:D003	X:239	Y:129 
[2024/8/17 3:25:23] 物品:金创药(小量)	怪物:1954A860骷髅0	地图:D003	X:239	Y:129 
[2024/8/17 3:25:23] 物品:金创药(小量)	怪物:1954A860骷髅0	地图:D003	X:239	Y:129 
[2024/8/17 3:25:23] 物品:魔法药(小量)	怪物:1954A860骷髅0	地图:D003	X:239	Y:129 
[2024/8/17 3:25:23] 物品:魔法药(小量)	怪物:1954A860骷髅0	地图:D003	X:239	Y:129 
[2024/8/17 3:25:23] 物品:魔法药(小量)	怪物:1954A860骷髅0	地图:D003	X:239	Y:129 
[2024/8/17 3:25:23] 物品:魔法药(小量)	怪物:1954A860骷髅0	地图:D003	X:239	Y:129 
[2024/8/17 3:25:44] 物品:魔法药(小量)	怪物:19622150骷髅战士	地图:D003	X:232	Y:133 
[2024/8/17 3:26:29] 物品:短剑	怪物:29C16420骷髅战士	地图:D003	X:245	Y:154 
