[2024/8/21 18:0:2] 物品:强效魔法药	怪物:249A6D30魔龙破甲兵	地图:66	X:246	Y:87 
[2024/8/21 18:0:17] 物品:八荒	怪物:14B5AA50僵尸50	地图:E601	X:5	Y:107 
[2024/8/21 18:0:17] 物品:凌风	怪物:14B5AA50僵尸50	地图:E601	X:5	Y:107 
[2024/8/21 18:0:17] 物品:凤凰明珠	怪物:14B5AA50僵尸50	地图:E601	X:5	Y:107 
[2024/8/21 18:0:17] 物品:坚固手套	怪物:14B5AA50僵尸50	地图:E601	X:5	Y:107 
[2024/8/21 18:0:17] 物品:魔力手镯	怪物:14B5AA50僵尸50	地图:E601	X:5	Y:107 
[2024/8/21 18:0:17] 物品:铁剑	怪物:14B5AA50僵尸50	地图:E601	X:5	Y:107 
[2024/8/21 18:0:17] 物品:短剑	怪物:14B5AA50僵尸50	地图:E601	X:5	Y:107 
[2024/8/21 18:0:17] 物品:轻型盔甲(男)	怪物:14B5AA50僵尸50	地图:E601	X:5	Y:107 
[2024/8/21 18:0:17] 物品:轻型盔甲(女)	怪物:14B5AA50僵尸50	地图:E601	X:5	Y:107 
[2024/8/21 18:0:17] 物品:中型盔甲(女)	怪物:14B5AA50僵尸50	地图:E601	X:5	Y:107 
[2024/8/21 18:0:17] 物品:青铜斧	怪物:14B5AA50僵尸50	地图:E601	X:5	Y:107 
[2024/8/21 18:0:17] 物品:黑檀项链	怪物:14B5AA50僵尸50	地图:E601	X:5	Y:107 
[2024/8/21 18:0:17] 物品:黄色水晶项链	怪物:14B5AA50僵尸50	地图:E601	X:5	Y:107 
[2024/8/21 18:0:17] 物品:黑色水晶项链	怪物:14B5AA50僵尸50	地图:E601	X:5	Y:107 
[2024/8/21 18:0:17] 物品:青铜头盔	怪物:14B5AA50僵尸50	地图:E601	X:5	Y:107 
[2024/8/21 18:0:17] 物品:金创药(小量)	怪物:14B5AA50僵尸50	地图:E601	X:5	Y:107 
[2024/8/21 18:0:17] 物品:金创药(小量)	怪物:14B5AA50僵尸50	地图:E601	X:5	Y:107 
[2024/8/21 18:0:17] 物品:金创药(小量)	怪物:14B5AA50僵尸50	地图:E601	X:5	Y:107 
[2024/8/21 18:0:17] 物品:金创药(小量)	怪物:14B5AA50僵尸50	地图:E601	X:5	Y:107 
[2024/8/21 18:0:17] 物品:魔法药(小量)	怪物:14B5AA50僵尸50	地图:E601	X:5	Y:107 
[2024/8/21 18:0:17] 物品:魔法药(小量)	怪物:14B5AA50僵尸50	地图:E601	X:5	Y:107 
[2024/8/21 18:0:17] 物品:魔法药(小量)	怪物:14B5AA50僵尸50	地图:E601	X:5	Y:107 
[2024/8/21 18:0:17] 物品:魔法药(小量)	怪物:14B5AA50僵尸50	地图:E601	X:5	Y:107 
[2024/8/21 18:0:17] 物品:召唤骷髅	怪物:1861E4F0僵尸3	地图:E601	X:5	Y:110 
[2024/8/21 18:0:18] 物品:魔法手镯	怪物:13A2B210祖玛弓箭手8	地图:H204	X:66	Y:65 
[2024/8/21 18:0:20] 物品:重盔甲(女)	怪物:28E56410魔龙射手	地图:66	X:237	Y:111 
[2024/8/21 18:0:21] 物品:降妖除魔戒指	怪物:2BC1E370魔龙射手	地图:66	X:46	Y:37 
[2024/8/21 18:0:23] 物品:魔鬼项链	怪物:23C451C0祖玛卫士8	地图:H204	X:66	Y:62 
[2024/8/21 18:0:26] 物品:太阳水	怪物:2592D350黑色恶蛆8	地图:H001	X:114	Y:120 
[2024/8/21 18:0:26] 物品:金创药(中量)	怪物:29075B70祖玛雕像8	地图:H204	X:65	Y:64 
[2024/8/21 18:0:27] 物品:强效金创药	怪物:23FF81D0魔龙射手2	地图:66	X:48	Y:39 
[2024/8/21 18:0:28] 物品:太阳水	怪物:2A9CBB40魔龙破甲兵	地图:66	X:237	Y:114 
[2024/8/21 18:0:33] 物品:强效魔法药	怪物:22D45C60魔龙射手	地图:66	X:233	Y:118 
[2024/8/21 18:0:33] 物品:强效金创药	怪物:22D45C60魔龙射手	地图:66	X:233	Y:118 
[2024/8/21 18:0:35] 物品:白金项链	怪物:249CDC80祖玛卫士8	地图:H204	X:73	Y:72 
[2024/8/21 18:0:35] 物品:坚固手套	怪物:249CDC80祖玛卫士8	地图:H204	X:73	Y:72 
[2024/8/21 18:0:37] 物品:金创药(小量)	怪物:1861E4F0僵尸3	地图:E601	X:5	Y:110 
[2024/8/21 18:0:37] 物品:精神力战法	怪物:1861E4F0僵尸3	地图:E601	X:5	Y:110 
[2024/8/21 18:0:39] 物品:强效魔法药	怪物:2B311A70魔龙破甲兵1	地图:65	X:187	Y:140 
[2024/8/21 18:0:40] 物品:放大镜	怪物:1AC99370魔龙破甲兵	地图:66	X:228	Y:113 
[2024/8/21 18:0:43] 物品:魔力手镯	怪物:2587E830祖玛卫士8	地图:H204	X:78	Y:76 
[2024/8/21 18:0:45] 物品:魔法药(小量)	怪物:186A4E60僵尸3	地图:D401	X:99	Y:99 
[2024/8/21 18:0:52] 物品:强效金创药	怪物:2C49B7D0魔龙破甲兵1	地图:66	X:232	Y:105 
[2024/8/21 18:0:52] 物品:金戒指	怪物:2C49B7D0魔龙破甲兵1	地图:66	X:232	Y:105 
[2024/8/21 18:0:53] 物品:灵魂火符	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:0:53] 物品:抗拒火环	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:0:53] 物品:精神力战法	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:0:53] 物品:火球术	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:0:53] 物品:治愈术	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:0:53] 物品:基本剑术	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:0:53] 物品:半月	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:0:53] 物品:凌风	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:0:53] 物品:蓝色水晶戒指	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:0:53] 物品:魔鬼项链	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:0:53] 物品:坚固手套	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:0:53] 物品:魔力手镯	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:0:53] 物品:铁剑	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:0:53] 物品:短剑	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:0:53] 物品:轻型盔甲(男)	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:0:53] 物品:轻型盔甲(女)	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:0:53] 物品:中型盔甲(男)	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:0:53] 物品:中型盔甲(女)	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:0:53] 物品:青铜斧	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:0:53] 物品:黑檀项链	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:0:53] 物品:黄色水晶项链	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:0:53] 物品:黑色水晶项链	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:0:53] 物品:青铜头盔	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:0:53] 物品:金创药(小量)	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:0:53] 物品:金创药(小量)	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:0:53] 物品:金创药(小量)	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:0:53] 物品:金创药(小量)	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:0:53] 物品:魔法药(小量)	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:0:53] 物品:魔法药(小量)	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:0:53] 物品:魔法药(小量)	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:0:53] 物品:魔法药(小量)	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:0:54] 物品:强效金创药	怪物:2330C760魔龙巨蛾	地图:65	X:189	Y:140 
[2024/8/21 18:0:54] 物品:强效魔法药	怪物:2330C760魔龙巨蛾	地图:65	X:189	Y:140 
[2024/8/21 18:0:54] 物品:无极真气	怪物:2330C760魔龙巨蛾	地图:65	X:189	Y:140 
[2024/8/21 18:0:59] 物品:太阳水	怪物:2B441520祖玛雕像8	地图:H204	X:92	Y:52 
[2024/8/21 18:1:0] 物品:灵魂战衣(男)	怪物:14BC17D0祖玛卫士8	地图:H204	X:94	Y:54 
[2024/8/21 18:1:3] 物品:魔法药(小量)	怪物:2AC77AD0僵尸5	地图:E601	X:5	Y:108 
[2024/8/21 18:1:6] 物品:凝霜	怪物:23702C70魔龙破甲兵	地图:66	X:223	Y:95 
[2024/8/21 18:1:17] 物品:大火球	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:1:17] 物品:灵魂火符	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:1:17] 物品:诱惑之光	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:1:17] 物品:抗拒火环	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:1:17] 物品:精神力战法	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:1:17] 物品:火球术	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:1:17] 物品:治愈术	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:1:17] 物品:基本剑术	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:1:17] 物品:八荒	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:1:17] 物品:半月	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:1:17] 物品:凌风	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:1:17] 物品:蓝色水晶戒指	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:1:17] 物品:坚固手套	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:1:17] 物品:灯笼项链	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:1:17] 物品:铁剑	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:1:17] 物品:短剑	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:1:17] 物品:轻型盔甲(男)	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:1:17] 物品:轻型盔甲(女)	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:1:17] 物品:青铜斧	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:1:17] 物品:黑檀项链	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:1:17] 物品:黄色水晶项链	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:1:17] 物品:黑色水晶项链	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:1:17] 物品:青铜头盔	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:1:17] 物品:金创药(小量)	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:1:17] 物品:金创药(小量)	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:1:17] 物品:金创药(小量)	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:1:17] 物品:金创药(小量)	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:1:17] 物品:魔法药(小量)	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:1:17] 物品:魔法药(小量)	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:1:17] 物品:魔法药(小量)	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:1:17] 物品:魔法药(小量)	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:1:21] 物品:太阳水	怪物:2A8FDAE0魔龙射手1	地图:65	X:197	Y:140 
[2024/8/21 18:1:21] 物品:强效魔法药	怪物:2A8FDAE0魔龙射手1	地图:65	X:197	Y:140 
[2024/8/21 18:1:21] 物品:道士手镯	怪物:2A8FDAE0魔龙射手1	地图:65	X:197	Y:140 
[2024/8/21 18:1:21] 物品:强效太阳水	怪物:22DCF490魔龙射手2	地图:66	X:58	Y:41 
[2024/8/21 18:1:28] 物品:强效魔法药	怪物:2931A570魔龙射手1	地图:65	X:196	Y:136 
[2024/8/21 18:1:28] 物品:强效魔法药	怪物:2931A570魔龙射手1	地图:65	X:196	Y:136 
[2024/8/21 18:1:28] 物品:降妖除魔戒指	怪物:2931A570魔龙射手1	地图:65	X:196	Y:136 
[2024/8/21 18:1:30] 物品:金手镯	怪物:23127500祖玛雕像8	地图:H204	X:38	Y:22 
[2024/8/21 18:1:32] 物品:强效魔法药	怪物:13A3D6C0魔龙射手	地图:66	X:242	Y:62 
[2024/8/21 18:1:32] 物品:凝霜	怪物:13A3D6C0魔龙射手	地图:66	X:242	Y:62 
[2024/8/21 18:1:34] 物品:强效魔法药	怪物:290A1060魔龙刀兵1	地图:66	X:61	Y:43 
[2024/8/21 18:1:38] 物品:强效金创药	怪物:2A7F4420魔龙射手	地图:66	X:248	Y:58 
[2024/8/21 18:1:38] 物品:强效太阳水	怪物:2A7F4420魔龙射手	地图:66	X:248	Y:58 
[2024/8/21 18:1:40] 物品:放大镜	怪物:2B2ABEE0祖玛卫士8	地图:H204	X:30	Y:30 
[2024/8/21 18:1:40] 物品:太阳水	怪物:1AC6E3A0魔龙破甲兵	地图:66	X:60	Y:45 
[2024/8/21 18:1:40] 物品:凝霜	怪物:1AC6E3A0魔龙破甲兵	地图:66	X:60	Y:45 
[2024/8/21 18:1:41] 物品:珊瑚戒指	怪物:2B34EED0祖玛弓箭手8	地图:H204	X:30	Y:32 
[2024/8/21 18:1:42] 物品:强效金创药	怪物:2B2E1D30魔龙射手1	地图:65	X:200	Y:132 
[2024/8/21 18:1:44] 物品:强效金创药	怪物:24911600魔龙刀兵	地图:66	X:246	Y:57 
[2024/8/21 18:1:45] 物品:施毒术	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:1:45] 物品:大火球	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:1:45] 物品:雷电术	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:1:45] 物品:地狱火	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:1:45] 物品:诱惑之光	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:1:45] 物品:抗拒火环	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:1:45] 物品:精神力战法	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:1:45] 物品:火球术	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:1:45] 物品:治愈术	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:1:45] 物品:基本剑术	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:1:45] 物品:魔鬼项链	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:1:45] 物品:坚固手套	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:1:45] 物品:灯笼项链	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:1:45] 物品:铁剑	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:1:45] 物品:短剑	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:1:45] 物品:轻型盔甲(男)	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:1:45] 物品:轻型盔甲(女)	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:1:45] 物品:中型盔甲(男)	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:1:45] 物品:青铜斧	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:1:45] 物品:黑檀项链	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:1:45] 物品:黄色水晶项链	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:1:45] 物品:黑色水晶项链	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:1:45] 物品:青铜头盔	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:1:45] 物品:金创药(小量)	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:1:45] 物品:金创药(小量)	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:1:45] 物品:金创药(小量)	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:1:45] 物品:金创药(小量)	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:1:45] 物品:魔法药(小量)	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:1:45] 物品:魔法药(小量)	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:1:45] 物品:魔法药(小量)	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:1:45] 物品:魔法药(小量)	怪物:14B5AA50僵尸50	地图:E601	X:4	Y:109 
[2024/8/21 18:1:45] 物品:魔法药(中量)	怪物:2C454D20祖玛卫士8	地图:H204	X:30	Y:31 
[2024/8/21 18:1:56] 物品:强效金创药	怪物:15334B00魔龙射手	地图:66	X:61	Y:48 
[2024/8/21 18:1:58] 物品:强效金创药	怪物:2B380FA0魔龙刀兵	地图:66	X:254	Y:68 
[2024/8/21 18:1:58] 物品:骨玉权杖	怪物:2B380FA0魔龙刀兵	地图:66	X:254	Y:68 
[2024/8/21 18:2:8] 物品:凌风	怪物:22EFEDE0祖玛卫士8	地图:H204	X:21	Y:20 
[2024/8/21 18:2:8] 物品:黑檀手镯	怪物:22EFEDE0祖玛卫士8	地图:H204	X:21	Y:20 
[2024/8/21 18:2:8] 物品:死神手套	怪物:22EFEDE0祖玛卫士8	地图:H204	X:21	Y:20 
[2024/8/21 18:2:8] 物品:凌风	怪物:2CC5B360祖玛卫士8	地图:H204	X:22	Y:20 
[2024/8/21 18:2:8] 物品:道士头盔	怪物:2CC5B360祖玛卫士8	地图:H204	X:22	Y:20 
[2024/8/21 18:2:8] 物品:放大镜	怪物:2CC5B360祖玛卫士8	地图:H204	X:22	Y:20 
[2024/8/21 18:2:21] 物品:金创药(小量)	怪物:12A9D410僵尸3	地图:E601	X:5	Y:108 
[2024/8/21 18:2:25] 物品:强效魔法药	怪物:293E4220魔龙刀兵2	地图:65	X:192	Y:132 
[2024/8/21 18:2:33] 物品:强效金创药	怪物:288E9930魔龙刀兵	地图:65	X:192	Y:129 
[2024/8/21 18:2:40] 物品:强效太阳水	怪物:2B31E220魔龙破甲兵1	地图:65	X:190	Y:132 
[2024/8/21 18:2:40] 物品:太阳水	怪物:2B31E220魔龙破甲兵1	地图:65	X:190	Y:132 
[2024/8/21 18:2:43] 物品:金创药(小量)	怪物:186253E0僵尸3	地图:E601	X:6	Y:106 
[2024/8/21 18:2:51] 物品:强效太阳水	怪物:2CB4FFA0尸王8	地图:H001	X:95	Y:136 
[2024/8/21 18:2:51] 物品:强效太阳水	怪物:2CB4FFA0尸王8	地图:H001	X:95	Y:136 
[2024/8/21 18:2:51] 物品:强效太阳水	怪物:2CB4FFA0尸王8	地图:H001	X:95	Y:136 
[2024/8/21 18:2:51] 物品:强效太阳水	怪物:2CB4FFA0尸王8	地图:H001	X:95	Y:136 
[2024/8/21 18:2:51] 物品:强效太阳水	怪物:2CB4FFA0尸王8	地图:H001	X:95	Y:136 
[2024/8/21 18:2:51] 物品:强效金创药	怪物:2CB4FFA0尸王8	地图:H001	X:95	Y:136 
[2024/8/21 18:2:51] 物品:强效金创药	怪物:2CB4FFA0尸王8	地图:H001	X:95	Y:136 
[2024/8/21 18:2:51] 物品:强效魔法药	怪物:2CB4FFA0尸王8	地图:H001	X:95	Y:136 
[2024/8/21 18:2:51] 物品:强效魔法药	怪物:2CB4FFA0尸王8	地图:H001	X:95	Y:136 
[2024/8/21 18:2:51] 物品:魔力手镯	怪物:2CB4FFA0尸王8	地图:H001	X:95	Y:136 
[2024/8/21 18:2:52] 物品:黑铁头盔	怪物:22D02C70魔龙刀兵1	地图:66	X:201	Y:111 
[2024/8/21 18:2:53] 物品:凝霜	怪物:290CD4E0魔龙破甲兵1	地图:65	X:190	Y:133 
[2024/8/21 18:2:53] 物品:降妖除魔戒指	怪物:290CD4E0魔龙破甲兵1	地图:65	X:190	Y:133 
[2024/8/21 18:2:54] 物品:强效金创药	怪物:2751C7F0魔龙刀兵	地图:66	X:64	Y:52 
[2024/8/21 18:2:54] 物品:强效金创药	怪物:24682080祖玛弓箭手8	地图:H204	X:47	Y:94 
[2024/8/21 18:2:54] 物品:蓝翡翠项链	怪物:24682080祖玛弓箭手8	地图:H204	X:47	Y:94 
[2024/8/21 18:2:54] 物品:蓝色水晶戒指	怪物:24682080祖玛弓箭手8	地图:H204	X:47	Y:94 
[2024/8/21 18:2:57] 物品:魔法药(小量)	怪物:23924A70僵尸3	地图:D401	X:37	Y:68 
[2024/8/21 18:3:0] 物品:强效魔法药	怪物:29330220魔龙破甲兵2	地图:65	X:191	Y:133 
[2024/8/21 18:3:2] 物品:金创药(小量)	怪物:29339D70僵尸3	地图:D401	X:38	Y:66 
[2024/8/21 18:3:4] 物品:苹果	怪物:14196980魔龙破甲兵	地图:66	X:197	Y:110 
[2024/8/21 18:3:16] 物品:攻击力药水	怪物:24A22680僵尸3	地图:D401	X:41	Y:59 
[2024/8/21 18:3:17] 物品:强效太阳水	怪物:293620E0魔龙射手1	地图:65	X:184	Y:129 
[2024/8/21 18:3:26] 物品:强效金创药	怪物:2CD6EC70魔龙射手2	地图:66	X:191	Y:94 
[2024/8/21 18:3:34] 物品:竹笛	怪物:2BDE6B60魔龙射手	地图:66	X:183	Y:85 
[2024/8/21 18:3:37] 物品:金创药(小量)	怪物:2CBA8BA0僵尸3	地图:D401	X:44	Y:53 
[2024/8/21 18:3:38] 物品:强效金创药	怪物:293A3750魔龙破甲兵1	地图:65	X:184	Y:128 
[2024/8/21 18:3:38] 物品:强效太阳水	怪物:293A3750魔龙破甲兵1	地图:65	X:184	Y:128 
[2024/8/21 18:3:40] 物品:强效金创药	怪物:071FACF0魔龙教主	地图:66	X:66	Y:52 
[2024/8/21 18:3:40] 物品:强效金创药	怪物:071FACF0魔龙教主	地图:66	X:66	Y:52 
[2024/8/21 18:3:40] 物品:强效魔法药	怪物:071FACF0魔龙教主	地图:66	X:66	Y:52 
[2024/8/21 18:3:40] 物品:强效金创药	怪物:071FACF0魔龙教主	地图:66	X:66	Y:52 
[2024/8/21 18:3:40] 物品:强效魔法药	怪物:071FACF0魔龙教主	地图:66	X:66	Y:52 
[2024/8/21 18:3:40] 物品:强效魔法药	怪物:071FACF0魔龙教主	地图:66	X:66	Y:52 
[2024/8/21 18:3:40] 物品:祝福油	怪物:071FACF0魔龙教主	地图:66	X:66	Y:52 
[2024/8/21 18:3:48] 物品:骷髅头盔	怪物:2C284C20祖玛雕像8	地图:H204	X:26	Y:75 
[2024/8/21 18:3:56] 物品:强效太阳水	怪物:288CEF80魔龙破甲兵	地图:65	X:188	Y:123 
[2024/8/21 18:3:56] 物品:太阳水	怪物:288CEF80魔龙破甲兵	地图:65	X:188	Y:123 
[2024/8/21 18:3:56] 物品:强效魔法药	怪物:288CEF80魔龙破甲兵	地图:65	X:188	Y:123 
[2024/8/21 18:3:56] 物品:坚固手套	怪物:288CEF80魔龙破甲兵	地图:65	X:188	Y:123 
[2024/8/21 18:3:57] 物品:斩马刀	怪物:13AB6A10祖玛卫士8	地图:H204	X:22	Y:66 
