[2024/8/19 5:0:0] 物品:强效魔法药	怪物:0D6D4DB0魔龙射手	地图:66	X:29	Y:220 
[2024/8/19 5:0:31] 物品:强效金创药	怪物:0D9F3610白野猪8	地图:H204	X:29	Y:76 
[2024/8/19 5:0:31] 物品:强效魔法药	怪物:0D9F3610白野猪8	地图:H204	X:29	Y:76 
[2024/8/19 5:0:31] 物品:强效魔法药	怪物:0D9F3610白野猪8	地图:H204	X:29	Y:76 
[2024/8/19 5:0:31] 物品:强效魔法药	怪物:0D9F3610白野猪8	地图:H204	X:29	Y:76 
[2024/8/19 5:0:31] 物品:强效魔法药	怪物:0D9F3610白野猪8	地图:H204	X:29	Y:76 
[2024/8/19 5:0:31] 物品:强效魔法药	怪物:0D9F3610白野猪8	地图:H204	X:29	Y:76 
[2024/8/19 5:0:31] 物品:强效魔法药	怪物:0D9F3610白野猪8	地图:H204	X:29	Y:76 
[2024/8/19 5:0:31] 物品:道士手镯	怪物:0D9F3610白野猪8	地图:H204	X:29	Y:76 
[2024/8/19 5:0:32] 物品:金戒指	怪物:1DD85040红野猪8	地图:H002	X:247	Y:164 
[2024/8/19 5:0:35] 物品:强效魔法药	怪物:235426F0魔龙射手	地图:66	X:36	Y:211 
[2024/8/19 5:0:35] 物品:降妖除魔戒指	怪物:29FC1310祖玛弓箭手8	地图:H204	X:27	Y:72 
[2024/8/19 5:0:39] 物品:强效魔法药	怪物:17B68F30魔龙破甲兵1	地图:66	X:35	Y:215 
[2024/8/19 5:0:46] 物品:强效太阳水	怪物:2933F5B0白野猪8	地图:H204	X:18	Y:79 
[2024/8/19 5:0:46] 物品:强效太阳水	怪物:2933F5B0白野猪8	地图:H204	X:18	Y:79 
[2024/8/19 5:0:46] 物品:强效太阳水	怪物:2933F5B0白野猪8	地图:H204	X:18	Y:79 
[2024/8/19 5:0:46] 物品:强效太阳水	怪物:2933F5B0白野猪8	地图:H204	X:18	Y:79 
[2024/8/19 5:0:46] 物品:强效太阳水	怪物:2933F5B0白野猪8	地图:H204	X:18	Y:79 
[2024/8/19 5:0:46] 物品:强效太阳水	怪物:2933F5B0白野猪8	地图:H204	X:18	Y:79 
[2024/8/19 5:0:46] 物品:强效太阳水	怪物:2933F5B0白野猪8	地图:H204	X:18	Y:79 
[2024/8/19 5:0:46] 物品:强效太阳水	怪物:2933F5B0白野猪8	地图:H204	X:18	Y:79 
[2024/8/19 5:0:46] 物品:强效太阳水	怪物:2933F5B0白野猪8	地图:H204	X:18	Y:79 
[2024/8/19 5:0:46] 物品:强效太阳水	怪物:2933F5B0白野猪8	地图:H204	X:18	Y:79 
[2024/8/19 5:0:46] 物品:太阳水	怪物:2933F5B0白野猪8	地图:H204	X:18	Y:79 
[2024/8/19 5:0:46] 物品:太阳水	怪物:2933F5B0白野猪8	地图:H204	X:18	Y:79 
[2024/8/19 5:0:46] 物品:太阳水	怪物:2933F5B0白野猪8	地图:H204	X:18	Y:79 
[2024/8/19 5:0:46] 物品:太阳水	怪物:2933F5B0白野猪8	地图:H204	X:18	Y:79 
[2024/8/19 5:0:46] 物品:太阳水	怪物:2933F5B0白野猪8	地图:H204	X:18	Y:79 
[2024/8/19 5:0:46] 物品:太阳水	怪物:2933F5B0白野猪8	地图:H204	X:18	Y:79 
[2024/8/19 5:0:46] 物品:太阳水	怪物:2933F5B0白野猪8	地图:H204	X:18	Y:79 
[2024/8/19 5:0:46] 物品:太阳水	怪物:2933F5B0白野猪8	地图:H204	X:18	Y:79 
[2024/8/19 5:0:46] 物品:太阳水	怪物:2933F5B0白野猪8	地图:H204	X:18	Y:79 
[2024/8/19 5:0:46] 物品:太阳水	怪物:2933F5B0白野猪8	地图:H204	X:18	Y:79 
[2024/8/19 5:0:46] 物品:金创药(中量)	怪物:2933F5B0白野猪8	地图:H204	X:18	Y:79 
[2024/8/19 5:0:46] 物品:金创药(中量)	怪物:2933F5B0白野猪8	地图:H204	X:18	Y:79 
[2024/8/19 5:0:46] 物品:金创药(中量)	怪物:2933F5B0白野猪8	地图:H204	X:18	Y:79 
[2024/8/19 5:0:46] 物品:强效金创药	怪物:2933F5B0白野猪8	地图:H204	X:18	Y:79 
[2024/8/19 5:0:46] 物品:强效金创药	怪物:2933F5B0白野猪8	地图:H204	X:18	Y:79 
[2024/8/19 5:0:46] 物品:强效金创药	怪物:2933F5B0白野猪8	地图:H204	X:18	Y:79 
[2024/8/19 5:0:46] 物品:魔法药(中量)	怪物:2933F5B0白野猪8	地图:H204	X:18	Y:79 
[2024/8/19 5:0:46] 物品:魔法药(中量)	怪物:2933F5B0白野猪8	地图:H204	X:18	Y:79 
[2024/8/19 5:0:46] 物品:魔法药(中量)	怪物:2933F5B0白野猪8	地图:H204	X:18	Y:79 
[2024/8/19 5:0:46] 物品:强效魔法药	怪物:2933F5B0白野猪8	地图:H204	X:18	Y:79 
[2024/8/19 5:0:46] 物品:强效魔法药	怪物:2933F5B0白野猪8	地图:H204	X:18	Y:79 
[2024/8/19 5:0:46] 物品:强效魔法药	怪物:2933F5B0白野猪8	地图:H204	X:18	Y:79 
[2024/8/19 5:0:46] 物品:强效金创药	怪物:2933F5B0白野猪8	地图:H204	X:18	Y:79 
[2024/8/19 5:0:46] 物品:强效金创药	怪物:2933F5B0白野猪8	地图:H204	X:18	Y:79 
[2024/8/19 5:0:46] 物品:强效金创药	怪物:2933F5B0白野猪8	地图:H204	X:18	Y:79 
[2024/8/19 5:0:46] 物品:强效金创药	怪物:2933F5B0白野猪8	地图:H204	X:18	Y:79 
[2024/8/19 5:0:46] 物品:强效金创药	怪物:2933F5B0白野猪8	地图:H204	X:18	Y:79 
[2024/8/19 5:0:46] 物品:强效金创药	怪物:2933F5B0白野猪8	地图:H204	X:18	Y:79 
[2024/8/19 5:0:46] 物品:强效魔法药	怪物:2933F5B0白野猪8	地图:H204	X:18	Y:79 
[2024/8/19 5:0:46] 物品:强效魔法药	怪物:2933F5B0白野猪8	地图:H204	X:18	Y:79 
[2024/8/19 5:0:46] 物品:强效魔法药	怪物:2933F5B0白野猪8	地图:H204	X:18	Y:79 
[2024/8/19 5:0:46] 物品:强效魔法药	怪物:2933F5B0白野猪8	地图:H204	X:18	Y:79 
[2024/8/19 5:0:46] 物品:强效魔法药	怪物:2933F5B0白野猪8	地图:H204	X:18	Y:79 
[2024/8/19 5:0:46] 物品:强效魔法药	怪物:2933F5B0白野猪8	地图:H204	X:18	Y:79 
[2024/8/19 5:0:46] 物品:白金项链	怪物:2933F5B0白野猪8	地图:H204	X:18	Y:79 
[2024/8/19 5:0:46] 物品:蓝翡翠项链	怪物:2933F5B0白野猪8	地图:H204	X:18	Y:79 
[2024/8/19 5:0:52] 物品:白色虎齿项链	怪物:1C0C3230祖玛卫士8	地图:H204	X:34	Y:65 
[2024/8/19 5:0:55] 物品:破魂	怪物:2A391D50祖玛雕像8	地图:H204	X:34	Y:64 
[2024/8/19 5:0:56] 物品:魔法药(中量)	怪物:2DE15D90祖玛弓箭手8	地图:H202	X:89	Y:21 
[2024/8/19 5:0:56] 物品:强效魔法药	怪物:2DE15D90祖玛弓箭手8	地图:H202	X:89	Y:21 
[2024/8/19 5:1:2] 物品:道士手镯	怪物:235701A0祖玛弓箭手8	地图:H204	X:41	Y:62 
[2024/8/19 5:1:12] 物品:修罗	怪物:18427CA0祖玛卫士8	地图:H204	X:43	Y:52 
[2024/8/19 5:1:15] 物品:道德戒指	怪物:27B82500祖玛卫士8	地图:H202	X:89	Y:21 
[2024/8/19 5:1:16] 物品:坚固手套	怪物:19D67090祖玛雕像8	地图:H202	X:88	Y:21 
[2024/8/19 5:1:16] 物品:黑色水晶戒指	怪物:19D67090祖玛雕像8	地图:H202	X:88	Y:21 
[2024/8/19 5:1:16] 物品:强效太阳水	怪物:29E88200白野猪8	地图:H204	X:44	Y:52 
[2024/8/19 5:1:16] 物品:强效太阳水	怪物:29E88200白野猪8	地图:H204	X:44	Y:52 
[2024/8/19 5:1:16] 物品:强效太阳水	怪物:29E88200白野猪8	地图:H204	X:44	Y:52 
[2024/8/19 5:1:16] 物品:强效太阳水	怪物:29E88200白野猪8	地图:H204	X:44	Y:52 
[2024/8/19 5:1:16] 物品:强效太阳水	怪物:29E88200白野猪8	地图:H204	X:44	Y:52 
[2024/8/19 5:1:16] 物品:强效太阳水	怪物:29E88200白野猪8	地图:H204	X:44	Y:52 
[2024/8/19 5:1:16] 物品:强效太阳水	怪物:29E88200白野猪8	地图:H204	X:44	Y:52 
[2024/8/19 5:1:16] 物品:强效太阳水	怪物:29E88200白野猪8	地图:H204	X:44	Y:52 
[2024/8/19 5:1:16] 物品:强效太阳水	怪物:29E88200白野猪8	地图:H204	X:44	Y:52 
[2024/8/19 5:1:16] 物品:强效太阳水	怪物:29E88200白野猪8	地图:H204	X:44	Y:52 
[2024/8/19 5:1:16] 物品:太阳水	怪物:29E88200白野猪8	地图:H204	X:44	Y:52 
[2024/8/19 5:1:16] 物品:太阳水	怪物:29E88200白野猪8	地图:H204	X:44	Y:52 
[2024/8/19 5:1:16] 物品:太阳水	怪物:29E88200白野猪8	地图:H204	X:44	Y:52 
[2024/8/19 5:1:16] 物品:太阳水	怪物:29E88200白野猪8	地图:H204	X:44	Y:52 
[2024/8/19 5:1:16] 物品:太阳水	怪物:29E88200白野猪8	地图:H204	X:44	Y:52 
[2024/8/19 5:1:16] 物品:太阳水	怪物:29E88200白野猪8	地图:H204	X:44	Y:52 
[2024/8/19 5:1:16] 物品:太阳水	怪物:29E88200白野猪8	地图:H204	X:44	Y:52 
[2024/8/19 5:1:16] 物品:太阳水	怪物:29E88200白野猪8	地图:H204	X:44	Y:52 
[2024/8/19 5:1:16] 物品:太阳水	怪物:29E88200白野猪8	地图:H204	X:44	Y:52 
[2024/8/19 5:1:16] 物品:太阳水	怪物:29E88200白野猪8	地图:H204	X:44	Y:52 
[2024/8/19 5:1:16] 物品:金创药(中量)	怪物:29E88200白野猪8	地图:H204	X:44	Y:52 
[2024/8/19 5:1:16] 物品:金创药(中量)	怪物:29E88200白野猪8	地图:H204	X:44	Y:52 
[2024/8/19 5:1:16] 物品:金创药(中量)	怪物:29E88200白野猪8	地图:H204	X:44	Y:52 
[2024/8/19 5:1:16] 物品:强效金创药	怪物:29E88200白野猪8	地图:H204	X:44	Y:52 
[2024/8/19 5:1:16] 物品:强效金创药	怪物:29E88200白野猪8	地图:H204	X:44	Y:52 
[2024/8/19 5:1:16] 物品:强效金创药	怪物:29E88200白野猪8	地图:H204	X:44	Y:52 
[2024/8/19 5:1:16] 物品:魔法药(中量)	怪物:29E88200白野猪8	地图:H204	X:44	Y:52 
[2024/8/19 5:1:16] 物品:魔法药(中量)	怪物:29E88200白野猪8	地图:H204	X:44	Y:52 
[2024/8/19 5:1:16] 物品:魔法药(中量)	怪物:29E88200白野猪8	地图:H204	X:44	Y:52 
[2024/8/19 5:1:16] 物品:强效魔法药	怪物:29E88200白野猪8	地图:H204	X:44	Y:52 
[2024/8/19 5:1:16] 物品:强效魔法药	怪物:29E88200白野猪8	地图:H204	X:44	Y:52 
[2024/8/19 5:1:16] 物品:强效魔法药	怪物:29E88200白野猪8	地图:H204	X:44	Y:52 
[2024/8/19 5:1:16] 物品:强效金创药	怪物:29E88200白野猪8	地图:H204	X:44	Y:52 
[2024/8/19 5:1:16] 物品:强效金创药	怪物:29E88200白野猪8	地图:H204	X:44	Y:52 
[2024/8/19 5:1:16] 物品:强效金创药	怪物:29E88200白野猪8	地图:H204	X:44	Y:52 
[2024/8/19 5:1:16] 物品:强效金创药	怪物:29E88200白野猪8	地图:H204	X:44	Y:52 
[2024/8/19 5:1:16] 物品:强效金创药	怪物:29E88200白野猪8	地图:H204	X:44	Y:52 
[2024/8/19 5:1:16] 物品:强效金创药	怪物:29E88200白野猪8	地图:H204	X:44	Y:52 
[2024/8/19 5:1:16] 物品:强效魔法药	怪物:29E88200白野猪8	地图:H204	X:44	Y:52 
[2024/8/19 5:1:16] 物品:强效魔法药	怪物:29E88200白野猪8	地图:H204	X:44	Y:52 
[2024/8/19 5:1:16] 物品:强效魔法药	怪物:29E88200白野猪8	地图:H204	X:44	Y:52 
[2024/8/19 5:1:16] 物品:强效魔法药	怪物:29E88200白野猪8	地图:H204	X:44	Y:52 
[2024/8/19 5:1:16] 物品:强效魔法药	怪物:29E88200白野猪8	地图:H204	X:44	Y:52 
[2024/8/19 5:1:16] 物品:强效魔法药	怪物:29E88200白野猪8	地图:H204	X:44	Y:52 
[2024/8/19 5:1:16] 物品:龙之戒指	怪物:29E88200白野猪8	地图:H204	X:44	Y:52 
[2024/8/19 5:1:16] 物品:黑檀手镯	怪物:29E88200白野猪8	地图:H204	X:44	Y:52 
[2024/8/19 5:1:16] 物品:强效金创药	怪物:29C16420魔龙射手2	地图:66	X:34	Y:218 
[2024/8/19 5:1:17] 物品:魔法药(中量)	怪物:29294720祖玛雕像8	地图:H204	X:44	Y:52 
[2024/8/19 5:1:27] 物品:强效太阳水	怪物:28BDD1C0白野猪8	地图:H204	X:47	Y:43 
[2024/8/19 5:1:27] 物品:强效太阳水	怪物:28BDD1C0白野猪8	地图:H204	X:47	Y:43 
[2024/8/19 5:1:27] 物品:强效太阳水	怪物:28BDD1C0白野猪8	地图:H204	X:47	Y:43 
[2024/8/19 5:1:27] 物品:强效太阳水	怪物:28BDD1C0白野猪8	地图:H204	X:47	Y:43 
[2024/8/19 5:1:27] 物品:强效太阳水	怪物:28BDD1C0白野猪8	地图:H204	X:47	Y:43 
[2024/8/19 5:1:27] 物品:强效太阳水	怪物:28BDD1C0白野猪8	地图:H204	X:47	Y:43 
[2024/8/19 5:1:27] 物品:强效太阳水	怪物:28BDD1C0白野猪8	地图:H204	X:47	Y:43 
[2024/8/19 5:1:27] 物品:强效太阳水	怪物:28BDD1C0白野猪8	地图:H204	X:47	Y:43 
[2024/8/19 5:1:27] 物品:强效太阳水	怪物:28BDD1C0白野猪8	地图:H204	X:47	Y:43 
[2024/8/19 5:1:27] 物品:强效太阳水	怪物:28BDD1C0白野猪8	地图:H204	X:47	Y:43 
[2024/8/19 5:1:27] 物品:太阳水	怪物:28BDD1C0白野猪8	地图:H204	X:47	Y:43 
[2024/8/19 5:1:27] 物品:太阳水	怪物:28BDD1C0白野猪8	地图:H204	X:47	Y:43 
[2024/8/19 5:1:27] 物品:太阳水	怪物:28BDD1C0白野猪8	地图:H204	X:47	Y:43 
[2024/8/19 5:1:27] 物品:太阳水	怪物:28BDD1C0白野猪8	地图:H204	X:47	Y:43 
[2024/8/19 5:1:27] 物品:太阳水	怪物:28BDD1C0白野猪8	地图:H204	X:47	Y:43 
[2024/8/19 5:1:27] 物品:太阳水	怪物:28BDD1C0白野猪8	地图:H204	X:47	Y:43 
[2024/8/19 5:1:27] 物品:太阳水	怪物:28BDD1C0白野猪8	地图:H204	X:47	Y:43 
[2024/8/19 5:1:27] 物品:太阳水	怪物:28BDD1C0白野猪8	地图:H204	X:47	Y:43 
[2024/8/19 5:1:27] 物品:太阳水	怪物:28BDD1C0白野猪8	地图:H204	X:47	Y:43 
[2024/8/19 5:1:27] 物品:太阳水	怪物:28BDD1C0白野猪8	地图:H204	X:47	Y:43 
[2024/8/19 5:1:27] 物品:金创药(中量)	怪物:28BDD1C0白野猪8	地图:H204	X:47	Y:43 
[2024/8/19 5:1:27] 物品:金创药(中量)	怪物:28BDD1C0白野猪8	地图:H204	X:47	Y:43 
[2024/8/19 5:1:27] 物品:金创药(中量)	怪物:28BDD1C0白野猪8	地图:H204	X:47	Y:43 
[2024/8/19 5:1:27] 物品:强效金创药	怪物:28BDD1C0白野猪8	地图:H204	X:47	Y:43 
[2024/8/19 5:1:27] 物品:强效金创药	怪物:28BDD1C0白野猪8	地图:H204	X:47	Y:43 
[2024/8/19 5:1:27] 物品:强效金创药	怪物:28BDD1C0白野猪8	地图:H204	X:47	Y:43 
[2024/8/19 5:1:27] 物品:魔法药(中量)	怪物:28BDD1C0白野猪8	地图:H204	X:47	Y:43 
[2024/8/19 5:1:27] 物品:魔法药(中量)	怪物:28BDD1C0白野猪8	地图:H204	X:47	Y:43 
[2024/8/19 5:1:27] 物品:魔法药(中量)	怪物:28BDD1C0白野猪8	地图:H204	X:47	Y:43 
[2024/8/19 5:1:27] 物品:强效魔法药	怪物:28BDD1C0白野猪8	地图:H204	X:47	Y:43 
[2024/8/19 5:1:27] 物品:强效魔法药	怪物:28BDD1C0白野猪8	地图:H204	X:47	Y:43 
[2024/8/19 5:1:27] 物品:强效魔法药	怪物:28BDD1C0白野猪8	地图:H204	X:47	Y:43 
[2024/8/19 5:1:27] 物品:强效金创药	怪物:28BDD1C0白野猪8	地图:H204	X:47	Y:43 
[2024/8/19 5:1:27] 物品:强效金创药	怪物:28BDD1C0白野猪8	地图:H204	X:47	Y:43 
[2024/8/19 5:1:27] 物品:强效金创药	怪物:28BDD1C0白野猪8	地图:H204	X:47	Y:43 
[2024/8/19 5:1:27] 物品:强效金创药	怪物:28BDD1C0白野猪8	地图:H204	X:47	Y:43 
[2024/8/19 5:1:27] 物品:强效金创药	怪物:28BDD1C0白野猪8	地图:H204	X:47	Y:43 
[2024/8/19 5:1:27] 物品:强效金创药	怪物:28BDD1C0白野猪8	地图:H204	X:47	Y:43 
[2024/8/19 5:1:27] 物品:强效魔法药	怪物:28BDD1C0白野猪8	地图:H204	X:47	Y:43 
[2024/8/19 5:1:27] 物品:强效魔法药	怪物:28BDD1C0白野猪8	地图:H204	X:47	Y:43 
[2024/8/19 5:1:27] 物品:强效魔法药	怪物:28BDD1C0白野猪8	地图:H204	X:47	Y:43 
[2024/8/19 5:1:27] 物品:强效魔法药	怪物:28BDD1C0白野猪8	地图:H204	X:47	Y:43 
[2024/8/19 5:1:27] 物品:强效魔法药	怪物:28BDD1C0白野猪8	地图:H204	X:47	Y:43 
[2024/8/19 5:1:27] 物品:强效魔法药	怪物:28BDD1C0白野猪8	地图:H204	X:47	Y:43 
[2024/8/19 5:1:27] 物品:生铁戒指	怪物:28BDD1C0白野猪8	地图:H204	X:47	Y:43 
[2024/8/19 5:1:40] 物品:魔法药(中量)	怪物:28E223C0祖玛雕像8	地图:H204	X:36	Y:35 
[2024/8/19 5:1:40] 物品:魔法长袍(男)	怪物:28E223C0祖玛雕像8	地图:H204	X:36	Y:35 
[2024/8/19 5:1:45] 物品:道德戒指	怪物:2A655B00祖玛雕像8	地图:H202	X:87	Y:21 
[2024/8/19 5:1:46] 物品:蓝翡翠项链	怪物:2A172CF0魔龙破甲兵	地图:66	X:36	Y:207 
[2024/8/19 5:1:51] 物品:强效太阳水	怪物:2DC09EC0黄泉教主8	地图:H204	X:31	Y:28 
[2024/8/19 5:1:51] 物品:强效太阳水	怪物:2DC09EC0黄泉教主8	地图:H204	X:31	Y:28 
[2024/8/19 5:1:51] 物品:强效太阳水	怪物:2DC09EC0黄泉教主8	地图:H204	X:31	Y:28 
[2024/8/19 5:1:51] 物品:强效太阳水	怪物:2DC09EC0黄泉教主8	地图:H204	X:31	Y:28 
[2024/8/19 5:1:51] 物品:强效太阳水	怪物:2DC09EC0黄泉教主8	地图:H204	X:31	Y:28 
[2024/8/19 5:1:51] 物品:强效太阳水	怪物:2DC09EC0黄泉教主8	地图:H204	X:31	Y:28 
[2024/8/19 5:1:51] 物品:强效太阳水	怪物:2DC09EC0黄泉教主8	地图:H204	X:31	Y:28 
[2024/8/19 5:1:51] 物品:强效太阳水	怪物:2DC09EC0黄泉教主8	地图:H204	X:31	Y:28 
[2024/8/19 5:1:51] 物品:强效太阳水	怪物:2DC09EC0黄泉教主8	地图:H204	X:31	Y:28 
[2024/8/19 5:1:51] 物品:强效太阳水	怪物:2DC09EC0黄泉教主8	地图:H204	X:31	Y:28 
[2024/8/19 5:1:51] 物品:强效太阳水	怪物:2DC09EC0黄泉教主8	地图:H204	X:31	Y:28 
[2024/8/19 5:1:51] 物品:强效太阳水	怪物:2DC09EC0黄泉教主8	地图:H204	X:31	Y:28 
[2024/8/19 5:1:51] 物品:强效太阳水	怪物:2DC09EC0黄泉教主8	地图:H204	X:31	Y:28 
[2024/8/19 5:1:51] 物品:强效太阳水	怪物:2DC09EC0黄泉教主8	地图:H204	X:31	Y:28 
[2024/8/19 5:1:51] 物品:强效太阳水	怪物:2DC09EC0黄泉教主8	地图:H204	X:31	Y:28 
[2024/8/19 5:1:51] 物品:强效太阳水	怪物:2DC09EC0黄泉教主8	地图:H204	X:31	Y:28 
[2024/8/19 5:1:51] 物品:强效太阳水	怪物:2DC09EC0黄泉教主8	地图:H204	X:31	Y:28 
