[2024/8/17 17:0:5] 物品:魔法药(小量)	怪物:1BE39EC0僵尸5	地图:H201	X:94	Y:97 
[2024/8/17 17:1:9] 物品:强效魔法药	怪物:17F51640石墓尸王8	地图:H006	X:68	Y:33 
[2024/8/17 17:1:9] 物品:强效魔法药	怪物:17F51640石墓尸王8	地图:H006	X:68	Y:33 
[2024/8/17 17:1:9] 物品:强效魔法药	怪物:17F51640石墓尸王8	地图:H006	X:68	Y:33 
[2024/8/17 17:1:9] 物品:强效魔法药	怪物:17F51640石墓尸王8	地图:H006	X:68	Y:33 
[2024/8/17 17:1:9] 物品:强效魔法药	怪物:17F51640石墓尸王8	地图:H006	X:68	Y:33 
[2024/8/17 17:1:9] 物品:强效魔法药	怪物:17F51640石墓尸王8	地图:H006	X:68	Y:33 
[2024/8/17 17:1:9] 物品:强效魔法药	怪物:17F51640石墓尸王8	地图:H006	X:68	Y:33 
[2024/8/17 17:1:9] 物品:铂金戒指	怪物:17F51640石墓尸王8	地图:H006	X:68	Y:33 
[2024/8/17 17:1:9] 物品:记忆头盔	怪物:17F51640石墓尸王8	地图:H006	X:68	Y:33 
[2024/8/17 17:1:9] 物品:凝霜	怪物:17F51640石墓尸王8	地图:H006	X:68	Y:33 
[2024/8/17 17:1:10] 物品:神圣战甲术	怪物:2773F070僵尸1	地图:H201	X:92	Y:91 
[2024/8/17 17:1:14] 物品:重盔甲(男)	怪物:1F270BE0钳虫8	地图:H004	X:40	Y:64 
[2024/8/17 17:1:24] 物品:太阳水	怪物:05A58BC0黑色恶蛆8	地图:H004	X:67	Y:81 
[2024/8/17 17:1:24] 物品:魔法长袍(男)	怪物:05A58BC0黑色恶蛆8	地图:H004	X:67	Y:81 
[2024/8/17 17:1:26] 物品:强效太阳水	怪物:1E09C3F0尸王8	地图:H201	X:93	Y:89 
[2024/8/17 17:1:26] 物品:强效太阳水	怪物:1E09C3F0尸王8	地图:H201	X:93	Y:89 
[2024/8/17 17:1:26] 物品:强效太阳水	怪物:1E09C3F0尸王8	地图:H201	X:93	Y:89 
[2024/8/17 17:1:26] 物品:强效太阳水	怪物:1E09C3F0尸王8	地图:H201	X:93	Y:89 
[2024/8/17 17:1:26] 物品:强效太阳水	怪物:1E09C3F0尸王8	地图:H201	X:93	Y:89 
[2024/8/17 17:1:26] 物品:强效金创药	怪物:1E09C3F0尸王8	地图:H201	X:93	Y:89 
[2024/8/17 17:1:26] 物品:强效金创药	怪物:1E09C3F0尸王8	地图:H201	X:93	Y:89 
[2024/8/17 17:1:26] 物品:强效魔法药	怪物:1E09C3F0尸王8	地图:H201	X:93	Y:89 
[2024/8/17 17:1:26] 物品:强效魔法药	怪物:1E09C3F0尸王8	地图:H201	X:93	Y:89 
[2024/8/17 17:1:26] 物品:珍珠戒指	怪物:1E09C3F0尸王8	地图:H201	X:93	Y:89 
[2024/8/17 17:1:26] 物品:凝霜	怪物:1E09C3F0尸王8	地图:H201	X:93	Y:89 
[2024/8/17 17:1:28] 物品:金创药(小量)	怪物:28C52CB0僵尸4	地图:H201	X:92	Y:90 
[2024/8/17 17:1:29] 物品:太阳水	怪物:18492790黑野猪8	地图:H002	X:247	Y:34 
[2024/8/17 17:1:29] 物品:魔法药(小量)	怪物:2A1D6820僵尸5	地图:H201	X:13	Y:104 
[2024/8/17 17:1:29] 物品:精神力战法	怪物:2A1D6820僵尸5	地图:H201	X:13	Y:104 
[2024/8/17 17:1:32] 物品:施毒术	怪物:286CAE60僵尸40	地图:H201	X:11	Y:104 
[2024/8/17 17:1:32] 物品:隐身术	怪物:286CAE60僵尸40	地图:H201	X:11	Y:104 
[2024/8/17 17:1:32] 物品:抗拒火环	怪物:286CAE60僵尸40	地图:H201	X:11	Y:104 
[2024/8/17 17:1:32] 物品:精神力战法	怪物:286CAE60僵尸40	地图:H201	X:11	Y:104 
[2024/8/17 17:1:32] 物品:火球术	怪物:286CAE60僵尸40	地图:H201	X:11	Y:104 
[2024/8/17 17:1:32] 物品:治愈术	怪物:286CAE60僵尸40	地图:H201	X:11	Y:104 
[2024/8/17 17:1:32] 物品:基本剑术	怪物:286CAE60僵尸40	地图:H201	X:11	Y:104 
[2024/8/17 17:1:32] 物品:短剑	怪物:286CAE60僵尸40	地图:H201	X:11	Y:104 
[2024/8/17 17:1:32] 物品:轻型盔甲(女)	怪物:286CAE60僵尸40	地图:H201	X:11	Y:104 
[2024/8/17 17:1:32] 物品:中型盔甲(女)	怪物:286CAE60僵尸40	地图:H201	X:11	Y:104 
[2024/8/17 17:1:32] 物品:金创药(小量)	怪物:286CAE60僵尸40	地图:H201	X:11	Y:104 
[2024/8/17 17:1:32] 物品:金创药(小量)	怪物:286CAE60僵尸40	地图:H201	X:11	Y:104 
[2024/8/17 17:1:32] 物品:魔法药(小量)	怪物:286CAE60僵尸40	地图:H201	X:11	Y:104 
[2024/8/17 17:1:35] 物品:大火球	怪物:2804DFA0僵尸50	地图:H201	X:12	Y:103 
[2024/8/17 17:1:35] 物品:瞬息移动	怪物:2804DFA0僵尸50	地图:H201	X:12	Y:103 
[2024/8/17 17:1:35] 物品:地狱火	怪物:2804DFA0僵尸50	地图:H201	X:12	Y:103 
[2024/8/17 17:1:35] 物品:抗拒火环	怪物:2804DFA0僵尸50	地图:H201	X:12	Y:103 
[2024/8/17 17:1:35] 物品:精神力战法	怪物:2804DFA0僵尸50	地图:H201	X:12	Y:103 
[2024/8/17 17:1:35] 物品:火球术	怪物:2804DFA0僵尸50	地图:H201	X:12	Y:103 
[2024/8/17 17:1:35] 物品:治愈术	怪物:2804DFA0僵尸50	地图:H201	X:12	Y:103 
[2024/8/17 17:1:35] 物品:基本剑术	怪物:2804DFA0僵尸50	地图:H201	X:12	Y:103 
[2024/8/17 17:1:35] 物品:海魂	怪物:2804DFA0僵尸50	地图:H201	X:12	Y:103 
[2024/8/17 17:1:35] 物品:凌风	怪物:2804DFA0僵尸50	地图:H201	X:12	Y:103 
[2024/8/17 17:1:35] 物品:蓝色水晶戒指	怪物:2804DFA0僵尸50	地图:H201	X:12	Y:103 
[2024/8/17 17:1:35] 物品:魔鬼项链	怪物:2804DFA0僵尸50	地图:H201	X:12	Y:103 
[2024/8/17 17:1:35] 物品:凤凰明珠	怪物:2804DFA0僵尸50	地图:H201	X:12	Y:103 
[2024/8/17 17:1:35] 物品:铁剑	怪物:2804DFA0僵尸50	地图:H201	X:12	Y:103 
[2024/8/17 17:1:35] 物品:短剑	怪物:2804DFA0僵尸50	地图:H201	X:12	Y:103 
[2024/8/17 17:1:35] 物品:轻型盔甲(男)	怪物:2804DFA0僵尸50	地图:H201	X:12	Y:103 
[2024/8/17 17:1:35] 物品:轻型盔甲(女)	怪物:2804DFA0僵尸50	地图:H201	X:12	Y:103 
[2024/8/17 17:1:35] 物品:青铜斧	怪物:2804DFA0僵尸50	地图:H201	X:12	Y:103 
[2024/8/17 17:1:35] 物品:黑檀项链	怪物:2804DFA0僵尸50	地图:H201	X:12	Y:103 
[2024/8/17 17:1:35] 物品:黄色水晶项链	怪物:2804DFA0僵尸50	地图:H201	X:12	Y:103 
[2024/8/17 17:1:35] 物品:黑色水晶项链	怪物:2804DFA0僵尸50	地图:H201	X:12	Y:103 
[2024/8/17 17:1:35] 物品:青铜头盔	怪物:2804DFA0僵尸50	地图:H201	X:12	Y:103 
[2024/8/17 17:1:35] 物品:金创药(小量)	怪物:2804DFA0僵尸50	地图:H201	X:12	Y:103 
[2024/8/17 17:1:35] 物品:金创药(小量)	怪物:2804DFA0僵尸50	地图:H201	X:12	Y:103 
[2024/8/17 17:1:35] 物品:金创药(小量)	怪物:2804DFA0僵尸50	地图:H201	X:12	Y:103 
[2024/8/17 17:1:35] 物品:金创药(小量)	怪物:2804DFA0僵尸50	地图:H201	X:12	Y:103 
[2024/8/17 17:1:35] 物品:魔法药(小量)	怪物:2804DFA0僵尸50	地图:H201	X:12	Y:103 
[2024/8/17 17:1:35] 物品:魔法药(小量)	怪物:2804DFA0僵尸50	地图:H201	X:12	Y:103 
[2024/8/17 17:1:35] 物品:魔法药(小量)	怪物:2804DFA0僵尸50	地图:H201	X:12	Y:103 
[2024/8/17 17:1:35] 物品:魔法药(小量)	怪物:2804DFA0僵尸50	地图:H201	X:12	Y:103 
[2024/8/17 17:1:39] 物品:火球术	怪物:2859E380僵尸1	地图:H201	X:13	Y:104 
[2024/8/17 17:1:40] 物品:强效太阳水	怪物:0D6A2210尸王8	地图:H201	X:94	Y:88 
[2024/8/17 17:1:40] 物品:强效太阳水	怪物:0D6A2210尸王8	地图:H201	X:94	Y:88 
[2024/8/17 17:1:40] 物品:强效太阳水	怪物:0D6A2210尸王8	地图:H201	X:94	Y:88 
[2024/8/17 17:1:40] 物品:强效太阳水	怪物:0D6A2210尸王8	地图:H201	X:94	Y:88 
[2024/8/17 17:1:40] 物品:强效太阳水	怪物:0D6A2210尸王8	地图:H201	X:94	Y:88 
[2024/8/17 17:1:40] 物品:强效金创药	怪物:0D6A2210尸王8	地图:H201	X:94	Y:88 
[2024/8/17 17:1:40] 物品:强效金创药	怪物:0D6A2210尸王8	地图:H201	X:94	Y:88 
[2024/8/17 17:1:40] 物品:强效魔法药	怪物:0D6A2210尸王8	地图:H201	X:94	Y:88 
[2024/8/17 17:1:40] 物品:强效魔法药	怪物:0D6A2210尸王8	地图:H201	X:94	Y:88 
[2024/8/17 17:1:40] 物品:蛇眼戒指	怪物:0D6A2210尸王8	地图:H201	X:94	Y:88 
[2024/8/17 17:1:40] 物品:生铁戒指	怪物:0D6A2210尸王8	地图:H201	X:94	Y:88 
[2024/8/17 17:1:51] 物品:魔法药(小量)	怪物:245EAB30僵尸4	地图:H201	X:92	Y:88 
[2024/8/17 17:2:0] 物品:强效太阳水	怪物:2097FD80尸王8	地图:H201	X:21	Y:91 
[2024/8/17 17:2:0] 物品:强效太阳水	怪物:2097FD80尸王8	地图:H201	X:21	Y:91 
[2024/8/17 17:2:0] 物品:强效太阳水	怪物:2097FD80尸王8	地图:H201	X:21	Y:91 
[2024/8/17 17:2:0] 物品:强效太阳水	怪物:2097FD80尸王8	地图:H201	X:21	Y:91 
[2024/8/17 17:2:0] 物品:强效太阳水	怪物:2097FD80尸王8	地图:H201	X:21	Y:91 
[2024/8/17 17:2:0] 物品:强效金创药	怪物:2097FD80尸王8	地图:H201	X:21	Y:91 
[2024/8/17 17:2:0] 物品:强效金创药	怪物:2097FD80尸王8	地图:H201	X:21	Y:91 
[2024/8/17 17:2:0] 物品:强效魔法药	怪物:2097FD80尸王8	地图:H201	X:21	Y:91 
[2024/8/17 17:2:0] 物品:强效魔法药	怪物:2097FD80尸王8	地图:H201	X:21	Y:91 
[2024/8/17 17:2:0] 物品:黑色水晶戒指	怪物:2097FD80尸王8	地图:H201	X:21	Y:91 
[2024/8/17 17:2:0] 物品:凝霜	怪物:2097FD80尸王8	地图:H201	X:21	Y:91 
[2024/8/17 17:2:1] 物品:魔法药(小量)	怪物:0F6FACB0僵尸5	地图:H201	X:89	Y:84 
[2024/8/17 17:2:3] 物品:灵魂战衣(女)	怪物:1A337ED0巨型蠕虫8	地图:H004	X:25	Y:50 
[2024/8/17 17:2:7] 物品:强效太阳水	怪物:03AF0E90尸王8	地图:H201	X:21	Y:90 
[2024/8/17 17:2:7] 物品:强效太阳水	怪物:03AF0E90尸王8	地图:H201	X:21	Y:90 
[2024/8/17 17:2:7] 物品:强效太阳水	怪物:03AF0E90尸王8	地图:H201	X:21	Y:90 
[2024/8/17 17:2:7] 物品:强效太阳水	怪物:03AF0E90尸王8	地图:H201	X:21	Y:90 
[2024/8/17 17:2:7] 物品:强效太阳水	怪物:03AF0E90尸王8	地图:H201	X:21	Y:90 
[2024/8/17 17:2:7] 物品:强效金创药	怪物:03AF0E90尸王8	地图:H201	X:21	Y:90 
[2024/8/17 17:2:7] 物品:强效金创药	怪物:03AF0E90尸王8	地图:H201	X:21	Y:90 
[2024/8/17 17:2:7] 物品:强效魔法药	怪物:03AF0E90尸王8	地图:H201	X:21	Y:90 
[2024/8/17 17:2:7] 物品:强效魔法药	怪物:03AF0E90尸王8	地图:H201	X:21	Y:90 
[2024/8/17 17:2:7] 物品:骷髅戒指	怪物:03AF0E90尸王8	地图:H201	X:21	Y:90 
[2024/8/17 17:2:7] 物品:黑檀手镯	怪物:03AF0E90尸王8	地图:H201	X:21	Y:90 
[2024/8/17 17:2:12] 物品:魔法药(小量)	怪物:1B2F8890僵尸3	地图:D2000	X:68	Y:159 
[2024/8/17 17:2:13] 物品:魔鬼项链	怪物:27C45BC0祖玛卫士8	地图:H203	X:43	Y:32 
[2024/8/17 17:2:20] 物品:召唤骷髅	怪物:27C35180僵尸50	地图:H201	X:33	Y:100 
[2024/8/17 17:2:20] 物品:瞬息移动	怪物:27C35180僵尸50	地图:H201	X:33	Y:100 
[2024/8/17 17:2:20] 物品:抗拒火环	怪物:27C35180僵尸50	地图:H201	X:33	Y:100 
[2024/8/17 17:2:20] 物品:精神力战法	怪物:27C35180僵尸50	地图:H201	X:33	Y:100 
[2024/8/17 17:2:20] 物品:火球术	怪物:27C35180僵尸50	地图:H201	X:33	Y:100 
[2024/8/17 17:2:20] 物品:治愈术	怪物:27C35180僵尸50	地图:H201	X:33	Y:100 
[2024/8/17 17:2:20] 物品:基本剑术	怪物:27C35180僵尸50	地图:H201	X:33	Y:100 
[2024/8/17 17:2:20] 物品:八荒	怪物:27C35180僵尸50	地图:H201	X:33	Y:100 
[2024/8/17 17:2:20] 物品:半月	怪物:27C35180僵尸50	地图:H201	X:33	Y:100 
[2024/8/17 17:2:20] 物品:凌风	怪物:27C35180僵尸50	地图:H201	X:33	Y:100 
[2024/8/17 17:2:20] 物品:坚固手套	怪物:27C35180僵尸50	地图:H201	X:33	Y:100 
[2024/8/17 17:2:20] 物品:魔力手镯	怪物:27C35180僵尸50	地图:H201	X:33	Y:100 
[2024/8/17 17:2:20] 物品:灯笼项链	怪物:27C35180僵尸50	地图:H201	X:33	Y:100 
[2024/8/17 17:2:20] 物品:铁剑	怪物:27C35180僵尸50	地图:H201	X:33	Y:100 
[2024/8/17 17:2:20] 物品:短剑	怪物:27C35180僵尸50	地图:H201	X:33	Y:100 
[2024/8/17 17:2:20] 物品:轻型盔甲(男)	怪物:27C35180僵尸50	地图:H201	X:33	Y:100 
[2024/8/17 17:2:20] 物品:轻型盔甲(女)	怪物:27C35180僵尸50	地图:H201	X:33	Y:100 
[2024/8/17 17:2:20] 物品:中型盔甲(男)	怪物:27C35180僵尸50	地图:H201	X:33	Y:100 
[2024/8/17 17:2:20] 物品:青铜斧	怪物:27C35180僵尸50	地图:H201	X:33	Y:100 
[2024/8/17 17:2:20] 物品:黑檀项链	怪物:27C35180僵尸50	地图:H201	X:33	Y:100 
[2024/8/17 17:2:20] 物品:黄色水晶项链	怪物:27C35180僵尸50	地图:H201	X:33	Y:100 
[2024/8/17 17:2:20] 物品:黑色水晶项链	怪物:27C35180僵尸50	地图:H201	X:33	Y:100 
[2024/8/17 17:2:20] 物品:青铜头盔	怪物:27C35180僵尸50	地图:H201	X:33	Y:100 
[2024/8/17 17:2:20] 物品:金创药(小量)	怪物:27C35180僵尸50	地图:H201	X:33	Y:100 
[2024/8/17 17:2:20] 物品:金创药(小量)	怪物:27C35180僵尸50	地图:H201	X:33	Y:100 
[2024/8/17 17:2:20] 物品:金创药(小量)	怪物:27C35180僵尸50	地图:H201	X:33	Y:100 
[2024/8/17 17:2:20] 物品:金创药(小量)	怪物:27C35180僵尸50	地图:H201	X:33	Y:100 
[2024/8/17 17:2:20] 物品:魔法药(小量)	怪物:27C35180僵尸50	地图:H201	X:33	Y:100 
[2024/8/17 17:2:20] 物品:魔法药(小量)	怪物:27C35180僵尸50	地图:H201	X:33	Y:100 
[2024/8/17 17:2:20] 物品:魔法药(小量)	怪物:27C35180僵尸50	地图:H201	X:33	Y:100 
[2024/8/17 17:2:20] 物品:魔法药(小量)	怪物:27C35180僵尸50	地图:H201	X:33	Y:100 
[2024/8/17 17:2:21] 物品:祝福油	怪物:1DDA4E90蜈蚣8	地图:H004	X:21	Y:42 
[2024/8/17 17:2:22] 物品:强效太阳水	怪物:17B85FA0尸王8	地图:H201	X:87	Y:83 
[2024/8/17 17:2:22] 物品:强效太阳水	怪物:17B85FA0尸王8	地图:H201	X:87	Y:83 
[2024/8/17 17:2:22] 物品:强效太阳水	怪物:17B85FA0尸王8	地图:H201	X:87	Y:83 
[2024/8/17 17:2:22] 物品:强效太阳水	怪物:17B85FA0尸王8	地图:H201	X:87	Y:83 
[2024/8/17 17:2:22] 物品:强效太阳水	怪物:17B85FA0尸王8	地图:H201	X:87	Y:83 
[2024/8/17 17:2:22] 物品:强效金创药	怪物:17B85FA0尸王8	地图:H201	X:87	Y:83 
[2024/8/17 17:2:22] 物品:强效金创药	怪物:17B85FA0尸王8	地图:H201	X:87	Y:83 
[2024/8/17 17:2:22] 物品:强效魔法药	怪物:17B85FA0尸王8	地图:H201	X:87	Y:83 
