[2024/8/22 9:0:1] 物品:道德戒指	怪物:2CAD8020魔龙破甲兵	地图:66	X:46	Y:126 
[2024/8/22 9:1:28] 物品:魔法药(中量)	怪物:243DD150沃玛卫士8	地图:H003	X:32	Y:54 
[2024/8/22 9:1:28] 物品:魔法药(中量)	怪物:243DD150沃玛卫士8	地图:H003	X:32	Y:54 
[2024/8/22 9:1:28] 物品:强效魔法药	怪物:243DD150沃玛卫士8	地图:H003	X:32	Y:54 
[2024/8/22 9:1:28] 物品:强效魔法药	怪物:243DD150沃玛卫士8	地图:H003	X:32	Y:54 
[2024/8/22 9:1:28] 物品:强效魔法药	怪物:243DD150沃玛卫士8	地图:H003	X:32	Y:54 
[2024/8/22 9:1:28] 物品:魔鬼项链	怪物:243DD150沃玛卫士8	地图:H003	X:32	Y:54 
[2024/8/22 9:1:28] 物品:白色虎齿项链	怪物:243DD150沃玛卫士8	地图:H003	X:32	Y:54 
[2024/8/22 9:1:28] 物品:半月弯刀	怪物:243DD150沃玛卫士8	地图:H003	X:32	Y:54 
[2024/8/22 9:1:36] 物品:苹果	怪物:12A9D410魔龙破甲兵	地图:66	X:42	Y:110 
[2024/8/22 9:1:51] 物品:刺杀剑术	怪物:13AA5FD0恶灵尸王	地图:H201	X:65	Y:169 
[2024/8/22 9:1:51] 物品:爆裂火焰	怪物:13AA5FD0恶灵尸王	地图:H201	X:65	Y:169 
[2024/8/22 9:1:51] 物品:集体隐身术	怪物:13AA5FD0恶灵尸王	地图:H201	X:65	Y:169 
[2024/8/22 9:1:51] 物品:隐身术	怪物:13AA5FD0恶灵尸王	地图:H201	X:65	Y:169 
[2024/8/22 9:2:0] 物品:黑檀手镯	怪物:25CD6140魔龙破甲兵	地图:66	X:35	Y:104 
[2024/8/22 9:2:6] 物品:强效金创药	怪物:234F2650魔龙射手	地图:66	X:36	Y:110 
[2024/8/22 9:2:6] 物品:强效魔法药	怪物:234F2650魔龙射手	地图:66	X:36	Y:110 
[2024/8/22 9:2:12] 物品:放大镜	怪物:2D05E8B0魔龙破甲兵	地图:66	X:34	Y:110 
[2024/8/22 9:2:12] 物品:爆裂火焰	怪物:28A3DBF0恶灵尸王	地图:H201	X:64	Y:152 
[2024/8/22 9:2:12] 物品:攻杀剑术	怪物:28A3DBF0恶灵尸王	地图:H201	X:64	Y:152 
[2024/8/22 9:2:14] 物品:治愈术	怪物:26837330僵尸1	地图:H201	X:60	Y:153 
[2024/8/22 9:2:17] 物品:金创药(小量)	怪物:14515290僵尸5	地图:H201	X:62	Y:154 
[2024/8/22 9:2:18] 物品:竹笛	怪物:1E2A9E30魔龙射手	地图:66	X:29	Y:107 
[2024/8/22 9:2:18] 物品:魔法长袍(男)	怪物:1E2A9E30魔龙射手	地图:66	X:29	Y:107 
[2024/8/22 9:2:18] 物品:钢手镯	怪物:28F6CA80半兽战士	地图:11	X:140	Y:353 
[2024/8/22 9:2:22] 物品:金创药(小量)	怪物:1214E1E0僵尸4	地图:H201	X:60	Y:149 
[2024/8/22 9:2:25] 物品:强效魔法药	怪物:29058980魔龙刺蛙1	地图:66	X:39	Y:100 
[2024/8/22 9:2:29] 物品:金创药(小量)	怪物:23F4F220僵尸5	地图:H201	X:55	Y:146 
[2024/8/22 9:2:29] 物品:强效金创药	怪物:23061F10魔龙血蛙	地图:66	X:40	Y:99 
[2024/8/22 9:2:29] 物品:金戒指	怪物:23061F10魔龙血蛙	地图:66	X:40	Y:99 
[2024/8/22 9:2:35] 物品:金创药(小量)	怪物:23FDC790僵尸5	地图:H201	X:53	Y:145 
[2024/8/22 9:2:36] 物品:强效太阳水	怪物:157C0720魔龙破甲兵	地图:66	X:45	Y:101 
[2024/8/22 9:2:37] 物品:强效太阳水	怪物:23E48EA0尸王8	地图:H201	X:56	Y:144 
[2024/8/22 9:2:37] 物品:强效太阳水	怪物:23E48EA0尸王8	地图:H201	X:56	Y:144 
[2024/8/22 9:2:37] 物品:强效太阳水	怪物:23E48EA0尸王8	地图:H201	X:56	Y:144 
[2024/8/22 9:2:37] 物品:强效太阳水	怪物:23E48EA0尸王8	地图:H201	X:56	Y:144 
[2024/8/22 9:2:37] 物品:强效太阳水	怪物:23E48EA0尸王8	地图:H201	X:56	Y:144 
[2024/8/22 9:2:37] 物品:强效金创药	怪物:23E48EA0尸王8	地图:H201	X:56	Y:144 
[2024/8/22 9:2:37] 物品:强效金创药	怪物:23E48EA0尸王8	地图:H201	X:56	Y:144 
[2024/8/22 9:2:37] 物品:强效魔法药	怪物:23E48EA0尸王8	地图:H201	X:56	Y:144 
[2024/8/22 9:2:37] 物品:强效魔法药	怪物:23E48EA0尸王8	地图:H201	X:56	Y:144 
[2024/8/22 9:2:37] 物品:蛇眼戒指	怪物:23E48EA0尸王8	地图:H201	X:56	Y:144 
[2024/8/22 9:2:37] 物品:黑檀手镯	怪物:23E48EA0尸王8	地图:H201	X:56	Y:144 
[2024/8/22 9:2:37] 物品:魔力手镯	怪物:23E48EA0尸王8	地图:H201	X:56	Y:144 
[2024/8/22 9:2:46] 物品:金创药(小量)	怪物:2329E4D0僵尸5	地图:H201	X:47	Y:136 
[2024/8/22 9:2:55] 物品:强效金创药	怪物:246EEA10魔龙巨蛾	地图:66	X:45	Y:102 
[2024/8/22 9:2:55] 物品:强效金创药	怪物:246EEA10魔龙巨蛾	地图:66	X:45	Y:102 
[2024/8/22 9:2:55] 物品:强效金创药	怪物:246EEA10魔龙巨蛾	地图:66	X:45	Y:102 
[2024/8/22 9:3:15] 物品:火球术	怪物:2AA634B0僵尸1	地图:H201	X:39	Y:124 
[2024/8/22 9:3:18] 物品:魔法药(小量)	怪物:2CC13500僵尸5	地图:H201	X:42	Y:136 
[2024/8/22 9:3:23] 物品:强效金创药	怪物:2D049D60魔龙刀兵2	地图:66	X:55	Y:103 
[2024/8/22 9:3:24] 物品:强效太阳水	怪物:1806C9A0尸王8	地图:H201	X:38	Y:123 
[2024/8/22 9:3:24] 物品:强效太阳水	怪物:1806C9A0尸王8	地图:H201	X:38	Y:123 
[2024/8/22 9:3:24] 物品:强效太阳水	怪物:1806C9A0尸王8	地图:H201	X:38	Y:123 
[2024/8/22 9:3:24] 物品:强效太阳水	怪物:1806C9A0尸王8	地图:H201	X:38	Y:123 
[2024/8/22 9:3:24] 物品:强效太阳水	怪物:1806C9A0尸王8	地图:H201	X:38	Y:123 
[2024/8/22 9:3:24] 物品:强效金创药	怪物:1806C9A0尸王8	地图:H201	X:38	Y:123 
[2024/8/22 9:3:24] 物品:强效金创药	怪物:1806C9A0尸王8	地图:H201	X:38	Y:123 
[2024/8/22 9:3:24] 物品:强效魔法药	怪物:1806C9A0尸王8	地图:H201	X:38	Y:123 
[2024/8/22 9:3:24] 物品:强效魔法药	怪物:1806C9A0尸王8	地图:H201	X:38	Y:123 
[2024/8/22 9:3:24] 物品:道德戒指	怪物:1806C9A0尸王8	地图:H201	X:38	Y:123 
[2024/8/22 9:3:24] 物品:蓝翡翠项链	怪物:1806C9A0尸王8	地图:H201	X:38	Y:123 
[2024/8/22 9:3:24] 物品:黑檀手镯	怪物:1806C9A0尸王8	地图:H201	X:38	Y:123 
[2024/8/22 9:3:25] 物品:金创药(小量)	怪物:2329E4D0僵尸5	地图:H201	X:46	Y:136 
[2024/8/22 9:3:31] 物品:战神油	怪物:1B2B8360蜈蚣8	地图:H004	X:97	Y:90 
[2024/8/22 9:3:33] 物品:强效金创药	怪物:2B163380魔龙射手	地图:66	X:64	Y:103 
[2024/8/22 9:3:33] 物品:太阳水	怪物:2B163380魔龙射手	地图:66	X:64	Y:103 
[2024/8/22 9:3:43] 物品:太阳水	怪物:22F25B20僵尸5	地图:H201	X:39	Y:115 
[2024/8/22 9:3:43] 物品:诱惑之光	怪物:22F25B20僵尸5	地图:H201	X:39	Y:115 
[2024/8/22 9:3:44] 物品:金创药(小量)	怪物:242E3380僵尸4	地图:H201	X:37	Y:124 
[2024/8/22 9:3:52] 物品:强效金创药	怪物:249BBA00魔龙射手	地图:66	X:71	Y:107 
[2024/8/22 9:3:55] 物品:强效魔法药	怪物:25D07E80魔龙刺蛙	地图:66	X:71	Y:106 
[2024/8/22 9:3:55] 物品:重盔甲(女)	怪物:25D07E80魔龙刺蛙	地图:66	X:71	Y:106 
[2024/8/22 9:3:59] 物品:强效魔法药	怪物:240D54C0魔龙破甲兵	地图:66	X:71	Y:106 
[2024/8/22 9:3:59] 物品:太阳水	怪物:240D54C0魔龙破甲兵	地图:66	X:71	Y:106 
[2024/8/22 9:3:59] 物品:放大镜	怪物:240D54C0魔龙破甲兵	地图:66	X:71	Y:106 
[2024/8/22 9:4:3] 物品:幽灵盾	怪物:178EC9C0恶灵尸王	地图:H201	X:46	Y:109 
[2024/8/22 9:4:3] 物品:攻杀剑术	怪物:178EC9C0恶灵尸王	地图:H201	X:46	Y:109 
[2024/8/22 9:4:3] 物品:地狱火	怪物:178EC9C0恶灵尸王	地图:H201	X:46	Y:109 
[2024/8/22 9:4:19] 物品:绿宝石矿	怪物:23C83AF0变异史莱姆8	地图:H004	X:101	Y:103 
[2024/8/22 9:4:25] 物品:金创药(小量)	怪物:18176420僵尸4	地图:H201	X:59	Y:102 
[2024/8/22 9:4:25] 物品:魔法药(小量)	怪物:18176420僵尸4	地图:H201	X:59	Y:102 
[2024/8/22 9:4:26] 物品:强效金创药	怪物:288B0760魔龙破甲兵1	地图:66	X:75	Y:89 
[2024/8/22 9:4:29] 物品:太阳水	怪物:22FBD420僵尸5	地图:H201	X:55	Y:99 
[2024/8/22 9:4:30] 物品:太阳水	怪物:24D962C0僵尸5	地图:H201	X:55	Y:102 
[2024/8/22 9:4:32] 物品:强效魔法药	怪物:2CBEDDF0魔龙刀兵	地图:66	X:74	Y:88 
[2024/8/22 9:4:38] 物品:金创药(小量)	怪物:24D962C0僵尸5	地图:H201	X:55	Y:102 
[2024/8/22 9:4:40] 物品:轻型盔甲(男)	怪物:1BD38DA0黑色恶蛆	地图:D713	X:139	Y:314 
[2024/8/22 9:4:53] 物品:强效魔法药	怪物:2ADD8B80魔龙战将	地图:66	X:75	Y:81 
[2024/8/22 9:4:53] 物品:强效金创药	怪物:2ADD8B80魔龙战将	地图:66	X:75	Y:81 
[2024/8/22 9:5:5] 物品:太阳水	怪物:28EA42D0僵尸5	地图:H201	X:39	Y:82 
[2024/8/22 9:5:7] 物品:魔法药(小量)	怪物:2B21EF50僵尸4	地图:H201	X:38	Y:83 
[2024/8/22 9:5:8] 物品:魔力手镯	怪物:2B613250黑野猪	地图:D713	X:143	Y:317 
[2024/8/22 9:5:12] 物品:抗拒火环	怪物:234BDAA0僵尸1	地图:H201	X:36	Y:81 
[2024/8/22 9:5:21] 物品:金创药(小量)	怪物:28F14F30僵尸4	地图:H201	X:41	Y:84 
[2024/8/22 9:5:22] 物品:魔法药(小量)	怪物:28EA42D0僵尸5	地图:H201	X:39	Y:82 
[2024/8/22 9:5:27] 物品:降妖除魔戒指	怪物:2B3CF1D0魔龙射手	地图:66	X:57	Y:92 
[2024/8/22 9:5:41] 物品:强效金创药	怪物:17352C40魔龙射手2	地图:66	X:56	Y:80 
[2024/8/22 9:5:41] 物品:金手镯	怪物:17352C40魔龙射手2	地图:66	X:56	Y:80 
[2024/8/22 9:5:42] 物品:金创药(小量)	怪物:2A3A59F0僵尸4	地图:H201	X:29	Y:94 
[2024/8/22 9:5:52] 物品:强效金创药	怪物:23C6A750魔龙射手	地图:66	X:52	Y:75 
[2024/8/22 9:5:59] 物品:金创药(小量)	怪物:2A3A59F0僵尸4	地图:H201	X:29	Y:95 
[2024/8/22 9:6:15] 物品:爆裂火焰	怪物:1442B650恶灵尸王	地图:H201	X:26	Y:102 
[2024/8/22 9:6:15] 物品:灵魂火符	怪物:1442B650恶灵尸王	地图:H201	X:26	Y:102 
[2024/8/22 9:6:23] 物品:强效太阳水	怪物:15A34A10魔龙破甲兵	地图:66	X:53	Y:55 
[2024/8/22 9:6:29] 物品:祝福油	怪物:2BC43560跳跳蜂8	地图:H004	X:56	Y:85 
[2024/8/22 9:6:30] 物品:强效魔法药	怪物:1735DDC0魔龙射手	地图:66	X:58	Y:53 
[2024/8/22 9:6:30] 物品:强效金创药	怪物:1735DDC0魔龙射手	地图:66	X:58	Y:53 
[2024/8/22 9:6:30] 物品:强效金创药	怪物:1735DDC0魔龙射手	地图:66	X:58	Y:53 
[2024/8/22 9:6:30] 物品:凝霜	怪物:1735DDC0魔龙射手	地图:66	X:58	Y:53 
[2024/8/22 9:6:31] 物品:金创药(小量)	怪物:2AE8E190僵尸5	地图:H201	X:18	Y:99 
[2024/8/22 9:6:31] 物品:召唤骷髅	怪物:2AE8E190僵尸5	地图:H201	X:18	Y:99 
[2024/8/22 9:6:38] 物品:金创药(小量)	怪物:23A63200僵尸5	地图:H201	X:16	Y:106 
[2024/8/22 9:6:40] 物品:魔法药(小量)	怪物:2891B670僵尸5	地图:H201	X:15	Y:106 
[2024/8/22 9:6:40] 物品:攻击力药水	怪物:2891B670僵尸5	地图:H201	X:15	Y:106 
[2024/8/22 9:6:59] 物品:隐身术	怪物:2B406B60恶灵尸王	地图:H201	X:14	Y:97 
[2024/8/22 9:6:59] 物品:瞬息移动	怪物:2B406B60恶灵尸王	地图:H201	X:14	Y:97 
[2024/8/22 9:7:5] 物品:太阳水	怪物:15688E50魔龙射手	地图:66	X:45	Y:43 
[2024/8/22 9:7:7] 物品:爆裂火焰	怪物:2CF515C0僵尸5	地图:H201	X:19	Y:93 
[2024/8/22 9:7:11] 物品:强效金创药	怪物:22E49B60魔龙破甲兵	地图:66	X:44	Y:44 
[2024/8/22 9:7:11] 物品:强效魔法药	怪物:22E49B60魔龙破甲兵	地图:66	X:44	Y:44 
[2024/8/22 9:7:16] 物品:强效太阳水	怪物:1290D710魔龙破甲兵	地图:66	X:45	Y:46 
[2024/8/22 9:7:42] 物品:珊瑚戒指	怪物:13ED9940魔龙射手	地图:66	X:34	Y:49 
[2024/8/22 9:7:42] 物品:降魔	怪物:13ED9940魔龙射手	地图:66	X:34	Y:49 
[2024/8/22 9:7:48] 物品:强效太阳水	怪物:2931E800魔龙射手	地图:66	X:41	Y:44 
[2024/8/22 9:7:52] 物品:强效魔法药	怪物:2556C3C0魔龙刀兵	地图:66	X:39	Y:44 
[2024/8/22 9:7:54] 物品:强效太阳水	怪物:230C1640尸王8	地图:H201	X:32	Y:74 
[2024/8/22 9:7:54] 物品:强效太阳水	怪物:230C1640尸王8	地图:H201	X:32	Y:74 
[2024/8/22 9:7:54] 物品:强效太阳水	怪物:230C1640尸王8	地图:H201	X:32	Y:74 
[2024/8/22 9:7:54] 物品:强效太阳水	怪物:230C1640尸王8	地图:H201	X:32	Y:74 
[2024/8/22 9:7:54] 物品:强效太阳水	怪物:230C1640尸王8	地图:H201	X:32	Y:74 
[2024/8/22 9:7:54] 物品:强效金创药	怪物:230C1640尸王8	地图:H201	X:32	Y:74 
[2024/8/22 9:7:54] 物品:强效金创药	怪物:230C1640尸王8	地图:H201	X:32	Y:74 
[2024/8/22 9:7:54] 物品:强效魔法药	怪物:230C1640尸王8	地图:H201	X:32	Y:74 
[2024/8/22 9:7:54] 物品:强效魔法药	怪物:230C1640尸王8	地图:H201	X:32	Y:74 
[2024/8/22 9:7:54] 物品:道德戒指	怪物:230C1640尸王8	地图:H201	X:32	Y:74 
[2024/8/22 9:7:54] 物品:黑檀手镯	怪物:230C1640尸王8	地图:H201	X:32	Y:74 
[2024/8/22 9:7:58] 物品:金创药(中量)	怪物:1B38AE70红野猪	地图:D713	X:166	Y:340 
[2024/8/22 9:8:15] 物品:太阳水	怪物:2C9F60B0恶灵尸王	地图:H201	X:37	Y:64 
[2024/8/22 9:8:15] 物品:疾光电影	怪物:2C9F60B0恶灵尸王	地图:H201	X:37	Y:64 
[2024/8/22 9:8:16] 物品:灵魂火符	怪物:23CD2B00僵尸40	地图:H201	X:34	Y:67 
[2024/8/22 9:8:16] 物品:抗拒火环	怪物:23CD2B00僵尸40	地图:H201	X:34	Y:67 
[2024/8/22 9:8:16] 物品:精神力战法	怪物:23CD2B00僵尸40	地图:H201	X:34	Y:67 
[2024/8/22 9:8:16] 物品:火球术	怪物:23CD2B00僵尸40	地图:H201	X:34	Y:67 
[2024/8/22 9:8:16] 物品:治愈术	怪物:23CD2B00僵尸40	地图:H201	X:34	Y:67 
[2024/8/22 9:8:16] 物品:基本剑术	怪物:23CD2B00僵尸40	地图:H201	X:34	Y:67 
[2024/8/22 9:8:16] 物品:灯笼项链	怪物:23CD2B00僵尸40	地图:H201	X:34	Y:67 
[2024/8/22 9:8:16] 物品:施毒术	怪物:25A14560僵尸50	地图:H201	X:34	Y:80 
[2024/8/22 9:8:16] 物品:召唤骷髅	怪物:25A14560僵尸50	地图:H201	X:34	Y:80 
[2024/8/22 9:8:16] 物品:抗拒火环	怪物:25A14560僵尸50	地图:H201	X:34	Y:80 
[2024/8/22 9:8:16] 物品:精神力战法	怪物:25A14560僵尸50	地图:H201	X:34	Y:80 
[2024/8/22 9:8:16] 物品:火球术	怪物:25A14560僵尸50	地图:H201	X:34	Y:80 
[2024/8/22 9:8:16] 物品:治愈术	怪物:25A14560僵尸50	地图:H201	X:34	Y:80 
[2024/8/22 9:8:16] 物品:基本剑术	怪物:25A14560僵尸50	地图:H201	X:34	Y:80 
[2024/8/22 9:8:16] 物品:魔鬼项链	怪物:25A14560僵尸50	地图:H201	X:34	Y:80 
[2024/8/22 9:8:16] 物品:琥珀项链	怪物:25A14560僵尸50	地图:H201	X:34	Y:80 
[2024/8/22 9:8:16] 物品:凤凰明珠	怪物:25A14560僵尸50	地图:H201	X:34	Y:80 
[2024/8/22 9:8:16] 物品:坚固手套	怪物:25A14560僵尸50	地图:H201	X:34	Y:80 
[2024/8/22 9:8:16] 物品:魔力手镯	怪物:25A14560僵尸50	地图:H201	X:34	Y:80 
[2024/8/22 9:8:16] 物品:灯笼项链	怪物:25A14560僵尸50	地图:H201	X:34	Y:80 
[2024/8/22 9:8:16] 物品:铁剑	怪物:25A14560僵尸50	地图:H201	X:34	Y:80 
[2024/8/22 9:8:16] 物品:短剑	怪物:25A14560僵尸50	地图:H201	X:34	Y:80 
[2024/8/22 9:8:16] 物品:轻型盔甲(男)	怪物:25A14560僵尸50	地图:H201	X:34	Y:80 
[2024/8/22 9:8:16] 物品:轻型盔甲(女)	怪物:25A14560僵尸50	地图:H201	X:34	Y:80 
[2024/8/22 9:8:16] 物品:青铜斧	怪物:25A14560僵尸50	地图:H201	X:34	Y:80 
[2024/8/22 9:8:16] 物品:黑檀项链	怪物:25A14560僵尸50	地图:H201	X:34	Y:80 
[2024/8/22 9:8:16] 物品:黄色水晶项链	怪物:25A14560僵尸50	地图:H201	X:34	Y:80 
[2024/8/22 9:8:16] 物品:黑色水晶项链	怪物:25A14560僵尸50	地图:H201	X:34	Y:80 
[2024/8/22 9:8:16] 物品:青铜头盔	怪物:25A14560僵尸50	地图:H201	X:34	Y:80 
[2024/8/22 9:8:16] 物品:金创药(小量)	怪物:25A14560僵尸50	地图:H201	X:34	Y:80 
[2024/8/22 9:8:16] 物品:金创药(小量)	怪物:25A14560僵尸50	地图:H201	X:34	Y:80 
[2024/8/22 9:8:16] 物品:金创药(小量)	怪物:25A14560僵尸50	地图:H201	X:34	Y:80 
[2024/8/22 9:8:16] 物品:金创药(小量)	怪物:25A14560僵尸50	地图:H201	X:34	Y:80 
[2024/8/22 9:8:16] 物品:魔法药(小量)	怪物:25A14560僵尸50	地图:H201	X:34	Y:80 
[2024/8/22 9:8:16] 物品:魔法药(小量)	怪物:25A14560僵尸50	地图:H201	X:34	Y:80 
[2024/8/22 9:8:16] 物品:魔法药(小量)	怪物:25A14560僵尸50	地图:H201	X:34	Y:80 
[2024/8/22 9:8:16] 物品:魔法药(小量)	怪物:25A14560僵尸50	地图:H201	X:34	Y:80 
[2024/8/22 9:8:17] 物品:攻击力药水	怪物:17614270僵尸5	地图:H201	X:33	Y:68 
[2024/8/22 9:8:28] 物品:金创药(小量)	怪物:1B2C91E0僵尸4	地图:H201	X:41	Y:62 
[2024/8/22 9:8:35] 物品:金创药(小量)	怪物:24083390僵尸5	地图:H201	X:36	Y:59 
[2024/8/22 9:8:40] 物品:强效魔法药	怪物:23568E00魔龙刀兵1	地图:66	X:64	Y:50 
[2024/8/22 9:8:44] 物品:金创药(小量)	怪物:25A41AF0僵尸5	地图:H201	X:39	Y:61 
[2024/8/22 9:8:45] 物品:魔法药(小量)	怪物:23FCE9B0僵尸5	地图:H201	X:36	Y:56 
[2024/8/22 9:8:46] 物品:太阳水	怪物:2393D9D0黑色恶蛆8	地图:H004	X:163	Y:131 
[2024/8/22 9:8:49] 物品:神圣战甲术	怪物:289ED690恶灵尸王	地图:H201	X:40	Y:60 
[2024/8/22 9:8:49] 物品:攻杀剑术	怪物:289ED690恶灵尸王	地图:H201	X:40	Y:60 
[2024/8/22 9:8:53] 物品:金创药(小量)	怪物:2C286250僵尸4	地图:H201	X:36	Y:54 
[2024/8/22 9:8:54] 物品:魔法药(小量)	怪物:28C9FD10僵尸4	地图:H201	X:33	Y:54 
[2024/8/22 9:8:54] 物品:爆裂火焰	怪物:28C9FD10僵尸4	地图:H201	X:33	Y:54 
[2024/8/22 9:8:56] 物品:强效金创药	怪物:28F13900魔龙破甲兵1	地图:66	X:61	Y:43 
[2024/8/22 9:8:56] 物品:强效太阳水	怪物:28E1AB80尸王8	地图:H201	X:35	Y:55 
[2024/8/22 9:8:56] 物品:强效太阳水	怪物:28E1AB80尸王8	地图:H201	X:35	Y:55 
[2024/8/22 9:8:56] 物品:强效太阳水	怪物:28E1AB80尸王8	地图:H201	X:35	Y:55 
[2024/8/22 9:8:56] 物品:强效太阳水	怪物:28E1AB80尸王8	地图:H201	X:35	Y:55 
[2024/8/22 9:8:56] 物品:强效太阳水	怪物:28E1AB80尸王8	地图:H201	X:35	Y:55 
[2024/8/22 9:8:56] 物品:强效金创药	怪物:28E1AB80尸王8	地图:H201	X:35	Y:55 
[2024/8/22 9:8:56] 物品:强效金创药	怪物:28E1AB80尸王8	地图:H201	X:35	Y:55 
[2024/8/22 9:8:56] 物品:强效魔法药	怪物:28E1AB80尸王8	地图:H201	X:35	Y:55 
[2024/8/22 9:8:56] 物品:强效魔法药	怪物:28E1AB80尸王8	地图:H201	X:35	Y:55 
[2024/8/22 9:8:56] 物品:黑色水晶戒指	怪物:28E1AB80尸王8	地图:H201	X:35	Y:55 
[2024/8/22 9:8:56] 物品:凝霜	怪物:28E1AB80尸王8	地图:H201	X:35	Y:55 
[2024/8/22 9:8:56] 物品:黑檀手镯	怪物:28E1AB80尸王8	地图:H201	X:35	Y:55 
[2024/8/22 9:8:56] 物品:魔力手镯	怪物:28E1AB80尸王8	地图:H201	X:35	Y:55 
[2024/8/22 9:9:2] 物品:强效太阳水	怪物:23FBDF70尸王8	地图:H201	X:37	Y:55 
[2024/8/22 9:9:2] 物品:强效太阳水	怪物:23FBDF70尸王8	地图:H201	X:37	Y:55 
