[2024/8/18 2:0:0] 物品:黑檀手镯	怪物:279A7AD0牛魔侍卫8	地图:H010	X:373	Y:227 
[2024/8/18 2:1:22] 物品:强效太阳水	怪物:2A16D430牛魔将军0	地图:H010	X:358	Y:234 
[2024/8/18 2:1:22] 物品:太阳水	怪物:2A16D430牛魔将军0	地图:H010	X:358	Y:234 
[2024/8/18 2:1:22] 物品:太阳水	怪物:2A16D430牛魔将军0	地图:H010	X:358	Y:234 
[2024/8/18 2:1:23] 物品:金创药(小量)	怪物:2265CDF0僵尸4	地图:H201	X:81	Y:86 
[2024/8/18 2:1:25] 物品:强效太阳水	怪物:284A5350牛魔将军0	地图:H010	X:358	Y:235 
[2024/8/18 2:1:25] 物品:强效太阳水	怪物:284A5350牛魔将军0	地图:H010	X:358	Y:235 
[2024/8/18 2:1:25] 物品:太阳水	怪物:284A5350牛魔将军0	地图:H010	X:358	Y:235 
[2024/8/18 2:1:30] 物品:灵魂战衣(男)	怪物:2A4B89B0牛魔法师8	地图:H010	X:358	Y:235 
[2024/8/18 2:1:34] 物品:修罗	怪物:2B492C10牛魔祭司8	地图:H010	X:360	Y:235 
[2024/8/18 2:1:34] 物品:魔法手镯	怪物:2B492C10牛魔祭司8	地图:H010	X:360	Y:235 
[2024/8/18 2:1:34] 物品:蛇眼戒指	怪物:2B492C10牛魔祭司8	地图:H010	X:360	Y:235 
[2024/8/18 2:1:35] 物品:强效太阳水	怪物:2DCB8BA0尸王8	地图:H201	X:181	Y:112 
[2024/8/18 2:1:35] 物品:强效太阳水	怪物:2DCB8BA0尸王8	地图:H201	X:181	Y:112 
[2024/8/18 2:1:35] 物品:强效太阳水	怪物:2DCB8BA0尸王8	地图:H201	X:181	Y:112 
[2024/8/18 2:1:35] 物品:强效太阳水	怪物:2DCB8BA0尸王8	地图:H201	X:181	Y:112 
[2024/8/18 2:1:35] 物品:强效太阳水	怪物:2DCB8BA0尸王8	地图:H201	X:181	Y:112 
[2024/8/18 2:1:35] 物品:强效金创药	怪物:2DCB8BA0尸王8	地图:H201	X:181	Y:112 
[2024/8/18 2:1:35] 物品:强效金创药	怪物:2DCB8BA0尸王8	地图:H201	X:181	Y:112 
[2024/8/18 2:1:35] 物品:强效魔法药	怪物:2DCB8BA0尸王8	地图:H201	X:181	Y:112 
[2024/8/18 2:1:35] 物品:强效魔法药	怪物:2DCB8BA0尸王8	地图:H201	X:181	Y:112 
[2024/8/18 2:1:35] 物品:道德戒指	怪物:2DCB8BA0尸王8	地图:H201	X:181	Y:112 
[2024/8/18 2:1:35] 物品:魅力戒指	怪物:2DCB8BA0尸王8	地图:H201	X:181	Y:112 
[2024/8/18 2:1:35] 物品:黑檀手镯	怪物:2DCB8BA0尸王8	地图:H201	X:181	Y:112 
[2024/8/18 2:1:36] 物品:金创药(小量)	怪物:29E6B010僵尸5	地图:H201	X:88	Y:98 
[2024/8/18 2:1:38] 物品:金创药(小量)	怪物:29113A10骷髅战士	地图:D002	X:313	Y:71 
[2024/8/18 2:1:39] 物品:灵魂战衣(女)	怪物:2A4B5D50牛魔法师8	地图:H010	X:361	Y:239 
[2024/8/18 2:1:39] 物品:魔法长袍(男)	怪物:2A4B5D50牛魔法师8	地图:H010	X:361	Y:239 
[2024/8/18 2:1:39] 物品:道德戒指	怪物:2A4B5D50牛魔法师8	地图:H010	X:361	Y:239 
[2024/8/18 2:1:40] 物品:金创药(小量)	怪物:1E6BDD50山洞蝙蝠	地图:D002	X:312	Y:71 
[2024/8/18 2:1:40] 物品:瞬息移动	怪物:0DA3F8E0僵尸1	地图:H201	X:181	Y:110 
[2024/8/18 2:1:40] 物品:精神力战法	怪物:0DA3F8E0僵尸1	地图:H201	X:181	Y:110 
[2024/8/18 2:1:42] 物品:金创药(小量)	怪物:0DA79370僵尸5	地图:H201	X:93	Y:105 
[2024/8/18 2:1:42] 物品:太阳水	怪物:1C31A1F0牛魔将军8	地图:H010	X:360	Y:239 
[2024/8/18 2:1:42] 物品:竹笛	怪物:1C31A1F0牛魔将军8	地图:H010	X:360	Y:239 
[2024/8/18 2:1:42] 物品:道士手镯	怪物:1C31A1F0牛魔将军8	地图:H010	X:360	Y:239 
[2024/8/18 2:1:45] 物品:魅力戒指	怪物:2F0FDE90牛魔侍卫8	地图:H010	X:362	Y:239 
[2024/8/18 2:1:49] 物品:蓝翡翠项链	怪物:2A386BD0牛魔侍卫8	地图:H010	X:364	Y:238 
[2024/8/18 2:1:49] 物品:战神盔甲(男)	怪物:2A386BD0牛魔侍卫8	地图:H010	X:364	Y:238 
[2024/8/18 2:1:52] 物品:金创药(小量)	怪物:0B864AD0僵尸4	地图:H201	X:178	Y:104 
[2024/8/18 2:2:1] 物品:强效太阳水	怪物:285454C0尸王8	地图:H201	X:105	Y:105 
[2024/8/18 2:2:1] 物品:强效太阳水	怪物:285454C0尸王8	地图:H201	X:105	Y:105 
[2024/8/18 2:2:1] 物品:强效太阳水	怪物:285454C0尸王8	地图:H201	X:105	Y:105 
[2024/8/18 2:2:1] 物品:强效太阳水	怪物:285454C0尸王8	地图:H201	X:105	Y:105 
[2024/8/18 2:2:1] 物品:强效太阳水	怪物:285454C0尸王8	地图:H201	X:105	Y:105 
[2024/8/18 2:2:1] 物品:强效金创药	怪物:285454C0尸王8	地图:H201	X:105	Y:105 
[2024/8/18 2:2:1] 物品:强效金创药	怪物:285454C0尸王8	地图:H201	X:105	Y:105 
[2024/8/18 2:2:1] 物品:强效魔法药	怪物:285454C0尸王8	地图:H201	X:105	Y:105 
[2024/8/18 2:2:1] 物品:强效魔法药	怪物:285454C0尸王8	地图:H201	X:105	Y:105 
[2024/8/18 2:2:1] 物品:蛇眼戒指	怪物:285454C0尸王8	地图:H201	X:105	Y:105 
[2024/8/18 2:2:1] 物品:生铁戒指	怪物:285454C0尸王8	地图:H201	X:105	Y:105 
[2024/8/18 2:2:1] 物品:凝霜	怪物:285454C0尸王8	地图:H201	X:105	Y:105 
[2024/8/18 2:2:1] 物品:黑檀手镯	怪物:285454C0尸王8	地图:H201	X:105	Y:105 
[2024/8/18 2:2:3] 物品:强效太阳水	怪物:2A0A1560牛魔祭司0	地图:H010	X:369	Y:243 
[2024/8/18 2:2:3] 物品:太阳水	怪物:2A0A1560牛魔祭司0	地图:H010	X:369	Y:243 
[2024/8/18 2:2:10] 物品:金创药(小量)	怪物:3050FED0僵尸5	地图:H201	X:99	Y:113 
[2024/8/18 2:2:10] 物品:火球术	怪物:3050FED0僵尸5	地图:H201	X:99	Y:113 
[2024/8/18 2:2:10] 物品:强效太阳水	怪物:274FA560牛魔将军0	地图:H010	X:370	Y:243 
[2024/8/18 2:2:10] 物品:太阳水	怪物:274FA560牛魔将军0	地图:H010	X:370	Y:243 
[2024/8/18 2:2:10] 物品:太阳水	怪物:274FA560牛魔将军0	地图:H010	X:370	Y:243 
[2024/8/18 2:2:10] 物品:强效太阳水	怪物:22899040尸王8	地图:H201	X:174	Y:102 
[2024/8/18 2:2:10] 物品:强效太阳水	怪物:22899040尸王8	地图:H201	X:174	Y:102 
[2024/8/18 2:2:10] 物品:强效太阳水	怪物:22899040尸王8	地图:H201	X:174	Y:102 
[2024/8/18 2:2:10] 物品:强效太阳水	怪物:22899040尸王8	地图:H201	X:174	Y:102 
[2024/8/18 2:2:10] 物品:强效太阳水	怪物:22899040尸王8	地图:H201	X:174	Y:102 
[2024/8/18 2:2:10] 物品:强效金创药	怪物:22899040尸王8	地图:H201	X:174	Y:102 
[2024/8/18 2:2:10] 物品:强效金创药	怪物:22899040尸王8	地图:H201	X:174	Y:102 
[2024/8/18 2:2:10] 物品:强效魔法药	怪物:22899040尸王8	地图:H201	X:174	Y:102 
[2024/8/18 2:2:10] 物品:强效魔法药	怪物:22899040尸王8	地图:H201	X:174	Y:102 
[2024/8/18 2:2:10] 物品:骷髅戒指	怪物:22899040尸王8	地图:H201	X:174	Y:102 
[2024/8/18 2:2:10] 物品:魅力戒指	怪物:22899040尸王8	地图:H201	X:174	Y:102 
[2024/8/18 2:2:10] 物品:蓝翡翠项链	怪物:22899040尸王8	地图:H201	X:174	Y:102 
[2024/8/18 2:2:18] 物品:太阳水	怪物:1A36B3C0黑色恶蛆8	地图:H001	X:14	Y:74 
[2024/8/18 2:2:21] 物品:强效太阳水	怪物:2B316190牛魔祭司8	地图:H010	X:373	Y:247 
[2024/8/18 2:2:21] 物品:灵魂战衣(女)	怪物:2B316190牛魔祭司8	地图:H010	X:373	Y:247 
[2024/8/18 2:2:22] 物品:强效太阳水	怪物:18D5FAB0尸王8	地图:H201	X:175	Y:103 
[2024/8/18 2:2:22] 物品:强效太阳水	怪物:18D5FAB0尸王8	地图:H201	X:175	Y:103 
[2024/8/18 2:2:22] 物品:强效太阳水	怪物:18D5FAB0尸王8	地图:H201	X:175	Y:103 
[2024/8/18 2:2:22] 物品:强效太阳水	怪物:18D5FAB0尸王8	地图:H201	X:175	Y:103 
[2024/8/18 2:2:22] 物品:强效太阳水	怪物:18D5FAB0尸王8	地图:H201	X:175	Y:103 
[2024/8/18 2:2:22] 物品:强效金创药	怪物:18D5FAB0尸王8	地图:H201	X:175	Y:103 
[2024/8/18 2:2:22] 物品:强效金创药	怪物:18D5FAB0尸王8	地图:H201	X:175	Y:103 
[2024/8/18 2:2:22] 物品:强效魔法药	怪物:18D5FAB0尸王8	地图:H201	X:175	Y:103 
[2024/8/18 2:2:22] 物品:强效魔法药	怪物:18D5FAB0尸王8	地图:H201	X:175	Y:103 
[2024/8/18 2:2:22] 物品:死神手套	怪物:18D5FAB0尸王8	地图:H201	X:175	Y:103 
[2024/8/18 2:2:22] 物品:蓝翡翠项链	怪物:18D5FAB0尸王8	地图:H201	X:175	Y:103 
[2024/8/18 2:2:22] 物品:黑檀手镯	怪物:18D5FAB0尸王8	地图:H201	X:175	Y:103 
[2024/8/18 2:2:22] 物品:魔力手镯	怪物:18D5FAB0尸王8	地图:H201	X:175	Y:103 
[2024/8/18 2:2:24] 物品:金创药(小量)	怪物:2A22DC70僵尸5	地图:H201	X:98	Y:122 
[2024/8/18 2:2:24] 物品:魔法药(小量)	怪物:2A22DC70僵尸5	地图:H201	X:98	Y:122 
[2024/8/18 2:2:24] 物品:太阳水	怪物:2A22DC70僵尸5	地图:H201	X:98	Y:122 
[2024/8/18 2:2:27] 物品:强效太阳水	怪物:30950D70牛魔祭司0	地图:H010	X:372	Y:245 
[2024/8/18 2:2:27] 物品:强效太阳水	怪物:30950D70牛魔祭司0	地图:H010	X:372	Y:245 
[2024/8/18 2:2:27] 物品:强效太阳水	怪物:30950D70牛魔祭司0	地图:H010	X:372	Y:245 
[2024/8/18 2:2:27] 物品:太阳水	怪物:30950D70牛魔祭司0	地图:H010	X:372	Y:245 
[2024/8/18 2:2:27] 物品:黑色水晶戒指	怪物:30950D70牛魔祭司0	地图:H010	X:372	Y:245 
[2024/8/18 2:2:27] 物品:强效太阳水	怪物:2B2F5F00牛魔祭司8	地图:H010	X:373	Y:245 
[2024/8/18 2:2:27] 物品:强效魔法药	怪物:2B2F5F00牛魔祭司8	地图:H010	X:373	Y:245 
[2024/8/18 2:2:27] 物品:偃月	怪物:2B2F5F00牛魔祭司8	地图:H010	X:373	Y:245 
[2024/8/18 2:2:27] 物品:降魔	怪物:2B2F5F00牛魔祭司8	地图:H010	X:373	Y:245 
[2024/8/18 2:2:28] 物品:强效太阳水	怪物:27F4F530尸王8	地图:H201	X:174	Y:103 
[2024/8/18 2:2:28] 物品:强效太阳水	怪物:27F4F530尸王8	地图:H201	X:174	Y:103 
[2024/8/18 2:2:28] 物品:强效太阳水	怪物:27F4F530尸王8	地图:H201	X:174	Y:103 
[2024/8/18 2:2:28] 物品:强效太阳水	怪物:27F4F530尸王8	地图:H201	X:174	Y:103 
[2024/8/18 2:2:28] 物品:强效太阳水	怪物:27F4F530尸王8	地图:H201	X:174	Y:103 
[2024/8/18 2:2:28] 物品:强效金创药	怪物:27F4F530尸王8	地图:H201	X:174	Y:103 
[2024/8/18 2:2:28] 物品:强效金创药	怪物:27F4F530尸王8	地图:H201	X:174	Y:103 
[2024/8/18 2:2:28] 物品:强效魔法药	怪物:27F4F530尸王8	地图:H201	X:174	Y:103 
[2024/8/18 2:2:28] 物品:强效魔法药	怪物:27F4F530尸王8	地图:H201	X:174	Y:103 
[2024/8/18 2:2:28] 物品:黑檀手镯	怪物:27F4F530尸王8	地图:H201	X:174	Y:103 
[2024/8/18 2:2:28] 物品:召唤神兽	怪物:27F4F530尸王8	地图:H201	X:174	Y:103 
[2024/8/18 2:2:29] 物品:金创药(小量)	怪物:2D963300僵尸5	地图:H201	X:94	Y:126 
[2024/8/18 2:2:29] 物品:魔法药(小量)	怪物:2D963300僵尸5	地图:H201	X:94	Y:126 
[2024/8/18 2:2:29] 物品:魔法药(小量)	怪物:2EB82FC0僵尸4	地图:H201	X:175	Y:101 
[2024/8/18 2:2:32] 物品:魔法药(中量)	怪物:039792D0僵尸1	地图:H201	X:94	Y:125 
[2024/8/18 2:2:33] 物品:攻杀剑术	怪物:30EAF580僵尸40	地图:H201	X:176	Y:103 
[2024/8/18 2:2:33] 物品:召唤骷髅	怪物:30EAF580僵尸40	地图:H201	X:176	Y:103 
[2024/8/18 2:2:33] 物品:地狱火	怪物:30EAF580僵尸40	地图:H201	X:176	Y:103 
[2024/8/18 2:2:33] 物品:抗拒火环	怪物:30EAF580僵尸40	地图:H201	X:176	Y:103 
[2024/8/18 2:2:33] 物品:精神力战法	怪物:30EAF580僵尸40	地图:H201	X:176	Y:103 
[2024/8/18 2:2:33] 物品:火球术	怪物:30EAF580僵尸40	地图:H201	X:176	Y:103 
[2024/8/18 2:2:33] 物品:治愈术	怪物:30EAF580僵尸40	地图:H201	X:176	Y:103 
[2024/8/18 2:2:33] 物品:基本剑术	怪物:30EAF580僵尸40	地图:H201	X:176	Y:103 
[2024/8/18 2:2:33] 物品:黄色水晶项链	怪物:30EAF580僵尸40	地图:H201	X:176	Y:103 
[2024/8/18 2:2:39] 物品:金戒指	怪物:17E293B0跳跳蜂8	地图:H004	X:111	Y:123 
[2024/8/18 2:2:39] 物品:隐身术	怪物:0D80B3E0恶灵尸王	地图:H201	X:174	Y:102 
[2024/8/18 2:2:39] 物品:地狱火	怪物:0D80B3E0恶灵尸王	地图:H201	X:174	Y:102 
[2024/8/18 2:2:41] 物品:太阳水	怪物:31B5AEF0黑色恶蛆8	地图:H001	X:16	Y:75 
[2024/8/18 2:2:43] 物品:强效太阳水	怪物:29E89830牛魔祭司0	地图:H010	X:377	Y:251 
[2024/8/18 2:2:43] 物品:太阳水	怪物:29E89830牛魔祭司0	地图:H010	X:377	Y:251 
[2024/8/18 2:2:43] 物品:太阳水	怪物:29E89830牛魔祭司0	地图:H010	X:377	Y:251 
[2024/8/18 2:2:43] 物品:太阳水	怪物:29E89830牛魔祭司0	地图:H010	X:377	Y:251 
[2024/8/18 2:2:48] 物品:大手镯	怪物:1A446F40骷髅	地图:D002	X:287	Y:96 
[2024/8/18 2:2:49] 物品:白色虎齿项链	怪物:2F0B9CA0牛魔侍卫8	地图:H010	X:377	Y:249 
[2024/8/18 2:2:54] 物品:重盔甲(男)	怪物:2A67CC80牛魔法师8	地图:H010	X:376	Y:251 
[2024/8/18 2:2:54] 物品:灵魂战衣(男)	怪物:2A67CC80牛魔法师8	地图:H010	X:376	Y:251 
[2024/8/18 2:2:54] 物品:道士手镯	怪物:2A67CC80牛魔法师8	地图:H010	X:376	Y:251 
[2024/8/18 2:2:54] 物品:黑檀手镯	怪物:2A67CC80牛魔法师8	地图:H010	X:376	Y:251 
[2024/8/18 2:2:55] 物品:金创药(小量)	怪物:0D6C6FD0僵尸4	地图:H201	X:119	Y:147 
[2024/8/18 2:3:0] 物品:太阳水	怪物:2CA6C160黑色恶蛆8	地图:H001	X:47	Y:22 
[2024/8/18 2:3:6] 物品:重盔甲(男)	怪物:286A1640牛魔将军8	地图:H010	X:380	Y:245 
[2024/8/18 2:3:8] 物品:降魔	怪物:1C187240黑野猪8	地图:H002	X:144	Y:142 
[2024/8/18 2:3:8] 物品:金创药(中量)	怪物:283FFE20骷髅战士0	地图:D002	X:295	Y:57 
[2024/8/18 2:3:8] 物品:金创药(中量)	怪物:283FFE20骷髅战士0	地图:D002	X:295	Y:57 
[2024/8/18 2:3:8] 物品:金创药(中量)	怪物:283FFE20骷髅战士0	地图:D002	X:295	Y:57 
[2024/8/18 2:3:8] 物品:金创药(中量)	怪物:283FFE20骷髅战士0	地图:D002	X:295	Y:57 
[2024/8/18 2:3:8] 物品:魔法药(中量)	怪物:283FFE20骷髅战士0	地图:D002	X:295	Y:57 
[2024/8/18 2:3:8] 物品:魔法药(中量)	怪物:283FFE20骷髅战士0	地图:D002	X:295	Y:57 
[2024/8/18 2:3:8] 物品:魔法药(中量)	怪物:283FFE20骷髅战士0	地图:D002	X:295	Y:57 
[2024/8/18 2:3:8] 物品:魔法药(中量)	怪物:283FFE20骷髅战士0	地图:D002	X:295	Y:57 
[2024/8/18 2:3:10] 物品:灵魂战衣(男)	怪物:2F3CADC0牛魔法师8	地图:H010	X:382	Y:247 
[2024/8/18 2:3:10] 物品:金手镯	怪物:2F3CADC0牛魔法师8	地图:H010	X:382	Y:247 
[2024/8/18 2:3:12] 物品:金创药(小量)	怪物:189ECB00僵尸4	地图:H201	X:174	Y:96 
[2024/8/18 2:3:16] 物品:强效太阳水	怪物:2D5765D0尸王8	地图:H001	X:47	Y:20 
[2024/8/18 2:3:16] 物品:强效太阳水	怪物:2D5765D0尸王8	地图:H001	X:47	Y:20 
[2024/8/18 2:3:16] 物品:强效太阳水	怪物:2D5765D0尸王8	地图:H001	X:47	Y:20 
[2024/8/18 2:3:16] 物品:强效太阳水	怪物:2D5765D0尸王8	地图:H001	X:47	Y:20 
[2024/8/18 2:3:16] 物品:强效太阳水	怪物:2D5765D0尸王8	地图:H001	X:47	Y:20 
[2024/8/18 2:3:16] 物品:强效金创药	怪物:2D5765D0尸王8	地图:H001	X:47	Y:20 
[2024/8/18 2:3:16] 物品:强效金创药	怪物:2D5765D0尸王8	地图:H001	X:47	Y:20 
[2024/8/18 2:3:16] 物品:强效魔法药	怪物:2D5765D0尸王8	地图:H001	X:47	Y:20 
[2024/8/18 2:3:16] 物品:强效魔法药	怪物:2D5765D0尸王8	地图:H001	X:47	Y:20 
[2024/8/18 2:3:16] 物品:珍珠戒指	怪物:2D5765D0尸王8	地图:H001	X:47	Y:20 
[2024/8/18 2:3:16] 物品:道德戒指	怪物:2D5765D0尸王8	地图:H001	X:47	Y:20 
[2024/8/18 2:3:16] 物品:黑檀手镯	怪物:2D5765D0尸王8	地图:H001	X:47	Y:20 
[2024/8/18 2:3:16] 物品:召唤神兽	怪物:2D5765D0尸王8	地图:H001	X:47	Y:20 
[2024/8/18 2:3:16] 物品:地狱雷光	怪物:2D5765D0尸王8	地图:H001	X:47	Y:20 
