[2024/8/20 1:0:0] 物品:道士手镯	怪物:2D701BE0魔龙破甲兵1	地图:65	X:213	Y:116 
[2024/8/20 1:0:19] 物品:强效太阳水	怪物:278B92D0白野猪8	地图:H204	X:20	Y:23 
[2024/8/20 1:0:19] 物品:强效太阳水	怪物:278B92D0白野猪8	地图:H204	X:20	Y:23 
[2024/8/20 1:0:19] 物品:强效太阳水	怪物:278B92D0白野猪8	地图:H204	X:20	Y:23 
[2024/8/20 1:0:19] 物品:强效太阳水	怪物:278B92D0白野猪8	地图:H204	X:20	Y:23 
[2024/8/20 1:0:19] 物品:强效太阳水	怪物:278B92D0白野猪8	地图:H204	X:20	Y:23 
[2024/8/20 1:0:19] 物品:强效太阳水	怪物:278B92D0白野猪8	地图:H204	X:20	Y:23 
[2024/8/20 1:0:19] 物品:强效太阳水	怪物:278B92D0白野猪8	地图:H204	X:20	Y:23 
[2024/8/20 1:0:19] 物品:强效太阳水	怪物:278B92D0白野猪8	地图:H204	X:20	Y:23 
[2024/8/20 1:0:19] 物品:强效太阳水	怪物:278B92D0白野猪8	地图:H204	X:20	Y:23 
[2024/8/20 1:0:19] 物品:强效太阳水	怪物:278B92D0白野猪8	地图:H204	X:20	Y:23 
[2024/8/20 1:0:19] 物品:太阳水	怪物:278B92D0白野猪8	地图:H204	X:20	Y:23 
[2024/8/20 1:0:19] 物品:太阳水	怪物:278B92D0白野猪8	地图:H204	X:20	Y:23 
[2024/8/20 1:0:19] 物品:太阳水	怪物:278B92D0白野猪8	地图:H204	X:20	Y:23 
[2024/8/20 1:0:19] 物品:太阳水	怪物:278B92D0白野猪8	地图:H204	X:20	Y:23 
[2024/8/20 1:0:19] 物品:太阳水	怪物:278B92D0白野猪8	地图:H204	X:20	Y:23 
[2024/8/20 1:0:19] 物品:太阳水	怪物:278B92D0白野猪8	地图:H204	X:20	Y:23 
[2024/8/20 1:0:19] 物品:太阳水	怪物:278B92D0白野猪8	地图:H204	X:20	Y:23 
[2024/8/20 1:0:19] 物品:太阳水	怪物:278B92D0白野猪8	地图:H204	X:20	Y:23 
[2024/8/20 1:0:19] 物品:太阳水	怪物:278B92D0白野猪8	地图:H204	X:20	Y:23 
[2024/8/20 1:0:19] 物品:太阳水	怪物:278B92D0白野猪8	地图:H204	X:20	Y:23 
[2024/8/20 1:0:19] 物品:金创药(中量)	怪物:278B92D0白野猪8	地图:H204	X:20	Y:23 
[2024/8/20 1:0:19] 物品:金创药(中量)	怪物:278B92D0白野猪8	地图:H204	X:20	Y:23 
[2024/8/20 1:0:19] 物品:金创药(中量)	怪物:278B92D0白野猪8	地图:H204	X:20	Y:23 
[2024/8/20 1:0:19] 物品:强效金创药	怪物:278B92D0白野猪8	地图:H204	X:20	Y:23 
[2024/8/20 1:0:19] 物品:强效金创药	怪物:278B92D0白野猪8	地图:H204	X:20	Y:23 
[2024/8/20 1:0:19] 物品:强效金创药	怪物:278B92D0白野猪8	地图:H204	X:20	Y:23 
[2024/8/20 1:0:19] 物品:魔法药(中量)	怪物:278B92D0白野猪8	地图:H204	X:20	Y:23 
[2024/8/20 1:0:19] 物品:魔法药(中量)	怪物:278B92D0白野猪8	地图:H204	X:20	Y:23 
[2024/8/20 1:0:19] 物品:魔法药(中量)	怪物:278B92D0白野猪8	地图:H204	X:20	Y:23 
[2024/8/20 1:0:19] 物品:强效魔法药	怪物:278B92D0白野猪8	地图:H204	X:20	Y:23 
[2024/8/20 1:0:19] 物品:强效魔法药	怪物:278B92D0白野猪8	地图:H204	X:20	Y:23 
[2024/8/20 1:0:19] 物品:强效魔法药	怪物:278B92D0白野猪8	地图:H204	X:20	Y:23 
[2024/8/20 1:0:19] 物品:强效金创药	怪物:278B92D0白野猪8	地图:H204	X:20	Y:23 
[2024/8/20 1:0:19] 物品:强效金创药	怪物:278B92D0白野猪8	地图:H204	X:20	Y:23 
[2024/8/20 1:0:19] 物品:强效金创药	怪物:278B92D0白野猪8	地图:H204	X:20	Y:23 
[2024/8/20 1:0:19] 物品:强效金创药	怪物:278B92D0白野猪8	地图:H204	X:20	Y:23 
[2024/8/20 1:0:19] 物品:强效金创药	怪物:278B92D0白野猪8	地图:H204	X:20	Y:23 
[2024/8/20 1:0:19] 物品:强效金创药	怪物:278B92D0白野猪8	地图:H204	X:20	Y:23 
[2024/8/20 1:0:19] 物品:强效魔法药	怪物:278B92D0白野猪8	地图:H204	X:20	Y:23 
[2024/8/20 1:0:19] 物品:强效魔法药	怪物:278B92D0白野猪8	地图:H204	X:20	Y:23 
[2024/8/20 1:0:19] 物品:强效魔法药	怪物:278B92D0白野猪8	地图:H204	X:20	Y:23 
[2024/8/20 1:0:19] 物品:强效魔法药	怪物:278B92D0白野猪8	地图:H204	X:20	Y:23 
[2024/8/20 1:0:19] 物品:强效魔法药	怪物:278B92D0白野猪8	地图:H204	X:20	Y:23 
[2024/8/20 1:0:19] 物品:强效魔法药	怪物:278B92D0白野猪8	地图:H204	X:20	Y:23 
[2024/8/20 1:0:19] 物品:井中月	怪物:278B92D0白野猪8	地图:H204	X:20	Y:23 
[2024/8/20 1:0:19] 物品:魔法长袍(女)	怪物:278B92D0白野猪8	地图:H204	X:20	Y:23 
[2024/8/20 1:0:28] 物品:铁腰带	怪物:2352BFB0魔龙刀兵1	地图:65	X:218	Y:115 
[2024/8/20 1:0:33] 物品:放大镜	怪物:27CB93B0魔龙破甲兵1	地图:65	X:216	Y:114 
[2024/8/20 1:0:39] 物品:强效太阳水	怪物:27F3EAF0白野猪8	地图:H204	X:42	Y:18 
[2024/8/20 1:0:39] 物品:强效太阳水	怪物:27F3EAF0白野猪8	地图:H204	X:42	Y:18 
[2024/8/20 1:0:39] 物品:强效太阳水	怪物:27F3EAF0白野猪8	地图:H204	X:42	Y:18 
[2024/8/20 1:0:39] 物品:强效太阳水	怪物:27F3EAF0白野猪8	地图:H204	X:42	Y:18 
[2024/8/20 1:0:39] 物品:强效太阳水	怪物:27F3EAF0白野猪8	地图:H204	X:42	Y:18 
[2024/8/20 1:0:39] 物品:强效太阳水	怪物:27F3EAF0白野猪8	地图:H204	X:42	Y:18 
[2024/8/20 1:0:39] 物品:强效太阳水	怪物:27F3EAF0白野猪8	地图:H204	X:42	Y:18 
[2024/8/20 1:0:39] 物品:强效太阳水	怪物:27F3EAF0白野猪8	地图:H204	X:42	Y:18 
[2024/8/20 1:0:39] 物品:强效太阳水	怪物:27F3EAF0白野猪8	地图:H204	X:42	Y:18 
[2024/8/20 1:0:39] 物品:强效太阳水	怪物:27F3EAF0白野猪8	地图:H204	X:42	Y:18 
[2024/8/20 1:0:39] 物品:太阳水	怪物:27F3EAF0白野猪8	地图:H204	X:42	Y:18 
[2024/8/20 1:0:39] 物品:太阳水	怪物:27F3EAF0白野猪8	地图:H204	X:42	Y:18 
[2024/8/20 1:0:39] 物品:太阳水	怪物:27F3EAF0白野猪8	地图:H204	X:42	Y:18 
[2024/8/20 1:0:39] 物品:太阳水	怪物:27F3EAF0白野猪8	地图:H204	X:42	Y:18 
[2024/8/20 1:0:39] 物品:太阳水	怪物:27F3EAF0白野猪8	地图:H204	X:42	Y:18 
[2024/8/20 1:0:39] 物品:太阳水	怪物:27F3EAF0白野猪8	地图:H204	X:42	Y:18 
[2024/8/20 1:0:39] 物品:太阳水	怪物:27F3EAF0白野猪8	地图:H204	X:42	Y:18 
[2024/8/20 1:0:39] 物品:太阳水	怪物:27F3EAF0白野猪8	地图:H204	X:42	Y:18 
[2024/8/20 1:0:39] 物品:太阳水	怪物:27F3EAF0白野猪8	地图:H204	X:42	Y:18 
[2024/8/20 1:0:39] 物品:太阳水	怪物:27F3EAF0白野猪8	地图:H204	X:42	Y:18 
[2024/8/20 1:0:39] 物品:金创药(中量)	怪物:27F3EAF0白野猪8	地图:H204	X:42	Y:18 
[2024/8/20 1:0:39] 物品:金创药(中量)	怪物:27F3EAF0白野猪8	地图:H204	X:42	Y:18 
[2024/8/20 1:0:39] 物品:金创药(中量)	怪物:27F3EAF0白野猪8	地图:H204	X:42	Y:18 
[2024/8/20 1:0:39] 物品:强效金创药	怪物:27F3EAF0白野猪8	地图:H204	X:42	Y:18 
[2024/8/20 1:0:39] 物品:强效金创药	怪物:27F3EAF0白野猪8	地图:H204	X:42	Y:18 
[2024/8/20 1:0:39] 物品:强效金创药	怪物:27F3EAF0白野猪8	地图:H204	X:42	Y:18 
[2024/8/20 1:0:39] 物品:魔法药(中量)	怪物:27F3EAF0白野猪8	地图:H204	X:42	Y:18 
[2024/8/20 1:0:39] 物品:魔法药(中量)	怪物:27F3EAF0白野猪8	地图:H204	X:42	Y:18 
[2024/8/20 1:0:39] 物品:魔法药(中量)	怪物:27F3EAF0白野猪8	地图:H204	X:42	Y:18 
[2024/8/20 1:0:39] 物品:强效魔法药	怪物:27F3EAF0白野猪8	地图:H204	X:42	Y:18 
[2024/8/20 1:0:39] 物品:强效魔法药	怪物:27F3EAF0白野猪8	地图:H204	X:42	Y:18 
[2024/8/20 1:0:39] 物品:强效魔法药	怪物:27F3EAF0白野猪8	地图:H204	X:42	Y:18 
[2024/8/20 1:0:39] 物品:强效金创药	怪物:27F3EAF0白野猪8	地图:H204	X:42	Y:18 
[2024/8/20 1:0:39] 物品:强效金创药	怪物:27F3EAF0白野猪8	地图:H204	X:42	Y:18 
[2024/8/20 1:0:39] 物品:强效金创药	怪物:27F3EAF0白野猪8	地图:H204	X:42	Y:18 
[2024/8/20 1:0:39] 物品:强效金创药	怪物:27F3EAF0白野猪8	地图:H204	X:42	Y:18 
[2024/8/20 1:0:39] 物品:强效金创药	怪物:27F3EAF0白野猪8	地图:H204	X:42	Y:18 
[2024/8/20 1:0:39] 物品:强效金创药	怪物:27F3EAF0白野猪8	地图:H204	X:42	Y:18 
[2024/8/20 1:0:39] 物品:强效魔法药	怪物:27F3EAF0白野猪8	地图:H204	X:42	Y:18 
[2024/8/20 1:0:39] 物品:强效魔法药	怪物:27F3EAF0白野猪8	地图:H204	X:42	Y:18 
[2024/8/20 1:0:39] 物品:强效魔法药	怪物:27F3EAF0白野猪8	地图:H204	X:42	Y:18 
[2024/8/20 1:0:39] 物品:强效魔法药	怪物:27F3EAF0白野猪8	地图:H204	X:42	Y:18 
[2024/8/20 1:0:39] 物品:强效魔法药	怪物:27F3EAF0白野猪8	地图:H204	X:42	Y:18 
[2024/8/20 1:0:39] 物品:强效魔法药	怪物:27F3EAF0白野猪8	地图:H204	X:42	Y:18 
[2024/8/20 1:0:39] 物品:生命项链	怪物:27F3EAF0白野猪8	地图:H204	X:42	Y:18 
[2024/8/20 1:0:39] 物品:修罗	怪物:27F3EAF0白野猪8	地图:H204	X:42	Y:18 
[2024/8/20 1:0:39] 物品:凝霜	怪物:27F3EAF0白野猪8	地图:H204	X:42	Y:18 
[2024/8/20 1:0:44] 物品:黑檀手镯	怪物:2D692E60魔龙破甲兵2	地图:65	X:217	Y:114 
[2024/8/20 1:0:52] 物品:强效太阳水	怪物:28CC5350沃玛卫士8	地图:H003	X:52	Y:57 
[2024/8/20 1:0:52] 物品:强效太阳水	怪物:28CC5350沃玛卫士8	地图:H003	X:52	Y:57 
[2024/8/20 1:0:52] 物品:强效太阳水	怪物:28CC5350沃玛卫士8	地图:H003	X:52	Y:57 
[2024/8/20 1:0:52] 物品:强效太阳水	怪物:28CC5350沃玛卫士8	地图:H003	X:52	Y:57 
[2024/8/20 1:0:52] 物品:强效太阳水	怪物:28CC5350沃玛卫士8	地图:H003	X:52	Y:57 
[2024/8/20 1:0:52] 物品:太阳水	怪物:28CC5350沃玛卫士8	地图:H003	X:52	Y:57 
[2024/8/20 1:0:52] 物品:太阳水	怪物:28CC5350沃玛卫士8	地图:H003	X:52	Y:57 
[2024/8/20 1:0:52] 物品:太阳水	怪物:28CC5350沃玛卫士8	地图:H003	X:52	Y:57 
[2024/8/20 1:0:52] 物品:太阳水	怪物:28CC5350沃玛卫士8	地图:H003	X:52	Y:57 
[2024/8/20 1:0:52] 物品:太阳水	怪物:28CC5350沃玛卫士8	地图:H003	X:52	Y:57 
[2024/8/20 1:0:52] 物品:太阳水	怪物:28CC5350沃玛卫士8	地图:H003	X:52	Y:57 
[2024/8/20 1:0:52] 物品:太阳水	怪物:28CC5350沃玛卫士8	地图:H003	X:52	Y:57 
[2024/8/20 1:0:52] 物品:太阳水	怪物:28CC5350沃玛卫士8	地图:H003	X:52	Y:57 
[2024/8/20 1:0:52] 物品:太阳水	怪物:28CC5350沃玛卫士8	地图:H003	X:52	Y:57 
[2024/8/20 1:0:52] 物品:太阳水	怪物:28CC5350沃玛卫士8	地图:H003	X:52	Y:57 
[2024/8/20 1:0:52] 物品:金创药(中量)	怪物:28CC5350沃玛卫士8	地图:H003	X:52	Y:57 
[2024/8/20 1:0:52] 物品:金创药(中量)	怪物:28CC5350沃玛卫士8	地图:H003	X:52	Y:57 
[2024/8/20 1:0:52] 物品:强效金创药	怪物:28CC5350沃玛卫士8	地图:H003	X:52	Y:57 
[2024/8/20 1:0:52] 物品:强效金创药	怪物:28CC5350沃玛卫士8	地图:H003	X:52	Y:57 
[2024/8/20 1:0:52] 物品:强效金创药	怪物:28CC5350沃玛卫士8	地图:H003	X:52	Y:57 
[2024/8/20 1:0:52] 物品:魔法药(中量)	怪物:28CC5350沃玛卫士8	地图:H003	X:52	Y:57 
[2024/8/20 1:0:52] 物品:魔法药(中量)	怪物:28CC5350沃玛卫士8	地图:H003	X:52	Y:57 
[2024/8/20 1:0:52] 物品:强效魔法药	怪物:28CC5350沃玛卫士8	地图:H003	X:52	Y:57 
[2024/8/20 1:0:52] 物品:强效魔法药	怪物:28CC5350沃玛卫士8	地图:H003	X:52	Y:57 
[2024/8/20 1:0:52] 物品:强效魔法药	怪物:28CC5350沃玛卫士8	地图:H003	X:52	Y:57 
[2024/8/20 1:0:52] 物品:修罗	怪物:28CC5350沃玛卫士8	地图:H003	X:52	Y:57 
[2024/8/20 1:0:52] 物品:金戒指	怪物:28CC5350沃玛卫士8	地图:H003	X:52	Y:57 
[2024/8/20 1:0:52] 物品:诱惑之光	怪物:28CC5350沃玛卫士8	地图:H003	X:52	Y:57 
[2024/8/20 1:0:53] 物品:偃月	怪物:278A19A0祖玛卫士8	地图:H204	X:53	Y:14 
[2024/8/20 1:1:1] 物品:强效太阳水	怪物:2B37B3C0触龙神8	地图:H004	X:66	Y:168 
[2024/8/20 1:1:1] 物品:强效太阳水	怪物:2B37B3C0触龙神8	地图:H004	X:66	Y:168 
[2024/8/20 1:1:1] 物品:强效太阳水	怪物:2B37B3C0触龙神8	地图:H004	X:66	Y:168 
[2024/8/20 1:1:1] 物品:强效太阳水	怪物:2B37B3C0触龙神8	地图:H004	X:66	Y:168 
[2024/8/20 1:1:1] 物品:强效太阳水	怪物:2B37B3C0触龙神8	地图:H004	X:66	Y:168 
[2024/8/20 1:1:1] 物品:强效太阳水	怪物:2B37B3C0触龙神8	地图:H004	X:66	Y:168 
[2024/8/20 1:1:1] 物品:强效太阳水	怪物:2B37B3C0触龙神8	地图:H004	X:66	Y:168 
[2024/8/20 1:1:1] 物品:强效太阳水	怪物:2B37B3C0触龙神8	地图:H004	X:66	Y:168 
[2024/8/20 1:1:1] 物品:强效太阳水	怪物:2B37B3C0触龙神8	地图:H004	X:66	Y:168 
[2024/8/20 1:1:1] 物品:强效太阳水	怪物:2B37B3C0触龙神8	地图:H004	X:66	Y:168 
[2024/8/20 1:1:1] 物品:太阳水	怪物:2B37B3C0触龙神8	地图:H004	X:66	Y:168 
[2024/8/20 1:1:1] 物品:太阳水	怪物:2B37B3C0触龙神8	地图:H004	X:66	Y:168 
[2024/8/20 1:1:1] 物品:太阳水	怪物:2B37B3C0触龙神8	地图:H004	X:66	Y:168 
[2024/8/20 1:1:1] 物品:太阳水	怪物:2B37B3C0触龙神8	地图:H004	X:66	Y:168 
[2024/8/20 1:1:1] 物品:太阳水	怪物:2B37B3C0触龙神8	地图:H004	X:66	Y:168 
[2024/8/20 1:1:1] 物品:太阳水	怪物:2B37B3C0触龙神8	地图:H004	X:66	Y:168 
[2024/8/20 1:1:1] 物品:太阳水	怪物:2B37B3C0触龙神8	地图:H004	X:66	Y:168 
[2024/8/20 1:1:1] 物品:太阳水	怪物:2B37B3C0触龙神8	地图:H004	X:66	Y:168 
[2024/8/20 1:1:1] 物品:太阳水	怪物:2B37B3C0触龙神8	地图:H004	X:66	Y:168 
[2024/8/20 1:1:1] 物品:太阳水	怪物:2B37B3C0触龙神8	地图:H004	X:66	Y:168 
[2024/8/20 1:1:1] 物品:强效金创药	怪物:2B37B3C0触龙神8	地图:H004	X:66	Y:168 
[2024/8/20 1:1:1] 物品:强效金创药	怪物:2B37B3C0触龙神8	地图:H004	X:66	Y:168 
[2024/8/20 1:1:1] 物品:强效金创药	怪物:2B37B3C0触龙神8	地图:H004	X:66	Y:168 
[2024/8/20 1:1:1] 物品:强效金创药	怪物:2B37B3C0触龙神8	地图:H004	X:66	Y:168 
[2024/8/20 1:1:1] 物品:强效金创药	怪物:2B37B3C0触龙神8	地图:H004	X:66	Y:168 
[2024/8/20 1:1:1] 物品:强效金创药	怪物:2B37B3C0触龙神8	地图:H004	X:66	Y:168 
[2024/8/20 1:1:1] 物品:强效金创药	怪物:2B37B3C0触龙神8	地图:H004	X:66	Y:168 
[2024/8/20 1:1:1] 物品:强效金创药	怪物:2B37B3C0触龙神8	地图:H004	X:66	Y:168 
[2024/8/20 1:1:1] 物品:强效金创药	怪物:2B37B3C0触龙神8	地图:H004	X:66	Y:168 
[2024/8/20 1:1:1] 物品:强效金创药	怪物:2B37B3C0触龙神8	地图:H004	X:66	Y:168 
[2024/8/20 1:1:1] 物品:强效魔法药	怪物:2B37B3C0触龙神8	地图:H004	X:66	Y:168 
[2024/8/20 1:1:1] 物品:强效魔法药	怪物:2B37B3C0触龙神8	地图:H004	X:66	Y:168 
[2024/8/20 1:1:1] 物品:强效魔法药	怪物:2B37B3C0触龙神8	地图:H004	X:66	Y:168 
[2024/8/20 1:1:1] 物品:强效魔法药	怪物:2B37B3C0触龙神8	地图:H004	X:66	Y:168 
[2024/8/20 1:1:1] 物品:强效魔法药	怪物:2B37B3C0触龙神8	地图:H004	X:66	Y:168 
[2024/8/20 1:1:1] 物品:强效魔法药	怪物:2B37B3C0触龙神8	地图:H004	X:66	Y:168 
[2024/8/20 1:1:1] 物品:强效魔法药	怪物:2B37B3C0触龙神8	地图:H004	X:66	Y:168 
[2024/8/20 1:1:1] 物品:强效魔法药	怪物:2B37B3C0触龙神8	地图:H004	X:66	Y:168 
[2024/8/20 1:1:1] 物品:强效魔法药	怪物:2B37B3C0触龙神8	地图:H004	X:66	Y:168 
[2024/8/20 1:1:1] 物品:强效魔法药	怪物:2B37B3C0触龙神8	地图:H004	X:66	Y:168 
[2024/8/20 1:1:6] 物品:强效太阳水	怪物:2F66BEA0魔龙破甲兵	地图:65	X:221	Y:110 
[2024/8/20 1:1:11] 物品:强效太阳水	怪物:1F903DC0白野猪	地图:D714	X:63	Y:179 
[2024/8/20 1:1:11] 物品:强效太阳水	怪物:1F903DC0白野猪	地图:D714	X:63	Y:179 
[2024/8/20 1:1:11] 物品:强效太阳水	怪物:1F903DC0白野猪	地图:D714	X:63	Y:179 
[2024/8/20 1:1:11] 物品:强效太阳水	怪物:1F903DC0白野猪	地图:D714	X:63	Y:179 
[2024/8/20 1:1:11] 物品:强效太阳水	怪物:1F903DC0白野猪	地图:D714	X:63	Y:179 
[2024/8/20 1:1:11] 物品:强效太阳水	怪物:1F903DC0白野猪	地图:D714	X:63	Y:179 
[2024/8/20 1:1:11] 物品:强效太阳水	怪物:1F903DC0白野猪	地图:D714	X:63	Y:179 
[2024/8/20 1:1:11] 物品:强效太阳水	怪物:1F903DC0白野猪	地图:D714	X:63	Y:179 
[2024/8/20 1:1:11] 物品:强效太阳水	怪物:1F903DC0白野猪	地图:D714	X:63	Y:179 
[2024/8/20 1:1:11] 物品:强效太阳水	怪物:1F903DC0白野猪	地图:D714	X:63	Y:179 
[2024/8/20 1:1:11] 物品:太阳水	怪物:1F903DC0白野猪	地图:D714	X:63	Y:179 
[2024/8/20 1:1:11] 物品:太阳水	怪物:1F903DC0白野猪	地图:D714	X:63	Y:179 
[2024/8/20 1:1:11] 物品:太阳水	怪物:1F903DC0白野猪	地图:D714	X:63	Y:179 
[2024/8/20 1:1:11] 物品:太阳水	怪物:1F903DC0白野猪	地图:D714	X:63	Y:179 
[2024/8/20 1:1:11] 物品:太阳水	怪物:1F903DC0白野猪	地图:D714	X:63	Y:179 
[2024/8/20 1:1:11] 物品:太阳水	怪物:1F903DC0白野猪	地图:D714	X:63	Y:179 
[2024/8/20 1:1:11] 物品:太阳水	怪物:1F903DC0白野猪	地图:D714	X:63	Y:179 
[2024/8/20 1:1:11] 物品:太阳水	怪物:1F903DC0白野猪	地图:D714	X:63	Y:179 
[2024/8/20 1:1:11] 物品:太阳水	怪物:1F903DC0白野猪	地图:D714	X:63	Y:179 
[2024/8/20 1:1:11] 物品:太阳水	怪物:1F903DC0白野猪	地图:D714	X:63	Y:179 
[2024/8/20 1:1:11] 物品:金创药(中量)	怪物:1F903DC0白野猪	地图:D714	X:63	Y:179 
[2024/8/20 1:1:11] 物品:金创药(中量)	怪物:1F903DC0白野猪	地图:D714	X:63	Y:179 
[2024/8/20 1:1:11] 物品:金创药(中量)	怪物:1F903DC0白野猪	地图:D714	X:63	Y:179 
[2024/8/20 1:1:11] 物品:强效金创药	怪物:1F903DC0白野猪	地图:D714	X:63	Y:179 
[2024/8/20 1:1:11] 物品:强效金创药	怪物:1F903DC0白野猪	地图:D714	X:63	Y:179 
[2024/8/20 1:1:11] 物品:强效金创药	怪物:1F903DC0白野猪	地图:D714	X:63	Y:179 
[2024/8/20 1:1:11] 物品:魔法药(中量)	怪物:1F903DC0白野猪	地图:D714	X:63	Y:179 
[2024/8/20 1:1:11] 物品:魔法药(中量)	怪物:1F903DC0白野猪	地图:D714	X:63	Y:179 
[2024/8/20 1:1:11] 物品:魔法药(中量)	怪物:1F903DC0白野猪	地图:D714	X:63	Y:179 
[2024/8/20 1:1:11] 物品:强效魔法药	怪物:1F903DC0白野猪	地图:D714	X:63	Y:179 
[2024/8/20 1:1:11] 物品:强效魔法药	怪物:1F903DC0白野猪	地图:D714	X:63	Y:179 
[2024/8/20 1:1:11] 物品:强效魔法药	怪物:1F903DC0白野猪	地图:D714	X:63	Y:179 
[2024/8/20 1:1:11] 物品:强效金创药	怪物:1F903DC0白野猪	地图:D714	X:63	Y:179 
[2024/8/20 1:1:11] 物品:强效金创药	怪物:1F903DC0白野猪	地图:D714	X:63	Y:179 
