[2024/8/20 9:0:1] 物品:海魂	怪物:18800A80祖玛卫士8	地图:H204	X:36	Y:23 
[2024/8/20 9:0:36] 物品:道德戒指	怪物:2051A900尸王8	地图:H201	X:166	Y:69 
[2024/8/20 9:0:36] 物品:黑檀手镯	怪物:2051A900尸王8	地图:H201	X:166	Y:69 
[2024/8/20 9:0:37] 物品:强效太阳水	怪物:275347C0虹魔蝎卫8	地图:H204	X:50	Y:11 
[2024/8/20 9:0:37] 物品:强效太阳水	怪物:275347C0虹魔蝎卫8	地图:H204	X:50	Y:11 
[2024/8/20 9:0:37] 物品:强效太阳水	怪物:275347C0虹魔蝎卫8	地图:H204	X:50	Y:11 
[2024/8/20 9:0:37] 物品:强效太阳水	怪物:275347C0虹魔蝎卫8	地图:H204	X:50	Y:11 
[2024/8/20 9:0:37] 物品:强效太阳水	怪物:275347C0虹魔蝎卫8	地图:H204	X:50	Y:11 
[2024/8/20 9:0:37] 物品:强效太阳水	怪物:275347C0虹魔蝎卫8	地图:H204	X:50	Y:11 
[2024/8/20 9:0:37] 物品:强效太阳水	怪物:275347C0虹魔蝎卫8	地图:H204	X:50	Y:11 
[2024/8/20 9:0:37] 物品:强效太阳水	怪物:275347C0虹魔蝎卫8	地图:H204	X:50	Y:11 
[2024/8/20 9:0:37] 物品:强效太阳水	怪物:275347C0虹魔蝎卫8	地图:H204	X:50	Y:11 
[2024/8/20 9:0:37] 物品:强效太阳水	怪物:275347C0虹魔蝎卫8	地图:H204	X:50	Y:11 
[2024/8/20 9:0:37] 物品:太阳水	怪物:275347C0虹魔蝎卫8	地图:H204	X:50	Y:11 
[2024/8/20 9:0:37] 物品:太阳水	怪物:275347C0虹魔蝎卫8	地图:H204	X:50	Y:11 
[2024/8/20 9:0:37] 物品:太阳水	怪物:275347C0虹魔蝎卫8	地图:H204	X:50	Y:11 
[2024/8/20 9:0:37] 物品:太阳水	怪物:275347C0虹魔蝎卫8	地图:H204	X:50	Y:11 
[2024/8/20 9:0:37] 物品:太阳水	怪物:275347C0虹魔蝎卫8	地图:H204	X:50	Y:11 
[2024/8/20 9:0:37] 物品:太阳水	怪物:275347C0虹魔蝎卫8	地图:H204	X:50	Y:11 
[2024/8/20 9:0:37] 物品:太阳水	怪物:275347C0虹魔蝎卫8	地图:H204	X:50	Y:11 
[2024/8/20 9:0:37] 物品:太阳水	怪物:275347C0虹魔蝎卫8	地图:H204	X:50	Y:11 
[2024/8/20 9:0:37] 物品:太阳水	怪物:275347C0虹魔蝎卫8	地图:H204	X:50	Y:11 
[2024/8/20 9:0:37] 物品:太阳水	怪物:275347C0虹魔蝎卫8	地图:H204	X:50	Y:11 
[2024/8/20 9:0:37] 物品:强效金创药	怪物:275347C0虹魔蝎卫8	地图:H204	X:50	Y:11 
[2024/8/20 9:0:37] 物品:强效金创药	怪物:275347C0虹魔蝎卫8	地图:H204	X:50	Y:11 
[2024/8/20 9:0:37] 物品:强效金创药	怪物:275347C0虹魔蝎卫8	地图:H204	X:50	Y:11 
[2024/8/20 9:0:37] 物品:强效金创药	怪物:275347C0虹魔蝎卫8	地图:H204	X:50	Y:11 
[2024/8/20 9:0:37] 物品:强效金创药	怪物:275347C0虹魔蝎卫8	地图:H204	X:50	Y:11 
[2024/8/20 9:0:37] 物品:强效金创药	怪物:275347C0虹魔蝎卫8	地图:H204	X:50	Y:11 
[2024/8/20 9:0:37] 物品:强效金创药	怪物:275347C0虹魔蝎卫8	地图:H204	X:50	Y:11 
[2024/8/20 9:0:37] 物品:强效金创药	怪物:275347C0虹魔蝎卫8	地图:H204	X:50	Y:11 
[2024/8/20 9:0:37] 物品:强效金创药	怪物:275347C0虹魔蝎卫8	地图:H204	X:50	Y:11 
[2024/8/20 9:0:37] 物品:强效金创药	怪物:275347C0虹魔蝎卫8	地图:H204	X:50	Y:11 
[2024/8/20 9:0:37] 物品:强效魔法药	怪物:275347C0虹魔蝎卫8	地图:H204	X:50	Y:11 
[2024/8/20 9:0:37] 物品:强效魔法药	怪物:275347C0虹魔蝎卫8	地图:H204	X:50	Y:11 
[2024/8/20 9:0:37] 物品:强效魔法药	怪物:275347C0虹魔蝎卫8	地图:H204	X:50	Y:11 
[2024/8/20 9:0:37] 物品:强效魔法药	怪物:275347C0虹魔蝎卫8	地图:H204	X:50	Y:11 
[2024/8/20 9:0:37] 物品:强效魔法药	怪物:275347C0虹魔蝎卫8	地图:H204	X:50	Y:11 
[2024/8/20 9:0:37] 物品:强效魔法药	怪物:275347C0虹魔蝎卫8	地图:H204	X:50	Y:11 
[2024/8/20 9:0:37] 物品:强效魔法药	怪物:275347C0虹魔蝎卫8	地图:H204	X:50	Y:11 
[2024/8/20 9:0:37] 物品:强效魔法药	怪物:275347C0虹魔蝎卫8	地图:H204	X:50	Y:11 
[2024/8/20 9:0:37] 物品:强效魔法药	怪物:275347C0虹魔蝎卫8	地图:H204	X:50	Y:11 
[2024/8/20 9:0:37] 物品:强效魔法药	怪物:275347C0虹魔蝎卫8	地图:H204	X:50	Y:11 
[2024/8/20 9:0:37] 物品:灵魂战衣(女)	怪物:275347C0虹魔蝎卫8	地图:H204	X:50	Y:11 
[2024/8/20 9:0:38] 物品:地狱火	怪物:1D973840僵尸50	地图:H201	X:167	Y:71 
[2024/8/20 9:0:38] 物品:抗拒火环	怪物:1D973840僵尸50	地图:H201	X:167	Y:71 
[2024/8/20 9:0:38] 物品:精神力战法	怪物:1D973840僵尸50	地图:H201	X:167	Y:71 
[2024/8/20 9:0:38] 物品:火球术	怪物:1D973840僵尸50	地图:H201	X:167	Y:71 
[2024/8/20 9:0:38] 物品:治愈术	怪物:1D973840僵尸50	地图:H201	X:167	Y:71 
[2024/8/20 9:0:38] 物品:基本剑术	怪物:1D973840僵尸50	地图:H201	X:167	Y:71 
[2024/8/20 9:0:38] 物品:海魂	怪物:1D973840僵尸50	地图:H201	X:167	Y:71 
[2024/8/20 9:0:38] 物品:凌风	怪物:1D973840僵尸50	地图:H201	X:167	Y:71 
[2024/8/20 9:0:38] 物品:蓝色水晶戒指	怪物:1D973840僵尸50	地图:H201	X:167	Y:71 
[2024/8/20 9:0:38] 物品:魔鬼项链	怪物:1D973840僵尸50	地图:H201	X:167	Y:71 
[2024/8/20 9:0:38] 物品:琥珀项链	怪物:1D973840僵尸50	地图:H201	X:167	Y:71 
[2024/8/20 9:0:38] 物品:魔力手镯	怪物:1D973840僵尸50	地图:H201	X:167	Y:71 
[2024/8/20 9:0:38] 物品:灯笼项链	怪物:1D973840僵尸50	地图:H201	X:167	Y:71 
[2024/8/20 9:0:38] 物品:铁剑	怪物:1D973840僵尸50	地图:H201	X:167	Y:71 
[2024/8/20 9:0:38] 物品:短剑	怪物:1D973840僵尸50	地图:H201	X:167	Y:71 
[2024/8/20 9:0:38] 物品:轻型盔甲(男)	怪物:1D973840僵尸50	地图:H201	X:167	Y:71 
[2024/8/20 9:0:38] 物品:轻型盔甲(女)	怪物:1D973840僵尸50	地图:H201	X:167	Y:71 
[2024/8/20 9:0:38] 物品:青铜斧	怪物:1D973840僵尸50	地图:H201	X:167	Y:71 
[2024/8/20 9:0:38] 物品:黑檀项链	怪物:1D973840僵尸50	地图:H201	X:167	Y:71 
[2024/8/20 9:0:38] 物品:黄色水晶项链	怪物:1D973840僵尸50	地图:H201	X:167	Y:71 
[2024/8/20 9:0:38] 物品:黑色水晶项链	怪物:1D973840僵尸50	地图:H201	X:167	Y:71 
[2024/8/20 9:0:38] 物品:青铜头盔	怪物:1D973840僵尸50	地图:H201	X:167	Y:71 
[2024/8/20 9:0:38] 物品:金创药(小量)	怪物:1D973840僵尸50	地图:H201	X:167	Y:71 
[2024/8/20 9:0:38] 物品:金创药(小量)	怪物:1D973840僵尸50	地图:H201	X:167	Y:71 
[2024/8/20 9:0:38] 物品:金创药(小量)	怪物:1D973840僵尸50	地图:H201	X:167	Y:71 
[2024/8/20 9:0:38] 物品:金创药(小量)	怪物:1D973840僵尸50	地图:H201	X:167	Y:71 
[2024/8/20 9:0:38] 物品:魔法药(小量)	怪物:1D973840僵尸50	地图:H201	X:167	Y:71 
[2024/8/20 9:0:38] 物品:魔法药(小量)	怪物:1D973840僵尸50	地图:H201	X:167	Y:71 
[2024/8/20 9:0:38] 物品:魔法药(小量)	怪物:1D973840僵尸50	地图:H201	X:167	Y:71 
[2024/8/20 9:0:38] 物品:魔法药(小量)	怪物:1D973840僵尸50	地图:H201	X:167	Y:71 
[2024/8/20 9:0:42] 物品:强效太阳水	怪物:290FED40尸王8	地图:H201	X:168	Y:68 
[2024/8/20 9:0:42] 物品:强效太阳水	怪物:290FED40尸王8	地图:H201	X:168	Y:68 
[2024/8/20 9:0:42] 物品:强效太阳水	怪物:290FED40尸王8	地图:H201	X:168	Y:68 
[2024/8/20 9:0:42] 物品:强效太阳水	怪物:290FED40尸王8	地图:H201	X:168	Y:68 
[2024/8/20 9:0:42] 物品:强效太阳水	怪物:290FED40尸王8	地图:H201	X:168	Y:68 
[2024/8/20 9:0:42] 物品:强效金创药	怪物:290FED40尸王8	地图:H201	X:168	Y:68 
[2024/8/20 9:0:42] 物品:强效金创药	怪物:290FED40尸王8	地图:H201	X:168	Y:68 
[2024/8/20 9:0:42] 物品:强效魔法药	怪物:290FED40尸王8	地图:H201	X:168	Y:68 
[2024/8/20 9:0:42] 物品:强效魔法药	怪物:290FED40尸王8	地图:H201	X:168	Y:68 
[2024/8/20 9:0:42] 物品:蛇眼戒指	怪物:290FED40尸王8	地图:H201	X:168	Y:68 
[2024/8/20 9:0:42] 物品:黑檀手镯	怪物:290FED40尸王8	地图:H201	X:168	Y:68 
[2024/8/20 9:0:42] 物品:魔力手镯	怪物:290FED40尸王8	地图:H201	X:168	Y:68 
[2024/8/20 9:0:43] 物品:魔法药(小量)	怪物:265E9790僵尸4	地图:H201	X:166	Y:69 
[2024/8/20 9:0:45] 物品:地狱火	怪物:1D973840僵尸50	地图:H201	X:167	Y:71 
[2024/8/20 9:0:45] 物品:抗拒火环	怪物:1D973840僵尸50	地图:H201	X:167	Y:71 
[2024/8/20 9:0:45] 物品:精神力战法	怪物:1D973840僵尸50	地图:H201	X:167	Y:71 
[2024/8/20 9:0:45] 物品:火球术	怪物:1D973840僵尸50	地图:H201	X:167	Y:71 
[2024/8/20 9:0:45] 物品:治愈术	怪物:1D973840僵尸50	地图:H201	X:167	Y:71 
[2024/8/20 9:0:45] 物品:基本剑术	怪物:1D973840僵尸50	地图:H201	X:167	Y:71 
[2024/8/20 9:0:45] 物品:八荒	怪物:1D973840僵尸50	地图:H201	X:167	Y:71 
[2024/8/20 9:0:45] 物品:半月	怪物:1D973840僵尸50	地图:H201	X:167	Y:71 
[2024/8/20 9:0:45] 物品:海魂	怪物:1D973840僵尸50	地图:H201	X:167	Y:71 
[2024/8/20 9:0:45] 物品:魔力手镯	怪物:1D973840僵尸50	地图:H201	X:167	Y:71 
[2024/8/20 9:0:45] 物品:灯笼项链	怪物:1D973840僵尸50	地图:H201	X:167	Y:71 
[2024/8/20 9:0:45] 物品:铁剑	怪物:1D973840僵尸50	地图:H201	X:167	Y:71 
[2024/8/20 9:0:45] 物品:短剑	怪物:1D973840僵尸50	地图:H201	X:167	Y:71 
[2024/8/20 9:0:45] 物品:轻型盔甲(男)	怪物:1D973840僵尸50	地图:H201	X:167	Y:71 
[2024/8/20 9:0:45] 物品:轻型盔甲(女)	怪物:1D973840僵尸50	地图:H201	X:167	Y:71 
[2024/8/20 9:0:45] 物品:中型盔甲(男)	怪物:1D973840僵尸50	地图:H201	X:167	Y:71 
[2024/8/20 9:0:45] 物品:青铜斧	怪物:1D973840僵尸50	地图:H201	X:167	Y:71 
[2024/8/20 9:0:45] 物品:黑檀项链	怪物:1D973840僵尸50	地图:H201	X:167	Y:71 
[2024/8/20 9:0:45] 物品:黄色水晶项链	怪物:1D973840僵尸50	地图:H201	X:167	Y:71 
[2024/8/20 9:0:45] 物品:黑色水晶项链	怪物:1D973840僵尸50	地图:H201	X:167	Y:71 
[2024/8/20 9:0:45] 物品:青铜头盔	怪物:1D973840僵尸50	地图:H201	X:167	Y:71 
[2024/8/20 9:0:45] 物品:金创药(小量)	怪物:1D973840僵尸50	地图:H201	X:167	Y:71 
[2024/8/20 9:0:45] 物品:金创药(小量)	怪物:1D973840僵尸50	地图:H201	X:167	Y:71 
[2024/8/20 9:0:45] 物品:金创药(小量)	怪物:1D973840僵尸50	地图:H201	X:167	Y:71 
[2024/8/20 9:0:45] 物品:金创药(小量)	怪物:1D973840僵尸50	地图:H201	X:167	Y:71 
[2024/8/20 9:0:45] 物品:魔法药(小量)	怪物:1D973840僵尸50	地图:H201	X:167	Y:71 
[2024/8/20 9:0:45] 物品:魔法药(小量)	怪物:1D973840僵尸50	地图:H201	X:167	Y:71 
[2024/8/20 9:0:45] 物品:魔法药(小量)	怪物:1D973840僵尸50	地图:H201	X:167	Y:71 
[2024/8/20 9:0:45] 物品:魔法药(小量)	怪物:1D973840僵尸50	地图:H201	X:167	Y:71 
[2024/8/20 9:0:46] 物品:金创药(小量)	怪物:31F3DE20僵尸5	地图:H201	X:169	Y:70 
[2024/8/20 9:0:46] 物品:基本剑术	怪物:31F3DE20僵尸5	地图:H201	X:169	Y:70 
[2024/8/20 9:0:51] 物品:基本剑术	怪物:1CC619B0僵尸1	地图:H201	X:166	Y:64 
[2024/8/20 9:0:54] 物品:强效太阳水	怪物:284A10C0尸王8	地图:H201	X:165	Y:64 
[2024/8/20 9:0:54] 物品:强效太阳水	怪物:284A10C0尸王8	地图:H201	X:165	Y:64 
[2024/8/20 9:0:54] 物品:强效太阳水	怪物:284A10C0尸王8	地图:H201	X:165	Y:64 
[2024/8/20 9:0:54] 物品:强效太阳水	怪物:284A10C0尸王8	地图:H201	X:165	Y:64 
[2024/8/20 9:0:54] 物品:强效太阳水	怪物:284A10C0尸王8	地图:H201	X:165	Y:64 
[2024/8/20 9:0:54] 物品:强效金创药	怪物:284A10C0尸王8	地图:H201	X:165	Y:64 
[2024/8/20 9:0:54] 物品:强效金创药	怪物:284A10C0尸王8	地图:H201	X:165	Y:64 
[2024/8/20 9:0:54] 物品:强效魔法药	怪物:284A10C0尸王8	地图:H201	X:165	Y:64 
[2024/8/20 9:0:54] 物品:强效魔法药	怪物:284A10C0尸王8	地图:H201	X:165	Y:64 
[2024/8/20 9:0:54] 物品:蛇眼戒指	怪物:284A10C0尸王8	地图:H201	X:165	Y:64 
[2024/8/20 9:0:54] 物品:黑檀手镯	怪物:284A10C0尸王8	地图:H201	X:165	Y:64 
[2024/8/20 9:0:56] 物品:强效魔法药	怪物:264BFA90魔龙血蛙	地图:66	X:114	Y:110 
[2024/8/20 9:0:58] 物品:魔法药(小量)	怪物:1E0BD870僵尸4	地图:H201	X:166	Y:62 
[2024/8/20 9:1:3] 物品:强效太阳水	怪物:29173380沃玛卫士8	地图:H204	X:59	Y:19 
[2024/8/20 9:1:3] 物品:强效太阳水	怪物:29173380沃玛卫士8	地图:H204	X:59	Y:19 
[2024/8/20 9:1:3] 物品:强效太阳水	怪物:29173380沃玛卫士8	地图:H204	X:59	Y:19 
[2024/8/20 9:1:3] 物品:强效太阳水	怪物:29173380沃玛卫士8	地图:H204	X:59	Y:19 
[2024/8/20 9:1:3] 物品:强效太阳水	怪物:29173380沃玛卫士8	地图:H204	X:59	Y:19 
[2024/8/20 9:1:3] 物品:太阳水	怪物:29173380沃玛卫士8	地图:H204	X:59	Y:19 
[2024/8/20 9:1:3] 物品:太阳水	怪物:29173380沃玛卫士8	地图:H204	X:59	Y:19 
[2024/8/20 9:1:3] 物品:太阳水	怪物:29173380沃玛卫士8	地图:H204	X:59	Y:19 
[2024/8/20 9:1:3] 物品:太阳水	怪物:29173380沃玛卫士8	地图:H204	X:59	Y:19 
[2024/8/20 9:1:3] 物品:太阳水	怪物:29173380沃玛卫士8	地图:H204	X:59	Y:19 
[2024/8/20 9:1:3] 物品:太阳水	怪物:29173380沃玛卫士8	地图:H204	X:59	Y:19 
[2024/8/20 9:1:3] 物品:太阳水	怪物:29173380沃玛卫士8	地图:H204	X:59	Y:19 
[2024/8/20 9:1:3] 物品:太阳水	怪物:29173380沃玛卫士8	地图:H204	X:59	Y:19 
[2024/8/20 9:1:3] 物品:太阳水	怪物:29173380沃玛卫士8	地图:H204	X:59	Y:19 
[2024/8/20 9:1:3] 物品:太阳水	怪物:29173380沃玛卫士8	地图:H204	X:59	Y:19 
[2024/8/20 9:1:3] 物品:金创药(中量)	怪物:29173380沃玛卫士8	地图:H204	X:59	Y:19 
[2024/8/20 9:1:3] 物品:金创药(中量)	怪物:29173380沃玛卫士8	地图:H204	X:59	Y:19 
[2024/8/20 9:1:3] 物品:强效金创药	怪物:29173380沃玛卫士8	地图:H204	X:59	Y:19 
[2024/8/20 9:1:3] 物品:强效金创药	怪物:29173380沃玛卫士8	地图:H204	X:59	Y:19 
[2024/8/20 9:1:3] 物品:强效金创药	怪物:29173380沃玛卫士8	地图:H204	X:59	Y:19 
[2024/8/20 9:1:3] 物品:魔法药(中量)	怪物:29173380沃玛卫士8	地图:H204	X:59	Y:19 
[2024/8/20 9:1:3] 物品:魔法药(中量)	怪物:29173380沃玛卫士8	地图:H204	X:59	Y:19 
[2024/8/20 9:1:3] 物品:强效魔法药	怪物:29173380沃玛卫士8	地图:H204	X:59	Y:19 
[2024/8/20 9:1:3] 物品:强效魔法药	怪物:29173380沃玛卫士8	地图:H204	X:59	Y:19 
[2024/8/20 9:1:3] 物品:强效魔法药	怪物:29173380沃玛卫士8	地图:H204	X:59	Y:19 
[2024/8/20 9:1:3] 物品:无极棍	怪物:29173380沃玛卫士8	地图:H204	X:59	Y:19 
[2024/8/20 9:1:3] 物品:珍珠戒指	怪物:29173380沃玛卫士8	地图:H204	X:59	Y:19 
[2024/8/20 9:1:3] 物品:圣言术	怪物:29173380沃玛卫士8	地图:H204	X:59	Y:19 
[2024/8/20 9:1:4] 物品:太阳水	怪物:1C148D50魔龙破甲兵	地图:66	X:118	Y:113 
[2024/8/20 9:1:4] 物品:魅力戒指	怪物:1C148D50魔龙破甲兵	地图:66	X:118	Y:113 
[2024/8/20 9:1:4] 物品:黑檀手镯	怪物:1C148D50魔龙破甲兵	地图:66	X:118	Y:113 
[2024/8/20 9:1:5] 物品:金创药(小量)	怪物:17E5F380僵尸4	地图:H201	X:161	Y:68 
[2024/8/20 9:1:5] 物品:魔法药(小量)	怪物:17E5F380僵尸4	地图:H201	X:161	Y:68 
[2024/8/20 9:1:8] 物品:大火球	怪物:03202640僵尸4	地图:H201	X:163	Y:68 
[2024/8/20 9:1:11] 物品:强效太阳水	怪物:19EA01A0尸王8	地图:H201	X:163	Y:72 
[2024/8/20 9:1:11] 物品:强效太阳水	怪物:19EA01A0尸王8	地图:H201	X:163	Y:72 
[2024/8/20 9:1:11] 物品:强效太阳水	怪物:19EA01A0尸王8	地图:H201	X:163	Y:72 
[2024/8/20 9:1:11] 物品:强效太阳水	怪物:19EA01A0尸王8	地图:H201	X:163	Y:72 
[2024/8/20 9:1:11] 物品:强效太阳水	怪物:19EA01A0尸王8	地图:H201	X:163	Y:72 
[2024/8/20 9:1:11] 物品:强效金创药	怪物:19EA01A0尸王8	地图:H201	X:163	Y:72 
[2024/8/20 9:1:11] 物品:强效金创药	怪物:19EA01A0尸王8	地图:H201	X:163	Y:72 
[2024/8/20 9:1:11] 物品:强效魔法药	怪物:19EA01A0尸王8	地图:H201	X:163	Y:72 
[2024/8/20 9:1:11] 物品:强效魔法药	怪物:19EA01A0尸王8	地图:H201	X:163	Y:72 
[2024/8/20 9:1:11] 物品:珍珠戒指	怪物:19EA01A0尸王8	地图:H201	X:163	Y:72 
[2024/8/20 9:1:11] 物品:生铁戒指	怪物:19EA01A0尸王8	地图:H201	X:163	Y:72 
[2024/8/20 9:1:11] 物品:黑檀手镯	怪物:19EA01A0尸王8	地图:H201	X:163	Y:72 
[2024/8/20 9:1:11] 物品:魔力手镯	怪物:19EA01A0尸王8	地图:H201	X:163	Y:72 
[2024/8/20 9:1:17] 物品:太阳水	怪物:1F859370魔龙射手	地图:66	X:113	Y:121 
[2024/8/20 9:1:23] 物品:强效太阳水	怪物:1E9FF3E0尸王8	地图:H201	X:156	Y:73 
[2024/8/20 9:1:23] 物品:强效太阳水	怪物:1E9FF3E0尸王8	地图:H201	X:156	Y:73 
[2024/8/20 9:1:23] 物品:强效太阳水	怪物:1E9FF3E0尸王8	地图:H201	X:156	Y:73 
[2024/8/20 9:1:23] 物品:强效太阳水	怪物:1E9FF3E0尸王8	地图:H201	X:156	Y:73 
[2024/8/20 9:1:23] 物品:强效太阳水	怪物:1E9FF3E0尸王8	地图:H201	X:156	Y:73 
[2024/8/20 9:1:23] 物品:强效金创药	怪物:1E9FF3E0尸王8	地图:H201	X:156	Y:73 
[2024/8/20 9:1:23] 物品:强效金创药	怪物:1E9FF3E0尸王8	地图:H201	X:156	Y:73 
[2024/8/20 9:1:23] 物品:强效魔法药	怪物:1E9FF3E0尸王8	地图:H201	X:156	Y:73 
[2024/8/20 9:1:23] 物品:强效魔法药	怪物:1E9FF3E0尸王8	地图:H201	X:156	Y:73 
[2024/8/20 9:1:23] 物品:凝霜	怪物:1E9FF3E0尸王8	地图:H201	X:156	Y:73 
[2024/8/20 9:1:24] 物品:金创药(小量)	怪物:03202640僵尸4	地图:H201	X:159	Y:71 
[2024/8/20 9:1:37] 物品:金创药(小量)	怪物:2A617610僵尸5	地图:H201	X:169	Y:59 
[2024/8/20 9:1:40] 物品:强效太阳水	怪物:3075A9C0尸王8	地图:H201	X:170	Y:59 
[2024/8/20 9:1:40] 物品:强效太阳水	怪物:3075A9C0尸王8	地图:H201	X:170	Y:59 
[2024/8/20 9:1:40] 物品:强效太阳水	怪物:3075A9C0尸王8	地图:H201	X:170	Y:59 
[2024/8/20 9:1:40] 物品:强效太阳水	怪物:3075A9C0尸王8	地图:H201	X:170	Y:59 
[2024/8/20 9:1:40] 物品:强效太阳水	怪物:3075A9C0尸王8	地图:H201	X:170	Y:59 
[2024/8/20 9:1:40] 物品:强效金创药	怪物:3075A9C0尸王8	地图:H201	X:170	Y:59 
[2024/8/20 9:1:40] 物品:强效金创药	怪物:3075A9C0尸王8	地图:H201	X:170	Y:59 
