[2024/8/19 8:0:11] 物品:瞬息移动	怪物:20AB5A50僵尸5	地图:H201	X:100	Y:58 
[2024/8/19 8:2:55] 物品:强效金创药	怪物:273ADD10尸王8	地图:H201	X:153	Y:35 
[2024/8/19 8:2:55] 物品:强效金创药	怪物:273ADD10尸王8	地图:H201	X:153	Y:35 
[2024/8/19 8:2:55] 物品:强效魔法药	怪物:273ADD10尸王8	地图:H201	X:153	Y:35 
[2024/8/19 8:2:55] 物品:强效魔法药	怪物:273ADD10尸王8	地图:H201	X:153	Y:35 
[2024/8/19 8:2:55] 物品:珍珠戒指	怪物:273ADD10尸王8	地图:H201	X:153	Y:35 
[2024/8/19 8:2:55] 物品:生铁戒指	怪物:273ADD10尸王8	地图:H201	X:153	Y:35 
[2024/8/19 8:2:55] 物品:凝霜	怪物:273ADD10尸王8	地图:H201	X:153	Y:35 
[2024/8/19 8:2:55] 物品:魅力戒指	怪物:273ADD10尸王8	地图:H201	X:153	Y:35 
[2024/8/19 8:2:55] 物品:魔力手镯	怪物:273ADD10尸王8	地图:H201	X:153	Y:35 
[2024/8/19 8:3:1] 物品:道士手镯	怪物:21B73490巨型蠕虫0	地图:D601	X:94	Y:112 
[2024/8/19 8:3:1] 物品:珍珠戒指	怪物:21B73490巨型蠕虫0	地图:D601	X:94	Y:112 
[2024/8/19 8:3:1] 物品:白色虎齿项链	怪物:21B73490巨型蠕虫0	地图:D601	X:94	Y:112 
[2024/8/19 8:3:1] 物品:八荒	怪物:21B73490巨型蠕虫0	地图:D601	X:94	Y:112 
[2024/8/19 8:3:1] 物品:魔鬼项链	怪物:21B73490巨型蠕虫0	地图:D601	X:94	Y:112 
[2024/8/19 8:3:1] 物品:琥珀项链	怪物:21B73490巨型蠕虫0	地图:D601	X:94	Y:112 
[2024/8/19 8:3:1] 物品:灯笼项链	怪物:21B73490巨型蠕虫0	地图:D601	X:94	Y:112 
[2024/8/19 8:3:1] 物品:太阳水	怪物:21B73490巨型蠕虫0	地图:D601	X:94	Y:112 
[2024/8/19 8:3:1] 物品:太阳水	怪物:21B73490巨型蠕虫0	地图:D601	X:94	Y:112 
[2024/8/19 8:3:1] 物品:太阳水	怪物:21B73490巨型蠕虫0	地图:D601	X:94	Y:112 
[2024/8/19 8:3:1] 物品:太阳水	怪物:21B73490巨型蠕虫0	地图:D601	X:94	Y:112 
[2024/8/19 8:3:1] 物品:金创药(中量)	怪物:21B73490巨型蠕虫0	地图:D601	X:94	Y:112 
[2024/8/19 8:3:1] 物品:金创药(中量)	怪物:21B73490巨型蠕虫0	地图:D601	X:94	Y:112 
[2024/8/19 8:3:1] 物品:金创药(中量)	怪物:21B73490巨型蠕虫0	地图:D601	X:94	Y:112 
[2024/8/19 8:3:1] 物品:金创药(中量)	怪物:21B73490巨型蠕虫0	地图:D601	X:94	Y:112 
[2024/8/19 8:3:1] 物品:魔法药(中量)	怪物:21B73490巨型蠕虫0	地图:D601	X:94	Y:112 
[2024/8/19 8:3:1] 物品:魔法药(中量)	怪物:21B73490巨型蠕虫0	地图:D601	X:94	Y:112 
[2024/8/19 8:3:1] 物品:魔法药(中量)	怪物:21B73490巨型蠕虫0	地图:D601	X:94	Y:112 
[2024/8/19 8:3:1] 物品:魔法药(中量)	怪物:21B73490巨型蠕虫0	地图:D601	X:94	Y:112 
[2024/8/19 8:3:1] 物品:魅力戒指	怪物:21B73490巨型蠕虫0	地图:D601	X:94	Y:112 
[2024/8/19 8:3:6] 物品:诱惑之光	怪物:2DFA4370恶灵尸王	地图:H201	X:158	Y:35 
[2024/8/19 8:3:6] 物品:地狱火	怪物:2DFA4370恶灵尸王	地图:H201	X:158	Y:35 
[2024/8/19 8:3:6] 物品:召唤骷髅	怪物:2DFA4370恶灵尸王	地图:H201	X:158	Y:35 
[2024/8/19 8:3:12] 物品:强效太阳水	怪物:1EC24430魔龙射手	地图:66	X:89	Y:222 
[2024/8/19 8:3:12] 物品:强效金创药	怪物:1EC24430魔龙射手	地图:66	X:89	Y:222 
[2024/8/19 8:3:16] 物品:强效金创药	怪物:24A92670魔龙破甲兵	地图:66	X:89	Y:223 
[2024/8/19 8:3:29] 物品:魔法药(小量)	怪物:27CCC8D0僵尸4	地图:H201	X:164	Y:50 
[2024/8/19 8:3:35] 物品:魔法长袍(男)	怪物:304E9FF0魔龙射手	地图:66	X:85	Y:220 
[2024/8/19 8:3:38] 物品:治愈术	怪物:286397B0僵尸1	地图:H201	X:164	Y:51 
[2024/8/19 8:3:41] 物品:强效金创药	怪物:0391B320魔龙刀兵	地图:66	X:84	Y:218 
[2024/8/19 8:3:57] 物品:强效太阳水	怪物:0DAA8450尸王8	地图:H201	X:166	Y:56 
[2024/8/19 8:3:57] 物品:强效太阳水	怪物:0DAA8450尸王8	地图:H201	X:166	Y:56 
[2024/8/19 8:3:57] 物品:强效太阳水	怪物:0DAA8450尸王8	地图:H201	X:166	Y:56 
[2024/8/19 8:3:57] 物品:强效太阳水	怪物:0DAA8450尸王8	地图:H201	X:166	Y:56 
[2024/8/19 8:3:57] 物品:强效太阳水	怪物:0DAA8450尸王8	地图:H201	X:166	Y:56 
[2024/8/19 8:3:57] 物品:强效金创药	怪物:0DAA8450尸王8	地图:H201	X:166	Y:56 
[2024/8/19 8:3:57] 物品:强效金创药	怪物:0DAA8450尸王8	地图:H201	X:166	Y:56 
[2024/8/19 8:3:57] 物品:强效魔法药	怪物:0DAA8450尸王8	地图:H201	X:166	Y:56 
[2024/8/19 8:3:57] 物品:强效魔法药	怪物:0DAA8450尸王8	地图:H201	X:166	Y:56 
[2024/8/19 8:3:57] 物品:蛇眼戒指	怪物:0DAA8450尸王8	地图:H201	X:166	Y:56 
[2024/8/19 8:3:57] 物品:生铁戒指	怪物:0DAA8450尸王8	地图:H201	X:166	Y:56 
[2024/8/19 8:4:3] 物品:凝霜	怪物:28316420恶灵尸王	地图:H201	X:167	Y:58 
[2024/8/19 8:4:3] 物品:雷电术	怪物:28316420恶灵尸王	地图:H201	X:167	Y:58 
[2024/8/19 8:4:3] 物品:诱惑之光	怪物:28316420恶灵尸王	地图:H201	X:167	Y:58 
[2024/8/19 8:4:6] 物品:太阳水	怪物:1E765FA0黑野猪8	地图:H002	X:166	Y:168 
[2024/8/19 8:4:11] 物品:金创药(小量)	怪物:28D2F930僵尸5	地图:H201	X:172	Y:56 
[2024/8/19 8:4:14] 物品:强效魔法药	怪物:17C82150魔龙刀兵1	地图:66	X:83	Y:215 
[2024/8/19 8:4:23] 物品:爆裂火焰	怪物:0D5B92D0恶灵尸王	地图:H201	X:178	Y:51 
[2024/8/19 8:4:23] 物品:灵魂火符	怪物:0D5B92D0恶灵尸王	地图:H201	X:178	Y:51 
[2024/8/19 8:4:23] 物品:地狱火	怪物:0D5B92D0恶灵尸王	地图:H201	X:178	Y:51 
[2024/8/19 8:4:23] 物品:大火球	怪物:0D5B92D0恶灵尸王	地图:H201	X:178	Y:51 
[2024/8/19 8:4:27] 物品:强效太阳水	怪物:1C661CB0尸王8	地图:H201	X:177	Y:51 
[2024/8/19 8:4:27] 物品:强效太阳水	怪物:1C661CB0尸王8	地图:H201	X:177	Y:51 
[2024/8/19 8:4:27] 物品:强效太阳水	怪物:1C661CB0尸王8	地图:H201	X:177	Y:51 
[2024/8/19 8:4:27] 物品:强效太阳水	怪物:1C661CB0尸王8	地图:H201	X:177	Y:51 
[2024/8/19 8:4:27] 物品:强效太阳水	怪物:1C661CB0尸王8	地图:H201	X:177	Y:51 
[2024/8/19 8:4:27] 物品:强效金创药	怪物:1C661CB0尸王8	地图:H201	X:177	Y:51 
[2024/8/19 8:4:27] 物品:强效金创药	怪物:1C661CB0尸王8	地图:H201	X:177	Y:51 
[2024/8/19 8:4:27] 物品:强效魔法药	怪物:1C661CB0尸王8	地图:H201	X:177	Y:51 
[2024/8/19 8:4:27] 物品:强效魔法药	怪物:1C661CB0尸王8	地图:H201	X:177	Y:51 
[2024/8/19 8:4:27] 物品:骷髅戒指	怪物:1C661CB0尸王8	地图:H201	X:177	Y:51 
[2024/8/19 8:4:27] 物品:黑色水晶戒指	怪物:1C661CB0尸王8	地图:H201	X:177	Y:51 
[2024/8/19 8:4:27] 物品:珍珠戒指	怪物:1C661CB0尸王8	地图:H201	X:177	Y:51 
[2024/8/19 8:4:27] 物品:魅力戒指	怪物:1C661CB0尸王8	地图:H201	X:177	Y:51 
[2024/8/19 8:4:27] 物品:黑檀手镯	怪物:1C661CB0尸王8	地图:H201	X:177	Y:51 
[2024/8/19 8:4:30] 物品:强效金创药	怪物:1C4D7DC0魔龙刀兵1	地图:66	X:78	Y:217 
[2024/8/19 8:4:33] 物品:金创药(小量)	怪物:17E6A500僵尸5	地图:H201	X:178	Y:49 
[2024/8/19 8:4:43] 物品:太阳水	怪物:1A6ED310魔龙破甲兵	地图:66	X:76	Y:210 
[2024/8/19 8:4:47] 物品:强效太阳水	怪物:1C0F3D80尸王8	地图:H201	X:175	Y:46 
[2024/8/19 8:4:47] 物品:强效太阳水	怪物:1C0F3D80尸王8	地图:H201	X:175	Y:46 
[2024/8/19 8:4:47] 物品:强效太阳水	怪物:1C0F3D80尸王8	地图:H201	X:175	Y:46 
[2024/8/19 8:4:47] 物品:强效太阳水	怪物:1C0F3D80尸王8	地图:H201	X:175	Y:46 
[2024/8/19 8:4:47] 物品:强效太阳水	怪物:1C0F3D80尸王8	地图:H201	X:175	Y:46 
[2024/8/19 8:4:47] 物品:强效金创药	怪物:1C0F3D80尸王8	地图:H201	X:175	Y:46 
[2024/8/19 8:4:47] 物品:强效金创药	怪物:1C0F3D80尸王8	地图:H201	X:175	Y:46 
[2024/8/19 8:4:47] 物品:强效魔法药	怪物:1C0F3D80尸王8	地图:H201	X:175	Y:46 
[2024/8/19 8:4:47] 物品:强效魔法药	怪物:1C0F3D80尸王8	地图:H201	X:175	Y:46 
[2024/8/19 8:4:47] 物品:珍珠戒指	怪物:1C0F3D80尸王8	地图:H201	X:175	Y:46 
[2024/8/19 8:4:47] 物品:生铁戒指	怪物:1C0F3D80尸王8	地图:H201	X:175	Y:46 
[2024/8/19 8:4:47] 物品:凝霜	怪物:1C0F3D80尸王8	地图:H201	X:175	Y:46 
[2024/8/19 8:4:47] 物品:黑檀手镯	怪物:1C0F3D80尸王8	地图:H201	X:175	Y:46 
[2024/8/19 8:4:47] 物品:魔力手镯	怪物:1C0F3D80尸王8	地图:H201	X:175	Y:46 
[2024/8/19 8:4:50] 物品:魔法药(小量)	怪物:2E01D4C0僵尸5	地图:H201	X:175	Y:45 
[2024/8/19 8:4:51] 物品:魔力手镯	怪物:234E6BD0恶灵尸王	地图:H201	X:176	Y:45 
