[2024/8/20 12:0:15] 物品:施毒术	怪物:2D5AC5A0僵尸1	地图:H201	X:104	Y:18 
[2024/8/20 12:1:49] 物品:强效魔法药	怪物:302D8840尸王8	地图:H201	X:84	Y:59 
[2024/8/20 12:1:49] 物品:强效魔法药	怪物:302D8840尸王8	地图:H201	X:84	Y:59 
[2024/8/20 12:1:49] 物品:魔力手镯	怪物:302D8840尸王8	地图:H201	X:84	Y:59 
[2024/8/20 12:1:52] 物品:魔法药(中量)	怪物:2B54E370僵尸2	地图:D401	X:60	Y:39 
[2024/8/20 12:1:59] 物品:强效太阳水	怪物:18613D20尸王8	地图:H201	X:79	Y:61 
[2024/8/20 12:1:59] 物品:强效太阳水	怪物:18613D20尸王8	地图:H201	X:79	Y:61 
[2024/8/20 12:1:59] 物品:强效太阳水	怪物:18613D20尸王8	地图:H201	X:79	Y:61 
[2024/8/20 12:1:59] 物品:强效太阳水	怪物:18613D20尸王8	地图:H201	X:79	Y:61 
[2024/8/20 12:1:59] 物品:强效太阳水	怪物:18613D20尸王8	地图:H201	X:79	Y:61 
[2024/8/20 12:1:59] 物品:强效金创药	怪物:18613D20尸王8	地图:H201	X:79	Y:61 
[2024/8/20 12:1:59] 物品:强效金创药	怪物:18613D20尸王8	地图:H201	X:79	Y:61 
[2024/8/20 12:1:59] 物品:强效魔法药	怪物:18613D20尸王8	地图:H201	X:79	Y:61 
[2024/8/20 12:1:59] 物品:强效魔法药	怪物:18613D20尸王8	地图:H201	X:79	Y:61 
[2024/8/20 12:1:59] 物品:骷髅戒指	怪物:18613D20尸王8	地图:H201	X:79	Y:61 
[2024/8/20 12:1:59] 物品:蛇眼戒指	怪物:18613D20尸王8	地图:H201	X:79	Y:61 
[2024/8/20 12:1:59] 物品:生铁戒指	怪物:18613D20尸王8	地图:H201	X:79	Y:61 
[2024/8/20 12:1:59] 物品:蓝翡翠项链	怪物:18613D20尸王8	地图:H201	X:79	Y:61 
[2024/8/20 12:1:59] 物品:魔力手镯	怪物:18613D20尸王8	地图:H201	X:79	Y:61 
[2024/8/20 12:2:2] 物品:金创药(小量)	怪物:2F28EC10僵尸5	地图:H201	X:78	Y:63 
[2024/8/20 12:2:3] 物品:强效太阳水	怪物:29769D10尸王8	地图:H201	X:78	Y:59 
[2024/8/20 12:2:3] 物品:强效太阳水	怪物:29769D10尸王8	地图:H201	X:78	Y:59 
[2024/8/20 12:2:3] 物品:强效太阳水	怪物:29769D10尸王8	地图:H201	X:78	Y:59 
[2024/8/20 12:2:3] 物品:强效太阳水	怪物:29769D10尸王8	地图:H201	X:78	Y:59 
[2024/8/20 12:2:3] 物品:强效太阳水	怪物:29769D10尸王8	地图:H201	X:78	Y:59 
[2024/8/20 12:2:3] 物品:强效金创药	怪物:29769D10尸王8	地图:H201	X:78	Y:59 
[2024/8/20 12:2:3] 物品:强效金创药	怪物:29769D10尸王8	地图:H201	X:78	Y:59 
[2024/8/20 12:2:3] 物品:强效魔法药	怪物:29769D10尸王8	地图:H201	X:78	Y:59 
[2024/8/20 12:2:3] 物品:强效魔法药	怪物:29769D10尸王8	地图:H201	X:78	Y:59 
[2024/8/20 12:2:3] 物品:珍珠戒指	怪物:29769D10尸王8	地图:H201	X:78	Y:59 
[2024/8/20 12:2:3] 物品:凝霜	怪物:29769D10尸王8	地图:H201	X:78	Y:59 
[2024/8/20 12:2:3] 物品:道德戒指	怪物:29769D10尸王8	地图:H201	X:78	Y:59 
[2024/8/20 12:2:3] 物品:魔力手镯	怪物:29769D10尸王8	地图:H201	X:78	Y:59 
[2024/8/20 12:2:8] 物品:强效金创药	怪物:063CCBA0魔龙教主	地图:66	X:134	Y:113 
[2024/8/20 12:2:8] 物品:强效金创药	怪物:063CCBA0魔龙教主	地图:66	X:134	Y:113 
[2024/8/20 12:2:8] 物品:强效魔法药	怪物:063CCBA0魔龙教主	地图:66	X:134	Y:113 
[2024/8/20 12:2:8] 物品:强效金创药	怪物:063CCBA0魔龙教主	地图:66	X:134	Y:113 
[2024/8/20 12:2:8] 物品:强效魔法药	怪物:063CCBA0魔龙教主	地图:66	X:134	Y:113 
[2024/8/20 12:2:8] 物品:祝福油	怪物:063CCBA0魔龙教主	地图:66	X:134	Y:113 
[2024/8/20 12:2:8] 物品:光芒道戒	怪物:063CCBA0魔龙教主	地图:66	X:134	Y:113 
[2024/8/20 12:2:19] 物品:强效金创药	怪物:2D651D10魔龙射手	地图:66	X:140	Y:117 
[2024/8/20 12:2:19] 物品:布鞋	怪物:2D651D10魔龙射手	地图:66	X:140	Y:117 
[2024/8/20 12:2:20] 物品:裁决之杖	怪物:034023C0魔龙射手2	地图:66	X:140	Y:114 
[2024/8/20 12:2:20] 物品:道士头盔	怪物:034023C0魔龙射手2	地图:66	X:140	Y:114 
[2024/8/20 12:2:20] 物品:珊瑚戒指	怪物:034023C0魔龙射手2	地图:66	X:140	Y:114 
[2024/8/20 12:2:23] 物品:强效太阳水	怪物:2A65C9F0尸王8	地图:H201	X:83	Y:73 
[2024/8/20 12:2:23] 物品:强效太阳水	怪物:2A65C9F0尸王8	地图:H201	X:83	Y:73 
[2024/8/20 12:2:23] 物品:强效太阳水	怪物:2A65C9F0尸王8	地图:H201	X:83	Y:73 
[2024/8/20 12:2:23] 物品:强效太阳水	怪物:2A65C9F0尸王8	地图:H201	X:83	Y:73 
[2024/8/20 12:2:23] 物品:强效太阳水	怪物:2A65C9F0尸王8	地图:H201	X:83	Y:73 
[2024/8/20 12:2:23] 物品:强效金创药	怪物:2A65C9F0尸王8	地图:H201	X:83	Y:73 
[2024/8/20 12:2:23] 物品:强效金创药	怪物:2A65C9F0尸王8	地图:H201	X:83	Y:73 
[2024/8/20 12:2:23] 物品:强效魔法药	怪物:2A65C9F0尸王8	地图:H201	X:83	Y:73 
[2024/8/20 12:2:23] 物品:强效魔法药	怪物:2A65C9F0尸王8	地图:H201	X:83	Y:73 
[2024/8/20 12:2:23] 物品:骷髅戒指	怪物:2A65C9F0尸王8	地图:H201	X:83	Y:73 
[2024/8/20 12:2:23] 物品:珊瑚戒指	怪物:2A65C9F0尸王8	地图:H201	X:83	Y:73 
[2024/8/20 12:2:23] 物品:生铁戒指	怪物:2A65C9F0尸王8	地图:H201	X:83	Y:73 
[2024/8/20 12:2:23] 物品:魅力戒指	怪物:2A65C9F0尸王8	地图:H201	X:83	Y:73 
[2024/8/20 12:2:23] 物品:蓝翡翠项链	怪物:2A65C9F0尸王8	地图:H201	X:83	Y:73 
[2024/8/20 12:2:23] 物品:魔力手镯	怪物:2A65C9F0尸王8	地图:H201	X:83	Y:73 
[2024/8/20 12:2:23] 物品:金创药(小量)	怪物:30EE3F20僵尸4	地图:H201	X:80	Y:72 
[2024/8/20 12:2:32] 物品:强效金创药	怪物:1C3BCDA0魔龙破甲兵2	地图:66	X:146	Y:112 
[2024/8/20 12:2:32] 物品:强效魔法药	怪物:1C3BCDA0魔龙破甲兵2	地图:66	X:146	Y:112 
[2024/8/20 12:2:40] 物品:竹笛	怪物:1E9D5600魔龙射手	地图:66	X:151	Y:117 
[2024/8/20 12:2:45] 物品:强效太阳水	怪物:22966980尸王8	地图:H201	X:80	Y:78 
[2024/8/20 12:2:45] 物品:强效太阳水	怪物:22966980尸王8	地图:H201	X:80	Y:78 
[2024/8/20 12:2:45] 物品:强效太阳水	怪物:22966980尸王8	地图:H201	X:80	Y:78 
[2024/8/20 12:2:45] 物品:强效太阳水	怪物:22966980尸王8	地图:H201	X:80	Y:78 
[2024/8/20 12:2:45] 物品:强效太阳水	怪物:22966980尸王8	地图:H201	X:80	Y:78 
[2024/8/20 12:2:45] 物品:强效金创药	怪物:22966980尸王8	地图:H201	X:80	Y:78 
[2024/8/20 12:2:45] 物品:强效金创药	怪物:22966980尸王8	地图:H201	X:80	Y:78 
[2024/8/20 12:2:45] 物品:强效魔法药	怪物:22966980尸王8	地图:H201	X:80	Y:78 
[2024/8/20 12:2:45] 物品:强效魔法药	怪物:22966980尸王8	地图:H201	X:80	Y:78 
[2024/8/20 12:2:45] 物品:蛇眼戒指	怪物:22966980尸王8	地图:H201	X:80	Y:78 
[2024/8/20 12:2:45] 物品:死神手套	怪物:22966980尸王8	地图:H201	X:80	Y:78 
[2024/8/20 12:2:45] 物品:凝霜	怪物:22966980尸王8	地图:H201	X:80	Y:78 
[2024/8/20 12:2:45] 物品:道德戒指	怪物:22966980尸王8	地图:H201	X:80	Y:78 
[2024/8/20 12:2:45] 物品:蓝翡翠项链	怪物:22966980尸王8	地图:H201	X:80	Y:78 
[2024/8/20 12:2:48] 物品:强效太阳水	怪物:27D49430尸王8	地图:H201	X:81	Y:79 
[2024/8/20 12:2:48] 物品:强效太阳水	怪物:27D49430尸王8	地图:H201	X:81	Y:79 
[2024/8/20 12:2:48] 物品:强效太阳水	怪物:27D49430尸王8	地图:H201	X:81	Y:79 
[2024/8/20 12:2:48] 物品:强效太阳水	怪物:27D49430尸王8	地图:H201	X:81	Y:79 
[2024/8/20 12:2:48] 物品:强效太阳水	怪物:27D49430尸王8	地图:H201	X:81	Y:79 
[2024/8/20 12:2:48] 物品:强效金创药	怪物:27D49430尸王8	地图:H201	X:81	Y:79 
[2024/8/20 12:2:48] 物品:强效金创药	怪物:27D49430尸王8	地图:H201	X:81	Y:79 
[2024/8/20 12:2:48] 物品:强效魔法药	怪物:27D49430尸王8	地图:H201	X:81	Y:79 
[2024/8/20 12:2:48] 物品:强效魔法药	怪物:27D49430尸王8	地图:H201	X:81	Y:79 
[2024/8/20 12:2:48] 物品:生铁戒指	怪物:27D49430尸王8	地图:H201	X:81	Y:79 
[2024/8/20 12:2:48] 物品:凝霜	怪物:27D49430尸王8	地图:H201	X:81	Y:79 
[2024/8/20 12:2:48] 物品:召唤神兽	怪物:27D49430尸王8	地图:H201	X:81	Y:79 
[2024/8/20 12:2:48] 物品:圣言术	怪物:27D49430尸王8	地图:H201	X:81	Y:79 
[2024/8/20 12:2:53] 物品:强效太阳水	怪物:20F423C0尸王	地图:H201	X:79	Y:80 
[2024/8/20 12:2:53] 物品:强效太阳水	怪物:20F423C0尸王	地图:H201	X:79	Y:80 
[2024/8/20 12:2:53] 物品:强效太阳水	怪物:20F423C0尸王	地图:H201	X:79	Y:80 
[2024/8/20 12:2:53] 物品:强效太阳水	怪物:20F423C0尸王	地图:H201	X:79	Y:80 
[2024/8/20 12:2:53] 物品:强效太阳水	怪物:20F423C0尸王	地图:H201	X:79	Y:80 
[2024/8/20 12:2:53] 物品:太阳水	怪物:20F423C0尸王	地图:H201	X:79	Y:80 
[2024/8/20 12:2:53] 物品:太阳水	怪物:20F423C0尸王	地图:H201	X:79	Y:80 
[2024/8/20 12:2:53] 物品:太阳水	怪物:20F423C0尸王	地图:H201	X:79	Y:80 
[2024/8/20 12:2:53] 物品:太阳水	怪物:20F423C0尸王	地图:H201	X:79	Y:80 
[2024/8/20 12:2:53] 物品:太阳水	怪物:20F423C0尸王	地图:H201	X:79	Y:80 
[2024/8/20 12:2:53] 物品:太阳水	怪物:20F423C0尸王	地图:H201	X:79	Y:80 
[2024/8/20 12:2:53] 物品:太阳水	怪物:20F423C0尸王	地图:H201	X:79	Y:80 
[2024/8/20 12:2:53] 物品:太阳水	怪物:20F423C0尸王	地图:H201	X:79	Y:80 
[2024/8/20 12:2:53] 物品:太阳水	怪物:20F423C0尸王	地图:H201	X:79	Y:80 
[2024/8/20 12:2:53] 物品:太阳水	怪物:20F423C0尸王	地图:H201	X:79	Y:80 
[2024/8/20 12:2:53] 物品:金创药(中量)	怪物:20F423C0尸王	地图:H201	X:79	Y:80 
[2024/8/20 12:2:53] 物品:金创药(中量)	怪物:20F423C0尸王	地图:H201	X:79	Y:80 
[2024/8/20 12:2:53] 物品:金创药(中量)	怪物:20F423C0尸王	地图:H201	X:79	Y:80 
[2024/8/20 12:2:53] 物品:强效金创药	怪物:20F423C0尸王	地图:H201	X:79	Y:80 
[2024/8/20 12:2:53] 物品:强效金创药	怪物:20F423C0尸王	地图:H201	X:79	Y:80 
[2024/8/20 12:2:53] 物品:魔法药(中量)	怪物:20F423C0尸王	地图:H201	X:79	Y:80 
[2024/8/20 12:2:53] 物品:魔法药(中量)	怪物:20F423C0尸王	地图:H201	X:79	Y:80 
[2024/8/20 12:2:53] 物品:魔法药(中量)	怪物:20F423C0尸王	地图:H201	X:79	Y:80 
[2024/8/20 12:2:53] 物品:强效魔法药	怪物:20F423C0尸王	地图:H201	X:79	Y:80 
[2024/8/20 12:2:53] 物品:强效魔法药	怪物:20F423C0尸王	地图:H201	X:79	Y:80 
[2024/8/20 12:2:53] 物品:凝霜	怪物:20F423C0尸王	地图:H201	X:79	Y:80 
[2024/8/20 12:2:53] 物品:魅力戒指	怪物:20F423C0尸王	地图:H201	X:79	Y:80 
[2024/8/20 12:2:53] 物品:道士手镯	怪物:20F423C0尸王	地图:H201	X:79	Y:80 
[2024/8/20 12:2:53] 物品:小手镯	怪物:20F423C0尸王	地图:H201	X:79	Y:80 
[2024/8/20 12:2:53] 物品:雷电术	怪物:20F423C0尸王	地图:H201	X:79	Y:80 
[2024/8/20 12:2:53] 物品:诱惑之光	怪物:20F423C0尸王	地图:H201	X:79	Y:80 
[2024/8/20 12:2:53] 物品:地狱火	怪物:20F423C0尸王	地图:H201	X:79	Y:80 
[2024/8/20 12:2:53] 物品:抗拒火环	怪物:20F423C0尸王	地图:H201	X:79	Y:80 
[2024/8/20 12:2:53] 物品:精神力战法	怪物:20F423C0尸王	地图:H201	X:79	Y:80 
[2024/8/20 12:2:53] 物品:治愈术	怪物:20F423C0尸王	地图:H201	X:79	Y:80 
[2024/8/20 12:2:53] 物品:基本剑术	怪物:20F423C0尸王	地图:H201	X:79	Y:80 
[2024/8/20 12:2:53] 物品:火球术	怪物:20F423C0尸王	地图:H201	X:79	Y:80 
[2024/8/20 12:2:58] 物品:强效太阳水	怪物:278664A0尸王8	地图:H201	X:80	Y:80 
[2024/8/20 12:2:58] 物品:强效太阳水	怪物:278664A0尸王8	地图:H201	X:80	Y:80 
[2024/8/20 12:2:58] 物品:强效太阳水	怪物:278664A0尸王8	地图:H201	X:80	Y:80 
[2024/8/20 12:2:58] 物品:强效太阳水	怪物:278664A0尸王8	地图:H201	X:80	Y:80 
[2024/8/20 12:2:58] 物品:强效太阳水	怪物:278664A0尸王8	地图:H201	X:80	Y:80 
[2024/8/20 12:2:58] 物品:强效金创药	怪物:278664A0尸王8	地图:H201	X:80	Y:80 
[2024/8/20 12:2:58] 物品:强效金创药	怪物:278664A0尸王8	地图:H201	X:80	Y:80 
[2024/8/20 12:2:58] 物品:强效魔法药	怪物:278664A0尸王8	地图:H201	X:80	Y:80 
[2024/8/20 12:2:58] 物品:强效魔法药	怪物:278664A0尸王8	地图:H201	X:80	Y:80 
[2024/8/20 12:2:58] 物品:生铁戒指	怪物:278664A0尸王8	地图:H201	X:80	Y:80 
[2024/8/20 12:2:58] 物品:蓝翡翠项链	怪物:278664A0尸王8	地图:H201	X:80	Y:80 
[2024/8/20 12:2:58] 物品:黑檀手镯	怪物:278664A0尸王8	地图:H201	X:80	Y:80 
[2024/8/20 12:2:58] 物品:强效太阳水	怪物:1C956FD0尸王8	地图:H201	X:83	Y:79 
[2024/8/20 12:2:58] 物品:强效太阳水	怪物:1C956FD0尸王8	地图:H201	X:83	Y:79 
[2024/8/20 12:2:58] 物品:强效太阳水	怪物:1C956FD0尸王8	地图:H201	X:83	Y:79 
[2024/8/20 12:2:58] 物品:强效太阳水	怪物:1C956FD0尸王8	地图:H201	X:83	Y:79 
[2024/8/20 12:2:58] 物品:强效太阳水	怪物:1C956FD0尸王8	地图:H201	X:83	Y:79 
[2024/8/20 12:2:58] 物品:强效金创药	怪物:1C956FD0尸王8	地图:H201	X:83	Y:79 
[2024/8/20 12:2:58] 物品:强效金创药	怪物:1C956FD0尸王8	地图:H201	X:83	Y:79 
[2024/8/20 12:2:58] 物品:强效魔法药	怪物:1C956FD0尸王8	地图:H201	X:83	Y:79 
[2024/8/20 12:2:58] 物品:强效魔法药	怪物:1C956FD0尸王8	地图:H201	X:83	Y:79 
[2024/8/20 12:2:58] 物品:骷髅戒指	怪物:1C956FD0尸王8	地图:H201	X:83	Y:79 
[2024/8/20 12:2:58] 物品:珍珠戒指	怪物:1C956FD0尸王8	地图:H201	X:83	Y:79 
[2024/8/20 12:2:58] 物品:黑檀手镯	怪物:1C956FD0尸王8	地图:H201	X:83	Y:79 
[2024/8/20 12:2:58] 物品:魔力手镯	怪物:1C956FD0尸王8	地图:H201	X:83	Y:79 
[2024/8/20 12:2:59] 物品:强效太阳水	怪物:27FF6710尸王8	地图:H201	X:81	Y:79 
[2024/8/20 12:2:59] 物品:强效太阳水	怪物:27FF6710尸王8	地图:H201	X:81	Y:79 
[2024/8/20 12:2:59] 物品:强效太阳水	怪物:27FF6710尸王8	地图:H201	X:81	Y:79 
[2024/8/20 12:2:59] 物品:强效太阳水	怪物:27FF6710尸王8	地图:H201	X:81	Y:79 
[2024/8/20 12:2:59] 物品:强效太阳水	怪物:27FF6710尸王8	地图:H201	X:81	Y:79 
[2024/8/20 12:2:59] 物品:强效金创药	怪物:27FF6710尸王8	地图:H201	X:81	Y:79 
[2024/8/20 12:2:59] 物品:强效金创药	怪物:27FF6710尸王8	地图:H201	X:81	Y:79 
[2024/8/20 12:2:59] 物品:强效魔法药	怪物:27FF6710尸王8	地图:H201	X:81	Y:79 
[2024/8/20 12:2:59] 物品:强效魔法药	怪物:27FF6710尸王8	地图:H201	X:81	Y:79 
[2024/8/20 12:2:59] 物品:珊瑚戒指	怪物:27FF6710尸王8	地图:H201	X:81	Y:79 
[2024/8/20 12:2:59] 物品:生铁戒指	怪物:27FF6710尸王8	地图:H201	X:81	Y:79 
[2024/8/20 12:2:59] 物品:黑檀手镯	怪物:27FF6710尸王8	地图:H201	X:81	Y:79 
[2024/8/20 12:3:9] 物品:苹果	怪物:302CD6C0魔龙破甲兵	地图:66	X:155	Y:114 
[2024/8/20 12:3:10] 物品:金创药(小量)	怪物:037FD040僵尸5	地图:H201	X:88	Y:79 
[2024/8/20 12:3:12] 物品:疾光电影	怪物:06240490僵尸1	地图:H201	X:88	Y:77 
[2024/8/20 12:3:25] 物品:神圣战甲术	怪物:1B84B1D0恶灵尸王	地图:H201	X:95	Y:72 
[2024/8/20 12:3:25] 物品:雷电术	怪物:1B84B1D0恶灵尸王	地图:H201	X:95	Y:72 
[2024/8/20 12:3:25] 物品:召唤骷髅	怪物:1B84B1D0恶灵尸王	地图:H201	X:95	Y:72 
[2024/8/20 12:3:26] 物品:魔法药(小量)	怪物:26704200僵尸4	地图:H201	X:94	Y:73 
[2024/8/20 12:3:32] 物品:强效太阳水	怪物:2F5F17C0魔龙破甲兵	地图:66	X:162	Y:122 
[2024/8/20 12:3:34] 物品:铁腰带	怪物:27F91CB0魔龙射手	地图:66	X:162	Y:119 
[2024/8/20 12:3:44] 物品:强效太阳水	怪物:2E069790尸王8	地图:H201	X:107	Y:84 
[2024/8/20 12:3:44] 物品:强效太阳水	怪物:2E069790尸王8	地图:H201	X:107	Y:84 
[2024/8/20 12:3:44] 物品:强效太阳水	怪物:2E069790尸王8	地图:H201	X:107	Y:84 
[2024/8/20 12:3:44] 物品:强效太阳水	怪物:2E069790尸王8	地图:H201	X:107	Y:84 
[2024/8/20 12:3:44] 物品:强效太阳水	怪物:2E069790尸王8	地图:H201	X:107	Y:84 
[2024/8/20 12:3:44] 物品:强效金创药	怪物:2E069790尸王8	地图:H201	X:107	Y:84 
[2024/8/20 12:3:44] 物品:强效金创药	怪物:2E069790尸王8	地图:H201	X:107	Y:84 
[2024/8/20 12:3:44] 物品:强效魔法药	怪物:2E069790尸王8	地图:H201	X:107	Y:84 
[2024/8/20 12:3:44] 物品:强效魔法药	怪物:2E069790尸王8	地图:H201	X:107	Y:84 
[2024/8/20 12:3:45] 物品:魔法药(小量)	怪物:2910B4F0僵尸4	地图:H201	X:106	Y:82 
[2024/8/20 12:3:51] 物品:太阳水	怪物:1BDFBD60魔龙巨蛾	地图:66	X:162	Y:123 
[2024/8/20 12:3:51] 物品:神圣战甲术	怪物:1F137AD0恶灵尸王	地图:H201	X:108	Y:86 
[2024/8/20 12:3:51] 物品:幽灵盾	怪物:1F137AD0恶灵尸王	地图:H201	X:108	Y:86 
