[2024/8/20 18:0:0] 物品:修罗	怪物:290255A0祖玛雕像	地图:H204	X:23	Y:79 
[2024/8/20 18:2:47] 物品:强效金创药	怪物:2DCBB800沃玛卫士8	地图:H204	X:83	Y:64 
[2024/8/20 18:2:47] 物品:魔法药(中量)	怪物:2DCBB800沃玛卫士8	地图:H204	X:83	Y:64 
[2024/8/20 18:2:47] 物品:魔法药(中量)	怪物:2DCBB800沃玛卫士8	地图:H204	X:83	Y:64 
[2024/8/20 18:2:47] 物品:强效魔法药	怪物:2DCBB800沃玛卫士8	地图:H204	X:83	Y:64 
[2024/8/20 18:2:47] 物品:强效魔法药	怪物:2DCBB800沃玛卫士8	地图:H204	X:83	Y:64 
[2024/8/20 18:2:47] 物品:强效魔法药	怪物:2DCBB800沃玛卫士8	地图:H204	X:83	Y:64 
[2024/8/20 18:2:52] 物品:强效太阳水	怪物:2E1EE730祖玛弓箭手8	地图:H204	X:87	Y:52 
[2024/8/20 18:2:52] 物品:珍珠戒指	怪物:2E1EE730祖玛弓箭手8	地图:H204	X:87	Y:52 
[2024/8/20 18:2:56] 物品:凤凰明珠	怪物:1DF73D20祖玛弓箭手8	地图:H204	X:92	Y:51 
[2024/8/20 18:2:58] 物品:强效金创药	怪物:233B4A50暗之魔龙教主	地图:H008	X:56	Y:10 
[2024/8/20 18:2:58] 物品:强效魔法药	怪物:233B4A50暗之魔龙教主	地图:H008	X:56	Y:10 
[2024/8/20 18:2:58] 物品:强效金创药	怪物:233B4A50暗之魔龙教主	地图:H008	X:56	Y:10 
[2024/8/20 18:2:58] 物品:强效魔法药	怪物:233B4A50暗之魔龙教主	地图:H008	X:56	Y:10 
[2024/8/20 18:2:58] 物品:强效金创药	怪物:233B4A50暗之魔龙教主	地图:H008	X:56	Y:10 
[2024/8/20 18:2:58] 物品:强效魔法药	怪物:233B4A50暗之魔龙教主	地图:H008	X:56	Y:10 
[2024/8/20 18:2:58] 物品:强效金创药	怪物:233B4A50暗之魔龙教主	地图:H008	X:56	Y:10 
[2024/8/20 18:2:58] 物品:强效魔法药	怪物:233B4A50暗之魔龙教主	地图:H008	X:56	Y:10 
[2024/8/20 18:2:58] 物品:强效金创药	怪物:233B4A50暗之魔龙教主	地图:H008	X:56	Y:10 
[2024/8/20 18:2:58] 物品:强效魔法药	怪物:233B4A50暗之魔龙教主	地图:H008	X:56	Y:10 
[2024/8/20 18:2:58] 物品:祝福油	怪物:233B4A50暗之魔龙教主	地图:H008	X:56	Y:10 
[2024/8/20 18:2:58] 物品:火龙凭证	怪物:233B4A50暗之魔龙教主	地图:H008	X:56	Y:10 
[2024/8/20 18:2:58] 物品:烈焰魔戒	怪物:233B4A50暗之魔龙教主	地图:H008	X:56	Y:10 
[2024/8/20 18:3:1] 物品:黑檀手镯	怪物:28F66650祖玛卫士8	地图:H204	X:88	Y:46 
[2024/8/20 18:3:14] 物品:强效金创药	怪物:19400490祖玛弓箭手83	地图:H008	X:61	Y:16 
[2024/8/20 18:3:30] 物品:骷髅戒指	怪物:274E2C30祖玛弓箭手83	地图:H008	X:59	Y:27 
[2024/8/20 18:4:0] 物品:强效太阳水	怪物:294426F0虹魔猪卫8	地图:H204	X:63	Y:23 
[2024/8/20 18:4:0] 物品:强效太阳水	怪物:294426F0虹魔猪卫8	地图:H204	X:63	Y:23 
[2024/8/20 18:4:0] 物品:强效太阳水	怪物:294426F0虹魔猪卫8	地图:H204	X:63	Y:23 
[2024/8/20 18:4:0] 物品:强效太阳水	怪物:294426F0虹魔猪卫8	地图:H204	X:63	Y:23 
[2024/8/20 18:4:0] 物品:强效太阳水	怪物:294426F0虹魔猪卫8	地图:H204	X:63	Y:23 
[2024/8/20 18:4:0] 物品:强效太阳水	怪物:294426F0虹魔猪卫8	地图:H204	X:63	Y:23 
[2024/8/20 18:4:0] 物品:强效太阳水	怪物:294426F0虹魔猪卫8	地图:H204	X:63	Y:23 
[2024/8/20 18:4:0] 物品:强效太阳水	怪物:294426F0虹魔猪卫8	地图:H204	X:63	Y:23 
[2024/8/20 18:4:0] 物品:强效太阳水	怪物:294426F0虹魔猪卫8	地图:H204	X:63	Y:23 
[2024/8/20 18:4:0] 物品:强效太阳水	怪物:294426F0虹魔猪卫8	地图:H204	X:63	Y:23 
[2024/8/20 18:4:0] 物品:太阳水	怪物:294426F0虹魔猪卫8	地图:H204	X:63	Y:23 
[2024/8/20 18:4:0] 物品:太阳水	怪物:294426F0虹魔猪卫8	地图:H204	X:63	Y:23 
[2024/8/20 18:4:0] 物品:太阳水	怪物:294426F0虹魔猪卫8	地图:H204	X:63	Y:23 
[2024/8/20 18:4:0] 物品:太阳水	怪物:294426F0虹魔猪卫8	地图:H204	X:63	Y:23 
[2024/8/20 18:4:0] 物品:太阳水	怪物:294426F0虹魔猪卫8	地图:H204	X:63	Y:23 
[2024/8/20 18:4:0] 物品:太阳水	怪物:294426F0虹魔猪卫8	地图:H204	X:63	Y:23 
[2024/8/20 18:4:0] 物品:太阳水	怪物:294426F0虹魔猪卫8	地图:H204	X:63	Y:23 
[2024/8/20 18:4:0] 物品:太阳水	怪物:294426F0虹魔猪卫8	地图:H204	X:63	Y:23 
[2024/8/20 18:4:0] 物品:太阳水	怪物:294426F0虹魔猪卫8	地图:H204	X:63	Y:23 
[2024/8/20 18:4:0] 物品:太阳水	怪物:294426F0虹魔猪卫8	地图:H204	X:63	Y:23 
[2024/8/20 18:4:0] 物品:金创药(中量)	怪物:294426F0虹魔猪卫8	地图:H204	X:63	Y:23 
[2024/8/20 18:4:0] 物品:金创药(中量)	怪物:294426F0虹魔猪卫8	地图:H204	X:63	Y:23 
[2024/8/20 18:4:0] 物品:金创药(中量)	怪物:294426F0虹魔猪卫8	地图:H204	X:63	Y:23 
[2024/8/20 18:4:0] 物品:强效金创药	怪物:294426F0虹魔猪卫8	地图:H204	X:63	Y:23 
[2024/8/20 18:4:0] 物品:强效金创药	怪物:294426F0虹魔猪卫8	地图:H204	X:63	Y:23 
[2024/8/20 18:4:0] 物品:强效金创药	怪物:294426F0虹魔猪卫8	地图:H204	X:63	Y:23 
[2024/8/20 18:4:0] 物品:魔法药(中量)	怪物:294426F0虹魔猪卫8	地图:H204	X:63	Y:23 
[2024/8/20 18:4:0] 物品:魔法药(中量)	怪物:294426F0虹魔猪卫8	地图:H204	X:63	Y:23 
[2024/8/20 18:4:0] 物品:魔法药(中量)	怪物:294426F0虹魔猪卫8	地图:H204	X:63	Y:23 
[2024/8/20 18:4:0] 物品:强效魔法药	怪物:294426F0虹魔猪卫8	地图:H204	X:63	Y:23 
[2024/8/20 18:4:0] 物品:强效魔法药	怪物:294426F0虹魔猪卫8	地图:H204	X:63	Y:23 
[2024/8/20 18:4:0] 物品:强效魔法药	怪物:294426F0虹魔猪卫8	地图:H204	X:63	Y:23 
[2024/8/20 18:4:0] 物品:强效金创药	怪物:294426F0虹魔猪卫8	地图:H204	X:63	Y:23 
[2024/8/20 18:4:0] 物品:强效金创药	怪物:294426F0虹魔猪卫8	地图:H204	X:63	Y:23 
[2024/8/20 18:4:0] 物品:强效金创药	怪物:294426F0虹魔猪卫8	地图:H204	X:63	Y:23 
[2024/8/20 18:4:0] 物品:强效金创药	怪物:294426F0虹魔猪卫8	地图:H204	X:63	Y:23 
[2024/8/20 18:4:0] 物品:强效金创药	怪物:294426F0虹魔猪卫8	地图:H204	X:63	Y:23 
[2024/8/20 18:4:0] 物品:强效金创药	怪物:294426F0虹魔猪卫8	地图:H204	X:63	Y:23 
[2024/8/20 18:4:0] 物品:强效魔法药	怪物:294426F0虹魔猪卫8	地图:H204	X:63	Y:23 
[2024/8/20 18:4:0] 物品:强效魔法药	怪物:294426F0虹魔猪卫8	地图:H204	X:63	Y:23 
[2024/8/20 18:4:0] 物品:强效魔法药	怪物:294426F0虹魔猪卫8	地图:H204	X:63	Y:23 
[2024/8/20 18:4:0] 物品:强效魔法药	怪物:294426F0虹魔猪卫8	地图:H204	X:63	Y:23 
[2024/8/20 18:4:0] 物品:强效魔法药	怪物:294426F0虹魔猪卫8	地图:H204	X:63	Y:23 
[2024/8/20 18:4:0] 物品:强效魔法药	怪物:294426F0虹魔猪卫8	地图:H204	X:63	Y:23 
[2024/8/20 18:4:0] 物品:魔法长袍(女)	怪物:294426F0虹魔猪卫8	地图:H204	X:63	Y:23 
[2024/8/20 18:4:1] 物品:死神手套	怪物:2AD642A0祖玛卫士8	地图:H204	X:64	Y:22 
[2024/8/20 18:4:17] 物品:强效太阳水	怪物:31DD2FA0虹魔猪卫8	地图:H008	X:68	Y:47 
[2024/8/20 18:4:17] 物品:强效太阳水	怪物:31DD2FA0虹魔猪卫8	地图:H008	X:68	Y:47 
[2024/8/20 18:4:17] 物品:强效太阳水	怪物:31DD2FA0虹魔猪卫8	地图:H008	X:68	Y:47 
[2024/8/20 18:4:17] 物品:强效太阳水	怪物:31DD2FA0虹魔猪卫8	地图:H008	X:68	Y:47 
[2024/8/20 18:4:17] 物品:强效太阳水	怪物:31DD2FA0虹魔猪卫8	地图:H008	X:68	Y:47 
[2024/8/20 18:4:17] 物品:强效太阳水	怪物:31DD2FA0虹魔猪卫8	地图:H008	X:68	Y:47 
[2024/8/20 18:4:17] 物品:强效太阳水	怪物:31DD2FA0虹魔猪卫8	地图:H008	X:68	Y:47 
