[2024/8/17 9:0:3] 物品:金创药(小量)	怪物:19EB4E70僵尸3	地图:D401	X:19	Y:147 
[2024/8/17 9:4:9] 物品:强效太阳水	怪物:26DEB0F0牛魔将军	地图:D2075	X:131	Y:64 
[2024/8/17 9:4:9] 物品:太阳水	怪物:26DEB0F0牛魔将军	地图:D2075	X:131	Y:64 
[2024/8/17 9:4:11] 物品:魔法药(小量)	怪物:28C0AC70僵尸3	地图:D401	X:66	Y:164 
[2024/8/17 9:4:19] 物品:疾风药水	怪物:06273DC0多钩猫	地图:0	X:238	Y:94 
[2024/8/17 9:4:24] 物品:金创药(小量)	怪物:1C12FA50僵尸4	地图:D406	X:56	Y:149 
[2024/8/17 9:4:30] 物品:魔法头盔	怪物:184301C0多钩猫	地图:0	X:117	Y:219 
[2024/8/17 9:4:33] 物品:青铜剑	怪物:2A8BF800骷髅	地图:D002	X:320	Y:334 
[2024/8/17 9:4:44] 物品:轻型盔甲(男)	怪物:1F05E3E0骷髅战士	地图:D002	X:38	Y:340 
[2024/8/17 9:4:47] 物品:太阳水	怪物:2734EB70牛魔斗士0	地图:D2076	X:130	Y:125 
[2024/8/17 9:4:47] 物品:强效魔法药	怪物:2734EB70牛魔斗士0	地图:D2076	X:130	Y:125 
[2024/8/17 9:4:50] 物品:强效太阳水	怪物:1C2809B0尸王	地图:D406	X:56	Y:147 
[2024/8/17 9:4:50] 物品:强效太阳水	怪物:1C2809B0尸王	地图:D406	X:56	Y:147 
[2024/8/17 9:4:50] 物品:强效太阳水	怪物:1C2809B0尸王	地图:D406	X:56	Y:147 
[2024/8/17 9:4:50] 物品:强效太阳水	怪物:1C2809B0尸王	地图:D406	X:56	Y:147 
[2024/8/17 9:4:50] 物品:强效太阳水	怪物:1C2809B0尸王	地图:D406	X:56	Y:147 
[2024/8/17 9:4:50] 物品:太阳水	怪物:1C2809B0尸王	地图:D406	X:56	Y:147 
[2024/8/17 9:4:50] 物品:太阳水	怪物:1C2809B0尸王	地图:D406	X:56	Y:147 
[2024/8/17 9:4:50] 物品:太阳水	怪物:1C2809B0尸王	地图:D406	X:56	Y:147 
[2024/8/17 9:4:50] 物品:太阳水	怪物:1C2809B0尸王	地图:D406	X:56	Y:147 
[2024/8/17 9:4:50] 物品:太阳水	怪物:1C2809B0尸王	地图:D406	X:56	Y:147 
[2024/8/17 9:4:50] 物品:太阳水	怪物:1C2809B0尸王	地图:D406	X:56	Y:147 
[2024/8/17 9:4:50] 物品:太阳水	怪物:1C2809B0尸王	地图:D406	X:56	Y:147 
[2024/8/17 9:4:50] 物品:太阳水	怪物:1C2809B0尸王	地图:D406	X:56	Y:147 
[2024/8/17 9:4:50] 物品:太阳水	怪物:1C2809B0尸王	地图:D406	X:56	Y:147 
[2024/8/17 9:4:50] 物品:太阳水	怪物:1C2809B0尸王	地图:D406	X:56	Y:147 
[2024/8/17 9:4:50] 物品:金创药(中量)	怪物:1C2809B0尸王	地图:D406	X:56	Y:147 
[2024/8/17 9:4:50] 物品:金创药(中量)	怪物:1C2809B0尸王	地图:D406	X:56	Y:147 
[2024/8/17 9:4:50] 物品:金创药(中量)	怪物:1C2809B0尸王	地图:D406	X:56	Y:147 
[2024/8/17 9:4:50] 物品:强效金创药	怪物:1C2809B0尸王	地图:D406	X:56	Y:147 
[2024/8/17 9:4:50] 物品:强效金创药	怪物:1C2809B0尸王	地图:D406	X:56	Y:147 
[2024/8/17 9:4:50] 物品:魔法药(中量)	怪物:1C2809B0尸王	地图:D406	X:56	Y:147 
[2024/8/17 9:4:50] 物品:魔法药(中量)	怪物:1C2809B0尸王	地图:D406	X:56	Y:147 
[2024/8/17 9:4:50] 物品:魔法药(中量)	怪物:1C2809B0尸王	地图:D406	X:56	Y:147 
[2024/8/17 9:4:50] 物品:强效魔法药	怪物:1C2809B0尸王	地图:D406	X:56	Y:147 
[2024/8/17 9:4:50] 物品:强效魔法药	怪物:1C2809B0尸王	地图:D406	X:56	Y:147 
[2024/8/17 9:4:50] 物品:生铁戒指	怪物:1C2809B0尸王	地图:D406	X:56	Y:147 
[2024/8/17 9:4:50] 物品:道德戒指	怪物:1C2809B0尸王	地图:D406	X:56	Y:147 
[2024/8/17 9:4:50] 物品:魅力戒指	怪物:1C2809B0尸王	地图:D406	X:56	Y:147 
[2024/8/17 9:4:50] 物品:蓝色水晶戒指	怪物:1C2809B0尸王	地图:D406	X:56	Y:147 
[2024/8/17 9:4:50] 物品:道士手镯	怪物:1C2809B0尸王	地图:D406	X:56	Y:147 
[2024/8/17 9:4:50] 物品:黑檀手镯	怪物:1C2809B0尸王	地图:D406	X:56	Y:147 
[2024/8/17 9:4:50] 物品:烈火剑法	怪物:1C2809B0尸王	地图:D406	X:56	Y:147 
[2024/8/17 9:4:50] 物品:地狱火	怪物:1C2809B0尸王	地图:D406	X:56	Y:147 
[2024/8/17 9:4:50] 物品:大火球	怪物:1C2809B0尸王	地图:D406	X:56	Y:147 
[2024/8/17 9:4:50] 物品:召唤骷髅	怪物:1C2809B0尸王	地图:D406	X:56	Y:147 
[2024/8/17 9:4:50] 物品:抗拒火环	怪物:1C2809B0尸王	地图:D406	X:56	Y:147 
[2024/8/17 9:4:50] 物品:精神力战法	怪物:1C2809B0尸王	地图:D406	X:56	Y:147 
[2024/8/17 9:4:50] 物品:治愈术	怪物:1C2809B0尸王	地图:D406	X:56	Y:147 
[2024/8/17 9:4:50] 物品:基本剑术	怪物:1C2809B0尸王	地图:D406	X:56	Y:147 
[2024/8/17 9:4:50] 物品:火球术	怪物:1C2809B0尸王	地图:D406	X:56	Y:147 
[2024/8/17 9:4:55] 物品:魔法药(小量)	怪物:303307B0僵尸3	地图:D413	X:41	Y:38 
[2024/8/17 9:5:1] 物品:强效太阳水	怪物:29BC17F0尸王8	地图:H001	X:139	Y:37 
[2024/8/17 9:5:1] 物品:强效太阳水	怪物:29BC17F0尸王8	地图:H001	X:139	Y:37 
[2024/8/17 9:5:1] 物品:强效太阳水	怪物:29BC17F0尸王8	地图:H001	X:139	Y:37 
[2024/8/17 9:5:1] 物品:强效太阳水	怪物:29BC17F0尸王8	地图:H001	X:139	Y:37 
[2024/8/17 9:5:1] 物品:强效太阳水	怪物:29BC17F0尸王8	地图:H001	X:139	Y:37 
[2024/8/17 9:5:1] 物品:强效金创药	怪物:29BC17F0尸王8	地图:H001	X:139	Y:37 
[2024/8/17 9:5:1] 物品:强效金创药	怪物:29BC17F0尸王8	地图:H001	X:139	Y:37 
[2024/8/17 9:5:1] 物品:强效魔法药	怪物:29BC17F0尸王8	地图:H001	X:139	Y:37 
[2024/8/17 9:5:1] 物品:强效魔法药	怪物:29BC17F0尸王8	地图:H001	X:139	Y:37 
[2024/8/17 9:5:1] 物品:蛇眼戒指	怪物:29BC17F0尸王8	地图:H001	X:139	Y:37 
[2024/8/17 9:5:1] 物品:蓝翡翠项链	怪物:29BC17F0尸王8	地图:H001	X:139	Y:37 
[2024/8/17 9:5:1] 物品:魔力手镯	怪物:29BC17F0尸王8	地图:H001	X:139	Y:37 
[2024/8/17 9:5:3] 物品:金创药(小量)	怪物:301808E0僵尸3	地图:D413	X:42	Y:39 
[2024/8/17 9:5:3] 物品:魔法药(小量)	怪物:1523E3F0僵尸3	地图:D401	X:39	Y:99 
[2024/8/17 9:5:5] 物品:金创药(小量)	怪物:1898B720骷髅战士	地图:D002	X:46	Y:347 
[2024/8/17 9:5:14] 物品:黄色水晶项链	怪物:1F129CF0掷斧骷髅	地图:D002	X:306	Y:338 
[2024/8/17 9:5:14] 物品:万年雪霜	怪物:27335C10牛魔战士	地图:D2078	X:161	Y:139 
[2024/8/17 9:5:27] 物品:金创药(小量)	怪物:301877D0僵尸3	地图:D413	X:42	Y:37 
[2024/8/17 9:5:30] 物品:魔法药(小量)	怪物:2891F320僵尸4	地图:D406	X:54	Y:148 
[2024/8/17 9:5:47] 物品:太阳水	怪物:02DD56A0僵尸3	地图:D413	X:43	Y:38 
[2024/8/17 9:5:50] 物品:牛角戒指	怪物:05996790掷斧骷髅	地图:D002	X:63	Y:308 
[2024/8/17 9:5:52] 物品:金创药(中量)	怪物:197B5310恶灵僵尸8	地图:H001	X:134	Y:36 
[2024/8/17 9:5:55] 物品:金创药(小量)	怪物:285BCBA0僵尸3	地图:D401	X:39	Y:71 
[2024/8/17 9:5:57] 物品:魔法药(小量)	怪物:1906E500骷髅战士	地图:D002	X:58	Y:303 
[2024/8/17 9:6:16] 物品:魔法药(小量)	怪物:29C16420山洞蝙蝠	地图:D003	X:244	Y:145 
[2024/8/17 9:6:25] 物品:青铜剑	怪物:18DAD3B0骷髅战将	地图:D003	X:245	Y:144 
[2024/8/17 9:6:43] 物品:魔法头盔	怪物:194AC950骷髅0	地图:D002	X:73	Y:285 
[2024/8/17 9:6:43] 物品:金创药(小量)	怪物:194AC950骷髅0	地图:D002	X:73	Y:285 
[2024/8/17 9:6:43] 物品:金创药(小量)	怪物:194AC950骷髅0	地图:D002	X:73	Y:285 
[2024/8/17 9:6:43] 物品:金创药(小量)	怪物:194AC950骷髅0	地图:D002	X:73	Y:285 
[2024/8/17 9:6:43] 物品:金创药(小量)	怪物:194AC950骷髅0	地图:D002	X:73	Y:285 
[2024/8/17 9:6:43] 物品:魔法药(小量)	怪物:194AC950骷髅0	地图:D002	X:73	Y:285 
[2024/8/17 9:6:43] 物品:魔法药(小量)	怪物:194AC950骷髅0	地图:D002	X:73	Y:285 
[2024/8/17 9:6:43] 物品:魔法药(小量)	怪物:194AC950骷髅0	地图:D002	X:73	Y:285 
[2024/8/17 9:6:43] 物品:魔法药(小量)	怪物:194AC950骷髅0	地图:D002	X:73	Y:285 
[2024/8/17 9:6:49] 物品:金创药(小量)	怪物:1F248870山洞蝙蝠	地图:D002	X:278	Y:206 
[2024/8/17 9:6:55] 物品:太阳水	怪物:2747B650牛魔法师	地图:D2078	X:210	Y:100 
[2024/8/17 9:6:56] 物品:魔法药(小量)	怪物:1933EEA0山洞蝙蝠	地图:D002	X:292	Y:195 
[2024/8/17 9:6:57] 物品:金创药(小量)	怪物:18C78530稻草人	地图:0	X:650	Y:657 
[2024/8/17 9:7:8] 物品:金创药(小量)	怪物:1C283610山洞蝙蝠	地图:D002	X:303	Y:205 
[2024/8/17 9:7:15] 物品:金创药(小量)	怪物:0F507E50僵尸4	地图:D406	X:87	Y:158 
[2024/8/17 9:7:15] 物品:魔法药(小量)	怪物:0F507E50僵尸4	地图:D406	X:87	Y:158 
[2024/8/17 9:7:17] 物品:金创药(小量)	怪物:0DDD8BA0稻草人	地图:0	X:330	Y:597 
[2024/8/17 9:7:18] 物品:回城卷	怪物:19842FB0山洞蝙蝠0	地图:D003	X:251	Y:121 
[2024/8/17 9:7:18] 物品:回城卷	怪物:19842FB0山洞蝙蝠0	地图:D003	X:251	Y:121 
[2024/8/17 9:7:18] 物品:回城卷	怪物:19842FB0山洞蝙蝠0	地图:D003	X:251	Y:121 
[2024/8/17 9:7:18] 物品:回城卷	怪物:19842FB0山洞蝙蝠0	地图:D003	X:251	Y:121 
[2024/8/17 9:7:18] 物品:回城卷	怪物:19842FB0山洞蝙蝠0	地图:D003	X:251	Y:121 
[2024/8/17 9:7:18] 物品:魔法药(小量)	怪物:055961A0僵尸3	地图:D413	X:66	Y:62 
[2024/8/17 9:7:20] 物品:金创药(小量)	怪物:1EF23860僵尸3	地图:D401	X:48	Y:45 
[2024/8/17 9:7:21] 物品:太阳水	怪物:1EF41F00黑野猪8	地图:H002	X:374	Y:176 
[2024/8/17 9:7:30] 物品:金创药(小量)	怪物:055908E0僵尸3	地图:D413	X:74	Y:67 
[2024/8/17 9:7:35] 物品:布衣(男)	怪物:0DCAAC10半兽人	地图:0	X:36	Y:252 
[2024/8/17 9:7:35] 物品:强效太阳水	怪物:2E927050牛魔将军	地图:D2079	X:15	Y:70 
[2024/8/17 9:7:35] 物品:修罗	怪物:2E927050牛魔将军	地图:D2079	X:15	Y:70 
[2024/8/17 9:7:35] 物品:金戒指	怪物:2E927050牛魔将军	地图:D2079	X:15	Y:70 
[2024/8/17 9:7:36] 物品:HP强化药水	怪物:28E49100稻草人	地图:0	X:655	Y:668 
[2024/8/17 9:7:37] 物品:大手镯	怪物:0DD35040掷斧骷髅	地图:D002	X:87	Y:300 
[2024/8/17 9:7:46] 物品:金创药(小量)	怪物:1EF23860僵尸3	地图:D401	X:47	Y:43 
[2024/8/17 9:7:47] 物品:木剑	怪物:29B800E0稻草人	地图:0	X:654	Y:666 
[2024/8/17 9:7:49] 物品:金创药(小量)	怪物:1F0FD870山洞蝙蝠	地图:D002	X:298	Y:182 
[2024/8/17 9:7:57] 物品:金创药(小量)	怪物:0D7F6710僵尸5	地图:D406	X:96	Y:158 
[2024/8/17 9:8:0] 物品:牛角戒指	怪物:186A5E90骷髅战士	地图:D002	X:294	Y:166 
[2024/8/17 9:8:4] 物品:攻击力药水	怪物:06308180掷斧骷髅	地图:D002	X:94	Y:305 
[2024/8/17 9:8:6] 物品:大火球	怪物:28DCAB30僵尸1	地图:D406	X:100	Y:152 
[2024/8/17 9:8:11] 物品:强效太阳水	怪物:05F2F5B0牛魔祭司	地图:D2079	X:14	Y:72 
[2024/8/17 9:8:11] 物品:强效太阳水	怪物:05F2F5B0牛魔祭司	地图:D2079	X:14	Y:72 
[2024/8/17 9:8:11] 物品:强效太阳水	怪物:05F2F5B0牛魔祭司	地图:D2079	X:14	Y:72 
[2024/8/17 9:8:11] 物品:金手镯	怪物:05F2F5B0牛魔祭司	地图:D2079	X:14	Y:72 
[2024/8/17 9:8:12] 物品:蛇眼戒指	怪物:1E0E2E00牛魔将军	地图:D2079	X:15	Y:71 
[2024/8/17 9:8:13] 物品:诱惑之光	怪物:0517A730僵尸3	地图:D401	X:62	Y:43 
[2024/8/17 9:8:17] 物品:钢手镯	怪物:30E35260骷髅战士0	地图:D002	X:294	Y:166 
[2024/8/17 9:8:17] 物品:金创药(中量)	怪物:30E35260骷髅战士0	地图:D002	X:294	Y:166 
[2024/8/17 9:8:17] 物品:金创药(中量)	怪物:30E35260骷髅战士0	地图:D002	X:294	Y:166 
[2024/8/17 9:8:17] 物品:金创药(中量)	怪物:30E35260骷髅战士0	地图:D002	X:294	Y:166 
[2024/8/17 9:8:17] 物品:金创药(中量)	怪物:30E35260骷髅战士0	地图:D002	X:294	Y:166 
[2024/8/17 9:8:17] 物品:魔法药(中量)	怪物:30E35260骷髅战士0	地图:D002	X:294	Y:166 
[2024/8/17 9:8:17] 物品:魔法药(中量)	怪物:30E35260骷髅战士0	地图:D002	X:294	Y:166 
[2024/8/17 9:8:17] 物品:魔法药(中量)	怪物:30E35260骷髅战士0	地图:D002	X:294	Y:166 
