[2024/8/21 9:0:3] 物品:强效金创药	怪物:28B09530祖玛卫士8	地图:H204	X:68	Y:65 
[2024/8/21 9:0:21] 物品:强效金创药	怪物:2C084760白野猪8	地图:H204	X:63	Y:61 
[2024/8/21 9:0:21] 物品:强效金创药	怪物:2C084760白野猪8	地图:H204	X:63	Y:61 
[2024/8/21 9:0:21] 物品:强效金创药	怪物:2C084760白野猪8	地图:H204	X:63	Y:61 
[2024/8/21 9:0:21] 物品:魔法药(中量)	怪物:2C084760白野猪8	地图:H204	X:63	Y:61 
[2024/8/21 9:0:21] 物品:魔法药(中量)	怪物:2C084760白野猪8	地图:H204	X:63	Y:61 
[2024/8/21 9:0:21] 物品:魔法药(中量)	怪物:2C084760白野猪8	地图:H204	X:63	Y:61 
[2024/8/21 9:0:21] 物品:强效魔法药	怪物:2C084760白野猪8	地图:H204	X:63	Y:61 
[2024/8/21 9:0:21] 物品:强效魔法药	怪物:2C084760白野猪8	地图:H204	X:63	Y:61 
[2024/8/21 9:0:21] 物品:强效魔法药	怪物:2C084760白野猪8	地图:H204	X:63	Y:61 
[2024/8/21 9:0:21] 物品:强效金创药	怪物:2C084760白野猪8	地图:H204	X:63	Y:61 
[2024/8/21 9:0:21] 物品:强效金创药	怪物:2C084760白野猪8	地图:H204	X:63	Y:61 
[2024/8/21 9:0:21] 物品:强效金创药	怪物:2C084760白野猪8	地图:H204	X:63	Y:61 
[2024/8/21 9:0:21] 物品:强效金创药	怪物:2C084760白野猪8	地图:H204	X:63	Y:61 
[2024/8/21 9:0:21] 物品:强效金创药	怪物:2C084760白野猪8	地图:H204	X:63	Y:61 
[2024/8/21 9:0:21] 物品:强效金创药	怪物:2C084760白野猪8	地图:H204	X:63	Y:61 
[2024/8/21 9:0:21] 物品:强效魔法药	怪物:2C084760白野猪8	地图:H204	X:63	Y:61 
[2024/8/21 9:0:21] 物品:强效魔法药	怪物:2C084760白野猪8	地图:H204	X:63	Y:61 
[2024/8/21 9:0:21] 物品:强效魔法药	怪物:2C084760白野猪8	地图:H204	X:63	Y:61 
[2024/8/21 9:0:21] 物品:强效魔法药	怪物:2C084760白野猪8	地图:H204	X:63	Y:61 
[2024/8/21 9:0:21] 物品:强效魔法药	怪物:2C084760白野猪8	地图:H204	X:63	Y:61 
[2024/8/21 9:0:21] 物品:强效魔法药	怪物:2C084760白野猪8	地图:H204	X:63	Y:61 
[2024/8/21 9:0:23] 物品:强效金创药	怪物:28E47000魔龙破甲兵	地图:66	X:232	Y:80 
[2024/8/21 9:0:23] 物品:强效金创药	怪物:28E47000魔龙破甲兵	地图:66	X:232	Y:80 
[2024/8/21 9:0:26] 物品:魔法力药水	怪物:184DBCD0僵尸5	地图:D422	X:61	Y:48 
[2024/8/21 9:0:26] 物品:强效金创药	怪物:28B15CE0魔龙刀兵	地图:66	X:231	Y:80 
[2024/8/21 9:0:26] 物品:强效魔法药	怪物:28B15CE0魔龙刀兵	地图:66	X:231	Y:80 
[2024/8/21 9:0:31] 物品:强效太阳水	怪物:22BF7A50白野猪8	地图:H204	X:58	Y:55 
[2024/8/21 9:0:31] 物品:强效太阳水	怪物:22BF7A50白野猪8	地图:H204	X:58	Y:55 
[2024/8/21 9:0:31] 物品:强效太阳水	怪物:22BF7A50白野猪8	地图:H204	X:58	Y:55 
[2024/8/21 9:0:31] 物品:强效太阳水	怪物:22BF7A50白野猪8	地图:H204	X:58	Y:55 
[2024/8/21 9:0:31] 物品:强效太阳水	怪物:22BF7A50白野猪8	地图:H204	X:58	Y:55 
[2024/8/21 9:0:31] 物品:强效太阳水	怪物:22BF7A50白野猪8	地图:H204	X:58	Y:55 
[2024/8/21 9:0:31] 物品:强效太阳水	怪物:22BF7A50白野猪8	地图:H204	X:58	Y:55 
[2024/8/21 9:0:31] 物品:强效太阳水	怪物:22BF7A50白野猪8	地图:H204	X:58	Y:55 
[2024/8/21 9:0:31] 物品:强效太阳水	怪物:22BF7A50白野猪8	地图:H204	X:58	Y:55 
[2024/8/21 9:0:31] 物品:强效太阳水	怪物:22BF7A50白野猪8	地图:H204	X:58	Y:55 
[2024/8/21 9:0:31] 物品:太阳水	怪物:22BF7A50白野猪8	地图:H204	X:58	Y:55 
[2024/8/21 9:0:31] 物品:太阳水	怪物:22BF7A50白野猪8	地图:H204	X:58	Y:55 
[2024/8/21 9:0:31] 物品:太阳水	怪物:22BF7A50白野猪8	地图:H204	X:58	Y:55 
[2024/8/21 9:0:31] 物品:太阳水	怪物:22BF7A50白野猪8	地图:H204	X:58	Y:55 
[2024/8/21 9:0:31] 物品:太阳水	怪物:22BF7A50白野猪8	地图:H204	X:58	Y:55 
[2024/8/21 9:0:31] 物品:太阳水	怪物:22BF7A50白野猪8	地图:H204	X:58	Y:55 
[2024/8/21 9:0:31] 物品:太阳水	怪物:22BF7A50白野猪8	地图:H204	X:58	Y:55 
[2024/8/21 9:0:31] 物品:太阳水	怪物:22BF7A50白野猪8	地图:H204	X:58	Y:55 
[2024/8/21 9:0:31] 物品:太阳水	怪物:22BF7A50白野猪8	地图:H204	X:58	Y:55 
[2024/8/21 9:0:31] 物品:太阳水	怪物:22BF7A50白野猪8	地图:H204	X:58	Y:55 
[2024/8/21 9:0:31] 物品:金创药(中量)	怪物:22BF7A50白野猪8	地图:H204	X:58	Y:55 
[2024/8/21 9:0:31] 物品:金创药(中量)	怪物:22BF7A50白野猪8	地图:H204	X:58	Y:55 
[2024/8/21 9:0:31] 物品:金创药(中量)	怪物:22BF7A50白野猪8	地图:H204	X:58	Y:55 
[2024/8/21 9:0:31] 物品:强效金创药	怪物:22BF7A50白野猪8	地图:H204	X:58	Y:55 
[2024/8/21 9:0:31] 物品:强效金创药	怪物:22BF7A50白野猪8	地图:H204	X:58	Y:55 
[2024/8/21 9:0:31] 物品:强效金创药	怪物:22BF7A50白野猪8	地图:H204	X:58	Y:55 
[2024/8/21 9:0:31] 物品:魔法药(中量)	怪物:22BF7A50白野猪8	地图:H204	X:58	Y:55 
[2024/8/21 9:0:31] 物品:魔法药(中量)	怪物:22BF7A50白野猪8	地图:H204	X:58	Y:55 
[2024/8/21 9:0:31] 物品:魔法药(中量)	怪物:22BF7A50白野猪8	地图:H204	X:58	Y:55 
[2024/8/21 9:0:31] 物品:强效魔法药	怪物:22BF7A50白野猪8	地图:H204	X:58	Y:55 
[2024/8/21 9:0:31] 物品:强效魔法药	怪物:22BF7A50白野猪8	地图:H204	X:58	Y:55 
[2024/8/21 9:0:31] 物品:强效魔法药	怪物:22BF7A50白野猪8	地图:H204	X:58	Y:55 
[2024/8/21 9:0:31] 物品:强效金创药	怪物:22BF7A50白野猪8	地图:H204	X:58	Y:55 
[2024/8/21 9:0:31] 物品:强效金创药	怪物:22BF7A50白野猪8	地图:H204	X:58	Y:55 
[2024/8/21 9:0:31] 物品:强效金创药	怪物:22BF7A50白野猪8	地图:H204	X:58	Y:55 
[2024/8/21 9:0:31] 物品:强效金创药	怪物:22BF7A50白野猪8	地图:H204	X:58	Y:55 
[2024/8/21 9:0:31] 物品:强效金创药	怪物:22BF7A50白野猪8	地图:H204	X:58	Y:55 
[2024/8/21 9:0:31] 物品:强效金创药	怪物:22BF7A50白野猪8	地图:H204	X:58	Y:55 
[2024/8/21 9:0:31] 物品:强效魔法药	怪物:22BF7A50白野猪8	地图:H204	X:58	Y:55 
[2024/8/21 9:0:31] 物品:强效魔法药	怪物:22BF7A50白野猪8	地图:H204	X:58	Y:55 
[2024/8/21 9:0:31] 物品:强效魔法药	怪物:22BF7A50白野猪8	地图:H204	X:58	Y:55 
[2024/8/21 9:0:31] 物品:强效魔法药	怪物:22BF7A50白野猪8	地图:H204	X:58	Y:55 
[2024/8/21 9:0:31] 物品:强效魔法药	怪物:22BF7A50白野猪8	地图:H204	X:58	Y:55 
[2024/8/21 9:0:31] 物品:强效魔法药	怪物:22BF7A50白野猪8	地图:H204	X:58	Y:55 
[2024/8/21 9:0:31] 物品:灵魂战衣(女)	怪物:22BF7A50白野猪8	地图:H204	X:58	Y:55 
[2024/8/21 9:0:33] 物品:强效魔法药	怪物:2CACAEF0魔龙射手2	地图:66	X:227	Y:81 
[2024/8/21 9:0:37] 物品:灯笼项链	怪物:2CC492F0祖玛卫士8	地图:H204	X:51	Y:58 
[2024/8/21 9:0:40] 物品:凤凰明珠	怪物:250ABCD0祖玛弓箭手8	地图:H204	X:52	Y:52 
[2024/8/21 9:0:43] 物品:斩马刀	怪物:22F244F0祖玛雕像8	地图:H204	X:49	Y:54 
[2024/8/21 9:0:50] 物品:白色虎齿项链	怪物:180F10E0祖玛卫士8	地图:H204	X:54	Y:43 
[2024/8/21 9:0:52] 物品:强效太阳水	怪物:29015C60祖玛卫士8	地图:H204	X:46	Y:54 
[2024/8/21 9:0:52] 物品:道士头盔	怪物:2C516F10祖玛卫士8	地图:H204	X:55	Y:42 
[2024/8/21 9:0:52] 物品:蓝翡翠项链	怪物:2C516F10祖玛卫士8	地图:H204	X:55	Y:42 
[2024/8/21 9:0:53] 物品:灯笼项链	怪物:2AE1B300祖玛雕像8	地图:H204	X:52	Y:43 
[2024/8/21 9:0:53] 物品:强效金创药	怪物:28EB0A80魔龙战将	地图:66	X:229	Y:78 
[2024/8/21 9:0:55] 物品:魔法药(中量)	怪物:25B78F80祖玛弓箭手8	地图:H204	X:50	Y:42 
[2024/8/21 9:0:55] 物品:强效魔法药	怪物:25B78F80祖玛弓箭手8	地图:H204	X:50	Y:42 
[2024/8/21 9:0:56] 物品:偃月	怪物:28FED200祖玛弓箭手8	地图:H204	X:44	Y:57 
[2024/8/21 9:0:56] 物品:降妖除魔戒指	怪物:2465D330祖玛雕像83	地图:H008	X:18	Y:61 
[2024/8/21 9:0:59] 物品:魔法药(中量)	怪物:2AE89F00祖玛卫士8	地图:H204	X:44	Y:56 
[2024/8/21 9:0:59] 物品:降魔	怪物:2AE89F00祖玛卫士8	地图:H204	X:44	Y:56 
[2024/8/21 9:1:3] 物品:魔法药(中量)	怪物:2CCAE5A0祖玛弓箭手83	地图:H008	X:19	Y:64 
[2024/8/21 9:1:3] 物品:战神盔甲(男)	怪物:2CCAE5A0祖玛弓箭手83	地图:H008	X:19	Y:64 
[2024/8/21 9:1:3] 物品:幽灵战衣(女)	怪物:2CCAE5A0祖玛弓箭手83	地图:H008	X:19	Y:64 
[2024/8/21 9:1:4] 物品:强效金创药	怪物:2B3F7750祖玛雕像8	地图:H204	X:47	Y:44 
[2024/8/21 9:1:4] 物品:绿色项链	怪物:2B423550魔龙射手	地图:66	X:239	Y:82 
[2024/8/21 9:1:6] 物品:强效魔法药	怪物:28DB40B0祖玛雕像83	地图:H008	X:18	Y:59 
[2024/8/21 9:1:7] 物品:金创药(中量)	怪物:2BE933F0祖玛弓箭手8	地图:H204	X:45	Y:53 
[2024/8/21 9:1:7] 物品:凤凰明珠	怪物:2BE933F0祖玛弓箭手8	地图:H204	X:45	Y:53 
[2024/8/21 9:1:10] 物品:骷髅头盔	怪物:13715330魔龙破甲兵1	地图:66	X:239	Y:81 
[2024/8/21 9:1:11] 物品:强效魔法药	怪物:22DFD0C0祖玛弓箭手8	地图:H204	X:43	Y:41 
[2024/8/21 9:1:16] 物品:强效太阳水	怪物:2CCE2000白野猪8	地图:H204	X:43	Y:42 
[2024/8/21 9:1:16] 物品:强效太阳水	怪物:2CCE2000白野猪8	地图:H204	X:43	Y:42 
[2024/8/21 9:1:16] 物品:强效太阳水	怪物:2CCE2000白野猪8	地图:H204	X:43	Y:42 
[2024/8/21 9:1:16] 物品:强效太阳水	怪物:2CCE2000白野猪8	地图:H204	X:43	Y:42 
[2024/8/21 9:1:16] 物品:强效太阳水	怪物:2CCE2000白野猪8	地图:H204	X:43	Y:42 
[2024/8/21 9:1:16] 物品:强效太阳水	怪物:2CCE2000白野猪8	地图:H204	X:43	Y:42 
[2024/8/21 9:1:16] 物品:强效太阳水	怪物:2CCE2000白野猪8	地图:H204	X:43	Y:42 
[2024/8/21 9:1:16] 物品:强效太阳水	怪物:2CCE2000白野猪8	地图:H204	X:43	Y:42 
[2024/8/21 9:1:16] 物品:强效太阳水	怪物:2CCE2000白野猪8	地图:H204	X:43	Y:42 
[2024/8/21 9:1:16] 物品:强效太阳水	怪物:2CCE2000白野猪8	地图:H204	X:43	Y:42 
[2024/8/21 9:1:16] 物品:太阳水	怪物:2CCE2000白野猪8	地图:H204	X:43	Y:42 
[2024/8/21 9:1:16] 物品:太阳水	怪物:2CCE2000白野猪8	地图:H204	X:43	Y:42 
[2024/8/21 9:1:16] 物品:太阳水	怪物:2CCE2000白野猪8	地图:H204	X:43	Y:42 
[2024/8/21 9:1:16] 物品:太阳水	怪物:2CCE2000白野猪8	地图:H204	X:43	Y:42 
[2024/8/21 9:1:16] 物品:太阳水	怪物:2CCE2000白野猪8	地图:H204	X:43	Y:42 
[2024/8/21 9:1:16] 物品:太阳水	怪物:2CCE2000白野猪8	地图:H204	X:43	Y:42 
[2024/8/21 9:1:16] 物品:太阳水	怪物:2CCE2000白野猪8	地图:H204	X:43	Y:42 
[2024/8/21 9:1:16] 物品:太阳水	怪物:2CCE2000白野猪8	地图:H204	X:43	Y:42 
[2024/8/21 9:1:16] 物品:太阳水	怪物:2CCE2000白野猪8	地图:H204	X:43	Y:42 
[2024/8/21 9:1:16] 物品:太阳水	怪物:2CCE2000白野猪8	地图:H204	X:43	Y:42 
[2024/8/21 9:1:16] 物品:金创药(中量)	怪物:2CCE2000白野猪8	地图:H204	X:43	Y:42 
[2024/8/21 9:1:16] 物品:金创药(中量)	怪物:2CCE2000白野猪8	地图:H204	X:43	Y:42 
[2024/8/21 9:1:16] 物品:金创药(中量)	怪物:2CCE2000白野猪8	地图:H204	X:43	Y:42 
[2024/8/21 9:1:16] 物品:强效金创药	怪物:2CCE2000白野猪8	地图:H204	X:43	Y:42 
[2024/8/21 9:1:16] 物品:强效金创药	怪物:2CCE2000白野猪8	地图:H204	X:43	Y:42 
[2024/8/21 9:1:16] 物品:强效金创药	怪物:2CCE2000白野猪8	地图:H204	X:43	Y:42 
[2024/8/21 9:1:16] 物品:魔法药(中量)	怪物:2CCE2000白野猪8	地图:H204	X:43	Y:42 
[2024/8/21 9:1:16] 物品:魔法药(中量)	怪物:2CCE2000白野猪8	地图:H204	X:43	Y:42 
[2024/8/21 9:1:16] 物品:魔法药(中量)	怪物:2CCE2000白野猪8	地图:H204	X:43	Y:42 
[2024/8/21 9:1:16] 物品:强效魔法药	怪物:2CCE2000白野猪8	地图:H204	X:43	Y:42 
[2024/8/21 9:1:16] 物品:强效魔法药	怪物:2CCE2000白野猪8	地图:H204	X:43	Y:42 
[2024/8/21 9:1:16] 物品:强效魔法药	怪物:2CCE2000白野猪8	地图:H204	X:43	Y:42 
[2024/8/21 9:1:16] 物品:强效金创药	怪物:2CCE2000白野猪8	地图:H204	X:43	Y:42 
[2024/8/21 9:1:16] 物品:强效金创药	怪物:2CCE2000白野猪8	地图:H204	X:43	Y:42 
[2024/8/21 9:1:16] 物品:强效金创药	怪物:2CCE2000白野猪8	地图:H204	X:43	Y:42 
[2024/8/21 9:1:16] 物品:强效金创药	怪物:2CCE2000白野猪8	地图:H204	X:43	Y:42 
[2024/8/21 9:1:16] 物品:强效金创药	怪物:2CCE2000白野猪8	地图:H204	X:43	Y:42 
[2024/8/21 9:1:16] 物品:强效金创药	怪物:2CCE2000白野猪8	地图:H204	X:43	Y:42 
[2024/8/21 9:1:16] 物品:强效魔法药	怪物:2CCE2000白野猪8	地图:H204	X:43	Y:42 
[2024/8/21 9:1:16] 物品:强效魔法药	怪物:2CCE2000白野猪8	地图:H204	X:43	Y:42 
[2024/8/21 9:1:16] 物品:强效魔法药	怪物:2CCE2000白野猪8	地图:H204	X:43	Y:42 
[2024/8/21 9:1:16] 物品:强效魔法药	怪物:2CCE2000白野猪8	地图:H204	X:43	Y:42 
[2024/8/21 9:1:16] 物品:强效魔法药	怪物:2CCE2000白野猪8	地图:H204	X:43	Y:42 
[2024/8/21 9:1:16] 物品:强效魔法药	怪物:2CCE2000白野猪8	地图:H204	X:43	Y:42 
[2024/8/21 9:1:16] 物品:天珠项链	怪物:2CCE2000白野猪8	地图:H204	X:43	Y:42 
[2024/8/21 9:1:16] 物品:记忆头盔	怪物:2CCE2000白野猪8	地图:H204	X:43	Y:42 
[2024/8/21 9:1:16] 物品:破魂	怪物:2CCE2000白野猪8	地图:H204	X:43	Y:42 
[2024/8/21 9:1:17] 物品:白金项链	怪物:28DF6660祖玛弓箭手8	地图:H204	X:35	Y:66 
[2024/8/21 9:1:20] 物品:小手镯	怪物:28F191C0祖玛弓箭手8	地图:H204	X:39	Y:38 
[2024/8/21 9:1:22] 物品:魔法长袍(男)	怪物:22F0CBC0魔龙刺蛙	地图:66	X:239	Y:84 
[2024/8/21 9:1:24] 物品:白金项链	怪物:22EFAB50祖玛卫士8	地图:H204	X:38	Y:63 
[2024/8/21 9:1:24] 物品:灯笼项链	怪物:22EFAB50祖玛卫士8	地图:H204	X:38	Y:63 
[2024/8/21 9:1:24] 物品:降妖除魔戒指	怪物:22EFAB50祖玛卫士8	地图:H204	X:38	Y:63 
[2024/8/21 9:1:25] 物品:黑色水晶戒指	怪物:247C08D0祖玛雕像8	地图:H204	X:40	Y:39 
[2024/8/21 9:1:27] 物品:强效太阳水	怪物:28B13080白野猪8	地图:H204	X:26	Y:71 
[2024/8/21 9:1:27] 物品:强效太阳水	怪物:28B13080白野猪8	地图:H204	X:26	Y:71 
[2024/8/21 9:1:27] 物品:强效太阳水	怪物:28B13080白野猪8	地图:H204	X:26	Y:71 
[2024/8/21 9:1:27] 物品:强效太阳水	怪物:28B13080白野猪8	地图:H204	X:26	Y:71 
[2024/8/21 9:1:27] 物品:强效太阳水	怪物:28B13080白野猪8	地图:H204	X:26	Y:71 
[2024/8/21 9:1:27] 物品:强效太阳水	怪物:28B13080白野猪8	地图:H204	X:26	Y:71 
[2024/8/21 9:1:27] 物品:强效太阳水	怪物:28B13080白野猪8	地图:H204	X:26	Y:71 
[2024/8/21 9:1:27] 物品:强效太阳水	怪物:28B13080白野猪8	地图:H204	X:26	Y:71 
[2024/8/21 9:1:27] 物品:强效太阳水	怪物:28B13080白野猪8	地图:H204	X:26	Y:71 
[2024/8/21 9:1:27] 物品:强效太阳水	怪物:28B13080白野猪8	地图:H204	X:26	Y:71 
[2024/8/21 9:1:27] 物品:太阳水	怪物:28B13080白野猪8	地图:H204	X:26	Y:71 
[2024/8/21 9:1:27] 物品:太阳水	怪物:28B13080白野猪8	地图:H204	X:26	Y:71 
[2024/8/21 9:1:27] 物品:太阳水	怪物:28B13080白野猪8	地图:H204	X:26	Y:71 
[2024/8/21 9:1:27] 物品:太阳水	怪物:28B13080白野猪8	地图:H204	X:26	Y:71 
[2024/8/21 9:1:27] 物品:太阳水	怪物:28B13080白野猪8	地图:H204	X:26	Y:71 
[2024/8/21 9:1:27] 物品:太阳水	怪物:28B13080白野猪8	地图:H204	X:26	Y:71 
[2024/8/21 9:1:27] 物品:太阳水	怪物:28B13080白野猪8	地图:H204	X:26	Y:71 
[2024/8/21 9:1:27] 物品:太阳水	怪物:28B13080白野猪8	地图:H204	X:26	Y:71 
[2024/8/21 9:1:27] 物品:太阳水	怪物:28B13080白野猪8	地图:H204	X:26	Y:71 
[2024/8/21 9:1:27] 物品:太阳水	怪物:28B13080白野猪8	地图:H204	X:26	Y:71 
[2024/8/21 9:1:27] 物品:金创药(中量)	怪物:28B13080白野猪8	地图:H204	X:26	Y:71 
[2024/8/21 9:1:27] 物品:金创药(中量)	怪物:28B13080白野猪8	地图:H204	X:26	Y:71 
[2024/8/21 9:1:27] 物品:金创药(中量)	怪物:28B13080白野猪8	地图:H204	X:26	Y:71 
[2024/8/21 9:1:27] 物品:强效金创药	怪物:28B13080白野猪8	地图:H204	X:26	Y:71 
[2024/8/21 9:1:27] 物品:强效金创药	怪物:28B13080白野猪8	地图:H204	X:26	Y:71 
[2024/8/21 9:1:27] 物品:强效金创药	怪物:28B13080白野猪8	地图:H204	X:26	Y:71 
[2024/8/21 9:1:27] 物品:魔法药(中量)	怪物:28B13080白野猪8	地图:H204	X:26	Y:71 
[2024/8/21 9:1:27] 物品:魔法药(中量)	怪物:28B13080白野猪8	地图:H204	X:26	Y:71 
[2024/8/21 9:1:27] 物品:魔法药(中量)	怪物:28B13080白野猪8	地图:H204	X:26	Y:71 
[2024/8/21 9:1:27] 物品:强效魔法药	怪物:28B13080白野猪8	地图:H204	X:26	Y:71 
[2024/8/21 9:1:27] 物品:强效魔法药	怪物:28B13080白野猪8	地图:H204	X:26	Y:71 
[2024/8/21 9:1:27] 物品:强效魔法药	怪物:28B13080白野猪8	地图:H204	X:26	Y:71 
[2024/8/21 9:1:27] 物品:强效金创药	怪物:28B13080白野猪8	地图:H204	X:26	Y:71 
[2024/8/21 9:1:27] 物品:强效金创药	怪物:28B13080白野猪8	地图:H204	X:26	Y:71 
[2024/8/21 9:1:27] 物品:强效金创药	怪物:28B13080白野猪8	地图:H204	X:26	Y:71 
[2024/8/21 9:1:27] 物品:强效金创药	怪物:28B13080白野猪8	地图:H204	X:26	Y:71 
[2024/8/21 9:1:27] 物品:强效金创药	怪物:28B13080白野猪8	地图:H204	X:26	Y:71 
[2024/8/21 9:1:27] 物品:强效金创药	怪物:28B13080白野猪8	地图:H204	X:26	Y:71 
[2024/8/21 9:1:27] 物品:强效魔法药	怪物:28B13080白野猪8	地图:H204	X:26	Y:71 
[2024/8/21 9:1:27] 物品:强效魔法药	怪物:28B13080白野猪8	地图:H204	X:26	Y:71 
[2024/8/21 9:1:27] 物品:强效魔法药	怪物:28B13080白野猪8	地图:H204	X:26	Y:71 
[2024/8/21 9:1:27] 物品:强效魔法药	怪物:28B13080白野猪8	地图:H204	X:26	Y:71 
[2024/8/21 9:1:27] 物品:强效魔法药	怪物:28B13080白野猪8	地图:H204	X:26	Y:71 
[2024/8/21 9:1:27] 物品:强效魔法药	怪物:28B13080白野猪8	地图:H204	X:26	Y:71 
[2024/8/21 9:1:27] 物品:道士头盔	怪物:28B13080白野猪8	地图:H204	X:26	Y:71 
[2024/8/21 9:1:27] 物品:蓝翡翠项链	怪物:28B13080白野猪8	地图:H204	X:26	Y:71 
[2024/8/21 9:1:27] 物品:金手镯	怪物:28B13080白野猪8	地图:H204	X:26	Y:71 
[2024/8/21 9:1:29] 物品:蛇眼戒指	怪物:2CCAFBD0祖玛雕像8	地图:H204	X:38	Y:39 
[2024/8/21 9:1:30] 物品:凌风	怪物:2305F2B0祖玛卫士8	地图:H204	X:26	Y:73 
[2024/8/21 9:1:32] 物品:强效太阳水	怪物:25F88BA0白野猪8	地图:H204	X:39	Y:37 
[2024/8/21 9:1:32] 物品:强效太阳水	怪物:25F88BA0白野猪8	地图:H204	X:39	Y:37 
[2024/8/21 9:1:32] 物品:强效太阳水	怪物:25F88BA0白野猪8	地图:H204	X:39	Y:37 
[2024/8/21 9:1:32] 物品:强效太阳水	怪物:25F88BA0白野猪8	地图:H204	X:39	Y:37 
[2024/8/21 9:1:32] 物品:强效太阳水	怪物:25F88BA0白野猪8	地图:H204	X:39	Y:37 
[2024/8/21 9:1:32] 物品:强效太阳水	怪物:25F88BA0白野猪8	地图:H204	X:39	Y:37 
[2024/8/21 9:1:32] 物品:强效太阳水	怪物:25F88BA0白野猪8	地图:H204	X:39	Y:37 
[2024/8/21 9:1:32] 物品:强效太阳水	怪物:25F88BA0白野猪8	地图:H204	X:39	Y:37 
[2024/8/21 9:1:32] 物品:强效太阳水	怪物:25F88BA0白野猪8	地图:H204	X:39	Y:37 
[2024/8/21 9:1:32] 物品:强效太阳水	怪物:25F88BA0白野猪8	地图:H204	X:39	Y:37 
[2024/8/21 9:1:32] 物品:太阳水	怪物:25F88BA0白野猪8	地图:H204	X:39	Y:37 
[2024/8/21 9:1:32] 物品:太阳水	怪物:25F88BA0白野猪8	地图:H204	X:39	Y:37 
[2024/8/21 9:1:32] 物品:太阳水	怪物:25F88BA0白野猪8	地图:H204	X:39	Y:37 
[2024/8/21 9:1:32] 物品:太阳水	怪物:25F88BA0白野猪8	地图:H204	X:39	Y:37 
[2024/8/21 9:1:32] 物品:太阳水	怪物:25F88BA0白野猪8	地图:H204	X:39	Y:37 
[2024/8/21 9:1:32] 物品:太阳水	怪物:25F88BA0白野猪8	地图:H204	X:39	Y:37 
[2024/8/21 9:1:32] 物品:太阳水	怪物:25F88BA0白野猪8	地图:H204	X:39	Y:37 
[2024/8/21 9:1:32] 物品:太阳水	怪物:25F88BA0白野猪8	地图:H204	X:39	Y:37 
[2024/8/21 9:1:32] 物品:太阳水	怪物:25F88BA0白野猪8	地图:H204	X:39	Y:37 
