[2024/8/20 2:0:4] 物品:强效魔法药	怪物:2751D010魔龙刀兵	地图:66	X:197	Y:117 
[2024/8/20 2:0:44] 物品:太阳水	怪物:2D5859E0沃玛卫士8	地图:H204	X:79	Y:23 
[2024/8/20 2:0:44] 物品:太阳水	怪物:2D5859E0沃玛卫士8	地图:H204	X:79	Y:23 
[2024/8/20 2:0:44] 物品:太阳水	怪物:2D5859E0沃玛卫士8	地图:H204	X:79	Y:23 
[2024/8/20 2:0:44] 物品:金创药(中量)	怪物:2D5859E0沃玛卫士8	地图:H204	X:79	Y:23 
[2024/8/20 2:0:44] 物品:金创药(中量)	怪物:2D5859E0沃玛卫士8	地图:H204	X:79	Y:23 
[2024/8/20 2:0:44] 物品:强效金创药	怪物:2D5859E0沃玛卫士8	地图:H204	X:79	Y:23 
[2024/8/20 2:0:44] 物品:强效金创药	怪物:2D5859E0沃玛卫士8	地图:H204	X:79	Y:23 
[2024/8/20 2:0:44] 物品:强效金创药	怪物:2D5859E0沃玛卫士8	地图:H204	X:79	Y:23 
[2024/8/20 2:0:44] 物品:魔法药(中量)	怪物:2D5859E0沃玛卫士8	地图:H204	X:79	Y:23 
[2024/8/20 2:0:44] 物品:魔法药(中量)	怪物:2D5859E0沃玛卫士8	地图:H204	X:79	Y:23 
[2024/8/20 2:0:44] 物品:强效魔法药	怪物:2D5859E0沃玛卫士8	地图:H204	X:79	Y:23 
[2024/8/20 2:0:44] 物品:强效魔法药	怪物:2D5859E0沃玛卫士8	地图:H204	X:79	Y:23 
[2024/8/20 2:0:44] 物品:强效魔法药	怪物:2D5859E0沃玛卫士8	地图:H204	X:79	Y:23 
[2024/8/20 2:0:56] 物品:紫碧螺	怪物:29CE57F0魔龙破甲兵1	地图:66	X:217	Y:110 
[2024/8/20 2:0:57] 物品:鹿皮靴	怪物:1FA3A270魔龙刀兵	地图:66	X:217	Y:110 
[2024/8/20 2:0:59] 物品:强效金创药	怪物:27646C70祖玛卫士8	地图:H204	X:82	Y:22 
[2024/8/20 2:0:59] 物品:海魂	怪物:27646C70祖玛卫士8	地图:H204	X:82	Y:22 
[2024/8/20 2:1:1] 物品:重盔甲(男)	怪物:2D4CA540祖玛卫士8	地图:H204	X:82	Y:21 
[2024/8/20 2:1:15] 物品:道士手镯	怪物:23CED6C0魔龙射手	地图:66	X:216	Y:116 
[2024/8/20 2:1:24] 物品:金手镯	怪物:29D04010魔龙射手2	地图:66	X:218	Y:119 
[2024/8/20 2:1:27] 物品:强效金创药	怪物:2F0930E0魔龙射手1	地图:66	X:219	Y:120 
[2024/8/20 2:1:27] 物品:布鞋	怪物:2F0930E0魔龙射手1	地图:66	X:219	Y:120 
[2024/8/20 2:1:31] 物品:金创药(中量)	怪物:20703D20祖玛弓箭手8	地图:H204	X:64	Y:24 
[2024/8/20 2:1:36] 物品:太阳水	怪物:1A5CF980祖玛雕像8	地图:H204	X:62	Y:22 
[2024/8/20 2:1:39] 物品:强效魔法药	怪物:03A745A0魔龙射手1	地图:66	X:219	Y:114 
[2024/8/20 2:1:39] 物品:强效金创药	怪物:03A745A0魔龙射手1	地图:66	X:219	Y:114 
[2024/8/20 2:1:46] 物品:强效金创药	怪物:2F3E95E0魔龙射手	地图:66	X:218	Y:112 
[2024/8/20 2:1:51] 物品:强效太阳水	怪物:1CBA4430魔龙射手1	地图:66	X:225	Y:111 
[2024/8/20 2:1:56] 物品:重盔甲(女)	怪物:0B866100祖玛弓箭手8	地图:H204	X:45	Y:16 
[2024/8/20 2:1:56] 物品:金戒指	怪物:0B866100祖玛弓箭手8	地图:H204	X:45	Y:16 
[2024/8/20 2:1:59] 物品:强效魔法药	怪物:1C9719A0魔龙刀兵	地图:66	X:227	Y:105 
[2024/8/20 2:2:22] 物品:太阳水	怪物:053EC950祖玛弓箭手8	地图:H204	X:88	Y:46 
[2024/8/20 2:2:26] 物品:道士头盔	怪物:28D4B4F0魔龙破甲兵2	地图:66	X:231	Y:94 
[2024/8/20 2:2:32] 物品:太阳水	怪物:2F70E970魔龙破甲兵	地图:66	X:233	Y:96 
[2024/8/20 2:2:42] 物品:强效太阳水	怪物:29AF1A20沃玛卫士8	地图:H204	X:88	Y:54 
[2024/8/20 2:2:42] 物品:强效太阳水	怪物:29AF1A20沃玛卫士8	地图:H204	X:88	Y:54 
[2024/8/20 2:2:42] 物品:强效太阳水	怪物:29AF1A20沃玛卫士8	地图:H204	X:88	Y:54 
[2024/8/20 2:2:42] 物品:强效太阳水	怪物:29AF1A20沃玛卫士8	地图:H204	X:88	Y:54 
[2024/8/20 2:2:42] 物品:强效太阳水	怪物:29AF1A20沃玛卫士8	地图:H204	X:88	Y:54 
[2024/8/20 2:2:42] 物品:太阳水	怪物:29AF1A20沃玛卫士8	地图:H204	X:88	Y:54 
[2024/8/20 2:2:42] 物品:太阳水	怪物:29AF1A20沃玛卫士8	地图:H204	X:88	Y:54 
[2024/8/20 2:2:42] 物品:太阳水	怪物:29AF1A20沃玛卫士8	地图:H204	X:88	Y:54 
[2024/8/20 2:2:42] 物品:太阳水	怪物:29AF1A20沃玛卫士8	地图:H204	X:88	Y:54 
[2024/8/20 2:2:42] 物品:太阳水	怪物:29AF1A20沃玛卫士8	地图:H204	X:88	Y:54 
[2024/8/20 2:2:42] 物品:太阳水	怪物:29AF1A20沃玛卫士8	地图:H204	X:88	Y:54 
[2024/8/20 2:2:42] 物品:太阳水	怪物:29AF1A20沃玛卫士8	地图:H204	X:88	Y:54 
[2024/8/20 2:2:42] 物品:太阳水	怪物:29AF1A20沃玛卫士8	地图:H204	X:88	Y:54 
[2024/8/20 2:2:42] 物品:太阳水	怪物:29AF1A20沃玛卫士8	地图:H204	X:88	Y:54 
[2024/8/20 2:2:42] 物品:太阳水	怪物:29AF1A20沃玛卫士8	地图:H204	X:88	Y:54 
[2024/8/20 2:2:42] 物品:金创药(中量)	怪物:29AF1A20沃玛卫士8	地图:H204	X:88	Y:54 
[2024/8/20 2:2:42] 物品:金创药(中量)	怪物:29AF1A20沃玛卫士8	地图:H204	X:88	Y:54 
[2024/8/20 2:2:42] 物品:强效金创药	怪物:29AF1A20沃玛卫士8	地图:H204	X:88	Y:54 
[2024/8/20 2:2:42] 物品:强效金创药	怪物:29AF1A20沃玛卫士8	地图:H204	X:88	Y:54 
[2024/8/20 2:2:42] 物品:强效金创药	怪物:29AF1A20沃玛卫士8	地图:H204	X:88	Y:54 
[2024/8/20 2:2:42] 物品:魔法药(中量)	怪物:29AF1A20沃玛卫士8	地图:H204	X:88	Y:54 
[2024/8/20 2:2:42] 物品:魔法药(中量)	怪物:29AF1A20沃玛卫士8	地图:H204	X:88	Y:54 
[2024/8/20 2:2:42] 物品:强效魔法药	怪物:29AF1A20沃玛卫士8	地图:H204	X:88	Y:54 
[2024/8/20 2:2:42] 物品:强效魔法药	怪物:29AF1A20沃玛卫士8	地图:H204	X:88	Y:54 
[2024/8/20 2:2:42] 物品:强效魔法药	怪物:29AF1A20沃玛卫士8	地图:H204	X:88	Y:54 
[2024/8/20 2:2:42] 物品:攻击神水	怪物:29AF1A20沃玛卫士8	地图:H204	X:88	Y:54 
[2024/8/20 2:2:42] 物品:珊瑚戒指	怪物:29AF1A20沃玛卫士8	地图:H204	X:88	Y:54 
[2024/8/20 2:2:42] 物品:半月弯刀	怪物:29AF1A20沃玛卫士8	地图:H204	X:88	Y:54 
[2024/8/20 2:2:42] 物品:召唤骷髅	怪物:29AF1A20沃玛卫士8	地图:H204	X:88	Y:54 
[2024/8/20 2:2:42] 物品:雷电术	怪物:29AF1A20沃玛卫士8	地图:H204	X:88	Y:54 
[2024/8/20 2:2:45] 物品:泰坦戒指	怪物:07ED2860魔龙破甲兵2	地图:66	X:237	Y:95 
[2024/8/20 2:2:51] 物品:强效太阳水	怪物:17C15350虹魔蝎卫8	地图:H204	X:89	Y:52 
[2024/8/20 2:2:51] 物品:强效太阳水	怪物:17C15350虹魔蝎卫8	地图:H204	X:89	Y:52 
[2024/8/20 2:2:51] 物品:强效太阳水	怪物:17C15350虹魔蝎卫8	地图:H204	X:89	Y:52 
[2024/8/20 2:2:51] 物品:强效太阳水	怪物:17C15350虹魔蝎卫8	地图:H204	X:89	Y:52 
[2024/8/20 2:2:51] 物品:强效太阳水	怪物:17C15350虹魔蝎卫8	地图:H204	X:89	Y:52 
[2024/8/20 2:2:51] 物品:强效太阳水	怪物:17C15350虹魔蝎卫8	地图:H204	X:89	Y:52 
[2024/8/20 2:2:51] 物品:强效太阳水	怪物:17C15350虹魔蝎卫8	地图:H204	X:89	Y:52 
[2024/8/20 2:2:51] 物品:强效太阳水	怪物:17C15350虹魔蝎卫8	地图:H204	X:89	Y:52 
[2024/8/20 2:2:51] 物品:强效太阳水	怪物:17C15350虹魔蝎卫8	地图:H204	X:89	Y:52 
[2024/8/20 2:2:51] 物品:强效太阳水	怪物:17C15350虹魔蝎卫8	地图:H204	X:89	Y:52 
[2024/8/20 2:2:51] 物品:太阳水	怪物:17C15350虹魔蝎卫8	地图:H204	X:89	Y:52 
[2024/8/20 2:2:51] 物品:太阳水	怪物:17C15350虹魔蝎卫8	地图:H204	X:89	Y:52 
[2024/8/20 2:2:51] 物品:太阳水	怪物:17C15350虹魔蝎卫8	地图:H204	X:89	Y:52 
[2024/8/20 2:2:51] 物品:太阳水	怪物:17C15350虹魔蝎卫8	地图:H204	X:89	Y:52 
[2024/8/20 2:2:51] 物品:太阳水	怪物:17C15350虹魔蝎卫8	地图:H204	X:89	Y:52 
[2024/8/20 2:2:51] 物品:太阳水	怪物:17C15350虹魔蝎卫8	地图:H204	X:89	Y:52 
[2024/8/20 2:2:51] 物品:太阳水	怪物:17C15350虹魔蝎卫8	地图:H204	X:89	Y:52 
[2024/8/20 2:2:51] 物品:太阳水	怪物:17C15350虹魔蝎卫8	地图:H204	X:89	Y:52 
[2024/8/20 2:2:51] 物品:太阳水	怪物:17C15350虹魔蝎卫8	地图:H204	X:89	Y:52 
[2024/8/20 2:2:51] 物品:太阳水	怪物:17C15350虹魔蝎卫8	地图:H204	X:89	Y:52 
[2024/8/20 2:2:51] 物品:强效金创药	怪物:17C15350虹魔蝎卫8	地图:H204	X:89	Y:52 
[2024/8/20 2:2:51] 物品:强效金创药	怪物:17C15350虹魔蝎卫8	地图:H204	X:89	Y:52 
[2024/8/20 2:2:51] 物品:强效金创药	怪物:17C15350虹魔蝎卫8	地图:H204	X:89	Y:52 
[2024/8/20 2:2:51] 物品:强效金创药	怪物:17C15350虹魔蝎卫8	地图:H204	X:89	Y:52 
[2024/8/20 2:2:51] 物品:强效金创药	怪物:17C15350虹魔蝎卫8	地图:H204	X:89	Y:52 
[2024/8/20 2:2:51] 物品:强效金创药	怪物:17C15350虹魔蝎卫8	地图:H204	X:89	Y:52 
[2024/8/20 2:2:51] 物品:强效金创药	怪物:17C15350虹魔蝎卫8	地图:H204	X:89	Y:52 
[2024/8/20 2:2:51] 物品:强效金创药	怪物:17C15350虹魔蝎卫8	地图:H204	X:89	Y:52 
[2024/8/20 2:2:51] 物品:强效金创药	怪物:17C15350虹魔蝎卫8	地图:H204	X:89	Y:52 
[2024/8/20 2:2:51] 物品:强效金创药	怪物:17C15350虹魔蝎卫8	地图:H204	X:89	Y:52 
[2024/8/20 2:2:51] 物品:强效魔法药	怪物:17C15350虹魔蝎卫8	地图:H204	X:89	Y:52 
[2024/8/20 2:2:51] 物品:强效魔法药	怪物:17C15350虹魔蝎卫8	地图:H204	X:89	Y:52 
[2024/8/20 2:2:51] 物品:强效魔法药	怪物:17C15350虹魔蝎卫8	地图:H204	X:89	Y:52 
[2024/8/20 2:2:51] 物品:强效魔法药	怪物:17C15350虹魔蝎卫8	地图:H204	X:89	Y:52 
[2024/8/20 2:2:51] 物品:强效魔法药	怪物:17C15350虹魔蝎卫8	地图:H204	X:89	Y:52 
[2024/8/20 2:2:51] 物品:强效魔法药	怪物:17C15350虹魔蝎卫8	地图:H204	X:89	Y:52 
[2024/8/20 2:2:51] 物品:强效魔法药	怪物:17C15350虹魔蝎卫8	地图:H204	X:89	Y:52 
[2024/8/20 2:2:51] 物品:强效魔法药	怪物:17C15350虹魔蝎卫8	地图:H204	X:89	Y:52 
[2024/8/20 2:2:51] 物品:强效魔法药	怪物:17C15350虹魔蝎卫8	地图:H204	X:89	Y:52 
[2024/8/20 2:2:51] 物品:强效魔法药	怪物:17C15350虹魔蝎卫8	地图:H204	X:89	Y:52 
[2024/8/20 2:2:51] 物品:道士手镯	怪物:17C15350虹魔蝎卫8	地图:H204	X:89	Y:52 
[2024/8/20 2:2:59] 物品:强效太阳水	怪物:2916C490祖玛雕像8	地图:H204	X:95	Y:53 
[2024/8/20 2:3:1] 物品:强效金创药	怪物:15BF3D70魔龙射手2	地图:66	X:233	Y:107 
[2024/8/20 2:3:1] 物品:竹笛	怪物:15BF3D70魔龙射手2	地图:66	X:233	Y:107 
[2024/8/20 2:3:13] 物品:强效太阳水	怪物:0D9964C0沃玛卫士8	地图:H204	X:85	Y:63 
[2024/8/20 2:3:13] 物品:强效太阳水	怪物:0D9964C0沃玛卫士8	地图:H204	X:85	Y:63 
[2024/8/20 2:3:13] 物品:强效太阳水	怪物:0D9964C0沃玛卫士8	地图:H204	X:85	Y:63 
[2024/8/20 2:3:13] 物品:强效太阳水	怪物:0D9964C0沃玛卫士8	地图:H204	X:85	Y:63 
[2024/8/20 2:3:13] 物品:强效太阳水	怪物:0D9964C0沃玛卫士8	地图:H204	X:85	Y:63 
[2024/8/20 2:3:13] 物品:太阳水	怪物:0D9964C0沃玛卫士8	地图:H204	X:85	Y:63 
[2024/8/20 2:3:13] 物品:太阳水	怪物:0D9964C0沃玛卫士8	地图:H204	X:85	Y:63 
[2024/8/20 2:3:13] 物品:太阳水	怪物:0D9964C0沃玛卫士8	地图:H204	X:85	Y:63 
[2024/8/20 2:3:13] 物品:太阳水	怪物:0D9964C0沃玛卫士8	地图:H204	X:85	Y:63 
[2024/8/20 2:3:13] 物品:太阳水	怪物:0D9964C0沃玛卫士8	地图:H204	X:85	Y:63 
[2024/8/20 2:3:13] 物品:太阳水	怪物:0D9964C0沃玛卫士8	地图:H204	X:85	Y:63 
[2024/8/20 2:3:13] 物品:太阳水	怪物:0D9964C0沃玛卫士8	地图:H204	X:85	Y:63 
[2024/8/20 2:3:13] 物品:太阳水	怪物:0D9964C0沃玛卫士8	地图:H204	X:85	Y:63 
[2024/8/20 2:3:13] 物品:太阳水	怪物:0D9964C0沃玛卫士8	地图:H204	X:85	Y:63 
[2024/8/20 2:3:13] 物品:太阳水	怪物:0D9964C0沃玛卫士8	地图:H204	X:85	Y:63 
[2024/8/20 2:3:13] 物品:金创药(中量)	怪物:0D9964C0沃玛卫士8	地图:H204	X:85	Y:63 
[2024/8/20 2:3:13] 物品:金创药(中量)	怪物:0D9964C0沃玛卫士8	地图:H204	X:85	Y:63 
[2024/8/20 2:3:13] 物品:强效金创药	怪物:0D9964C0沃玛卫士8	地图:H204	X:85	Y:63 
[2024/8/20 2:3:13] 物品:强效金创药	怪物:0D9964C0沃玛卫士8	地图:H204	X:85	Y:63 
[2024/8/20 2:3:13] 物品:强效金创药	怪物:0D9964C0沃玛卫士8	地图:H204	X:85	Y:63 
[2024/8/20 2:3:13] 物品:魔法药(中量)	怪物:0D9964C0沃玛卫士8	地图:H204	X:85	Y:63 
[2024/8/20 2:3:13] 物品:魔法药(中量)	怪物:0D9964C0沃玛卫士8	地图:H204	X:85	Y:63 
[2024/8/20 2:3:13] 物品:强效魔法药	怪物:0D9964C0沃玛卫士8	地图:H204	X:85	Y:63 
[2024/8/20 2:3:13] 物品:强效魔法药	怪物:0D9964C0沃玛卫士8	地图:H204	X:85	Y:63 
[2024/8/20 2:3:13] 物品:强效魔法药	怪物:0D9964C0沃玛卫士8	地图:H204	X:85	Y:63 
[2024/8/20 2:3:13] 物品:魔法长袍(男)	怪物:0D9964C0沃玛卫士8	地图:H204	X:85	Y:63 
[2024/8/20 2:3:13] 物品:白色虎齿项链	怪物:0D9964C0沃玛卫士8	地图:H204	X:85	Y:63 
[2024/8/20 2:3:13] 物品:野蛮冲撞	怪物:0D9964C0沃玛卫士8	地图:H204	X:85	Y:63 
[2024/8/20 2:3:13] 物品:召唤神兽	怪物:0D9964C0沃玛卫士8	地图:H204	X:85	Y:63 
[2024/8/20 2:3:44] 物品:强效金创药	怪物:280FCC80魔龙破甲兵	地图:66	X:239	Y:111 
[2024/8/20 2:3:58] 物品:泰坦戒指	怪物:30E41D10魔龙射手2	地图:66	X:234	Y:116 
[2024/8/20 2:4:6] 物品:强效魔法药	怪物:0DDB3490魔龙射手	地图:66	X:230	Y:110 
[2024/8/20 2:4:12] 物品:强效魔法药	怪物:26656B50魔龙射手	地图:66	X:238	Y:108 
[2024/8/20 2:4:12] 物品:铁腰带	怪物:26656B50魔龙射手	地图:66	X:238	Y:108 
[2024/8/20 2:4:18] 物品:太阳水	怪物:03381310魔龙射手1	地图:66	X:240	Y:103 
[2024/8/20 2:4:18] 物品:鹿皮靴	怪物:03381310魔龙射手1	地图:66	X:240	Y:103 
[2024/8/20 2:4:18] 物品:灵魂战衣(男)	怪物:03381310魔龙射手1	地图:66	X:240	Y:103 
[2024/8/20 2:4:33] 物品:重盔甲(男)	怪物:284E2210魔龙邪眼1	地图:66	X:247	Y:100 
[2024/8/20 2:4:39] 物品:强效金创药	怪物:28F8E9C0魔龙射手1	地图:66	X:251	Y:99 
[2024/8/20 2:5:1] 物品:强效魔法药	怪物:320C7B20魔龙射手	地图:66	X:251	Y:89 
[2024/8/20 2:5:1] 物品:凝霜	怪物:320C7B20魔龙射手	地图:66	X:251	Y:89 
[2024/8/20 2:5:41] 物品:强效金创药	怪物:19EB4E70魔龙刀兵	地图:66	X:250	Y:78 
[2024/8/20 2:5:41] 物品:绿色项链	怪物:19EB4E70魔龙刀兵	地图:66	X:250	Y:78 
[2024/8/20 2:5:58] 物品:降魔	怪物:1A864910魔龙射手	地图:66	X:253	Y:73 
[2024/8/20 2:5:59] 物品:太阳水	怪物:2DC0CB20钢牙蜘蛛	地图:D10061	X:13	Y:17 
[2024/8/20 2:5:59] 物品:强效金创药	怪物:2DC0CB20钢牙蜘蛛	地图:D10061	X:13	Y:17 
[2024/8/20 2:5:59] 物品:强效魔法药	怪物:2DC0CB20钢牙蜘蛛	地图:D10061	X:13	Y:17 
[2024/8/20 2:5:59] 物品:疗伤药	怪物:2DC0CB20钢牙蜘蛛	地图:D10061	X:13	Y:17 
[2024/8/20 2:5:59] 物品:蛇眼戒指	怪物:2DC0CB20钢牙蜘蛛	地图:D10061	X:13	Y:17 
[2024/8/20 2:5:59] 物品:坚固手套	怪物:2DC0CB20钢牙蜘蛛	地图:D10061	X:13	Y:17 
[2024/8/20 2:6:20] 物品:强效魔法药	怪物:30479450魔龙破甲兵	地图:66	X:250	Y:71 
[2024/8/20 2:6:20] 物品:强效金创药	怪物:30479450魔龙破甲兵	地图:66	X:250	Y:71 
[2024/8/20 2:6:20] 物品:放大镜	怪物:30479450魔龙破甲兵	地图:66	X:250	Y:71 
[2024/8/20 2:6:26] 物品:强效金创药	怪物:2ECE4730魔龙战将	地图:66	X:250	Y:70 
[2024/8/20 2:6:28] 物品:死神手套	怪物:28AEAD80魔龙血蛙	地图:66	X:252	Y:70 
[2024/8/20 2:6:30] 物品:强效金创药	怪物:1C18F760魔龙破甲兵	地图:66	X:250	Y:70 
[2024/8/20 2:6:33] 物品:强效金创药	怪物:085A7C70魔龙刀兵1	地图:66	X:250	Y:71 
[2024/8/20 2:6:33] 物品:强效魔法药	怪物:085A7C70魔龙刀兵1	地图:66	X:250	Y:71 
[2024/8/20 2:6:47] 物品:强效金创药	怪物:1CC92500魔龙破甲兵	地图:66	X:245	Y:65 
[2024/8/20 2:6:54] 物品:道士头盔	怪物:2AF81CD0魔龙破甲兵	地图:66	X:245	Y:65 
[2024/8/20 2:6:54] 物品:魔法长袍(男)	怪物:2AF81CD0魔龙破甲兵	地图:66	X:245	Y:65 
[2024/8/20 2:6:54] 物品:道士手镯	怪物:2AF81CD0魔龙破甲兵	地图:66	X:245	Y:65 
[2024/8/20 2:6:57] 物品:强效太阳水	怪物:2A6450C0白野猪8	地图:H204	X:52	Y:52 
[2024/8/20 2:6:57] 物品:强效太阳水	怪物:2A6450C0白野猪8	地图:H204	X:52	Y:52 
[2024/8/20 2:6:57] 物品:强效太阳水	怪物:2A6450C0白野猪8	地图:H204	X:52	Y:52 
[2024/8/20 2:6:57] 物品:强效太阳水	怪物:2A6450C0白野猪8	地图:H204	X:52	Y:52 
