[2024/8/22 5:0:21] 物品:魔法长袍(女)	怪物:13A22CF0跳跳蜂8	地图:H004	X:189	Y:103 
[2024/8/22 5:4:7] 物品:强效金创药	怪物:25F28B90邪恶钳虫8	地图:H004	X:101	Y:80 
[2024/8/22 5:4:7] 物品:强效金创药	怪物:25F28B90邪恶钳虫8	地图:H004	X:101	Y:80 
[2024/8/22 5:4:7] 物品:强效魔法药	怪物:25F28B90邪恶钳虫8	地图:H004	X:101	Y:80 
[2024/8/22 5:4:7] 物品:强效魔法药	怪物:25F28B90邪恶钳虫8	地图:H004	X:101	Y:80 
[2024/8/22 5:4:7] 物品:强效魔法药	怪物:25F28B90邪恶钳虫8	地图:H004	X:101	Y:80 
[2024/8/22 5:4:7] 物品:强效魔法药	怪物:25F28B90邪恶钳虫8	地图:H004	X:101	Y:80 
[2024/8/22 5:4:7] 物品:强效魔法药	怪物:25F28B90邪恶钳虫8	地图:H004	X:101	Y:80 
[2024/8/22 5:4:7] 物品:天珠项链	怪物:25F28B90邪恶钳虫8	地图:H004	X:101	Y:80 
[2024/8/22 5:4:14] 物品:强效太阳水	怪物:1E393CA0尸王8	地图:H201	X:56	Y:153 
[2024/8/22 5:4:14] 物品:强效太阳水	怪物:1E393CA0尸王8	地图:H201	X:56	Y:153 
[2024/8/22 5:4:14] 物品:强效太阳水	怪物:1E393CA0尸王8	地图:H201	X:56	Y:153 
[2024/8/22 5:4:14] 物品:强效太阳水	怪物:1E393CA0尸王8	地图:H201	X:56	Y:153 
[2024/8/22 5:4:14] 物品:强效太阳水	怪物:1E393CA0尸王8	地图:H201	X:56	Y:153 
[2024/8/22 5:4:14] 物品:强效金创药	怪物:1E393CA0尸王8	地图:H201	X:56	Y:153 
[2024/8/22 5:4:14] 物品:强效金创药	怪物:1E393CA0尸王8	地图:H201	X:56	Y:153 
[2024/8/22 5:4:14] 物品:强效魔法药	怪物:1E393CA0尸王8	地图:H201	X:56	Y:153 
[2024/8/22 5:4:14] 物品:强效魔法药	怪物:1E393CA0尸王8	地图:H201	X:56	Y:153 
[2024/8/22 5:4:15] 物品:金创药(小量)	怪物:16C351A0僵尸5	地图:H201	X:53	Y:153 
[2024/8/22 5:4:18] 物品:魔法药(小量)	怪物:2AA5AF90僵尸4	地图:H201	X:52	Y:155 
[2024/8/22 5:4:28] 物品:金创药(小量)	怪物:2579C670僵尸5	地图:H201	X:53	Y:159 
[2024/8/22 5:4:28] 物品:治愈术	怪物:2579C670僵尸5	地图:H201	X:53	Y:159 
[2024/8/22 5:4:32] 物品:太阳水	怪物:177DD510黑色恶蛆8	地图:H004	X:90	Y:84 
[2024/8/22 5:4:33] 物品:强效太阳水	怪物:25F0FC30尸王8	地图:H201	X:52	Y:157 
[2024/8/22 5:4:33] 物品:强效太阳水	怪物:25F0FC30尸王8	地图:H201	X:52	Y:157 
[2024/8/22 5:4:33] 物品:强效太阳水	怪物:25F0FC30尸王8	地图:H201	X:52	Y:157 
[2024/8/22 5:4:33] 物品:强效太阳水	怪物:25F0FC30尸王8	地图:H201	X:52	Y:157 
[2024/8/22 5:4:33] 物品:强效太阳水	怪物:25F0FC30尸王8	地图:H201	X:52	Y:157 
[2024/8/22 5:4:33] 物品:强效金创药	怪物:25F0FC30尸王8	地图:H201	X:52	Y:157 
[2024/8/22 5:4:33] 物品:强效金创药	怪物:25F0FC30尸王8	地图:H201	X:52	Y:157 
[2024/8/22 5:4:33] 物品:强效魔法药	怪物:25F0FC30尸王8	地图:H201	X:52	Y:157 
[2024/8/22 5:4:33] 物品:强效魔法药	怪物:25F0FC30尸王8	地图:H201	X:52	Y:157 
[2024/8/22 5:4:33] 物品:蛇眼戒指	怪物:25F0FC30尸王8	地图:H201	X:52	Y:157 
[2024/8/22 5:4:33] 物品:珍珠戒指	怪物:25F0FC30尸王8	地图:H201	X:52	Y:157 
[2024/8/22 5:4:33] 物品:魔力手镯	怪物:25F0FC30尸王8	地图:H201	X:52	Y:157 
[2024/8/22 5:4:37] 物品:刺杀剑术	怪物:13BDD610恶灵尸王	地图:H201	X:52	Y:158 
[2024/8/22 5:4:37] 物品:火墙	怪物:13BDD610恶灵尸王	地图:H201	X:52	Y:158 
[2024/8/22 5:4:37] 物品:雷电术	怪物:13BDD610恶灵尸王	地图:H201	X:52	Y:158 
[2024/8/22 5:4:48] 物品:金创药(小量)	怪物:2456B530僵尸4	地图:H201	X:45	Y:158 
[2024/8/22 5:5:0] 物品:大火球	怪物:28E26000僵尸4	地图:H201	X:34	Y:168 
[2024/8/22 5:5:6] 物品:强效太阳水	怪物:172EA8E0尸王8	地图:H201	X:36	Y:169 
[2024/8/22 5:5:6] 物品:强效太阳水	怪物:172EA8E0尸王8	地图:H201	X:36	Y:169 
[2024/8/22 5:5:6] 物品:强效太阳水	怪物:172EA8E0尸王8	地图:H201	X:36	Y:169 
[2024/8/22 5:5:6] 物品:强效太阳水	怪物:172EA8E0尸王8	地图:H201	X:36	Y:169 
[2024/8/22 5:5:6] 物品:强效太阳水	怪物:172EA8E0尸王8	地图:H201	X:36	Y:169 
[2024/8/22 5:5:6] 物品:强效金创药	怪物:172EA8E0尸王8	地图:H201	X:36	Y:169 
[2024/8/22 5:5:6] 物品:强效金创药	怪物:172EA8E0尸王8	地图:H201	X:36	Y:169 
[2024/8/22 5:5:6] 物品:强效魔法药	怪物:172EA8E0尸王8	地图:H201	X:36	Y:169 
[2024/8/22 5:5:6] 物品:强效魔法药	怪物:172EA8E0尸王8	地图:H201	X:36	Y:169 
[2024/8/22 5:5:6] 物品:珍珠戒指	怪物:172EA8E0尸王8	地图:H201	X:36	Y:169 
[2024/8/22 5:5:6] 物品:道德戒指	怪物:172EA8E0尸王8	地图:H201	X:36	Y:169 
[2024/8/22 5:5:6] 物品:黑檀手镯	怪物:172EA8E0尸王8	地图:H201	X:36	Y:169 
[2024/8/22 5:5:23] 物品:刺杀剑术	怪物:2BD70AD0恶灵尸王	地图:H201	X:30	Y:158 
[2024/8/22 5:5:23] 物品:隐身术	怪物:2BD70AD0恶灵尸王	地图:H201	X:30	Y:158 
[2024/8/22 5:5:23] 物品:大火球	怪物:2BD70AD0恶灵尸王	地图:H201	X:30	Y:158 
[2024/8/22 5:5:26] 物品:火墙	怪物:25FC17D0恶灵尸王	地图:H201	X:29	Y:156 
[2024/8/22 5:5:26] 物品:灵魂火符	怪物:25FC17D0恶灵尸王	地图:H201	X:29	Y:156 
[2024/8/22 5:5:26] 物品:地狱火	怪物:25FC17D0恶灵尸王	地图:H201	X:29	Y:156 
[2024/8/22 5:5:26] 物品:召唤骷髅	怪物:25FC17D0恶灵尸王	地图:H201	X:29	Y:156 
[2024/8/22 5:5:41] 物品:强效太阳水	怪物:12583420尸王8	地图:H201	X:30	Y:152 
[2024/8/22 5:5:41] 物品:强效太阳水	怪物:12583420尸王8	地图:H201	X:30	Y:152 
[2024/8/22 5:5:41] 物品:强效太阳水	怪物:12583420尸王8	地图:H201	X:30	Y:152 
[2024/8/22 5:5:41] 物品:强效太阳水	怪物:12583420尸王8	地图:H201	X:30	Y:152 
[2024/8/22 5:5:41] 物品:强效太阳水	怪物:12583420尸王8	地图:H201	X:30	Y:152 
[2024/8/22 5:5:41] 物品:强效金创药	怪物:12583420尸王8	地图:H201	X:30	Y:152 
[2024/8/22 5:5:41] 物品:强效金创药	怪物:12583420尸王8	地图:H201	X:30	Y:152 
[2024/8/22 5:5:41] 物品:强效魔法药	怪物:12583420尸王8	地图:H201	X:30	Y:152 
[2024/8/22 5:5:41] 物品:强效魔法药	怪物:12583420尸王8	地图:H201	X:30	Y:152 
[2024/8/22 5:5:41] 物品:蛇眼戒指	怪物:12583420尸王8	地图:H201	X:30	Y:152 
[2024/8/22 5:5:41] 物品:凝霜	怪物:12583420尸王8	地图:H201	X:30	Y:152 
[2024/8/22 5:5:41] 物品:道德戒指	怪物:12583420尸王8	地图:H201	X:30	Y:152 
[2024/8/22 5:5:41] 物品:黑檀手镯	怪物:12583420尸王8	地图:H201	X:30	Y:152 
[2024/8/22 5:5:41] 物品:魔力手镯	怪物:12583420尸王8	地图:H201	X:30	Y:152 
[2024/8/22 5:5:41] 物品:困魔咒	怪物:12583420尸王8	地图:H201	X:30	Y:152 
[2024/8/22 5:5:48] 物品:强效太阳水	怪物:144195E0尸王8	地图:H201	X:26	Y:154 
[2024/8/22 5:5:48] 物品:强效太阳水	怪物:144195E0尸王8	地图:H201	X:26	Y:154 
[2024/8/22 5:5:48] 物品:强效太阳水	怪物:144195E0尸王8	地图:H201	X:26	Y:154 
[2024/8/22 5:5:48] 物品:强效太阳水	怪物:144195E0尸王8	地图:H201	X:26	Y:154 
[2024/8/22 5:5:48] 物品:强效太阳水	怪物:144195E0尸王8	地图:H201	X:26	Y:154 
[2024/8/22 5:5:48] 物品:强效金创药	怪物:144195E0尸王8	地图:H201	X:26	Y:154 
[2024/8/22 5:5:48] 物品:强效金创药	怪物:144195E0尸王8	地图:H201	X:26	Y:154 
[2024/8/22 5:5:48] 物品:强效魔法药	怪物:144195E0尸王8	地图:H201	X:26	Y:154 
[2024/8/22 5:5:48] 物品:强效魔法药	怪物:144195E0尸王8	地图:H201	X:26	Y:154 
[2024/8/22 5:5:48] 物品:生铁戒指	怪物:144195E0尸王8	地图:H201	X:26	Y:154 
[2024/8/22 5:5:51] 物品:魔法药(小量)	怪物:15618AA0僵尸4	地图:H201	X:26	Y:156 
[2024/8/22 5:6:23] 物品:金创药(小量)	怪物:19C11040僵尸5	地图:H201	X:40	Y:142 
[2024/8/22 5:6:29] 物品:强效太阳水	怪物:14554DB0尸王8	地图:H201	X:35	Y:141 
[2024/8/22 5:6:29] 物品:强效太阳水	怪物:14554DB0尸王8	地图:H201	X:35	Y:141 
[2024/8/22 5:6:29] 物品:强效太阳水	怪物:14554DB0尸王8	地图:H201	X:35	Y:141 
[2024/8/22 5:6:29] 物品:强效太阳水	怪物:14554DB0尸王8	地图:H201	X:35	Y:141 
[2024/8/22 5:6:29] 物品:强效太阳水	怪物:14554DB0尸王8	地图:H201	X:35	Y:141 
[2024/8/22 5:6:29] 物品:强效金创药	怪物:14554DB0尸王8	地图:H201	X:35	Y:141 
[2024/8/22 5:6:29] 物品:强效金创药	怪物:14554DB0尸王8	地图:H201	X:35	Y:141 
[2024/8/22 5:6:29] 物品:强效魔法药	怪物:14554DB0尸王8	地图:H201	X:35	Y:141 
[2024/8/22 5:6:29] 物品:强效魔法药	怪物:14554DB0尸王8	地图:H201	X:35	Y:141 
[2024/8/22 5:6:29] 物品:骷髅戒指	怪物:14554DB0尸王8	地图:H201	X:35	Y:141 
[2024/8/22 5:6:29] 物品:珊瑚戒指	怪物:14554DB0尸王8	地图:H201	X:35	Y:141 
[2024/8/22 5:6:29] 物品:黑色水晶戒指	怪物:14554DB0尸王8	地图:H201	X:35	Y:141 
[2024/8/22 5:6:29] 物品:珍珠戒指	怪物:14554DB0尸王8	地图:H201	X:35	Y:141 
[2024/8/22 5:6:29] 物品:蓝翡翠项链	怪物:14554DB0尸王8	地图:H201	X:35	Y:141 
[2024/8/22 5:6:29] 物品:黑檀手镯	怪物:14554DB0尸王8	地图:H201	X:35	Y:141 
[2024/8/22 5:6:38] 物品:强效金创药	怪物:2CC17790魔龙破甲兵	地图:66	X:235	Y:213 
[2024/8/22 5:6:40] 物品:强效太阳水	怪物:25942020尸王8	地图:H201	X:44	Y:143 
[2024/8/22 5:6:40] 物品:强效太阳水	怪物:25942020尸王8	地图:H201	X:44	Y:143 
[2024/8/22 5:6:40] 物品:强效太阳水	怪物:25942020尸王8	地图:H201	X:44	Y:143 
[2024/8/22 5:6:40] 物品:强效太阳水	怪物:25942020尸王8	地图:H201	X:44	Y:143 
[2024/8/22 5:6:40] 物品:强效太阳水	怪物:25942020尸王8	地图:H201	X:44	Y:143 
[2024/8/22 5:6:40] 物品:强效金创药	怪物:25942020尸王8	地图:H201	X:44	Y:143 
[2024/8/22 5:6:40] 物品:强效金创药	怪物:25942020尸王8	地图:H201	X:44	Y:143 
[2024/8/22 5:6:40] 物品:强效魔法药	怪物:25942020尸王8	地图:H201	X:44	Y:143 
[2024/8/22 5:6:40] 物品:强效魔法药	怪物:25942020尸王8	地图:H201	X:44	Y:143 
[2024/8/22 5:6:40] 物品:黑檀手镯	怪物:25942020尸王8	地图:H201	X:44	Y:143 
[2024/8/22 5:6:47] 物品:太阳水	怪物:28C236B0魔龙射手2	地图:66	X:241	Y:215 
[2024/8/22 5:6:47] 物品:强效太阳水	怪物:28C236B0魔龙射手2	地图:66	X:241	Y:215 
[2024/8/22 5:6:49] 物品:金创药(小量)	怪物:24A88D60僵尸5	地图:H201	X:43	Y:136 
[2024/8/22 5:6:51] 物品:强效金创药	怪物:1E619120魔龙破甲兵2	地图:66	X:241	Y:214 
[2024/8/22 5:6:51] 物品:强效魔法药	怪物:1E619120魔龙破甲兵2	地图:66	X:241	Y:214 
[2024/8/22 5:6:51] 物品:凝霜	怪物:1E619120魔龙破甲兵2	地图:66	X:241	Y:214 
[2024/8/22 5:6:57] 物品:强效魔法药	怪物:2B5A8540魔龙破甲兵2	地图:66	X:241	Y:215 
[2024/8/22 5:6:58] 物品:强效太阳水	怪物:2CA53B00尸王8	地图:H201	X:45	Y:138 
[2024/8/22 5:6:58] 物品:强效太阳水	怪物:2CA53B00尸王8	地图:H201	X:45	Y:138 
[2024/8/22 5:6:58] 物品:强效太阳水	怪物:2CA53B00尸王8	地图:H201	X:45	Y:138 
[2024/8/22 5:6:58] 物品:强效太阳水	怪物:2CA53B00尸王8	地图:H201	X:45	Y:138 
[2024/8/22 5:6:58] 物品:强效太阳水	怪物:2CA53B00尸王8	地图:H201	X:45	Y:138 
[2024/8/22 5:6:58] 物品:强效金创药	怪物:2CA53B00尸王8	地图:H201	X:45	Y:138 
[2024/8/22 5:6:58] 物品:强效金创药	怪物:2CA53B00尸王8	地图:H201	X:45	Y:138 
[2024/8/22 5:6:58] 物品:强效魔法药	怪物:2CA53B00尸王8	地图:H201	X:45	Y:138 
[2024/8/22 5:6:58] 物品:强效魔法药	怪物:2CA53B00尸王8	地图:H201	X:45	Y:138 
[2024/8/22 5:6:58] 物品:黑色水晶戒指	怪物:2CA53B00尸王8	地图:H201	X:45	Y:138 
[2024/8/22 5:6:58] 物品:生铁戒指	怪物:2CA53B00尸王8	地图:H201	X:45	Y:138 
[2024/8/22 5:6:58] 物品:魔力手镯	怪物:2CA53B00尸王8	地图:H201	X:45	Y:138 
[2024/8/22 5:7:7] 物品:强效金创药	怪物:2A76BB50魔龙射手2	地图:66	X:231	Y:217 
[2024/8/22 5:7:18] 物品:强效太阳水	怪物:065E08A0尸王8	地图:H001	X:134	Y:116 
[2024/8/22 5:7:18] 物品:强效太阳水	怪物:065E08A0尸王8	地图:H001	X:134	Y:116 
[2024/8/22 5:7:18] 物品:强效太阳水	怪物:065E08A0尸王8	地图:H001	X:134	Y:116 
[2024/8/22 5:7:18] 物品:强效太阳水	怪物:065E08A0尸王8	地图:H001	X:134	Y:116 
[2024/8/22 5:7:18] 物品:强效太阳水	怪物:065E08A0尸王8	地图:H001	X:134	Y:116 
[2024/8/22 5:7:18] 物品:强效金创药	怪物:065E08A0尸王8	地图:H001	X:134	Y:116 
[2024/8/22 5:7:18] 物品:强效金创药	怪物:065E08A0尸王8	地图:H001	X:134	Y:116 
[2024/8/22 5:7:18] 物品:强效魔法药	怪物:065E08A0尸王8	地图:H001	X:134	Y:116 
[2024/8/22 5:7:18] 物品:强效魔法药	怪物:065E08A0尸王8	地图:H001	X:134	Y:116 
[2024/8/22 5:7:18] 物品:凝霜	怪物:065E08A0尸王8	地图:H001	X:134	Y:116 
[2024/8/22 5:7:18] 物品:黑檀手镯	怪物:065E08A0尸王8	地图:H001	X:134	Y:116 
[2024/8/22 5:7:25] 物品:强效太阳水	怪物:233E5240魔龙射手	地图:66	X:223	Y:222 
[2024/8/22 5:7:25] 物品:强效金创药	怪物:233E5240魔龙射手	地图:66	X:223	Y:222 
[2024/8/22 5:7:25] 物品:强效魔法药	怪物:233E5240魔龙射手	地图:66	X:223	Y:222 
[2024/8/22 5:7:25] 物品:灵魂战衣(男)	怪物:233E5240魔龙射手	地图:66	X:223	Y:222 
[2024/8/22 5:7:26] 物品:火球术	怪物:2CD440F0僵尸1	地图:H201	X:44	Y:130 
[2024/8/22 5:7:29] 物品:紫碧螺	怪物:12239E10魔龙射手	地图:66	X:222	Y:224 
[2024/8/22 5:7:29] 物品:道士头盔	怪物:12239E10魔龙射手	地图:66	X:222	Y:224 
[2024/8/22 5:7:29] 物品:道士手镯	怪物:12239E10魔龙射手	地图:66	X:222	Y:224 
[2024/8/22 5:7:34] 物品:金创药(小量)	怪物:12A402C0僵尸5	地图:H201	X:40	Y:134 
[2024/8/22 5:7:34] 物品:太阳水	怪物:12A78EF0恶灵尸王	地图:H201	X:41	Y:132 
[2024/8/22 5:7:34] 物品:爆裂火焰	怪物:12A78EF0恶灵尸王	地图:H201	X:41	Y:132 
[2024/8/22 5:7:34] 物品:灵魂火符	怪物:12A78EF0恶灵尸王	地图:H201	X:41	Y:132 
[2024/8/22 5:7:38] 物品:太阳水	怪物:2CC2C2E0恶灵尸王	地图:H201	X:40	Y:132 
[2024/8/22 5:7:38] 物品:神圣战甲术	怪物:2CC2C2E0恶灵尸王	地图:H201	X:40	Y:132 
[2024/8/22 5:7:38] 物品:隐身术	怪物:2CC2C2E0恶灵尸王	地图:H201	X:40	Y:132 
[2024/8/22 5:7:38] 物品:召唤骷髅	怪物:2CC2C2E0恶灵尸王	地图:H201	X:40	Y:132 
[2024/8/22 5:7:39] 物品:魔法长袍(女)	怪物:23C664C0魔龙破甲兵	地图:66	X:221	Y:224 
[2024/8/22 5:7:39] 物品:强效太阳水	怪物:23FDC790尸王8	地图:H201	X:52	Y:139 
[2024/8/22 5:7:39] 物品:强效太阳水	怪物:23FDC790尸王8	地图:H201	X:52	Y:139 
[2024/8/22 5:7:39] 物品:强效太阳水	怪物:23FDC790尸王8	地图:H201	X:52	Y:139 
[2024/8/22 5:7:39] 物品:强效太阳水	怪物:23FDC790尸王8	地图:H201	X:52	Y:139 
[2024/8/22 5:7:39] 物品:强效太阳水	怪物:23FDC790尸王8	地图:H201	X:52	Y:139 
[2024/8/22 5:7:39] 物品:强效金创药	怪物:23FDC790尸王8	地图:H201	X:52	Y:139 
[2024/8/22 5:7:39] 物品:强效金创药	怪物:23FDC790尸王8	地图:H201	X:52	Y:139 
[2024/8/22 5:7:39] 物品:强效魔法药	怪物:23FDC790尸王8	地图:H201	X:52	Y:139 
[2024/8/22 5:7:39] 物品:强效魔法药	怪物:23FDC790尸王8	地图:H201	X:52	Y:139 
[2024/8/22 5:7:39] 物品:魔力手镯	怪物:23FDC790尸王8	地图:H201	X:52	Y:139 
[2024/8/22 5:7:46] 物品:降妖除魔戒指	怪物:248E5670魔龙射手	地图:66	X:218	Y:216 
[2024/8/22 5:7:46] 物品:灵魂战衣(女)	怪物:248E5670魔龙射手	地图:66	X:218	Y:216 
[2024/8/22 5:7:46] 物品:金创药(小量)	怪物:2CEBC3A0僵尸5	地图:H201	X:43	Y:136 
[2024/8/22 5:7:47] 物品:太阳水	怪物:16C4B4A0僵尸5	地图:H201	X:32	Y:131 
[2024/8/22 5:7:50] 物品:金创药(小量)	怪物:2D2FB060僵尸4	地图:H201	X:31	Y:133 
[2024/8/22 5:7:51] 物品:太阳水	怪物:250EB190魔龙破甲兵	地图:66	X:219	Y:216 
[2024/8/22 5:7:51] 物品:强效太阳水	怪物:250EB190魔龙破甲兵	地图:66	X:219	Y:216 
[2024/8/22 5:8:6] 物品:基本剑术	怪物:244F9A80僵尸1	地图:H201	X:39	Y:119 
[2024/8/22 5:8:10] 物品:太阳水	怪物:286D2A90魔龙射手	地图:66	X:217	Y:212 
[2024/8/22 5:8:10] 物品:强效金创药	怪物:286D2A90魔龙射手	地图:66	X:217	Y:212 
[2024/8/22 5:8:14] 物品:强效金创药	怪物:2888CE80魔龙血蛙	地图:66	X:219	Y:212 
