[2024/8/19 16:0:2] 物品:金创药(小量)	怪物:289C2750稻草人	地图:0	X:133	Y:127 
[2024/8/19 16:0:27] 物品:琥珀项链	怪物:273BA900祖玛卫士8	地图:H204	X:45	Y:49 
[2024/8/19 16:0:28] 物品:魔法药(小量)	怪物:26DDD310僵尸5	地图:H201	X:38	Y:84 
[2024/8/19 16:0:28] 物品:魔法头盔	怪物:1C2E7210多钩猫	地图:0	X:160	Y:131 
[2024/8/19 16:0:33] 物品:强效魔法药	怪物:2D325830祖玛卫士8	地图:H204	X:45	Y:50 
[2024/8/19 16:0:33] 物品:魅力戒指	怪物:2D325830祖玛卫士8	地图:H204	X:45	Y:50 
[2024/8/19 16:0:35] 物品:魔法药(小量)	怪物:0D4C3BD0僵尸4	地图:H201	X:38	Y:84 
[2024/8/19 16:0:43] 物品:强效太阳水	怪物:31DD8860尸王8	地图:H201	X:37	Y:86 
[2024/8/19 16:0:43] 物品:强效太阳水	怪物:31DD8860尸王8	地图:H201	X:37	Y:86 
[2024/8/19 16:0:43] 物品:强效太阳水	怪物:31DD8860尸王8	地图:H201	X:37	Y:86 
[2024/8/19 16:0:43] 物品:强效太阳水	怪物:31DD8860尸王8	地图:H201	X:37	Y:86 
[2024/8/19 16:0:43] 物品:强效太阳水	怪物:31DD8860尸王8	地图:H201	X:37	Y:86 
[2024/8/19 16:0:43] 物品:强效金创药	怪物:31DD8860尸王8	地图:H201	X:37	Y:86 
[2024/8/19 16:0:43] 物品:强效金创药	怪物:31DD8860尸王8	地图:H201	X:37	Y:86 
[2024/8/19 16:0:43] 物品:强效魔法药	怪物:31DD8860尸王8	地图:H201	X:37	Y:86 
[2024/8/19 16:0:43] 物品:强效魔法药	怪物:31DD8860尸王8	地图:H201	X:37	Y:86 
[2024/8/19 16:0:43] 物品:骷髅戒指	怪物:31DD8860尸王8	地图:H201	X:37	Y:86 
[2024/8/19 16:0:45] 物品:灵魂战衣(女)	怪物:27AE9100祖玛弓箭手8	地图:H204	X:43	Y:53 
[2024/8/19 16:1:4] 物品:布衣(男)	怪物:2F424E70稻草人	地图:0	X:129	Y:144 
[2024/8/19 16:1:5] 物品:金创药(小量)	怪物:29A1C950僵尸5	地图:H201	X:35	Y:91 
[2024/8/19 16:1:16] 物品:金创药(小量)	怪物:296217F0僵尸4	地图:H201	X:33	Y:91 
[2024/8/19 16:1:16] 物品:魔法药(小量)	怪物:296217F0僵尸4	地图:H201	X:33	Y:91 
[2024/8/19 16:1:21] 物品:回城卷	怪物:1A1201A0山洞蝙蝠	地图:D022	X:431	Y:210 
[2024/8/19 16:1:25] 物品:强效太阳水	怪物:2A919CF0尸王8	地图:H201	X:35	Y:92 
[2024/8/19 16:1:25] 物品:强效太阳水	怪物:2A919CF0尸王8	地图:H201	X:35	Y:92 
[2024/8/19 16:1:25] 物品:强效太阳水	怪物:2A919CF0尸王8	地图:H201	X:35	Y:92 
[2024/8/19 16:1:25] 物品:强效太阳水	怪物:2A919CF0尸王8	地图:H201	X:35	Y:92 
[2024/8/19 16:1:25] 物品:强效太阳水	怪物:2A919CF0尸王8	地图:H201	X:35	Y:92 
[2024/8/19 16:1:25] 物品:强效金创药	怪物:2A919CF0尸王8	地图:H201	X:35	Y:92 
[2024/8/19 16:1:25] 物品:强效金创药	怪物:2A919CF0尸王8	地图:H201	X:35	Y:92 
[2024/8/19 16:1:25] 物品:强效魔法药	怪物:2A919CF0尸王8	地图:H201	X:35	Y:92 
[2024/8/19 16:1:25] 物品:强效魔法药	怪物:2A919CF0尸王8	地图:H201	X:35	Y:92 
[2024/8/19 16:1:25] 物品:魔力手镯	怪物:2A919CF0尸王8	地图:H201	X:35	Y:92 
[2024/8/19 16:1:41] 物品:魔法药(小量)	怪物:2F1B1640僵尸5	地图:H201	X:44	Y:89 
[2024/8/19 16:1:42] 物品:金创药(中量)	怪物:1B914930恶灵僵尸8	地图:H001	X:111	Y:70 
[2024/8/19 16:1:46] 物品:强效太阳水	怪物:1ECAB420尸王8	地图:H201	X:45	Y:90 
[2024/8/19 16:1:46] 物品:强效太阳水	怪物:1ECAB420尸王8	地图:H201	X:45	Y:90 
[2024/8/19 16:1:46] 物品:强效太阳水	怪物:1ECAB420尸王8	地图:H201	X:45	Y:90 
[2024/8/19 16:1:46] 物品:强效太阳水	怪物:1ECAB420尸王8	地图:H201	X:45	Y:90 
[2024/8/19 16:1:46] 物品:强效太阳水	怪物:1ECAB420尸王8	地图:H201	X:45	Y:90 
[2024/8/19 16:1:46] 物品:强效金创药	怪物:1ECAB420尸王8	地图:H201	X:45	Y:90 
[2024/8/19 16:1:46] 物品:强效金创药	怪物:1ECAB420尸王8	地图:H201	X:45	Y:90 
[2024/8/19 16:1:46] 物品:强效魔法药	怪物:1ECAB420尸王8	地图:H201	X:45	Y:90 
[2024/8/19 16:1:46] 物品:强效魔法药	怪物:1ECAB420尸王8	地图:H201	X:45	Y:90 
[2024/8/19 16:1:46] 物品:珍珠戒指	怪物:1ECAB420尸王8	地图:H201	X:45	Y:90 
[2024/8/19 16:1:46] 物品:凝霜	怪物:1ECAB420尸王8	地图:H201	X:45	Y:90 
[2024/8/19 16:1:46] 物品:魔力手镯	怪物:1ECAB420尸王8	地图:H201	X:45	Y:90 
[2024/8/19 16:1:46] 物品:烈火剑法	怪物:1ECAB420尸王8	地图:H201	X:45	Y:90 
[2024/8/19 16:1:47] 物品:金创药(小量)	怪物:18263130僵尸4	地图:H201	X:43	Y:90 
[2024/8/19 16:1:53] 物品:隐身术	怪物:2F445580僵尸40	地图:H201	X:45	Y:91 
[2024/8/19 16:1:53] 物品:瞬息移动	怪物:2F445580僵尸40	地图:H201	X:45	Y:91 
[2024/8/19 16:1:53] 物品:灵魂火符	怪物:2F445580僵尸40	地图:H201	X:45	Y:91 
[2024/8/19 16:1:53] 物品:抗拒火环	怪物:2F445580僵尸40	地图:H201	X:45	Y:91 
[2024/8/19 16:1:53] 物品:精神力战法	怪物:2F445580僵尸40	地图:H201	X:45	Y:91 
[2024/8/19 16:1:53] 物品:火球术	怪物:2F445580僵尸40	地图:H201	X:45	Y:91 
[2024/8/19 16:1:53] 物品:治愈术	怪物:2F445580僵尸40	地图:H201	X:45	Y:91 
[2024/8/19 16:1:53] 物品:基本剑术	怪物:2F445580僵尸40	地图:H201	X:45	Y:91 
[2024/8/19 16:1:55] 物品:魔鬼项链	怪物:2A33EB90祖玛卫士8	地图:H204	X:89	Y:55 
[2024/8/19 16:2:2] 物品:强效太阳水	怪物:234A29E0沃玛卫士8	地图:H204	X:91	Y:54 
[2024/8/19 16:2:2] 物品:强效太阳水	怪物:234A29E0沃玛卫士8	地图:H204	X:91	Y:54 
[2024/8/19 16:2:2] 物品:强效太阳水	怪物:234A29E0沃玛卫士8	地图:H204	X:91	Y:54 
[2024/8/19 16:2:2] 物品:强效太阳水	怪物:234A29E0沃玛卫士8	地图:H204	X:91	Y:54 
[2024/8/19 16:2:2] 物品:强效太阳水	怪物:234A29E0沃玛卫士8	地图:H204	X:91	Y:54 
[2024/8/19 16:2:2] 物品:太阳水	怪物:234A29E0沃玛卫士8	地图:H204	X:91	Y:54 
[2024/8/19 16:2:2] 物品:太阳水	怪物:234A29E0沃玛卫士8	地图:H204	X:91	Y:54 
[2024/8/19 16:2:2] 物品:太阳水	怪物:234A29E0沃玛卫士8	地图:H204	X:91	Y:54 
[2024/8/19 16:2:2] 物品:太阳水	怪物:234A29E0沃玛卫士8	地图:H204	X:91	Y:54 
[2024/8/19 16:2:2] 物品:太阳水	怪物:234A29E0沃玛卫士8	地图:H204	X:91	Y:54 
[2024/8/19 16:2:2] 物品:太阳水	怪物:234A29E0沃玛卫士8	地图:H204	X:91	Y:54 
[2024/8/19 16:2:2] 物品:太阳水	怪物:234A29E0沃玛卫士8	地图:H204	X:91	Y:54 
[2024/8/19 16:2:2] 物品:太阳水	怪物:234A29E0沃玛卫士8	地图:H204	X:91	Y:54 
[2024/8/19 16:2:2] 物品:太阳水	怪物:234A29E0沃玛卫士8	地图:H204	X:91	Y:54 
[2024/8/19 16:2:2] 物品:太阳水	怪物:234A29E0沃玛卫士8	地图:H204	X:91	Y:54 
[2024/8/19 16:2:2] 物品:金创药(中量)	怪物:234A29E0沃玛卫士8	地图:H204	X:91	Y:54 
[2024/8/19 16:2:2] 物品:金创药(中量)	怪物:234A29E0沃玛卫士8	地图:H204	X:91	Y:54 
[2024/8/19 16:2:2] 物品:强效金创药	怪物:234A29E0沃玛卫士8	地图:H204	X:91	Y:54 
[2024/8/19 16:2:2] 物品:强效金创药	怪物:234A29E0沃玛卫士8	地图:H204	X:91	Y:54 
[2024/8/19 16:2:2] 物品:强效金创药	怪物:234A29E0沃玛卫士8	地图:H204	X:91	Y:54 
[2024/8/19 16:2:2] 物品:魔法药(中量)	怪物:234A29E0沃玛卫士8	地图:H204	X:91	Y:54 
[2024/8/19 16:2:2] 物品:魔法药(中量)	怪物:234A29E0沃玛卫士8	地图:H204	X:91	Y:54 
[2024/8/19 16:2:2] 物品:强效魔法药	怪物:234A29E0沃玛卫士8	地图:H204	X:91	Y:54 
[2024/8/19 16:2:2] 物品:强效魔法药	怪物:234A29E0沃玛卫士8	地图:H204	X:91	Y:54 
[2024/8/19 16:2:2] 物品:强效魔法药	怪物:234A29E0沃玛卫士8	地图:H204	X:91	Y:54 
[2024/8/19 16:2:2] 物品:躲避手链	怪物:234A29E0沃玛卫士8	地图:H204	X:91	Y:54 
[2024/8/19 16:2:2] 物品:铂金戒指	怪物:234A29E0沃玛卫士8	地图:H204	X:91	Y:54 
[2024/8/19 16:2:2] 物品:半月弯刀	怪物:234A29E0沃玛卫士8	地图:H204	X:91	Y:54 
[2024/8/19 16:2:5] 物品:强效太阳水	怪物:05081FA0尸王8	地图:H201	X:44	Y:89 
[2024/8/19 16:2:5] 物品:强效太阳水	怪物:05081FA0尸王8	地图:H201	X:44	Y:89 
[2024/8/19 16:2:5] 物品:强效太阳水	怪物:05081FA0尸王8	地图:H201	X:44	Y:89 
[2024/8/19 16:2:5] 物品:强效太阳水	怪物:05081FA0尸王8	地图:H201	X:44	Y:89 
[2024/8/19 16:2:5] 物品:强效太阳水	怪物:05081FA0尸王8	地图:H201	X:44	Y:89 
[2024/8/19 16:2:5] 物品:强效金创药	怪物:05081FA0尸王8	地图:H201	X:44	Y:89 
[2024/8/19 16:2:5] 物品:强效金创药	怪物:05081FA0尸王8	地图:H201	X:44	Y:89 
[2024/8/19 16:2:5] 物品:强效魔法药	怪物:05081FA0尸王8	地图:H201	X:44	Y:89 
[2024/8/19 16:2:5] 物品:强效魔法药	怪物:05081FA0尸王8	地图:H201	X:44	Y:89 
[2024/8/19 16:2:5] 物品:黑色水晶戒指	怪物:05081FA0尸王8	地图:H201	X:44	Y:89 
[2024/8/19 16:2:5] 物品:生铁戒指	怪物:05081FA0尸王8	地图:H201	X:44	Y:89 
[2024/8/19 16:2:5] 物品:道德戒指	怪物:05081FA0尸王8	地图:H201	X:44	Y:89 
[2024/8/19 16:2:5] 物品:蓝翡翠项链	怪物:05081FA0尸王8	地图:H201	X:44	Y:89 
[2024/8/19 16:2:5] 物品:魔力手镯	怪物:05081FA0尸王8	地图:H201	X:44	Y:89 
[2024/8/19 16:2:21] 物品:强效太阳水	怪物:2DD1A9A0尸王8	地图:H201	X:49	Y:90 
[2024/8/19 16:2:21] 物品:强效太阳水	怪物:2DD1A9A0尸王8	地图:H201	X:49	Y:90 
[2024/8/19 16:2:21] 物品:强效太阳水	怪物:2DD1A9A0尸王8	地图:H201	X:49	Y:90 
[2024/8/19 16:2:21] 物品:强效太阳水	怪物:2DD1A9A0尸王8	地图:H201	X:49	Y:90 
[2024/8/19 16:2:21] 物品:强效太阳水	怪物:2DD1A9A0尸王8	地图:H201	X:49	Y:90 
[2024/8/19 16:2:21] 物品:强效金创药	怪物:2DD1A9A0尸王8	地图:H201	X:49	Y:90 
[2024/8/19 16:2:21] 物品:强效金创药	怪物:2DD1A9A0尸王8	地图:H201	X:49	Y:90 
[2024/8/19 16:2:21] 物品:强效魔法药	怪物:2DD1A9A0尸王8	地图:H201	X:49	Y:90 
[2024/8/19 16:2:21] 物品:强效魔法药	怪物:2DD1A9A0尸王8	地图:H201	X:49	Y:90 
[2024/8/19 16:2:21] 物品:骷髅戒指	怪物:2DD1A9A0尸王8	地图:H201	X:49	Y:90 
[2024/8/19 16:2:21] 物品:死神手套	怪物:2DD1A9A0尸王8	地图:H201	X:49	Y:90 
[2024/8/19 16:2:21] 物品:凝霜	怪物:2DD1A9A0尸王8	地图:H201	X:49	Y:90 
[2024/8/19 16:2:21] 物品:蓝翡翠项链	怪物:2DD1A9A0尸王8	地图:H201	X:49	Y:90 
[2024/8/19 16:2:21] 物品:黑檀手镯	怪物:2DD1A9A0尸王8	地图:H201	X:49	Y:90 
[2024/8/19 16:2:21] 物品:群体治疗术	怪物:2DD1A9A0尸王8	地图:H201	X:49	Y:90 
[2024/8/19 16:2:21] 物品:半月弯刀	怪物:2DD1A9A0尸王8	地图:H201	X:49	Y:90 
[2024/8/19 16:2:22] 物品:攻杀剑术	怪物:2F445580僵尸40	地图:H201	X:48	Y:90 
[2024/8/19 16:2:22] 物品:雷电术	怪物:2F445580僵尸40	地图:H201	X:48	Y:90 
[2024/8/19 16:2:22] 物品:抗拒火环	怪物:2F445580僵尸40	地图:H201	X:48	Y:90 
[2024/8/19 16:2:22] 物品:精神力战法	怪物:2F445580僵尸40	地图:H201	X:48	Y:90 
[2024/8/19 16:2:22] 物品:火球术	怪物:2F445580僵尸40	地图:H201	X:48	Y:90 
[2024/8/19 16:2:22] 物品:治愈术	怪物:2F445580僵尸40	地图:H201	X:48	Y:90 
[2024/8/19 16:2:22] 物品:基本剑术	怪物:2F445580僵尸40	地图:H201	X:48	Y:90 
[2024/8/19 16:2:22] 物品:海魂	怪物:2F445580僵尸40	地图:H201	X:48	Y:90 
[2024/8/19 16:2:22] 物品:黑檀项链	怪物:2F445580僵尸40	地图:H201	X:48	Y:90 
[2024/8/19 16:2:29] 物品:强效太阳水	怪物:059C2C10尸王8	地图:H201	X:50	Y:90 
[2024/8/19 16:2:29] 物品:强效太阳水	怪物:059C2C10尸王8	地图:H201	X:50	Y:90 
[2024/8/19 16:2:29] 物品:强效太阳水	怪物:059C2C10尸王8	地图:H201	X:50	Y:90 
[2024/8/19 16:2:29] 物品:强效太阳水	怪物:059C2C10尸王8	地图:H201	X:50	Y:90 
[2024/8/19 16:2:29] 物品:强效太阳水	怪物:059C2C10尸王8	地图:H201	X:50	Y:90 
[2024/8/19 16:2:29] 物品:强效金创药	怪物:059C2C10尸王8	地图:H201	X:50	Y:90 
[2024/8/19 16:2:29] 物品:强效金创药	怪物:059C2C10尸王8	地图:H201	X:50	Y:90 
[2024/8/19 16:2:29] 物品:强效魔法药	怪物:059C2C10尸王8	地图:H201	X:50	Y:90 
[2024/8/19 16:2:29] 物品:强效魔法药	怪物:059C2C10尸王8	地图:H201	X:50	Y:90 
[2024/8/19 16:2:29] 物品:黑色水晶戒指	怪物:059C2C10尸王8	地图:H201	X:50	Y:90 
[2024/8/19 16:2:29] 物品:生铁戒指	怪物:059C2C10尸王8	地图:H201	X:50	Y:90 
[2024/8/19 16:2:29] 物品:黑檀手镯	怪物:059C2C10尸王8	地图:H201	X:50	Y:90 
[2024/8/19 16:2:29] 物品:魔力手镯	怪物:059C2C10尸王8	地图:H201	X:50	Y:90 
[2024/8/19 16:2:29] 物品:野蛮冲撞	怪物:059C2C10尸王8	地图:H201	X:50	Y:90 
[2024/8/19 16:2:31] 物品:重盔甲(女)	怪物:1EEFE150祖玛卫士8	地图:H204	X:70	Y:71 
[2024/8/19 16:2:44] 物品:金创药(中量)	怪物:297C8490祖玛卫士8	地图:H204	X:76	Y:79 
[2024/8/19 16:2:47] 物品:降魔	怪物:2899D1C0祖玛雕像8	地图:H204	X:77	Y:79 
[2024/8/19 16:2:51] 物品:强效太阳水	怪物:0DB66980沃玛卫士8	地图:H003	X:68	Y:38 
[2024/8/19 16:2:51] 物品:强效太阳水	怪物:0DB66980沃玛卫士8	地图:H003	X:68	Y:38 
[2024/8/19 16:2:51] 物品:强效太阳水	怪物:0DB66980沃玛卫士8	地图:H003	X:68	Y:38 
[2024/8/19 16:2:51] 物品:强效太阳水	怪物:0DB66980沃玛卫士8	地图:H003	X:68	Y:38 
[2024/8/19 16:2:51] 物品:强效太阳水	怪物:0DB66980沃玛卫士8	地图:H003	X:68	Y:38 
[2024/8/19 16:2:51] 物品:太阳水	怪物:0DB66980沃玛卫士8	地图:H003	X:68	Y:38 
[2024/8/19 16:2:51] 物品:太阳水	怪物:0DB66980沃玛卫士8	地图:H003	X:68	Y:38 
[2024/8/19 16:2:51] 物品:太阳水	怪物:0DB66980沃玛卫士8	地图:H003	X:68	Y:38 
[2024/8/19 16:2:51] 物品:太阳水	怪物:0DB66980沃玛卫士8	地图:H003	X:68	Y:38 
[2024/8/19 16:2:51] 物品:太阳水	怪物:0DB66980沃玛卫士8	地图:H003	X:68	Y:38 
[2024/8/19 16:2:51] 物品:太阳水	怪物:0DB66980沃玛卫士8	地图:H003	X:68	Y:38 
[2024/8/19 16:2:51] 物品:太阳水	怪物:0DB66980沃玛卫士8	地图:H003	X:68	Y:38 
[2024/8/19 16:2:51] 物品:太阳水	怪物:0DB66980沃玛卫士8	地图:H003	X:68	Y:38 
[2024/8/19 16:2:51] 物品:太阳水	怪物:0DB66980沃玛卫士8	地图:H003	X:68	Y:38 
[2024/8/19 16:2:51] 物品:太阳水	怪物:0DB66980沃玛卫士8	地图:H003	X:68	Y:38 
[2024/8/19 16:2:51] 物品:金创药(中量)	怪物:0DB66980沃玛卫士8	地图:H003	X:68	Y:38 
[2024/8/19 16:2:51] 物品:金创药(中量)	怪物:0DB66980沃玛卫士8	地图:H003	X:68	Y:38 
[2024/8/19 16:2:51] 物品:强效金创药	怪物:0DB66980沃玛卫士8	地图:H003	X:68	Y:38 
[2024/8/19 16:2:51] 物品:强效金创药	怪物:0DB66980沃玛卫士8	地图:H003	X:68	Y:38 
[2024/8/19 16:2:51] 物品:强效金创药	怪物:0DB66980沃玛卫士8	地图:H003	X:68	Y:38 
[2024/8/19 16:2:51] 物品:魔法药(中量)	怪物:0DB66980沃玛卫士8	地图:H003	X:68	Y:38 
[2024/8/19 16:2:51] 物品:魔法药(中量)	怪物:0DB66980沃玛卫士8	地图:H003	X:68	Y:38 
[2024/8/19 16:2:51] 物品:强效魔法药	怪物:0DB66980沃玛卫士8	地图:H003	X:68	Y:38 
[2024/8/19 16:2:51] 物品:强效魔法药	怪物:0DB66980沃玛卫士8	地图:H003	X:68	Y:38 
[2024/8/19 16:2:51] 物品:强效魔法药	怪物:0DB66980沃玛卫士8	地图:H003	X:68	Y:38 
[2024/8/19 16:2:51] 物品:夏普儿手镯	怪物:0DB66980沃玛卫士8	地图:H003	X:68	Y:38 
[2024/8/19 16:2:51] 物品:龙之戒指	怪物:0DB66980沃玛卫士8	地图:H003	X:68	Y:38 
[2024/8/19 16:2:51] 物品:重盔甲(男)	怪物:0DB66980沃玛卫士8	地图:H003	X:68	Y:38 
[2024/8/19 16:2:51] 物品:坚固手套	怪物:0DB66980沃玛卫士8	地图:H003	X:68	Y:38 
[2024/8/19 16:2:51] 物品:困魔咒	怪物:0DB66980沃玛卫士8	地图:H003	X:68	Y:38 
[2024/8/19 16:2:51] 物品:召唤神兽	怪物:0DB66980沃玛卫士8	地图:H003	X:68	Y:38 
[2024/8/19 16:2:51] 物品:爆裂火焰	怪物:0DB66980沃玛卫士8	地图:H003	X:68	Y:38 
[2024/8/19 16:2:51] 物品:雷电术	怪物:0DB66980沃玛卫士8	地图:H003	X:68	Y:38 
[2024/8/19 16:2:54] 物品:金创药(小量)	怪物:2A8151F0僵尸5	地图:H201	X:54	Y:97 
[2024/8/19 16:3:0] 物品:召唤骷髅	怪物:2F445580僵尸40	地图:H201	X:54	Y:96 
[2024/8/19 16:3:0] 物品:雷电术	怪物:2F445580僵尸40	地图:H201	X:54	Y:96 
[2024/8/19 16:3:0] 物品:抗拒火环	怪物:2F445580僵尸40	地图:H201	X:54	Y:96 
[2024/8/19 16:3:0] 物品:精神力战法	怪物:2F445580僵尸40	地图:H201	X:54	Y:96 
[2024/8/19 16:3:0] 物品:火球术	怪物:2F445580僵尸40	地图:H201	X:54	Y:96 
[2024/8/19 16:3:0] 物品:治愈术	怪物:2F445580僵尸40	地图:H201	X:54	Y:96 
[2024/8/19 16:3:0] 物品:基本剑术	怪物:2F445580僵尸40	地图:H201	X:54	Y:96 
[2024/8/19 16:3:0] 物品:海魂	怪物:2F445580僵尸40	地图:H201	X:54	Y:96 
[2024/8/19 16:3:2] 物品:灯笼项链	怪物:23611F00祖玛弓箭手8	地图:H204	X:82	Y:75 
[2024/8/19 16:3:9] 物品:火球术	怪物:285D9D90僵尸1	地图:H201	X:55	Y:94 
[2024/8/19 16:3:9] 物品:金创药(小量)	怪物:31E32F90僵尸4	地图:H201	X:55	Y:95 
[2024/8/19 16:3:10] 物品:召唤骷髅	怪物:2F445580僵尸40	地图:H201	X:54	Y:95 
[2024/8/19 16:3:10] 物品:抗拒火环	怪物:2F445580僵尸40	地图:H201	X:54	Y:95 
[2024/8/19 16:3:10] 物品:精神力战法	怪物:2F445580僵尸40	地图:H201	X:54	Y:95 
[2024/8/19 16:3:10] 物品:火球术	怪物:2F445580僵尸40	地图:H201	X:54	Y:95 
[2024/8/19 16:3:10] 物品:治愈术	怪物:2F445580僵尸40	地图:H201	X:54	Y:95 
[2024/8/19 16:3:10] 物品:基本剑术	怪物:2F445580僵尸40	地图:H201	X:54	Y:95 
[2024/8/19 16:3:10] 物品:八荒	怪物:2F445580僵尸40	地图:H201	X:54	Y:95 
[2024/8/19 16:3:10] 物品:青铜斧	怪物:2F445580僵尸40	地图:H201	X:54	Y:95 
[2024/8/19 16:3:10] 物品:金创药(小量)	怪物:2F445580僵尸40	地图:H201	X:54	Y:95 
[2024/8/19 16:3:17] 物品:半月	怪物:21F6C240僵尸10	地图:H201	X:54	Y:94 
[2024/8/19 16:3:17] 物品:魔法药(中量)	怪物:21F6C240僵尸10	地图:H201	X:54	Y:94 
[2024/8/19 16:3:25] 物品:金创药(中量)	怪物:03941CD0沃玛战将	地图:D022	X:218	Y:82 
[2024/8/19 16:3:31] 物品:魔法药(小量)	怪物:20C04450僵尸5	地图:H201	X:54	Y:103 
[2024/8/19 16:3:45] 物品:强效太阳水	怪物:29D690C0尸王8	地图:H201	X:55	Y:102 
[2024/8/19 16:3:45] 物品:强效太阳水	怪物:29D690C0尸王8	地图:H201	X:55	Y:102 
[2024/8/19 16:3:45] 物品:强效太阳水	怪物:29D690C0尸王8	地图:H201	X:55	Y:102 
[2024/8/19 16:3:45] 物品:强效太阳水	怪物:29D690C0尸王8	地图:H201	X:55	Y:102 
[2024/8/19 16:3:45] 物品:强效太阳水	怪物:29D690C0尸王8	地图:H201	X:55	Y:102 
[2024/8/19 16:3:45] 物品:强效金创药	怪物:29D690C0尸王8	地图:H201	X:55	Y:102 
[2024/8/19 16:3:45] 物品:强效金创药	怪物:29D690C0尸王8	地图:H201	X:55	Y:102 
[2024/8/19 16:3:45] 物品:强效魔法药	怪物:29D690C0尸王8	地图:H201	X:55	Y:102 
[2024/8/19 16:3:45] 物品:强效魔法药	怪物:29D690C0尸王8	地图:H201	X:55	Y:102 
[2024/8/19 16:3:45] 物品:黑檀手镯	怪物:29D690C0尸王8	地图:H201	X:55	Y:102 
[2024/8/19 16:3:45] 物品:地狱雷光	怪物:29D690C0尸王8	地图:H201	X:55	Y:102 
[2024/8/19 16:3:45] 物品:半月弯刀	怪物:29D690C0尸王8	地图:H201	X:55	Y:102 
[2024/8/19 16:3:48] 物品:紫宝石矿	怪物:1AF5A150骷髅精灵8	地图:H001	X:16	Y:56 
[2024/8/19 16:3:57] 物品:金创药(小量)	怪物:186C5B60僵尸5	地图:H201	X:51	Y:92 
[2024/8/19 16:3:59] 物品:金创药(小量)	怪物:31E32F90僵尸4	地图:H201	X:52	Y:92 
[2024/8/19 16:4:6] 物品:隐身术	怪物:2DBFED40僵尸40	地图:H201	X:51	Y:93 
[2024/8/19 16:4:6] 物品:抗拒火环	怪物:2DBFED40僵尸40	地图:H201	X:51	Y:93 
[2024/8/19 16:4:6] 物品:精神力战法	怪物:2DBFED40僵尸40	地图:H201	X:51	Y:93 
[2024/8/19 16:4:6] 物品:火球术	怪物:2DBFED40僵尸40	地图:H201	X:51	Y:93 
[2024/8/19 16:4:6] 物品:治愈术	怪物:2DBFED40僵尸40	地图:H201	X:51	Y:93 
[2024/8/19 16:4:6] 物品:基本剑术	怪物:2DBFED40僵尸40	地图:H201	X:51	Y:93 
[2024/8/19 16:4:6] 物品:蓝色水晶戒指	怪物:2DBFED40僵尸40	地图:H201	X:51	Y:93 
[2024/8/19 16:4:6] 物品:轻型盔甲(男)	怪物:2DBFED40僵尸40	地图:H201	X:51	Y:93 
[2024/8/19 16:4:6] 物品:轻型盔甲(女)	怪物:2DBFED40僵尸40	地图:H201	X:51	Y:93 
[2024/8/19 16:4:6] 物品:黄色水晶项链	怪物:2DBFED40僵尸40	地图:H201	X:51	Y:93 
[2024/8/19 16:4:14] 物品:生铁戒指	怪物:292BB8A0祖玛雕像8	地图:H204	X:38	Y:65 
[2024/8/19 16:4:28] 物品:竹笛	怪物:28B9F760祖玛雕像8	地图:H204	X:33	Y:68 
[2024/8/19 16:4:28] 物品:魔力手镯	怪物:28B9F760祖玛雕像8	地图:H204	X:33	Y:68 
[2024/8/19 16:4:28] 物品:短剑	怪物:19C66820沃玛战士	地图:D022	X:123	Y:139 
[2024/8/19 16:4:43] 物品:强效太阳水	怪物:17D12A50沃玛卫士8	地图:H003	X:47	Y:40 
